	Kazachstania_africana	Saccharomyces_cerevisiae
OG0001805	genemark-scaffold_2-processed-gene-7.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.92&CDS=1-501	YMR263W
OG0001806	augustus_masked-scaffold_2-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.134&CDS=1-873	YMR262W
OG0001807	augustus_masked-scaffold_2-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.100&CDS=1-4272	YMR259C
OG0001808	snap_masked-scaffold_2-processed-gene-8.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.6&CDS=1-1644	YMR258C
OG0001809	snap_masked-scaffold_2-processed-gene-8.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.7&CDS=1-2385	YMR257C
OG0001810	snap_masked-scaffold_2-processed-gene-8.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.8&CDS=1-183	YMR256C
OG0001811	genemark-scaffold_2-processed-gene-8.56-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.56&CDS=1-411	YMR252C
OG0001812	genemark-scaffold_2-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.58&CDS=1-1131	YMR272C
OG0001813	genemark-scaffold_2-processed-gene-8.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.83&CDS=1-942	YMR274C
OG0001814	genemark-scaffold_2-processed-gene-8.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.60&CDS=1-1137	YMR276W
OG0001815	genemark-scaffold_2-processed-gene-8.61-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.61&CDS=1-2172	YMR277W
OG0001816	genemark-scaffold_2-processed-gene-8.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.62&CDS=1-1872	YMR278W
OG0001817	genemark-scaffold_2-processed-gene-8.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.87&CDS=1-3738	YMR280C
OG0001818	genemark-scaffold_2-processed-gene-8.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.63&CDS=1-834	YMR281W
OG0001819	snap_masked-scaffold_2-processed-gene-8.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.40&CDS=1-1263	YMR282C
OG0001820	genemark-scaffold_2-processed-gene-8.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.89&CDS=1-1449	YMR283C
OG0001821	genemark-scaffold_2-processed-gene-8.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.91&CDS=1-1755	YJR016C
OG0001822	genemark-scaffold_2-processed-gene-8.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.64&CDS=1-435	YGR203W
OG0001823	genemark-scaffold_2-processed-gene-8.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.92&CDS=1-771	YGR207C
OG0001824	genemark-scaffold_2-processed-gene-8.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.68&CDS=1-900	YGR208W
OG0001825	genemark-scaffold_2-processed-gene-8.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.94&CDS=1-1236	YGR210C
OG0001826	genemark-scaffold_2-processed-gene-8.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.70&CDS=1-1446	YGR211W
OG0001827	augustus_masked-scaffold_2-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.115&CDS=1-1422	YGR212W
OG0001828	genemark-scaffold_2-processed-gene-8.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.95&CDS=1-1026	YGR213C
OG0001829	genemark-scaffold_2-processed-gene-8.73-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.73&CDS=1-321	YGR215W
OG0001830	snap_masked-scaffold_2-processed-gene-8.48-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.48&CDS=1-384	YGR216C
OG0001831	augustus_masked-scaffold_2-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.118&CDS=1-5964	YGR217W
OG0001832	genemark-scaffold_2-processed-gene-8.96-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.96&CDS=1-819	YGR220C
OG0001833	genemark-scaffold_2-processed-gene-8.76-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.76&CDS=1-747	YGR222W
OG0001834	genemark-scaffold_2-processed-gene-8.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.97&CDS=1-1158	YGR223C
OG0001835	snap_masked-scaffold_2-processed-gene-8.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.30&CDS=1-1725	YGR225W
OG0001836	genemark-scaffold_2-processed-gene-8.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.79&CDS=1-1569	YGR227W
OG0001837	genemark-scaffold_2-processed-gene-8.98-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.98&CDS=1-1695	YGR229C
OG0001838	genemark-scaffold_2-processed-gene-8.99-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.99&CDS=1-930	YGR231C
OG0001839	genemark-scaffold_2-processed-gene-8.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.81&CDS=1-690	YGR232W
OG0001840	genemark-scaffold_2-processed-gene-9.43-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.43&CDS=1-1191	YGR234W
OG0001841	snap_masked-scaffold_2-processed-gene-9.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.101&CDS=1-540	YGR235C
OG0001842	snap_masked-scaffold_2-processed-gene-9.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.102&CDS=1-2364	YGR237C
OG0001843	genemark-scaffold_2-processed-gene-9.46-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.46&CDS=1-2958	YHR158C
OG0001844	snap_masked-scaffold_2-processed-gene-9.104-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.104&CDS=1-867	YGR239C
OG0001845	genemark-scaffold_2-processed-gene-9.48-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.48&CDS=1-2961	YGR240C
OG0001846	genemark-scaffold_2-processed-gene-9.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.70&CDS=1-1269	YGR244C
OG0001847	genemark-scaffold_2-processed-gene-9.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.71&CDS=1-2283	YGR245C
OG0001848	augustus_masked-scaffold_2-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.6&CDS=1-1212	YGR247W
OG0001849	genemark-scaffold_2-processed-gene-9.52-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.52&CDS=1-1395	YGR249W
OG0001850	snap_masked-scaffold_2-processed-gene-9.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.128&CDS=1-1875	YGR250C
OG0001851	genemark-scaffold_2-processed-gene-9.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.53&CDS=1-780	YGR253C
OG0001852	genemark-scaffold_2-processed-gene-9.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.74&CDS=1-1368	YGR252W
OG0001853	genemark-scaffold_2-processed-gene-9.76-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.76&CDS=1-588	YGR251W
OG0001854	genemark-scaffold_2-processed-gene-9.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.77&CDS=1-1305	YHR169W
OG0001855	genemark-scaffold_2-processed-gene-9.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.78&CDS=1-1107	YGR257C
OG0001856	genemark-scaffold_2-processed-gene-9.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.79&CDS=1-2964	YGR258C
OG0001857	genemark-scaffold_2-processed-gene-9.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.57&CDS=1-792	YNL108C
OG0001858	genemark-scaffold_2-processed-gene-9.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.58&CDS=1-660	YNL110C
OG0001859	genemark-scaffold_2-processed-gene-9.59-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.59&CDS=1-378	YNL111C
OG0001860	genemark-scaffold_2-processed-gene-9.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.80&CDS=1-1629	YNL112W
OG0001861	genemark-scaffold_2-processed-gene-9.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.81&CDS=1-393	YNL113W
OG0001862	snap_masked-scaffold_2-processed-gene-9.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.118&CDS=1-1929	YNL115C
OG0001863	genemark-scaffold_2-processed-gene-9.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.84&CDS=1-792	YGL160W
OG0001864	maker-scaffold_2-augustus-gene-9.93-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-9.93&CDS=1-4806	YGL156W
OG0001865	genemark-scaffold_2-processed-gene-9.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.64&CDS=1-1089	YGL155W
OG0001866	genemark-scaffold_2-processed-gene-9.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.85&CDS=1-804	YGL154C
OG0001867	genemark-scaffold_2-processed-gene-9.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.65&CDS=1-1032	YGL153W
OG0001868	genemark-scaffold_2-processed-gene-9.66-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.66&CDS=1-3297	YGL151W
OG0001869	genemark-scaffold_2-processed-gene-9.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.86&CDS=1-4140	YGL150C
OG0001870	genemark-scaffold_2-processed-gene-9.67-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.67&CDS=1-1128	YGL148W
OG0001871	genemark-scaffold_2-processed-gene-9.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.88&CDS=1-786	YDL111C
OG0001872	snap_masked-scaffold_2-processed-gene-9.145-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.145&CDS=1-804	YGL146C
OG0001873	genemark-scaffold_2-processed-gene-9.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.68&CDS=1-1995	YGL145W
OG0001874	augustus_masked-scaffold_2-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.57&CDS=1-3957	YGL144C
OG0001875	genemark-scaffold_2-processed-gene-10.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.100&CDS=1-1269	YIR004W
OG0001876	genemark-scaffold_2-processed-gene-10.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.101&CDS=1-2820	YGL141W
OG0001877	genemark-scaffold_2-processed-gene-10.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.102&CDS=1-1839	YMR171C
OG0001878	augustus_masked-scaffold_2-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.77&CDS=1-2340	YMR167W
OG0001879	genemark-scaffold_2-processed-gene-10.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.107&CDS=1-1080	YMR166C
OG0001880	genemark-scaffold_2-processed-gene-10.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.108&CDS=1-2196	YMR165C
OG0001881	augustus_masked-scaffold_2-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.61&CDS=1-2022	YMR163C
OG0001882	genemark-scaffold_2-processed-gene-10.110-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.110&CDS=1-4836	YMR162C
OG0001883	snap_masked-scaffold_2-processed-gene-10.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.25&CDS=1-660	YMR161W
OG0001884	augustus_masked-scaffold_2-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.79&CDS=1-2190	YMR160W
OG0001885	genemark-scaffold_2-processed-gene-10.111-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.111&CDS=1-384	YMR159C
OG0001886	genemark-scaffold_2-processed-gene-10.128-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.128&CDS=1-465	YMR158W
OG0001887	augustus_masked-scaffold_2-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.64&CDS=1-1500	YMR156C
OG0001888	snap_masked-scaffold_2-processed-gene-10.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.28&CDS=1-1851	YMR155W
OG0001889	augustus_masked-scaffold_2-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.65&CDS=1-2085	YMR154C
OG0001890	genemark-scaffold_2-processed-gene-10.130-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.130&CDS=1-1482	YMR153W
OG0001891	genemark-scaffold_2-processed-gene-10.115-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.115&CDS=1-513	YMR150C
OG0001892	augustus_masked-scaffold_2-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.83&CDS=1-837	YMR149W
OG0001893	genemark-scaffold_2-processed-gene-10.133-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.133&CDS=1-897	YMR148W
OG0001894	genemark-scaffold_2-processed-gene-10.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.116&CDS=1-1044	YMR146C
OG0001895	genemark-scaffold_2-processed-gene-10.136-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.136&CDS=1-321	YDL081C
OG0001896	genemark-scaffold_2-processed-gene-10.137-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.137&CDS=1-1302	YMR140W
OG0001897	genemark-scaffold_2-processed-gene-10.138-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.138&CDS=1-540	YMR138W
OG0001898	genemark-scaffold_2-processed-gene-10.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.119&CDS=1-1989	YMR137C
OG0001899	genemark-scaffold_2-processed-gene-10.120-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.120&CDS=1-1461	YMR135C
OG0001900	genemark-scaffold_2-processed-gene-10.140-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.140&CDS=1-573	YMR134W
OG0001901	augustus_masked-scaffold_2-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.92&CDS=1-1293	YMR133W
OG0001902	genemark-scaffold_2-processed-gene-10.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.122&CDS=1-918	YMR055C
OG0001903	genemark-scaffold_2-processed-gene-10.124-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.124&CDS=1-1260	YNR026C
OG0001904	genemark-scaffold_2-processed-gene-10.145-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.145&CDS=1-897	YMR048W
OG0001905	genemark-scaffold_2-processed-gene-10.146-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.146&CDS=1-1350	YMR044W
OG0001906	genemark-scaffold_2-processed-gene-11.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.86&CDS=1-429	YDR100W
OG0001907	genemark-scaffold_2-processed-gene-11.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.88&CDS=1-1740	YDR101C
OG0001908	genemark-scaffold_2-processed-gene-11.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.87&CDS=1-2673	YDR103W
OG0001909	augustus_masked-scaffold_2-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.48&CDS=1-3576	YDR104C
OG0001910	genemark-scaffold_2-processed-gene-11.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.107&CDS=1-1236	YDR105C
OG0001911	augustus_masked-scaffold_2-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.49&CDS=1-822	YDR106W
OG0001912	genemark-scaffold_2-processed-gene-11.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.108&CDS=1-672	YDR126W
OG0001913	genemark-scaffold_2-processed-gene-11.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.91&CDS=1-1071	YDR125C
OG0001914	genemark-scaffold_2-processed-gene-11.109-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.109&CDS=1-984	YDR124W
OG0001915	snap_masked-scaffold_2-processed-gene-11.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.7&CDS=1-927	YDR123C
OG0001916	genemark-scaffold_2-processed-gene-11.111-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.111&CDS=1-591	YDR121W
OG0001917	genemark-scaffold_2-processed-gene-11.93-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.93&CDS=1-1698	YDR120C
OG0001918	augustus_masked-scaffold_2-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.70&CDS=1-1830	YDR118W
OG0001919	genemark-scaffold_2-processed-gene-11.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.94&CDS=1-1686	YDR117C
OG0001920	genemark-scaffold_2-processed-gene-11.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.95&CDS=1-840	YDR116C
OG0001921	snap_masked-scaffold_2-processed-gene-11.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.27&CDS=1-294	YDR115W
OG0001922	snap_masked-scaffold_2-processed-gene-11.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.11&CDS=1-825	YDR113C
OG0001923	genemark-scaffold_2-processed-gene-11.114-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.114&CDS=1-1542	YDR110W
OG0001924	genemark-scaffold_2-processed-gene-11.115-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.115&CDS=1-1665	YLR088W
OG0001925	genemark-scaffold_2-processed-gene-11.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.100&CDS=1-1815	YDR109C
OG0001926	genemark-scaffold_2-processed-gene-11.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.116&CDS=1-2007	YDR108W
OG0001927	genemark-scaffold_2-processed-gene-11.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.101&CDS=1-4155	YDR128W
OG0001928	augustus_masked-scaffold_2-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.74&CDS=1-684	YDR130C
OG0001929	augustus_masked-scaffold_2-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.75&CDS=1-1617	YDR131C
OG0001930	genemark-scaffold_2-processed-gene-11.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.119&CDS=1-1485	YDR132C
OG0001931	augustus_masked-scaffold_2-processed-gene-11.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.60&CDS=1-3996	YDR138W
OG0001932	genemark-scaffold_2-processed-gene-11.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.104&CDS=1-666	YDR140W
OG0001933	augustus_masked-scaffold_2-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.80&CDS=1-6171	YDR141C
OG0001934	genemark-scaffold_2-processed-gene-11.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.105&CDS=1-1452	YDR145W
OG0001935	genemark-scaffold_2-processed-gene-11.127-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.127&CDS=1-1857	YDR146C
OG0001936	genemark-scaffold_2-processed-gene-11.128-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.128&CDS=1-1323	YDR148C
OG0001937	augustus_masked-scaffold_2-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.1&CDS=1-7680	YDR150W
OG0001938	augustus_masked-scaffold_2-processed-gene-12.3-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.3&CDS=1-855	YDR151C
OG0001939	genemark-scaffold_2-processed-gene-12.48-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.48&CDS=1-792	YDR152W
OG0001940	genemark-scaffold_2-processed-gene-12.73-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.73&CDS=1-1146	YDR153C
OG0001941	genemark-scaffold_2-processed-gene-12.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.74&CDS=1-486	YDR155C
OG0001942	genemark-scaffold_2-processed-gene-12.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.50&CDS=1-411	YDR156W
OG0001943	genemark-scaffold_2-processed-gene-12.51-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.51&CDS=1-1095	YDR158W
OG0001944	genemark-scaffold_2-processed-gene-12.52-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.52&CDS=1-4755	YDR159W
OG0001945	genemark-scaffold_2-processed-gene-12.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.75&CDS=1-747	YDR162C
OG0001946	genemark-scaffold_2-processed-gene-12.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.53&CDS=1-528	YDR163W
OG0001947	snap_masked-scaffold_2-processed-gene-12.124-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.124&CDS=1-2145	YDR164C
OG0001948	genemark-scaffold_2-processed-gene-12.54-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.54&CDS=1-1305	YDR165W
OG0001949	genemark-scaffold_2-processed-gene-12.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.77&CDS=1-2913	YDR166C
OG0001950	genemark-scaffold_2-processed-gene-12.55-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.55&CDS=1-636	YDR167W
OG0001951	genemark-scaffold_2-processed-gene-12.56-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.56&CDS=1-1503	YDR168W
OG0001952	genemark-scaffold_2-processed-gene-12.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.57&CDS=1-786	YLR150W
OG0001953	genemark-scaffold_2-processed-gene-12.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.81&CDS=1-2037	YLR153C
OG0001954	genemark-scaffold_2-processed-gene-12.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.82&CDS=1-5643	YDR170C
OG0001955	augustus_masked-scaffold_2-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.12&CDS=1-3087	YDR172W
OG0001956	genemark-scaffold_2-processed-gene-12.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.83&CDS=1-1041	YDR173C
OG0001957	genemark-scaffold_2-processed-gene-12.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.60&CDS=1-714	YDR174W
OG0001958	genemark-scaffold_2-processed-gene-12.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.84&CDS=1-801	YDR175C
OG0001959	genemark-scaffold_2-processed-gene-12.61-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.61&CDS=1-2067	YDR176W
OG0001960	genemark-scaffold_2-processed-gene-12.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.62&CDS=1-639	YDR177W
OG0001961	genemark-scaffold_2-processed-gene-12.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.85&CDS=1-486	YDR179C
OG0001962	augustus_masked-scaffold_2-processed-gene-12.17-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.17&CDS=1-1311	YDR179W-A
OG0001963	snap_masked-scaffold_2-processed-gene-12.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.111&CDS=1-4464	YDR180W
OG0001964	augustus_masked-scaffold_2-processed-gene-12.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.40&CDS=1-1083	YDR181C
OG0001965	genemark-scaffold_2-processed-gene-12.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.65&CDS=1-1446	YDR182W
OG0001966	genemark-scaffold_2-processed-gene-12.66-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.66&CDS=1-615	YDR183W
OG0001967	augustus_masked-scaffold_2-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.41&CDS=1-915	YDR184C
OG0001968	augustus_masked-scaffold_2-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.42&CDS=1-1851	YDR186C
OG0001969	genemark-scaffold_2-processed-gene-12.67-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.67&CDS=1-993	YDR191W
OG0001970	genemark-scaffold_2-processed-gene-12.90-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.90&CDS=1-1869	YDR194C
OG0001971	augustus_masked-scaffold_2-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.22&CDS=1-1668	YDR195W
OG0001972	genemark-scaffold_2-processed-gene-12.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.91&CDS=1-714	YDR196C
OG0001973	augustus_masked-scaffold_2-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.23&CDS=1-1089	YDR197W
OG0001974	maker-scaffold_2-augustus-gene-12.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-12.0&CDS=1-2964	YDR198C
OG0001975	genemark-scaffold_2-processed-gene-12.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.70&CDS=1-471	YDR201W
OG0001976	genemark-scaffold_2-processed-gene-12.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.71&CDS=1-3006	YDR204W
OG0001977	augustus_masked-scaffold_2-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.26&CDS=1-2643	YDR206W
OG0001978	genemark-scaffold_2-processed-gene-13.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.102&CDS=1-1359	YDR207C
OG0001979	genemark-scaffold_2-processed-gene-13.99-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.99&CDS=1-1923	YDR208W
OG0001980	genemark-scaffold_2-processed-gene-13.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.104&CDS=1-2181	YDR211W
OG0001981	genemark-scaffold_2-processed-gene-13.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.105&CDS=1-573	YLR229C
OG0001982	genemark-scaffold_2-processed-gene-13.106-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.106&CDS=1-1677	YDR212W
OG0001983	genemark-scaffold_2-processed-gene-13.109-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.109&CDS=1-1881	YDR216W
OG0001984	snap_masked-scaffold_2-processed-gene-13.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.62&CDS=1-1134	YOR136W
OG0001985	genemark-scaffold_2-processed-gene-13.145-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.145&CDS=1-1584	YOR132W
OG0001986	genemark-scaffold_2-processed-gene-13.147-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.147&CDS=1-1779	YPL265W
OG0001987	genemark-scaffold_2-processed-gene-13.148-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.148&CDS=1-954	YPL266W
