	Saccharomyces_cerevisiae	yHMPu5000035318_Hyphopichia_heimii
OG0001748	YHR070W	augustus_masked-NODE_128_length_27836_cov_17.7651_ID_21098-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_128_length_27836_cov_17.7651_ID_21098-processed-gene-0.43&CDS=1-1371
OG0001749	YHR071W	genemark-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.191&CDS=1-873
OG0001750	YHR072W	snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.59&CDS=1-2202
OG0001751	YHR072W-A	snap_masked-NODE_109_length_36606_cov_24.7757_ID_19931-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_109_length_36606_cov_24.7757_ID_19931-processed-gene-0.5&CDS=1-186
OG0001752	YHR073W	snap_masked-NODE_128_length_27836_cov_17.7651_ID_21098-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_128_length_27836_cov_17.7651_ID_21098-processed-gene-0.24&CDS=1-2679
OG0001753	YHR074W	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.126&CDS=1-2142
OG0001754	YHR075C	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.156&CDS=1-1137
OG0001755	YHR076W	augustus_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.7&CDS=1-1191
OG0001756	YHR077C	snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.55&CDS=1-3090
OG0001757	YHR078W	snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.189-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.189&CDS=1-1842
OG0001758	YHR079C	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.26&CDS=1-3687
OG0001759	YHR079C-A	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.27&CDS=1-453
OG0001760	YHR081W	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.9&CDS=1-609
OG0001761	YHR082C	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.13&CDS=1-2766
OG0001762	YHR084W	genemark-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.92&CDS=1-1671
OG0001763	YHR085W	snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.114&CDS=1-1038
OG0001764	YHR086W	snap_masked-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-0.10&CDS=1-1377
OG0001765	YHR087W	genemark-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-0.88&CDS=1-339
OG0001766	YHR088W	snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.63&CDS=1-900
OG0001767	YHR089C	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.44&CDS=1-597
OG0001768	YHR090C	snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.13&CDS=1-942
OG0001769	YHR098C	genemark-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.191&CDS=1-3921
OG0001770	YHR099W	snap_masked-NODE_36_length_121639_cov_16.6683_ID_16828-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_36_length_121639_cov_16.6683_ID_16828-processed-gene-0.14&CDS=1-11511
OG0001771	YHR100C	maker-NODE_36_length_121639_cov_16.6683_ID_16828-snap-gene-0.53-mRNA-1_1&gene=maker-NODE_36_length_121639_cov_16.6683_ID_16828-snap-gene-0.53&CDS=1-603
OG0001772	YHR101C	snap_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.94&CDS=1-945
OG0001773	YHR102W	snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.14&CDS=1-2436
OG0001774	YHR104W	snap_masked-NODE_50_length_84594_cov_18.1551_ID_24989-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_50_length_84594_cov_18.1551_ID_24989-processed-gene-0.31&CDS=1-951
OG0001775	YHR105W	genemark-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.38-mRNA-1_1&gene=genemark-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.38&CDS=1-480
OG0001776	YHR108W	augustus_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.106&CDS=1-1731
OG0001777	YHR109W	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.44&CDS=1-1485
OG0001778	YHR111W	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.151-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.151&CDS=1-1338
OG0001779	YHR112C	snap_masked-NODE_17_length_155442_cov_18.5021_ID_18400-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_17_length_155442_cov_18.5021_ID_18400-processed-gene-0.63&CDS=1-1122
OG0001780	YHR113W	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.145&CDS=1-1605
OG0001781	YHR114W	snap_masked-NODE_73_length_52977_cov_16.4871_ID_17734-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_73_length_52977_cov_16.4871_ID_17734-processed-gene-0.54&CDS=1-1839
OG0001782	YHR116W	snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.7&CDS=1-372
OG0001783	YHR117W	snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.14&CDS=1-1800
OG0001784	YHR118C	snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.50&CDS=1-1092
OG0001785	YHR119W	augustus_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.91&CDS=1-5205
OG0001786	YHR121W	snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.3&CDS=1-534
OG0001787	YHR122W	snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.5&CDS=1-636
OG0001788	YHR123W	snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_74_length_52495_cov_17.7394_ID_24389-processed-gene-0.2&CDS=1-1203
OG0001789	YHR128W	snap_masked-NODE_90_length_42864_cov_21.6107_ID_29944-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_90_length_42864_cov_21.6107_ID_29944-processed-gene-0.64&CDS=1-654
OG0001790	YHR132C	augustus_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.54&CDS=1-1869
OG0001791	YHR134W	snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.33&CDS=1-1428
OG0001792	YHR137W	snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.26&CDS=1-1560
OG0001793	YHR140W	snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.7&CDS=1-678
OG0001794	YHR142W	snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.108-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.108&CDS=1-906
OG0001795	YHR143W-A	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.108&CDS=1-219
OG0001796	YHR144C	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.107&CDS=1-900
OG0001797	YHR147C	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.59&CDS=1-663
OG0001798	YHR148W	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.30&CDS=1-549
OG0001799	YHR150W	genemark-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.83&CDS=1-1734
OG0001800	YHR151C	snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.5&CDS=1-1815
OG0001801	YHR154W	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.135-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.135&CDS=1-2700
OG0001802	YHR156C	augustus_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.238-mRNA-1_1&gene=augustus_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.238&CDS=1-1134
OG0001803	YHR164C	snap_masked-NODE_116_length_34443_cov_21.9514_ID_19735-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_116_length_34443_cov_21.9514_ID_19735-processed-gene-0.6&CDS=1-4635
OG0001804	YHR165C	snap_masked-NODE_75_length_51145_cov_16.9485_ID_18032-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_75_length_51145_cov_16.9485_ID_18032-processed-gene-0.15&CDS=1-7191
OG0001805	YHR166C	snap_masked-NODE_47_length_89955_cov_17.0631_ID_19749-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_47_length_89955_cov_17.0631_ID_19749-processed-gene-0.53&CDS=1-1722
OG0001806	YHR168W	snap_masked-NODE_173_length_12588_cov_16.6422_ID_24800-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_173_length_12588_cov_16.6422_ID_24800-processed-gene-0.18&CDS=1-1527
OG0001807	YHR169W	snap_masked-NODE_173_length_12588_cov_16.6422_ID_24800-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_173_length_12588_cov_16.6422_ID_24800-processed-gene-0.15&CDS=1-1314
OG0001808	YHR170W	snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.30&CDS=1-1539
OG0001809	YHR171W	snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.31&CDS=1-1983
OG0001810	YHR172W	snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_97_length_40441_cov_16.6227_ID_25261-processed-gene-0.32&CDS=1-2538
OG0001811	YHR175W	augustus_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.73&CDS=1-462
OG0001812	YHR177W	snap_masked-NODE_185_length_10300_cov_16.1103_ID_26778-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_185_length_10300_cov_16.1103_ID_26778-processed-gene-0.5&CDS=1-1761
OG0001813	YHR181W	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.41&CDS=1-651
OG0001814	YHR183W	snap_masked-NODE_151_length_17172_cov_17.104_ID_23829-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_151_length_17172_cov_17.104_ID_23829-processed-gene-0.11&CDS=1-1569
OG0001815	YHR186C	snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.185&CDS=1-4296
OG0001816	YHR187W	snap_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.35&CDS=1-858
OG0001817	YHR188C	augustus_masked-NODE_162_length_14548_cov_16.2535_ID_177336-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_162_length_14548_cov_16.2535_ID_177336-processed-gene-0.1&CDS=1-1452
OG0001818	YHR189W	augustus_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.64&CDS=1-696
OG0001819	YHR190W	maker-NODE_28_length_132068_cov_17.5269_ID_17499-augustus-gene-0.68-mRNA-1_1&gene=maker-NODE_28_length_132068_cov_17.5269_ID_17499-augustus-gene-0.68&CDS=1-2295
OG0001820	YHR191C	snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.4&CDS=1-462
OG0001821	YHR193C	snap_masked-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.37&CDS=1-510
OG0001822	YHR194W	snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.36&CDS=1-1839
OG0001823	YHR196W	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.121&CDS=1-1764
OG0001824	YHR197W	snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.84&CDS=1-2145
OG0001825	YHR198C	snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.16&CDS=1-858
OG0001826	YHR200W	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.27&CDS=1-834
OG0001827	YHR201C	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.5&CDS=1-1218
OG0001828	YHR205W	genemark-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.128&CDS=1-2286
OG0001829	YHR206W	genemark-NODE_52_length_81500_cov_18.613_ID_27766-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_52_length_81500_cov_18.613_ID_27766-processed-gene-0.11&CDS=1-1635
OG0001830	YHR207C	augustus_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.23&CDS=1-2892
OG0001831	YIL001W	genemark-NODE_17_length_155442_cov_18.5021_ID_18400-processed-gene-0.208-mRNA-1_1&gene=genemark-NODE_17_length_155442_cov_18.5021_ID_18400-processed-gene-0.208&CDS=1-1857
OG0001832	YIL002C	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.39&CDS=1-3111
OG0001833	YIL003W	snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.141&CDS=1-903
OG0001834	YIL004C	genemark-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.10&CDS=1-447
OG0001835	YIL005W	snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.116&CDS=1-2259
OG0001836	YIL007C	snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.186-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.186&CDS=1-684
OG0001837	YIL008W	snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.157&CDS=1-303
OG0001838	YIL010W	snap_masked-NODE_181_length_11411_cov_19.3261_ID_177402-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_181_length_11411_cov_19.3261_ID_177402-processed-gene-0.1&CDS=1-708
OG0001839	YIL016W	snap_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.95&CDS=1-645
OG0001840	YIL019W	snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.22&CDS=1-966
OG0001841	YIL020C	snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.5&CDS=1-810
OG0001842	YIL021W	snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.23&CDS=1-942
OG0001843	YIL022W	snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.86&CDS=1-1266
OG0001844	YIL026C	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.81&CDS=1-3570
OG0001845	YIL027C	snap_masked-NODE_38_length_115253_cov_22.3265_ID_19407-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_38_length_115253_cov_22.3265_ID_19407-processed-gene-0.168&CDS=1-372
OG0001846	YIL030C	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.10&CDS=1-3723
OG0001847	YIL031W	snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.89&CDS=1-3756
OG0001848	YIL033C	snap_masked-NODE_106_length_37701_cov_17.956_ID_28546-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_106_length_37701_cov_17.956_ID_28546-processed-gene-0.27&CDS=1-1317
OG0001849	YIL034C	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.142&CDS=1-879
OG0001850	YIL039W	snap_masked-NODE_181_length_11411_cov_19.3261_ID_177402-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_181_length_11411_cov_19.3261_ID_177402-processed-gene-0.4&CDS=1-1458
OG0001851	YIL041W	snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_56_length_79256_cov_17.539_ID_29615-processed-gene-0.9&CDS=1-975
OG0001852	YIL042C	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.26&CDS=1-1269
OG0001853	YIL046W	snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.37&CDS=1-2028
OG0001854	YIL047C	snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.72&CDS=1-2910
OG0001855	YIL048W	snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.60&CDS=1-3465
OG0001856	YIL049W	augustus_masked-NODE_24_length_138614_cov_17.9272_ID_17090-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_24_length_138614_cov_17.9272_ID_17090-processed-gene-0.4&CDS=1-948
OG0001857	YIL061C	maker-NODE_57_length_73979_cov_17.3397_ID_24856-augustus-gene-0.38-mRNA-1_1&gene=maker-NODE_57_length_73979_cov_17.3397_ID_24856-augustus-gene-0.38&CDS=1-2208
OG0001858	YIL062C	snap_masked-NODE_50_length_84594_cov_18.1551_ID_24989-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_50_length_84594_cov_18.1551_ID_24989-processed-gene-0.32&CDS=1-465
OG0001859	YIL064W	snap_masked-NODE_57_length_73979_cov_17.3397_ID_24856-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_57_length_73979_cov_17.3397_ID_24856-processed-gene-0.82&CDS=1-732
OG0001860	YIL065C	augustus_masked-NODE_126_length_29002_cov_16.3227_ID_20596-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_126_length_29002_cov_16.3227_ID_20596-processed-gene-0.19&CDS=1-1596
OG0001861	YIL067C	snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.68&CDS=1-2169
OG0001862	YIL068C	snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-2.167&CDS=1-2514
OG0001863	YIL070C	snap_masked-NODE_153_length_16698_cov_16.0961_ID_23565-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_153_length_16698_cov_16.0961_ID_23565-processed-gene-0.0&CDS=1-810
OG0001864	YIL072W	snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.67&CDS=1-867
OG0001865	YIL075C	snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.12&CDS=1-2868
OG0001866	YIL078W	snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.57&CDS=1-2172
OG0001867	YIL083C	snap_masked-NODE_110_length_36453_cov_15.3143_ID_19504-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_110_length_36453_cov_15.3143_ID_19504-processed-gene-0.10&CDS=1-1026
OG0001868	YIL084C	maker-NODE_22_length_143390_cov_16.1143_ID_23656-snap-gene-0.73-mRNA-1_1&gene=maker-NODE_22_length_143390_cov_16.1143_ID_23656-snap-gene-0.73&CDS=1-1053
OG0001869	YIL087C	snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.166&CDS=1-408
