	Candida_succiphila	Saccharomyces_cerevisiae
OG0001291	-processed-gene-8.91-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.91&CDS=1-3768	YDR335W
OG0001292	-processed-gene-8.164-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.164&CDS=1-1323	YDR316W
OG0001293	-processed-gene-8.88-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.88&CDS=1-1005	YDR302W
OG0001294	-processed-gene-8.3-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.3&CDS=1-894	YDR315C
OG0001295	-processed-gene-8.45-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.45&CDS=1-4278	YDR301W
OG0001296	-processed-gene-8.7-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.7&CDS=1-1296	YOL031C
OG0001297	-processed-gene-8.129-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.129&CDS=1-1995	YNR006W
OG0001298	-processed-gene-8.130-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.130&CDS=1-723	YMR200W
OG0001299	-snap-gene-8.81-mRNA-1_1&gene=maker-gi|1002316218|dbj|BCGL01000006.1|-snap-gene-8.81&CDS=1-3159	YML099C
OG0001300	-processed-gene-8.174-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.174&CDS=1-1719	YML130C
OG0001301	-processed-gene-8.51-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.51&CDS=1-453	YML098W
OG0001302	-processed-gene-8.99-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.99&CDS=1-2628	YGL083W
OG0001303	-processed-gene-8.134-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.134&CDS=1-2379	YGL073W
OG0001304	-processed-gene-8.17-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.17&CDS=1-285	YBR268W
OG0001305	-processed-gene-8.137-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.137&CDS=1-393	YBR269C
OG0001306	-processed-gene-8.103-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.103&CDS=1-2430	YJL062W
OG0001307	-processed-gene-8.138-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.138&CDS=1-3552	YPL226W
OG0001308	-processed-gene-8.57-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.57&CDS=1-2364	YMR066W
OG0001309	-processed-gene-8.104-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.104&CDS=1-5361	YMR176W
OG0001310	-processed-gene-8.140-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.140&CDS=1-891	YMR178W
OG0001311	-processed-gene-8.182-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.182&CDS=1-453	YPL225W
OG0001312	-processed-gene-8.107-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.107&CDS=1-780	YPL199C
OG0001313	-processed-gene-8.108-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.108&CDS=1-474	YDL092W
OG0001314	-processed-gene-8.144-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.144&CDS=1-1332	YDL090C
OG0001315	-processed-gene-8.25-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.25&CDS=1-2304	YMR154C
OG0001316	-processed-gene-8.145-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.145&CDS=1-3309	YMR288W
OG0001317	-processed-gene-8.110-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.110&CDS=1-1848	YHR188C
OG0001318	-processed-gene-8.146-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.146&CDS=1-2661	YGR188C
OG0001319	-processed-gene-8.223-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.223&CDS=1-3201	YJL012C
OG0001320	-processed-gene-8.150-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.150&CDS=1-897	YPL196W
OG0001321	-processed-gene-8.113-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.113&CDS=1-1569	YGL078C
OG0001322	-processed-gene-8.151-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.151&CDS=1-2607	YGR261C
OG0001323	-processed-gene-8.114-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.114&CDS=1-1440	YGR202C
OG0001324	-processed-gene-8.115-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.115&CDS=1-465	YGR203W
OG0001325	-processed-gene-8.152-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.152&CDS=1-3363	YGR258C
OG0001326	-processed-gene-8.117-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.117&CDS=1-906	YHR187W
OG0001327	-processed-gene-8.153-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.153&CDS=1-1185	YLL006W
OG0001328	-snap-gene-8.85-mRNA-1_1&gene=maker-gi|1002316218|dbj|BCGL01000006.1|-snap-gene-8.85&CDS=1-3792	YGR189C
OG0001329	-processed-gene-8.118-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.118&CDS=1-450	YOR104W
OG0001330	-processed-gene-8.230-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.230&CDS=1-5568	YLR024C
OG0001331	-processed-gene-8.194-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.194&CDS=1-5253	YGR184C
OG0001332	-processed-gene-8.231-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.231&CDS=1-207	YGR183C
OG0001333	-processed-gene-8.120-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.120&CDS=1-1113	YGR187C
OG0001334	-processed-gene-8.158-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.158&CDS=1-1914	YGR186W
OG0001335	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.92&CDS=1-1272	YGR286C
OG0001336	-augustus-gene-0.132-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-0.132&CDS=1-1851	YER141W
OG0001337	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.34&CDS=1-825	YEL051W
OG0001338	-processed-gene-0.98-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.98&CDS=1-2664	YDR416W
OG0001339	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.120&CDS=1-1539	YEL052W
OG0001340	-processed-gene-0.99-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.99&CDS=1-2217	YDR324C
OG0001341	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.101&CDS=1-1083	YMR087W
OG0001342	-processed-gene-0.122-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.122&CDS=1-1695	YMR088C
OG0001343	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.19&CDS=1-1605	YER078C
OG0001344	-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.20&CDS=1-1407	YER077C
OG0001345	-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.44&CDS=1-1578	YNL253W
OG0001346	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.108&CDS=1-1140	YNL217W
OG0001347	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.46&CDS=1-1839	YNL216W
OG0001348	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.37&CDS=1-2331	YDL234C
OG0001349	-processed-gene-1.3-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.3&CDS=1-1824	YLR253W
OG0001350	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.55&CDS=1-2574	YDR026C
OG0001351	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.57&CDS=1-627	YML079W
OG0001352	-processed-gene-1.40-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.40&CDS=1-1068	YLR100W
OG0001353	-processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.60&CDS=1-6522	YDR129C
OG0001354	-processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.41&CDS=1-3633	YDR159W
OG0001355	-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.106&CDS=1-2889	YDR166C
OG0001356	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.62&CDS=1-297	YLR147C
OG0001357	-processed-gene-1.42-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.42&CDS=1-3123	YLR148W
OG0001358	-processed-gene-1.8-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.8&CDS=1-3054	YIL137C
OG0001359	-processed-gene-1.45-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.45&CDS=1-1140	YNL080C
OG0001360	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.65&CDS=1-714	YPR183W
OG0001361	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.47&CDS=1-1893	YDR390C
OG0001362	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.48&CDS=1-1404	YDR388W
OG0001363	-snap-gene-1.81-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-1.81&CDS=1-1659	YLR228C
OG0001364	-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.113&CDS=1-1662	YDR212W
OG0001365	-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.114&CDS=1-576	YLR229C
OG0001366	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.50&CDS=1-1512	YAL038W
OG0001367	-processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.52&CDS=1-699	YDR476C
OG0001368	-processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-1.53&CDS=1-813	YGR104C
OG0001369	-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.114&CDS=1-813	YGR101W
OG0001370	-processed-gene-2.55-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.55&CDS=1-1035	YGR165W
OG0001371	-processed-gene-2.56-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.56&CDS=1-2097	YGL205W
OG0001372	-processed-gene-2.57-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.57&CDS=1-4998	YGL206C
OG0001373	-processed-gene-2.80-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.80&CDS=1-1269	YPR118W
OG0001374	-processed-gene-2.58-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.58&CDS=1-2322	YGR089W
OG0001375	-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.146&CDS=1-4989	YGR098C
OG0001376	-processed-gene-2.83-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.83&CDS=1-3072	YNL118C
OG0001377	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.60&CDS=1-2766	YKL171W
OG0001378	-snap-gene-2.112-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-2.112&CDS=1-1785	YNL016W
OG0001379	-processed-gene-2.61-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.61&CDS=1-1023	YIL083C
OG0001380	-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.149&CDS=1-1479	YNL026W
OG0001381	-processed-gene-2.62-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.62&CDS=1-1239	YIL088C
OG0001382	-processed-gene-2.88-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.88&CDS=1-1248	YIL090W
OG0001383	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.63&CDS=1-2097	YIL091C
OG0001384	-processed-gene-2.37-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.37&CDS=1-210	YNL024C-A
OG0001385	-processed-gene-2.13-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.13&CDS=1-651	YNL032W
OG0001386	-processed-gene-2.66-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.66&CDS=1-1560	YNL039W
OG0001387	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.93&CDS=1-2400	YNL021W
OG0001388	-processed-gene-2.69-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.69&CDS=1-1476	YNL022C
OG0001389	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.42&CDS=1-1131	YIL094C
OG0001390	-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.159&CDS=1-1290	YIL023C
OG0001391	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.71&CDS=1-735	YBL095W
OG0001392	-processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.72&CDS=1-345	YEL003W
OG0001393	-processed-gene-2.96-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.96&CDS=1-1380	YEL002C
OG0001394	-processed-gene-2.74-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.74&CDS=1-894	YMR099C
OG0001395	-augustus-gene-2.103-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-2.103&CDS=1-1686	YIL001W
OG0001396	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.98&CDS=1-747	YEL001C
OG0001397	-processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.76&CDS=1-657	YIL007C
OG0001398	-processed-gene-2.99-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.99&CDS=1-321	YIL008W
OG0001399	-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.0&CDS=1-723	YKR043C
OG0001400	-processed-gene-3.50-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.50&CDS=1-1566	YOL062C
OG0001401	-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.26&CDS=1-3216	YPL040C
OG0001402	-processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.51&CDS=1-2490	YKL179C
OG0001403	-processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.53&CDS=1-531	YDR246W
OG0001404	-processed-gene-3.54-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.54&CDS=1-1584	YOL061W
OG0001405	-processed-gene-3.74-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.74&CDS=1-2175	YDL025C
OG0001406	-snap-gene-3.42-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-3.42&CDS=1-3918	YOL060C
OG0001407	-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.30&CDS=1-3036	YNL023C
OG0001408	-processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.55&CDS=1-846	YIL093C
OG0001409	-processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.58&CDS=1-1500	YHR065C
OG0001410	-processed-gene-3.60-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.60&CDS=1-1809	YHR135C
OG0001411	-processed-gene-3.61-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.61&CDS=1-1011	YMR009W
OG0001412	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.62&CDS=1-1602	YPL042C
OG0001413	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.83&CDS=1-534	YDR248C
OG0001414	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.63&CDS=1-2472	YPL029W
OG0001415	-processed-gene-3.65-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.65&CDS=1-2544	YPL184C
OG0001416	-processed-gene-3.66-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.66&CDS=1-1704	YGL186C
OG0001417	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.67&CDS=1-513	YOL143C
OG0001418	-processed-gene-3.68-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.68&CDS=1-1122	YNR054C
OG0001419	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.69&CDS=1-3081	YMR287C
OG0001420	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.85&CDS=1-2808	YCR057C
OG0001421	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.86&CDS=1-1002	YCR059C
OG0001422	-processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-3.71&CDS=1-966	YCR060W
OG0001423	-snap-gene-4.38-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-4.38&CDS=1-3798	YCR061W
OG0001424	-processed-gene-4.46-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.46&CDS=1-1275	YNL248C
OG0001425	-processed-gene-4.47-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.47&CDS=1-2196	YJR098C
OG0001426	-processed-gene-4.68-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.68&CDS=1-732	YGL161C
OG0001427	-processed-gene-4.7-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.7&CDS=1-3474	YGR014W
OG0001428	-processed-gene-4.70-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.70&CDS=1-633	YGL020C
OG0001429	-snap-gene-4.39-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-4.39&CDS=1-1026	YGL019W
OG0001430	-processed-gene-4.71-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.71&CDS=1-477	YOR103C
OG0001431	-processed-gene-4.53-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.53&CDS=1-630	YNL099C
OG0001432	-processed-gene-4.72-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.72&CDS=1-516	YDR231C
OG0001433	-processed-gene-4.54-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.54&CDS=1-2142	YNL101W
OG0001434	-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.112&CDS=1-4593	YNL102W
OG0001435	-processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.58&CDS=1-1701	YOR348C
OG0001436	-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.115&CDS=1-1032	YBR109C
OG0001437	-processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.59&CDS=1-1416	YBR110W
OG0001438	-augustus-gene-4.125-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-4.125&CDS=1-876	YPR069C
OG0001439	-processed-gene-4.80-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.80&CDS=1-627	YBR111C
OG0001440	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.60&CDS=1-318	YBR111W-A
OG0001441	-processed-gene-4.20-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.20&CDS=1-2439	YGL113W
OG0001442	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.82&CDS=1-1662	YGL112C
OG0001443	-processed-gene-4.22-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.22&CDS=1-1395	YOL069W
OG0001444	-augustus-gene-4.126-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-4.126&CDS=1-1542	YGR163W
OG0001445	-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.123&CDS=1-2310	YJL168C
OG0001446	-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.106&CDS=1-1230	YER046W
OG0001447	-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.51&CDS=1-4026	YOL023W
OG0001448	-processed-gene-5.6-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.6&CDS=1-2991	YKL173W
OG0001449	-processed-gene-5.10-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.10&CDS=1-1032	YKL172W
OG0001450	-processed-gene-5.7-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.7&CDS=1-1053	YJL167W
OG0001451	-processed-gene-5.28-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.28&CDS=1-576	YBR171W
OG0001452	-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.73&CDS=1-933	YPR139C
OG0001453	-processed-gene-5.30-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.30&CDS=1-1611	YEL013W
OG0001454	-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.53&CDS=1-219	YNR032C-A
OG0001455	-processed-gene-5.11-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.11&CDS=1-3321	YCR092C
OG0001456	-processed-gene-5.13-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.13&CDS=1-495	YCR090C
OG0001457	-processed-gene-5.35-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.35&CDS=1-1278	YLR203C
OG0001458	-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.80&CDS=1-930	YPR066W
OG0001459	-processed-gene-5.37-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.37&CDS=1-1353	YDR392W
OG0001460	-processed-gene-5.18-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.18&CDS=1-906	YOR143C
OG0001461	-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.62&CDS=1-495	YDR305C
