	Lachancea_kluyveri	Saccharomyces_cerevisiae
OG0002420	augustus_masked-SAKL0F-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.19&CDS=1-3750	YER008C
OG0002421	augustus_masked-SAKL0F-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.20&CDS=1-3120	YIR002C
OG0002422	augustus_masked-SAKL0F-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.21&CDS=1-540	YER007C-A
OG0002423	snap_masked-SAKL0F-processed-gene-3.145-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-3.145&CDS=1-1482	YER007W
OG0002424	augustus_masked-SAKL0F-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.46&CDS=1-1578	YER006W
OG0002425	augustus_masked-SAKL0F-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.22&CDS=1-1077	YPR086W
OG0002426	augustus_masked-SAKL0F-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.47&CDS=1-1965	YER005W
OG0002427	augustus_masked-SAKL0F-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.48&CDS=1-669	YER004W
OG0002428	augustus_masked-SAKL0F-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.23&CDS=1-1287	YER003C
OG0002429	augustus_masked-SAKL0F-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.50&CDS=1-699	YER002W
OG0002430	augustus_masked-SAKL0F-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.24&CDS=1-852	YIR001C
OG0002431	augustus_masked-SAKL0F-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.25&CDS=1-645	YEL001C
OG0002432	genemark-SAKL0F-processed-gene-3.100-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-3.100&CDS=1-1557	YIL001W
OG0002433	augustus_masked-SAKL0F-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.0&CDS=1-2826	YIL002C
OG0002434	augustus_masked-SAKL0F-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.1&CDS=1-1308	YEL002C
OG0002435	genemark-SAKL0F-processed-gene-4.115-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-4.115&CDS=1-1167	YEL004W
OG0002436	augustus_masked-SAKL0F-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.2&CDS=1-1167	YEL005C
OG0002437	genemark-SAKL0F-processed-gene-4.116-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-4.116&CDS=1-891	YIL003W
OG0002438	augustus_masked-SAKL0F-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.3&CDS=1-420	YIL004C
OG0002439	augustus_masked-SAKL0F-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.7&CDS=1-2142	YIL005W
OG0002440	augustus_masked-SAKL0F-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.33&CDS=1-1164	YIL006W
OG0002441	augustus_masked-SAKL0F-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.34&CDS=1-1407	YEL007W
OG0002442	augustus_masked-SAKL0F-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.8&CDS=1-858	YEL009C
OG0002443	maker-SAKL0F-augustus-gene-4.50-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-4.50&CDS=1-663	YIL007C
OG0002444	augustus_masked-SAKL0F-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.35&CDS=1-303	YIL008W
OG0002445	maker-SAKL0F-snap-gene-4.47-mRNA-1_1&gene=maker-SAKL0F-snap-gene-4.47&CDS=1-696	YIL009C-A
OG0002446	augustus_masked-SAKL0F-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.11&CDS=1-1341	YPL259C
OG0002447	augustus_masked-SAKL0F-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.36&CDS=1-693	YIL010W
OG0002448	augustus_masked-SAKL0F-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.37&CDS=1-1785	YPL260W
OG0002449	augustus_masked-SAKL0F-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.38&CDS=1-1029	YOR008C
OG0002450	augustus_masked-SAKL0F-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.12&CDS=1-1380	YOL029C
OG0002451	augustus_masked-SAKL0F-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.39&CDS=1-1455	YOL030W
OG0002452	augustus_masked-SAKL0F-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.13&CDS=1-531	YMR009W
OG0002453	augustus_masked-SAKL0F-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.14&CDS=1-1077	YMR010W
OG0002454	augustus_masked-SAKL0F-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.40&CDS=1-2631	YOR017W
OG0002455	augustus_masked-SAKL0F-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.15&CDS=1-1401	YHL021C
OG0002456	augustus_masked-SAKL0F-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.16&CDS=1-1110	YHL022C
OG0002457	augustus_masked-SAKL0F-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.17&CDS=1-630	YOR016C
OG0002458	augustus_masked-SAKL0F-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.18&CDS=1-1224	YPR108W
OG0002459	augustus_masked-SAKL0F-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.19&CDS=1-1662	YGR088W
OG0002460	augustus_masked-SAKL0F-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.20&CDS=1-2490	YGR089W
OG0002461	augustus_masked-SAKL0F-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.21&CDS=1-3681	YGR090W
OG0002462	augustus_masked-SAKL0F-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.22&CDS=1-924	YPR109W
OG0002463	augustus_masked-SAKL0F-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.41&CDS=1-1002	YPR110C
OG0002464	augustus_masked-SAKL0F-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.42&CDS=1-2640	YPR112C
OG0002465	augustus_masked-SAKL0F-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.25&CDS=1-3180	YGR094W
OG0002466	augustus_masked-SAKL0F-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.43&CDS=1-669	YGR095C
OG0002467	augustus_masked-SAKL0F-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.26&CDS=1-918	YGR096W
OG0002468	augustus_masked-SAKL0F-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.27&CDS=1-669	YPR113W
OG0002469	augustus_masked-SAKL0F-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.29&CDS=1-954	YPR114W
OG0002470	augustus_masked-SAKL0F-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.30&CDS=1-3030	YGR097W
OG0002471	augustus_masked-SAKL0F-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.31&CDS=1-858	YPR116W
OG0002472	augustus_masked-SAKL0F-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.45&CDS=1-4848	YGR098C
OG0002473	augustus_masked-SAKL0F-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.32&CDS=1-2022	YGR099W
OG0002474	augustus_masked-SAKL0F-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.11&CDS=1-7419	YPR117W
OG0002475	augustus_masked-SAKL0F-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.12&CDS=1-2835	YGR100W
OG0002476	snap_masked-SAKL0F-processed-gene-5.96-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-5.96&CDS=1-945	YGR101W
OG0002477	snap_masked-SAKL0F-processed-gene-5.114-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-5.114&CDS=1-513	YGR102C
OG0002478	augustus_masked-SAKL0F-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.14&CDS=1-1779	YGR103W
OG0002479	augustus_masked-SAKL0F-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.31&CDS=1-801	YGR104C
OG0002480	augustus_masked-SAKL0F-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.15&CDS=1-225	YGR105W
OG0002481	augustus_masked-SAKL0F-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.32&CDS=1-783	YGR106C
OG0002482	augustus_masked-SAKL0F-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.16&CDS=1-1242	YPR118W
OG0002483	augustus_masked-SAKL0F-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.17&CDS=1-1494	YPR119W
OG0002484	augustus_masked-SAKL0F-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.19&CDS=1-3549	YPR122W
OG0002485	augustus_masked-SAKL0F-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.20&CDS=1-1176	YGR111W
OG0002486	augustus_masked-SAKL0F-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.21&CDS=1-348	YBR253W
OG0002487	augustus_masked-SAKL0F-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.22&CDS=1-1614	YIR010W
OG0002488	augustus_masked-SAKL0F-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.34&CDS=1-513	YBR254C
OG0002489	augustus_masked-SAKL0F-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.23&CDS=1-1656	YBR255W
OG0002490	maker-SAKL0F-augustus-gene-5.8-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-5.8&CDS=1-357	YBR255C-A
OG0002491	augustus_masked-SAKL0F-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.36&CDS=1-855	YIR011C
OG0002492	augustus_masked-SAKL0F-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.24&CDS=1-1299	YIR012W
OG0002493	maker-SAKL0F-augustus-gene-5.9-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-5.9&CDS=1-2310	YBR256C
OG0002494	augustus_masked-SAKL0F-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.39&CDS=1-546	YIL016W
OG0002495	augustus_masked-SAKL0F-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.25&CDS=1-2676	YIL017C
OG0002496	augustus_masked-SAKL0F-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.26&CDS=1-3120	YFR030W
OG0002497	augustus_masked-SAKL0F-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.40&CDS=1-3510	YFR031C
OG0002498	augustus_masked-SAKL0F-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.42&CDS=1-927	YFR032C
OG0002499	maker-SAKL0F-augustus-gene-5.10-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-5.10&CDS=1-624	YFR032C-A
OG0002500	augustus_masked-SAKL0F-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.44&CDS=1-1446	YFR034C
OG0002501	augustus_masked-SAKL0F-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.45&CDS=1-1011	YIL019W
OG0002502	augustus_masked-SAKL0F-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.27&CDS=1-792	YIL020C
OG0002503	augustus_masked-SAKL0F-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.46&CDS=1-945	YIL021W
OG0002504	augustus_masked-SAKL0F-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.47&CDS=1-1236	YIL022W
OG0002505	snap_masked-SAKL0F-processed-gene-5.112-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-5.112&CDS=1-3510	YIL031W
OG0002506	augustus_masked-SAKL0F-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.48&CDS=1-3849	YIL030C
OG0002507	augustus_masked-SAKL0F-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.49&CDS=1-447	YIL027C
OG0002508	augustus_masked-SAKL0F-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.50&CDS=1-3258	YIL026C
OG0002509	augustus_masked-SAKL0F-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.51&CDS=1-732	YIL024C
OG0002510	snap_masked-SAKL0F-processed-gene-6.56-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-6.56&CDS=1-1233	YIL023C
OG0002511	augustus_masked-SAKL0F-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.120&CDS=1-1578	YFR037C
OG0002512	augustus_masked-SAKL0F-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.115&CDS=1-2292	YFR038W
OG0002513	augustus_masked-SAKL0F-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.116&CDS=1-1398	YIL033C
OG0002514	augustus_masked-SAKL0F-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.121&CDS=1-444	YER044C
OG0002515	augustus_masked-SAKL0F-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.117&CDS=1-840	YIL034C
OG0002516	augustus_masked-SAKL0F-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.122&CDS=1-1116	YIL035C
OG0002517	augustus_masked-SAKL0F-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.146&CDS=1-1239	YIL036W
OG0002518	snap_masked-SAKL0F-processed-gene-6.60-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-6.60&CDS=1-765	YER046W
OG0002519	snap_masked-SAKL0F-processed-gene-6.61-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-6.61&CDS=1-1773	YIL037C
OG0002520	augustus_masked-SAKL0F-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.124&CDS=1-2487	YIL038C
OG0002521	augustus_masked-SAKL0F-processed-gene-6.149-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.149&CDS=1-1179	YER048C
OG0002522	augustus_masked-SAKL0F-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.125&CDS=1-279	YER048W-A
OG0002523	augustus_masked-SAKL0F-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.126&CDS=1-1896	YER049W
OG0002524	augustus_masked-SAKL0F-processed-gene-6.151-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.151&CDS=1-990	YIL041W
OG0002525	augustus_masked-SAKL0F-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.127&CDS=1-1152	YIL042C
OG0002526	augustus_masked-SAKL0F-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.152&CDS=1-513	YER050C
OG0002527	augustus_masked-SAKL0F-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.130&CDS=1-1431	YER051W
OG0002528	augustus_masked-SAKL0F-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.131&CDS=1-858	YIL043C
OG0002529	augustus_masked-SAKL0F-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.153&CDS=1-1569	YER052C
OG0002530	augustus_masked-SAKL0F-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.132&CDS=1-807	YIL044C
OG0002531	augustus_masked-SAKL0F-processed-gene-6.155-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.155&CDS=1-906	YER053C
OG0002532	snap_masked-SAKL0F-processed-gene-6.96-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-6.96&CDS=1-1716	YIL046W
OG0002533	maker-SAKL0F-augustus-gene-6.112-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-6.112&CDS=1-891	YER055C
OG0002534	augustus_masked-SAKL0F-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.133&CDS=1-2598	YIL047C
OG0002535	augustus_masked-SAKL0F-processed-gene-6.158-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.158&CDS=1-3429	YIL048W
OG0002536	augustus_masked-SAKL0F-processed-gene-6.160-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.160&CDS=1-432	YIL051C
OG0002537	augustus_masked-SAKL0F-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.134&CDS=1-306	YER058W
OG0002538	augustus_masked-SAKL0F-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.137&CDS=1-825	YIL049W
OG0002539	augustus_masked-SAKL0F-processed-gene-6.161-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.161&CDS=1-1299	YER061C
OG0002540	augustus_masked-SAKL0F-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.138&CDS=1-1254	YIL055C
OG0002541	augustus_masked-SAKL0F-processed-gene-6.163-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.163&CDS=1-1881	YIL056W
OG0002542	augustus_masked-SAKL0F-processed-gene-6.164-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.164&CDS=1-1683	YER065C
OG0002543	augustus_masked-SAKL0F-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.139&CDS=1-489	YIL057C
OG0002544	augustus_masked-SAKL0F-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.140&CDS=1-1848	YER068W
OG0002545	augustus_masked-SAKL0F-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.141&CDS=1-906	YIL061C
OG0002546	augustus_masked-SAKL0F-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.142&CDS=1-2565	YER069W
OG0002547	augustus_masked-SAKL0F-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.143&CDS=1-1491	YIL062C
OG0002548	augustus_masked-SAKL0F-processed-gene-6.165-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.165&CDS=1-687	YIL064W
OG0002549	augustus_masked-SAKL0F-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-6.144&CDS=1-465	YIL065C
OG0002550	augustus_masked-SAKL0F-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.110&CDS=1-2028	YIL067C
OG0002551	augustus_masked-SAKL0F-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.111&CDS=1-2385	YIL068C
OG0002552	snap_masked-SAKL0F-processed-gene-7.53-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.53&CDS=1-342	YER071C
OG0002553	augustus_masked-SAKL0F-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.112&CDS=1-369	YER072W
OG0002554	maker-SAKL0F-snap-gene-7.96-mRNA-1_1&gene=maker-SAKL0F-snap-gene-7.96&CDS=1-330	YER074W-A
OG0002555	snap_masked-SAKL0F-processed-gene-7.72-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.72&CDS=1-3045	YER075C
OG0002556	augustus_masked-SAKL0F-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.115&CDS=1-771	YIL070C
OG0002557	augustus_masked-SAKL0F-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.132&CDS=1-1785	YER077C
OG0002558	augustus_masked-SAKL0F-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.116&CDS=1-1281	YIL071C
OG0002559	augustus_masked-SAKL0F-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.133&CDS=1-3249	YER078C
OG0002560	augustus_masked-SAKL0F-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.117&CDS=1-732	YER079W
OG0002561	snap_masked-SAKL0F-processed-gene-7.58-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.58&CDS=1-1863	YER080W
OG0002562	snap_masked-SAKL0F-processed-gene-7.59-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.59&CDS=1-2913	YIL073C
OG0002563	augustus_masked-SAKL0F-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.120&CDS=1-2814	YIL075C
OG0002564	augustus_masked-SAKL0F-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.134&CDS=1-1656	YER082C
OG0002565	augustus_masked-SAKL0F-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.135&CDS=1-915	YER083C
OG0002566	augustus_masked-SAKL0F-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.136&CDS=1-873	YIL076W
OG0002567	augustus_masked-SAKL0F-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.122&CDS=1-987	YIL077C
OG0002568	augustus_masked-SAKL0F-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.137&CDS=1-2193	YIL078W
OG0002569	augustus_masked-SAKL0F-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.138&CDS=1-2028	YDL176W
OG0002570	augustus_masked-SAKL0F-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.123&CDS=1-462	YDL177C
OG0002571	augustus_masked-SAKL0F-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.139&CDS=1-936	YDL124W
OG0002572	augustus_masked-SAKL0F-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.140&CDS=1-1617	YDL178W
OG0002573	maker-SAKL0F-snap-gene-7.98-mRNA-1_1&gene=maker-SAKL0F-snap-gene-7.98&CDS=1-2997	YDL126C
OG0002574	augustus_masked-SAKL0F-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.141&CDS=1-1005	YDL179W
OG0002575	augustus_masked-SAKL0F-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.142&CDS=1-1215	YDL128W
OG0002576	augustus_masked-SAKL0F-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.143&CDS=1-1392	YDL180W
OG0002577	augustus_masked-SAKL0F-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.144&CDS=1-666	YDL129W
OG0002578	maker-SAKL0F-augustus-gene-7.105-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-7.105&CDS=1-315	YDL130W
OG0002579	augustus_masked-SAKL0F-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.146&CDS=1-255	YDL181W
OG0002580	augustus_masked-SAKL0F-processed-gene-7.148-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.148&CDS=1-2421	YDL132W
OG0002581	snap_masked-SAKL0F-processed-gene-7.91-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.91&CDS=1-1359	YDL133W
OG0002582	snap_masked-SAKL0F-processed-gene-7.68-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.68&CDS=1-906	YDL183C
OG0002583	snap_masked-SAKL0F-processed-gene-7.92-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.92&CDS=1-1851	YDL185W
OG0002584	snap_masked-SAKL0F-processed-gene-7.93-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-7.93&CDS=1-864	YDL186W
OG0002585	augustus_masked-SAKL0F-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.129&CDS=1-603	YDL135C
OG0002586	genemark-SAKL0F-processed-gene-7.46-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-7.46&CDS=1-1251	YDL189W
OG0002587	augustus_masked-SAKL0F-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-7.130&CDS=1-2862	YDL190C
OG0002588	augustus_masked-SAKL0F-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.102&CDS=1-1065	YDL193W
OG0002589	augustus_masked-SAKL0F-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.104&CDS=1-3783	YDL195W
OG0002590	maker-SAKL0F-augustus-gene-8.145-mRNA-1_1&gene=maker-SAKL0F-augustus-gene-8.145&CDS=1-2031	YLR216C
OG0002591	augustus_masked-SAKL0F-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.106&CDS=1-5190	YDL140C
OG0002592	augustus_masked-SAKL0F-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.126&CDS=1-2046	YDL141W
OG0002593	augustus_masked-SAKL0F-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.107&CDS=1-813	YDL142C
OG0002594	augustus_masked-SAKL0F-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.127&CDS=1-1584	YDL143W
