	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0001369	YGL011C	genemark-flattened_line_11-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.96&CDS=1-741
OG0001370	YGL012W	augustus_masked-flattened_line_11-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.47&CDS=1-1374
OG0001371	YGL014W	snap_masked-flattened_line_11-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.15&CDS=1-1500
OG0001372	YGL016W	snap_masked-flattened_line_7-processed-gene-5.139-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.139&CDS=1-2925
OG0001373	YGL017W	genemark-flattened_line_7-processed-gene-5.48-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-5.48&CDS=1-1410
OG0001374	YGL018C	snap_masked-flattened_line_7-processed-gene-5.142-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.142&CDS=1-612
OG0001375	YGL019W	snap_masked-flattened_line_7-processed-gene-5.118-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.118&CDS=1-852
OG0001376	YGL020C	snap_masked-flattened_line_7-processed-gene-5.141-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.141&CDS=1-603
OG0001377	YGL022W	genemark-flattened_line_7-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-3.117&CDS=1-2169
OG0001378	YGL023C	genemark-flattened_line_7-processed-gene-3.116-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-3.116&CDS=1-2154
OG0001379	YGL026C	snap_masked-flattened_line_27-processed-gene-1.285-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.285&CDS=1-2106
OG0001380	YGL027C	snap_masked-flattened_line_27-processed-gene-1.242-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.242&CDS=1-2475
OG0001381	YGL028C	snap_masked-flattened_line_15-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.32&CDS=1-1374
OG0001382	YGL030W	augustus_masked-flattened_line_53-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.157&CDS=1-318
OG0001383	YGL037C	snap_masked-flattened_line_9-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.90&CDS=1-690
OG0001384	YGL040C	snap_masked-flattened_line_7-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.27&CDS=1-1023
OG0001385	YGL043W	augustus_masked-flattened_line_13-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-0.4&CDS=1-867
OG0001386	YGL044C	maker-flattened_line_13-augustus-gene-0.82-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-0.82&CDS=1-1242
OG0001387	YGL047W	snap_masked-flattened_line_41-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.90&CDS=1-594
OG0001388	YGL048C	genemark-flattened_line_39-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.96&CDS=1-2919
OG0001389	YGL050W	snap_masked-flattened_line_47-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.87&CDS=1-780
OG0001390	YGL054C	snap_masked-flattened_line_13-processed-gene-3.45-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.45&CDS=1-411
OG0001391	YGL055W	snap_masked-flattened_line_31-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.96&CDS=1-1461
OG0001392	YGL058W	snap_masked-flattened_line_9-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.17&CDS=1-516
OG0001393	YGL059W	genemark-flattened_line_5-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.90&CDS=1-1305
OG0001394	YGL064C	genemark-flattened_line_37-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.126&CDS=1-1626
OG0001395	YGL066W	snap_masked-flattened_line_55-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.60&CDS=1-1314
OG0001396	YGL067W	snap_masked-flattened_line_37-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.78&CDS=1-1350
OG0001397	YGL068W	snap_masked-flattened_line_41-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.79&CDS=1-519
OG0001398	YGL070C	genemark-flattened_line_41-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.104&CDS=1-348
OG0001399	YGL073W	genemark-flattened_line_5-processed-gene-4.33-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.33&CDS=1-1935
OG0001400	YGL077C	snap_masked-flattened_line_17-processed-gene-1.123-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.123&CDS=1-1587
OG0001401	YGL078C	snap_masked-flattened_line_5-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.63&CDS=1-3321
OG0001402	YGL079W	snap_masked-flattened_line_9-processed-gene-4.133-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.133&CDS=1-492
OG0001403	YGL080W	snap_masked-flattened_line_9-processed-gene-4.136-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.136&CDS=1-342
OG0001404	YGL083W	snap_masked-flattened_line_29-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.125&CDS=1-2373
OG0001405	YGL084C	augustus_masked-flattened_line_5-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-1.34&CDS=1-1998
OG0001406	YGL085W	snap_masked-flattened_line_21-processed-gene-2.179-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.179&CDS=1-696
OG0001407	YGL086W	snap_masked-flattened_line_5-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.85&CDS=1-1989
OG0001408	YGL087C	snap_masked-flattened_line_5-processed-gene-1.67-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.67&CDS=1-411
OG0001409	YGL094C	snap_masked-flattened_line_31-processed-gene-1.224-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.224&CDS=1-3414
OG0001410	YGL097W	snap_masked-flattened_line_9-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.37&CDS=1-1482
OG0001411	YGL100W	snap_masked-flattened_line_29-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.168&CDS=1-1026
OG0001412	YGL105W	snap_masked-flattened_line_3-processed-gene-3.83-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.83&CDS=1-1122
OG0001413	YGL106W	augustus_masked-flattened_line_3-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.142&CDS=1-867
OG0001414	YGL110C	snap_masked-flattened_line_29-processed-gene-1.172-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.172&CDS=1-1887
OG0001415	YGL111W	snap_masked-flattened_line_29-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.133&CDS=1-1215
OG0001416	YGL112C	augustus_masked-flattened_line_13-processed-gene-3.239-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.239&CDS=1-1470
OG0001417	YGL113W	augustus_masked-flattened_line_13-processed-gene-3.200-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.200&CDS=1-1854
OG0001418	YGL114W	snap_masked-flattened_line_37-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.65&CDS=1-1926
OG0001419	YGL115W	snap_masked-flattened_line_37-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.64&CDS=1-990
OG0001420	YGL116W	genemark-flattened_line_37-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-1.39&CDS=1-1641
OG0001421	YGL120C	snap_masked-flattened_line_49-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.151&CDS=1-2280
OG0001422	YGL125W	genemark-flattened_line_11-processed-gene-2.107-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.107&CDS=1-1842
OG0001423	YGL126W	snap_masked-flattened_line_27-processed-gene-1.228-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.228&CDS=1-870
OG0001424	YGL127C	snap_masked-flattened_line_59-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.40&CDS=1-396
OG0001425	YGL129C	snap_masked-flattened_line_37-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.55&CDS=1-1380
OG0001426	YGL130W	genemark-flattened_line_1-processed-gene-7.29-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-7.29&CDS=1-1311
OG0001427	YGL131C	snap_masked-flattened_line_1-processed-gene-7.132-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.132&CDS=1-4284
OG0001428	YGL133W	snap_masked-flattened_line_37-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.76&CDS=1-3219
OG0001429	YGL136C	genemark-flattened_line_33-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-1.122&CDS=1-633
OG0001430	YGL141W	snap_masked-flattened_line_27-processed-gene-1.217-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.217&CDS=1-2811
OG0001431	YGL142C	genemark-flattened_line_35-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-1.125&CDS=1-1404
OG0001432	YGL143C	snap_masked-flattened_line_59-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.31&CDS=1-1206
OG0001433	YGL144C	snap_masked-flattened_line_35-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.73&CDS=1-2151
OG0001434	YGL148W	snap_masked-flattened_line_47-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.151&CDS=1-1134
OG0001435	YGL150C	maker-flattened_line_3-snap-gene-3.165-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-3.165&CDS=1-3915
OG0001436	YGL155W	genemark-flattened_line_47-processed-gene-0.189-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.189&CDS=1-1035
OG0001437	YGL156W	genemark-flattened_line_1-processed-gene-4.122-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.122&CDS=1-3282
OG0001438	YGL160W	snap_masked-flattened_line_7-processed-gene-4.63-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.63&CDS=1-1452
OG0001439	YGL161C	snap_masked-flattened_line_21-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.9&CDS=1-834
OG0001440	YGL163C	snap_masked-flattened_line_21-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.85&CDS=1-2472
OG0001441	YGL164C	snap_masked-flattened_line_21-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.99&CDS=1-1212
OG0001442	YGL166W	snap_masked-flattened_line_21-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.84&CDS=1-1404
OG0001443	YGL167C	augustus_masked-flattened_line_9-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.5&CDS=1-4818
OG0001444	YGL171W	snap_masked-flattened_line_17-processed-gene-1.128-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.128&CDS=1-1614
OG0001445	YGL172W	snap_masked-flattened_line_5-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.79&CDS=1-1509
OG0001446	YGL173C	snap_masked-flattened_line_5-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.51&CDS=1-4299
OG0001447	YGL178W	snap_masked-flattened_line_5-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.54&CDS=1-2457
OG0001448	YGL179C	snap_masked-flattened_line_59-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.44&CDS=1-3840
OG0001449	YGL180W	snap_masked-flattened_line_59-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.57&CDS=1-2508
OG0001450	YGL181W	snap_masked-flattened_line_3-processed-gene-7.23-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.23&CDS=1-1275
OG0001451	YGL183C	augustus_masked-flattened_line_3-processed-gene-7.172-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-7.172&CDS=1-618
OG0001452	YGL186C	snap_masked-flattened_line_5-processed-gene-4.89-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.89&CDS=1-1656
OG0001453	YGL190C	genemark-flattened_line_7-processed-gene-3.120-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-3.120&CDS=1-1500
OG0001454	YGL191W	genemark-flattened_line_7-processed-gene-3.141-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-3.141&CDS=1-405
OG0001455	YGL192W	snap_masked-flattened_line_7-processed-gene-3.39-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.39&CDS=1-1503
OG0001456	YGL194C	maker-flattened_line_11-snap-gene-0.100-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-0.100&CDS=1-3408
OG0001457	YGL195W	snap_masked-flattened_line_51-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.136&CDS=1-7098
OG0001458	YGL198W	snap_masked-flattened_line_45-processed-gene-0.242-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.242&CDS=1-855
OG0001459	YGL200C	snap_masked-flattened_line_47-processed-gene-0.150-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.150&CDS=1-564
OG0001460	YGL201C	snap_masked-flattened_line_3-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.46&CDS=1-2352
OG0001461	YGL202W	augustus_masked-flattened_line_7-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-5.70&CDS=1-4125
OG0001462	YGL206C	snap_masked-flattened_line_1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.45&CDS=1-5028
OG0001463	YGL207W	snap_masked-flattened_line_1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.7&CDS=1-3009
OG0001464	YGL209W	snap_masked-flattened_line_51-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.100&CDS=1-906
OG0001465	YGL211W	snap_masked-flattened_line_1-processed-gene-5.70-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.70&CDS=1-1113
OG0001466	YGL213C	snap_masked-flattened_line_37-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.86&CDS=1-1122
OG0001467	YGL215W	snap_masked-flattened_line_3-processed-gene-5.121-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.121&CDS=1-870
OG0001468	YGL216W	augustus_masked-flattened_line_13-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-2.11&CDS=1-2775
OG0001469	YGL221C	genemark-flattened_line_1-processed-gene-7.42-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-7.42&CDS=1-837
OG0001470	YGL227W	snap_masked-flattened_line_35-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.64&CDS=1-2274
OG0001471	YGL231C	genemark-flattened_line_11-processed-gene-3.114-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-3.114&CDS=1-522
OG0001472	YGL232W	snap_masked-flattened_line_11-processed-gene-3.81-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.81&CDS=1-780
OG0001473	YGL233W	genemark-flattened_line_23-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.13&CDS=1-2262
OG0001474	YGL234W	snap_masked-flattened_line_17-processed-gene-3.61-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.61&CDS=1-2373
OG0001475	YGL236C	snap_masked-flattened_line_17-processed-gene-3.38-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.38&CDS=1-2049
OG0001476	YGL237C	snap_masked-flattened_line_7-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.140&CDS=1-573
OG0001477	YGL238W	maker-flattened_line_7-augustus-gene-2.142-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-2.142&CDS=1-3975
OG0001478	YGL240W	augustus_masked-flattened_line_17-processed-gene-3.179-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.179&CDS=1-1092
OG0001479	YGL241W	snap_masked-flattened_line_9-processed-gene-2.28-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.28&CDS=1-2907
OG0001480	YGL242C	genemark-flattened_line_11-processed-gene-5.43-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-5.43&CDS=1-498
OG0001481	YGL244W	snap_masked-flattened_line_9-processed-gene-2.29-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.29&CDS=1-1605
OG0001482	YGL245W	snap_masked-flattened_line_11-processed-gene-5.133-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.133&CDS=1-2154
OG0001483	YGL246C	genemark-flattened_line_5-processed-gene-6.18-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-6.18&CDS=1-1152
OG0001484	YGL248W	augustus_masked-flattened_line_35-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.181&CDS=1-1206
OG0001485	YGL250W	snap_masked-flattened_line_29-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.70&CDS=1-1461
OG0001486	YGL251C	snap_masked-flattened_line_29-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.77&CDS=1-3783
OG0001487	YGR001C	snap_masked-flattened_line_23-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.77&CDS=1-726
OG0001488	YGR002C	genemark-flattened_line_3-processed-gene-6.146-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.146&CDS=1-1446
OG0001489	YGR003W	snap_masked-flattened_line_3-processed-gene-6.92-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.92&CDS=1-2280
OG0001490	YGR005C	genemark-flattened_line_7-processed-gene-5.25-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-5.25&CDS=1-1134
OG0001491	YGR007W	maker-flattened_line_7-snap-gene-5.1-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-5.1&CDS=1-1119
OG0001492	YGR009C	snap_masked-flattened_line_37-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.115&CDS=1-1323
OG0001493	YGR012W	snap_masked-flattened_line_37-processed-gene-1.77-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.77&CDS=1-1158
OG0001494	YGR013W	snap_masked-flattened_line_7-processed-gene-3.12-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.12&CDS=1-1590
OG0001495	YGR014W	snap_masked-flattened_line_7-processed-gene-3.35-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.35&CDS=1-3267
OG0001496	YGR017W	snap_masked-flattened_line_9-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.91&CDS=1-846
OG0001497	YGR019W	augustus_masked-flattened_line_17-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.4&CDS=1-2580
OG0001498	YGR020C	snap_masked-flattened_line_17-processed-gene-2.46-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.46&CDS=1-381
OG0001499	YGR021W	snap_masked-flattened_line_17-processed-gene-2.67-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.67&CDS=1-855
OG0001500	YGR024C	snap_masked-flattened_line_11-processed-gene-5.129-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.129&CDS=1-780
OG0001501	YGR026W	snap_masked-flattened_line_3-processed-gene-4.50-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.50&CDS=1-846
OG0001502	YGR028W	maker-flattened_line_3-augustus-gene-2.38-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-2.38&CDS=1-3714
OG0001503	YGR029W	genemark-flattened_line_3-processed-gene-3.139-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-3.139&CDS=1-399
OG0001504	YGR030C	augustus_masked-flattened_line_1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.21&CDS=1-498
OG0001505	YGR031W	augustus_masked-flattened_line_5-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.116&CDS=1-1812
OG0001506	YGR033C	genemark-flattened_line_25-processed-gene-1.244-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.244&CDS=1-747
OG0001507	YGR036C	genemark-flattened_line_25-processed-gene-1.242-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.242&CDS=1-693
OG0001508	YGR040W	snap_masked-flattened_line_1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.6&CDS=1-1164
OG0001509	YGR042W	snap_masked-flattened_line_39-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.122&CDS=1-1017
OG0001510	YGR046W	snap_masked-flattened_line_15-processed-gene-3.102-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.102&CDS=1-1221
OG0001511	YGR047C	augustus_masked-flattened_line_11-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.4&CDS=1-3093
OG0001512	YGR048W	snap_masked-flattened_line_17-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.136&CDS=1-930
OG0001513	YGR052W	snap_masked-flattened_line_37-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.46&CDS=1-1125
OG0001514	YGR053C	snap_masked-flattened_line_37-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.48&CDS=1-660
OG0001515	YGR054W	maker-flattened_line_25-snap-gene-1.102-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-1.102&CDS=1-2790
OG0001516	YGR055W	snap_masked-flattened_line_21-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.106&CDS=1-1647
OG0001517	YGR057C	snap_masked-flattened_line_11-processed-gene-5.118-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.118&CDS=1-618
OG0001518	YGR058W	genemark-flattened_line_45-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.125&CDS=1-1002
OG0001519	YGR060W	genemark-flattened_line_3-processed-gene-1.87-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.87&CDS=1-906
OG0001520	YGR061C	snap_masked-flattened_line_3-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.9&CDS=1-3810
OG0001521	YGR062C	maker-flattened_line_35-augustus-gene-0.97-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.97&CDS=1-1764
OG0001522	YGR063C	snap_masked-flattened_line_35-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.65&CDS=1-333
OG0001523	YGR074W	snap_masked-flattened_line_33-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.85&CDS=1-315
OG0001524	YGR076C	snap_masked-flattened_line_33-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.62&CDS=1-465
OG0001525	YGR078C	maker-flattened_line_13-snap-gene-1.85-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-1.85&CDS=1-564
OG0001526	YGR082W	genemark-flattened_line_13-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.122&CDS=1-513
OG0001527	YGR090W	augustus_masked-flattened_line_17-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.136&CDS=1-4656
OG0001528	YGR093W	snap_masked-flattened_line_13-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.45&CDS=1-1443
OG0001529	YGR099W	snap_masked-flattened_line_9-processed-gene-2.5-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.5&CDS=1-2346
OG0001530	YGR100W	augustus_masked-flattened_line_53-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.178&CDS=1-10581
OG0001531	YGR103W	augustus_masked-flattened_line_51-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.232&CDS=1-2124
OG0001532	YGR104C	snap_masked-flattened_line_51-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.114&CDS=1-765
OG0001533	YGR105W	maker-flattened_line_51-snap-gene-0.162-mRNA-1_1&gene=maker-flattened_line_51-snap-gene-0.162&CDS=1-243
OG0001534	YGR110W	snap_masked-flattened_line_37-processed-gene-1.120-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.120&CDS=1-1200
OG0001535	YGR111W	snap_masked-flattened_line_1-processed-gene-7.105-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.105&CDS=1-1209
OG0001536	YGR112W	snap_masked-flattened_line_5-processed-gene-5.78-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.78&CDS=1-1056
OG0001537	YGR113W	augustus_masked-flattened_line_5-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.14&CDS=1-1494
OG0001538	YGR116W	snap_masked-flattened_line_11-processed-gene-4.135-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.135&CDS=1-4119
OG0001539	YGR119C	snap_masked-flattened_line_3-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.35&CDS=1-1167
OG0001540	YGR123C	snap_masked-flattened_line_49-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.128&CDS=1-1533
OG0001541	YGR124W	snap_masked-flattened_line_39-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.6&CDS=1-1728
OG0001542	YGR125W	snap_masked-flattened_line_3-processed-gene-4.1-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.1&CDS=1-3171
