	Candida_infanticola	Saccharomyces_cerevisiae
OG0001529	augustus_masked-LWLF01000021.1-processed-gene-3.190-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.190&CDS=1-1404	YNL137C
OG0001530	augustus_masked-LWLF01000021.1-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.167&CDS=1-690	YNL136W
OG0001531	augustus_masked-LWLF01000021.1-processed-gene-3.191-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.191&CDS=1-324	YNL135C
OG0001532	maker-LWLF01000021.1-snap-gene-3.133-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-3.133&CDS=1-1812	YNL138W
OG0001533	snap_masked-LWLF01000021.1-processed-gene-3.35-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-3.35&CDS=1-948	YNL119W
OG0001534	augustus_masked-LWLF01000021.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.64&CDS=1-525	YBR137W
OG0001535	augustus_masked-LWLF01000021.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.65&CDS=1-1662	YJL041W
OG0001536	augustus_masked-LWLF01000021.1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.68&CDS=1-4371	YJL039C
OG0001537	augustus_masked-LWLF01000021.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.67&CDS=1-1593	YMR290C
OG0001538	genemark-LWLF01000021.1-processed-gene-4.27-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-4.27&CDS=1-1239	YDR459C
OG0001539	augustus_masked-LWLF01000021.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.69&CDS=1-954	YDR460W
OG0001540	augustus_masked-LWLF01000021.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.89&CDS=1-729	YGR267C
OG0001541	genemark-LWLF01000021.1-processed-gene-4.29-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-4.29&CDS=1-795	YGR268C
OG0001542	augustus_masked-LWLF01000021.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.70&CDS=1-2520	YLR319C
OG0001543	snap_masked-LWLF01000021.1-processed-gene-4.141-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-4.141&CDS=1-2259	YLR318W
OG0001544	augustus_masked-LWLF01000021.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.71&CDS=1-1026	YLR321C
OG0001545	augustus_masked-LWLF01000021.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.94&CDS=1-324	YOL039W
OG0001546	augustus_masked-LWLF01000021.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.73&CDS=1-843	YOL048C
OG0001547	snap_masked-LWLF01000021.1-processed-gene-4.146-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-4.146&CDS=1-1524	YOL049W
OG0001548	augustus_masked-LWLF01000021.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.96&CDS=1-1080	YMR014W
OG0001549	augustus_masked-LWLF01000021.1-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.97&CDS=1-450	YDR462W
OG0001550	augustus_masked-LWLF01000021.1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.98&CDS=1-1392	YJL091C
OG0001551	augustus_masked-LWLF01000021.1-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.99&CDS=1-1530	YML086C
OG0001552	augustus_masked-LWLF01000021.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.100&CDS=1-1926	YAL043C
OG0001553	augustus_masked-LWLF01000021.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.78&CDS=1-6387	YBR136W
OG0001554	augustus_masked-LWLF01000021.1-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.101&CDS=1-3252	YMR012W
OG0001555	maker-LWLF01000021.1-augustus-gene-4.61-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-4.61&CDS=1-2628	YPL249C
OG0001556	snap_masked-LWLF01000021.1-processed-gene-4.156-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-4.156&CDS=1-1722	YGL172W
OG0001557	augustus_masked-LWLF01000021.1-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.81&CDS=1-4320	YGL173C
OG0001558	augustus_masked-LWLF01000021.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.106&CDS=1-459	YGL174W
OG0001559	augustus_masked-LWLF01000021.1-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.107&CDS=1-5130	YDL140C
OG0001560	augustus_masked-LWLF01000021.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.82&CDS=1-2439	YCL061C
OG0001561	maker-LWLF01000021.1-augustus-gene-4.59-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-4.59&CDS=1-2289	YMR125W
OG0001562	augustus_masked-LWLF01000021.1-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.110&CDS=1-1362	YOR113W
OG0001563	snap_masked-LWLF01000021.1-processed-gene-4.164-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-4.164&CDS=1-1854	YCR084C
OG0001564	genemark-LWLF01000021.1-processed-gene-4.57-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-4.57&CDS=1-828	YOL093W
OG0001565	augustus_masked-LWLF01000021.1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.85&CDS=1-792	YIL010W
OG0001566	augustus_masked-LWLF01000021.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.86&CDS=1-531	YIL007C
OG0001567	augustus_masked-LWLF01000021.1-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.114&CDS=1-777	YIL070C
OG0001568	augustus_masked-LWLF01000021.1-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.58&CDS=1-609	YCL001W
OG0001569	augustus_masked-LWLF01000021.1-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.56&CDS=1-1716	YNL104C
OG0001570	augustus_masked-LWLF01000021.1-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.84&CDS=1-2340	YJL200C
OG0001571	augustus_masked-LWLF01000021.1-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.60&CDS=1-1020	YBL058W
OG0001572	snap_masked-LWLF01000021.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.7&CDS=1-909	YBL055C
OG0001573	augustus_masked-LWLF01000021.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.88&CDS=1-450	YPR062W
OG0001574	maker-LWLF01000021.1-augustus-gene-5.113-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-5.113&CDS=1-6900	YGL156W
OG0001575	augustus_masked-LWLF01000021.1-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.62&CDS=1-1386	YNR001C
OG0001576	genemark-LWLF01000021.1-processed-gene-5.156-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-5.156&CDS=1-402	YBL078C
OG0001577	augustus_masked-LWLF01000021.1-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.92&CDS=1-924	YBR039W
OG0001578	maker-LWLF01000021.1-augustus-gene-5.114-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-5.114&CDS=1-1641	YDR019C
OG0001579	augustus_masked-LWLF01000021.1-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.96&CDS=1-2148	YHR072W
OG0001580	augustus_masked-LWLF01000021.1-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.65&CDS=1-1800	YAR007C
OG0001581	snap_masked-LWLF01000021.1-processed-gene-5.45-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.45&CDS=1-2631	YGL016W
OG0001582	augustus_masked-LWLF01000021.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.66&CDS=1-1839	YLL029W
OG0001583	augustus_masked-LWLF01000021.1-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.67&CDS=1-543	YLL027W
OG0001584	augustus_masked-LWLF01000021.1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.68&CDS=1-390	YDL120W
OG0001585	augustus_masked-LWLF01000021.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.99&CDS=1-333	YLR275W
OG0001586	snap_masked-LWLF01000021.1-processed-gene-5.15-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.15&CDS=1-591	YFL010C
OG0001587	genemark-LWLF01000021.1-processed-gene-5.166-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-5.166&CDS=1-339	YMR123W
OG0001588	augustus_masked-LWLF01000021.1-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.73&CDS=1-840	YDL193W
OG0001589	augustus_masked-LWLF01000021.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.74&CDS=1-1092	YKL113C
OG0001590	augustus_masked-LWLF01000021.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.75&CDS=1-1008	YKL114C
OG0001591	augustus_masked-LWLF01000021.1-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.102&CDS=1-699	YIR042C
OG0001592	augustus_masked-LWLF01000021.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.103&CDS=1-1578	YGL171W
OG0001593	augustus_masked-LWLF01000021.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.76&CDS=1-690	YLR312W-A
OG0001594	snap_masked-LWLF01000021.1-processed-gene-5.26-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.26&CDS=1-2079	YLL021W
OG0001595	genemark-LWLF01000021.1-processed-gene-5.171-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-5.171&CDS=1-1677	YDR242W
OG0001596	augustus_masked-LWLF01000021.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.106&CDS=1-498	YLR074C
OG0001597	augustus_masked-LWLF01000021.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.107&CDS=1-648	YOR281C
OG0001598	augustus_masked-LWLF01000021.1-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.80&CDS=1-657	YLR075W
OG0001599	augustus_masked-LWLF01000021.1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.81&CDS=1-756	YFL045C
OG0001600	augustus_masked-LWLF01000021.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.108&CDS=1-621	YFL046W
OG0001601	augustus_masked-LWLF01000021.1-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.82&CDS=1-1221	YLR077W
OG0001602	augustus_masked-LWLF01000021.1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.83&CDS=1-663	YLR078C
OG0001603	augustus_masked-LWLF01000021.1-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.0&CDS=1-1095	YGR279C
OG0001604	augustus_masked-LWLF01000021.1-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.4&CDS=1-1494	YFL018C
OG0001605	augustus_masked-LWLF01000021.1-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.5&CDS=1-1194	YGR278W
OG0001606	augustus_masked-LWLF01000021.1-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.2&CDS=1-804	YGR277C
OG0001607	augustus_masked-LWLF01000021.1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.6&CDS=1-2601	YLR336C
OG0001608	augustus_masked-LWLF01000021.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.27&CDS=1-3273	YMR304W
OG0001609	augustus_masked-LWLF01000021.1-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.28&CDS=1-2007	YPR021C
OG0001610	augustus_masked-LWLF01000021.1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.7&CDS=1-732	YGL011C
OG0001611	augustus_masked-LWLF01000021.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.9&CDS=1-1158	YPL060W
OG0001612	augustus_masked-LWLF01000021.1-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.31&CDS=1-1161	YDL029W
OG0001613	augustus_masked-LWLF01000021.1-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.10&CDS=1-429	YPR020W
OG0001614	snap_masked-LWLF01000021.1-processed-gene-6.121-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-6.121&CDS=1-1827	YDR217C
OG0001615	augustus_masked-LWLF01000021.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.34&CDS=1-1014	YIR029W
OG0001616	augustus_masked-LWLF01000021.1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.16&CDS=1-696	YCR016W
OG0001617	maker-LWLF01000021.1-augustus-gene-6.106-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-6.106&CDS=1-1983	YJR131W
OG0001618	augustus_masked-LWLF01000021.1-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.17&CDS=1-1881	YGR200C
OG0001619	augustus_masked-LWLF01000021.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.37&CDS=1-2202	YAL023C
OG0001620	maker-LWLF01000021.1-augustus-gene-6.107-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-6.107&CDS=1-3540	YNL325C
OG0001621	snap_masked-LWLF01000021.1-processed-gene-6.148-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-6.148&CDS=1-1146	YAL022C
OG0001622	augustus_masked-LWLF01000021.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.40&CDS=1-1758	YJR016C
OG0001623	augustus_masked-LWLF01000021.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.18&CDS=1-927	YGR086C
OG0001624	augustus_masked-LWLF01000021.1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.41&CDS=1-1071	YPL001W
OG0001625	maker-LWLF01000021.1-snap-gene-6.50-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-6.50&CDS=1-720	YJL003W
OG0001626	augustus_masked-LWLF01000021.1-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.42&CDS=1-4347	YOR093C
OG0001627	augustus_masked-LWLF01000021.1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.21&CDS=1-345	YDR493W
OG0001628	augustus_masked-LWLF01000021.1-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.45&CDS=1-951	YNL206C
OG0001629	augustus_masked-LWLF01000021.1-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.46&CDS=1-969	YER133W
OG0001630	augustus_masked-LWLF01000021.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.24&CDS=1-1479	YOR359W
OG0001631	snap_masked-LWLF01000021.1-processed-gene-6.156-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-6.156&CDS=1-1743	YOR360C
OG0001632	augustus_masked-LWLF01000021.1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.48&CDS=1-4113	YDR334W
OG0001633	augustus_masked-LWLF01000021.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.49&CDS=1-897	YOL018C
OG0001634	augustus_masked-LWLF01000021.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.26&CDS=1-879	YPR069C
OG0001635	snap_masked-LWLF01000021.1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-7.51&CDS=1-2886	YOR373W
OG0001636	augustus_masked-LWLF01000021.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.4&CDS=1-1290	YGL064C
OG0001637	augustus_masked-LWLF01000021.1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.5&CDS=1-543	YPL211W
OG0001638	augustus_masked-LWLF01000021.1-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.1&CDS=1-1188	YGL129C
OG0001639	augustus_masked-LWLF01000021.1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.6&CDS=1-1116	YGL130W
OG0001640	genemark-LWLF01000021.1-processed-gene-7.110-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-7.110&CDS=1-1419	YMR213W
OG0001641	augustus_masked-LWLF01000021.1-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.2&CDS=1-630	YJR093C
OG0001642	augustus_masked-LWLF01000021.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.27&CDS=1-447	YMR074C
OG0001643	augustus_masked-LWLF01000021.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.9&CDS=1-2568	YNL267W
OG0001644	augustus_masked-LWLF01000021.1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.10&CDS=1-309	YPL098C
OG0001645	augustus_masked-LWLF01000021.1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.11&CDS=1-1149	YFR021W
OG0001646	augustus_masked-LWLF01000021.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.29&CDS=1-1518	YNL272C
OG0001647	augustus_masked-LWLF01000021.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.30&CDS=1-1245	YIL160C
OG0001648	augustus_masked-LWLF01000021.1-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.14&CDS=1-642	YBR096W
OG0001649	genemark-LWLF01000021.1-processed-gene-7.136-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-7.136&CDS=1-726	YCR035C
OG0001650	augustus_masked-LWLF01000021.1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.33&CDS=1-2751	YJL108C
OG0001651	augustus_masked-LWLF01000021.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.34&CDS=1-1083	YMR161W
OG0001652	augustus_masked-LWLF01000021.1-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.15&CDS=1-3165	YDL102W
OG0001653	augustus_masked-LWLF01000021.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.35&CDS=1-2106	YMR186W
OG0001654	snap_masked-LWLF01000021.1-processed-gene-7.86-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-7.86&CDS=1-2505	YMR185W
OG0001655	augustus_masked-LWLF01000021.1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.16&CDS=1-480	YPL239W
OG0001656	augustus_masked-LWLF01000021.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.37&CDS=1-516	YMR022W
OG0001657	augustus_masked-LWLF01000021.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.18&CDS=1-1497	YKL217W
OG0001658	augustus_masked-LWLF01000021.1-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.20&CDS=1-1410	YKL191W
OG0001659	maker-LWLF01000021.1-augustus-gene-7.154-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-7.154&CDS=1-4992	YLR430W
OG0001660	augustus_masked-LWLF01000021.1-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.21&CDS=1-1719	YFL053W
OG0001661	augustus_masked-LWLF01000021.1-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.42&CDS=1-858	YPL228W
OG0001662	augustus_masked-LWLF01000021.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.43&CDS=1-1437	YKL211C
OG0001663	genemark-LWLF01000021.1-processed-gene-7.128-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-7.128&CDS=1-474	YBR122C
OG0001664	augustus_masked-LWLF01000021.1-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.44&CDS=1-2394	YDR074W
OG0001665	augustus_masked-LWLF01000021.1-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.24&CDS=1-5400	YBR208C
OG0001666	augustus_masked-LWLF01000021.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.25&CDS=1-1293	YGR002C
OG0001667	augustus_masked-LWLF01000021.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.45&CDS=1-1641	YBL098W
OG0001668	augustus_masked-LWLF01000021.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.46&CDS=1-1182	YER178W
OG0001669	augustus_masked-LWLF01000021.1-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.65&CDS=1-1377	YML013W
OG0001670	augustus_masked-LWLF01000021.1-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.64&CDS=1-1044	YPR023C
OG0001671	genemark-LWLF01000021.1-processed-gene-8.4-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-8.4&CDS=1-600	YIR009W
OG0001672	snap_masked-LWLF01000021.1-processed-gene-8.117-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-8.117&CDS=1-489	YBL057C
OG0001673	augustus_masked-LWLF01000021.1-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.67&CDS=1-1290	YDR448W
OG0001674	augustus_masked-LWLF01000021.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.96&CDS=1-1179	YDR449C
OG0001675	augustus_masked-LWLF01000021.1-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.97&CDS=1-330	YDR510W
OG0001676	maker-LWLF01000021.1-snap-gene-8.62-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-8.62&CDS=1-321	YOR103C
OG0001677	genemark-LWLF01000021.1-processed-gene-8.40-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-8.40&CDS=1-1164	YNL223W
OG0001678	augustus_masked-LWLF01000021.1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.99&CDS=1-1299	YER051W
OG0001679	augustus_masked-LWLF01000021.1-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.72&CDS=1-510	YER050C
OG0001680	augustus_masked-LWLF01000021.1-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.73&CDS=1-2301	YDL148C
OG0001681	augustus_masked-LWLF01000021.1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.101&CDS=1-948	YOL009C
OG0001682	augustus_masked-LWLF01000021.1-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.74&CDS=1-582	YAL003W
OG0001683	augustus_masked-LWLF01000021.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.75&CDS=1-1149	YOL041C
OG0001684	augustus_masked-LWLF01000021.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.102&CDS=1-924	YKL019W
OG0001685	augustus_masked-LWLF01000021.1-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.77&CDS=1-1584	YMR217W
OG0001686	augustus_masked-LWLF01000021.1-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.78&CDS=1-948	YOR271C
OG0001687	augustus_masked-LWLF01000021.1-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.103&CDS=1-1197	YMR208W
OG0001688	augustus_masked-LWLF01000021.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.81&CDS=1-879	YHR088W
OG0001689	augustus_masked-LWLF01000021.1-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.106&CDS=1-2868	YDR430C
OG0001690	augustus_masked-LWLF01000021.1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.82&CDS=1-3627	YDR335W
OG0001691	augustus_masked-LWLF01000021.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.108&CDS=1-2112	YHR042W
