	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
OG0002022	augustus_masked-NC_016482.1-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.43&CDS=1-1905	YNL045W
OG0002023	augustus_masked-NC_016482.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.44&CDS=1-648	YNL048W
OG0002024	augustus_masked-NC_016482.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.64&CDS=1-1809	YEL013W
OG0002025	augustus_masked-NC_016482.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.65&CDS=1-1740	YEL015W
OG0002026	augustus_masked-NC_016482.1-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.45&CDS=1-1176	YNL001W
OG0002027	augustus_masked-NC_016482.1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.66&CDS=1-957	YCR002C
OG0002028	augustus_masked-NC_016482.1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.46&CDS=1-954	YNL063W
OG0002029	augustus_masked-NC_016482.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.47&CDS=1-1050	YEL018W
OG0002030	augustus_masked-NC_016482.1-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.48&CDS=1-1281	YEL017W
OG0002031	augustus_masked-NC_016482.1-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.68&CDS=1-876	YLR351C
OG0002032	augustus_masked-NC_016482.1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.69&CDS=1-1194	YML048W
OG0002033	augustus_masked-NC_016482.1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.50&CDS=1-4251	YML049C
OG0002034	augustus_masked-NC_016482.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.70&CDS=1-900	YML050W
OG0002035	augustus_masked-NC_016482.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.71&CDS=1-1332	YML051W
OG0002036	augustus_masked-NC_016482.1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.72&CDS=1-930	YML052W
OG0002037	augustus_masked-NC_016482.1-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.52&CDS=1-651	YJR057W
OG0002038	augustus_masked-NC_016482.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.73&CDS=1-480	YJR058C
OG0002039	augustus_masked-NC_016482.1-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.53&CDS=1-3255	YKL197C
OG0002040	augustus_masked-NC_016482.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.74&CDS=1-3195	YKL205W
OG0002041	augustus_masked-NC_016482.1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.75&CDS=1-600	YJR069C
OG0002042	augustus_masked-NC_016482.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.76&CDS=1-963	YJR070C
OG0002043	augustus_masked-NC_016482.1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.77&CDS=1-1149	YJR072C
OG0002044	augustus_masked-NC_016482.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.78&CDS=1-810	YKL207W
OG0002045	augustus_masked-NC_016482.1-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.79&CDS=1-726	YKL208W
OG0002046	augustus_masked-NC_016482.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.57&CDS=1-3879	YKL209C
OG0002047	augustus_masked-NC_016482.1-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.58&CDS=1-1173	YHR052W
OG0002048	augustus_masked-NC_016482.1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.80&CDS=1-1866	YHR032W
OG0002049	augustus_masked-NC_016482.1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.61&CDS=1-981	YHR104W
OG0002050	augustus_masked-NC_016482.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.62&CDS=1-2277	YHR031C
OG0002051	augustus_masked-NC_016482.1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.63&CDS=1-1476	YHR030C
OG0002052	augustus_masked-NC_016482.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.96&CDS=1-897	YHR029C
OG0002053	augustus_masked-NC_016482.1-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.97&CDS=1-435	YKL160W
OG0002054	genemark-NC_016482.1-processed-gene-4.56-mRNA-1_1&gene=genemark-NC_016482.1-processed-gene-4.56&CDS=1-474	YHR051W
OG0002055	maker-NC_016482.1-augustus-gene-4.1-mRNA-1_1&gene=maker-NC_016482.1-augustus-gene-4.1&CDS=1-2490	YHR050W
OG0002056	augustus_masked-NC_016482.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.102&CDS=1-1548	YHR048W
OG0002057	augustus_masked-NC_016482.1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.98&CDS=1-861	YHR046C
OG0002058	augustus_masked-NC_016482.1-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.103&CDS=1-1734	YHR045W
OG0002059	snap_masked-NC_016482.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-4.11&CDS=1-1104	YDR309C
OG0002060	augustus_masked-NC_016482.1-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.125&CDS=1-684	YHR060W
OG0002061	augustus_masked-NC_016482.1-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.126&CDS=1-396	YHR059W
OG0002062	augustus_masked-NC_016482.1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.105&CDS=1-927	YHR058C
OG0002063	augustus_masked-NC_016482.1-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.127&CDS=1-1692	YJR152W
OG0002064	augustus_masked-NC_016482.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.106&CDS=1-609	YDR304C
OG0002065	snap_masked-NC_016482.1-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-4.39&CDS=1-318	YLR012C
OG0002066	augustus_masked-NC_016482.1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.108&CDS=1-3123	YHR027C
OG0002067	augustus_masked-NC_016482.1-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.128&CDS=1-639	YHR026W
OG0002068	augustus_masked-NC_016482.1-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.129&CDS=1-1071	YHR025W
OG0002069	augustus_masked-NC_016482.1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.109&CDS=1-1398	YHR024C
OG0002070	augustus_masked-NC_016482.1-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.130&CDS=1-5670	YHR023W
OG0002071	snap_masked-NC_016482.1-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-4.17&CDS=1-1218	YHR022C
OG0002072	augustus_masked-NC_016482.1-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.113&CDS=1-3141	YLL013C
OG0002073	augustus_masked-NC_016482.1-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.132&CDS=1-330	YLL014W
OG0002074	augustus_masked-NC_016482.1-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.114&CDS=1-1161	YGR187C
OG0002075	augustus_masked-NC_016482.1-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.133&CDS=1-2325	YGR186W
OG0002076	augustus_masked-NC_016482.1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.115&CDS=1-6231	YGR184C
OG0002077	augustus_masked-NC_016482.1-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.116&CDS=1-204	YGR183C
OG0002078	augustus_masked-NC_016482.1-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.134&CDS=1-303	YGR181W
OG0002079	augustus_masked-NC_016482.1-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.117&CDS=1-1056	YGR180C
OG0002080	snap_masked-NC_016482.1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-4.26&CDS=1-1443	YGR179C
OG0002081	augustus_masked-NC_016482.1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.119&CDS=1-3774	YGR178C
OG0002082	maker-NC_016482.1-augustus-gene-4.0-mRNA-1_1&gene=maker-NC_016482.1-augustus-gene-4.0&CDS=1-1980	YGR175C
OG0002083	augustus_masked-NC_016482.1-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.135&CDS=1-1107	YGR173W
OG0002084	augustus_masked-NC_016482.1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.121&CDS=1-777	YGR172C
OG0002085	augustus_masked-NC_016482.1-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.122&CDS=1-1737	YGR171C
OG0002086	augustus_masked-NC_016482.1-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.136&CDS=1-3441	YGR170W
OG0002087	augustus_masked-NC_016482.1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.124&CDS=1-1218	YGR169C
OG0002088	snap_masked-NC_016482.1-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-4.35&CDS=1-1146	YGR168C
OG0002089	augustus_masked-NC_016482.1-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.100&CDS=1-702	YGR167W
OG0002090	augustus_masked-NC_016482.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.101&CDS=1-1680	YGR166W
OG0002091	augustus_masked-NC_016482.1-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.102&CDS=1-1059	YGR165W
OG0002092	augustus_masked-NC_016482.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.98&CDS=1-2070	YJL019W
OG0002093	augustus_masked-NC_016482.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.99&CDS=1-1605	YJL014W
OG0002094	augustus_masked-NC_016482.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.103&CDS=1-3075	YGR188C
OG0002095	augustus_masked-NC_016482.1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.127&CDS=1-1221	YGR193C
OG0002096	augustus_masked-NC_016482.1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.128&CDS=1-1749	YGR194C
OG0002097	augustus_masked-NC_016482.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.129&CDS=1-2490	YGR196C
OG0002098	snap_masked-NC_016482.1-processed-gene-5.11-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-5.11&CDS=1-2481	YGR198W
OG0002099	augustus_masked-NC_016482.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.106&CDS=1-2244	YGR199W
OG0002100	augustus_masked-NC_016482.1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.132&CDS=1-2385	YGR200C
OG0002101	augustus_masked-NC_016482.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.107&CDS=1-492	YGR203W
OG0002102	augustus_masked-NC_016482.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.109&CDS=1-879	YGR205W
OG0002103	augustus_masked-NC_016482.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.110&CDS=1-345	YGR206W
OG0002104	augustus_masked-NC_016482.1-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.133&CDS=1-810	YGR207C
OG0002105	augustus_masked-NC_016482.1-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.111&CDS=1-939	YGR208W
OG0002106	augustus_masked-NC_016482.1-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.134&CDS=1-309	YLR043C
OG0002107	augustus_masked-NC_016482.1-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.135&CDS=1-1263	YGR210C
OG0002108	snap_masked-NC_016482.1-processed-gene-5.17-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-5.17&CDS=1-1440	YMR030W
OG0002109	augustus_masked-NC_016482.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.113&CDS=1-1458	YGR211W
OG0002110	snap_masked-NC_016482.1-processed-gene-5.19-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-5.19&CDS=1-1407	YGR212W
OG0002111	augustus_masked-NC_016482.1-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.136&CDS=1-1014	YGR213C
OG0002112	augustus_masked-NC_016482.1-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.116&CDS=1-315	YGR215W
OG0002113	augustus_masked-NC_016482.1-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.137&CDS=1-1866	YGR216C
OG0002114	augustus_masked-NC_016482.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.117&CDS=1-5832	YGR217W
OG0002115	augustus_masked-NC_016482.1-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.118&CDS=1-3252	YGR218W
OG0002116	augustus_masked-NC_016482.1-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.138&CDS=1-813	YGR220C
OG0002117	snap_masked-NC_016482.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-5.24&CDS=1-876	YGR222W
OG0002118	augustus_masked-NC_016482.1-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.140&CDS=1-1428	YGR223C
OG0002119	augustus_masked-NC_016482.1-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.141&CDS=1-483	YIR037W
OG0002120	augustus_masked-NC_016482.1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.121&CDS=1-1944	YGR225W
OG0002121	augustus_masked-NC_016482.1-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.122&CDS=1-1587	YGR227W
OG0002122	augustus_masked-NC_016482.1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.142&CDS=1-1650	YGR229C
OG0002123	augustus_masked-NC_016482.1-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.123&CDS=1-651	YGR230W
OG0002124	augustus_masked-NC_016482.1-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.143&CDS=1-948	YGR231C
OG0002125	augustus_masked-NC_016482.1-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.124&CDS=1-708	YGR232W
OG0002126	augustus_masked-NC_016482.1-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.144&CDS=1-3603	YGR233C
OG0002127	augustus_masked-NC_016482.1-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.76&CDS=1-1197	YGR234W
OG0002128	augustus_masked-NC_016482.1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.77&CDS=1-684	YGR235C
OG0002129	augustus_masked-NC_016482.1-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.78&CDS=1-2343	YGR237C
OG0002130	augustus_masked-NC_016482.1-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.94&CDS=1-3501	YHR158C
OG0002131	maker-NC_016482.1-snap-gene-6.36-mRNA-1_1&gene=maker-NC_016482.1-snap-gene-6.36&CDS=1-939	YGR239C
OG0002132	augustus_masked-NC_016482.1-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.96&CDS=1-2961	YGR240C
OG0002133	augustus_masked-NC_016482.1-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.98&CDS=1-3564	YOR188W
OG0002134	augustus_masked-NC_016482.1-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.99&CDS=1-1338	YOR187W
OG0002135	augustus_masked-NC_016482.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.79&CDS=1-444	YLR295C
OG0002136	augustus_masked-NC_016482.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.81&CDS=1-1158	YLR291C
OG0002137	augustus_masked-NC_016482.1-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.100&CDS=1-1188	YOR184W
OG0002138	augustus_masked-NC_016482.1-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.101&CDS=1-1983	YOR181W
OG0002139	augustus_masked-NC_016482.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.83&CDS=1-834	YOR180C
OG0002140	augustus_masked-NC_016482.1-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.86&CDS=1-4545	YKL101W
OG0002141	augustus_masked-NC_016482.1-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.102&CDS=1-765	YKL099C
OG0002142	augustus_masked-NC_016482.1-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.87&CDS=1-966	YKL098W
OG0002143	augustus_masked-NC_016482.1-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.103&CDS=1-411	YGL041W-A
OG0002144	augustus_masked-NC_016482.1-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.104&CDS=1-924	YGL043W
OG0002145	augustus_masked-NC_016482.1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.88&CDS=1-945	YGL044C
OG0002146	augustus_masked-NC_016482.1-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.106&CDS=1-702	YGR158C
OG0002147	augustus_masked-NC_016482.1-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.107&CDS=1-1890	YGL045W
OG0002148	augustus_masked-NC_016482.1-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.108&CDS=1-1278	YGR159C
OG0002149	augustus_masked-NC_016482.1-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.89&CDS=1-1215	YGL048C
OG0002150	augustus_masked-NC_016482.1-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.109&CDS=1-861	YGL050W
OG0002151	augustus_masked-NC_016482.1-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.91&CDS=1-1341	YLR303W
OG0002152	augustus_masked-NC_016482.1-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.110&CDS=1-2349	YLR304C
OG0002153	augustus_masked-NC_016482.1-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.111&CDS=1-5787	YLR305C
OG0002154	augustus_masked-NC_016482.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.92&CDS=1-567	YLR306W
OG0002155	augustus_masked-NC_016482.1-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.93&CDS=1-918	YLR308W
OG0002156	augustus_masked-NC_016482.1-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.0&CDS=1-1692	YLL018C
OG0002157	augustus_masked-NC_016482.1-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.1&CDS=1-321	YLL018C-A
OG0002158	augustus_masked-NC_016482.1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.3&CDS=1-2757	YLL019C
OG0002159	augustus_masked-NC_016482.1-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.23&CDS=1-4473	YLL021W
OG0002160	augustus_masked-NC_016482.1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.5&CDS=1-849	YLL023C
OG0002161	augustus_masked-NC_016482.1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.6&CDS=1-1176	YML062C
OG0002162	augustus_masked-NC_016482.1-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.7&CDS=1-642	YML064C
OG0002163	augustus_masked-NC_016482.1-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.26&CDS=1-2691	YML065W
OG0002164	augustus_masked-NC_016482.1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.10&CDS=1-1143	YML066C
OG0002165	augustus_masked-NC_016482.1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.11&CDS=1-1059	YML067C
OG0002166	augustus_masked-NC_016482.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.27&CDS=1-1362	YML068W
OG0002167	augustus_masked-NC_016482.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.28&CDS=1-1629	YML069W
OG0002168	augustus_masked-NC_016482.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.29&CDS=1-1746	YML070W
OG0002169	augustus_masked-NC_016482.1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.12&CDS=1-1374	YML071C
OG0002170	augustus_masked-NC_016482.1-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.13&CDS=1-4485	YML072C
OG0002171	maker-NC_016482.1-augustus-gene-7.119-mRNA-1_1&gene=maker-NC_016482.1-augustus-gene-7.119&CDS=1-528	YML073C
OG0002172	augustus_masked-NC_016482.1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.16&CDS=1-1161	YLR449W
OG0002173	augustus_masked-NC_016482.1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.17&CDS=1-3219	YML075C
OG0002174	augustus_masked-NC_016482.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.18&CDS=1-2952	YML076C
OG0002175	augustus_masked-NC_016482.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.30&CDS=1-477	YML077W
OG0002176	augustus_masked-NC_016482.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.31&CDS=1-1305	YJR125C
OG0002177	augustus_masked-NC_016482.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.32&CDS=1-1083	YML079W
OG0002178	augustus_masked-NC_016482.1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.33&CDS=1-1287	YML080W
OG0002179	augustus_masked-NC_016482.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.34&CDS=1-4086	YML081W
OG0002180	snap_masked-NC_016482.1-processed-gene-7.97-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-7.97&CDS=1-195	YML081C-A
OG0002181	augustus_masked-NC_016482.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.36&CDS=1-405	YHR191C
OG0002182	augustus_masked-NC_016482.1-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.20&CDS=1-903	YHR192W
OG0002183	augustus_masked-NC_016482.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.37&CDS=1-522	YHR193C
OG0002184	augustus_masked-NC_016482.1-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.21&CDS=1-1647	YHR194W
OG0002185	augustus_masked-NC_016482.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.22&CDS=1-1371	YHR195W
OG0002186	augustus_masked-NC_016482.1-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.37&CDS=1-2340	YHR197W
OG0002187	augustus_masked-NC_016482.1-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.41&CDS=1-1005	YHR198C
OG0002188	augustus_masked-NC_016482.1-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.38&CDS=1-849	YHR200W
OG0002189	augustus_masked-NC_016482.1-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.42&CDS=1-1086	YJR139C
OG0002190	augustus_masked-NC_016482.1-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.43&CDS=1-1191	YHR201C
