	Saccharomyces_cerevisiae	yHMPu5000041829_Debaryomyces_fabryi
OG0001605	YGR237C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.13&CDS=1-1920
OG0001606	YGR244C	maker-NODE_10_length_688114_cov_13.1864_ID_3396-snap-gene-5.208-mRNA-1_1&gene=maker-NODE_10_length_688114_cov_13.1864_ID_3396-snap-gene-5.208&CDS=1-1242
OG0001607	YGR245C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.273-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.273&CDS=1-2253
OG0001608	YGR246C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.274-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.274&CDS=1-1749
OG0001609	YGR251W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.12&CDS=1-531
OG0001610	YGR252W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.267-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.267&CDS=1-1374
OG0001611	YGR253C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.268-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.268&CDS=1-771
OG0001612	YGR255C	maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-6.0-mRNA-1_1&gene=maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-6.0&CDS=1-2661
OG0001613	YGR258C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.28&CDS=1-3189
OG0001614	YGR261C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.29&CDS=1-2427
OG0001615	YGR262C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.45&CDS=1-780
OG0001616	YGR263C	maker-NODE_2_length_1055133_cov_10.9579_ID_2135-snap-gene-7.100-mRNA-1_1&gene=maker-NODE_2_length_1055133_cov_10.9579_ID_2135-snap-gene-7.100&CDS=1-2469
OG0001617	YGR264C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.51&CDS=1-2265
OG0001618	YGR266W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.17&CDS=1-2097
OG0001619	YGR267C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.5&CDS=1-804
OG0001620	YGR268C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.31&CDS=1-864
OG0001621	YGR270W	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.106&CDS=1-3876
OG0001622	YGR271C-A	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.30&CDS=1-708
OG0001623	YGR271W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.4&CDS=1-5817
OG0001624	YGR274C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.171-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.171&CDS=1-3414
OG0001625	YGR276C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.200-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.200&CDS=1-2067
OG0001626	YGR277C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.118&CDS=1-900
OG0001627	YGR280C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.92&CDS=1-4593
OG0001628	YGR282C	maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-1.8-mRNA-1_1&gene=maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-1.8&CDS=1-918
OG0001629	YGR284C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.38&CDS=1-924
OG0001630	YGR285C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.48&CDS=1-1293
OG0001631	YGR286C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.51&CDS=1-1278
OG0001632	YHL002W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.130&CDS=1-1734
OG0001633	YHL004W	snap_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.26&CDS=1-1401
OG0001634	YHL007C	snap_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-5.79&CDS=1-3246
OG0001635	YHL008C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.134&CDS=1-1698
OG0001636	YHL013C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.133&CDS=1-903
OG0001637	YHL015W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.94&CDS=1-354
OG0001638	YHL016C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.254-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.254&CDS=1-2181
OG0001639	YHL021C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.27&CDS=1-1323
OG0001640	YHL022C	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.108&CDS=1-1005
OG0001641	YHL024W	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.34&CDS=1-1878
OG0001642	YHL027W	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.39&CDS=1-1929
OG0001643	YHL029C	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.205&CDS=1-1920
OG0001644	YHL030W	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.206&CDS=1-5505
OG0001645	YHL031C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.234-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.234&CDS=1-675
OG0001646	YHL032C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.284-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.284&CDS=1-1890
OG0001647	YHR001W-A	snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.71&CDS=1-234
OG0001648	YHR002W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-6.14&CDS=1-1194
OG0001649	YHR004C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.115&CDS=1-1122
OG0001650	YHR005C	maker-NODE_1_length_1085505_cov_12.3365_ID_2412-snap-gene-4.187-mRNA-1_1&gene=maker-NODE_1_length_1085505_cov_12.3365_ID_2412-snap-gene-4.187&CDS=1-2646
OG0001651	YHR007C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.117&CDS=1-1566
OG0001652	YHR008C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.171&CDS=1-684
OG0001653	YHR009C	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.90&CDS=1-1377
OG0001654	YHR012W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.121&CDS=1-936
OG0001655	YHR013C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.145&CDS=1-645
OG0001656	YHR016C	maker-NODE_11_length_619339_cov_14.2281_ID_2975-augustus-gene-3.1-mRNA-1_1&gene=maker-NODE_11_length_619339_cov_14.2281_ID_2975-augustus-gene-3.1&CDS=1-1245
OG0001657	YHR018C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.144&CDS=1-1395
OG0001658	YHR019C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.145&CDS=1-1656
OG0001659	YHR020W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-2.125&CDS=1-2040
OG0001660	YHR023W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.115&CDS=1-5646
OG0001661	YHR024C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.135&CDS=1-1524
OG0001662	YHR025W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.118&CDS=1-1059
OG0001663	YHR026W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-0.101&CDS=1-588
OG0001664	YHR027C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-0.121&CDS=1-2898
OG0001665	YHR028C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-1.32&CDS=1-2607
OG0001666	YHR029C	genemark-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.77&CDS=1-891
OG0001667	YHR030C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-2.12&CDS=1-1503
OG0001668	YHR036W	genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.189-mRNA-1_1&gene=genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.189&CDS=1-1632
OG0001669	YHR037W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.10&CDS=1-1758
OG0001670	YHR039C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.24&CDS=1-1848
OG0001671	YHR039C-A	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.40&CDS=1-339
OG0001672	YHR040W	snap_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.39&CDS=1-1116
OG0001673	YHR042W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.124&CDS=1-2040
OG0001674	YHR045W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.143-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.143&CDS=1-1506
OG0001675	YHR047C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.147&CDS=1-2613
OG0001676	YHR048W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.132&CDS=1-1509
OG0001677	YHR049W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-1.18&CDS=1-2343
OG0001678	YHR051W	maker-NODE_8_length_710497_cov_13.5056_ID_2357-snap-gene-4.112-mRNA-1_1&gene=maker-NODE_8_length_710497_cov_13.5056_ID_2357-snap-gene-4.112&CDS=1-441
OG0001679	YHR052W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.132&CDS=1-1179
OG0001680	YHR058C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.11&CDS=1-771
OG0001681	YHR060W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.132&CDS=1-672
OG0001682	YHR062C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.1&CDS=1-945
OG0001683	YHR063C	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.29&CDS=1-1086
OG0001684	YHR064C	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-2.38&CDS=1-1629
OG0001685	YHR065C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.131&CDS=1-1431
OG0001686	YHR067W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.125&CDS=1-855
OG0001687	YHR068W	genemark-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-1.89&CDS=1-1134
OG0001688	YHR069C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.143&CDS=1-1026
OG0001689	YHR070W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.119&CDS=1-1374
OG0001690	YHR071W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.169-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.169&CDS=1-903
OG0001691	YHR072W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.3&CDS=1-2193
OG0001692	YHR073W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.122&CDS=1-2607
OG0001693	YHR074W	augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.40&CDS=1-3279
OG0001694	YHR075C	augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.72&CDS=1-1170
OG0001695	YHR076W	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.124&CDS=1-1044
OG0001696	YHR077C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.142&CDS=1-3036
OG0001697	YHR078W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-0.101&CDS=1-1680
OG0001698	YHR079C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.189-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.189&CDS=1-3594
OG0001699	YHR079C-A	maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-6.218-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-6.218&CDS=1-384
OG0001700	YHR081W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.161-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.161&CDS=1-600
OG0001701	YHR083W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-5.119&CDS=1-1020
OG0001702	YHR084W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.157-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.157&CDS=1-1725
OG0001703	YHR085W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.26&CDS=1-1806
OG0001704	YHR086W	genemark-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.79&CDS=1-1419
OG0001705	YHR087W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.22&CDS=1-345
OG0001706	YHR088W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.152&CDS=1-879
OG0001707	YHR089C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.38&CDS=1-648
OG0001708	YHR090C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.147&CDS=1-855
OG0001709	YHR098C	augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-4.148&CDS=1-2958
OG0001710	YHR099W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.49&CDS=1-11364
OG0001711	YHR100C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.80&CDS=1-615
OG0001712	YHR101C	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.91&CDS=1-963
OG0001713	YHR104W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.147&CDS=1-951
OG0001714	YHR107C	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-0.104&CDS=1-3972
OG0001715	YHR108W	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.36&CDS=1-1719
OG0001716	YHR109W	snap_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-3.88&CDS=1-1605
OG0001717	YHR110W	maker-NODE_16_length_253375_cov_11.5577_ID_3229-augustus-gene-1.291-mRNA-1_1&gene=maker-NODE_16_length_253375_cov_11.5577_ID_3229-augustus-gene-1.291&CDS=1-648
OG0001718	YHR111W	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.94&CDS=1-1341
OG0001719	YHR113W	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.92&CDS=1-1479
OG0001720	YHR114W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.31&CDS=1-1836
OG0001721	YHR116W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.29&CDS=1-378
OG0001722	YHR118C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.55&CDS=1-1137
OG0001723	YHR120W	genemark-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.128&CDS=1-6024
OG0001724	YHR121W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.62&CDS=1-579
