	Candida_tropicalis	Saccharomyces_cerevisiae
OG0001750	snap_masked-NW_003020049.1-processed-gene-22.40-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-22.40&CDS=1-2055	YLR381W
OG0001751	snap_masked-NW_003020049.1-processed-gene-22.26-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-22.26&CDS=1-378	YDR529C
OG0001752	augustus_masked-NW_003020049.1-processed-gene-22.136-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-22.136&CDS=1-888	YLR348C
OG0001753	snap_masked-NW_003020051.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_003020051.1-processed-gene-0.7&CDS=1-438	YDR162C
OG0001754	maker-NW_003020054.1-snap-gene-0.34-mRNA-1_1&gene=maker-NW_003020054.1-snap-gene-0.34&CDS=1-540	Q0250
OG0001755	maker-NW_003020054.1-snap-gene-0.41-mRNA-1_1&gene=maker-NW_003020054.1-snap-gene-0.41&CDS=1-624	Q0085
OG0001756	genemark-NW_003020055.1-processed-gene-0.94-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.94&CDS=1-636	YJL001W
OG0001757	snap_masked-NW_003020055.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.60&CDS=1-1416	YJL002C
OG0001758	genemark-NW_003020055.1-processed-gene-0.79-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.79&CDS=1-2493	YLL001W
OG0001759	snap_masked-NW_003020055.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.45&CDS=1-1281	YOR099W
OG0001760	snap_masked-NW_003020055.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.47&CDS=1-2337	YER017C
OG0001761	genemark-NW_003020055.1-processed-gene-0.99-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.99&CDS=1-3657	YLR218C
OG0001762	genemark-NW_003020055.1-processed-gene-0.84-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.84&CDS=1-2709	YPL084W
OG0001763	maker-NW_003020055.1-augustus-gene-0.0-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-0.0&CDS=1-5076	YDL145C
OG0001764	maker-NW_003020055.1-snap-gene-0.37-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-0.37&CDS=1-1545	YGR123C
OG0001765	genemark-NW_003020055.1-processed-gene-0.100-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.100&CDS=1-2253	YDL132W
OG0001766	genemark-NW_003020055.1-processed-gene-0.101-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.101&CDS=1-1110	YDL133W
OG0001767	snap_masked-NW_003020055.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.52&CDS=1-1074	YDL183C
OG0001768	augustus_masked-NW_003020055.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-0.29&CDS=1-3807	YDL185W
OG0001769	snap_masked-NW_003020055.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.72&CDS=1-1095	YDL134C
OG0001770	snap_masked-NW_003020055.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.74&CDS=1-1728	YNL249C
OG0001771	snap_masked-NW_003020055.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.75&CDS=1-1395	YBR162C
OG0001772	snap_masked-NW_003020055.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-0.55&CDS=1-2298	YGL120C
OG0001773	snap_masked-NW_003020055.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.68&CDS=1-8790	YIL129C
OG0001774	genemark-NW_003020055.1-processed-gene-1.2-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-1.2&CDS=1-1059	YOR091W
OG0001775	snap_masked-NW_003020055.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.70&CDS=1-1947	YNL094W
OG0001776	snap_masked-NW_003020055.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.71&CDS=1-1854	YHR114W
OG0001777	genemark-NW_003020055.1-processed-gene-1.5-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-1.5&CDS=1-705	YOR095C
OG0001778	snap_masked-NW_003020055.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.74&CDS=1-3183	YIL128W
OG0001779	snap_masked-NW_003020055.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.88&CDS=1-1140	YNL084C
OG0001780	snap_masked-NW_003020055.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.78&CDS=1-804	YEL021W
OG0001781	snap_masked-NW_003020055.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.79&CDS=1-1578	YIL099W
OG0001782	maker-NW_003020055.1-snap-gene-1.102-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-1.102&CDS=1-2361	YFR038W
OG0001783	snap_masked-NW_003020055.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.80&CDS=1-810	YNL036W
OG0001784	snap_masked-NW_003020055.1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.92&CDS=1-615	YJL055W
OG0001785	maker-NW_003020055.1-snap-gene-1.103-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-1.103&CDS=1-3174	YGL006W
OG0001786	genemark-NW_003020055.1-processed-gene-1.28-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-1.28&CDS=1-4131	YJR033C
OG0001787	genemark-NW_003020055.1-processed-gene-1.15-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-1.15&CDS=1-363	YJR034W
OG0001788	snap_masked-NW_003020055.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.96&CDS=1-720	YGL005C
OG0001789	snap_masked-NW_003020055.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.98&CDS=1-873	YBR151W
OG0001790	snap_masked-NW_003020055.1-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.84&CDS=1-2241	YDR208W
OG0001791	snap_masked-NW_003020055.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.85&CDS=1-1341	YJR080C
OG0001792	snap_masked-NW_003020055.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-1.101&CDS=1-1368	YDL001W
OG0001793	augustus_masked-NW_003020055.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-2.37&CDS=1-7296	YBL004W
OG0001794	genemark-NW_003020055.1-processed-gene-2.71-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.71&CDS=1-1104	YDL002C
OG0001795	snap_masked-NW_003020055.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.11&CDS=1-1539	YCR072C
OG0001796	genemark-NW_003020055.1-processed-gene-2.76-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.76&CDS=1-375	YCR071C
OG0001797	snap_masked-NW_003020055.1-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.12&CDS=1-219	YNR032C-A
OG0001798	snap_masked-NW_003020055.1-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.24&CDS=1-1206	YNR032W
OG0001799	snap_masked-NW_003020055.1-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.25&CDS=1-1344	YOL140W
OG0001800	snap_masked-NW_003020055.1-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.26&CDS=1-1974	YNR039C
OG0001801	genemark-NW_003020055.1-processed-gene-2.91-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.91&CDS=1-4914	YCR081W
OG0001802	snap_masked-NW_003020055.1-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.15&CDS=1-1482	YLR004C
OG0001803	snap_masked-NW_003020055.1-processed-gene-2.18-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.18&CDS=1-3159	YML049C
OG0001804	genemark-NW_003020055.1-processed-gene-2.95-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.95&CDS=1-1089	YKL114C
OG0001805	snap_masked-NW_003020055.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.19&CDS=1-1200	YML018C
OG0001806	snap_masked-NW_003020055.1-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.21&CDS=1-1173	YML021C
OG0001807	snap_masked-NW_003020055.1-processed-gene-2.22-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-2.22&CDS=1-3189	YOR304W
OG0001808	genemark-NW_003020055.1-processed-gene-2.100-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.100&CDS=1-4053	YDR440W
OG0001809	snap_masked-NW_003020055.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.41&CDS=1-2568	YML020W
OG0001810	genemark-NW_003020055.1-processed-gene-3.79-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-3.79&CDS=1-645	YML012W
OG0001811	augustus_masked-NW_003020055.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-3.5&CDS=1-210	YML009C
OG0001812	snap_masked-NW_003020055.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.44&CDS=1-3093	YDR430C
OG0001813	snap_masked-NW_003020055.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.45&CDS=1-1065	YKL120W
OG0001814	snap_masked-NW_003020055.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.47&CDS=1-636	YMR100W
OG0001815	snap_masked-NW_003020055.1-processed-gene-3.48-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.48&CDS=1-816	YEL019C
OG0001816	genemark-NW_003020055.1-processed-gene-3.87-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-3.87&CDS=1-786	YHR058C
OG0001817	snap_masked-NW_003020055.1-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.61&CDS=1-1062	YER127W
OG0001818	snap_masked-NW_003020055.1-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.62&CDS=1-1995	YOR204W
OG0001819	snap_masked-NW_003020055.1-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.64&CDS=1-1746	YEL042W
OG0001820	maker-NW_003020055.1-snap-gene-3.37-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-3.37&CDS=1-3225	YPR022C
OG0001821	genemark-NW_003020055.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-3.103&CDS=1-783	YER126C
OG0001822	snap_masked-NW_003020055.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.54&CDS=1-1128	YGL038C
OG0001823	genemark-NW_003020055.1-processed-gene-3.104-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-3.104&CDS=1-4830	YPL167C
OG0001824	snap_masked-NW_003020055.1-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.55&CDS=1-1782	YJL128C
OG0001825	snap_masked-NW_003020055.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.66&CDS=1-1641	YPL086C
OG0001826	snap_masked-NW_003020055.1-processed-gene-3.56-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.56&CDS=1-924	YBR185C
OG0001827	snap_masked-NW_003020055.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.67&CDS=1-1497	YPL054W
OG0001828	snap_masked-NW_003020055.1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.68&CDS=1-1920	YPL093W
OG0001829	snap_masked-NW_003020055.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.69&CDS=1-1104	YPL050C
OG0001830	snap_masked-NW_003020055.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.70&CDS=1-1278	YPL048W
OG0001831	genemark-NW_003020055.1-processed-gene-4.41-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-4.41&CDS=1-369	YIL096C
OG0001832	snap_masked-NW_003020055.1-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.79&CDS=1-1578	YIL097W
OG0001833	genemark-NW_003020055.1-processed-gene-4.51-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-4.51&CDS=1-1287	YPL083C
OG0001834	snap_masked-NW_003020055.1-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.73&CDS=1-261	YPL047W
OG0001835	snap_masked-NW_003020055.1-processed-gene-4.88-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.88&CDS=1-936	YLR220W
OG0001836	snap_masked-NW_003020055.1-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.74&CDS=1-1653	YOR301W
OG0001837	snap_masked-NW_003020055.1-processed-gene-4.75-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.75&CDS=1-291	YBL028C
OG0001838	snap_masked-NW_003020055.1-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.90&CDS=1-1704	YOR128C
OG0001839	snap_masked-NW_003020055.1-processed-gene-4.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.92&CDS=1-2346	YBR083W
OG0001840	snap_masked-NW_003020055.1-processed-gene-4.93-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.93&CDS=1-2379	YPR031W
OG0001841	snap_masked-NW_003020055.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.78&CDS=1-3045	YDR060W
OG0001842	augustus_masked-NW_003020055.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-5.88&CDS=1-2238	YBL105C
OG0001843	genemark-NW_003020055.1-processed-gene-5.48-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-5.48&CDS=1-2991	YBL104C
OG0001844	maker-NW_003020055.1-augustus-gene-5.84-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-5.84&CDS=1-2439	YEL023C
OG0001845	snap_masked-NW_003020055.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.10&CDS=1-639	YEL024W
OG0001846	genemark-NW_003020055.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-5.68&CDS=1-2745	YJR036C
OG0001847	snap_masked-NW_003020055.1-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.12&CDS=1-2322	YJR042W
OG0001848	genemark-NW_003020055.1-processed-gene-5.69-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-5.69&CDS=1-480	YEL027W
OG0001849	snap_masked-NW_003020055.1-processed-gene-5.13-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.13&CDS=1-378	YEL026W
OG0001850	snap_masked-NW_003020055.1-processed-gene-5.14-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.14&CDS=1-3372	YJR041C
OG0001851	genemark-NW_003020055.1-processed-gene-5.70-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-5.70&CDS=1-2307	YJR040W
OG0001852	snap_masked-NW_003020055.1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.31&CDS=1-1473	YGR212W
OG0001853	augustus_masked-NW_003020055.1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-5.97&CDS=1-4419	YNL102W
OG0001854	snap_masked-NW_003020055.1-processed-gene-5.18-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.18&CDS=1-2334	YBR289W
OG0001855	snap_masked-NW_003020055.1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.20&CDS=1-882	YBR291C
OG0001856	snap_masked-NW_003020055.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.33&CDS=1-1179	YBR290W
OG0001857	snap_masked-NW_003020055.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.35&CDS=1-2535	YNR011C
OG0001858	snap_masked-NW_003020055.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.21&CDS=1-1638	YNR012W
OG0001859	snap_masked-NW_003020055.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.24&CDS=1-1473	YBR006W
OG0001860	snap_masked-NW_003020055.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.25&CDS=1-1041	YDL193W
OG0001861	snap_masked-NW_003020055.1-processed-gene-5.44-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.44&CDS=1-3186	YDL190C
OG0001862	augustus_masked-NW_003020055.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-5.108&CDS=1-756	YDL189W
OG0001863	snap_masked-NW_003020055.1-processed-gene-6.5-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.5&CDS=1-909	YGR231C
OG0001864	snap_masked-NW_003020055.1-processed-gene-6.6-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.6&CDS=1-1803	YHR151C
OG0001865	genemark-NW_003020055.1-processed-gene-6.72-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.72&CDS=1-2805	YJL092W
OG0001866	snap_masked-NW_003020055.1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.7&CDS=1-609	YDL135C
OG0001867	maker-NW_003020055.1-snap-gene-6.38-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-6.38&CDS=1-1485	YGR225W
OG0001868	genemark-NW_003020055.1-processed-gene-6.73-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.73&CDS=1-1275	YGR227W
OG0001869	snap_masked-NW_003020055.1-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.10&CDS=1-1449	YGR229C
OG0001870	snap_masked-NW_003020055.1-processed-gene-6.23-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.23&CDS=1-372	YJL003W
OG0001871	genemark-NW_003020055.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.80&CDS=1-1812	YJL163C
OG0001872	genemark-NW_003020055.1-processed-gene-6.93-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.93&CDS=1-1857	YGR216C
OG0001873	snap_masked-NW_003020055.1-processed-gene-6.11-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.11&CDS=1-2244	YOL060C
OG0001874	snap_masked-NW_003020055.1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.12&CDS=1-1452	YDL025C
OG0001875	genemark-NW_003020055.1-processed-gene-6.83-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.83&CDS=1-1587	YKR051W
OG0001876	genemark-NW_003020055.1-processed-gene-6.94-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.94&CDS=1-1059	YJL131C
OG0001877	snap_masked-NW_003020055.1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.16&CDS=1-951	YDR347W
OG0001878	snap_masked-NW_003020055.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.31&CDS=1-1488	YOR046C
OG0001879	snap_masked-NW_003020055.1-processed-gene-6.17-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.17&CDS=1-1686	YOR067C
OG0001880	genemark-NW_003020055.1-processed-gene-6.105-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.105&CDS=1-153	YOR045W
OG0001881	snap_masked-NW_003020055.1-processed-gene-7.1-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.1&CDS=1-1242	YMR235C
OG0001882	genemark-NW_003020055.1-processed-gene-7.104-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-7.104&CDS=1-3921	YNL250W
OG0001883	maker-NW_003020055.1-snap-gene-7.51-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-7.51&CDS=1-3435	YPR112C
OG0001884	snap_masked-NW_003020055.1-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.7&CDS=1-612	YFR001W
OG0001885	snap_masked-NW_003020055.1-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.10&CDS=1-1485	YCL032W
OG0001886	maker-NW_003020055.1-augustus-gene-7.0-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-7.0&CDS=1-3357	YDR324C
OG0001887	snap_masked-NW_003020055.1-processed-gene-7.33-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.33&CDS=1-1128	YML008C
OG0001888	snap_masked-NW_003020055.1-processed-gene-7.14-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.14&CDS=1-3651	YDR325W
OG0001889	snap_masked-NW_003020055.1-processed-gene-7.34-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.34&CDS=1-1530	YML007W
OG0001890	genemark-NW_003020055.1-processed-gene-7.116-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-7.116&CDS=1-2379	YEL053C
OG0001891	snap_masked-NW_003020055.1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.17&CDS=1-1134	YHR068W
OG0001892	snap_masked-NW_003020055.1-processed-gene-7.18-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.18&CDS=1-1548	YKL103C
OG0001893	augustus_masked-NW_003020055.1-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-7.85&CDS=1-1476	YER020W
OG0001894	snap_masked-NW_003020055.1-processed-gene-7.37-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.37&CDS=1-1581	YKL139W
OG0001895	snap_masked-NW_003020055.1-processed-gene-7.20-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.20&CDS=1-222	YIL156W-B
OG0001896	augustus_masked-NW_003020055.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-7.88&CDS=1-2115	YKL104C
OG0001897	snap_masked-NW_003020055.1-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.21&CDS=1-1113	YDR282C
OG0001898	snap_masked-NW_003020055.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.25&CDS=1-2037	YMR108W
OG0001899	snap_masked-NW_003020055.1-processed-gene-7.26-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.26&CDS=1-1794	YNL308C
OG0001900	snap_masked-NW_003020055.1-processed-gene-7.43-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.43&CDS=1-177	YMR256C
OG0001901	augustus_masked-NW_003020055.1-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-7.93&CDS=1-1170	YOL054W
OG0001902	snap_masked-NW_003020055.1-processed-gene-7.29-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.29&CDS=1-2280	YKL135C
OG0001903	genemark-NW_003020055.1-processed-gene-7.146-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-7.146&CDS=1-693	YOL135C
OG0001904	snap_masked-NW_003020055.1-processed-gene-7.30-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.30&CDS=1-339	YOL133W
OG0001905	snap_masked-NW_003020055.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-7.46&CDS=1-900	YNL316C
OG0001906	snap_masked-NW_003020055.1-processed-gene-8.45-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.45&CDS=1-540	YKR065C
OG0001907	snap_masked-NW_003020055.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.47&CDS=1-867	YDL052C
OG0001908	augustus_masked-NW_003020055.1-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-8.27&CDS=1-2994	YPL195W
OG0001909	genemark-NW_003020055.1-processed-gene-8.94-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.94&CDS=1-810	YGL079W
OG0001910	snap_masked-NW_003020055.1-processed-gene-8.72-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.72&CDS=1-2175	YIL108W
OG0001911	snap_masked-NW_003020055.1-processed-gene-8.73-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.73&CDS=1-1419	YPL194W
OG0001912	snap_masked-NW_003020055.1-processed-gene-8.48-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.48&CDS=1-693	YIR030C
OG0001913	snap_masked-NW_003020055.1-processed-gene-8.49-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.49&CDS=1-993	YPL196W
OG0001914	snap_masked-NW_003020055.1-processed-gene-8.74-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.74&CDS=1-186	YBR162W-A
OG0001915	genemark-NW_003020055.1-processed-gene-8.122-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.122&CDS=1-1335	YDL122W
OG0001916	genemark-NW_003020055.1-processed-gene-8.123-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.123&CDS=1-1416	YNL016W
OG0001917	genemark-NW_003020055.1-processed-gene-8.99-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.99&CDS=1-1191	YML005W
OG0001918	snap_masked-NW_003020055.1-processed-gene-8.54-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.54&CDS=1-1470	YNL026W
OG0001919	snap_masked-NW_003020055.1-processed-gene-8.77-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.77&CDS=1-1032	YIL083C
OG0001920	snap_masked-NW_003020055.1-processed-gene-8.56-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.56&CDS=1-1206	YNL025C
