	Saccharomyces_cerevisiae	yHMPu5000035675_Kregervanrija_fluxuum
OG0001259	YER046W	augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.32&CDS=1-1440
OG0001260	YER047C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.116&CDS=1-2028
OG0001261	YER048C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.118&CDS=1-1446
OG0001262	YER048W-A	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.24&CDS=1-261
OG0001263	YER049W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.13&CDS=1-1950
OG0001264	YER050C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.204&CDS=1-483
OG0001265	YER051W	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.248-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.248&CDS=1-1686
OG0001266	YER052C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.4&CDS=1-2421
OG0001267	YER053C	augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.15&CDS=1-867
OG0001268	YER061C	genemark-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.65&CDS=1-1305
OG0001269	YER065C	augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.8&CDS=1-1635
OG0001270	YER068W	augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.41&CDS=1-1809
OG0001271	YER069W	augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.90&CDS=1-2580
OG0001272	YER070W	maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.57&CDS=1-3048
OG0001273	YER072W	maker-NODE_42_length_96774_cov_44.1452_ID_24743-augustus-gene-0.49-mRNA-1_1&gene=maker-NODE_42_length_96774_cov_44.1452_ID_24743-augustus-gene-0.49&CDS=1-366
OG0001274	YER077C	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.6&CDS=1-1377
OG0001275	YER078C	maker-NODE_38_length_119021_cov_39.2331_ID_13124-augustus-gene-0.57-mRNA-1_1&gene=maker-NODE_38_length_119021_cov_39.2331_ID_13124-augustus-gene-0.57&CDS=1-1995
OG0001276	YER080W	augustus_masked-NODE_56_length_65492_cov_53.0562_ID_49771-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_56_length_65492_cov_53.0562_ID_49771-processed-gene-0.11&CDS=1-1851
OG0001277	YER082C	augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.181&CDS=1-1563
OG0001278	YER086W	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.33&CDS=1-1662
OG0001279	YER087W	maker-NODE_16_length_214599_cov_38.2211_ID_10423-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_16_length_214599_cov_38.2211_ID_10423-augustus-gene-1.0&CDS=1-3237
OG0001280	YER090W	snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.117&CDS=1-1563
OG0001281	YER091C	snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.115&CDS=1-2307
OG0001282	YER093C	snap_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.65&CDS=1-3753
OG0001283	YER094C	augustus_masked-NODE_32_length_131835_cov_39.2395_ID_12605-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_32_length_131835_cov_39.2395_ID_12605-processed-gene-0.164&CDS=1-615
OG0001284	YER095W	augustus_masked-NODE_32_length_131835_cov_39.2395_ID_12605-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_32_length_131835_cov_39.2395_ID_12605-processed-gene-0.197&CDS=1-1146
OG0001285	YER100W	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-0.100&CDS=1-777
OG0001286	YER107C	augustus_masked-NODE_61_length_57207_cov_38.7658_ID_16727-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_61_length_57207_cov_38.7658_ID_16727-processed-gene-0.57&CDS=1-1104
OG0001287	YER109C	maker-NODE_61_length_57207_cov_38.7658_ID_16727-snap-gene-0.28-mRNA-1_1&gene=maker-NODE_61_length_57207_cov_38.7658_ID_16727-snap-gene-0.28&CDS=1-2106
OG0001288	YER110C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.53&CDS=1-3282
OG0001289	YER112W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.15&CDS=1-456
OG0001290	YER113C	augustus_masked-NODE_68_length_51053_cov_38.2257_ID_17589-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_68_length_51053_cov_38.2257_ID_17589-processed-gene-0.8&CDS=1-1980
OG0001291	YER114C	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.25&CDS=1-3054
OG0001292	YER118C	genemark-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-0.81&CDS=1-900
OG0001293	YER120W	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.52&CDS=1-810
OG0001294	YER122C	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.44&CDS=1-1404
OG0001295	YER125W	augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.178&CDS=1-2361
OG0001296	YER126C	augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.16&CDS=1-783
OG0001297	YER127W	augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.4&CDS=1-1077
OG0001298	YER136W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.23&CDS=1-1344
OG0001299	YER137C	augustus_masked-NODE_104_length_15747_cov_47.3639_ID_22940-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_104_length_15747_cov_47.3639_ID_22940-processed-gene-0.1&CDS=1-489
OG0001300	YER141W	maker-NODE_104_length_15747_cov_47.3639_ID_22940-snap-gene-0.16-mRNA-1_1&gene=maker-NODE_104_length_15747_cov_47.3639_ID_22940-snap-gene-0.16&CDS=1-1704
OG0001301	YER143W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.14&CDS=1-1188
OG0001302	YER146W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.13&CDS=1-234
OG0001303	YER148W	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.276-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.276&CDS=1-894
OG0001304	YER149C	snap_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.84&CDS=1-1290
OG0001305	YER150W	snap_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.126&CDS=1-351
OG0001306	YER151C	maker-NODE_30_length_133359_cov_41.3905_ID_13478-snap-gene-0.68-mRNA-1_1&gene=maker-NODE_30_length_133359_cov_41.3905_ID_13478-snap-gene-0.68&CDS=1-2145
OG0001307	YER152C	augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.46&CDS=1-1326
OG0001308	YER154W	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.125&CDS=1-1188
OG0001309	YER155C	snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.54&CDS=1-6330
OG0001310	YER156C	snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.55&CDS=1-987
OG0001311	YER157W	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.105&CDS=1-2604
OG0001312	YER159C	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.128&CDS=1-384
OG0001313	YER161C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.8&CDS=1-1359
OG0001314	YER163C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.41&CDS=1-726
OG0001315	YER164W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.97&CDS=1-4254
OG0001316	YER165W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.98&CDS=1-1905
OG0001317	YER168C	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.306-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.306&CDS=1-1554
OG0001318	YER170W	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.56&CDS=1-678
OG0001319	YER172C	genemark-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.232-mRNA-1_1&gene=genemark-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.232&CDS=1-8712
OG0001320	YER176W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-2.94&CDS=1-2748
OG0001321	YER177W	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-0.91&CDS=1-759
OG0001322	YER178W	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.77&CDS=1-1221
OG0001323	YER179W	maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-1.45-mRNA-1_1&gene=maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-1.45&CDS=1-1005
OG0001324	YER182W	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.182&CDS=1-798
OG0001325	YER183C	snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.49&CDS=1-705
OG0001326	YER188W	snap_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.135&CDS=1-366
OG0001327	YFL001W	maker-NODE_107_length_15051_cov_58.9796_ID_23139-augustus-gene-0.22-mRNA-1_1&gene=maker-NODE_107_length_15051_cov_58.9796_ID_23139-augustus-gene-0.22&CDS=1-2649
OG0001328	YFL002C	augustus_masked-NODE_107_length_15051_cov_58.9796_ID_23139-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_107_length_15051_cov_58.9796_ID_23139-processed-gene-0.30&CDS=1-1836
OG0001329	YFL005W	augustus_masked-NODE_58_length_59207_cov_38.8906_ID_16098-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_58_length_59207_cov_38.8906_ID_16098-processed-gene-0.18&CDS=1-618
OG0001330	YFL007W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-2.38&CDS=1-6555
OG0001331	YFL008W	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.17&CDS=1-3714
OG0001332	YFL010C	maker-NODE_53_length_74688_cov_39.8702_ID_37054-augustus-gene-0.71-mRNA-1_1&gene=maker-NODE_53_length_74688_cov_39.8702_ID_37054-augustus-gene-0.71&CDS=1-567
OG0001333	YFL013C	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.19&CDS=1-2430
OG0001334	YFL014W	augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.38&CDS=1-351
OG0001335	YFL016C	augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.65&CDS=1-1542
OG0001336	YFL017C	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.49&CDS=1-462
OG0001337	YFL017W-A	snap_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.180-mRNA-1_1&gene=snap_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.180&CDS=1-291
OG0001338	YFL018C	maker-NODE_20_length_199813_cov_39.3871_ID_10920-augustus-gene-0.97-mRNA-1_1&gene=maker-NODE_20_length_199813_cov_39.3871_ID_10920-augustus-gene-0.97&CDS=1-1464
OG0001339	YFL022C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.4&CDS=1-1485
OG0001340	YFL023W	augustus_masked-NODE_75_length_39620_cov_40.4956_ID_18983-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_75_length_39620_cov_40.4956_ID_18983-processed-gene-0.5&CDS=1-2784
OG0001341	YFL024C	augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.18&CDS=1-2565
OG0001342	YFL025C	augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.110&CDS=1-3123
OG0001343	YFL027C	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.135&CDS=1-1326
OG0001344	YFL028C	augustus_masked-NODE_50_length_76320_cov_41.0968_ID_20076-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_50_length_76320_cov_41.0968_ID_20076-processed-gene-0.27&CDS=1-906
OG0001345	YFL030W	augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.141&CDS=1-1143
OG0001346	YFL033C	genemark-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.14&CDS=1-5349
OG0001347	YFL034C-B	augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.153&CDS=1-951
OG0001348	YFL034W	maker-NODE_58_length_59207_cov_38.8906_ID_16098-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_58_length_59207_cov_38.8906_ID_16098-snap-gene-0.55&CDS=1-3888
OG0001349	YFL036W	augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.189&CDS=1-3945
OG0001350	YFL037W	snap_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-0.18&CDS=1-1344
OG0001351	YFL038C	augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.302-mRNA-1_1&gene=augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.302&CDS=1-606
OG0001352	YFL044C	genemark-NODE_1254_length_382_cov_0.689655_ID_37665-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_1254_length_382_cov_0.689655_ID_37665-processed-gene-0.0&CDS=1-288
OG0001353	YFL045C	augustus_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.39&CDS=1-753
OG0001354	YFL053W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-0.20&CDS=1-2580
OG0001355	YFL054C	augustus_masked-NODE_579_length_470_cov_0.713467_ID_34438-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_579_length_470_cov_0.713467_ID_34438-processed-gene-0.2&CDS=1-465
OG0001356	YFL055W	augustus_masked-NODE_94_length_22582_cov_42.9497_ID_22844-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_94_length_22582_cov_42.9497_ID_22844-processed-gene-0.7&CDS=1-1620
OG0001357	YFR001W	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.193&CDS=1-621
OG0001358	YFR002W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.188&CDS=1-2874
OG0001359	YFR005C	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.95&CDS=1-1281
OG0001360	YFR006W	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.113&CDS=1-1428
OG0001361	YFR007W	snap_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.77&CDS=1-786
OG0001362	YFR009W	augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.44&CDS=1-2247
OG0001363	YFR010W	augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.11&CDS=1-1458
OG0001364	YFR011C	augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.26&CDS=1-438
OG0001365	YFR016C	augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-2.147&CDS=1-2532
OG0001366	YFR019W	augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.27&CDS=1-7386
OG0001367	YFR021W	augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.123&CDS=1-7149
OG0001368	YFR024C-A	maker-NODE_12_length_250894_cov_39.8622_ID_41140-augustus-gene-0.96-mRNA-1_1&gene=maker-NODE_12_length_250894_cov_39.8622_ID_41140-augustus-gene-0.96&CDS=1-1221
OG0001369	YFR025C	augustus_masked-NODE_98_length_19491_cov_38.4457_ID_21648-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_98_length_19491_cov_38.4457_ID_21648-processed-gene-0.36&CDS=1-939
OG0001370	YFR028C	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.173&CDS=1-1623
OG0001371	YFR029W	augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.211&CDS=1-1968
OG0001372	YFR030W	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.237-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.237&CDS=1-3135
OG0001373	YFR031C	augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-0.87&CDS=1-3513
OG0001374	YFR032C-A	snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.21&CDS=1-186
OG0001375	YFR033C	augustus_masked-NODE_34_length_128199_cov_43.1447_ID_15142-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_34_length_128199_cov_43.1447_ID_15142-processed-gene-0.163&CDS=1-393
OG0001376	YFR034C	augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.59&CDS=1-1809
OG0001377	YFR037C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.141&CDS=1-1602
OG0001378	YFR038W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.121&CDS=1-2094
OG0001379	YFR041C	genemark-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.107&CDS=1-1104
