	Saccharomyces_cerevisiae	yHMPu5000035689_Candida_mycetangii
OG0001939	YIL094C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.4&CDS=1-1128
OG0001940	YIL096C	augustus_masked-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.110&CDS=1-942
OG0001941	YIL097W	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.28&CDS=1-1293
OG0001942	YIL098C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.1&CDS=1-438
OG0001943	YIL099W	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.8&CDS=1-1800
OG0001944	YIL101C	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.171-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.171&CDS=1-1557
OG0001945	YIL103W	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.148-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.148&CDS=1-1257
OG0001946	YIL104C	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.168-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.168&CDS=1-1452
OG0001947	YIL106W	genemark-NODE_18_length_176896_cov_26.038_ID_2667-processed-gene-0.233-mRNA-1_1&gene=genemark-NODE_18_length_176896_cov_26.038_ID_2667-processed-gene-0.233&CDS=1-783
OG0001948	YIL107C	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-2.69-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-2.69&CDS=1-2193
OG0001949	YIL108W	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-2.91&CDS=1-2121
OG0001950	YIL110W	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.47&CDS=1-1047
OG0001951	YIL112W	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.122&CDS=1-3018
OG0001952	YIL115C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.84-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.84&CDS=1-4446
OG0001953	YIL116W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.87-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.87&CDS=1-1176
OG0001954	YIL118W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.114-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.114&CDS=1-636
OG0001955	YIL124W	maker-NODE_4_length_1011378_cov_28.5779_ID_1711-snap-gene-2.84-mRNA-1_1&gene=maker-NODE_4_length_1011378_cov_28.5779_ID_1711-snap-gene-2.84&CDS=1-1659
OG0001956	YIL125W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-2.43&CDS=1-2991
OG0001957	YIL127C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.30&CDS=1-567
OG0001958	YIL128W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.56&CDS=1-3024
OG0001959	YIL129C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.15&CDS=1-7251
OG0001960	YIL134W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.36&CDS=1-894
OG0001961	YIL137C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.29&CDS=1-2730
OG0001962	YIL139C	genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.99-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.99&CDS=1-723
OG0001963	YIL140W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.94-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.94&CDS=1-2571
OG0001964	YIL142W	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.0-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.0&CDS=1-1572
OG0001965	YIL143C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.55-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.55&CDS=1-2481
OG0001966	YIL144W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.76-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.76&CDS=1-1980
OG0001967	YIL145C	maker-NODE_2_length_1528460_cov_26.3327_ID_1453-augustus-gene-2.73-mRNA-1_1&gene=maker-NODE_2_length_1528460_cov_26.3327_ID_1453-augustus-gene-2.73&CDS=1-1155
OG0001968	YIL147C	snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.72&CDS=1-3198
OG0001969	YIL150C	snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.70&CDS=1-1977
OG0001970	YIL153W	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.44&CDS=1-1350
OG0001971	YIL154C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.46&CDS=1-1227
OG0001972	YIL155C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.45&CDS=1-1827
OG0001973	YIL156W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.77-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.77&CDS=1-3366
OG0001974	YIL156W-B	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.84-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.84&CDS=1-216
OG0001975	YIL157C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.58-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.58&CDS=1-603
OG0001976	YIL160C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.23&CDS=1-1254
OG0001977	YIL162W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.119-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.119&CDS=1-1545
OG0001978	YIL164C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-2.64&CDS=1-924
OG0001979	YIL166C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.33&CDS=1-1626
OG0001980	YIR001C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-14.152-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-14.152&CDS=1-621
OG0001981	YIR002C	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.140-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.140&CDS=1-3780
OG0001982	YIR003W	snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-14.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-14.46&CDS=1-2085
OG0001983	YIR004W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.126-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.126&CDS=1-1395
OG0001984	YIR005W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.147-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.147&CDS=1-504
OG0001985	YIR007W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.132-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.132&CDS=1-2304
OG0001986	YIR008C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.153-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.153&CDS=1-1398
OG0001987	YIR009W	snap_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.1&CDS=1-279
OG0001988	YIR011C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-2.21-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-2.21&CDS=1-897
OG0001989	YIR012W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.152-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.152&CDS=1-1251
OG0001990	YIR015W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.41-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.41&CDS=1-387
OG0001991	YIR022W	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.39-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.39&CDS=1-504
OG0001992	YIR023W	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.37-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.37&CDS=1-2514
OG0001993	YIR024C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.15-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-6.15&CDS=1-606
OG0001994	YIR026C	genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.118-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.118&CDS=1-891
OG0001995	YIR027C	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.31-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.31&CDS=1-1707
OG0001996	YIR029W	genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.127-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.127&CDS=1-1044
OG0001997	YIR030C	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.15-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.15&CDS=1-663
OG0001998	YIR032C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-1.78&CDS=1-645
OG0001999	YIR034C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.150-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.150&CDS=1-1119
OG0002000	YIR035C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.153-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.153&CDS=1-759
OG0002001	YIR037W	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.22-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.22&CDS=1-504
OG0002002	YJL001W	maker-NODE_10_length_472098_cov_26.9767_ID_2461-snap-gene-3.279-mRNA-1_1&gene=maker-NODE_10_length_472098_cov_26.9767_ID_2461-snap-gene-3.279&CDS=1-636
OG0002003	YJL002C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.244-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.244&CDS=1-1389
OG0002004	YJL003W	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.204-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.204&CDS=1-354
OG0002005	YJL004C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.113-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.113&CDS=1-597
OG0002006	YJL005W	maker-NODE_2_length_1528460_cov_26.3327_ID_1453-augustus-gene-11.126-mRNA-1_1&gene=maker-NODE_2_length_1528460_cov_26.3327_ID_1453-augustus-gene-11.126&CDS=1-5031
OG0002007	YJL006C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.103-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.103&CDS=1-1002
OG0002008	YJL008C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.111-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.111&CDS=1-1656
OG0002009	YJL010C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.112-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.112&CDS=1-1950
OG0002010	YJL011C	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.32&CDS=1-441
OG0002011	YJL012C	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.15&CDS=1-2115
OG0002012	YJL014W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.14&CDS=1-1581
OG0002013	YJL019W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.40&CDS=1-1707
OG0002014	YJL020C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.63-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.63&CDS=1-3267
OG0002015	YJL023C	augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.12&CDS=1-627
OG0002016	YJL024C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.119-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.119&CDS=1-549
OG0002017	YJL025W	snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.15&CDS=1-1473
OG0002018	YJL026W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.111&CDS=1-1224
OG0002019	YJL029C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.140-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.140&CDS=1-2358
OG0002020	YJL030W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.104-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.104&CDS=1-627
OG0002021	YJL031C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.107-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.107&CDS=1-993
OG0002022	YJL033W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.110-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.110&CDS=1-2304
OG0002023	YJL034W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.108-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.108&CDS=1-2007
OG0002024	YJL035C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.109-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.109&CDS=1-750
OG0002025	YJL036W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.138-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.138&CDS=1-1353
OG0002026	YJL039C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.64-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.64&CDS=1-4965
OG0002027	YJL041W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.86&CDS=1-1719
OG0002028	YJL042W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.60-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.60&CDS=1-3741
OG0002029	YJL044C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.84-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-3.84&CDS=1-1110
OG0002030	YJL046W	augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.51&CDS=1-1125
OG0002031	YJL049W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.97-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.97&CDS=1-1308
OG0002032	YJL050W	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.66-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.66&CDS=1-3174
OG0002033	YJL053W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.114-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.114&CDS=1-867
OG0002034	YJL054W	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.146-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.146&CDS=1-1587
OG0002035	YJL055W	augustus_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.179-mRNA-1_1&gene=augustus_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.179&CDS=1-684
OG0002036	YJL056C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.69-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.69&CDS=1-1953
OG0002037	YJL057C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-9.121-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-9.121&CDS=1-1647
OG0002038	YJL059W	augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.75&CDS=1-1170
OG0002039	YJL060W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.24-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.24&CDS=1-1275
OG0002040	YJL061W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.43&CDS=1-2166
OG0002041	YJL062W	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.45&CDS=1-2385
OG0002042	YJL062W-A	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.72&CDS=1-282
OG0002043	YJL063C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-14.153-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-14.153&CDS=1-630
OG0002044	YJL065C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.71&CDS=1-753
OG0002045	YJL068C	augustus_masked-NODE_20_length_65565_cov_43.2458_ID_2753-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_20_length_65565_cov_43.2458_ID_2753-processed-gene-0.98&CDS=1-1041
OG0002046	YJL069C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.97&CDS=1-1611
OG0002047	YJL071W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.8&CDS=1-1575
OG0002048	YJL072C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.10&CDS=1-606
OG0002049	YJL074C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.48&CDS=1-3615
OG0002050	YJL080C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-3.79&CDS=1-3537
OG0002051	YJL081C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.117-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.117&CDS=1-1425
OG0002052	YJL084C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.112&CDS=1-2745
OG0002053	YJL085W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.104&CDS=1-1809
OG0002054	YJL087C	snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.55&CDS=1-2406
OG0002055	YJL088W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.135-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.135&CDS=1-993
OG0002056	YJL090C	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.48&CDS=1-1941
OG0002057	YJL091C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.90-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.90&CDS=1-1485
OG0002058	YJL093C	snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.134&CDS=1-4392
OG0002059	YJL094C	genemark-NODE_18_length_176896_cov_26.038_ID_2667-processed-gene-0.197-mRNA-1_1&gene=genemark-NODE_18_length_176896_cov_26.038_ID_2667-processed-gene-0.197&CDS=1-2208
OG0002060	YJL095W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.72-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.72&CDS=1-4155
OG0002061	YJL096W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.71-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.71&CDS=1-561
OG0002062	YJL097W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.86-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.86&CDS=1-690
