	Ascoidea_rubescens	Saccharomyces_cerevisiae
OG0001679	genemark-scaffold_16-processed-gene-2.139-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.139&CDS=1-852	YGR132C
OG0001680	genemark-scaffold_16-processed-gene-2.163-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.163&CDS=1-1275	YGR005C
OG0001681	snap_masked-scaffold_16-processed-gene-2.40-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.40&CDS=1-252	YLR325C
OG0001682	genemark-scaffold_16-processed-gene-2.165-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.165&CDS=1-1053	YJL208C
OG0001683	genemark-scaffold_16-processed-gene-2.142-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.142&CDS=1-3753	YBR023C
OG0001684	genemark-scaffold_16-processed-gene-2.167-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.167&CDS=1-8364	YGL195W
OG0001685	genemark-scaffold_16-processed-gene-2.168-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.168&CDS=1-678	YFR001W
OG0001686	genemark-scaffold_16-processed-gene-2.146-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.146&CDS=1-1047	YNL177C
OG0001687	genemark-scaffold_16-processed-gene-2.147-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.147&CDS=1-1284	YOL097C
OG0001688	genemark-scaffold_16-processed-gene-2.148-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.148&CDS=1-654	YDL212W
OG0001689	genemark-scaffold_16-processed-gene-2.170-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.170&CDS=1-774	YNL178W
OG0001690	snap_masked-scaffold_16-processed-gene-2.26-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.26&CDS=1-1590	YNL181W
OG0001691	augustus_masked-scaffold_16-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.96&CDS=1-735	YPR016C
OG0001692	snap_masked-scaffold_16-processed-gene-2.51-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.51&CDS=1-3315	YDR080W
OG0001693	genemark-scaffold_17-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.36&CDS=1-1047	YCR060W
OG0001694	genemark-scaffold_17-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.55&CDS=1-897	YNR022C
OG0001695	genemark-scaffold_17-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.56&CDS=1-2379	YGL234W
OG0001696	genemark-scaffold_17-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.38&CDS=1-708	YHR038W
OG0001697	genemark-scaffold_17-processed-gene-0.57-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.57&CDS=1-1653	YOL144W
OG0001698	genemark-scaffold_17-processed-gene-0.58-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.58&CDS=1-1560	YEL060C
OG0001699	maker-scaffold_17-snap-gene-0.69-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.69&CDS=1-1548	YGR002C
OG0001700	snap_masked-scaffold_17-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.8&CDS=1-1050	YBL046W
OG0001701	augustus_masked-scaffold_17-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.94&CDS=1-849	YNL246W
OG0001702	genemark-scaffold_17-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.44&CDS=1-2799	YCR057C
OG0001703	genemark-scaffold_17-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.62&CDS=1-2271	YJL041W
OG0001704	genemark-scaffold_17-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.63&CDS=1-2052	YML086C
OG0001705	snap_masked-scaffold_17-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.14&CDS=1-3696	YCR061W
OG0001706	genemark-scaffold_17-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.64&CDS=1-825	YCR059C
OG0001707	genemark-scaffold_17-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.49&CDS=1-582	YPR131C
OG0001708	genemark-scaffold_17-processed-gene-0.65-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.65&CDS=1-1374	YNR023W
OG0001709	genemark-scaffold_17-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.50&CDS=1-1272	YEL056W
OG0001710	genemark-scaffold_17-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.51&CDS=1-3450	YJR090C
OG0001711	genemark-scaffold_17-processed-gene-1.2-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.2&CDS=1-3129	YDR430C
OG0001712	genemark-scaffold_17-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.19&CDS=1-489	YMR002W
OG0001713	genemark-scaffold_17-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.3&CDS=1-1503	YFL018C
OG0001714	genemark-scaffold_17-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.21&CDS=1-648	YLR268W
OG0001715	augustus_masked-scaffold_17-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-1.91&CDS=1-2691	YGR078C
OG0001716	genemark-scaffold_17-processed-gene-1.23-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.23&CDS=1-717	YOR163W
OG0001717	genemark-scaffold_17-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.6&CDS=1-1824	YDR091C
OG0001718	snap_masked-scaffold_17-processed-gene-1.63-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.63&CDS=1-225	YHR001W-A
OG0001719	genemark-scaffold_17-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.13&CDS=1-1488	YJR125C
OG0001720	maker-scaffold_17-snap-gene-1.49-mRNA-1_1&gene=maker-scaffold_17-snap-gene-1.49&CDS=1-738	YLR022C
OG0001721	snap_masked-scaffold_17-processed-gene-1.83-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.83&CDS=1-2451	YLR222C
OG0001722	snap_masked-scaffold_17-processed-gene-1.85-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.85&CDS=1-2958	YFR029W
OG0001723	snap_masked-scaffold_17-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.69&CDS=1-1965	YHR168W
OG0001724	snap_masked-scaffold_17-processed-gene-1.70-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.70&CDS=1-1812	YGR223C
OG0001725	maker-scaffold_17-augustus-gene-1.40-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-1.40&CDS=1-2310	YKL022C
OG0001726	genemark-scaffold_17-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.18&CDS=1-918	YGR172C
OG0001727	snap_masked-scaffold_17-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.99&CDS=1-1353	YCR045C
OG0001728	augustus_masked-scaffold_17-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-2.49&CDS=1-3390	YOR048C
OG0001729	genemark-scaffold_17-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.0&CDS=1-534	YPL010W
OG0001730	genemark-scaffold_17-processed-gene-2.3-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.3&CDS=1-915	YMR161W
OG0001731	genemark-scaffold_17-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.1&CDS=1-1677	YJL049W
OG0001732	genemark-scaffold_17-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.5&CDS=1-2595	YPR018W
OG0001733	genemark-scaffold_17-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.8&CDS=1-1413	YHR190W
OG0001734	genemark-scaffold_17-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.31&CDS=1-1536	YBR126C
OG0001735	genemark-scaffold_17-processed-gene-2.10-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.10&CDS=1-1161	YGL148W
OG0001736	genemark-scaffold_17-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.33&CDS=1-1593	YEL064C
OG0001737	genemark-scaffold_17-processed-gene-2.36-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.36&CDS=1-1530	YBR127C
OG0001738	maker-scaffold_17-snap-gene-2.94-mRNA-1_1&gene=maker-scaffold_17-snap-gene-2.94&CDS=1-1296	YBR125C
OG0001739	genemark-scaffold_17-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.14&CDS=1-873	YBR119W
OG0001740	genemark-scaffold_17-processed-gene-2.39-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.39&CDS=1-435	YBR120C
OG0001741	snap_masked-scaffold_17-processed-gene-2.112-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.112&CDS=1-906	YLR150W
OG0001742	genemark-scaffold_17-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.40&CDS=1-3159	YMR189W
OG0001743	genemark-scaffold_17-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.16&CDS=1-1395	YDR165W
OG0001744	genemark-scaffold_17-processed-gene-2.17-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.17&CDS=1-2544	YJL201W
OG0001745	genemark-scaffold_17-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.42&CDS=1-513	YBR269C
OG0001746	maker-scaffold_17-snap-gene-2.92-mRNA-1_1&gene=maker-scaffold_17-snap-gene-2.92&CDS=1-999	YJR034W
OG0001747	genemark-scaffold_17-processed-gene-2.19-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.19&CDS=1-1086	YDR372C
OG0001748	genemark-scaffold_17-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.43&CDS=1-1977	YJR052W
OG0001749	genemark-scaffold_17-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.22&CDS=1-1248	YEL037C
OG0001750	genemark-scaffold_17-processed-gene-2.44-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.44&CDS=1-759	YEL038W
OG0001751	genemark-scaffold_17-processed-gene-2.24-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.24&CDS=1-1716	YDR120C
OG0001752	genemark-scaffold_17-processed-gene-2.45-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.45&CDS=1-2511	YML046W
OG0001753	genemark-scaffold_18-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.80&CDS=1-3198	YGL238W
OG0001754	genemark-scaffold_18-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.81&CDS=1-4533	YGR276C
OG0001755	genemark-scaffold_18-processed-gene-0.65-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.65&CDS=1-3318	YGR047C
OG0001756	genemark-scaffold_18-processed-gene-0.66-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.66&CDS=1-1440	YJR084W
OG0001757	genemark-scaffold_18-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.82&CDS=1-558	YKL069W
OG0001758	genemark-scaffold_18-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.83&CDS=1-2307	YLR069C
OG0001759	genemark-scaffold_18-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.84&CDS=1-1428	YLR191W
OG0001760	maker-scaffold_18-augustus-gene-0.93-mRNA-1_1&gene=maker-scaffold_18-augustus-gene-0.93&CDS=1-5103	YDL102W
OG0001761	genemark-scaffold_18-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.85&CDS=1-1854	YMR290C
OG0001762	genemark-scaffold_18-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.86&CDS=1-1203	YGL246C
OG0001763	snap_masked-scaffold_18-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.12&CDS=1-1875	YOL001W
OG0001764	genemark-scaffold_18-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.71&CDS=1-1593	YCR054C
OG0001765	genemark-scaffold_18-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.73&CDS=1-993	YLR412W
OG0001766	genemark-scaffold_18-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.89&CDS=1-1359	YKL181W
OG0001767	genemark-scaffold_18-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.75&CDS=1-693	YNL107W
OG0001768	genemark-scaffold_18-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.76&CDS=1-3426	YIL128W
OG0001769	genemark-scaffold_18-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.91&CDS=1-720	YKR043C
OG0001770	genemark-scaffold_18-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.78&CDS=1-5712	YOR217W
OG0001771	genemark-scaffold_18-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.77&CDS=1-1182	YFR045W
OG0001772	genemark-scaffold_18-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.78&CDS=1-978	YDR361C
OG0001773	genemark-scaffold_18-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.81&CDS=1-1665	YNL189W
OG0001774	genemark-scaffold_18-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.79&CDS=1-1140	YPR128C
OG0001775	genemark-scaffold_18-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.94&CDS=1-2670	YDR052C
OG0001776	genemark-scaffold_18-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.95&CDS=1-4446	YOR373W
OG0001777	genemark-scaffold_18-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.82&CDS=1-1359	YHR134W
OG0001778	genemark-scaffold_18-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.96&CDS=1-3216	YEL062W
OG0001779	genemark-scaffold_18-processed-gene-1.83-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.83&CDS=1-2187	YDL159W
OG0001780	snap_masked-scaffold_18-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.19&CDS=1-2835	YDL160C
OG0001781	genemark-scaffold_18-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.98&CDS=1-360	YDL157C
OG0001782	genemark-scaffold_18-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.99&CDS=1-2322	YKL135C
OG0001783	genemark-scaffold_18-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.84&CDS=1-405	YKL003C
OG0001784	snap_masked-scaffold_18-processed-gene-1.22-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.22&CDS=1-1008	YKL120W
OG0001785	maker-scaffold_18-snap-gene-1.74-mRNA-1_1&gene=maker-scaffold_18-snap-gene-1.74&CDS=1-942	YNL099C
OG0001786	snap_masked-scaffold_18-processed-gene-1.24-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.24&CDS=1-771	YOR004W
OG0001787	snap_masked-scaffold_18-processed-gene-1.9-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.9&CDS=1-390	YBR268W
OG0001788	snap_masked-scaffold_18-processed-gene-1.27-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.27&CDS=1-3213	YNL186W
OG0001789	augustus_masked-scaffold_18-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.59&CDS=1-3270	YFL025C
OG0001790	augustus_masked-scaffold_18-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.60&CDS=1-1536	YDR376W
OG0001791	snap_masked-scaffold_18-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.11&CDS=1-5910	YDR180W
OG0001792	genemark-scaffold_18-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.106&CDS=1-2355	YML093W
OG0001793	genemark-scaffold_18-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.89&CDS=1-426	YIL127C
OG0001794	genemark-scaffold_18-processed-gene-1.90-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.90&CDS=1-1140	YIL094C
OG0001795	maker-scaffold_18-augustus-gene-1.114-mRNA-1_1&gene=maker-scaffold_18-augustus-gene-1.114&CDS=1-3453	YOR117W
OG0001796	maker-scaffold_18-snap-gene-1.76-mRNA-1_1&gene=maker-scaffold_18-snap-gene-1.76&CDS=1-2127	YIL097W
OG0001797	augustus_masked-scaffold_18-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.51&CDS=1-762	YIL139C
OG0001798	snap_masked-scaffold_18-processed-gene-2.78-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-2.78&CDS=1-2775	YIL137C
OG0001799	genemark-scaffold_18-processed-gene-2.44-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.44&CDS=1-1500	YNL083W
OG0001800	genemark-scaffold_18-processed-gene-2.48-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.48&CDS=1-3165	YML114C
OG0001801	genemark-scaffold_18-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.49&CDS=1-381	YPL013C
OG0001802	genemark-scaffold_18-processed-gene-2.63-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.63&CDS=1-3504	YPR010C
OG0001803	snap_masked-scaffold_18-processed-gene-2.103-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-2.103&CDS=1-3015	YIL140W
OG0001804	genemark-scaffold_18-processed-gene-2.50-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.50&CDS=1-2109	YKL104C
OG0001805	maker-scaffold_18-snap-gene-2.39-mRNA-1_1&gene=maker-scaffold_18-snap-gene-2.39&CDS=1-7947	YBR235W
OG0001806	snap_masked-scaffold_18-processed-gene-2.86-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-2.86&CDS=1-2274	YBL035C
OG0001807	genemark-scaffold_18-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.67&CDS=1-810	YDR482C
OG0001808	genemark-scaffold_18-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.68&CDS=1-1326	YOL022C
OG0001809	genemark-scaffold_18-processed-gene-2.69-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.69&CDS=1-1503	YBR006W
OG0001810	genemark-scaffold_18-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.71&CDS=1-1779	YMR283C
OG0001811	augustus_masked-scaffold_18-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-2.12&CDS=1-5520	YGL094C
OG0001812	snap_masked-scaffold_18-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-2.93&CDS=1-2007	YGL236C
OG0001813	genemark-scaffold_18-processed-gene-2.59-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.59&CDS=1-348	YHL015W
OG0001814	genemark-scaffold_18-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.74&CDS=1-633	YBR171W
OG0001815	genemark-scaffold_18-processed-gene-2.60-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.60&CDS=1-1617	YPR033C
OG0001816	genemark-scaffold_18-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.75&CDS=1-2364	YGL215W
OG0001817	augustus_masked-scaffold_18-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-2.35&CDS=1-1203	YDR190C
OG0001818	genemark-scaffold_19-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.80&CDS=1-504	YOL005C
OG0001819	genemark-scaffold_19-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.81&CDS=1-297	YLL018C-A
OG0001820	genemark-scaffold_19-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.67&CDS=1-2475	YOR267C
OG0001821	snap_masked-scaffold_19-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.4&CDS=1-1068	YBR141C
OG0001822	genemark-scaffold_19-processed-gene-0.69-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.69&CDS=1-978	YIL019W
OG0001823	genemark-scaffold_19-processed-gene-0.70-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.70&CDS=1-2196	YGL245W
OG0001824	genemark-scaffold_19-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.75&CDS=1-1065	YDR280W
OG0001825	genemark-scaffold_19-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.86&CDS=1-1959	YBR238C
OG0001826	genemark-scaffold_19-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.89&CDS=1-1671	YGL175C
OG0001827	genemark-scaffold_19-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.77&CDS=1-7689	YKL205W
OG0001828	maker-scaffold_19-augustus-gene-0.29-mRNA-1_1&gene=maker-scaffold_19-augustus-gene-0.29&CDS=1-1209	YJR068W
OG0001829	genemark-scaffold_19-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.91&CDS=1-1170	YOR043W
OG0001830	snap_masked-scaffold_19-processed-gene-1.169-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.169&CDS=1-579	YJR017C
OG0001831	genemark-scaffold_19-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.4&CDS=1-591	YPR165W
OG0001832	maker-scaffold_19-snap-gene-1.72-mRNA-1_1&gene=maker-scaffold_19-snap-gene-1.72&CDS=1-2991	YKL157W
OG0001833	genemark-scaffold_19-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.6&CDS=1-1287	YCR086W
OG0001834	genemark-scaffold_19-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.40&CDS=1-1026	YNL290W
OG0001835	genemark-scaffold_19-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.7&CDS=1-1275	YML060W
OG0001836	genemark-scaffold_19-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.8&CDS=1-1995	YER049W
OG0001837	genemark-scaffold_19-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.41&CDS=1-2847	YGL233W
OG0001838	genemark-scaffold_19-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.42&CDS=1-759	YGR167W
OG0001839	snap_masked-scaffold_19-processed-gene-1.212-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.212&CDS=1-4662	YJR092W
OG0001840	maker-scaffold_19-snap-gene-1.74-mRNA-1_1&gene=maker-scaffold_19-snap-gene-1.74&CDS=1-1479	YGR280C
OG0001841	genemark-scaffold_19-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.44&CDS=1-693	YBL095W
OG0001842	snap_masked-scaffold_19-processed-gene-1.215-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.215&CDS=1-10941	YDR457W
OG0001843	snap_masked-scaffold_19-processed-gene-1.185-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.185&CDS=1-687	YOR021C
OG0001844	maker-scaffold_19-augustus-gene-1.162-mRNA-1_1&gene=maker-scaffold_19-augustus-gene-1.162&CDS=1-2808	YDR472W
OG0001845	genemark-scaffold_19-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.16&CDS=1-765	YHR013C
OG0001846	genemark-scaffold_19-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.17&CDS=1-645	YIL157C
OG0001847	snap_masked-scaffold_19-processed-gene-1.219-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.219&CDS=1-4416	YOR296W
OG0001848	snap_masked-scaffold_19-processed-gene-1.220-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.220&CDS=1-1185	YKL018W
OG0001849	maker-scaffold_19-augustus-gene-1.163-mRNA-1_1&gene=maker-scaffold_19-augustus-gene-1.163&CDS=1-2226	YJL171C
OG0001850	genemark-scaffold_19-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.22&CDS=1-1581	YNL119W
OG0001851	genemark-scaffold_19-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.24&CDS=1-825	YGR036C
OG0001852	genemark-scaffold_19-processed-gene-1.53-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.53&CDS=1-4740	YDL240W
OG0001853	genemark-scaffold_19-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.56&CDS=1-1572	YLR345W
OG0001854	augustus_masked-scaffold_19-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-1.113&CDS=1-1623	YDR072C
OG0001855	genemark-scaffold_19-processed-gene-1.58-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.58&CDS=1-720	YNL306W
OG0001856	maker-scaffold_19-snap-gene-1.75-mRNA-1_1&gene=maker-scaffold_19-snap-gene-1.75&CDS=1-5721	YCR032W
OG0001857	genemark-scaffold_19-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.33&CDS=1-678	YHR122W
OG0001858	genemark-scaffold_19-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.64&CDS=1-429	YHR116W
OG0001859	genemark-scaffold_19-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.37&CDS=1-3345	YPL009C
OG0001860	genemark-scaffold_19-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.66&CDS=1-516	YFL010C
OG0001861	genemark-scaffold_19-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.67&CDS=1-1476	YCL055W
OG0001862	augustus_masked-scaffold_19-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-1.153&CDS=1-774	YGL018C
