	Eremothecium_gossypii	Saccharomyces_cerevisiae
OG0002062	augustus_masked-AE016818-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.114&CDS=1-1185	YKL172W
OG0002063	maker-AE016818-augustus-gene-4.55-mRNA-1_1&gene=maker-AE016818-augustus-gene-4.55&CDS=1-1326	YJL167W
OG0002064	snap_masked-AE016818-processed-gene-4.65-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-4.65&CDS=1-2319	YKL171W
OG0002065	genemark-AE016818-processed-gene-4.4-mRNA-1_1&gene=genemark-AE016818-processed-gene-4.4&CDS=1-414	YKL170W
OG0002066	maker-AE016818-augustus-gene-4.57-mRNA-1_1&gene=maker-AE016818-augustus-gene-4.57&CDS=1-2199	YKL167C
OG0002067	augustus_masked-AE016818-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.141&CDS=1-5592	YKL165C
OG0002068	augustus_masked-AE016818-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.120&CDS=1-1287	YKR048C
OG0002069	augustus_masked-AE016818-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.121&CDS=1-984	YKR046C
OG0002070	augustus_masked-AE016818-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.122&CDS=1-2667	YJL154C
OG0002071	maker-AE016818-augustus-gene-4.56-mRNA-1_1&gene=maker-AE016818-augustus-gene-4.56&CDS=1-1317	YJL155C
OG0002072	augustus_masked-AE016818-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.124&CDS=1-2007	YJL156C
OG0002073	augustus_masked-AE016818-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.125&CDS=1-2946	YJL157C
OG0002074	augustus_masked-AE016818-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.127&CDS=1-567	YDR339C
OG0002075	genemark-AE016818-processed-gene-4.34-mRNA-1_1&gene=genemark-AE016818-processed-gene-4.34&CDS=1-534	YLR326W
OG0002076	augustus_masked-AE016818-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.128&CDS=1-855	YHR090C
OG0002077	augustus_masked-AE016818-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.144&CDS=1-843	YDR337W
OG0002078	augustus_masked-AE016818-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.131&CDS=1-609	YHR089C
OG0002079	augustus_masked-AE016818-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.145&CDS=1-1074	YDR336W
OG0002080	augustus_masked-AE016818-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.146&CDS=1-3663	YDR335W
OG0002081	augustus_masked-AE016818-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.147&CDS=1-876	YHR088W
OG0002082	maker-AE016818-augustus-gene-4.59-mRNA-1_1&gene=maker-AE016818-augustus-gene-4.59&CDS=1-2910	YOL066C
OG0002083	genemark-AE016818-processed-gene-4.41-mRNA-1_1&gene=genemark-AE016818-processed-gene-4.41&CDS=1-2745	YDL035C
OG0002084	maker-AE016818-augustus-gene-4.60-mRNA-1_1&gene=maker-AE016818-augustus-gene-4.60&CDS=1-2184	YDL033C
OG0002085	augustus_masked-AE016818-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.133&CDS=1-5715	YDL031W
OG0002086	augustus_masked-AE016818-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.134&CDS=1-1608	YBR028C
OG0002087	genemark-AE016818-processed-gene-4.23-mRNA-1_1&gene=genemark-AE016818-processed-gene-4.23&CDS=1-1098	YBR026C
OG0002088	genemark-AE016818-processed-gene-4.45-mRNA-1_1&gene=genemark-AE016818-processed-gene-4.45&CDS=1-306	YOL108C
OG0002089	augustus_masked-AE016818-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.136&CDS=1-999	YOL107W
OG0002090	augustus_masked-AE016818-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.151&CDS=1-873	YNL284C
OG0002091	augustus_masked-AE016818-processed-gene-4.152-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.152&CDS=1-945	YEL029C
OG0002092	augustus_masked-AE016818-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.138&CDS=1-1101	YJR043C
OG0002093	augustus_masked-AE016818-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.139&CDS=1-480	YEL027W
OG0002094	augustus_masked-AE016818-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.110&CDS=1-2154	YJR042W
OG0002095	snap_masked-AE016818-processed-gene-5.52-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.52&CDS=1-3414	YJR041C
OG0002096	augustus_masked-AE016818-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.111&CDS=1-2256	YJR040W
OG0002097	augustus_masked-AE016818-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.109&CDS=1-381	YEL026W
OG0002098	snap_masked-AE016818-processed-gene-5.56-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.56&CDS=1-6096	YJR039W
OG0002099	augustus_masked-AE016818-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.113&CDS=1-3138	YJR036C
OG0002100	augustus_masked-AE016818-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.132&CDS=1-5364	YJR035W
OG0002101	augustus_masked-AE016818-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.114&CDS=1-3939	YJR033C
OG0002102	augustus_masked-AE016818-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.133&CDS=1-1149	YJR032W
OG0002103	augustus_masked-AE016818-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.115&CDS=1-4179	YEL022W
OG0002104	augustus_masked-AE016818-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.116&CDS=1-1041	YEL021W
OG0002105	genemark-AE016818-processed-gene-5.33-mRNA-1_1&gene=genemark-AE016818-processed-gene-5.33&CDS=1-1668	YCR023C
OG0002106	augustus_masked-AE016818-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.136&CDS=1-1635	YEL020C
OG0002107	augustus_masked-AE016818-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.137&CDS=1-1431	YCR024C
OG0002108	snap_masked-AE016818-processed-gene-5.91-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.91&CDS=1-783	YEL019C
OG0002109	augustus_masked-AE016818-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.118&CDS=1-663	YEL018W
OG0002110	snap_masked-AE016818-processed-gene-5.66-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.66&CDS=1-900	YEL017W
OG0002111	augustus_masked-AE016818-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.120&CDS=1-1605	YEL015W
OG0002112	augustus_masked-AE016818-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.121&CDS=1-1704	YEL013W
OG0002113	augustus_masked-AE016818-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.140&CDS=1-276	YCR020C-A
OG0002114	maker-AE016818-snap-gene-5.46-mRNA-1_1&gene=maker-AE016818-snap-gene-5.46&CDS=1-828	YEL012W
OG0002115	augustus_masked-AE016818-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.123&CDS=1-2109	YEL011W
OG0002116	augustus_masked-AE016818-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.124&CDS=1-2856	YCR017C
OG0002117	snap_masked-AE016818-processed-gene-5.96-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.96&CDS=1-717	YCR016W
OG0002118	snap_masked-AE016818-processed-gene-5.72-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.72&CDS=1-786	YCR015C
OG0002119	snap_masked-AE016818-processed-gene-5.73-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.73&CDS=1-1524	YCR014C
OG0002120	augustus_masked-AE016818-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.143&CDS=1-1248	YCR012W
OG0002121	genemark-AE016818-processed-gene-5.23-mRNA-1_1&gene=genemark-AE016818-processed-gene-5.23&CDS=1-1791	YOL023W
OG0002122	genemark-AE016818-processed-gene-5.42-mRNA-1_1&gene=genemark-AE016818-processed-gene-5.42&CDS=1-1233	YOL022C
OG0002123	augustus_masked-AE016818-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.127&CDS=1-2259	YFR009W
OG0002124	augustus_masked-AE016818-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.145&CDS=1-2991	YOL021C
OG0002125	augustus_masked-AE016818-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.146&CDS=1-450	YFR011C
OG0002126	snap_masked-AE016818-processed-gene-5.81-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.81&CDS=1-2025	YOL019W
OG0002127	augustus_masked-AE016818-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.147&CDS=1-1047	YOL018C
OG0002128	augustus_masked-AE016818-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-5.131&CDS=1-1608	YFR028C
OG0002129	genemark-AE016818-processed-gene-6.107-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.107&CDS=1-798	YFR027W
OG0002130	augustus_masked-AE016818-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.58&CDS=1-999	YFR025C
OG0002131	augustus_masked-AE016818-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.62&CDS=1-2010	YHR020W
OG0002132	maker-AE016818-augustus-gene-6.4-mRNA-1_1&gene=maker-AE016818-augustus-gene-6.4&CDS=1-3000	YHR018C
OG0002133	augustus_masked-AE016818-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.82&CDS=1-1149	YHR017W
OG0002134	maker-AE016818-augustus-gene-6.5-mRNA-1_1&gene=maker-AE016818-augustus-gene-6.5&CDS=1-1248	YFR024C-A
OG0002135	augustus_masked-AE016818-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.83&CDS=1-2034	YFR023W
OG0002136	augustus_masked-AE016818-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.64&CDS=1-1365	YOL069W
OG0002137	augustus_masked-AE016818-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.85&CDS=1-564	YOL067C
OG0002138	augustus_masked-AE016818-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.65&CDS=1-1311	YDL007W
OG0002139	augustus_masked-AE016818-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.66&CDS=1-1017	YDL006W
OG0002140	augustus_masked-AE016818-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.86&CDS=1-1029	YDL005C
OG0002141	genemark-AE016818-processed-gene-6.114-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.114&CDS=1-474	YDL004W
OG0002142	snap_masked-AE016818-processed-gene-6.19-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-6.19&CDS=1-1737	YDL003W
OG0002143	augustus_masked-AE016818-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.69&CDS=1-7473	YBL004W
OG0002144	augustus_masked-AE016818-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.87&CDS=1-675	YDL002C
OG0002145	augustus_masked-AE016818-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.70&CDS=1-1425	YDL001W
OG0002146	maker-AE016818-augustus-gene-6.7-mRNA-1_1&gene=maker-AE016818-augustus-gene-6.7&CDS=1-315	YBL001C
OG0002147	genemark-AE016818-processed-gene-6.139-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.139&CDS=1-2214	YDR001C
OG0002148	augustus_masked-AE016818-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.72&CDS=1-630	YDR002W
OG0002149	augustus_masked-AE016818-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.91&CDS=1-822	YBR002C
OG0002150	augustus_masked-AE016818-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.73&CDS=1-1254	YBR003W
OG0002151	augustus_masked-AE016818-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.92&CDS=1-1281	YBR004C
OG0002152	maker-AE016818-augustus-gene-6.6-mRNA-1_1&gene=maker-AE016818-augustus-gene-6.6&CDS=1-3012	YBR006W
OG0002153	augustus_masked-AE016818-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.93&CDS=1-1191	YDR005C
OG0002154	augustus_masked-AE016818-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.94&CDS=1-2292	YBR007C
OG0002155	augustus_masked-AE016818-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.95&CDS=1-2667	YDR006C
OG0002156	augustus_masked-AE016818-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.76&CDS=1-630	YDR007W
OG0002157	maker-AE016818-snap-gene-6.156-mRNA-1_1&gene=maker-AE016818-snap-gene-6.156&CDS=1-1392	YBR011C
OG0002158	genemark-AE016818-processed-gene-6.147-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.147&CDS=1-648	YDL010W
OG0002159	augustus_masked-AE016818-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.100&CDS=1-2322	YOL076W
OG0002160	augustus_masked-AE016818-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.78&CDS=1-876	YOL077C
OG0002161	snap_masked-AE016818-processed-gene-6.54-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-6.54&CDS=1-195	YOL077W-A
OG0002162	augustus_masked-AE016818-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.102&CDS=1-3117	YOL078W
OG0002163	augustus_masked-AE016818-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.80&CDS=1-855	YOL080C
OG0002164	augustus_masked-AE016818-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.81&CDS=1-2256	YBR142W
OG0002165	augustus_masked-AE016818-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.54&CDS=1-1314	YBR143C
OG0002166	augustus_masked-AE016818-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.52&CDS=1-837	YBR146W
OG0002167	augustus_masked-AE016818-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.57&CDS=1-330	YOL086W-A
OG0002168	augustus_masked-AE016818-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.53&CDS=1-3018	YOL087C
OG0002169	augustus_masked-AE016818-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.58&CDS=1-645	YBR154C
OG0002170	augustus_masked-AE016818-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.74&CDS=1-738	YBR153W
OG0002171	augustus_masked-AE016818-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.59&CDS=1-744	YOL088C
OG0002172	augustus_masked-AE016818-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.76&CDS=1-903	YBR151W
OG0002173	genemark-AE016818-processed-gene-7.12-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.12&CDS=1-1308	YLR380W
OG0002174	snap_masked-AE016818-processed-gene-7.103-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-7.103&CDS=1-2028	YLR381W
OG0002175	augustus_masked-AE016818-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.77&CDS=1-2619	YLR382C
OG0002176	augustus_masked-AE016818-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.61&CDS=1-3309	YLR383W
OG0002177	augustus_masked-AE016818-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.78&CDS=1-3876	YDL058W
OG0002178	augustus_masked-AE016818-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.62&CDS=1-612	YDL059C
OG0002179	genemark-AE016818-processed-gene-7.34-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.34&CDS=1-4398	YLR384C
OG0002180	augustus_masked-AE016818-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.63&CDS=1-2571	YLR386W
OG0002181	maker-AE016818-augustus-gene-7.50-mRNA-1_1&gene=maker-AE016818-augustus-gene-7.50&CDS=1-3441	YDL060W
OG0002182	augustus_masked-AE016818-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.81&CDS=1-2916	YLR389C
OG0002183	snap_masked-AE016818-processed-gene-7.107-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-7.107&CDS=1-252	YLR390W
OG0002184	augustus_masked-AE016818-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.64&CDS=1-1839	YDL063C
OG0002185	augustus_masked-AE016818-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.82&CDS=1-471	YDL064W
OG0002186	augustus_masked-AE016818-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.65&CDS=1-936	YDL065C
OG0002187	snap_masked-AE016818-processed-gene-7.130-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-7.130&CDS=1-1290	YLR392C
OG0002188	augustus_masked-AE016818-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.66&CDS=1-816	YLR393W
OG0002189	genemark-AE016818-processed-gene-7.20-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.20&CDS=1-162	YDL067C
OG0002190	augustus_masked-AE016818-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.85&CDS=1-1944	YLR396C
OG0002191	genemark-AE016818-processed-gene-7.43-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.43&CDS=1-1896	YLR399C
OG0002192	augustus_masked-AE016818-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.68&CDS=1-504	YDL072C
OG0002193	augustus_masked-AE016818-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.89&CDS=1-1941	YLR401C
OG0002194	maker-AE016818-snap-gene-7.0-mRNA-1_1&gene=maker-AE016818-snap-gene-7.0&CDS=1-1644	YLR403W
OG0002195	augustus_masked-AE016818-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.70&CDS=1-783	YLR404W
OG0002196	augustus_masked-AE016818-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.90&CDS=1-3159	YDL073W
OG0002197	augustus_masked-AE016818-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.71&CDS=1-2865	YLR405W
OG0002198	augustus_masked-AE016818-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.72&CDS=1-1551	YDL076C
OG0002199	augustus_masked-AE016818-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.92&CDS=1-351	YLR408C
OG0002200	augustus_masked-AE016818-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.73&CDS=1-3096	YDL077C
OG0002201	augustus_masked-AE016818-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.93&CDS=1-2811	YLR409C
OG0002202	augustus_masked-AE016818-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.1&CDS=1-3426	YLR410W
OG0002203	augustus_masked-AE016818-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.3&CDS=1-1275	YKL181W
OG0002204	genemark-AE016818-processed-gene-8.107-mRNA-1_1&gene=genemark-AE016818-processed-gene-8.107&CDS=1-810	YLR412W
OG0002205	maker-AE016818-augustus-gene-8.104-mRNA-1_1&gene=maker-AE016818-augustus-gene-8.104&CDS=1-6945	YKL182W
OG0002206	augustus_masked-AE016818-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.31&CDS=1-1350	YKL184W
OG0002207	augustus_masked-AE016818-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.32&CDS=1-1245	YKL185W
OG0002208	augustus_masked-AE016818-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.5&CDS=1-501	YKL186C
OG0002209	augustus_masked-AE016818-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.7&CDS=1-2403	YKL188C
OG0002210	augustus_masked-AE016818-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.8&CDS=1-1584	YLR417W
OG0002211	augustus_masked-AE016818-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.33&CDS=1-1086	YKL189W
OG0002212	augustus_masked-AE016818-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.34&CDS=1-4194	YLR419W
OG0002213	augustus_masked-AE016818-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.9&CDS=1-1065	YLR418C
OG0002214	genemark-AE016818-processed-gene-8.138-mRNA-1_1&gene=genemark-AE016818-processed-gene-8.138&CDS=1-2172	YKL191W
OG0002215	augustus_masked-AE016818-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.10&CDS=1-1083	YLR420W
OG0002216	snap_masked-AE016818-processed-gene-8.88-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-8.88&CDS=1-462	YLR421C
OG0002217	augustus_masked-AE016818-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.12&CDS=1-5706	YLR422W
OG0002218	maker-AE016818-augustus-gene-8.100-mRNA-1_1&gene=maker-AE016818-augustus-gene-8.100&CDS=1-1461	YKL193C
OG0002219	augustus_masked-AE016818-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.38&CDS=1-1239	YLR423C
OG0002220	snap_masked-AE016818-processed-gene-8.64-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-8.64&CDS=1-1908	YLR424W
OG0002221	augustus_masked-AE016818-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.39&CDS=1-726	YKL195W
OG0002222	augustus_masked-AE016818-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.17&CDS=1-600	YKL196C
OG0002223	snap_masked-AE016818-processed-gene-8.66-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-8.66&CDS=1-3915	YLR425W
OG0002224	snap_masked-AE016818-processed-gene-8.67-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-8.67&CDS=1-936	YLR426W
OG0002225	augustus_masked-AE016818-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.40&CDS=1-507	YML055W
OG0002226	genemark-AE016818-processed-gene-8.123-mRNA-1_1&gene=genemark-AE016818-processed-gene-8.123&CDS=1-9768	YLR430W
OG0002227	augustus_masked-AE016818-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.41&CDS=1-1221	YLR431C
OG0002228	augustus_masked-AE016818-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.42&CDS=1-1743	YLR433C
OG0002229	augustus_masked-AE016818-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.24&CDS=1-615	YLR435W
OG0002230	augustus_masked-AE016818-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.43&CDS=1-4107	YLR436C
OG0002231	augustus_masked-AE016818-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.44&CDS=1-453	YLR437C
OG0002232	augustus_masked-AE016818-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.25&CDS=1-1302	YLR438W
OG0002233	augustus_masked-AE016818-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.26&CDS=1-4566	YML059C
OG0002234	augustus_masked-AE016818-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.45&CDS=1-249	YLR438C-A
OG0002235	genemark-AE016818-processed-gene-8.129-mRNA-1_1&gene=genemark-AE016818-processed-gene-8.129&CDS=1-1023	YLR439W
OG0002236	augustus_masked-AE016818-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.46&CDS=1-1173	YML060W
OG0002237	augustus_masked-AE016818-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.47&CDS=1-2073	YLR440C
OG0002238	augustus_masked-AE016818-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.29&CDS=1-1047	YML062C
OG0002239	augustus_masked-AE016818-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.48&CDS=1-768	YLR441C
OG0002240	augustus_masked-AE016818-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.30&CDS=1-696	YML064C
OG0002241	augustus_masked-AE016818-processed-gene-9.60-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.60&CDS=1-2991	YML065W
OG0002242	maker-AE016818-augustus-gene-9.53-mRNA-1_1&gene=maker-AE016818-augustus-gene-9.53&CDS=1-2796	YML067C
OG0002243	snap_masked-AE016818-processed-gene-9.5-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-9.5&CDS=1-492	YLR445W
OG0002244	augustus_masked-AE016818-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.61&CDS=1-4557	YML069W
OG0002245	snap_masked-AE016818-processed-gene-9.10-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-9.10&CDS=1-1275	YLR446W
OG0002246	augustus_masked-AE016818-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.80&CDS=1-1041	YLR447C
