	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
OG0001679	augustus_masked-ham-_s307-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ham-_s307-processed-gene-0.38&CDS=1-2649	YNL325C
OG0001680	augustus_masked-ham-_s307-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ham-_s307-processed-gene-0.39&CDS=1-5376	YMR308C
OG0001681	snap_masked-ham-_s308-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s308-processed-gene-0.11&CDS=1-2967	YKL205W
OG0001682	snap_masked-ham-_s308-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s308-processed-gene-0.13&CDS=1-1611	YJL069C
OG0001683	snap_masked-ham-_s31-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s31-processed-gene-0.7&CDS=1-288	YBR111W-A
OG0001684	snap_masked-ham-_s31-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s31-processed-gene-0.5&CDS=1-654	YBR111C
OG0001685	snap_masked-ham-_s31-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s31-processed-gene-0.8&CDS=1-2244	YBR112C
OG0001686	genemark-ham-_s31-processed-gene-0.17-mRNA-1_1&gene=genemark-ham-_s31-processed-gene-0.17&CDS=1-2781	YNL330C
OG0001687	augustus_masked-ham-_s315-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ham-_s315-processed-gene-0.34&CDS=1-381	YBR162W-A
OG0001688	snap_masked-ham-_s315-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.68&CDS=1-5628	YPL231W
OG0001689	snap_masked-ham-_s315-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.69&CDS=1-5646	YDR170C
OG0001690	snap_masked-ham-_s315-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.70&CDS=1-738	YLR150W
OG0001691	snap_masked-ham-_s315-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.71&CDS=1-2091	YDR169C
OG0001692	genemark-ham-_s315-processed-gene-0.7-mRNA-1_1&gene=genemark-ham-_s315-processed-gene-0.7&CDS=1-2340	YBR202W
OG0001693	snap_masked-ham-_s315-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.74&CDS=1-588	YER063W
OG0001694	snap_masked-ham-_s315-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.93&CDS=1-765	YGR207C
OG0001695	snap_masked-ham-_s315-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.94&CDS=1-2535	YLR045C
OG0001696	snap_masked-ham-_s315-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.76&CDS=1-1008	YOR292C
OG0001697	genemark-ham-_s315-processed-gene-0.12-mRNA-1_1&gene=genemark-ham-_s315-processed-gene-0.12&CDS=1-795	YLR201C
OG0001698	snap_masked-ham-_s315-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.96&CDS=1-351	YLR200W
OG0001699	snap_masked-ham-_s315-processed-gene-0.79-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.79&CDS=1-3090	YHR098C
OG0001700	augustus_masked-ham-_s315-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ham-_s315-processed-gene-0.66&CDS=1-2154	YOR035C
OG0001701	snap_masked-ham-_s317-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s317-processed-gene-0.1&CDS=1-2367	YNR006W
OG0001702	snap_masked-ham-_s317-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s317-processed-gene-0.2&CDS=1-1311	YKL184W
OG0001703	snap_masked-ham-_s317-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s317-processed-gene-0.3&CDS=1-1707	YLR433C
OG0001704	genemark-ham-_s319-processed-gene-0.1-mRNA-1_1&gene=genemark-ham-_s319-processed-gene-0.1&CDS=1-936	YGR017W
OG0001705	snap_masked-ham-_s32-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s32-processed-gene-0.9&CDS=1-828	YIL049W
OG0001706	snap_masked-ham-_s32-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s32-processed-gene-0.4&CDS=1-1074	YDR173C
OG0001707	snap_masked-ham-_s32-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s32-processed-gene-0.14&CDS=1-2022	YDR172W
OG0001708	snap_masked-ham-_s320-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s320-processed-gene-0.10&CDS=1-873	YGR158C
OG0001709	snap_masked-ham-_s321-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s321-processed-gene-0.15&CDS=1-852	YGR205W
OG0001710	snap_masked-ham-_s321-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s321-processed-gene-0.18&CDS=1-651	YJL001W
OG0001711	genemark-ham-_s323-processed-gene-0.1-mRNA-1_1&gene=genemark-ham-_s323-processed-gene-0.1&CDS=1-4905	YML103C
OG0001712	snap_masked-ham-_s324-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s324-processed-gene-0.3&CDS=1-1413	YLL002W
OG0001713	genemark-ham-_s324-processed-gene-0.30-mRNA-1_1&gene=genemark-ham-_s324-processed-gene-0.30&CDS=1-1257	YLR191W
OG0001714	snap_masked-ham-_s324-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s324-processed-gene-0.7&CDS=1-945	YJL126W
OG0001715	maker-ham-_s324-snap-gene-0.17-mRNA-1_1&gene=maker-ham-_s324-snap-gene-0.17&CDS=1-1287	YJL123C
OG0001716	snap_masked-ham-_s324-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s324-processed-gene-0.14&CDS=1-3801	YDR104C
OG0001717	maker-ham-_s324-augustus-gene-0.0-mRNA-1_1&gene=maker-ham-_s324-augustus-gene-0.0&CDS=1-363	YDR100W
OG0001718	maker-ham-_s327-snap-gene-0.8-mRNA-1_1&gene=maker-ham-_s327-snap-gene-0.8&CDS=1-2211	YJR090C
OG0001719	snap_masked-ham-_s329-processed-gene-0.147-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.147&CDS=1-1155	YGL213C
OG0001720	genemark-ham-_s329-processed-gene-0.88-mRNA-1_1&gene=genemark-ham-_s329-processed-gene-0.88&CDS=1-1512	YLR116W
OG0001721	snap_masked-ham-_s329-processed-gene-0.117-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.117&CDS=1-1158	YBR057C
OG0001722	genemark-ham-_s329-processed-gene-0.90-mRNA-1_1&gene=genemark-ham-_s329-processed-gene-0.90&CDS=1-1638	YNL275W
OG0001723	snap_masked-ham-_s329-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.121&CDS=1-351	YGL030W
OG0001724	snap_masked-ham-_s329-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.122&CDS=1-1113	YKR038C
OG0001725	snap_masked-ham-_s329-processed-gene-0.153-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.153&CDS=1-1188	YKL090W
OG0001726	augustus_masked-ham-_s329-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ham-_s329-processed-gene-0.34&CDS=1-984	YNL290W
OG0001727	snap_masked-ham-_s329-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.123&CDS=1-441	YOR104W
OG0001728	snap_masked-ham-_s329-processed-gene-0.155-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.155&CDS=1-1551	YNL291C
OG0001729	snap_masked-ham-_s329-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.124&CDS=1-453	YPR168W
OG0001730	snap_masked-ham-_s329-processed-gene-0.159-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.159&CDS=1-366	YDR511W
OG0001731	genemark-ham-_s329-processed-gene-0.74-mRNA-1_1&gene=genemark-ham-_s329-processed-gene-0.74&CDS=1-2343	YKL034W
OG0001732	snap_masked-ham-_s329-processed-gene-0.162-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.162&CDS=1-1770	YPR155C
OG0001733	snap_masked-ham-_s329-processed-gene-0.163-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.163&CDS=1-744	YGR135W
OG0001734	snap_masked-ham-_s329-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.133&CDS=1-474	YPR153W
OG0001735	snap_masked-ham-_s329-processed-gene-0.135-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.135&CDS=1-1539	YER078C
OG0001736	snap_masked-ham-_s329-processed-gene-0.164-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.164&CDS=1-837	YGR132C
OG0001737	snap_masked-ham-_s329-processed-gene-0.165-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.165&CDS=1-912	YLR220W
OG0001738	snap_masked-ham-_s329-processed-gene-0.136-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.136&CDS=1-630	YKL070W
OG0001739	genemark-ham-_s329-processed-gene-0.107-mRNA-1_1&gene=genemark-ham-_s329-processed-gene-0.107&CDS=1-3591	YLR001C
OG0001740	snap_masked-ham-_s335-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.7&CDS=1-1533	YOR241W
OG0001741	augustus_masked-ham-_s335-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ham-_s335-processed-gene-0.48&CDS=1-2100	YPL029W
OG0001742	snap_masked-ham-_s335-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.23&CDS=1-1203	YPL028W
OG0001743	snap_masked-ham-_s335-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.10&CDS=1-666	YPL041C
OG0001744	snap_masked-ham-_s335-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.24&CDS=1-1224	YMR139W
OG0001745	snap_masked-ham-_s335-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.26&CDS=1-939	YFL029C
OG0001746	snap_masked-ham-_s335-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.27&CDS=1-1350	YPL042C
OG0001747	snap_masked-ham-_s335-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.28&CDS=1-1104	YLR056W
OG0001748	snap_masked-ham-_s335-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.29&CDS=1-1044	YDL205C
OG0001749	snap_masked-ham-_s335-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.31&CDS=1-3198	YPL022W
OG0001750	augustus_masked-ham-_s335-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-ham-_s335-processed-gene-0.72&CDS=1-2559	YCL030C
OG0001751	snap_masked-ham-_s335-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.35&CDS=1-1767	YDR244W
OG0001752	snap_masked-ham-_s335-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.37&CDS=1-3423	YPL016W
OG0001753	snap_masked-ham-_s335-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.38&CDS=1-1074	YDR245W
OG0001754	genemark-ham-_s335-processed-gene-0.117-mRNA-1_1&gene=genemark-ham-_s335-processed-gene-0.117&CDS=1-3105	YDR419W
OG0001755	snap_masked-ham-_s335-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.13&CDS=1-1041	YNL231C
OG0001756	snap_masked-ham-_s335-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.41&CDS=1-885	YNL232W
OG0001757	snap_masked-ham-_s335-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.42&CDS=1-3540	YNL233W
OG0001758	snap_masked-ham-_s335-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.43&CDS=1-1056	YNL234W
OG0001759	snap_masked-ham-_s335-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.15&CDS=1-753	YGL123W
OG0001760	snap_masked-ham-_s335-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.46&CDS=1-1413	YGL122C
OG0001761	snap_masked-ham-_s336-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.23&CDS=1-1350	YFL037W
OG0001762	snap_masked-ham-_s336-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.1&CDS=1-933	YLR026C
OG0001763	snap_masked-ham-_s336-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.2&CDS=1-675	YLR025W
OG0001764	snap_masked-ham-_s336-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.3&CDS=1-408	YDR462W
OG0001765	snap_masked-ham-_s336-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.24&CDS=1-408	YJR082C
OG0001766	genemark-ham-_s336-processed-gene-0.38-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-0.38&CDS=1-1317	YGR254W
OG0001767	genemark-ham-_s336-processed-gene-0.58-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-0.58&CDS=1-1416	YLR231C
OG0001768	snap_masked-ham-_s336-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.25&CDS=1-1221	YOL016C
OG0001769	snap_masked-ham-_s336-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.9&CDS=1-2166	YJL168C
OG0001770	snap_masked-ham-_s336-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.11&CDS=1-990	YNL097C
OG0001771	snap_masked-ham-_s336-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.12&CDS=1-744	YOR101W
OG0001772	snap_masked-ham-_s336-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.13&CDS=1-639	YNL099C
OG0001773	snap_masked-ham-_s336-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.18&CDS=1-1197	YLR355C
OG0001774	augustus_masked-ham-_s336-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-0.98&CDS=1-855	YGR053C
OG0001775	maker-ham-_s336-snap-gene-0.68-mRNA-1_1&gene=maker-ham-_s336-snap-gene-0.68&CDS=1-1935	YBR287W
OG0001776	snap_masked-ham-_s336-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.33&CDS=1-762	YJL115W
OG0001777	maker-ham-_s336-snap-gene-1.82-mRNA-1_1&gene=maker-ham-_s336-snap-gene-1.82&CDS=1-3615	YER093C
OG0001778	snap_masked-ham-_s336-processed-gene-1.86-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.86&CDS=1-855	YNL075W
OG0001779	snap_masked-ham-_s336-processed-gene-1.87-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.87&CDS=1-2976	YKR050W
OG0001780	snap_masked-ham-_s336-processed-gene-1.88-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.88&CDS=1-6624	YJL130C
OG0001781	maker-ham-_s336-snap-gene-1.83-mRNA-1_1&gene=maker-ham-_s336-snap-gene-1.83&CDS=1-2364	YJL127C
OG0001782	maker-ham-_s336-snap-gene-1.81-mRNA-1_1&gene=maker-ham-_s336-snap-gene-1.81&CDS=1-981	YIL084C
OG0001783	snap_masked-ham-_s336-processed-gene-1.92-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.92&CDS=1-426	YIL087C
OG0001784	snap_masked-ham-_s336-processed-gene-1.113-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.113&CDS=1-831	YNL032W
OG0001785	snap_masked-ham-_s336-processed-gene-1.114-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.114&CDS=1-1077	YFL026W
OG0001786	snap_masked-ham-_s336-processed-gene-1.95-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.95&CDS=1-1923	YDL035C
OG0001787	snap_masked-ham-_s336-processed-gene-1.115-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.115&CDS=1-1464	YOL069W
OG0001788	snap_masked-ham-_s336-processed-gene-1.116-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.116&CDS=1-729	YOR125C
OG0001789	snap_masked-ham-_s336-processed-gene-1.117-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.117&CDS=1-912	YDR374C
OG0001790	snap_masked-ham-_s336-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.99&CDS=1-1401	YOR025W
OG0001791	augustus_masked-ham-_s336-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-1.76&CDS=1-2529	YCL045C
OG0001792	augustus_masked-ham-_s336-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-1.60&CDS=1-237	YDR525W-A
OG0001793	snap_masked-ham-_s336-processed-gene-1.120-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.120&CDS=1-1341	YDR527W
OG0001794	snap_masked-ham-_s336-processed-gene-1.122-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.122&CDS=1-1005	YDR460W
OG0001795	snap_masked-ham-_s336-processed-gene-1.107-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.107&CDS=1-1614	YER168C
OG0001796	snap_masked-ham-_s336-processed-gene-1.108-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.108&CDS=1-4695	YDR127W
OG0001797	snap_masked-ham-_s336-processed-gene-2.153-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.153&CDS=1-14901	YLR106C
OG0001798	snap_masked-ham-_s336-processed-gene-2.159-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.159&CDS=1-1596	YLR107W
OG0001799	snap_masked-ham-_s336-processed-gene-2.160-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.160&CDS=1-3609	YDR097C
OG0001800	snap_masked-ham-_s336-processed-gene-2.161-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.161&CDS=1-483	YPR098C
OG0001801	maker-ham-_s336-augustus-gene-2.233-mRNA-1_1&gene=maker-ham-_s336-augustus-gene-2.233&CDS=1-3885	YDR216W
OG0001802	snap_masked-ham-_s336-processed-gene-2.199-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.199&CDS=1-1857	YER173W
OG0001803	snap_masked-ham-_s336-processed-gene-2.200-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.200&CDS=1-2400	YER169W
OG0001804	genemark-ham-_s336-processed-gene-2.118-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-2.118&CDS=1-2376	YOL027C
OG0001805	augustus_masked-ham-_s336-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-2.13&CDS=1-2298	YBR255W
OG0001806	snap_masked-ham-_s336-processed-gene-2.167-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.167&CDS=1-492	YBR254C
OG0001807	snap_masked-ham-_s336-processed-gene-2.206-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.206&CDS=1-1815	YER080W
OG0001808	genemark-ham-_s336-processed-gene-2.84-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-2.84&CDS=1-1860	YPL218W
OG0001809	genemark-ham-_s336-processed-gene-2.85-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-2.85&CDS=1-1968	YGL099W
OG0001810	snap_masked-ham-_s336-processed-gene-2.208-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.208&CDS=1-2961	YOR058C
OG0001811	augustus_masked-ham-_s336-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-2.51&CDS=1-5571	YDR294C
OG0001812	snap_masked-ham-_s336-processed-gene-2.213-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.213&CDS=1-1404	YOR056C
OG0001813	snap_masked-ham-_s336-processed-gene-2.172-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.172&CDS=1-2130	YJL010C
OG0001814	snap_masked-ham-_s336-processed-gene-2.214-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.214&CDS=1-1989	YPL104W
OG0001815	snap_masked-ham-_s336-processed-gene-2.173-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.173&CDS=1-1350	YBR199W
OG0001816	augustus_masked-ham-_s336-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-2.55&CDS=1-4686	YPL125W
OG0001817	snap_masked-ham-_s336-processed-gene-2.218-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.218&CDS=1-1263	YOR209C
OG0001818	snap_masked-ham-_s336-processed-gene-2.175-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.175&CDS=1-1494	YKL035W
OG0001819	snap_masked-ham-_s336-processed-gene-2.220-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.220&CDS=1-444	YOR224C
OG0001820	snap_masked-ham-_s336-processed-gene-2.222-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.222&CDS=1-288	YLR363W-A
OG0001821	snap_masked-ham-_s336-processed-gene-2.179-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.179&CDS=1-4047	YGR061C
OG0001822	snap_masked-ham-_s336-processed-gene-2.180-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.180&CDS=1-732	YNL178W
OG0001823	snap_masked-ham-_s336-processed-gene-2.223-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.223&CDS=1-321	YJR085C
OG0001824	snap_masked-ham-_s336-processed-gene-2.182-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.182&CDS=1-3990	YGL150C
OG0001825	snap_masked-ham-_s336-processed-gene-2.183-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.183&CDS=1-816	YGL154C
OG0001826	snap_masked-ham-_s336-processed-gene-2.184-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.184&CDS=1-1149	YGL155W
OG0001827	snap_masked-ham-_s336-processed-gene-2.185-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.185&CDS=1-948	YDL119C
OG0001828	snap_masked-ham-_s336-processed-gene-2.186-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.186&CDS=1-1140	YGL153W
OG0001829	snap_masked-ham-_s336-processed-gene-2.188-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.188&CDS=1-3279	YDL102W
OG0001830	snap_masked-ham-_s336-processed-gene-2.189-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.189&CDS=1-945	YMR161W
OG0001831	snap_masked-ham-_s336-processed-gene-2.191-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.191&CDS=1-1347	YOR197W
OG0001832	snap_masked-ham-_s338-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s338-processed-gene-0.16&CDS=1-2307	YOR014W
OG0001833	maker-ham-_s338-snap-gene-0.10-mRNA-1_1&gene=maker-ham-_s338-snap-gene-0.10&CDS=1-1263	YLR251W
OG0001834	snap_masked-ham-_s338-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s338-processed-gene-0.14&CDS=1-972	YGR080W
OG0001835	augustus_masked-ham-_s34-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_s34-processed-gene-0.1&CDS=1-1248	YGR193C
OG0001836	snap_masked-ham-_s341-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.115&CDS=1-741	YBL036C
OG0001837	snap_masked-ham-_s341-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.89&CDS=1-903	YDL051W
OG0001838	snap_masked-ham-_s341-processed-gene-0.91-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.91&CDS=1-2034	YBL035C
OG0001839	snap_masked-ham-_s341-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.92&CDS=1-1995	YDR332W
OG0001840	snap_masked-ham-_s341-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.93&CDS=1-1134	YDR331W
OG0001841	snap_masked-ham-_s341-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.116&CDS=1-1533	YHR084W
OG0001842	maker-ham-_s341-snap-gene-0.134-mRNA-1_1&gene=maker-ham-_s341-snap-gene-0.134&CDS=1-1923	YKL125W
OG0001843	snap_masked-ham-_s341-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.118&CDS=1-2193	YHR197W
OG0001844	snap_masked-ham-_s341-processed-gene-0.97-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.97&CDS=1-3984	YLR384C
OG0001845	snap_masked-ham-_s341-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.120&CDS=1-645	YDL059C
OG0001846	snap_masked-ham-_s341-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.98&CDS=1-5388	YDL058W
OG0001847	snap_masked-ham-_s341-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.99&CDS=1-2271	YNR033W
OG0001848	snap_masked-ham-_s341-processed-gene-0.100-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.100&CDS=1-2412	YCR077C
OG0001849	snap_masked-ham-_s341-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.105&CDS=1-1545	YCR072C
OG0001850	snap_masked-ham-_s341-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.106&CDS=1-3756	YMR109W
OG0001851	snap_masked-ham-_s341-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.108&CDS=1-1965	YNR039C
OG0001852	snap_masked-ham-_s341-processed-gene-0.109-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.109&CDS=1-1338	YOL140W
OG0001853	snap_masked-ham-_s341-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.122&CDS=1-219	YNR032C-A
OG0001854	snap_masked-ham-_s341-processed-gene-0.125-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.125&CDS=1-1086	YBR221C
OG0001855	snap_masked-ham-_s341-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.126&CDS=1-2550	YIL140W
OG0001856	snap_masked-ham-_s341-processed-gene-0.128-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.128&CDS=1-384	YGL127C
