	Komagataella_pastoris	Saccharomyces_cerevisiae
OG0001246	snap_masked-chromosome_1-processed-gene-24.93-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.93&CDS=1-666	YBL038W
OG0001247	maker-chromosome_1-snap-gene-24.1-mRNA-1_1&gene=maker-chromosome_1-snap-gene-24.1&CDS=1-3069	YPR047W
OG0001248	snap_masked-chromosome_1-processed-gene-24.95-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.95&CDS=1-1509	YMR023C
OG0001249	snap_masked-chromosome_1-processed-gene-24.96-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.96&CDS=1-1143	YGL248W
OG0001250	snap_masked-chromosome_1-processed-gene-24.97-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.97&CDS=1-795	YFR050C
OG0001251	snap_masked-chromosome_1-processed-gene-24.78-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.78&CDS=1-11475	YHR099W
OG0001252	snap_masked-chromosome_1-processed-gene-24.99-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.99&CDS=1-603	YHR100C
OG0001253	snap_masked-chromosome_1-processed-gene-24.79-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.79&CDS=1-1743	YDR266C
OG0001254	snap_masked-chromosome_1-processed-gene-24.100-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.100&CDS=1-2817	YDR419W
OG0001255	snap_masked-chromosome_1-processed-gene-24.101-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.101&CDS=1-1128	YER154W
OG0001256	augustus_masked-chromosome_1-processed-gene-24.32-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-24.32&CDS=1-1317	YER152C
OG0001257	augustus_masked-chromosome_1-processed-gene-25.104-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.104&CDS=1-1773	YER151C
OG0001258	augustus_masked-chromosome_1-processed-gene-25.108-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.108&CDS=1-789	YGL123W
OG0001259	augustus_masked-chromosome_1-processed-gene-25.129-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.129&CDS=1-1440	YGL122C
OG0001260	augustus_masked-chromosome_1-processed-gene-25.130-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.130&CDS=1-4791	YGL119W
OG0001261	snap_masked-chromosome_1-processed-gene-25.83-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.83&CDS=1-1095	YBR221C
OG0001262	augustus_masked-chromosome_1-processed-gene-25.132-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.132&CDS=1-1950	YER068W
OG0001263	snap_masked-chromosome_1-processed-gene-25.59-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.59&CDS=1-3231	YGL241W
OG0001264	snap_masked-chromosome_1-processed-gene-25.84-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.84&CDS=1-1485	YGL244W
OG0001265	snap_masked-chromosome_1-processed-gene-25.60-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.60&CDS=1-1875	YFR048W
OG0001266	snap_masked-chromosome_1-processed-gene-25.85-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.85&CDS=1-2160	YGL245W
OG0001267	snap_masked-chromosome_1-processed-gene-25.86-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.86&CDS=1-957	YGL247W
OG0001268	snap_masked-chromosome_1-processed-gene-25.62-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.62&CDS=1-729	YGR001C
OG0001269	snap_masked-chromosome_1-processed-gene-25.63-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.63&CDS=1-1449	YAR002W
OG0001270	snap_masked-chromosome_1-processed-gene-25.64-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.64&CDS=1-1047	YGL001C
OG0001271	snap_masked-chromosome_1-processed-gene-25.89-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.89&CDS=1-4053	YAL002W
OG0001272	snap_masked-chromosome_1-processed-gene-25.65-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.65&CDS=1-1239	YAR003W
OG0001273	snap_masked-chromosome_1-processed-gene-25.90-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.90&CDS=1-1446	YGL202W
OG0001274	snap_masked-chromosome_1-processed-gene-25.67-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.67&CDS=1-1527	YBR286W
OG0001275	snap_masked-chromosome_1-processed-gene-25.69-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.69&CDS=1-300	YLR147C
OG0001276	snap_masked-chromosome_1-processed-gene-25.70-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.70&CDS=1-948	YJR077C
OG0001277	snap_masked-chromosome_1-processed-gene-25.94-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.94&CDS=1-1821	YKL212W
OG0001278	snap_masked-chromosome_1-processed-gene-25.71-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.71&CDS=1-2130	YKL213C
OG0001279	snap_masked-chromosome_1-processed-gene-25.95-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.95&CDS=1-1512	YOL148C
OG0001280	augustus_masked-chromosome_1-processed-gene-25.147-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.147&CDS=1-2997	YOR181W
OG0001281	augustus_masked-chromosome_1-processed-gene-25.149-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.149&CDS=1-1545	YJL057C
OG0001282	augustus_masked-chromosome_1-processed-gene-25.124-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.124&CDS=1-948	YOL022C
OG0001283	snap_masked-chromosome_1-processed-gene-25.76-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.76&CDS=1-711	YBR261C
OG0001284	snap_masked-chromosome_1-processed-gene-26.118-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.118&CDS=1-1119	YKL113C
OG0001285	snap_masked-chromosome_1-processed-gene-26.116-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.116&CDS=1-2793	YOL090W
OG0001286	snap_masked-chromosome_1-processed-gene-26.119-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.119&CDS=1-585	YBR047W
OG0001287	snap_masked-chromosome_1-processed-gene-26.120-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.120&CDS=1-870	YKL110C
OG0001288	snap_masked-chromosome_1-processed-gene-26.168-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.168&CDS=1-1902	YMR098C
OG0001289	snap_masked-chromosome_1-processed-gene-26.121-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.121&CDS=1-678	YHL009C
OG0001290	snap_masked-chromosome_1-processed-gene-26.169-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.169&CDS=1-1491	YMR093W
OG0001291	snap_masked-chromosome_1-processed-gene-26.122-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.122&CDS=1-1713	YMR092C
OG0001292	snap_masked-chromosome_1-processed-gene-26.170-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.170&CDS=1-738	YKL099C
OG0001293	augustus_masked-chromosome_1-processed-gene-26.22-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.22&CDS=1-804	YKL098W
OG0001294	genemark-chromosome_1-processed-gene-26.236-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-26.236&CDS=1-1653	YKR002W
OG0001295	augustus_masked-chromosome_1-processed-gene-26.71-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.71&CDS=1-954	YKR004C
OG0001296	genemark-chromosome_1-processed-gene-26.239-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-26.239&CDS=1-1812	YGL066W
OG0001297	snap_masked-chromosome_1-processed-gene-26.174-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.174&CDS=1-1404	YGL065C
OG0001298	augustus_masked-chromosome_1-processed-gene-26.27-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.27&CDS=1-1299	YJL044C
OG0001299	snap_masked-chromosome_1-processed-gene-26.175-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.175&CDS=1-663	YKL159C
OG0001300	augustus_masked-chromosome_1-processed-gene-26.75-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.75&CDS=1-1230	YHR052W
OG0001301	snap_masked-chromosome_1-processed-gene-26.130-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.130&CDS=1-330	YKL160W
OG0001302	snap_masked-chromosome_1-processed-gene-26.131-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.131&CDS=1-4614	YMR247C
OG0001303	snap_masked-chromosome_1-processed-gene-26.132-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.132&CDS=1-2403	YML035C
OG0001304	augustus_masked-chromosome_1-processed-gene-26.77-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.77&CDS=1-693	YDR459C
OG0001305	snap_masked-chromosome_1-processed-gene-26.179-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.179&CDS=1-516	YML036W
OG0001306	snap_masked-chromosome_1-processed-gene-26.180-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.180&CDS=1-738	YJL218W
OG0001307	snap_masked-chromosome_1-processed-gene-26.134-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.134&CDS=1-483	YDR462W
OG0001308	snap_masked-chromosome_1-processed-gene-26.183-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.183&CDS=1-3222	YGR233C
OG0001309	snap_masked-chromosome_1-processed-gene-26.184-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.184&CDS=1-1764	YLR088W
OG0001310	maker-chromosome_1-snap-gene-26.3-mRNA-1_1&gene=maker-chromosome_1-snap-gene-26.3&CDS=1-9159	YLR087C
OG0001311	snap_masked-chromosome_1-processed-gene-26.136-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.136&CDS=1-231	YFL017W-A
OG0001312	augustus_masked-chromosome_1-processed-gene-26.84-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.84&CDS=1-2298	YFL013C
OG0001313	snap_masked-chromosome_1-processed-gene-26.137-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.137&CDS=1-600	YKL196C
OG0001314	snap_masked-chromosome_1-processed-gene-26.138-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.138&CDS=1-1383	YOR359W
OG0001315	snap_masked-chromosome_1-processed-gene-26.139-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.139&CDS=1-1680	YOR360C
OG0001316	snap_masked-chromosome_1-processed-gene-26.140-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.140&CDS=1-525	YAL044C
OG0001317	snap_masked-chromosome_1-processed-gene-26.188-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.188&CDS=1-306	YAL044W-A
OG0001318	snap_masked-chromosome_1-processed-gene-26.141-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.141&CDS=1-330	YOR327C
OG0001319	snap_masked-chromosome_1-processed-gene-26.143-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.143&CDS=1-2301	YOR353C
OG0001320	maker-chromosome_1-snap-gene-26.4-mRNA-1_1&gene=maker-chromosome_1-snap-gene-26.4&CDS=1-927	YMR241W
OG0001321	snap_masked-chromosome_1-processed-gene-26.144-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.144&CDS=1-1221	YML080W
OG0001322	snap_masked-chromosome_1-processed-gene-26.195-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.195&CDS=1-1035	YMR315W
OG0001323	augustus_masked-chromosome_1-processed-gene-26.47-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.47&CDS=1-2700	YPL195W
OG0001324	augustus_masked-chromosome_1-processed-gene-26.48-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.48&CDS=1-1497	YPL194W
OG0001325	snap_masked-chromosome_1-processed-gene-26.197-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.197&CDS=1-384	YGL080W
OG0001326	snap_masked-chromosome_1-processed-gene-26.151-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.151&CDS=1-648	YPL193W
OG0001327	snap_masked-chromosome_1-processed-gene-26.152-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.152&CDS=1-231	YMR194C-B
OG0001328	snap_masked-chromosome_1-processed-gene-26.153-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.153&CDS=1-681	YMR090W
OG0001329	maker-chromosome_1-snap-gene-26.5-mRNA-1_1&gene=maker-chromosome_1-snap-gene-26.5&CDS=1-1041	YMR193W
OG0001330	snap_masked-chromosome_1-processed-gene-26.204-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.204&CDS=1-2292	YPL249C
OG0001331	augustus_masked-chromosome_1-processed-gene-26.98-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.98&CDS=1-1209	YMR191W
OG0001332	augustus_masked-chromosome_1-processed-gene-26.99-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.99&CDS=1-2916	YPL248C
OG0001333	snap_masked-chromosome_1-processed-gene-26.209-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.209&CDS=1-1650	YMR296C
OG0001334	snap_masked-chromosome_1-processed-gene-26.154-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.154&CDS=1-480	YPL252C
OG0001335	genemark-chromosome_1-processed-gene-26.323-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-26.323&CDS=1-1311	YPL254W
OG0001336	snap_masked-chromosome_1-processed-gene-26.157-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.157&CDS=1-759	YMR200W
OG0001337	snap_masked-chromosome_1-processed-gene-26.158-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.158&CDS=1-2241	YNR006W
OG0001338	augustus_masked-chromosome_1-processed-gene-26.106-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.106&CDS=1-3048	YMR189W
OG0001339	snap_masked-chromosome_1-processed-gene-26.215-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.215&CDS=1-1296	YPL247C
OG0001340	snap_masked-chromosome_1-processed-gene-26.216-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.216&CDS=1-3906	YMR190C
OG0001341	augustus_masked-chromosome_1-processed-gene-26.109-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.109&CDS=1-2865	YMR287C
OG0001342	augustus_masked-chromosome_1-processed-gene-26.62-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.62&CDS=1-1971	YER041W
OG0001343	snap_masked-chromosome_1-processed-gene-26.164-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.164&CDS=1-1671	YKR097W
OG0001344	snap_masked-chromosome_1-processed-gene-26.165-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.165&CDS=1-1317	YNL317W
OG0001345	augustus_masked-chromosome_1-processed-gene-26.111-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.111&CDS=1-1068	YOL136C
OG0001346	genemark-chromosome_2-processed-gene-0.101-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-0.101&CDS=1-1356	YPR065W
OG0001347	augustus_masked-chromosome_2-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-0.22&CDS=1-732	YPL199C
OG0001348	snap_masked-chromosome_2-processed-gene-0.66-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.66&CDS=1-441	YPL225W
OG0001349	snap_masked-chromosome_2-processed-gene-0.43-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.43&CDS=1-837	YMR178W
OG0001350	snap_masked-chromosome_2-processed-gene-0.68-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.68&CDS=1-4476	YMR176W
OG0001351	snap_masked-chromosome_2-processed-gene-0.44-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.44&CDS=1-1608	YGL073W
OG0001352	snap_masked-chromosome_2-processed-gene-0.69-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.69&CDS=1-2376	YGL083W
OG0001353	snap_masked-chromosome_2-processed-gene-0.70-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.70&CDS=1-2556	YML099C
OG0001354	snap_masked-chromosome_2-processed-gene-0.71-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.71&CDS=1-1494	YGL078C
OG0001355	snap_masked-chromosome_2-processed-gene-0.46-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.46&CDS=1-696	YPL196W
OG0001356	snap_masked-chromosome_2-processed-gene-0.72-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.72&CDS=1-756	YLR126C
OG0001357	snap_masked-chromosome_2-processed-gene-0.47-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.47&CDS=1-912	YNL229C
OG0001358	snap_masked-chromosome_2-processed-gene-0.48-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.48&CDS=1-918	YIL164C
OG0001359	snap_masked-chromosome_2-processed-gene-0.49-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.49&CDS=1-579	YDL072C
OG0001360	snap_masked-chromosome_2-processed-gene-0.75-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.75&CDS=1-2748	YPR055W
OG0001361	snap_masked-chromosome_2-processed-gene-0.76-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.76&CDS=1-1542	YDR061W
OG0001362	snap_masked-chromosome_2-processed-gene-0.77-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.77&CDS=1-861	YBR101C
OG0001363	snap_masked-chromosome_2-processed-gene-0.51-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.51&CDS=1-984	YPR056W
OG0001364	snap_masked-chromosome_2-processed-gene-0.53-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.53&CDS=1-324	YPR063C
OG0001365	snap_masked-chromosome_2-processed-gene-0.78-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.78&CDS=1-450	YPR062W
OG0001366	maker-chromosome_2-augustus-gene-1.101-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-1.101&CDS=1-6624	YMR162C
OG0001367	snap_masked-chromosome_2-processed-gene-1.110-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.110&CDS=1-1392	YGL028C
OG0001368	snap_masked-chromosome_2-processed-gene-1.109-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.109&CDS=1-2124	YHL016C
OG0001369	augustus_masked-chromosome_2-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.60&CDS=1-894	YDR126W
OG0001370	snap_masked-chromosome_2-processed-gene-1.140-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.140&CDS=1-453	YDR092W
OG0001371	augustus_masked-chromosome_2-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.84&CDS=1-1275	YER173W
OG0001372	snap_masked-chromosome_2-processed-gene-1.115-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.115&CDS=1-1635	YER169W
OG0001373	snap_masked-chromosome_2-processed-gene-1.117-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.117&CDS=1-3564	YBR023C
OG0001374	augustus_masked-chromosome_2-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.86&CDS=1-4644	YNL297C
OG0001375	snap_masked-chromosome_2-processed-gene-1.118-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.118&CDS=1-1173	YNL292W
OG0001376	snap_masked-chromosome_2-processed-gene-1.143-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.143&CDS=1-1767	YNL291C
OG0001377	maker-chromosome_2-augustus-gene-1.102-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-1.102&CDS=1-1527	YNL290W
OG0001378	snap_masked-chromosome_2-processed-gene-1.144-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.144&CDS=1-1272	YBR028C
OG0001379	snap_masked-chromosome_2-processed-gene-1.121-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.121&CDS=1-1485	YGL055W
OG0001380	snap_masked-chromosome_2-processed-gene-1.145-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.145&CDS=1-1377	YNL294C
OG0001381	snap_masked-chromosome_2-processed-gene-1.122-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.122&CDS=1-1338	YNL293W
OG0001382	snap_masked-chromosome_2-processed-gene-1.125-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.125&CDS=1-2076	YDL035C
OG0001383	snap_masked-chromosome_2-processed-gene-1.146-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.146&CDS=1-1638	YJL111W
OG0001384	augustus_masked-chromosome_2-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.92&CDS=1-555	YKR037C
OG0001385	snap_masked-chromosome_2-processed-gene-1.126-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.126&CDS=1-3675	YFL008W
OG0001386	augustus_masked-chromosome_2-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.72&CDS=1-468	YGR057C
OG0001387	augustus_masked-chromosome_2-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.94&CDS=1-1551	YKR038C
OG0001388	genemark-chromosome_2-processed-gene-1.22-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-1.22&CDS=1-321	YGL030W
OG0001389	snap_masked-chromosome_2-processed-gene-1.152-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.152&CDS=1-3003	YIL125W
OG0001390	snap_masked-chromosome_2-processed-gene-1.129-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.129&CDS=1-1533	YDR120C
OG0001391	snap_masked-chromosome_2-processed-gene-1.130-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.130&CDS=1-213	YLR099W-A
OG0001392	snap_masked-chromosome_2-processed-gene-1.131-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.131&CDS=1-822	YNL289W
OG0001393	snap_masked-chromosome_2-processed-gene-1.133-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.133&CDS=1-3519	YDR097C
OG0001394	snap_masked-chromosome_2-processed-gene-1.155-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.155&CDS=1-4161	YER164W
OG0001395	snap_masked-chromosome_2-processed-gene-1.135-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.135&CDS=1-1818	YDR091C
OG0001396	snap_masked-chromosome_2-processed-gene-1.157-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.157&CDS=1-738	YDR121W
OG0001397	augustus_masked-chromosome_2-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-1.81&CDS=1-1044	YHR201C
OG0001398	snap_masked-chromosome_2-processed-gene-2.58-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.58&CDS=1-363	YDR100W
OG0001399	snap_masked-chromosome_2-processed-gene-2.59-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.59&CDS=1-771	YER177W
OG0001400	maker-chromosome_2-snap-gene-2.166-mRNA-1_1&gene=maker-chromosome_2-snap-gene-2.166&CDS=1-2658	YDR101C
OG0001401	snap_masked-chromosome_2-processed-gene-2.64-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.64&CDS=1-1347	YJL155C
OG0001402	snap_masked-chromosome_2-processed-gene-2.65-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.65&CDS=1-669	YER170W
OG0001403	snap_masked-chromosome_2-processed-gene-2.66-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.66&CDS=1-573	YLR229C
OG0001404	snap_masked-chromosome_2-processed-gene-2.67-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.67&CDS=1-1668	YDR212W
OG0001405	snap_masked-chromosome_2-processed-gene-2.68-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.68&CDS=1-1356	YLR228C
OG0001406	snap_masked-chromosome_2-processed-gene-2.87-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.87&CDS=1-1434	YDR388W
OG0001407	snap_masked-chromosome_2-processed-gene-2.88-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.88&CDS=1-1566	YDR390C
OG0001408	snap_masked-chromosome_2-processed-gene-2.71-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.71&CDS=1-1098	YOR136W
OG0001409	snap_masked-chromosome_2-processed-gene-2.72-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.72&CDS=1-633	YDR408C
OG0001410	snap_masked-chromosome_2-processed-gene-2.89-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.89&CDS=1-795	YOR157C
OG0001411	snap_masked-chromosome_2-processed-gene-2.90-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.90&CDS=1-3060	YPL040C
OG0001412	snap_masked-chromosome_2-processed-gene-2.91-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.91&CDS=1-3567	YDR407C
OG0001413	genemark-chromosome_2-processed-gene-2.37-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-2.37&CDS=1-3105	YBL105C
OG0001414	snap_masked-chromosome_2-processed-gene-2.93-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.93&CDS=1-3681	YOR151C
OG0001415	augustus_masked-chromosome_2-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-2.125&CDS=1-642	YDR405W
OG0001416	snap_masked-chromosome_2-processed-gene-2.94-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.94&CDS=1-1398	YDR363W
OG0001417	genemark-chromosome_2-processed-gene-2.20-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-2.20&CDS=1-1617	YDR386W
OG0001418	snap_masked-chromosome_2-processed-gene-2.77-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.77&CDS=1-1623	YOR161C
OG0001419	snap_masked-chromosome_2-processed-gene-2.99-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.99&CDS=1-2829	YOR160W
OG0001420	snap_masked-chromosome_2-processed-gene-2.78-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.78&CDS=1-264	YOR159C
OG0001421	snap_masked-chromosome_2-processed-gene-2.100-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.100&CDS=1-861	YOR158W
OG0001422	snap_masked-chromosome_2-processed-gene-2.104-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.104&CDS=1-645	YHR058C
