	Saccharomyces_cerevisiae	yHMPu5000041855_Candida_ascalaphidarum
OG0001612	YHR045W	snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.100&CDS=1-1557
OG0001613	YHR048W	maker-NODE_12_length_437675_cov_47.0709_ID_5986-snap-gene-2.43-mRNA-1_1&gene=maker-NODE_12_length_437675_cov_47.0709_ID_5986-snap-gene-2.43&CDS=1-2895
OG0001614	YHR049W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.109&CDS=1-1041
OG0001615	YHR051W	augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.88&CDS=1-363
OG0001616	YHR052W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.1-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.1&CDS=1-1170
OG0001617	YHR058C	snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.239-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.239&CDS=1-774
OG0001618	YHR059W	snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.207-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.207&CDS=1-444
OG0001619	YHR062C	snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.120&CDS=1-909
OG0001620	YHR063C	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.6-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.6&CDS=1-1053
OG0001621	YHR064C	snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.55&CDS=1-1626
OG0001622	YHR065C	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.71&CDS=1-1410
OG0001623	YHR068W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.21&CDS=1-1140
OG0001624	YHR069C	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.264-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.264&CDS=1-990
OG0001625	YHR070W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.223-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.223&CDS=1-1308
OG0001626	YHR071W	augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.135&CDS=1-909
OG0001627	YHR072W	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.39&CDS=1-2196
OG0001628	YHR072W-A	snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.56&CDS=1-186
OG0001629	YHR073W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.227-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.227&CDS=1-2541
OG0001630	YHR074W	snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.111&CDS=1-2151
OG0001631	YHR075C	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.214-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.214&CDS=1-1137
OG0001632	YHR076W	snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.124&CDS=1-1053
OG0001633	YHR077C	maker-NODE_7_length_480310_cov_44.8896_ID_3472-snap-gene-0.50-mRNA-1_1&gene=maker-NODE_7_length_480310_cov_44.8896_ID_3472-snap-gene-0.50&CDS=1-2940
OG0001634	YHR078W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.104&CDS=1-1791
OG0001635	YHR079C	augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.62&CDS=1-3354
OG0001636	YHR081W	augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.83&CDS=1-522
OG0001637	YHR083W	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.93&CDS=1-882
OG0001638	YHR084W	augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.78&CDS=1-1338
OG0001639	YHR085W	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.97&CDS=1-1047
OG0001640	YHR087W	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.34&CDS=1-345
OG0001641	YHR088W	snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-0.121&CDS=1-879
OG0001642	YHR089C	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.39&CDS=1-594
OG0001643	YHR090C	augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.68&CDS=1-795
OG0001644	YHR098C	augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.67&CDS=1-2943
OG0001645	YHR099W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.0-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.0&CDS=1-11268
OG0001646	YHR100C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-2.68&CDS=1-603
OG0001647	YHR104W	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.117&CDS=1-960
OG0001648	YHR105W	snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.91&CDS=1-420
OG0001649	YHR107C	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.60&CDS=1-1191
OG0001650	YHR108W	augustus_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.148&CDS=1-1713
OG0001651	YHR109W	augustus_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-5.35&CDS=1-1368
OG0001652	YHR110W	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.70&CDS=1-642
OG0001653	YHR111W	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.69&CDS=1-1287
OG0001654	YHR112C	snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.61&CDS=1-1110
OG0001655	YHR113W	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.67&CDS=1-1422
OG0001656	YHR114W	augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.77&CDS=1-1794
OG0001657	YHR116W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-3.61&CDS=1-306
OG0001658	YHR120W	genemark-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-2.55&CDS=1-5088
OG0001659	YHR122W	snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-3.67&CDS=1-552
OG0001660	YHR128W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.39&CDS=1-642
OG0001661	YHR132C	maker-NODE_1_length_1005075_cov_44.4753_ID_3314-snap-gene-9.68-mRNA-1_1&gene=maker-NODE_1_length_1005075_cov_44.4753_ID_3314-snap-gene-9.68&CDS=1-3786
OG0001662	YHR134W	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-9.93&CDS=1-1758
OG0001663	YHR142W	snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.29-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.29&CDS=1-918
OG0001664	YHR143W-A	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.100&CDS=1-219
OG0001665	YHR144C	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.99&CDS=1-1026
OG0001666	YHR147C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.19&CDS=1-636
OG0001667	YHR148W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.40&CDS=1-546
OG0001668	YHR150W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.96&CDS=1-1671
OG0001669	YHR151C	snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.213-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.213&CDS=1-1662
OG0001670	YHR154W	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.206-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.206&CDS=1-2541
OG0001671	YHR156C	augustus_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.153&CDS=1-1068
OG0001672	YHR164C	augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.85&CDS=1-4104
OG0001673	YHR165C	augustus_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.174&CDS=1-6711
OG0001674	YHR166C	snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.107&CDS=1-1707
OG0001675	YHR168W	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.80&CDS=1-1560
OG0001676	YHR169W	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.106&CDS=1-1293
OG0001677	YHR170W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.20&CDS=1-1533
OG0001678	YHR171W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.21&CDS=1-1863
OG0001679	YHR172W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.22&CDS=1-2565
OG0001680	YHR175W	augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.100&CDS=1-468
OG0001681	YHR176W	genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.118-mRNA-1_1&gene=genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.118&CDS=1-1278
OG0001682	YHR177W	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.95&CDS=1-693
OG0001683	YHR181W	snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.7&CDS=1-651
OG0001684	YHR183W	augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.98&CDS=1-1524
OG0001685	YHR186C	genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.154-mRNA-1_1&gene=genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.154&CDS=1-4287
OG0001686	YHR187W	snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.89&CDS=1-855
OG0001687	YHR188C	snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.112&CDS=1-1776
OG0001688	YHR190W	snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-0.20&CDS=1-1341
OG0001689	YHR191C	snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.227-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.227&CDS=1-402
OG0001690	YHR193C	genemark-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.78&CDS=1-498
OG0001691	YHR194W	snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.184-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.184&CDS=1-1665
OG0001692	YHR200W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.104&CDS=1-819
OG0001693	YHR201C	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.128-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-1.128&CDS=1-1218
OG0001694	YHR205W	genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.184-mRNA-1_1&gene=genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.184&CDS=1-2109
OG0001695	YIL003W	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.15&CDS=1-870
OG0001696	YIL004C	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.34&CDS=1-426
OG0001697	YIL005W	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.38&CDS=1-2184
OG0001698	YIL007C	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.115&CDS=1-669
OG0001699	YIL008W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.95&CDS=1-300
OG0001700	YIL010W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.174-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.174&CDS=1-609
OG0001701	YIL017C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.213-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.213&CDS=1-3009
OG0001702	YIL020C	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.36&CDS=1-813
OG0001703	YIL021W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.14&CDS=1-906
OG0001704	YIL022W	maker-NODE_3_length_696070_cov_41.4075_ID_3205-augustus-gene-3.51-mRNA-1_1&gene=maker-NODE_3_length_696070_cov_41.4075_ID_3205-augustus-gene-3.51&CDS=1-2544
OG0001705	YIL026C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.43&CDS=1-3585
OG0001706	YIL030C	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.29-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.29&CDS=1-3558
OG0001707	YIL031W	augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.31&CDS=1-2142
OG0001708	YIL033C	snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.108-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.108&CDS=1-1335
OG0001709	YIL034C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.30&CDS=1-801
OG0001710	YIL039W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.120-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.120&CDS=1-1431
OG0001711	YIL042C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.45&CDS=1-1236
OG0001712	YIL044C	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.40&CDS=1-1149
OG0001713	YIL046W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-7.135-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-7.135&CDS=1-1938
OG0001714	YIL047C	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.194-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.194&CDS=1-2853
OG0001715	YIL048W	snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.98&CDS=1-3366
OG0001716	YIL061C	snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.95&CDS=1-954
OG0001717	YIL062C	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.118&CDS=1-471
OG0001718	YIL063C	snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.96&CDS=1-1107
OG0001719	YIL064W	genemark-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.47&CDS=1-738
OG0001720	YIL065C	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.63&CDS=1-465
OG0001721	YIL068C	maker-NODE_2_length_744676_cov_45.4856_ID_3712-snap-gene-6.126-mRNA-1_1&gene=maker-NODE_2_length_744676_cov_45.4856_ID_3712-snap-gene-6.126&CDS=1-4605
OG0001722	YIL075C	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.166-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.166&CDS=1-2922
OG0001723	YIL076W	augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.18&CDS=1-939
OG0001724	YIL083C	snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.154&CDS=1-1014
OG0001725	YIL084C	maker-NODE_11_length_451756_cov_44.098_ID_3270-augustus-gene-0.55-mRNA-1_1&gene=maker-NODE_11_length_451756_cov_44.098_ID_3270-augustus-gene-0.55&CDS=1-1020
OG0001726	YIL087C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.130&CDS=1-414
OG0001727	YIL090W	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.37&CDS=1-1419
OG0001728	YIL091C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.106&CDS=1-2076
OG0001729	YIL093C	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.110&CDS=1-807
OG0001730	YIL094C	genemark-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.24-mRNA-1_1&gene=genemark-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.24&CDS=1-1119
OG0001731	YIL096C	snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.151-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.151&CDS=1-966
OG0001732	YIL097W	augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.22&CDS=1-1506
