	Saccharomyces_cerevisiae	yHMPu5000035279_Tortispora_starmeri
OG0001002	YDR415C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.229-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.229&CDS=1-2751
OG0001003	YDR416W	augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.159&CDS=1-2319
OG0001004	YDR419W	genemark-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.6-mRNA-1_1&gene=genemark-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.6&CDS=1-1746
OG0001005	YDR421W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.61&CDS=1-2601
OG0001006	YDR427W	augustus_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.85&CDS=1-1116
OG0001007	YDR428C	augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-2.85&CDS=1-684
OG0001008	YDR429C	augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.47&CDS=1-870
OG0001009	YDR430C	augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.17&CDS=1-2949
OG0001010	YDR434W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.17&CDS=1-1389
OG0001011	YDR435C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.47&CDS=1-1074
OG0001012	YDR437W	augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.72&CDS=1-681
OG0001013	YDR440W	snap_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.49&CDS=1-1548
OG0001014	YDR448W	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.143&CDS=1-1371
OG0001015	YDR449C	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.210-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.210&CDS=1-1182
OG0001016	YDR452W	augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.148&CDS=1-1794
OG0001017	YDR454C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.62&CDS=1-558
OG0001018	YDR456W	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.29&CDS=1-1887
OG0001019	YDR459C	maker-NODE_32_length_96656_cov_27.0936_ID_14264-augustus-gene-0.136-mRNA-1_1&gene=maker-NODE_32_length_96656_cov_27.0936_ID_14264-augustus-gene-0.136&CDS=1-1077
OG0001020	YDR460W	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.86&CDS=1-879
OG0001021	YDR464W	snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.208-mRNA-1_1&gene=snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.208&CDS=1-1872
OG0001022	YDR465C	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.156&CDS=1-1035
OG0001023	YDR468C	augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-1.92&CDS=1-657
OG0001024	YDR469W	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-0.61&CDS=1-339
OG0001025	YDR470C	augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.1&CDS=1-1329
OG0001026	YDR472W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.138&CDS=1-558
OG0001027	YDR473C	genemark-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.251-mRNA-1_1&gene=genemark-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.251&CDS=1-1311
OG0001028	YDR479C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.253-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.253&CDS=1-1215
OG0001029	YDR482C	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.45&CDS=1-435
OG0001030	YDR484W	augustus_masked-NODE_29_length_105919_cov_17.2848_ID_6898-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_29_length_105919_cov_17.2848_ID_6898-processed-gene-0.101&CDS=1-1851
OG0001031	YDR485C	augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.95&CDS=1-1905
OG0001032	YDR486C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.89&CDS=1-624
OG0001033	YDR487C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.46&CDS=1-606
OG0001034	YDR489W	augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-1.55&CDS=1-672
OG0001035	YDR490C	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.140&CDS=1-2355
OG0001036	YDR495C	augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.68&CDS=1-2853
OG0001037	YDR496C	augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.124&CDS=1-1887
OG0001038	YDR502C	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.161&CDS=1-1158
OG0001039	YDR510W	augustus_masked-NODE_49_length_48947_cov_9.6271_ID_8710-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_49_length_48947_cov_9.6271_ID_8710-processed-gene-0.28&CDS=1-282
OG0001040	YDR511W	genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.83&CDS=1-399
OG0001041	YDR512C	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.38&CDS=1-492
OG0001042	YDR517W	augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.36&CDS=1-1098
OG0001043	YDR525W-A	augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.194-mRNA-1_1&gene=augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.194&CDS=1-393
OG0001044	YDR527W	augustus_masked-NODE_53_length_39482_cov_9.37408_ID_7619-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_53_length_39482_cov_9.37408_ID_7619-processed-gene-0.25&CDS=1-894
OG0001045	YDR529C	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-3.138&CDS=1-372
OG0001046	YDR531W	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.49&CDS=1-1383
OG0001047	YEL002C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.1&CDS=1-1308
OG0001048	YEL003W	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.141&CDS=1-351
OG0001049	YEL004W	snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.150-mRNA-1_1&gene=snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.150&CDS=1-936
OG0001050	YEL009C	augustus_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.189&CDS=1-876
OG0001051	YEL011W	maker-NODE_62_length_20896_cov_10.2665_ID_21079-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_62_length_20896_cov_10.2665_ID_21079-augustus-gene-0.2&CDS=1-3423
OG0001052	YEL012W	genemark-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.150&CDS=1-552
OG0001053	YEL013W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.97&CDS=1-1671
OG0001054	YEL015W	genemark-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.222-mRNA-1_1&gene=genemark-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.222&CDS=1-1368
OG0001055	YEL020C	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.110&CDS=1-3498
OG0001056	YEL020W-A	augustus_masked-NODE_60_length_23931_cov_9.77031_ID_8369-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_60_length_23931_cov_9.77031_ID_8369-processed-gene-0.37&CDS=1-261
OG0001057	YEL021W	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.22&CDS=1-777
OG0001058	YEL024W	maker-NODE_59_length_25806_cov_6.65163_ID_8331-augustus-gene-0.49-mRNA-1_1&gene=maker-NODE_59_length_25806_cov_6.65163_ID_8331-augustus-gene-0.49&CDS=1-2400
OG0001059	YEL026W	augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.115&CDS=1-378
OG0001060	YEL027W	genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.93&CDS=1-483
OG0001061	YEL031W	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.15&CDS=1-4995
OG0001062	YEL032W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.131&CDS=1-2514
OG0001063	YEL036C	genemark-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.118-mRNA-1_1&gene=genemark-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.118&CDS=1-1383
OG0001064	YEL037C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.48&CDS=1-1113
OG0001065	YEL038W	maker-NODE_4_length_423460_cov_10.8288_ID_4638-augustus-gene-2.59-mRNA-1_1&gene=maker-NODE_4_length_423460_cov_10.8288_ID_4638-augustus-gene-2.59&CDS=1-687
OG0001066	YEL040W	augustus_masked-NODE_50_length_47779_cov_10.5208_ID_7381-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_50_length_47779_cov_10.5208_ID_7381-processed-gene-0.49&CDS=1-1263
OG0001067	YEL042W	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.2&CDS=1-1437
OG0001068	YEL043W	snap_masked-NODE_47_length_54853_cov_9.18344_ID_6949-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_47_length_54853_cov_9.18344_ID_6949-processed-gene-0.28&CDS=1-2979
OG0001069	YEL044W	genemark-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.149-mRNA-1_1&gene=genemark-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.149&CDS=1-333
OG0001070	YEL046C	maker-NODE_1_length_530835_cov_11.0226_ID_5813-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_1_length_530835_cov_11.0226_ID_5813-snap-gene-1.0&CDS=1-1089
OG0001071	YEL050C	genemark-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.244-mRNA-1_1&gene=genemark-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.244&CDS=1-1110
OG0001072	YEL051W	maker-NODE_28_length_110160_cov_11.4914_ID_8006-augustus-gene-0.112-mRNA-1_1&gene=maker-NODE_28_length_110160_cov_11.4914_ID_8006-augustus-gene-0.112&CDS=1-747
OG0001073	YEL052W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.193-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.193&CDS=1-1344
OG0001074	YEL053C	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.87&CDS=1-2121
OG0001075	YEL055C	augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.67&CDS=1-2967
OG0001076	YEL056W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.3&CDS=1-1302
OG0001077	YEL058W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.206-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.206&CDS=1-1584
OG0001078	YEL062W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-0.161&CDS=1-1857
OG0001079	YEL064C	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.49&CDS=1-1500
OG0001080	YEL065W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.24&CDS=1-1800
OG0001081	YER002W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.258-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.258&CDS=1-642
OG0001082	YER003C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.220-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.220&CDS=1-1206
OG0001083	YER004W	maker-NODE_16_length_219844_cov_10.6473_ID_4879-augustus-gene-1.238-mRNA-1_1&gene=maker-NODE_16_length_219844_cov_10.6473_ID_4879-augustus-gene-1.238&CDS=1-1266
OG0001084	YER005W	augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.169-mRNA-1_1&gene=augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.169&CDS=1-2049
OG0001085	YER006W	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.25&CDS=1-1458
OG0001086	YER007C-A	augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.171&CDS=1-540
OG0001087	YER008C	snap_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.132&CDS=1-1920
OG0001088	YER009W	genemark-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.160-mRNA-1_1&gene=genemark-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.160&CDS=1-369
OG0001089	YER010C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.67&CDS=1-723
OG0001090	YER012W	augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.194&CDS=1-975
OG0001091	YER014W	snap_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.17&CDS=1-1653
OG0001092	YER016W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-0.142&CDS=1-1002
OG0001093	YER017C	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.19&CDS=1-2499
OG0001094	YER019W	genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.64&CDS=1-1467
OG0001095	YER021W	augustus_masked-NODE_37_length_74361_cov_15.2065_ID_6343-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_37_length_74361_cov_15.2065_ID_6343-processed-gene-0.60&CDS=1-1395
OG0001096	YER022W	snap_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-0.107&CDS=1-1704
OG0001097	YER023W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.154&CDS=1-840
OG0001098	YER025W	augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.73&CDS=1-1545
OG0001099	YER026C	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.18&CDS=1-702
OG0001100	YER029C	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.3&CDS=1-348
OG0001101	YER030W	augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.32&CDS=1-495
OG0001102	YER036C	augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.30&CDS=1-1815
OG0001103	YER043C	augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.52&CDS=1-1344
OG0001104	YER044C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.11&CDS=1-426
OG0001105	YER046W	snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.61&CDS=1-744
OG0001106	YER048W-A	snap_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.3&CDS=1-276
OG0001107	YER049W	genemark-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.36&CDS=1-1719
OG0001108	YER050C	augustus_masked-NODE_45_length_56091_cov_10.3506_ID_7395-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_45_length_56091_cov_10.3506_ID_7395-processed-gene-0.51&CDS=1-600
OG0001109	YER052C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.110&CDS=1-1566
OG0001110	YER053C	augustus_masked-NODE_43_length_62223_cov_26.2295_ID_7310-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_43_length_62223_cov_26.2295_ID_7310-processed-gene-0.76&CDS=1-1032
OG0001111	YER055C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-1.119&CDS=1-975
OG0001112	YER058W	augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.47&CDS=1-228
OG0001113	YER061C	augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.147&CDS=1-1308
OG0001114	YER063W	augustus_masked-NODE_47_length_54853_cov_9.18344_ID_6949-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_47_length_54853_cov_9.18344_ID_6949-processed-gene-0.78&CDS=1-528
OG0001115	YER068W	augustus_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.92&CDS=1-1413
OG0001116	YER069W	augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.89&CDS=1-2559
OG0001117	YER070W	augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-3.86&CDS=1-2589
OG0001118	YER072W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.15&CDS=1-366
OG0001119	YER074W-A	snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.42&CDS=1-213
OG0001120	YER078C	augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.49&CDS=1-1446
OG0001121	YER080W	augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.190-mRNA-1_1&gene=augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-3.190&CDS=1-1521
OG0001122	YER082C	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.61&CDS=1-1527
