	Candida_auris	Saccharomyces_cerevisiae
OG0001444	snap_masked-LGST01000019.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.32&CDS=1-2868	YMR125W
OG0001445	snap_masked-LGST01000019.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.33&CDS=1-1794	YCR061W
OG0001446	snap_masked-LGST01000019.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.34&CDS=1-2256	YNL161W
OG0001447	snap_masked-LGST01000019.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.15&CDS=1-924	YJR142W
OG0001448	snap_masked-LGST01000019.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.18&CDS=1-2277	YJL094C
OG0001449	snap_masked-LGST01000019.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.21&CDS=1-804	YLR290C
OG0001450	snap_masked-LGST01000019.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.39&CDS=1-2769	YGL167C
OG0001451	snap_masked-LGST01000019.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.40&CDS=1-1134	YGL169W
OG0001452	snap_masked-LGST01000019.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.41&CDS=1-3114	YGL241W
OG0001453	snap_masked-LGST01000019.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.3&CDS=1-3069	YDR104C
OG0001454	snap_masked-LGST01000019.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.4&CDS=1-1356	YJL123C
OG0001455	snap_masked-LGST01000019.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.46&CDS=1-960	YJL126W
OG0001456	snap_masked-LGST01000019.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.7&CDS=1-1278	YLR191W
OG0001457	augustus_masked-LGST01000019.1-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.199&CDS=1-1212	YLL002W
OG0001458	snap_masked-LGST01000019.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.9&CDS=1-948	YGR017W
OG0001459	augustus_masked-LGST01000019.1-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.164&CDS=1-726	YPL127C
OG0001460	augustus_masked-LGST01000019.1-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.165&CDS=1-612	YOR236W
OG0001461	snap_masked-LGST01000019.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.12&CDS=1-513	YOR215C
OG0001462	snap_masked-LGST01000019.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.13&CDS=1-1977	YPL129W
OG0001463	snap_masked-LGST01000019.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.52&CDS=1-1176	YOR212W
OG0001464	snap_masked-LGST01000019.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.53&CDS=1-2112	YPL128C
OG0001465	maker-LGST01000019.1-snap-gene-1.226-mRNA-1_1&gene=maker-LGST01000019.1-snap-gene-1.226&CDS=1-1185	YPR011C
OG0001466	augustus_masked-LGST01000019.1-processed-gene-1.203-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.203&CDS=1-816	YGR021W
OG0001467	snap_masked-LGST01000019.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.17&CDS=1-372	YGR020C
OG0001468	augustus_masked-LGST01000019.1-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.204&CDS=1-1602	YLR330W
OG0001469	snap_masked-LGST01000019.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.56&CDS=1-1836	YAL013W
OG0001470	snap_masked-LGST01000019.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.18&CDS=1-1428	YOL041C
OG0001471	augustus_masked-LGST01000019.1-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.173&CDS=1-2559	YPR105C
OG0001472	snap_masked-LGST01000019.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.58&CDS=1-648	YPR107C
OG0001473	snap_masked-LGST01000019.1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.59&CDS=1-1221	YAL009W
OG0001474	snap_masked-LGST01000019.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.22&CDS=1-1440	YJL091C
OG0001475	snap_masked-LGST01000019.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.25&CDS=1-1290	YOR216C
OG0001476	snap_masked-LGST01000019.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.26&CDS=1-2793	YOR217W
OG0001477	snap_masked-LGST01000019.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.60&CDS=1-1218	YPL146C
OG0001478	snap_masked-LGST01000019.1-processed-gene-1.63-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.63&CDS=1-3180	YAL019W
OG0001479	snap_masked-LGST01000019.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.30&CDS=1-1053	YAL020C
OG0001480	snap_masked-LGST01000019.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.31&CDS=1-621	YOL032W
OG0001481	snap_masked-LGST01000019.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.33&CDS=1-504	YJL122W
OG0001482	snap_masked-LGST01000019.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.68&CDS=1-690	YJL121C
OG0001483	snap_masked-LGST01000019.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.69&CDS=1-1113	YGL243W
OG0001484	snap_masked-LGST01000019.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.70&CDS=1-453	YIL065C
OG0001485	snap_masked-LGST01000019.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.38&CDS=1-2898	YOR005C
OG0001486	snap_masked-LGST01000019.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.40&CDS=1-2766	YIR002C
OG0001487	snap_masked-LGST01000019.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.41&CDS=1-543	YER007C-A
OG0001488	augustus_masked-LGST01000019.1-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-LGST01000019.1-processed-gene-1.220&CDS=1-1467	YER007W
OG0001489	snap_masked-LGST01000019.1-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.76&CDS=1-1521	YER006W
OG0001490	snap_masked-LGST01000019.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.78&CDS=1-1917	YER005W
OG0001491	maker-LGST01000019.1-snap-gene-1.228-mRNA-1_1&gene=maker-LGST01000019.1-snap-gene-1.228&CDS=1-627	YAL003W
OG0001492	snap_masked-LGST01000019.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.80&CDS=1-753	YGR001C
OG0001493	snap_masked-LGST01000019.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.43&CDS=1-3678	YAL001C
OG0001494	snap_masked-LGST01000019.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-1.44&CDS=1-918	YGR280C
OG0001495	snap_masked-LGST01000020.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.53&CDS=1-1053	YGL001C
OG0001496	snap_masked-LGST01000020.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.54&CDS=1-3339	YAR002W
OG0001497	augustus_masked-LGST01000020.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-0.83&CDS=1-5301	YEL052W
OG0001498	snap_masked-LGST01000020.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.58&CDS=1-4143	YPR189W
OG0001499	snap_masked-LGST01000020.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.33&CDS=1-1794	YPR190C
OG0001500	snap_masked-LGST01000020.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.38&CDS=1-1401	YNR052C
OG0001501	maker-LGST01000020.1-snap-gene-0.91-mRNA-1_1&gene=maker-LGST01000020.1-snap-gene-0.91&CDS=1-1641	YNR053C
OG0001502	snap_masked-LGST01000020.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.42&CDS=1-1758	YLR023C
OG0001503	snap_masked-LGST01000020.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.43&CDS=1-1698	YDR536W
OG0001504	snap_masked-LGST01000020.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.46&CDS=1-522	YDR246W
OG0001505	snap_masked-LGST01000020.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.48&CDS=1-951	YOR239W
OG0001506	genemark-LGST01000020.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LGST01000020.1-processed-gene-0.28&CDS=1-696	YPL149W
OG0001507	snap_masked-LGST01000020.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.61&CDS=1-729	YNL200C
OG0001508	snap_masked-LGST01000020.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.50&CDS=1-1722	YDL225W
OG0001509	snap_masked-LGST01000020.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.51&CDS=1-2601	YLR347C
OG0001510	augustus_masked-LGST01000020.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-0.80&CDS=1-690	YGR036C
OG0001511	snap_masked-LGST01000020.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-0.62&CDS=1-1221	YDL226C
OG0001512	snap_masked-LGST01000020.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.46&CDS=1-1047	YJL180C
OG0001513	snap_masked-LGST01000020.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.42&CDS=1-360	YJL179W
OG0001514	snap_masked-LGST01000020.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.47&CDS=1-321	YJL184W
OG0001515	snap_masked-LGST01000020.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.48&CDS=1-1611	YLR345W
OG0001516	snap_masked-LGST01000020.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.43&CDS=1-762	YGR033C
OG0001517	snap_masked-LGST01000020.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.64&CDS=1-552	YMR138W
OG0001518	snap_masked-LGST01000020.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.51&CDS=1-2016	YMR137C
OG0001519	snap_masked-LGST01000020.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.52&CDS=1-990	YOL107W
OG0001520	augustus_masked-LGST01000020.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-1.98&CDS=1-1296	YJL183W
OG0001521	snap_masked-LGST01000020.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.65&CDS=1-5664	YGR032W
OG0001522	snap_masked-LGST01000020.1-processed-gene-1.66-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.66&CDS=1-1833	YGR054W
OG0001523	snap_masked-LGST01000020.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.54&CDS=1-255	YNL138W-A
OG0001524	maker-LGST01000020.1-snap-gene-1.88-mRNA-1_1&gene=maker-LGST01000020.1-snap-gene-1.88&CDS=1-1611	YCL029C
OG0001525	augustus_masked-LGST01000020.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-1.113&CDS=1-3522	YIL115C
OG0001526	snap_masked-LGST01000020.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.71&CDS=1-666	YLR051C
OG0001527	snap_masked-LGST01000020.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.73&CDS=1-1488	YFL022C
OG0001528	snap_masked-LGST01000020.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.75&CDS=1-1461	YFL018C
OG0001529	snap_masked-LGST01000020.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.77&CDS=1-999	YPL227C
OG0001530	snap_masked-LGST01000020.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.78&CDS=1-1581	YPL228W
OG0001531	augustus_masked-LGST01000020.1-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-1.122&CDS=1-4032	YCL055W
OG0001532	snap_masked-LGST01000020.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.82&CDS=1-246	YCL057C-A
OG0001533	snap_masked-LGST01000020.1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.83&CDS=1-1761	YOR329C
OG0001534	snap_masked-LGST01000020.1-processed-gene-1.61-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.61&CDS=1-1131	YLR105C
OG0001535	snap_masked-LGST01000020.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.62&CDS=1-375	YER159C
OG0001536	snap_masked-LGST01000020.1-processed-gene-2.59-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.59&CDS=1-2250	YDR109C
OG0001537	augustus_masked-LGST01000020.1-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-2.131&CDS=1-3375	YKR056W
OG0001538	snap_masked-LGST01000020.1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.64&CDS=1-1323	YBR162C
OG0001539	snap_masked-LGST01000020.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.65&CDS=1-1638	YNL249C
OG0001540	snap_masked-LGST01000020.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.67&CDS=1-678	YOR332W
OG0001541	augustus_masked-LGST01000020.1-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-2.136&CDS=1-1353	YOR334W
OG0001542	snap_masked-LGST01000020.1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.96&CDS=1-894	YOR340C
OG0001543	augustus_masked-LGST01000020.1-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-2.162&CDS=1-2481	YAL031C
OG0001544	snap_masked-LGST01000020.1-processed-gene-2.69-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.69&CDS=1-900	YAL034W-A
OG0001545	snap_masked-LGST01000020.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.71&CDS=1-1137	YNR015W
OG0001546	snap_masked-LGST01000020.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.100&CDS=1-657	YNR017W
OG0001547	snap_masked-LGST01000020.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.72&CDS=1-6633	YNR016C
OG0001548	snap_masked-LGST01000020.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.74&CDS=1-849	YCR059C
OG0001549	snap_masked-LGST01000020.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.75&CDS=1-2730	YCR057C
OG0001550	snap_masked-LGST01000020.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.76&CDS=1-2469	YFR015C
OG0001551	snap_masked-LGST01000020.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.106&CDS=1-1104	YBL086C
OG0001552	snap_masked-LGST01000020.1-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.107&CDS=1-621	YHR122W
OG0001553	snap_masked-LGST01000020.1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.108&CDS=1-333	YNL135C
OG0001554	augustus_masked-LGST01000020.1-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-2.150&CDS=1-1071	YNL128W
OG0001555	augustus_masked-LGST01000020.1-processed-gene-2.174-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-2.174&CDS=1-681	YHR121W
OG0001556	maker-LGST01000020.1-augustus-gene-2.126-mRNA-1_1&gene=maker-LGST01000020.1-augustus-gene-2.126&CDS=1-2907	YNL127W
OG0001557	snap_masked-LGST01000020.1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.112&CDS=1-864	YDR405W
OG0001558	snap_masked-LGST01000020.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.88&CDS=1-3705	YOR151C
OG0001559	snap_masked-LGST01000020.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.113&CDS=1-522	YOR150W
OG0001560	snap_masked-LGST01000020.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.89&CDS=1-519	YDR404C
OG0001561	snap_masked-LGST01000020.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-2.115&CDS=1-1869	YDR341C
OG0001562	snap_masked-LGST01000021.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.76&CDS=1-1341	YDR375C
OG0001563	augustus_masked-LGST01000021.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-0.1&CDS=1-3840	YOR124C
OG0001564	snap_masked-LGST01000021.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.48&CDS=1-3036	YCR011C
OG0001565	snap_masked-LGST01000021.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.77&CDS=1-1131	YDR346C
OG0001566	snap_masked-LGST01000021.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.52&CDS=1-2490	YOR141C
OG0001567	snap_masked-LGST01000021.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.53&CDS=1-972	YOR142W
OG0001568	snap_masked-LGST01000021.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.54&CDS=1-513	YHR059W
OG0001569	snap_masked-LGST01000021.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.55&CDS=1-651	YDR304C
OG0001570	snap_masked-LGST01000021.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.78&CDS=1-849	YHR058C
OG0001571	snap_masked-LGST01000021.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.79&CDS=1-543	YDR305C
OG0001572	snap_masked-LGST01000021.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.81&CDS=1-939	YER187W
OG0001573	snap_masked-LGST01000021.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.56&CDS=1-2346	YBR080C
OG0001574	snap_masked-LGST01000021.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.59&CDS=1-1467	YMR114C
OG0001575	snap_masked-LGST01000021.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.60&CDS=1-942	YDR175C
OG0001576	snap_masked-LGST01000021.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.61&CDS=1-1884	YDR176W
OG0001577	snap_masked-LGST01000021.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.82&CDS=1-1419	YLR163C
OG0001578	snap_masked-LGST01000021.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.65&CDS=1-681	YDR183W
OG0001579	maker-LGST01000021.1-snap-gene-0.41-mRNA-1_1&gene=maker-LGST01000021.1-snap-gene-0.41&CDS=1-2610	YLR166C
OG0001580	snap_masked-LGST01000021.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.83&CDS=1-1416	YDR182W
OG0001581	augustus_masked-LGST01000021.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-0.20&CDS=1-783	YDR181C
OG0001582	augustus_masked-LGST01000021.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-0.35&CDS=1-4410	YDR180W
OG0001583	snap_masked-LGST01000021.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.85&CDS=1-1035	YLR246W
OG0001584	snap_masked-LGST01000021.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.70&CDS=1-906	YLR239C
OG0001585	snap_masked-LGST01000021.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.88&CDS=1-471	YDR201W
OG0001586	snap_masked-LGST01000021.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.72&CDS=1-951	YDR204W
OG0001587	snap_masked-LGST01000021.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.89&CDS=1-315	YDR357C
OG0001588	snap_masked-LGST01000021.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.77&CDS=1-6369	YDL171C
OG0001589	snap_masked-LGST01000021.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.75&CDS=1-1059	YCR035C
OG0001590	snap_masked-LGST01000021.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.78&CDS=1-3741	YJL197W
OG0001591	augustus_masked-LGST01000021.1-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-1.5&CDS=1-8877	YCR032W
OG0001592	snap_masked-LGST01000021.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.94&CDS=1-1512	YOL119C
OG0001593	snap_masked-LGST01000021.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.96&CDS=1-396	YCR031C
OG0001594	genemark-LGST01000021.1-processed-gene-1.42-mRNA-1_1&gene=genemark-LGST01000021.1-processed-gene-1.42&CDS=1-285	YJL189W
OG0001595	maker-LGST01000021.1-augustus-gene-1.2-mRNA-1_1&gene=maker-LGST01000021.1-augustus-gene-1.2&CDS=1-2403	YNL045W
OG0001596	snap_masked-LGST01000021.1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.81&CDS=1-1572	YBR007C
OG0001597	augustus_masked-LGST01000021.1-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-1.9&CDS=1-2184	YPR045C
OG0001598	snap_masked-LGST01000021.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.100&CDS=1-705	YJR099W
OG0001599	snap_masked-LGST01000021.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.85&CDS=1-2076	YDL167C
OG0001600	snap_masked-LGST01000021.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.86&CDS=1-714	YPR183W
OG0001601	snap_masked-LGST01000021.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.87&CDS=1-1764	YDR390C
OG0001602	snap_masked-LGST01000021.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.88&CDS=1-378	YOR122C
OG0001603	snap_masked-LGST01000021.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.106&CDS=1-1353	YGL181W
OG0001604	snap_masked-LGST01000021.1-processed-gene-1.108-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.108&CDS=1-408	YPR017C
OG0001605	snap_masked-LGST01000021.1-processed-gene-1.110-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.110&CDS=1-1944	YLR352W
OG0001606	maker-LGST01000021.1-augustus-gene-1.1-mRNA-1_1&gene=maker-LGST01000021.1-augustus-gene-1.1&CDS=1-6240	YML059C
OG0001607	snap_masked-LGST01000021.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.111&CDS=1-1698	YML061C
OG0001608	augustus_masked-LGST01000021.1-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-2.178&CDS=1-2490	YLR440C
OG0001609	snap_masked-LGST01000021.1-processed-gene-2.4-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.4&CDS=1-261	YLR438C-A
OG0001610	maker-LGST01000021.1-augustus-gene-2.248-mRNA-1_1&gene=maker-LGST01000021.1-augustus-gene-2.248&CDS=1-558	YLR439W
OG0001611	snap_masked-LGST01000021.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.6&CDS=1-966	YBR265W
OG0001612	snap_masked-LGST01000021.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.7&CDS=1-744	YJL063C
