	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0001583	augustus_masked-ari-_s255-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s255-processed-gene-0.10&CDS=1-1266	YBR195C
OG0001584	augustus_masked-ari-_s255-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s255-processed-gene-0.16&CDS=1-693	YPL078C
OG0001585	augustus_masked-ari-_s257-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.15&CDS=1-972	YGR163W
OG0001586	maker-ari-_s257-augustus-gene-0.23-mRNA-1_1&gene=maker-ari-_s257-augustus-gene-0.23&CDS=1-1662	YGR225W
OG0001587	augustus_masked-ari-_s257-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.12&CDS=1-1542	YGR227W
OG0001588	augustus_masked-ari-_s257-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.17&CDS=1-1227	YGR229C
OG0001589	augustus_masked-ari-_s257-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.14&CDS=1-504	YBL057C
OG0001590	augustus_masked-ari-_s257-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.20&CDS=1-1584	YBL054W
OG0001591	augustus_masked-ari-_s257-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s257-processed-gene-0.21&CDS=1-1560	YER090W
OG0001592	snap_masked-ari-_s258-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ari-_s258-processed-gene-0.3&CDS=1-1080	YCL016C
OG0001593	maker-ari-_s258-snap-gene-0.20-mRNA-1_1&gene=maker-ari-_s258-snap-gene-0.20&CDS=1-834	YNL003C
OG0001594	snap_masked-ari-_s258-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ari-_s258-processed-gene-0.5&CDS=1-1356	YCL017C
OG0001595	augustus_masked-ari-_s258-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.25&CDS=1-1110	YCL018W
OG0001596	augustus_masked-ari-_s258-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.31&CDS=1-4158	YCL014W
OG0001597	augustus_masked-ari-_s258-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.32&CDS=1-2250	YCL010C
OG0001598	snap_masked-ari-_s258-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ari-_s258-processed-gene-0.8&CDS=1-1632	YCL004W
OG0001599	augustus_masked-ari-_s258-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.28&CDS=1-2688	YOR211C
OG0001600	augustus_masked-ari-_s258-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.33&CDS=1-2421	YPL126W
OG0001601	augustus_masked-ari-_s258-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.29&CDS=1-216	YOR210W
OG0001602	augustus_masked-ari-_s261-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s261-processed-gene-0.14&CDS=1-3477	YLR067C
OG0001603	augustus_masked-ari-_s261-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s261-processed-gene-0.16&CDS=1-810	YGL161C
OG0001604	augustus_masked-ari-_s263-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.78&CDS=1-1905	YOR273C
OG0001605	augustus_masked-ari-_s263-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.79&CDS=1-2085	YBR019C
OG0001606	augustus_masked-ari-_s263-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.80&CDS=1-1140	YBR018C
OG0001607	genemark-ari-_s263-processed-gene-0.65-mRNA-1_1&gene=genemark-ari-_s263-processed-gene-0.65&CDS=1-4659	YKL215C
OG0001608	augustus_masked-ari-_s263-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.81&CDS=1-1443	YCR054C
OG0001609	augustus_masked-ari-_s263-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.97&CDS=1-1536	YCR053W
OG0001610	augustus_masked-ari-_s263-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.82&CDS=1-1152	YGR046W
OG0001611	augustus_masked-ari-_s263-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.83&CDS=1-459	YMR263W
OG0001612	augustus_masked-ari-_s263-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.84&CDS=1-2418	YML102W
OG0001613	augustus_masked-ari-_s263-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.99&CDS=1-627	YMR264W
OG0001614	augustus_masked-ari-_s263-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.85&CDS=1-1518	YKL103C
OG0001615	augustus_masked-ari-_s263-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.103&CDS=1-1353	YGR009C
OG0001616	maker-ari-_s263-augustus-gene-0.2-mRNA-1_1&gene=maker-ari-_s263-augustus-gene-0.2&CDS=1-657	YDL208W
OG0001617	augustus_masked-ari-_s263-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-ari-_s263-processed-gene-0.105&CDS=1-2835	YDR238C
OG0001618	augustus_masked-ari-_s264-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s264-processed-gene-0.9&CDS=1-4221	YML059C
OG0001619	snap_masked-ari-_s264-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ari-_s264-processed-gene-0.18&CDS=1-2478	YLR440C
OG0001620	augustus_masked-ari-_s264-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s264-processed-gene-0.15&CDS=1-261	YLR438C-A
OG0001621	augustus_masked-ari-_s264-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s264-processed-gene-0.12&CDS=1-873	YLR439W
OG0001622	augustus_masked-ari-_s264-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s264-processed-gene-0.16&CDS=1-1092	YBR265W
OG0001623	augustus_masked-ari-_s266-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s266-processed-gene-0.3&CDS=1-2178	YML097C
OG0001624	augustus_masked-ari-_s266-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s266-processed-gene-0.4&CDS=1-4902	YCR042C
OG0001625	augustus_masked-ari-_s266-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s266-processed-gene-0.1&CDS=1-3240	YBL076C
OG0001626	augustus_masked-ari-_s268-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.34&CDS=1-705	YOR095C
OG0001627	augustus_masked-ari-_s268-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.35&CDS=1-1812	YHR114W
OG0001628	augustus_masked-ari-_s268-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.25&CDS=1-2007	YNL094W
OG0001629	augustus_masked-ari-_s268-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.36&CDS=1-1071	YOR091W
OG0001630	augustus_masked-ari-_s268-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.37&CDS=1-8244	YIL129C
OG0001631	augustus_masked-ari-_s268-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.26&CDS=1-3213	YIL128W
OG0001632	augustus_masked-ari-_s268-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.40&CDS=1-3369	YGL006W
OG0001633	augustus_masked-ari-_s268-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.28&CDS=1-1176	YAL012W
OG0001634	maker-ari-_s268-augustus-gene-0.44-mRNA-1_1&gene=maker-ari-_s268-augustus-gene-0.44&CDS=1-2550	YOR065W
OG0001635	augustus_masked-ari-_s268-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.41&CDS=1-372	YKL086W
OG0001636	augustus_masked-ari-_s268-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.33&CDS=1-2148	YLR117C
OG0001637	augustus_masked-ari-_s270-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s270-processed-gene-0.6&CDS=1-1767	YDR266C
OG0001638	augustus_masked-ari-_s270-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s270-processed-gene-0.10&CDS=1-1278	YLR203C
OG0001639	augustus_masked-ari-_s270-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s270-processed-gene-0.11&CDS=1-1758	YDR057W
OG0001640	augustus_masked-ari-_s272-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.17&CDS=1-681	YPL199C
OG0001641	augustus_masked-ari-_s272-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.23&CDS=1-642	YML001W
OG0001642	augustus_masked-ari-_s272-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.19&CDS=1-1269	YBR279W
OG0001643	augustus_masked-ari-_s272-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.25&CDS=1-1335	YHR190W
OG0001644	augustus_masked-ari-_s272-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.26&CDS=1-978	YML121W
OG0001645	augustus_masked-ari-_s272-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.20&CDS=1-1371	YAL067C
OG0001646	augustus_masked-ari-_s272-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.27&CDS=1-573	YPL178W
OG0001647	augustus_masked-ari-_s272-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.22&CDS=1-2511	YGL083W
OG0001648	augustus_masked-ari-_s272-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.28&CDS=1-1887	YKL148C
OG0001649	augustus_masked-ari-_s272-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.29&CDS=1-921	YEL051W
OG0001650	snap_masked-ari-_s272-processed-gene-0.49-mRNA-1_1&gene=snap_masked-ari-_s272-processed-gene-0.49&CDS=1-387	YNR046W
OG0001651	augustus_masked-ari-_s273-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s273-processed-gene-0.18&CDS=1-2061	YKR099W
OG0001652	augustus_masked-ari-_s273-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s273-processed-gene-0.19&CDS=1-945	YKR080W
OG0001653	augustus_masked-ari-_s273-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s273-processed-gene-0.20&CDS=1-1908	YOR070C
OG0001654	augustus_masked-ari-_s273-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s273-processed-gene-0.21&CDS=1-1635	YHR064C
OG0001655	augustus_masked-ari-_s273-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s273-processed-gene-0.16&CDS=1-1290	YGL111W
OG0001656	augustus_masked-ari-_s277-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.60&CDS=1-4638	YKL014C
OG0001657	augustus_masked-ari-_s277-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.62&CDS=1-2238	YKL017C
OG0001658	augustus_masked-ari-_s277-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.64&CDS=1-2943	YKL015W
OG0001659	augustus_masked-ari-_s277-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.87&CDS=1-990	YPR004C
OG0001660	augustus_masked-ari-_s277-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.66&CDS=1-1167	YEL056W
OG0001661	augustus_masked-ari-_s277-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.67&CDS=1-690	YDR071C
OG0001662	augustus_masked-ari-_s277-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.68&CDS=1-966	YHR083W
OG0001663	maker-ari-_s277-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s277-augustus-gene-0.0&CDS=1-2763	YER136W
OG0001664	augustus_masked-ari-_s277-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.89&CDS=1-1197	YER143W
OG0001665	snap_masked-ari-_s277-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ari-_s277-processed-gene-0.36&CDS=1-294	YER146W
OG0001666	genemark-ari-_s277-processed-gene-0.140-mRNA-1_1&gene=genemark-ari-_s277-processed-gene-0.140&CDS=1-1698	YLR006C
OG0001667	maker-ari-_s277-snap-gene-0.57-mRNA-1_1&gene=maker-ari-_s277-snap-gene-0.57&CDS=1-879	YDR068W
OG0001668	augustus_masked-ari-_s277-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.70&CDS=1-1575	YDR061W
OG0001669	augustus_masked-ari-_s277-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.71&CDS=1-1665	YDR062W
OG0001670	genemark-ari-_s277-processed-gene-0.120-mRNA-1_1&gene=genemark-ari-_s277-processed-gene-0.120&CDS=1-996	YNL011C
OG0001671	augustus_masked-ari-_s277-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.93&CDS=1-921	YKR026C
OG0001672	augustus_masked-ari-_s277-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.72&CDS=1-951	YMR116C
OG0001673	augustus_masked-ari-_s277-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.73&CDS=1-360	YMR112C
OG0001674	augustus_masked-ari-_s277-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.95&CDS=1-660	YDR013W
OG0001675	augustus_masked-ari-_s277-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.74&CDS=1-1050	YOL009C
OG0001676	augustus_masked-ari-_s277-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.97&CDS=1-3627	YKL197C
OG0001677	genemark-ari-_s277-processed-gene-0.124-mRNA-1_1&gene=genemark-ari-_s277-processed-gene-0.124&CDS=1-1767	YJR072C
OG0001678	augustus_masked-ari-_s277-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.76&CDS=1-870	YJR116W
OG0001679	augustus_masked-ari-_s277-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.78&CDS=1-1440	YER021W
OG0001680	augustus_masked-ari-_s277-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.79&CDS=1-1719	YER022W
OG0001681	augustus_masked-ari-_s277-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.101&CDS=1-501	YJR118C
OG0001682	augustus_masked-ari-_s277-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.81&CDS=1-780	YMR149W
OG0001683	augustus_masked-ari-_s277-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.102&CDS=1-582	YMR150C
OG0001684	augustus_masked-ari-_s277-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.82&CDS=1-1647	YOR037W
OG0001685	augustus_masked-ari-_s277-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.83&CDS=1-3330	YKL033W
OG0001686	augustus_masked-ari-_s277-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.105&CDS=1-492	YBR282W
OG0001687	augustus_masked-ari-_s278-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s278-processed-gene-0.4&CDS=1-1413	YMR283C
OG0001688	genemark-ari-_s278-processed-gene-0.13-mRNA-1_1&gene=genemark-ari-_s278-processed-gene-0.13&CDS=1-1077	YOL065C
OG0001689	augustus_masked-ari-_s278-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s278-processed-gene-0.7&CDS=1-1515	YDL030W
OG0001690	augustus_masked-ari-_s279-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s279-processed-gene-0.2&CDS=1-11466	YHR099W
OG0001691	snap_masked-ari-_s279-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ari-_s279-processed-gene-0.18&CDS=1-702	YBR040W
OG0001692	augustus_masked-ari-_s279-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s279-processed-gene-0.4&CDS=1-1236	YBR042C
OG0001693	augustus_masked-ari-_s279-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s279-processed-gene-0.0&CDS=1-1935	YBR043C
OG0001694	augustus_masked-ari-_s279-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s279-processed-gene-0.5&CDS=1-2274	YBR102C
OG0001695	augustus_masked-ari-_s279-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s279-processed-gene-0.1&CDS=1-1638	YBR103W
OG0001696	snap_masked-ari-_s279-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ari-_s279-processed-gene-0.21&CDS=1-333	YPR063C
OG0001697	augustus_masked-ari-_s281-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s281-processed-gene-0.1&CDS=1-4131	YJR033C
OG0001698	maker-ari-_s281-snap-gene-0.16-mRNA-1_1&gene=maker-ari-_s281-snap-gene-0.16&CDS=1-1017	YJR062C
OG0001699	augustus_masked-ari-_s283-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.70&CDS=1-1452	YGL055W
OG0001700	augustus_masked-ari-_s283-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.61&CDS=1-1335	YPL247C
OG0001701	augustus_masked-ari-_s283-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.63&CDS=1-429	YNL185C
OG0001702	augustus_masked-ari-_s283-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.65&CDS=1-651	YJL001W
OG0001703	augustus_masked-ari-_s283-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.71&CDS=1-855	YGR205W
OG0001704	maker-ari-_s283-augustus-gene-0.1-mRNA-1_1&gene=maker-ari-_s283-augustus-gene-0.1&CDS=1-3612	YGR207C
OG0001705	augustus_masked-ari-_s283-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.66&CDS=1-1029	YOR292C
OG0001706	augustus_masked-ari-_s283-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.67&CDS=1-816	YLR201C
OG0001707	augustus_masked-ari-_s283-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.75&CDS=1-348	YLR200W
OG0001708	augustus_masked-ari-_s283-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.77&CDS=1-519	YLR193C
OG0001709	maker-ari-_s284-snap-gene-0.14-mRNA-1_1&gene=maker-ari-_s284-snap-gene-0.14&CDS=1-750	YML092C
OG0001710	augustus_masked-ari-_s284-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s284-processed-gene-0.2&CDS=1-2724	YML093W
OG0001711	augustus_masked-ari-_s284-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s284-processed-gene-0.3&CDS=1-1671	YML086C
OG0001712	augustus_masked-ari-_s285-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s285-processed-gene-0.7&CDS=1-2190	YDL164C
OG0001713	augustus_masked-ari-_s285-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s285-processed-gene-0.6&CDS=1-1356	YMR033W
OG0001714	maker-ari-_s286-snap-gene-0.9-mRNA-1_1&gene=maker-ari-_s286-snap-gene-0.9&CDS=1-1599	YKL185W
OG0001715	snap_masked-ari-_s286-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ari-_s286-processed-gene-0.6&CDS=1-543	YKL186C
OG0001716	snap_masked-ari-_s286-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ari-_s286-processed-gene-0.8&CDS=1-1842	YHR202W
OG0001717	augustus_masked-ari-_s288-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.50&CDS=1-267	YDR510W
OG0001718	snap_masked-ari-_s288-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ari-_s288-processed-gene-0.3&CDS=1-2148	YNL279W
OG0001719	augustus_masked-ari-_s288-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.51&CDS=1-2199	YNL218W
OG0001720	augustus_masked-ari-_s288-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.42&CDS=1-1110	YML060W
OG0001721	augustus_masked-ari-_s288-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.45&CDS=1-798	YLR186W
OG0001722	augustus_masked-ari-_s288-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.46&CDS=1-1224	YPR025C
OG0001723	augustus_masked-ari-_s288-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.48&CDS=1-2340	YER055C
OG0001724	augustus_masked-ari-_s29-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s29-processed-gene-0.12&CDS=1-1650	YDR188W
OG0001725	augustus_masked-ari-_s29-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s29-processed-gene-0.14&CDS=1-1911	YDR189W
OG0001726	augustus_masked-ari-_s29-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s29-processed-gene-0.17&CDS=1-1368	YDR190C
OG0001727	genemark-ari-_s290-processed-gene-0.1-mRNA-1_1&gene=genemark-ari-_s290-processed-gene-0.1&CDS=1-4542	YLR419W
OG0001728	snap_masked-ari-_s293-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ari-_s293-processed-gene-0.11&CDS=1-2124	YBR289W
OG0001729	augustus_masked-ari-_s297-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.2&CDS=1-795	YOL067C
OG0001730	augustus_masked-ari-_s297-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.23&CDS=1-1512	YDL045C
OG0001731	augustus_masked-ari-_s297-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.3&CDS=1-2208	YLR182W
OG0001732	augustus_masked-ari-_s297-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.24&CDS=1-573	YDR373W
OG0001733	augustus_masked-ari-_s297-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.4&CDS=1-417	YOL071W
OG0001734	augustus_masked-ari-_s297-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.5&CDS=1-1107	YLR181C
OG0001735	augustus_masked-ari-_s297-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.25&CDS=1-816	YDR088C
OG0001736	augustus_masked-ari-_s297-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.26&CDS=1-891	YDR087C
OG0001737	maker-ari-_s297-snap-gene-0.159-mRNA-1_1&gene=maker-ari-_s297-snap-gene-0.159&CDS=1-201	YDR086C
OG0001738	snap_masked-ari-_s297-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ari-_s297-processed-gene-0.108&CDS=1-1143	YBR234C
OG0001739	augustus_masked-ari-_s297-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.9&CDS=1-1659	YBR196C
OG0001740	augustus_masked-ari-_s297-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.10&CDS=1-492	YML108W
OG0001741	augustus_masked-ari-_s297-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.11&CDS=1-465	YIL062C
OG0001742	augustus_masked-ari-_s297-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.12&CDS=1-954	YHR104W
OG0001743	augustus_masked-ari-_s297-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.13&CDS=1-1956	YFL027C
OG0001744	augustus_masked-ari-_s297-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.33&CDS=1-1890	YLR055C
OG0001745	augustus_masked-ari-_s297-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.34&CDS=1-456	YKL067W
OG0001746	maker-ari-_s297-augustus-gene-0.164-mRNA-1_1&gene=maker-ari-_s297-augustus-gene-0.164&CDS=1-3867	YFL028C
OG0001747	augustus_masked-ari-_s297-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.36&CDS=1-1803	YCR061W
OG0001748	genemark-ari-_s297-processed-gene-0.89-mRNA-1_1&gene=genemark-ari-_s297-processed-gene-0.89&CDS=1-2805	YNL161W
OG0001749	augustus_masked-ari-_s297-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.15&CDS=1-1476	YDR470C
OG0001750	augustus_masked-ari-_s297-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.16&CDS=1-1599	YOR132W
OG0001751	augustus_masked-ari-_s297-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.38&CDS=1-675	YHR008C
OG0001752	augustus_masked-ari-_s297-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.39&CDS=1-597	YKR035W-A
OG0001753	augustus_masked-ari-_s297-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.18&CDS=1-2316	YKL134C
OG0001754	augustus_masked-ari-_s297-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.19&CDS=1-1353	YHR011W
OG0001755	augustus_masked-ari-_s297-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.45&CDS=1-1518	YBR288C
OG0001756	augustus_masked-ari-_s297-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.20&CDS=1-1302	YGR110W
OG0001757	augustus_masked-ari-_s297-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-ari-_s297-processed-gene-0.47&CDS=1-2931	YPR066W
