	Candida_homilentoma	Saccharomyces_cerevisiae
OG0001253	-processed-gene-2.88-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.88&CDS=1-3174	YMR288W
OG0001254	-processed-gene-2.89-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.89&CDS=1-864	YHR187W
OG0001255	-processed-gene-2.108-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.108&CDS=1-528	YLR221C
OG0001256	-processed-gene-2.90-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.90&CDS=1-4647	YLR425W
OG0001257	-processed-gene-2.92-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.92&CDS=1-522	YKL190W
OG0001258	-processed-gene-2.110-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.110&CDS=1-5913	YLR430W
OG0001259	-processed-gene-2.112-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.112&CDS=1-1062	YML067C
OG0001260	-processed-gene-2.94-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.94&CDS=1-1437	YML068W
OG0001261	-processed-gene-2.96-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.96&CDS=1-2157	YKL188C
OG0001262	-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.56&CDS=1-681	YHR189W
OG0001263	-processed-gene-2.102-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.102&CDS=1-1566	YNR012W
OG0001264	-processed-gene-2.119-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.119&CDS=1-1581	YLR089C
OG0001265	-processed-gene-2.120-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.120&CDS=1-1767	YLR088W
OG0001266	-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.63&CDS=1-825	YDR116C
OG0001267	-processed-gene-2.124-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.124&CDS=1-1761	YDR117C
OG0001268	-processed-gene-2.105-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.105&CDS=1-1599	YDR434W
OG0001269	-processed-gene-2.106-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.106&CDS=1-966	YJL208C
OG0001270	-processed-gene-2.107-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.107&CDS=1-6162	YKL182W
OG0001271	-processed-gene-3.40-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.40&CDS=1-3609	YLR410W
OG0001272	-processed-gene-3.41-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.41&CDS=1-1260	YKL181W
OG0001273	-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.79&CDS=1-744	YLR412W
OG0001274	-processed-gene-3.42-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.42&CDS=1-1740	YHR206W
OG0001275	-processed-gene-3.44-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.44&CDS=1-2802	YBR229C
OG0001276	-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.85&CDS=1-2139	YDL074C
OG0001277	-processed-gene-3.46-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.46&CDS=1-1905	YLR399C
OG0001278	-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.87&CDS=1-1098	YLR405W
OG0001279	-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.102&CDS=1-4290	YLR086W
OG0001280	-processed-gene-3.65-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.65&CDS=1-576	YDR156W
OG0001281	-processed-gene-3.47-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.47&CDS=1-327	YDR115W
OG0001282	-processed-gene-3.66-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.66&CDS=1-9147	YLR087C
OG0001283	-processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.11&CDS=1-924	YLL050C
OG0001284	-snap-gene-3.117-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-3.117&CDS=1-2142	YIR029W
OG0001285	-snap-gene-3.118-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-3.118&CDS=1-189	YML081C-A
OG0001286	-processed-gene-3.53-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.53&CDS=1-486	YML077W
OG0001287	-processed-gene-3.55-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.55&CDS=1-1404	YPL254W
OG0001288	-processed-gene-3.72-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.72&CDS=1-501	YPL252C
OG0001289	-snap-gene-3.119-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-3.119&CDS=1-654	YMR197C
OG0001290	-processed-gene-3.74-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.74&CDS=1-3153	YMR196W
OG0001291	-processed-gene-3.56-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.56&CDS=1-1344	YLR403W
OG0001292	-processed-gene-3.58-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.58&CDS=1-1707	YLR133W
OG0001293	-processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.59&CDS=1-1131	YDR142C
OG0001294	-processed-gene-3.60-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.60&CDS=1-2580	YLL032C
OG0001295	-processed-gene-4.103-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.103&CDS=1-459	YFR033C
OG0001296	-augustus-gene-4.151-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-4.151&CDS=1-6510	YLL048C
OG0001297	-processed-gene-4.127-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.127&CDS=1-1824	YMR166C
OG0001298	-processed-gene-4.108-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.108&CDS=1-1320	YDL104C
OG0001299	-processed-gene-4.128-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.128&CDS=1-1140	YDL105W
OG0001300	-processed-gene-4.109-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.109&CDS=1-2172	YMR167W
OG0001301	-processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.110&CDS=1-2838	YGR198W
OG0001302	-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.60&CDS=1-597	YJR014W
OG0001303	-processed-gene-4.133-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.133&CDS=1-3099	YGL141W
OG0001304	-processed-gene-4.111-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.111&CDS=1-426	YPL108W
OG0001305	-processed-gene-4.135-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.135&CDS=1-426	YBR167C
OG0001306	-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.83&CDS=1-603	YLR009W
OG0001307	-processed-gene-4.112-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.112&CDS=1-510	YLR008C
OG0001308	-processed-gene-4.138-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.138&CDS=1-450	YGR203W
OG0001309	-processed-gene-4.114-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.114&CDS=1-1356	YGR202C
OG0001310	-processed-gene-4.115-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.115&CDS=1-1248	YLL006W
OG0001311	-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.86&CDS=1-780	YGR262C
OG0001312	-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.88&CDS=1-1038	YGR062C
OG0001313	-processed-gene-4.119-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.119&CDS=1-336	YGR063C
OG0001314	-processed-gene-4.140-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.140&CDS=1-4011	YGR270W
OG0001315	-processed-gene-4.141-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.141&CDS=1-1596	YGR171C
OG0001316	-processed-gene-4.142-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.142&CDS=1-783	YGR172C
OG0001317	-processed-gene-4.120-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.120&CDS=1-1935	YEL062W
OG0001318	-processed-gene-4.121-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.121&CDS=1-396	YOL012C
OG0001319	-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.93&CDS=1-780	YOR278W
OG0001320	-processed-gene-4.124-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.124&CDS=1-657	YIL010W
OG0001321	-processed-gene-4.146-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.146&CDS=1-1485	YIL039W
OG0001322	-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.97&CDS=1-618	YDR298C
OG0001323	-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.74&CDS=1-1119	YEL050C
OG0001324	-augustus-gene-4.153-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-4.153&CDS=1-3396	YKR079C
OG0001325	-processed-gene-5.48-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.48&CDS=1-2973	YOR081C
OG0001326	-processed-gene-5.51-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.51&CDS=1-891	YOR079C
OG0001327	-processed-gene-5.49-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.49&CDS=1-2238	YOR080W
OG0001328	-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.99&CDS=1-696	YOR078W
OG0001329	-processed-gene-5.54-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.54&CDS=1-639	YOL102C
OG0001330	-processed-gene-5.55-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.55&CDS=1-357	YDR493W
OG0001331	-processed-gene-5.56-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.56&CDS=1-2316	YGR128C
OG0001332	-processed-gene-5.32-mRNA-1_1&gene=genemark-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.32&CDS=1-1008	YOL127W
OG0001333	-processed-gene-5.57-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.57&CDS=1-1116	YNL307C
OG0001334	-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.130&CDS=1-534	YOL129W
OG0001335	-processed-gene-5.59-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.59&CDS=1-1095	YDR318W
OG0001336	-processed-gene-5.85-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.85&CDS=1-5007	YGL206C
OG0001337	-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.134&CDS=1-999	YKL098W
OG0001338	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.109&CDS=1-2658	YKR090W
OG0001339	-processed-gene-5.87-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.87&CDS=1-1098	YKR088C
OG0001340	-processed-gene-5.64-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.64&CDS=1-867	YJL068C
OG0001341	-processed-gene-5.88-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.88&CDS=1-1038	YLR287C
OG0001342	-processed-gene-5.65-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.65&CDS=1-4956	YML059C
OG0001343	-processed-gene-5.67-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.67&CDS=1-2517	YLR440C
OG0001344	-processed-gene-5.90-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.90&CDS=1-264	YLR438C-A
OG0001345	-processed-gene-5.69-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.69&CDS=1-882	YLR439W
OG0001346	-processed-gene-5.91-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.91&CDS=1-1005	YBR265W
OG0001347	-augustus-gene-5.146-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-5.146&CDS=1-939	YLR262C-A
OG0001348	-processed-gene-5.71-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.71&CDS=1-1449	YOR181W
OG0001349	-processed-gene-5.72-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.72&CDS=1-1920	YLR352W
OG0001350	-processed-gene-5.74-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.74&CDS=1-414	YPR017C
OG0001351	-processed-gene-5.76-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.76&CDS=1-1455	YGL181W
OG0001352	-processed-gene-5.78-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.78&CDS=1-735	YPR016C
OG0001353	-processed-gene-6.89-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.89&CDS=1-5757	YLR305C
OG0001354	-processed-gene-6.91-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.91&CDS=1-1323	YDR148C
OG0001355	-processed-gene-6.95-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.95&CDS=1-1131	YGL148W
OG0001356	-processed-gene-6.96-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.96&CDS=1-810	YKL154W
OG0001357	-processed-gene-6.116-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.116&CDS=1-606	YER128W
OG0001358	-processed-gene-6.117-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.117&CDS=1-1263	YLR027C
OG0001359	-processed-gene-6.118-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.118&CDS=1-600	YGL200C
OG0001360	-processed-gene-6.120-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.120&CDS=1-543	YMR295C
OG0001361	-processed-gene-6.100-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.100&CDS=1-1491	YMR093W
OG0001362	-processed-gene-6.124-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.124&CDS=1-1167	YOR063W
OG0001363	-processed-gene-6.101-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.101&CDS=1-1323	YNL280C
OG0001364	-processed-gene-6.126-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.126&CDS=1-801	YGR106C
OG0001365	-processed-gene-6.102-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.102&CDS=1-237	YGR105W
OG0001366	-processed-gene-6.103-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.103&CDS=1-966	YGR104C
OG0001367	-processed-gene-6.128-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.128&CDS=1-1758	YGR103W
OG0001368	-processed-gene-6.105-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.105&CDS=1-1263	YPR140W
OG0001369	-processed-gene-6.129-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.129&CDS=1-1998	YPR141C
OG0001370	-processed-gene-6.109-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.109&CDS=1-6648	YNR016C
OG0001371	-processed-gene-6.110-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.110&CDS=1-1155	YCR045C
OG0001372	-snap-gene-6.134-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-6.134&CDS=1-873	YCR059C
OG0001373	-processed-gene-6.113-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.113&CDS=1-2889	YCR057C
OG0001374	-processed-gene-7.108-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.108&CDS=1-1416	YBL086C
OG0001375	-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.57&CDS=1-603	YHR122W
OG0001376	-processed-gene-7.136-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.136&CDS=1-336	YNL135C
OG0001377	-processed-gene-7.111-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.111&CDS=1-987	YNL128W
OG0001378	-processed-gene-7.112-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.112&CDS=1-2733	YNL127W
OG0001379	-processed-gene-7.113-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.113&CDS=1-438	YNL131W
OG0001380	-processed-gene-7.138-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.138&CDS=1-1206	YHR123W
OG0001381	-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.64&CDS=1-1899	YOR329C
OG0001382	-processed-gene-7.118-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.118&CDS=1-2361	YDL028C
OG0001383	-augustus-gene-7.163-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-7.163&CDS=1-2247	YDL029W
OG0001384	-processed-gene-7.119-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.119&CDS=1-480	YJL124C
OG0001385	-processed-gene-7.120-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.120&CDS=1-1203	YPR108W
OG0001386	-processed-gene-7.122-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.122&CDS=1-546	YEL012W
OG0001387	-processed-gene-7.145-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.145&CDS=1-1074	YCR019W
OG0001388	-processed-gene-7.147-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.147&CDS=1-1902	YNL124W
OG0001389	-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.74&CDS=1-1713	YEL063C
OG0001390	-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.94&CDS=1-1083	YNL136W
OG0001391	-snap-gene-7.156-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-7.156&CDS=1-2334	YNL137C
OG0001392	-processed-gene-7.148-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.148&CDS=1-1398	YNL062C
OG0001393	-processed-gene-7.128-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.128&CDS=1-1800	YNL061W
OG0001394	-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.96&CDS=1-2310	YNL059C
OG0001395	-processed-gene-7.129-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.129&CDS=1-1539	YNL138W
OG0001396	-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.97&CDS=1-909	YOL096C
OG0001397	-processed-gene-7.133-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.133&CDS=1-2355	YDR485C
OG0001398	-snap-gene-7.158-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-7.158&CDS=1-435	YNL281W
OG0001399	-processed-gene-7.151-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.151&CDS=1-1476	YHR048W
OG0001400	-processed-gene-7.152-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.152&CDS=1-1767	YLR276C
OG0001401	-processed-gene-7.153-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.153&CDS=1-1116	YLR244C
OG0001402	-snap-gene-7.159-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-7.159&CDS=1-441	YLR245C
OG0001403	-processed-gene-8.50-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.50&CDS=1-3141	YLR240W
OG0001404	-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.107&CDS=1-723	YDR196C
OG0001405	-processed-gene-8.51-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.51&CDS=1-1041	YHR063C
OG0001406	-processed-gene-8.71-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.71&CDS=1-1275	YDR198C
OG0001407	-processed-gene-8.52-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.52&CDS=1-1836	YLR234W
OG0001408	-processed-gene-8.72-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.72&CDS=1-1668	YML123C
OG0001409	-processed-gene-8.74-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.74&CDS=1-1623	YJL111W
OG0001410	-processed-gene-8.55-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.55&CDS=1-483	YBR122C
OG0001411	-processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.76&CDS=1-2379	YJL204C
OG0001412	-processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.78&CDS=1-2670	YNL267W
OG0001413	-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.98&CDS=1-1662	YKR002W
OG0001414	-processed-gene-8.80-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.80&CDS=1-1524	YHR024C
OG0001415	-processed-gene-8.81-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.81&CDS=1-1275	YDR465C
OG0001416	-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.100&CDS=1-3138	YHR007C
OG0001417	-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.101&CDS=1-3972	YHR025W
OG0001418	-processed-gene-8.64-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.64&CDS=1-342	YKL160W
OG0001419	-processed-gene-8.83-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.83&CDS=1-1647	YPR088C
OG0001420	-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.122&CDS=1-1896	YKL100C
OG0001421	-processed-gene-8.69-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.69&CDS=1-1050	YBL032W
