	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0001785	augustus_masked-scaffold_2-processed-gene-15.142-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.142&CDS=1-1074	YNL290W
OG0001786	augustus_masked-scaffold_2-processed-gene-15.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.124&CDS=1-1212	YDR004W
OG0001787	augustus_masked-scaffold_2-processed-gene-15.125-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.125&CDS=1-495	YOL071W
OG0001788	augustus_masked-scaffold_2-processed-gene-15.143-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.143&CDS=1-318	YOR020C
OG0001789	maker-scaffold_2-augustus-gene-15.99-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.99&CDS=1-675	YML012W
OG0001790	snap_masked-scaffold_2-processed-gene-15.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.43&CDS=1-1401	YNL062C
OG0001791	augustus_masked-scaffold_2-processed-gene-15.147-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.147&CDS=1-933	YOL077C
OG0001792	augustus_masked-scaffold_2-processed-gene-15.148-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.148&CDS=1-2919	YML020W
OG0001793	augustus_masked-scaffold_2-processed-gene-15.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.129&CDS=1-735	YDR449C
OG0001794	maker-scaffold_2-snap-gene-15.167-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.167&CDS=1-1341	YML085C
OG0001795	maker-scaffold_2-augustus-gene-15.110-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.110&CDS=1-903	YMR201C
OG0001796	augustus_masked-scaffold_2-processed-gene-15.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.130&CDS=1-1533	YGL073W
OG0001797	augustus_masked-scaffold_2-processed-gene-15.131-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.131&CDS=1-1113	YHR068W
OG0001798	maker-scaffold_2-augustus-gene-15.101-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.101&CDS=1-3651	YCR033W
OG0001799	maker-scaffold_2-augustus-gene-16.114-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.114&CDS=1-4080	YBL047C
OG0001800	augustus_masked-scaffold_2-processed-gene-16.4-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.4&CDS=1-1635	YAL067C
OG0001801	maker-scaffold_2-snap-gene-16.35-mRNA-1_1&gene=maker-scaffold_2-snap-gene-16.35&CDS=1-2259	YJR010W
OG0001802	augustus_masked-scaffold_2-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.7&CDS=1-843	YPR167C
OG0001803	maker-scaffold_2-augustus-gene-16.106-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.106&CDS=1-2445	YMR302C
OG0001804	maker-scaffold_2-augustus-gene-16.115-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.115&CDS=1-615	YOL111C
OG0001805	maker-scaffold_2-augustus-gene-16.107-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.107&CDS=1-963	YLL050C
OG0001806	augustus_masked-scaffold_2-processed-gene-16.11-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.11&CDS=1-1044	YGR048W
OG0001807	maker-scaffold_2-snap-gene-16.38-mRNA-1_1&gene=maker-scaffold_2-snap-gene-16.38&CDS=1-1764	YLR259C
OG0001808	maker-scaffold_2-augustus-gene-16.109-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.109&CDS=1-390	YOL012C
OG0001809	augustus_masked-scaffold_2-processed-gene-16.24-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.24&CDS=1-1365	YBR257W
OG0001810	augustus_masked-scaffold_2-processed-gene-16.25-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.25&CDS=1-1635	YIL099W
OG0001811	maker-scaffold_2-snap-gene-17.95-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.95&CDS=1-1419	YPL235W
OG0001812	maker-scaffold_2-augustus-gene-17.215-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.215&CDS=1-2118	YER169W
OG0001813	maker-scaffold_2-augustus-gene-17.218-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.218&CDS=1-3573	YBR295W
OG0001814	maker-scaffold_22-augustus-gene-0.31-mRNA-1_1&gene=maker-scaffold_22-augustus-gene-0.31&CDS=1-3330	YPR095C
OG0001815	snap_masked-scaffold_22-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scaffold_22-processed-gene-0.20&CDS=1-933	YGR033C
OG0001816	genemark-scaffold_22-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.9&CDS=1-513	YFL017C
OG0001817	augustus_masked-scaffold_22-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.47&CDS=1-2451	YLR424W
OG0001818	maker-scaffold_22-augustus-gene-0.30-mRNA-1_1&gene=maker-scaffold_22-augustus-gene-0.30&CDS=1-546	YOL146W
OG0001819	maker-scaffold_22-augustus-gene-0.35-mRNA-1_1&gene=maker-scaffold_22-augustus-gene-0.35&CDS=1-912	YOL073C
OG0001820	maker-scaffold_22-augustus-gene-0.36-mRNA-1_1&gene=maker-scaffold_22-augustus-gene-0.36&CDS=1-669	YHR008C
OG0001821	augustus_masked-scaffold_3-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.116&CDS=1-2493	YPR003C
OG0001822	augustus_masked-scaffold_3-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.103&CDS=1-573	YJR017C
OG0001823	maker-scaffold_3-snap-gene-1.92-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.92&CDS=1-288	YJR135W-A
OG0001824	augustus_masked-scaffold_3-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.118&CDS=1-3420	YOR144C
OG0001825	augustus_masked-scaffold_3-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.106&CDS=1-2451	YMR004W
OG0001826	maker-scaffold_3-augustus-gene-1.76-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-1.76&CDS=1-2268	YKL034W
OG0001827	augustus_masked-scaffold_3-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.110&CDS=1-2763	YHR178W
OG0001828	augustus_masked-scaffold_3-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.113&CDS=1-1872	YMR290C
OG0001829	maker-scaffold_3-augustus-gene-2.87-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.87&CDS=1-3849	YMR128W
OG0001830	maker-scaffold_3-augustus-gene-2.97-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.97&CDS=1-954	YPR025C
OG0001831	augustus_masked-scaffold_3-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.109&CDS=1-1110	YAL020C
OG0001832	augustus_masked-scaffold_3-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.110&CDS=1-1440	YLR019W
OG0001833	augustus_masked-scaffold_3-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.111&CDS=1-1758	YPL155C
OG0001834	maker-scaffold_3-augustus-gene-2.98-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.98&CDS=1-1257	YGR012W
OG0001835	maker-scaffold_3-augustus-gene-2.88-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.88&CDS=1-1794	YKL162C
OG0001836	maker-scaffold_3-augustus-gene-2.89-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.89&CDS=1-2991	YDR159W
OG0001837	maker-scaffold_3-augustus-gene-2.90-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.90&CDS=1-3270	YAL019W
OG0001838	maker-scaffold_3-augustus-gene-2.99-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.99&CDS=1-624	YDL208W
OG0001839	snap_masked-scaffold_3-processed-gene-2.56-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.56&CDS=1-1017	YIL034C
OG0001840	augustus_masked-scaffold_3-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.119&CDS=1-924	YGL043W
OG0001841	augustus_masked-scaffold_3-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.136&CDS=1-1578	YFR028C
OG0001842	augustus_masked-scaffold_3-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.123&CDS=1-1323	YER063W
OG0001843	augustus_masked-scaffold_3-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.139&CDS=1-1362	YHR207C
OG0001844	augustus_masked-scaffold_3-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.124&CDS=1-789	YGR207C
OG0001845	augustus_masked-scaffold_3-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.140&CDS=1-1161	YDL108W
OG0001846	augustus_masked-scaffold_3-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.125&CDS=1-1185	YNL175C
OG0001847	maker-scaffold_3-augustus-gene-2.103-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.103&CDS=1-5133	YKR031C
OG0001848	maker-scaffold_3-augustus-gene-3.162-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.162&CDS=1-873	YLR165C
OG0001849	augustus_masked-scaffold_3-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.30&CDS=1-1833	YBL020W
OG0001850	maker-scaffold_3-augustus-gene-3.150-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.150&CDS=1-1398	YDR105C
OG0001851	augustus_masked-scaffold_3-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.51&CDS=1-669	YBR213W
OG0001852	snap_masked-scaffold_3-processed-gene-3.135-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.135&CDS=1-333	YGL030W
OG0001853	snap_masked-scaffold_3-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.113&CDS=1-1008	YKL059C
OG0001854	maker-scaffold_3-augustus-gene-3.152-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.152&CDS=1-552	YLR009W
OG0001855	maker-scaffold_3-augustus-gene-3.169-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.169&CDS=1-4353	YDR301W
OG0001856	snap_masked-scaffold_3-processed-gene-3.139-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.139&CDS=1-1095	YGR277C
OG0001857	augustus_masked-scaffold_3-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.58&CDS=1-558	YOR367W
OG0001858	maker-scaffold_3-augustus-gene-3.154-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.154&CDS=1-807	YML114C
OG0001859	maker-scaffold_3-augustus-gene-3.156-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.156&CDS=1-681	YLR075W
OG0001860	augustus_masked-scaffold_3-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.59&CDS=1-708	YMR197C
OG0001861	maker-scaffold_3-augustus-gene-3.173-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.173&CDS=1-1833	YHL024W
OG0001862	maker-scaffold_3-augustus-gene-3.157-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.157&CDS=1-894	YAR015W
OG0001863	augustus_masked-scaffold_3-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.45&CDS=1-1362	YIL104C
OG0001864	maker-scaffold_3-augustus-gene-3.174-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.174&CDS=1-1407	YBR273C
OG0001865	maker-scaffold_3-snap-gene-3.9-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.9&CDS=1-1131	YGR112W
OG0001866	augustus_masked-scaffold_3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.48&CDS=1-1638	YKR090W
OG0001867	maker-scaffold_3-augustus-gene-4.13-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.13&CDS=1-1110	YPR140W
OG0001868	augustus_masked-scaffold_3-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.105&CDS=1-945	YPR139C
OG0001869	maker-scaffold_3-augustus-gene-4.14-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.14&CDS=1-2613	YPR141C
OG0001870	augustus_masked-scaffold_3-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.125&CDS=1-633	YDR454C
OG0001871	maker-scaffold_3-snap-gene-4.141-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.141&CDS=1-1143	YLR116W
OG0001872	augustus_masked-scaffold_3-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.128&CDS=1-936	YPL266W
OG0001873	augustus_masked-scaffold_3-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.112&CDS=1-2742	YBR055C
OG0001874	snap_masked-scaffold_3-processed-gene-4.54-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.54&CDS=1-2010	YHR171W
OG0001875	augustus_masked-scaffold_3-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.113&CDS=1-2160	YJL057C
OG0001876	snap_masked-scaffold_3-processed-gene-4.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.37&CDS=1-1536	YOR241W
OG0001877	snap_masked-scaffold_3-processed-gene-4.56-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.56&CDS=1-729	YBR261C
OG0001878	snap_masked-scaffold_3-processed-gene-4.38-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.38&CDS=1-792	YGL011C
OG0001879	maker-scaffold_3-augustus-gene-4.4-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.4&CDS=1-3924	YLR384C
OG0001880	augustus_masked-scaffold_3-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.133&CDS=1-1173	YNR043W
OG0001881	maker-scaffold_3-augustus-gene-4.7-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.7&CDS=1-858	YMR099C
OG0001882	maker-scaffold_3-augustus-gene-4.8-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.8&CDS=1-207	YPL183W-A
OG0001883	maker-scaffold_3-augustus-gene-4.20-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.20&CDS=1-3042	YPL183C
OG0001884	augustus_masked-scaffold_3-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.120&CDS=1-711	YKL087C
OG0001885	augustus_masked-scaffold_3-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.136&CDS=1-1830	YML031W
OG0001886	augustus_masked-scaffold_3-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.121&CDS=1-1722	YML032C
OG0001887	maker-scaffold_3-augustus-gene-4.9-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.9&CDS=1-2010	YKL017C
OG0001888	maker-scaffold_3-snap-gene-4.165-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.165&CDS=1-288	YBL026W
OG0001889	maker-scaffold_3-augustus-gene-4.10-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.10&CDS=1-1692	YEL020C
OG0001890	augustus_masked-scaffold_3-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.127&CDS=1-1917	YFR016C
OG0001891	maker-scaffold_3-augustus-gene-5.53-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.53&CDS=1-975	YGR005C
OG0001892	maker-scaffold_3-augustus-gene-5.54-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.54&CDS=1-1701	YGR159C
OG0001893	maker-scaffold_3-augustus-gene-5.43-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.43&CDS=1-2238	YMR137C
OG0001894	maker-scaffold_3-augustus-gene-5.56-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.56&CDS=1-441	YEL003W
OG0001895	genemark-scaffold_3-processed-gene-5.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.91&CDS=1-459	YJL140W
OG0001896	maker-scaffold_3-augustus-gene-5.45-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.45&CDS=1-405	YDR246W
OG0001897	maker-scaffold_3-augustus-gene-5.60-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.60&CDS=1-3399	YNL329C
OG0001898	augustus_masked-scaffold_3-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.137&CDS=1-2784	YNL287W
OG0001899	augustus_masked-scaffold_3-processed-gene-5.152-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.152&CDS=1-771	YOL142W
OG0001900	maker-scaffold_3-augustus-gene-5.48-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.48&CDS=1-753	YOR281C
OG0001901	maker-scaffold_3-augustus-gene-5.61-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.61&CDS=1-1296	YPL204W
OG0001902	maker-scaffold_3-augustus-gene-5.49-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.49&CDS=1-1722	YGL095C
OG0001903	maker-scaffold_3-augustus-gene-5.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.51&CDS=1-687	YOR332W
OG0001904	genemark-scaffold_3-processed-gene-5.84-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.84&CDS=1-1851	YPL060W
OG0001905	augustus_masked-scaffold_3-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.19&CDS=1-1491	YHR004C
OG0001906	genemark-scaffold_3-processed-gene-6.106-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.106&CDS=1-4284	YER166W
OG0001907	maker-scaffold_3-augustus-gene-6.57-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.57&CDS=1-1386	YHR070W
OG0001908	augustus_masked-scaffold_3-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.38&CDS=1-1032	YJL088W
OG0001909	maker-scaffold_3-augustus-gene-6.58-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.58&CDS=1-1395	YHR206W
OG0001910	maker-scaffold_3-augustus-gene-6.59-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.59&CDS=1-5076	YOR341W
OG0001911	augustus_masked-scaffold_3-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.25&CDS=1-3642	YDL145C
OG0001912	maker-scaffold_3-snap-gene-6.1-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.1&CDS=1-879	YLR390W-A
OG0001913	maker-scaffold_3-augustus-gene-6.61-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.61&CDS=1-633	YJL063C
OG0001914	maker-scaffold_3-augustus-gene-6.62-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.62&CDS=1-495	YLR109W
OG0001915	maker-scaffold_3-augustus-gene-6.63-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.63&CDS=1-630	YMR043W
OG0001916	maker-scaffold_3-snap-gene-6.2-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.2&CDS=1-2046	YGL045W
OG0001917	augustus_masked-scaffold_3-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.45&CDS=1-696	YKR043C
OG0001918	maker-scaffold_3-augustus-gene-6.64-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.64&CDS=1-1557	YFR010W
OG0001919	maker-scaffold_3-augustus-gene-6.53-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.53&CDS=1-501	YKL013C
OG0001920	augustus_masked-scaffold_3-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.33&CDS=1-1182	YKL113C
OG0001921	snap_masked-scaffold_3-processed-gene-6.101-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.101&CDS=1-4854	YOR336W
OG0001922	maker-scaffold_3-augustus-gene-6.54-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.54&CDS=1-1779	YDR473C
OG0001923	maker-scaffold_3-augustus-gene-6.66-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.66&CDS=1-3243	YDL058W
OG0001924	maker-scaffold_3-snap-gene-7.92-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.92&CDS=1-1320	YIL023C
OG0001925	maker-scaffold_3-augustus-gene-7.81-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.81&CDS=1-2748	YDR208W
OG0001926	augustus_masked-scaffold_3-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.116&CDS=1-564	YPL127C
OG0001927	maker-scaffold_3-augustus-gene-7.73-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.73&CDS=1-2100	YDR211W
OG0001928	augustus_masked-scaffold_3-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.130&CDS=1-1713	YDR490C
OG0001929	augustus_masked-scaffold_3-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.120&CDS=1-6816	YJL130C
OG0001930	maker-scaffold_3-augustus-gene-7.83-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.83&CDS=1-3684	YDR335W
OG0001931	snap_masked-scaffold_3-processed-gene-7.57-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.57&CDS=1-840	YMR068W
OG0001932	maker-scaffold_3-augustus-gene-7.76-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.76&CDS=1-2421	YLR115W
OG0001933	augustus_masked-scaffold_3-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.123&CDS=1-1005	YPL196W
OG0001934	maker-scaffold_3-augustus-gene-7.77-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.77&CDS=1-1620	YCR024C
OG0001935	augustus_masked-scaffold_3-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.136&CDS=1-1308	YDR026C
OG0001936	maker-scaffold_3-augustus-gene-7.88-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.88&CDS=1-444	YIL004C
OG0001937	augustus_masked-scaffold_3-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.142&CDS=1-669	YDL218W
OG0001938	genemark-scaffold_3-processed-gene-7.28-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.28&CDS=1-1482	YGL248W
OG0001939	maker-scaffold_3-augustus-gene-7.89-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.89&CDS=1-1428	YNL317W
OG0001940	snap_masked-scaffold_3-processed-gene-7.49-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.49&CDS=1-1395	YLR303W
OG0001941	maker-scaffold_3-augustus-gene-7.90-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.90&CDS=1-780	YER126C
OG0001942	maker-scaffold_3-augustus-gene-7.80-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.80&CDS=1-2289	YDR362C
OG0001943	genemark-scaffold_3-processed-gene-8.93-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.93&CDS=1-639	YOR021C
OG0001944	genemark-scaffold_3-processed-gene-8.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.95&CDS=1-834	YIL084C
OG0001945	augustus_masked-scaffold_3-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.21&CDS=1-735	YKL033W-A
OG0001946	snap_masked-scaffold_3-processed-gene-8.74-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.74&CDS=1-2430	YGR266W
OG0001947	augustus_masked-scaffold_3-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.35&CDS=1-3138	YKL033W
OG0001948	maker-scaffold_3-augustus-gene-8.132-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.132&CDS=1-1080	YKL028W
OG0001949	maker-scaffold_3-augustus-gene-8.133-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.133&CDS=1-1221	YDL022W
OG0001950	maker-scaffold_3-augustus-gene-8.135-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.135&CDS=1-3054	YCR011C
OG0001951	maker-scaffold_3-augustus-gene-8.136-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.136&CDS=1-1659	YJL008C
OG0001952	snap_masked-scaffold_3-processed-gene-8.81-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.81&CDS=1-1218	YER178W
OG0001953	augustus_masked-scaffold_3-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.41&CDS=1-2991	YER093C
OG0001954	augustus_masked-scaffold_3-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.26&CDS=1-747	YKR065C
OG0001955	maker-scaffold_3-augustus-gene-8.141-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.141&CDS=1-1815	YBL011W
OG0001956	augustus_masked-scaffold_3-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.46&CDS=1-2742	YMR280C
OG0001957	maker-scaffold_3-augustus-gene-8.143-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.143&CDS=1-1089	YPL152W
OG0001958	augustus_masked-scaffold_3-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.28&CDS=1-495	YGR133W
OG0001959	maker-scaffold_3-augustus-gene-8.144-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.144&CDS=1-1323	YNL182C
OG0001960	snap_masked-scaffold_3-processed-gene-8.70-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.70&CDS=1-945	YGR208W
OG0001961	maker-scaffold_3-snap-gene-9.142-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.142&CDS=1-879	YLR246W
OG0001962	maker-scaffold_3-augustus-gene-9.45-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.45&CDS=1-291	YLR438C-A
OG0001963	maker-scaffold_3-augustus-gene-9.36-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.36&CDS=1-1542	YMR131C
OG0001964	augustus_masked-scaffold_3-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.101&CDS=1-1227	YCL032W
OG0001965	maker-scaffold_3-augustus-gene-9.46-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.46&CDS=1-1428	YNL071W
