	Ogataea_polymorpha	Saccharomyces_cerevisiae
OG0001034	genemark-scaffold_2-processed-gene-7.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.63&CDS=1-2118	YHR197W
OG0001035	genemark-scaffold_2-processed-gene-7.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.33&CDS=1-666	YGR095C
OG0001036	genemark-scaffold_2-processed-gene-7.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.64&CDS=1-3135	YGR094W
OG0001037	genemark-scaffold_2-processed-gene-7.34-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.34&CDS=1-1401	YGR091W
OG0001038	augustus_masked-scaffold_2-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.92&CDS=1-7833	YLL001W
OG0001039	genemark-scaffold_2-processed-gene-7.44-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.44&CDS=1-546	YDR043C
OG0001040	augustus_masked-scaffold_2-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.95&CDS=1-3399	YDR044W
OG0001041	augustus_masked-scaffold_2-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.112&CDS=1-3048	YFR025C
OG0001042	augustus_masked-scaffold_2-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.96&CDS=1-1629	YJR122W
OG0001043	snap_masked-scaffold_2-processed-gene-7.170-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.170&CDS=1-279	YOL108C
OG0001044	genemark-scaffold_2-processed-gene-7.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.49&CDS=1-1014	YOL107W
OG0001045	snap_masked-scaffold_2-processed-gene-7.171-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.171&CDS=1-1293	YJL183W
OG0001046	genemark-scaffold_2-processed-gene-7.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.50&CDS=1-369	YJL179W
OG0001047	snap_masked-scaffold_2-processed-gene-7.172-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.172&CDS=1-798	YJL178C
OG0001048	snap_masked-scaffold_2-processed-gene-7.153-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.153&CDS=1-2748	YGL251C
OG0001049	genemark-scaffold_2-processed-gene-8.149-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.149&CDS=1-567	YJL140W
OG0001050	genemark-scaffold_2-processed-gene-8.150-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.150&CDS=1-486	YJL143W
OG0001051	maker-scaffold_2-snap-gene-8.140-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.140&CDS=1-3744	YJL141C
OG0001052	maker-scaffold_2-augustus-gene-8.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.0&CDS=1-423	YER044C
OG0001053	genemark-scaffold_2-processed-gene-8.155-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.155&CDS=1-1326	YIL033C
OG0001054	snap_masked-scaffold_2-processed-gene-8.77-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.77&CDS=1-891	YBR228W
OG0001055	genemark-scaffold_2-processed-gene-8.148-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.148&CDS=1-1383	YOL069W
OG0001056	augustus_masked-scaffold_2-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.45&CDS=1-4815	YGL114W
OG0001057	genemark-scaffold_2-processed-gene-8.156-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.156&CDS=1-774	YDR087C
OG0001058	augustus_masked-scaffold_2-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.22&CDS=1-1107	YDR086C
OG0001059	snap_masked-scaffold_2-processed-gene-8.113-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.113&CDS=1-2439	YER162C
OG0001060	maker-scaffold_2-snap-gene-8.135-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.135&CDS=1-2235	YML055W
OG0001061	augustus_masked-scaffold_2-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.48&CDS=1-2550	YDR145W
OG0001062	genemark-scaffold_2-processed-gene-8.162-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.162&CDS=1-1569	YML056C
OG0001063	genemark-scaffold_2-processed-gene-8.198-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.198&CDS=1-768	YLR441C
OG0001064	genemark-scaffold_2-processed-gene-8.163-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.163&CDS=1-636	YML064C
OG0001065	genemark-scaffold_2-processed-gene-8.199-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.199&CDS=1-2160	YML065W
OG0001066	augustus_masked-scaffold_2-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.27&CDS=1-1239	YML066C
OG0001067	genemark-scaffold_2-processed-gene-8.200-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.200&CDS=1-504	YKL186C
OG0001068	genemark-scaffold_2-processed-gene-8.165-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.165&CDS=1-1335	YKL185W
OG0001069	genemark-scaffold_2-processed-gene-8.166-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.166&CDS=1-2172	YKL184W
OG0001070	genemark-scaffold_2-processed-gene-8.167-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.167&CDS=1-3033	YJL157C
OG0001071	augustus_masked-scaffold_2-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.34&CDS=1-4248	YDL052C
OG0001072	genemark-scaffold_2-processed-gene-8.203-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.203&CDS=1-759	YOR077W
OG0001073	genemark-scaffold_2-processed-gene-8.204-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.204&CDS=1-414	YDR308C
OG0001074	genemark-scaffold_2-processed-gene-8.179-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.179&CDS=1-1191	YMR026C
OG0001075	genemark-scaffold_2-processed-gene-8.205-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.205&CDS=1-1731	YKL125W
OG0001076	genemark-scaffold_2-processed-gene-8.211-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.211&CDS=1-1470	YNL193W
OG0001077	snap_masked-scaffold_2-processed-gene-8.105-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.105&CDS=1-1089	YKL114C
OG0001078	genemark-scaffold_2-processed-gene-8.212-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.212&CDS=1-1908	YJR131W
OG0001079	genemark-scaffold_2-processed-gene-8.185-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.185&CDS=1-1674	YJR130C
OG0001080	genemark-scaffold_2-processed-gene-8.213-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.213&CDS=1-183	YML081C-A
OG0001081	genemark-scaffold_2-processed-gene-9.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.82&CDS=1-1713	YER080W
OG0001082	genemark-scaffold_2-processed-gene-9.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.104&CDS=1-3150	YML075C
OG0001083	genemark-scaffold_2-processed-gene-9.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.86&CDS=1-330	YPR063C
OG0001084	genemark-scaffold_2-processed-gene-9.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.105&CDS=1-1023	YPR056W
OG0001085	genemark-scaffold_2-processed-gene-9.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.107&CDS=1-1065	YPL236C
OG0001086	genemark-scaffold_2-processed-gene-9.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.89&CDS=1-1395	YPL235W
OG0001087	augustus_masked-scaffold_2-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.163&CDS=1-498	YPL234C
OG0001088	augustus_masked-scaffold_2-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.148&CDS=1-1389	YPL246C
OG0001089	augustus_masked-scaffold_2-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.150&CDS=1-501	YMR138W
OG0001090	augustus_masked-scaffold_2-processed-gene-9.167-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.167&CDS=1-3300	YDR489W
OG0001091	genemark-scaffold_2-processed-gene-9.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.116&CDS=1-1446	YDL003W
OG0001092	genemark-scaffold_2-processed-gene-9.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.118&CDS=1-1758	YBL051C
OG0001093	snap_masked-scaffold_2-processed-gene-9.18-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.18&CDS=1-264	YER019C-A
OG0001094	genemark-scaffold_2-processed-gene-9.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.119&CDS=1-1608	YER087W
OG0001095	snap_masked-scaffold_2-processed-gene-9.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.45&CDS=1-1272	YNL217W
OG0001096	genemark-scaffold_2-processed-gene-9.126-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.126&CDS=1-693	YGL037C
OG0001097	genemark-scaffold_2-processed-gene-9.127-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.127&CDS=1-3276	YMR308C
OG0001098	genemark-scaffold_2-processed-gene-9.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.101&CDS=1-717	YGR280C
OG0001099	genemark-scaffold_2-processed-gene-9.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.102&CDS=1-1416	YHR070W
OG0001100	genemark-scaffold_2-processed-gene-9.131-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.131&CDS=1-1647	YIL099W
OG0001101	snap_masked-scaffold_2-processed-gene-9.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.54&CDS=1-1977	YJL132W
OG0001102	snap_masked-scaffold_2-processed-gene-9.23-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.23&CDS=1-207	YGR161C
OG0001103	genemark-scaffold_2-processed-gene-9.103-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.103&CDS=1-798	YLR308W
OG0001104	augustus_masked-scaffold_2-processed-gene-9.183-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.183&CDS=1-4014	YNL037C
OG0001105	snap_masked-scaffold_2-processed-gene-10.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.35&CDS=1-621	YKR043C
OG0001106	augustus_masked-scaffold_2-processed-gene-10.0-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.0&CDS=1-2697	YDL097C
OG0001107	snap_masked-scaffold_2-processed-gene-10.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.59&CDS=1-2355	YDL116W
OG0001108	augustus_masked-scaffold_2-processed-gene-10.1-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.1&CDS=1-1569	YLR330W
OG0001109	snap_masked-scaffold_2-processed-gene-10.60-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.60&CDS=1-357	YGR020C
OG0001110	snap_masked-scaffold_2-processed-gene-10.39-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.39&CDS=1-657	YGR021W
OG0001111	snap_masked-scaffold_2-processed-gene-10.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.61&CDS=1-219	YPR010C-A
OG0001112	genemark-scaffold_2-processed-gene-10.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.87&CDS=1-1872	YGR178C
OG0001113	augustus_masked-scaffold_2-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.19&CDS=1-2619	YOR261C
OG0001114	augustus_masked-scaffold_2-processed-gene-10.4-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.4&CDS=1-3168	YGR019W
OG0001115	snap_masked-scaffold_2-processed-gene-10.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.44&CDS=1-3981	YFL036W
OG0001116	snap_masked-scaffold_2-processed-gene-10.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.65&CDS=1-855	YFL034C-B
OG0001117	genemark-scaffold_2-processed-gene-10.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.92&CDS=1-4896	YNL172W
OG0001118	maker-scaffold_2-augustus-gene-10.31-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.31&CDS=1-2400	YOR246C
OG0001119	augustus_masked-scaffold_2-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.20&CDS=1-4521	YPL160W
OG0001120	genemark-scaffold_2-processed-gene-10.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.97&CDS=1-3144	YOL145C
OG0001121	augustus_masked-scaffold_2-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.21&CDS=1-4803	YOL143C
OG0001122	augustus_masked-scaffold_2-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.9&CDS=1-2598	YDL101C
OG0001123	snap_masked-scaffold_2-processed-gene-10.71-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.71&CDS=1-915	YDL108W
OG0001124	genemark-scaffold_2-processed-gene-10.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.100&CDS=1-1242	YMR171C
OG0001125	genemark-scaffold_2-processed-gene-10.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.118&CDS=1-2130	YDL117W
OG0001126	augustus_masked-scaffold_2-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.11&CDS=1-2073	YJR057W
OG0001127	augustus_masked-scaffold_2-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.24&CDS=1-1971	YNL097C
OG0001128	genemark-scaffold_2-processed-gene-10.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.104&CDS=1-1578	YMR217W
OG0001129	genemark-scaffold_2-processed-gene-10.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.105&CDS=1-1248	YMR209C
OG0001130	genemark-scaffold_2-processed-gene-10.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.122&CDS=1-1338	YOR272W
OG0001131	genemark-scaffold_2-processed-gene-11.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.123&CDS=1-750	YLR022C
OG0001132	augustus_masked-scaffold_2-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.31&CDS=1-2445	YER086W
OG0001133	snap_masked-scaffold_2-processed-gene-11.72-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.72&CDS=1-588	YNR018W
OG0001134	genemark-scaffold_2-processed-gene-11.158-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.158&CDS=1-1101	YNR015W
OG0001135	snap_masked-scaffold_2-processed-gene-11.99-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.99&CDS=1-2076	YMR301C
OG0001136	genemark-scaffold_2-processed-gene-11.129-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.129&CDS=1-1815	YLR399C
OG0001137	augustus_masked-scaffold_2-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.14&CDS=1-2388	YLR001C
OG0001138	genemark-scaffold_2-processed-gene-11.161-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.161&CDS=1-1455	YLR023C
OG0001139	genemark-scaffold_2-processed-gene-11.137-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.137&CDS=1-1101	YGR279C
OG0001140	genemark-scaffold_2-processed-gene-11.138-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.138&CDS=1-297	YAL046C
OG0001141	genemark-scaffold_2-processed-gene-11.163-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.163&CDS=1-2166	YOR361C
OG0001142	genemark-scaffold_2-processed-gene-11.140-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.140&CDS=1-483	YDL004W
OG0001143	genemark-scaffold_2-processed-gene-11.165-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.165&CDS=1-1875	YJL176C
OG0001144	genemark-scaffold_2-processed-gene-11.141-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.141&CDS=1-684	YBL095W
OG0001145	genemark-scaffold_2-processed-gene-11.142-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.142&CDS=1-756	YGR033C
OG0001146	snap_masked-scaffold_2-processed-gene-11.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.87&CDS=1-684	YBR256C
OG0001147	genemark-scaffold_2-processed-gene-11.169-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.169&CDS=1-1212	YIR012W
OG0001148	genemark-scaffold_2-processed-gene-11.144-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.144&CDS=1-1248	YPL151C
OG0001149	genemark-scaffold_2-processed-gene-11.170-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.170&CDS=1-1017	YNR007C
OG0001150	snap_masked-scaffold_2-processed-gene-11.88-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.88&CDS=1-831	YER023W
OG0001151	genemark-scaffold_2-processed-gene-11.171-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.171&CDS=1-561	YJR118C
OG0001152	genemark-scaffold_2-processed-gene-12.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.119&CDS=1-3771	YJR121W
OG0001153	genemark-scaffold_2-processed-gene-12.120-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.120&CDS=1-1344	YJR117W
OG0001154	genemark-scaffold_2-processed-gene-12.124-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.124&CDS=1-393	YNL328C
OG0001155	genemark-scaffold_2-processed-gene-12.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.121&CDS=1-1032	YPL244C
OG0001156	genemark-scaffold_2-processed-gene-12.126-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.126&CDS=1-1977	YNR008W
OG0001157	genemark-scaffold_2-processed-gene-12.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.122&CDS=1-1662	YER022W
OG0001158	genemark-scaffold_2-processed-gene-12.154-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.154&CDS=1-1593	YPL133C
OG0001159	augustus_masked-scaffold_2-processed-gene-12.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.83&CDS=1-948	YHR189W
OG0001160	genemark-scaffold_2-processed-gene-12.130-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.130&CDS=1-2055	YDL074C
OG0001161	genemark-scaffold_2-processed-gene-12.131-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.131&CDS=1-5490	YBR208C
OG0001162	maker-scaffold_2-snap-gene-12.74-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.74&CDS=1-1674	YPL072W
OG0001163	genemark-scaffold_2-processed-gene-12.161-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.161&CDS=1-2106	YMR186W
OG0001164	snap_masked-scaffold_2-processed-gene-12.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.45&CDS=1-1245	YPL188W
OG0001165	genemark-scaffold_2-processed-gene-12.166-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.166&CDS=1-1794	YDL167C
OG0001166	maker-scaffold_2-augustus-gene-12.62-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-12.62&CDS=1-2007	YDR083W
OG0001167	snap_masked-scaffold_2-processed-gene-12.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.24&CDS=1-1056	YDR124W
OG0001168	augustus_masked-scaffold_2-processed-gene-12.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.112&CDS=1-2457	YKR079C
OG0001169	snap_masked-scaffold_2-processed-gene-12.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.25&CDS=1-4977	YMR229C
OG0001170	snap_masked-scaffold_2-processed-gene-12.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.27&CDS=1-1782	YHL010C
OG0001171	snap_masked-scaffold_2-processed-gene-12.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.28&CDS=1-1434	YPR045C
OG0001172	genemark-scaffold_2-processed-gene-12.172-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.172&CDS=1-729	YJR099W
OG0001173	genemark-scaffold_2-processed-gene-12.173-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.173&CDS=1-1635	YBR123C
OG0001174	genemark-scaffold_2-processed-gene-12.147-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.147&CDS=1-2025	YKL005C
OG0001175	snap_masked-scaffold_2-processed-gene-12.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.32&CDS=1-285	YKL006C-A
OG0001176	genemark-scaffold_2-processed-gene-12.175-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.175&CDS=1-795	YKL007W
OG0001177	snap_masked-scaffold_2-processed-gene-12.34-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.34&CDS=1-930	YBL029W
OG0001178	maker-scaffold_2-snap-gene-12.73-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.73&CDS=1-1971	YKR084C
OG0001179	augustus_masked-scaffold_2-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.117&CDS=1-978	YOR075W
OG0001180	genemark-scaffold_2-processed-gene-12.153-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.153&CDS=1-1953	YOR069W
OG0001181	augustus_masked-scaffold_2-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.0&CDS=1-6249	YGL094C
OG0001182	snap_masked-scaffold_2-processed-gene-13.119-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.119&CDS=1-186	YPL183W-A
OG0001183	genemark-scaffold_2-processed-gene-13.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.49&CDS=1-1059	YPL180W
OG0001184	genemark-scaffold_2-processed-gene-13.46-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.46&CDS=1-1725	YGL095C
OG0001185	snap_masked-scaffold_2-processed-gene-13.121-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.121&CDS=1-1125	YPL181W
OG0001186	genemark-scaffold_2-processed-gene-13.47-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.47&CDS=1-1143	YBR236C
OG0001187	genemark-scaffold_2-processed-gene-13.51-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.51&CDS=1-3216	YBR235W
OG0001188	genemark-scaffold_2-processed-gene-13.52-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.52&CDS=1-660	YGL096W
OG0001189	genemark-scaffold_2-processed-gene-13.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.78&CDS=1-2322	YDL230W
OG0001190	genemark-scaffold_2-processed-gene-13.54-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.54&CDS=1-570	YKL117W
OG0001191	genemark-scaffold_2-processed-gene-13.55-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.55&CDS=1-891	YLR220W
OG0001192	augustus_masked-scaffold_2-processed-gene-13.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.29&CDS=1-4323	YML008C
OG0001193	augustus_masked-scaffold_2-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.10&CDS=1-4797	YPL084W
OG0001194	genemark-scaffold_2-processed-gene-13.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.85&CDS=1-297	YPL046C
OG0001195	genemark-scaffold_2-processed-gene-13.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.86&CDS=1-1332	YDR254W
OG0001196	snap_masked-scaffold_2-processed-gene-13.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.129&CDS=1-2070	YPL043W
OG0001197	genemark-scaffold_2-processed-gene-13.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.87&CDS=1-1686	YPL030W
OG0001198	snap_masked-scaffold_2-processed-gene-13.155-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.155&CDS=1-621	YPL067C
OG0001199	genemark-scaffold_2-processed-gene-13.61-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.61&CDS=1-951	YDR171W
OG0001200	augustus_masked-scaffold_2-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.16&CDS=1-2076	YGL215W
OG0001201	genemark-scaffold_2-processed-gene-13.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.91&CDS=1-708	YMR038C
OG0001202	genemark-scaffold_2-processed-gene-13.66-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.66&CDS=1-543	YMR035W
OG0001203	augustus_masked-scaffold_2-processed-gene-13.37-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.37&CDS=1-1995	YMR036C
OG0001204	genemark-scaffold_2-processed-gene-13.93-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.93&CDS=1-1248	YOR051C
OG0001205	genemark-scaffold_2-processed-gene-13.67-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.67&CDS=1-1539	YKR069W
OG0001206	genemark-scaffold_2-processed-gene-13.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.68&CDS=1-522	YOR052C
OG0001207	genemark-scaffold_2-processed-gene-13.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.94&CDS=1-1092	YKR070W
OG0001208	augustus_masked-scaffold_2-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.40&CDS=1-2787	YMR213W
OG0001209	genemark-scaffold_2-processed-gene-13.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.69&CDS=1-2361	YMR212C
OG0001210	genemark-scaffold_2-processed-gene-13.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.97&CDS=1-432	YOR276W
OG0001211	genemark-scaffold_2-processed-gene-13.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.70&CDS=1-501	YOR252W
OG0001212	snap_masked-scaffold_2-processed-gene-13.141-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.141&CDS=1-219	YNL259C
OG0001213	augustus_masked-scaffold_2-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.23&CDS=1-4752	YPR011C
OG0001214	genemark-scaffold_2-processed-gene-13.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.100&CDS=1-4781	YGR047C
OG0001215	augustus_masked-scaffold_2-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.24&CDS=1-1014	YGR048W
