	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0001550	genemark-LADA0D-processed-gene-3.144-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.144&CDS=1-732	YPL094C
OG0001551	maker-LADA0D-snap-gene-3.53-mRNA-1_1&gene=maker-LADA0D-snap-gene-3.53&CDS=1-3360	YPL093W
OG0001552	genemark-LADA0D-processed-gene-3.121-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.121&CDS=1-1113	YPL092W
OG0001553	augustus_masked-LADA0D-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-3.75&CDS=1-1446	YPL091W
OG0001554	augustus_masked-LADA0D-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-3.97&CDS=1-1806	YBR182C
OG0001555	genemark-LADA0D-processed-gene-3.124-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.124&CDS=1-957	YBR183W
OG0001556	genemark-LADA0D-processed-gene-3.146-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.146&CDS=1-1671	YPL086C
OG0001557	snap_masked-LADA0D-processed-gene-3.28-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-3.28&CDS=1-6918	YPL085W
OG0001558	genemark-LADA0D-processed-gene-3.147-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.147&CDS=1-825	YBR185C
OG0001559	genemark-LADA0D-processed-gene-3.127-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.127&CDS=1-2460	YPL084W
OG0001560	genemark-LADA0D-processed-gene-3.148-mRNA-1_1&gene=genemark-LADA0D-processed-gene-3.148&CDS=1-1287	YPL083C
OG0001561	augustus_masked-LADA0D-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.46&CDS=1-2373	YBR187W
OG0001562	genemark-LADA0D-processed-gene-4.4-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.4&CDS=1-5667	YPL082C
OG0001563	genemark-LADA0D-processed-gene-4.5-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.5&CDS=1-1104	YBR192W
OG0001564	genemark-LADA0D-processed-gene-4.25-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.25&CDS=1-651	YBR193C
OG0001565	augustus_masked-LADA0D-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.70&CDS=1-687	YPL078C
OG0001566	genemark-LADA0D-processed-gene-4.27-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.27&CDS=1-1281	YBR195C
OG0001567	genemark-LADA0D-processed-gene-4.28-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.28&CDS=1-1665	YBR196C
OG0001568	augustus_masked-LADA0D-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.73&CDS=1-414	YPL077C
OG0001569	snap_masked-LADA0D-processed-gene-4.107-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.107&CDS=1-822	YPL076W
OG0001570	snap_masked-LADA0D-processed-gene-4.133-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.133&CDS=1-2268	YBR198C
OG0001571	augustus_masked-LADA0D-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.52&CDS=1-2097	YPL075W
OG0001572	maker-LADA0D-snap-gene-4.90-mRNA-1_1&gene=maker-LADA0D-snap-gene-4.90&CDS=1-2085	YPL072W
OG0001573	snap_masked-LADA0D-processed-gene-4.111-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.111&CDS=1-1662	YBR200W
OG0001574	genemark-LADA0D-processed-gene-4.31-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.31&CDS=1-435	YPL071C
OG0001575	genemark-LADA0D-processed-gene-4.10-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.10&CDS=1-1554	YPL070W
OG0001576	genemark-LADA0D-processed-gene-4.32-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.32&CDS=1-981	YPL069C
OG0001577	augustus_masked-LADA0D-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.56&CDS=1-681	YBR201W
OG0001578	augustus_masked-LADA0D-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.77&CDS=1-1422	YPL067C
OG0001579	maker-LADA0D-augustus-gene-4.96-mRNA-1_1&gene=maker-LADA0D-augustus-gene-4.96&CDS=1-4491	YBR202W
OG0001580	augustus_masked-LADA0D-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.78&CDS=1-936	YPL064C
OG0001581	genemark-LADA0D-processed-gene-4.14-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.14&CDS=1-1437	YPL063W
OG0001582	snap_masked-LADA0D-processed-gene-4.118-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.118&CDS=1-2466	YBR203W
OG0001583	augustus_masked-LADA0D-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.79&CDS=1-1029	YBR204C
OG0001584	augustus_masked-LADA0D-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.62&CDS=1-1065	YGR263C
OG0001585	maker-LADA0D-augustus-gene-4.97-mRNA-1_1&gene=maker-LADA0D-augustus-gene-4.97&CDS=1-2394	YBR207W
OG0001586	genemark-LADA0D-processed-gene-4.37-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.37&CDS=1-5505	YBR208C
OG0001587	genemark-LADA0D-processed-gene-4.21-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.21&CDS=1-423	YPL059W
OG0001588	snap_masked-LADA0D-processed-gene-4.141-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.141&CDS=1-1650	YBR163W
OG0001589	snap_masked-LADA0D-processed-gene-4.142-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-4.142&CDS=1-186	YBR162W-A
OG0001590	genemark-LADA0D-processed-gene-4.22-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.22&CDS=1-1389	YBR162C
OG0001591	genemark-LADA0D-processed-gene-4.39-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.39&CDS=1-1092	YPL057C
OG0001592	genemark-LADA0D-processed-gene-4.40-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.40&CDS=1-1083	YMR152W
OG0001593	maker-LADA0D-augustus-gene-4.99-mRNA-1_1&gene=maker-LADA0D-augustus-gene-4.99&CDS=1-1959	YBR160W
OG0001594	genemark-LADA0D-processed-gene-4.44-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.44&CDS=1-1494	YBR158W
OG0001595	genemark-LADA0D-processed-gene-4.23-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.23&CDS=1-1365	YPL054W
OG0001596	snap_masked-LADA0D-processed-gene-5.94-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.94&CDS=1-2283	YBR156C
OG0001597	snap_masked-LADA0D-processed-gene-5.95-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.95&CDS=1-555	YPL052W
OG0001598	genemark-LADA0D-processed-gene-5.2-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.2&CDS=1-423	YDR482C
OG0001599	genemark-LADA0D-processed-gene-5.3-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.3&CDS=1-591	YPL051W
OG0001600	genemark-LADA0D-processed-gene-5.4-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.4&CDS=1-1623	YDR481C
OG0001601	genemark-LADA0D-processed-gene-5.30-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.30&CDS=1-1176	YPL050C
OG0001602	snap_masked-LADA0D-processed-gene-5.125-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.125&CDS=1-1215	YDR480W
OG0001603	snap_masked-LADA0D-processed-gene-5.104-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.104&CDS=1-291	YPL047W
OG0001604	snap_masked-LADA0D-processed-gene-5.105-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.105&CDS=1-1209	YDR255C
OG0001605	augustus_masked-LADA0D-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-5.75&CDS=1-291	YPL046C
OG0001606	maker-LADA0D-augustus-gene-5.145-mRNA-1_1&gene=maker-LADA0D-augustus-gene-5.145&CDS=1-4584	YPL043W
OG0001607	augustus_masked-LADA0D-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-5.76&CDS=1-4944	YPL040C
OG0001608	genemark-LADA0D-processed-gene-5.13-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.13&CDS=1-627	YDR253C
OG0001609	genemark-LADA0D-processed-gene-5.35-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.35&CDS=1-477	YPL037C
OG0001610	snap_masked-LADA0D-processed-gene-5.131-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.131&CDS=1-2661	YPL032C
OG0001611	snap_masked-LADA0D-processed-gene-5.108-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.108&CDS=1-1125	YDR249C
OG0001612	augustus_masked-LADA0D-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-5.79&CDS=1-906	YPL031C
OG0001613	augustus_masked-LADA0D-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-5.64&CDS=1-5577	YPL029W
OG0001614	genemark-LADA0D-processed-gene-5.38-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.38&CDS=1-1434	YPL026C
OG0001615	genemark-LADA0D-processed-gene-5.40-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.40&CDS=1-582	YDR246W
OG0001616	snap_masked-LADA0D-processed-gene-5.113-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.113&CDS=1-723	YPL024W
OG0001617	genemark-LADA0D-processed-gene-5.41-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.41&CDS=1-1920	YPL023C
OG0001618	genemark-LADA0D-processed-gene-5.20-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.20&CDS=1-3117	YPL022W
OG0001619	snap_masked-LADA0D-processed-gene-5.137-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.137&CDS=1-3306	YPL016W
OG0001620	genemark-LADA0D-processed-gene-5.43-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.43&CDS=1-999	YDR245W
OG0001621	genemark-LADA0D-processed-gene-5.44-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.44&CDS=1-1713	YDR244W
OG0001622	genemark-LADA0D-processed-gene-5.21-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.21&CDS=1-1728	YDR243C
OG0001623	augustus_masked-LADA0D-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-5.86&CDS=1-1005	YDL209C
OG0001624	genemark-LADA0D-processed-gene-5.22-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.22&CDS=1-447	YDL208W
OG0001625	snap_masked-LADA0D-processed-gene-5.117-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.117&CDS=1-1383	YDR240C
OG0001626	snap_masked-LADA0D-processed-gene-5.118-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.118&CDS=1-2085	YDR239C
OG0001627	genemark-LADA0D-processed-gene-5.46-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.46&CDS=1-1599	YHR137W
OG0001628	genemark-LADA0D-processed-gene-5.26-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.26&CDS=1-2910	YDR238C
OG0001629	genemark-LADA0D-processed-gene-5.49-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.49&CDS=1-867	YDR237W
OG0001630	maker-LADA0D-snap-gene-5.92-mRNA-1_1&gene=maker-LADA0D-snap-gene-5.92&CDS=1-2142	YDL207W
OG0001631	snap_masked-LADA0D-processed-gene-5.123-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-5.123&CDS=1-2031	YDL206W
OG0001632	augustus_masked-LADA0D-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.48&CDS=1-1614	YDR235W
OG0001633	genemark-LADA0D-processed-gene-6.90-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.90&CDS=1-990	YDL205C
OG0001634	genemark-LADA0D-processed-gene-6.91-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.91&CDS=1-2058	YDR234W
OG0001635	genemark-LADA0D-processed-gene-6.88-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.88&CDS=1-819	YDR233C
OG0001636	genemark-LADA0D-processed-gene-6.92-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.92&CDS=1-1683	YDR232W
OG0001637	genemark-LADA0D-processed-gene-6.108-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.108&CDS=1-1854	YDL203C
OG0001638	genemark-LADA0D-processed-gene-6.93-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.93&CDS=1-555	YDR231C
OG0001639	genemark-LADA0D-processed-gene-6.109-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.109&CDS=1-1305	YDR229W
OG0001640	augustus_masked-LADA0D-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.53&CDS=1-1551	YDL201W
OG0001641	genemark-LADA0D-processed-gene-6.111-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.111&CDS=1-894	YDL198C
OG0001642	genemark-LADA0D-processed-gene-6.96-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.96&CDS=1-1743	YDR228C
OG0001643	snap_masked-LADA0D-processed-gene-6.25-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-6.25&CDS=1-4059	YDR227W
OG0001644	genemark-LADA0D-processed-gene-6.113-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.113&CDS=1-681	YDR226W
OG0001645	snap_masked-LADA0D-processed-gene-6.10-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-6.10&CDS=1-1950	YLR219W
OG0001646	genemark-LADA0D-processed-gene-6.99-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.99&CDS=1-870	YLR220W
OG0001647	genemark-LADA0D-processed-gene-6.115-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.115&CDS=1-594	YLR221C
OG0001648	genemark-LADA0D-processed-gene-6.116-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.116&CDS=1-2493	YLR222C
OG0001649	genemark-LADA0D-processed-gene-6.117-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.117&CDS=1-2958	YLR223C
OG0001650	genemark-LADA0D-processed-gene-6.118-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.118&CDS=1-2046	YDR221W
OG0001651	snap_masked-LADA0D-processed-gene-6.13-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-6.13&CDS=1-1353	YDR219C
OG0001652	genemark-LADA0D-processed-gene-6.101-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.101&CDS=1-1146	YLR226W
OG0001653	augustus_masked-LADA0D-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.76&CDS=1-1200	YLR227C
OG0001654	augustus_masked-LADA0D-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.59&CDS=1-3228	YDR217C
OG0001655	genemark-LADA0D-processed-gene-6.120-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.120&CDS=1-3420	YDR216W
OG0001656	augustus_masked-LADA0D-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.61&CDS=1-1461	YHR115C
OG0001657	genemark-LADA0D-processed-gene-6.121-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.121&CDS=1-1836	YNL115C
OG0001658	genemark-LADA0D-processed-gene-6.122-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.122&CDS=1-1866	YHR114W
OG0001659	genemark-LADA0D-processed-gene-6.105-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.105&CDS=1-780	YOR115C
OG0001660	augustus_masked-LADA0D-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-6.80&CDS=1-723	YOR114W
OG0001661	genemark-LADA0D-processed-gene-6.124-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.124&CDS=1-2379	YOR113W
OG0001662	genemark-LADA0D-processed-gene-6.126-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.126&CDS=1-1125	YMR139W
OG0001663	genemark-LADA0D-processed-gene-6.128-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.128&CDS=1-1065	YNL141W
OG0001664	snap_masked-LADA0D-processed-gene-6.44-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-6.44&CDS=1-756	YNL155W
OG0001665	genemark-LADA0D-processed-gene-7.4-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.4&CDS=1-714	YHR134W
OG0001666	genemark-LADA0D-processed-gene-7.0-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.0&CDS=1-783	YNL156C
OG0001667	genemark-LADA0D-processed-gene-7.5-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.5&CDS=1-387	YHR132W-A
OG0001668	genemark-LADA0D-processed-gene-7.1-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.1&CDS=1-1320	YHR132C
OG0001669	augustus_masked-LADA0D-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.56&CDS=1-552	YNL158W
OG0001670	genemark-LADA0D-processed-gene-7.2-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.2&CDS=1-774	YNL159C
OG0001671	augustus_masked-LADA0D-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.57&CDS=1-2223	YHR131C
OG0001672	genemark-LADA0D-processed-gene-7.28-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.28&CDS=1-648	YHR128W
OG0001673	genemark-LADA0D-processed-gene-7.29-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.29&CDS=1-342	YNL147W
OG0001674	augustus_masked-LADA0D-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.60&CDS=1-750	YNL148C
OG0001675	genemark-LADA0D-processed-gene-7.11-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.11&CDS=1-2877	YHR120W
OG0001676	genemark-LADA0D-processed-gene-7.30-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.30&CDS=1-1611	YNL124W
OG0001677	genemark-LADA0D-processed-gene-7.12-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.12&CDS=1-1803	YNL125C
OG0001678	snap_masked-LADA0D-processed-gene-7.128-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-7.128&CDS=1-2538	YNL126W
OG0001679	genemark-LADA0D-processed-gene-7.32-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.32&CDS=1-2787	YNL127W
OG0001680	genemark-LADA0D-processed-gene-7.13-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.13&CDS=1-315	YHR121W
OG0001681	snap_masked-LADA0D-processed-gene-7.130-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-7.130&CDS=1-942	YNL128W
OG0001682	genemark-LADA0D-processed-gene-7.34-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.34&CDS=1-717	YNL129W
OG0001683	genemark-LADA0D-processed-gene-7.35-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.35&CDS=1-456	YNL131W
OG0001684	genemark-LADA0D-processed-gene-7.36-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.36&CDS=1-3156	YNL132W
OG0001685	genemark-LADA0D-processed-gene-7.16-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.16&CDS=1-2085	YHR124W
OG0001686	augustus_masked-LADA0D-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.65&CDS=1-561	YNL133C
OG0001687	genemark-LADA0D-processed-gene-7.19-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.19&CDS=1-342	YNL135C
OG0001688	augustus_masked-LADA0D-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.83&CDS=1-1044	YNL136W
OG0001689	genemark-LADA0D-processed-gene-7.20-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.20&CDS=1-1431	YNL137C
OG0001690	genemark-LADA0D-processed-gene-7.39-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.39&CDS=1-1602	YNL138W
OG0001691	augustus_masked-LADA0D-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.69&CDS=1-699	YHR127W
OG0001692	snap_masked-LADA0D-processed-gene-7.137-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-7.137&CDS=1-219	YNL138W-A
OG0001693	augustus_masked-LADA0D-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.70&CDS=1-4881	YNL139C
OG0001694	augustus_masked-LADA0D-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.71&CDS=1-1188	YNL152W
OG0001695	genemark-LADA0D-processed-gene-7.40-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.40&CDS=1-696	YNL151C
OG0001696	augustus_masked-LADA0D-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.86&CDS=1-378	YNL149C
OG0001697	genemark-LADA0D-processed-gene-7.42-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.42&CDS=1-2994	YHR119W
OG0001698	augustus_masked-LADA0D-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.72&CDS=1-4185	YNL123W
OG0001699	snap_masked-LADA0D-processed-gene-7.141-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-7.141&CDS=1-228	YNL122C
OG0001700	genemark-LADA0D-processed-gene-7.43-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.43&CDS=1-1809	YNL121C
OG0001701	genemark-LADA0D-processed-gene-7.44-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.44&CDS=1-330	YHR116W
OG0001702	augustus_masked-LADA0D-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.73&CDS=1-1413	YNL119W
OG0001703	genemark-LADA0D-processed-gene-7.45-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.45&CDS=1-2163	YNL118C
OG0001704	genemark-LADA0D-processed-gene-7.27-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.27&CDS=1-1863	YBL054W
OG0001705	maker-LADA0D-snap-gene-7.149-mRNA-1_1&gene=maker-LADA0D-snap-gene-7.149&CDS=1-1626	YBL051C
OG0001706	augustus_masked-LADA0D-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.76&CDS=1-267	YER019C-A
OG0001707	genemark-LADA0D-processed-gene-8.98-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.98&CDS=1-1704	YER087W
OG0001708	genemark-LADA0D-processed-gene-8.99-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.99&CDS=1-1692	YER086W
OG0001709	augustus_masked-LADA0D-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.4&CDS=1-1599	YLR190W
OG0001710	genemark-LADA0D-processed-gene-8.97-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.97&CDS=1-1197	YLR191W
OG0001711	genemark-LADA0D-processed-gene-8.101-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.101&CDS=1-1695	YDL174C
OG0001712	genemark-LADA0D-processed-gene-8.121-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.121&CDS=1-819	YLR192C
OG0001713	genemark-LADA0D-processed-gene-8.102-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.102&CDS=1-519	YDL173W
OG0001714	genemark-LADA0D-processed-gene-8.122-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.122&CDS=1-6453	YDL171C
OG0001715	genemark-LADA0D-processed-gene-8.124-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.124&CDS=1-2109	YKL078W
OG0001716	genemark-LADA0D-processed-gene-8.103-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.103&CDS=1-747	YMR063W
OG0001717	genemark-LADA0D-processed-gene-8.104-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.104&CDS=1-1665	YMR064W
OG0001718	genemark-LADA0D-processed-gene-8.105-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.105&CDS=1-1521	YMR065W
OG0001719	genemark-LADA0D-processed-gene-8.126-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.126&CDS=1-1905	YHR161C
OG0001720	genemark-LADA0D-processed-gene-8.109-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.109&CDS=1-1734	YDR536W
OG0001721	genemark-LADA0D-processed-gene-8.110-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.110&CDS=1-1323	YMR062C
OG0001722	genemark-LADA0D-processed-gene-8.128-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.128&CDS=1-1947	YMR061W
OG0001723	augustus_masked-LADA0D-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.18&CDS=1-882	YMR060C
OG0001724	genemark-LADA0D-processed-gene-8.129-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.129&CDS=1-339	YMR059W
OG0001725	genemark-LADA0D-processed-gene-8.112-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.112&CDS=1-1173	YKL077W
OG0001726	genemark-LADA0D-processed-gene-8.130-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.130&CDS=1-1140	YKL075C
OG0001727	genemark-LADA0D-processed-gene-8.113-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.113&CDS=1-906	YMR055C
OG0001728	augustus_masked-LADA0D-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.38&CDS=1-1416	YKL074C
OG0001729	augustus_masked-LADA0D-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.21&CDS=1-2646	YKL073W
OG0001730	augustus_masked-LADA0D-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.40&CDS=1-606	YMR052W
OG0001731	genemark-LADA0D-processed-gene-8.116-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.116&CDS=1-531	YKL069W
OG0001732	genemark-LADA0D-processed-gene-8.117-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.117&CDS=1-2493	YMR049C
OG0001733	genemark-LADA0D-processed-gene-8.135-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.135&CDS=1-834	YMR048W
OG0001734	snap_masked-LADA0D-processed-gene-8.69-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-8.69&CDS=1-222	YKL068W-A
OG0001735	genemark-LADA0D-processed-gene-8.118-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.118&CDS=1-3621	YKL068W
OG0001736	augustus_masked-LADA0D-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.42&CDS=1-1290	YMR044W
