	Saccharomyces_cerevisiae	yHMPu5000035654_Tortispora_ganteri
OG0001208	YGL008C	augustus_masked-flattened_line_4-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.122&CDS=1-2685
OG0001209	YGL009C	augustus_masked-flattened_line_14-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.85&CDS=1-2340
OG0001210	YGL010W	augustus_masked-flattened_line_4-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.97&CDS=1-663
OG0001211	YGL012W	augustus_masked-flattened_line_6-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.69&CDS=1-2277
OG0001212	YGL017W	augustus_masked-flattened_line_16-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.111&CDS=1-1002
OG0001213	YGL018C	augustus_masked-flattened_line_6-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.73&CDS=1-594
OG0001214	YGL019W	augustus_masked-flattened_line_42-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.131&CDS=1-1488
OG0001215	YGL022W	augustus_masked-flattened_line_14-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.100&CDS=1-2157
OG0001216	YGL023C	snap_masked-flattened_line_6-processed-gene-3.8-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.8&CDS=1-768
OG0001217	YGL026C	augustus_masked-flattened_line_16-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.117&CDS=1-2088
OG0001218	YGL027C	augustus_masked-flattened_line_8-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.103&CDS=1-2208
OG0001219	YGL028C	augustus_masked-flattened_line_8-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.42&CDS=1-1698
OG0001220	YGL030W	augustus_masked-flattened_line_18-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.86&CDS=1-339
OG0001221	YGL037C	augustus_masked-flattened_line_2-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.75&CDS=1-621
OG0001222	YGL040C	augustus_masked-flattened_line_14-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.107&CDS=1-1014
OG0001223	YGL041W-A	augustus_masked-flattened_line_30-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.176&CDS=1-420
OG0001224	YGL043W	augustus_masked-flattened_line_2-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.73&CDS=1-879
OG0001225	YGL044C	augustus_masked-flattened_line_16-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.106&CDS=1-870
OG0001226	YGL045W	augustus_masked-flattened_line_40-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.73&CDS=1-1953
OG0001227	YGL047W	augustus_masked-flattened_line_42-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.118&CDS=1-564
OG0001228	YGL048C	maker-flattened_line_0-augustus-gene-3.1-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.1&CDS=1-1191
OG0001229	YGL050W	augustus_masked-flattened_line_24-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.104&CDS=1-630
OG0001230	YGL054C	augustus_masked-flattened_line_54-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.118&CDS=1-405
OG0001231	YGL055W	augustus_masked-flattened_line_58-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.45&CDS=1-1461
OG0001232	YGL058W	maker-flattened_line_0-augustus-gene-6.125-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.125&CDS=1-1512
OG0001233	YGL059W	augustus_masked-flattened_line_12-processed-gene-2.207-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.207&CDS=1-1452
OG0001234	YGL062W	augustus_masked-flattened_line_14-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.115&CDS=1-3525
OG0001235	YGL064C	augustus_masked-flattened_line_0-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.122&CDS=1-1452
OG0001236	YGL065C	augustus_masked-flattened_line_68-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.61&CDS=1-1350
OG0001237	YGL066W	genemark-flattened_line_0-processed-gene-1.140-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.140&CDS=1-1305
OG0001238	YGL067W	augustus_masked-flattened_line_40-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.27&CDS=1-1173
OG0001239	YGL068W	augustus_masked-flattened_line_22-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.162&CDS=1-516
OG0001240	YGL070C	augustus_masked-flattened_line_22-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.166&CDS=1-297
OG0001241	YGL078C	augustus_masked-flattened_line_16-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.21&CDS=1-2094
OG0001242	YGL080W	augustus_masked-flattened_line_8-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.6&CDS=1-357
OG0001243	YGL083W	augustus_masked-flattened_line_30-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.98&CDS=1-2190
OG0001244	YGL084C	augustus_masked-flattened_line_14-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.122&CDS=1-1947
OG0001245	YGL085W	maker-flattened_line_38-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.0&CDS=1-2460
OG0001246	YGL086W	augustus_masked-flattened_line_52-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.77&CDS=1-2019
OG0001247	YGL087C	augustus_masked-flattened_line_78-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.52&CDS=1-417
OG0001248	YGL091C	augustus_masked-flattened_line_14-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.11&CDS=1-984
OG0001249	YGL092W	augustus_masked-flattened_line_10-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.146&CDS=1-5490
OG0001250	YGL094C	augustus_masked-flattened_line_90-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.19&CDS=1-3150
OG0001251	YGL095C	augustus_masked-flattened_line_10-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.155&CDS=1-1746
OG0001252	YGL097W	augustus_masked-flattened_line_60-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.119&CDS=1-1494
OG0001253	YGL099W	augustus_masked-flattened_line_74-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.32&CDS=1-1596
OG0001254	YGL100W	augustus_masked-flattened_line_22-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.95&CDS=1-1038
OG0001255	YGL103W	augustus_masked-flattened_line_8-processed-gene-4.248-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.248&CDS=1-447
OG0001256	YGL105W	augustus_masked-flattened_line_52-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.70&CDS=1-1206
OG0001257	YGL106W	augustus_masked-flattened_line_38-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.33&CDS=1-426
OG0001258	YGL110C	augustus_masked-flattened_line_6-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.124&CDS=1-1500
OG0001259	YGL111W	augustus_masked-flattened_line_20-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.221&CDS=1-1188
OG0001260	YGL112C	augustus_masked-flattened_line_12-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.2&CDS=1-1296
OG0001261	YGL113W	augustus_masked-flattened_line_10-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.153&CDS=1-1485
OG0001262	YGL114W	augustus_masked-flattened_line_36-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.53&CDS=1-1938
OG0001263	YGL115W	augustus_masked-flattened_line_62-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.58&CDS=1-939
OG0001264	YGL119W	augustus_masked-flattened_line_72-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.62&CDS=1-1446
OG0001265	YGL123W	augustus_masked-flattened_line_26-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.28&CDS=1-756
OG0001266	YGL124C	augustus_masked-flattened_line_2-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.58&CDS=1-1413
OG0001267	YGL125W	augustus_masked-flattened_line_42-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.124&CDS=1-1770
OG0001268	YGL126W	augustus_masked-flattened_line_10-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.81&CDS=1-723
OG0001269	YGL127C	augustus_masked-flattened_line_8-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.65&CDS=1-357
OG0001270	YGL129C	augustus_masked-flattened_line_0-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.145&CDS=1-1302
OG0001271	YGL130W	augustus_masked-flattened_line_16-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.122&CDS=1-1182
OG0001272	YGL136C	augustus_masked-flattened_line_54-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.109&CDS=1-3798
OG0001273	YGL137W	augustus_masked-flattened_line_26-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.79&CDS=1-2478
OG0001274	YGL141W	augustus_masked-flattened_line_20-processed-gene-1.263-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.263&CDS=1-2958
OG0001275	YGL142C	augustus_masked-flattened_line_16-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.85&CDS=1-1491
OG0001276	YGL143C	augustus_masked-flattened_line_52-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.78&CDS=1-1188
OG0001277	YGL148W	augustus_masked-flattened_line_18-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.77&CDS=1-1167
OG0001278	YGL150C	augustus_masked-flattened_line_74-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.33&CDS=1-4122
OG0001279	YGL151W	augustus_masked-flattened_line_36-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.24&CDS=1-2619
OG0001280	YGL153W	augustus_masked-flattened_line_6-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.171&CDS=1-921
OG0001281	YGL155W	augustus_masked-flattened_line_8-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.84&CDS=1-966
OG0001282	YGL156W	augustus_masked-flattened_line_24-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.97&CDS=1-3273
OG0001283	YGL160W	augustus_masked-flattened_line_4-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.114&CDS=1-1479
OG0001284	YGL164C	augustus_masked-flattened_line_4-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.6&CDS=1-1620
OG0001285	YGL166W	augustus_masked-flattened_line_4-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.1&CDS=1-732
OG0001286	YGL167C	augustus_masked-flattened_line_32-processed-gene-0.283-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.283&CDS=1-2769
OG0001287	YGL169W	augustus_masked-flattened_line_8-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.93&CDS=1-1107
OG0001288	YGL171W	augustus_masked-flattened_line_8-processed-gene-4.221-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.221&CDS=1-1512
OG0001289	YGL172W	augustus_masked-flattened_line_32-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.198&CDS=1-1230
OG0001290	YGL173C	augustus_masked-flattened_line_70-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.87&CDS=1-4416
OG0001291	YGL174W	augustus_masked-flattened_line_0-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.87&CDS=1-738
OG0001292	YGL178W	augustus_masked-flattened_line_0-processed-gene-6.352-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.352&CDS=1-2583
OG0001293	YGL179C	augustus_masked-flattened_line_18-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.69&CDS=1-3348
OG0001294	YGL180W	augustus_masked-flattened_line_40-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.28&CDS=1-2850
OG0001295	YGL184C	augustus_masked-flattened_line_38-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.62&CDS=1-1254
OG0001296	YGL187C	augustus_masked-flattened_line_18-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.60&CDS=1-483
OG0001297	YGL190C	augustus_masked-flattened_line_4-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.72&CDS=1-1401
OG0001298	YGL191W	augustus_masked-flattened_line_4-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.96&CDS=1-390
OG0001299	YGL194C	augustus_masked-flattened_line_76-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.41&CDS=1-1365
OG0001300	YGL195W	snap_masked-flattened_line_6-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.30&CDS=1-8064
OG0001301	YGL196W	augustus_masked-flattened_line_4-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.76&CDS=1-1176
OG0001302	YGL198W	augustus_masked-flattened_line_10-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.158&CDS=1-669
OG0001303	YGL201C	maker-flattened_line_52-augustus-gene-0.119-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.119&CDS=1-2949
OG0001304	YGL202W	augustus_masked-flattened_line_4-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.89&CDS=1-1446
OG0001305	YGL205W	augustus_masked-flattened_line_52-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.89&CDS=1-2064
OG0001306	YGL206C	augustus_masked-flattened_line_30-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.105&CDS=1-5013
OG0001307	YGL207W	augustus_masked-flattened_line_6-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.66&CDS=1-2973
OG0001308	YGL211W	maker-flattened_line_24-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.0&CDS=1-1059
OG0001309	YGL213C	maker-flattened_line_0-augustus-gene-0.89-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.89&CDS=1-1062
OG0001310	YGL215W	augustus_masked-flattened_line_58-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.49&CDS=1-1305
OG0001311	YGL220W	maker-flattened_line_4-augustus-gene-5.69-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-5.69&CDS=1-261
OG0001312	YGL221C	augustus_masked-flattened_line_4-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.80&CDS=1-840
OG0001313	YGL225W	augustus_masked-flattened_line_14-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.135&CDS=1-999
OG0001314	YGL227W	augustus_masked-flattened_line_2-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.151&CDS=1-1578
OG0001315	YGL231C	maker-flattened_line_70-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_70-snap-gene-0.72&CDS=1-507
OG0001316	YGL233W	augustus_masked-flattened_line_26-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.51&CDS=1-2508
OG0001317	YGL234W	augustus_masked-flattened_line_40-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.36&CDS=1-2343
OG0001318	YGL236C	augustus_masked-flattened_line_44-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.172&CDS=1-2061
OG0001319	YGL237C	augustus_masked-flattened_line_36-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.91&CDS=1-954
OG0001320	YGL238W	augustus_masked-flattened_line_44-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.202&CDS=1-2850
OG0001321	YGL240W	augustus_masked-flattened_line_2-processed-gene-6.176-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.176&CDS=1-573
OG0001322	YGL241W	augustus_masked-flattened_line_12-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.134&CDS=1-3042
OG0001323	YGL242C	augustus_masked-flattened_line_28-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.59&CDS=1-531
OG0001324	YGL243W	augustus_masked-flattened_line_28-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.53&CDS=1-1029
OG0001325	YGL244W	augustus_masked-flattened_line_12-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.106&CDS=1-1587
OG0001326	YGL245W	augustus_masked-flattened_line_4-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.27&CDS=1-2103
OG0001327	YGL246C	augustus_masked-flattened_line_26-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.54&CDS=1-1116
OG0001328	YGL247W	augustus_masked-flattened_line_0-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.59&CDS=1-987
OG0001329	YGL248W	augustus_masked-flattened_line_14-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.28&CDS=1-1041
OG0001330	YGL252C	genemark-flattened_line_8-processed-gene-4.46-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.46&CDS=1-1701
OG0001331	YGL253W	maker-flattened_line_8-augustus-gene-4.86-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-4.86&CDS=1-1461
OG0001332	YGL256W	augustus_masked-flattened_line_16-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.63&CDS=1-1458
OG0001333	YGR001C	augustus_masked-flattened_line_4-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.120&CDS=1-705
OG0001334	YGR002C	augustus_masked-flattened_line_8-processed-gene-4.199-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.199&CDS=1-1221
OG0001335	YGR005C	augustus_masked-flattened_line_90-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.31&CDS=1-894
OG0001336	YGR007W	augustus_masked-flattened_line_8-processed-gene-4.242-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.242&CDS=1-1068
OG0001337	YGR009C	augustus_masked-flattened_line_24-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.98&CDS=1-1263
OG0001338	YGR012W	augustus_masked-flattened_line_2-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.74&CDS=1-1110
OG0001339	YGR014W	snap_masked-flattened_line_38-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.149&CDS=1-1986
OG0001340	YGR017W	augustus_masked-flattened_line_52-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.71&CDS=1-834
OG0001341	YGR019W	augustus_masked-flattened_line_16-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.73&CDS=1-1455
OG0001342	YGR020C	augustus_masked-flattened_line_58-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.50&CDS=1-366
OG0001343	YGR021W	augustus_masked-flattened_line_16-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.76&CDS=1-813
OG0001344	YGR024C	augustus_masked-flattened_line_10-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.56&CDS=1-792
OG0001345	YGR028W	augustus_masked-flattened_line_38-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.24&CDS=1-1599
OG0001346	YGR029W	augustus_masked-flattened_line_6-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.118&CDS=1-564
OG0001347	YGR031W	augustus_masked-flattened_line_70-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.98&CDS=1-843
OG0001348	YGR033C	augustus_masked-flattened_line_38-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.61&CDS=1-663
OG0001349	YGR036C	augustus_masked-flattened_line_8-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.77&CDS=1-633
OG0001350	YGR037C	genemark-flattened_line_78-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.71&CDS=1-597
OG0001351	YGR044C	augustus_masked-flattened_line_4-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.94&CDS=1-1179
OG0001352	YGR046W	augustus_masked-flattened_line_0-processed-gene-6.355-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.355&CDS=1-1218
OG0001353	YGR047C	augustus_masked-flattened_line_26-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.60&CDS=1-3114
OG0001354	YGR048W	snap_masked-flattened_line_64-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.82&CDS=1-1053
OG0001355	YGR055W	augustus_masked-flattened_line_8-processed-gene-4.215-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.215&CDS=1-1449
OG0001356	YGR058W	augustus_masked-flattened_line_2-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.114&CDS=1-867
OG0001357	YGR060W	augustus_masked-flattened_line_88-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.4&CDS=1-900
OG0001358	YGR061C	augustus_masked-flattened_line_64-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.65&CDS=1-5355
OG0001359	YGR062C	augustus_masked-flattened_line_10-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.140&CDS=1-843
OG0001360	YGR063C	maker-flattened_line_28-augustus-gene-0.84-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-0.84&CDS=1-330
OG0001361	YGR066C	augustus_masked-flattened_line_56-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.73&CDS=1-756
OG0001362	YGR078C	augustus_masked-flattened_line_2-processed-gene-6.171-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.171&CDS=1-609
OG0001363	YGR080W	maker-flattened_line_0-augustus-gene-1.107-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.107&CDS=1-975
OG0001364	YGR082W	augustus_masked-flattened_line_32-processed-gene-0.261-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.261&CDS=1-486
OG0001365	YGR083C	augustus_masked-flattened_line_6-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.50&CDS=1-1221
OG0001366	YGR086C	augustus_masked-flattened_line_26-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.26&CDS=1-957
OG0001367	YGR090W	augustus_masked-flattened_line_72-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.56&CDS=1-3285
OG0001368	YGR091W	genemark-flattened_line_4-processed-gene-2.172-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.172&CDS=1-1272
OG0001369	YGR093W	augustus_masked-flattened_line_8-processed-gene-4.189-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.189&CDS=1-1236
OG0001370	YGR094W	maker-flattened_line_40-augustus-gene-0.252-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.252&CDS=1-4236
OG0001371	YGR095C	augustus_masked-flattened_line_48-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.44&CDS=1-651
OG0001372	YGR096W	augustus_masked-flattened_line_8-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.71&CDS=1-906
OG0001373	YGR098C	augustus_masked-flattened_line_52-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.67&CDS=1-5949
OG0001374	YGR099W	augustus_masked-flattened_line_14-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.102&CDS=1-2553
OG0001375	YGR100W	augustus_masked-flattened_line_52-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.72&CDS=1-2724
OG0001376	YGR101W	augustus_masked-flattened_line_24-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.70&CDS=1-990
OG0001377	YGR103W	snap_masked-flattened_line_16-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.85&CDS=1-1929
