	Saccharomyces_cerevisiae	yHMPu5000034754_Lipomyces_arxii
OG0001488	YGR089W	genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.100&CDS=1-2853
OG0001489	YGR090W	maker-NODE_4_length_289952_cov_11.2436_ID_7-augustus-gene-0.94-mRNA-1_1&gene=maker-NODE_4_length_289952_cov_11.2436_ID_7-augustus-gene-0.94&CDS=1-3459
OG0001490	YGR091W	genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.126&CDS=1-1176
OG0001491	YGR093W	genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.153&CDS=1-1626
OG0001492	YGR094W	genemark-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.143&CDS=1-3141
OG0001493	YGR095C	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.159-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.159&CDS=1-726
OG0001494	YGR096W	genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.138&CDS=1-1029
OG0001495	YGR098C	genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.109&CDS=1-4569
OG0001496	YGR099W	genemark-NODE_129_length_39814_cov_11.8547_ID_257-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_129_length_39814_cov_11.8547_ID_257-processed-gene-0.44&CDS=1-2694
OG0001497	YGR100W	genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.28&CDS=1-2610
OG0001498	YGR103W	genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.69&CDS=1-1890
OG0001499	YGR104C	genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.86&CDS=1-768
OG0001500	YGR105W	maker-NODE_75_length_78762_cov_11.5555_ID_149-augustus-gene-0.49-mRNA-1_1&gene=maker-NODE_75_length_78762_cov_11.5555_ID_149-augustus-gene-0.49&CDS=1-297
OG0001501	YGR110W	genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.110-mRNA-1_1&gene=genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.110&CDS=1-1317
OG0001502	YGR112W	maker-NODE_3_length_308411_cov_11.3318_ID_5-snap-gene-2.170-mRNA-1_1&gene=maker-NODE_3_length_308411_cov_11.3318_ID_5-snap-gene-2.170&CDS=1-1140
OG0001503	YGR113W	snap_masked-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.145&CDS=1-321
OG0001504	YGR116W	genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.82&CDS=1-4332
OG0001505	YGR119C	genemark-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.108&CDS=1-1038
OG0001506	YGR123C	genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.104-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.104&CDS=1-1665
OG0001507	YGR124W	maker-NODE_19_length_212853_cov_11.6979_ID_37-snap-gene-1.69-mRNA-1_1&gene=maker-NODE_19_length_212853_cov_11.6979_ID_37-snap-gene-1.69&CDS=1-1698
OG0001508	YGR125W	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.124-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.124&CDS=1-3438
OG0001509	YGR127W	augustus_masked-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.4&CDS=1-1185
OG0001510	YGR128C	genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.10&CDS=1-2073
OG0001511	YGR132C	augustus_masked-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.296-mRNA-1_1&gene=augustus_masked-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.296&CDS=1-918
OG0001512	YGR133W	genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.48&CDS=1-501
OG0001513	YGR135W	maker-NODE_9_length_249165_cov_11.2857_ID_17-augustus-gene-0.18-mRNA-1_1&gene=maker-NODE_9_length_249165_cov_11.2857_ID_17-augustus-gene-0.18&CDS=1-777
OG0001514	YGR144W	genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.0&CDS=1-939
OG0001515	YGR145W	genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-0.5&CDS=1-1740
OG0001516	YGR147C	genemark-NODE_91_length_65902_cov_11.5626_ID_181-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_91_length_65902_cov_11.5626_ID_181-processed-gene-0.49&CDS=1-762
OG0001517	YGR149W	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.165-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.165&CDS=1-1434
OG0001518	YGR152C	genemark-NODE_103_length_57922_cov_13.1606_ID_205-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_103_length_57922_cov_13.1606_ID_205-processed-gene-0.54&CDS=1-735
OG0001519	YGR155W	genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.176-mRNA-1_1&gene=genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.176&CDS=1-1665
OG0001520	YGR157W	genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.94&CDS=1-1152
OG0001521	YGR158C	genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.75&CDS=1-954
OG0001522	YGR159C	genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.145-mRNA-1_1&gene=genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.145&CDS=1-1737
OG0001523	YGR163W	genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.50&CDS=1-1035
OG0001524	YGR165W	genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.29&CDS=1-1020
OG0001525	YGR167W	genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.157-mRNA-1_1&gene=genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.157&CDS=1-660
OG0001526	YGR170W	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.193-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.193&CDS=1-3270
OG0001527	YGR171C	snap_masked-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.50&CDS=1-1812
OG0001528	YGR172C	genemark-NODE_219_length_17389_cov_12.7052_ID_437-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_219_length_17389_cov_12.7052_ID_437-processed-gene-0.32&CDS=1-786
OG0001529	YGR173W	augustus_masked-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.175&CDS=1-1101
OG0001530	YGR174C	snap_masked-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.45&CDS=1-414
OG0001531	YGR175C	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.56&CDS=1-1380
OG0001532	YGR178C	snap_masked-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.66&CDS=1-3141
OG0001533	YGR181W	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.238-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.238&CDS=1-315
OG0001534	YGR184C	maker-NODE_37_length_135032_cov_14.2843_ID_73-augustus-gene-0.126-mRNA-1_1&gene=maker-NODE_37_length_135032_cov_14.2843_ID_73-augustus-gene-0.126&CDS=1-5973
OG0001535	YGR185C	genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.3&CDS=1-1245
OG0001536	YGR186W	maker-NODE_37_length_135032_cov_14.2843_ID_73-augustus-gene-0.124-mRNA-1_1&gene=maker-NODE_37_length_135032_cov_14.2843_ID_73-augustus-gene-0.124&CDS=1-1173
OG0001537	YGR187C	genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.50&CDS=1-1086
OG0001538	YGR188C	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.130-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.130&CDS=1-3483
OG0001539	YGR189C	snap_masked-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.157-mRNA-1_1&gene=snap_masked-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.157&CDS=1-1695
OG0001540	YGR193C	augustus_masked-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.60&CDS=1-1038
OG0001541	YGR194C	genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.214-mRNA-1_1&gene=genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.214&CDS=1-1890
OG0001542	YGR195W	genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.67-mRNA-1_1&gene=genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.67&CDS=1-735
OG0001543	YGR200C	genemark-NODE_170_length_27337_cov_11.8734_ID_339-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_170_length_27337_cov_11.8734_ID_339-processed-gene-0.44&CDS=1-2580
OG0001544	YGR202C	maker-NODE_20_length_209916_cov_11.68_ID_39-augustus-gene-1.121-mRNA-1_1&gene=maker-NODE_20_length_209916_cov_11.68_ID_39-augustus-gene-1.121&CDS=1-1170
OG0001545	YGR203W	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.168-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.168&CDS=1-450
OG0001546	YGR205W	genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.60&CDS=1-921
OG0001547	YGR207C	genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.54&CDS=1-789
OG0001548	YGR208W	genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.49&CDS=1-918
OG0001549	YGR210C	snap_masked-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.205-mRNA-1_1&gene=snap_masked-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.205&CDS=1-1326
OG0001550	YGR211W	genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.70&CDS=1-1353
OG0001551	YGR215W	genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.197-mRNA-1_1&gene=genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.197&CDS=1-312
OG0001552	YGR216C	maker-NODE_6_length_284188_cov_11.2289_ID_11-augustus-gene-1.26-mRNA-1_1&gene=maker-NODE_6_length_284188_cov_11.2289_ID_11-augustus-gene-1.26&CDS=1-2496
OG0001553	YGR217W	maker-NODE_13_length_234993_cov_11.5573_ID_25-snap-gene-1.77-mRNA-1_1&gene=maker-NODE_13_length_234993_cov_11.5573_ID_25-snap-gene-1.77&CDS=1-5799
OG0001554	YGR218W	maker-NODE_7_length_273906_cov_11.6642_ID_13-snap-gene-1.287-mRNA-1_1&gene=maker-NODE_7_length_273906_cov_11.6642_ID_13-snap-gene-1.287&CDS=1-3240
OG0001555	YGR220C	augustus_masked-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.216&CDS=1-966
OG0001556	YGR223C	genemark-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-2.173-mRNA-1_1&gene=genemark-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-2.173&CDS=1-1137
OG0001557	YGR225W	genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.185-mRNA-1_1&gene=genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.185&CDS=1-1764
OG0001558	YGR227W	genemark-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-0.133&CDS=1-1443
OG0001559	YGR229C	augustus_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.7&CDS=1-1443
OG0001560	YGR230W	maker-NODE_1_length_424910_cov_11.4403_ID_1-snap-gene-1.99-mRNA-1_1&gene=maker-NODE_1_length_424910_cov_11.4403_ID_1-snap-gene-1.99&CDS=1-204
OG0001561	YGR231C	maker-NODE_26_length_177985_cov_11.2812_ID_51-augustus-gene-0.276-mRNA-1_1&gene=maker-NODE_26_length_177985_cov_11.2812_ID_51-augustus-gene-0.276&CDS=1-951
OG0001562	YGR232W	snap_masked-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.78&CDS=1-732
OG0001563	YGR233C	maker-NODE_7_length_273906_cov_11.6642_ID_13-snap-gene-1.286-mRNA-1_1&gene=maker-NODE_7_length_273906_cov_11.6642_ID_13-snap-gene-1.286&CDS=1-3381
OG0001564	YGR235C	genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.49&CDS=1-738
OG0001565	YGR244C	genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.32&CDS=1-1329
OG0001566	YGR245C	genemark-NODE_74_length_78857_cov_11.3176_ID_147-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_74_length_78857_cov_11.3176_ID_147-processed-gene-0.36&CDS=1-2262
OG0001567	YGR246C	genemark-NODE_83_length_73995_cov_12.4544_ID_165-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_83_length_73995_cov_12.4544_ID_165-processed-gene-0.26&CDS=1-1437
OG0001568	YGR247W	augustus_masked-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.170&CDS=1-1206
OG0001569	YGR252W	snap_masked-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.100&CDS=1-1419
OG0001570	YGR253C	genemark-NODE_118_length_48796_cov_11.9207_ID_235-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_118_length_48796_cov_11.9207_ID_235-processed-gene-0.14&CDS=1-756
OG0001571	YGR255C	genemark-NODE_115_length_49180_cov_14.0186_ID_229-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_115_length_49180_cov_14.0186_ID_229-processed-gene-0.21&CDS=1-1530
OG0001572	YGR257C	genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.54&CDS=1-1179
OG0001573	YGR258C	genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.52&CDS=1-2916
OG0001574	YGR261C	genemark-NODE_108_length_53958_cov_11.4862_ID_215-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_108_length_53958_cov_11.4862_ID_215-processed-gene-0.26&CDS=1-2493
OG0001575	YGR262C	genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.183-mRNA-1_1&gene=genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.183&CDS=1-864
OG0001576	YGR263C	genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.105-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.105&CDS=1-1071
OG0001577	YGR264C	augustus_masked-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.219&CDS=1-1926
OG0001578	YGR266W	genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_65_length_90892_cov_11.2911_ID_129-processed-gene-0.55&CDS=1-2430
OG0001579	YGR267C	genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.99&CDS=1-990
OG0001580	YGR268C	snap_masked-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.64&CDS=1-870
OG0001581	YGR270W	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.137-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.137&CDS=1-4005
OG0001582	YGR271C-A	genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.88&CDS=1-696
OG0001583	YGR271W	snap_masked-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.85&CDS=1-6048
OG0001584	YGR274C	maker-NODE_20_length_209916_cov_11.68_ID_39-augustus-gene-0.73-mRNA-1_1&gene=maker-NODE_20_length_209916_cov_11.68_ID_39-augustus-gene-0.73&CDS=1-1773
OG0001585	YGR276C	genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.175-mRNA-1_1&gene=genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.175&CDS=1-2073
OG0001586	YGR277C	genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.91&CDS=1-1056
OG0001587	YGR278W	genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.213-mRNA-1_1&gene=genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.213&CDS=1-2193
OG0001588	YGR280C	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.47&CDS=1-1053
OG0001589	YGR282C	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.65&CDS=1-918
OG0001590	YGR284C	snap_masked-NODE_54_length_101673_cov_11.2356_ID_107-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_54_length_101673_cov_11.2356_ID_107-processed-gene-0.74&CDS=1-999
OG0001591	YGR285C	genemark-NODE_96_length_63227_cov_12.2591_ID_191-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_96_length_63227_cov_12.2591_ID_191-processed-gene-0.85&CDS=1-1314
OG0001592	YGR286C	genemark-NODE_197_length_19606_cov_10.7649_ID_393-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_197_length_19606_cov_10.7649_ID_393-processed-gene-0.26&CDS=1-1314
OG0001593	YHL002W	maker-NODE_19_length_212853_cov_11.6979_ID_37-snap-gene-0.62-mRNA-1_1&gene=maker-NODE_19_length_212853_cov_11.6979_ID_37-snap-gene-0.62&CDS=1-2787
OG0001594	YHL004W	snap_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.108&CDS=1-1584
OG0001595	YHL007C	genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.104&CDS=1-2709
OG0001596	YHL008C	genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.69&CDS=1-1041
OG0001597	YHL010C	genemark-NODE_35_length_136208_cov_11.4011_ID_69-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_35_length_136208_cov_11.4011_ID_69-processed-gene-0.46&CDS=1-1869
OG0001598	YHL013C	genemark-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.25&CDS=1-981
OG0001599	YHL015W	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.50&CDS=1-351
OG0001600	YHL016C	maker-NODE_82_length_74651_cov_11.0343_ID_163-augustus-gene-0.127-mRNA-1_1&gene=maker-NODE_82_length_74651_cov_11.0343_ID_163-augustus-gene-0.127&CDS=1-2085
OG0001601	YHL020C	snap_masked-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.70&CDS=1-999
OG0001602	YHL021C	genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.29-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.29&CDS=1-1380
OG0001603	YHL022C	maker-NODE_9_length_249165_cov_11.2857_ID_17-augustus-gene-1.271-mRNA-1_1&gene=maker-NODE_9_length_249165_cov_11.2857_ID_17-augustus-gene-1.271&CDS=1-1185
OG0001604	YHL023C	augustus_masked-NODE_75_length_78762_cov_11.5555_ID_149-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_75_length_78762_cov_11.5555_ID_149-processed-gene-0.34&CDS=1-4122
OG0001605	YHL024W	maker-NODE_3_length_308411_cov_11.3318_ID_5-snap-gene-2.183-mRNA-1_1&gene=maker-NODE_3_length_308411_cov_11.3318_ID_5-snap-gene-2.183&CDS=1-1788
OG0001606	YHL027W	augustus_masked-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.234&CDS=1-1908
OG0001607	YHL028W	genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.86&CDS=1-1257
OG0001608	YHL030W	augustus_masked-NODE_105_length_56663_cov_13.4377_ID_209-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_105_length_56663_cov_13.4377_ID_209-processed-gene-0.15&CDS=1-4851
OG0001609	YHL031C	genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.234-mRNA-1_1&gene=genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.234&CDS=1-687
OG0001610	YHR001W-A	genemark-NODE_130_length_39720_cov_11.8298_ID_259-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_130_length_39720_cov_11.8298_ID_259-processed-gene-0.3&CDS=1-219
OG0001611	YHR002W	augustus_masked-NODE_91_length_65902_cov_11.5626_ID_181-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_91_length_65902_cov_11.5626_ID_181-processed-gene-0.62&CDS=1-1143
OG0001612	YHR004C	genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.153-mRNA-1_1&gene=genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.153&CDS=1-1485
OG0001613	YHR005C	augustus_masked-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.286-mRNA-1_1&gene=augustus_masked-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.286&CDS=1-1062
OG0001614	YHR005C-A	genemark-NODE_27_length_161307_cov_11.5293_ID_53-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_27_length_161307_cov_11.5293_ID_53-processed-gene-0.226&CDS=1-264
