	Saccharomyces_cerevisiae	yHMPu5000035037_Candida_montana
OG0001991	YJL083W	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-3.99&CDS=1-1848
OG0001992	YJL084C	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.74&CDS=1-3240
OG0001993	YJL085W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.102&CDS=1-1737
OG0001994	YJL087C	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.68&CDS=1-2478
OG0001995	YJL088W	augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.24&CDS=1-1035
OG0001996	YJL090C	snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.130&CDS=1-2004
OG0001997	YJL091C	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.0&CDS=1-1473
OG0001998	YJL092W	snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.97&CDS=1-2694
OG0001999	YJL094C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.31&CDS=1-2187
OG0002000	YJL095W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.26&CDS=1-3936
OG0002001	YJL096W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.25&CDS=1-537
OG0002002	YJL097W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.42&CDS=1-687
OG0002003	YJL100W	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.37&CDS=1-2130
OG0002004	YJL101C	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.127&CDS=1-2022
OG0002005	YJL102W	genemark-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.67&CDS=1-2316
OG0002006	YJL104W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.74&CDS=1-405
OG0002007	YJL106W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.75&CDS=1-2094
OG0002008	YJL108C	maker-NODE_5_length_745227_cov_21.5169_ID_9-augustus-gene-2.139-mRNA-1_1&gene=maker-NODE_5_length_745227_cov_21.5169_ID_9-augustus-gene-2.139&CDS=1-2703
OG0002009	YJL109C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-2.57&CDS=1-5226
OG0002010	YJL111W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-5.70&CDS=1-1653
OG0002011	YJL115W	augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-0.102&CDS=1-735
OG0002012	YJL117W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.64&CDS=1-924
OG0002013	YJL121C	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.37&CDS=1-708
OG0002014	YJL122W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.13&CDS=1-489
OG0002015	YJL123C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.69&CDS=1-1341
OG0002016	YJL124C	maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-4.5-mRNA-1_1&gene=maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-4.5&CDS=1-516
OG0002017	YJL125C	maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-4.4-mRNA-1_1&gene=maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-4.4&CDS=1-1665
OG0002018	YJL126W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.88&CDS=1-912
OG0002019	YJL128C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.90&CDS=1-3342
OG0002020	YJL130C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.89&CDS=1-6708
OG0002021	YJL131C	snap_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.27&CDS=1-1254
OG0002022	YJL132W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.50&CDS=1-2235
OG0002023	YJL139C	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.206-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.206&CDS=1-1260
OG0002024	YJL140W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.183-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.183&CDS=1-609
OG0002025	YJL141C	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.159&CDS=1-2004
OG0002026	YJL143W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.161-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.161&CDS=1-459
OG0002027	YJL145W	augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.25&CDS=1-846
OG0002028	YJL148W	augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.142&CDS=1-735
OG0002029	YJL149W	snap_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-3.132-mRNA-1_1&gene=snap_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-3.132&CDS=1-1611
OG0002030	YJL153C	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.36&CDS=1-1590
OG0002031	YJL154C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.46&CDS=1-2352
OG0002032	YJL155C	snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.230-mRNA-1_1&gene=snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.230&CDS=1-1350
OG0002033	YJL156C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.48&CDS=1-2124
OG0002034	YJL157C	snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.41&CDS=1-2520
OG0002035	YJL158C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-3.33&CDS=1-693
OG0002036	YJL163C	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-4.34&CDS=1-1752
OG0002037	YJL166W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.90&CDS=1-285
OG0002038	YJL167W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.66&CDS=1-1056
OG0002039	YJL168C	augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.199&CDS=1-2394
OG0002040	YJL171C	augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.201&CDS=1-1200
OG0002041	YJL176C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.173&CDS=1-1776
OG0002042	YJL178C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.175&CDS=1-819
OG0002043	YJL179W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.208-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.208&CDS=1-366
OG0002044	YJL180C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.176-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.176&CDS=1-909
OG0002045	YJL183W	genemark-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.108-mRNA-1_1&gene=genemark-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.108&CDS=1-1239
OG0002046	YJL187C	augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.128&CDS=1-2622
OG0002047	YJL190C	augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.155&CDS=1-390
OG0002048	YJL192C	augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.152&CDS=1-756
OG0002049	YJL194W	augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-0.76&CDS=1-1950
OG0002050	YJL197W	maker-NODE_5_length_745227_cov_21.5169_ID_9-augustus-gene-4.157-mRNA-1_1&gene=maker-NODE_5_length_745227_cov_21.5169_ID_9-augustus-gene-4.157&CDS=1-4701
OG0002051	YJL200C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.97&CDS=1-2394
OG0002052	YJL201W	augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.200&CDS=1-1590
OG0002053	YJL203W	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.23&CDS=1-1263
OG0002054	YJL204C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.130&CDS=1-2310
OG0002055	YJL207C	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.40&CDS=1-5733
OG0002056	YJL208C	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.39&CDS=1-966
OG0002057	YJL212C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-4.59&CDS=1-2334
OG0002058	YJR001W	augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.147&CDS=1-1629
OG0002059	YJR002W	augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.145&CDS=1-1776
OG0002060	YJR003C	snap_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.42&CDS=1-1569
OG0002061	YJR004C	snap_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.44&CDS=1-2292
OG0002062	YJR005W	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-6.64&CDS=1-2034
OG0002063	YJR006W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.171&CDS=1-1425
OG0002064	YJR007W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.43&CDS=1-909
OG0002065	YJR008W	snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-6.109-mRNA-1_1&gene=snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-6.109&CDS=1-843
OG0002066	YJR010C-A	snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-8.45-mRNA-1_1&gene=snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-8.45&CDS=1-276
OG0002067	YJR010W	augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.123&CDS=1-1527
OG0002068	YJR013W	maker-NODE_22_length_186515_cov_21.886_ID_43-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_22_length_186515_cov_21.886_ID_43-snap-gene-0.6&CDS=1-2154
OG0002069	YJR014W	maker-NODE_22_length_186515_cov_21.886_ID_43-augustus-gene-0.88-mRNA-1_1&gene=maker-NODE_22_length_186515_cov_21.886_ID_43-augustus-gene-0.88&CDS=1-576
OG0002070	YJR016C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-5.65&CDS=1-1767
OG0002071	YJR019C	augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.88&CDS=1-1023
OG0002072	YJR022W	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.25&CDS=1-294
OG0002073	YJR024C	snap_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.245-mRNA-1_1&gene=snap_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.245&CDS=1-765
OG0002074	YJR025C	maker-NODE_15_length_311180_cov_37.0353_ID_29-augustus-gene-1.112-mRNA-1_1&gene=maker-NODE_15_length_311180_cov_37.0353_ID_29-augustus-gene-1.112&CDS=1-510
OG0002075	YJR033C	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.84&CDS=1-3945
OG0002076	YJR035W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.109&CDS=1-2994
OG0002077	YJR036C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.150&CDS=1-2448
OG0002078	YJR040W	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.153&CDS=1-2250
OG0002079	YJR041C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.133&CDS=1-3459
OG0002080	YJR042W	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.152&CDS=1-2385
OG0002081	YJR044C	maker-NODE_16_length_279875_cov_21.5789_ID_31-augustus-gene-1.284-mRNA-1_1&gene=maker-NODE_16_length_279875_cov_21.5789_ID_31-augustus-gene-1.284&CDS=1-411
OG0002082	YJR047C	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-0.37&CDS=1-465
OG0002083	YJR048W	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.131&CDS=1-330
OG0002084	YJR050W	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.155&CDS=1-729
OG0002085	YJR052W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.139&CDS=1-1788
OG0002086	YJR055W	genemark-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.100-mRNA-1_1&gene=genemark-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-4.100&CDS=1-462
OG0002087	YJR057W	maker-NODE_8_length_699131_cov_28.927_ID_15-augustus-gene-1.57-mRNA-1_1&gene=maker-NODE_8_length_699131_cov_28.927_ID_15-augustus-gene-1.57&CDS=1-630
OG0002088	YJR060W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.113&CDS=1-633
OG0002089	YJR062C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.134&CDS=1-1047
OG0002090	YJR063W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.139&CDS=1-294
OG0002091	YJR064W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.164&CDS=1-1644
OG0002092	YJR065C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.138&CDS=1-1269
OG0002093	YJR068W	maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-3.98-mRNA-1_1&gene=maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-3.98&CDS=1-1092
OG0002094	YJR069C	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-7.40&CDS=1-588
OG0002095	YJR070C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.165&CDS=1-948
OG0002096	YJR072C	snap_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.53&CDS=1-1158
OG0002097	YJR073C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.21&CDS=1-633
OG0002098	YJR074W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-2.37&CDS=1-639
OG0002099	YJR075W	maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-2.128-mRNA-1_1&gene=maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-2.128&CDS=1-2058
OG0002100	YJR076C	augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.119&CDS=1-1182
OG0002101	YJR077C	augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.121&CDS=1-903
OG0002102	YJR078W	augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.81&CDS=1-1446
OG0002103	YJR080C	augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.101&CDS=1-1182
OG0002104	YJR082C	augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-0.82&CDS=1-369
OG0002105	YJR084W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.143-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.143&CDS=1-1272
OG0002106	YJR085C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.168-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.168&CDS=1-321
OG0002107	YJR086W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.144-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.144&CDS=1-288
OG0002108	YJR088C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.170-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-12.170&CDS=1-930
OG0002109	YJR089W	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.29&CDS=1-2661
OG0002110	YJR090C	genemark-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.159-mRNA-1_1&gene=genemark-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.159&CDS=1-2079
OG0002111	YJR092W	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.30&CDS=1-4764
OG0002112	YJR093C	augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-1.72&CDS=1-951
