	Saccharomyces_cerevisiae	yHMPu5000034612_Saturnispora_saitoi
OG0001286	YGL020C	augustus_masked-flattened_line_16-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.77&CDS=1-531
OG0001287	YGL022W	augustus_masked-flattened_line_2-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.1&CDS=1-2199
OG0001288	YGL026C	augustus_masked-flattened_line_8-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.31&CDS=1-2103
OG0001289	YGL027C	maker-flattened_line_8-augustus-gene-0.82-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.82&CDS=1-5055
OG0001290	YGL028C	augustus_masked-flattened_line_27-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.37&CDS=1-1806
OG0001291	YGL030W	augustus_masked-flattened_line_27-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.61&CDS=1-288
OG0001292	YGL037C	augustus_masked-flattened_line_0-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.36&CDS=1-675
OG0001293	YGL038C	maker-flattened_line_0-augustus-gene-6.87-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.87&CDS=1-2442
OG0001294	YGL040C	augustus_masked-flattened_line_12-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.101&CDS=1-1035
OG0001295	YGL043W	snap_masked-flattened_line_39-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.76&CDS=1-846
OG0001296	YGL045W	augustus_masked-flattened_line_2-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.30&CDS=1-1770
OG0001297	YGL047W	augustus_masked-flattened_line_0-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.53&CDS=1-579
OG0001298	YGL048C	augustus_masked-flattened_line_10-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.29&CDS=1-1191
OG0001299	YGL050W	augustus_masked-flattened_line_43-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.111&CDS=1-816
OG0001300	YGL054C	augustus_masked-flattened_line_8-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.142&CDS=1-414
OG0001301	YGL055W	augustus_masked-flattened_line_16-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.23&CDS=1-1497
OG0001302	YGL058W	augustus_masked-flattened_line_16-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.33&CDS=1-543
OG0001303	YGL059W	augustus_masked-flattened_line_20-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.22&CDS=1-1272
OG0001304	YGL064C	snap_masked-flattened_line_29-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.107&CDS=1-1587
OG0001305	YGL065C	genemark-flattened_line_2-processed-gene-5.77-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.77&CDS=1-1257
OG0001306	YGL066W	augustus_masked-flattened_line_16-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.12&CDS=1-1572
OG0001307	YGL067W	augustus_masked-flattened_line_16-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.102&CDS=1-1092
OG0001308	YGL068W	augustus_masked-flattened_line_6-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.33&CDS=1-528
OG0001309	YGL070C	augustus_masked-flattened_line_6-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.58&CDS=1-336
OG0001310	YGL073W	augustus_masked-flattened_line_10-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.18&CDS=1-1881
OG0001311	YGL078C	augustus_masked-flattened_line_33-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.140&CDS=1-2745
OG0001312	YGL079W	augustus_masked-flattened_line_29-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.63&CDS=1-504
OG0001313	YGL080W	augustus_masked-flattened_line_0-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.137&CDS=1-369
OG0001314	YGL083W	augustus_masked-flattened_line_2-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.19&CDS=1-2451
OG0001315	YGL084C	augustus_masked-flattened_line_2-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.13&CDS=1-1647
OG0001316	YGL085W	augustus_masked-flattened_line_2-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.34&CDS=1-678
OG0001317	YGL087C	augustus_masked-flattened_line_35-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.152&CDS=1-414
OG0001318	YGL091C	augustus_masked-flattened_line_53-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.27&CDS=1-915
OG0001319	YGL092W	snap_masked-flattened_line_53-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.45&CDS=1-2421
OG0001320	YGL094C	genemark-flattened_line_0-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.100&CDS=1-6345
OG0001321	YGL095C	augustus_masked-flattened_line_0-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.19&CDS=1-1704
OG0001322	YGL097W	augustus_masked-flattened_line_16-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.136&CDS=1-1434
OG0001323	YGL098W	augustus_masked-flattened_line_2-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.9&CDS=1-657
OG0001324	YGL099W	augustus_masked-flattened_line_25-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.146&CDS=1-2190
OG0001325	YGL100W	augustus_masked-flattened_line_23-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.78&CDS=1-957
OG0001326	YGL103W	maker-flattened_line_23-augustus-gene-1.318-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-1.318&CDS=1-441
OG0001327	YGL106W	augustus_masked-flattened_line_23-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.246&CDS=1-429
OG0001328	YGL110C	augustus_masked-flattened_line_23-processed-gene-1.227-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.227&CDS=1-1899
OG0001329	YGL111W	augustus_masked-flattened_line_23-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.94&CDS=1-1197
OG0001330	YGL112C	augustus_masked-flattened_line_2-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.115&CDS=1-1488
OG0001331	YGL114W	augustus_masked-flattened_line_29-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.52&CDS=1-2211
OG0001332	YGL115W	augustus_masked-flattened_line_29-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.53&CDS=1-951
OG0001333	YGL119W	augustus_masked-flattened_line_4-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.36&CDS=1-1743
OG0001334	YGL122C	augustus_masked-flattened_line_20-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.154&CDS=1-1590
OG0001335	YGL123W	augustus_masked-flattened_line_20-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.135&CDS=1-747
OG0001336	YGL124C	augustus_masked-flattened_line_14-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.37&CDS=1-2031
OG0001337	YGL125W	augustus_masked-flattened_line_4-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.38&CDS=1-1860
OG0001338	YGL126W	augustus_masked-flattened_line_51-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.125&CDS=1-762
OG0001339	YGL127C	augustus_masked-flattened_line_2-processed-gene-8.198-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.198&CDS=1-510
OG0001340	YGL129C	augustus_masked-flattened_line_16-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.131&CDS=1-1350
OG0001341	YGL130W	augustus_masked-flattened_line_16-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.100&CDS=1-1350
OG0001342	YGL131C	augustus_masked-flattened_line_16-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.130&CDS=1-2262
OG0001343	YGL136C	augustus_masked-flattened_line_25-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.147&CDS=1-1038
OG0001344	YGL137W	snap_masked-flattened_line_25-processed-gene-1.0-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.0&CDS=1-2547
OG0001345	YGL141W	augustus_masked-flattened_line_0-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.34&CDS=1-2319
OG0001346	YGL148W	augustus_masked-flattened_line_14-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.81&CDS=1-1122
OG0001347	YGL150C	augustus_masked-flattened_line_10-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.27&CDS=1-3810
OG0001348	YGL153W	augustus_masked-flattened_line_10-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.64&CDS=1-1035
OG0001349	YGL154C	augustus_masked-flattened_line_2-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.6&CDS=1-753
OG0001350	YGL155W	augustus_masked-flattened_line_33-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.145&CDS=1-897
OG0001351	YGL156W	augustus_masked-flattened_line_20-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.137&CDS=1-3339
OG0001352	YGL159W	augustus_masked-flattened_line_12-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.81&CDS=1-1029
OG0001353	YGL160W	augustus_masked-flattened_line_4-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.31&CDS=1-1521
OG0001354	YGL161C	augustus_masked-flattened_line_6-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.68&CDS=1-870
OG0001355	YGL163C	maker-flattened_line_20-snap-gene-1.105-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-1.105&CDS=1-4311
OG0001356	YGL164C	augustus_masked-flattened_line_27-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.65&CDS=1-1251
OG0001357	YGL167C	maker-flattened_line_22-augustus-gene-2.85-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-2.85&CDS=1-4989
OG0001358	YGL169W	snap_masked-flattened_line_51-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.64&CDS=1-1191
OG0001359	YGL171W	augustus_masked-flattened_line_8-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.121&CDS=1-1734
OG0001360	YGL172W	augustus_masked-flattened_line_8-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.5&CDS=1-2064
OG0001361	YGL173C	snap_masked-flattened_line_8-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.119&CDS=1-4350
OG0001362	YGL174W	snap_masked-flattened_line_8-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.96&CDS=1-954
OG0001363	YGL178W	augustus_masked-flattened_line_12-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.68&CDS=1-1665
OG0001364	YGL180W	genemark-flattened_line_14-processed-gene-3.180-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.180&CDS=1-2442
OG0001365	YGL181W	snap_masked-flattened_line_14-processed-gene-3.267-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.267&CDS=1-1494
OG0001366	YGL183C	maker-flattened_line_2-augustus-gene-2.4-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.4&CDS=1-1842
OG0001367	YGL184C	maker-flattened_line_4-augustus-gene-4.92-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.92&CDS=1-1917
OG0001368	YGL185C	augustus_masked-flattened_line_4-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.70&CDS=1-1122
OG0001369	YGL186C	augustus_masked-flattened_line_0-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.140&CDS=1-1719
OG0001370	YGL187C	augustus_masked-flattened_line_4-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.69&CDS=1-450
OG0001371	YGL190C	augustus_masked-flattened_line_4-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.89&CDS=1-1446
OG0001372	YGL192W	augustus_masked-flattened_line_4-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.68&CDS=1-2187
OG0001373	YGL194C	augustus_masked-flattened_line_43-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.110&CDS=1-1377
OG0001374	YGL196W	augustus_masked-flattened_line_6-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.149&CDS=1-1323
OG0001375	YGL200C	augustus_masked-flattened_line_4-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.154&CDS=1-597
OG0001376	YGL201C	augustus_masked-flattened_line_6-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.27&CDS=1-2913
OG0001377	YGL202W	augustus_masked-flattened_line_18-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.74&CDS=1-1428
OG0001378	YGL203C	augustus_masked-flattened_line_4-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.128&CDS=1-1593
OG0001379	YGL205W	augustus_masked-flattened_line_20-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.140&CDS=1-2124
OG0001380	YGL206C	augustus_masked-flattened_line_0-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.59&CDS=1-6954
OG0001381	YGL207W	augustus_masked-flattened_line_4-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.37&CDS=1-3012
OG0001382	YGL211W	augustus_masked-flattened_line_2-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.99&CDS=1-1122
OG0001383	YGL212W	augustus_masked-flattened_line_33-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.149&CDS=1-1005
OG0001384	YGL215W	augustus_masked-flattened_line_47-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.80&CDS=1-816
OG0001385	YGL216W	maker-flattened_line_20-augustus-gene-0.92-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.92&CDS=1-2412
OG0001386	YGL220W	augustus_masked-flattened_line_16-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.135&CDS=1-264
OG0001387	YGL221C	augustus_masked-flattened_line_16-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.110&CDS=1-855
OG0001388	YGL225W	augustus_masked-flattened_line_12-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.96&CDS=1-1038
OG0001389	YGL231C	augustus_masked-flattened_line_49-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.154&CDS=1-525
OG0001390	YGL232W	augustus_masked-flattened_line_16-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.84&CDS=1-810
OG0001391	YGL233W	snap_masked-flattened_line_49-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.21&CDS=1-2547
OG0001392	YGL234W	augustus_masked-flattened_line_10-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.34&CDS=1-2370
OG0001393	YGL236C	maker-flattened_line_25-snap-gene-1.140-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-1.140&CDS=1-1887
OG0001394	YGL237C	augustus_masked-flattened_line_25-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.186&CDS=1-627
OG0001395	YGL240W	augustus_masked-flattened_line_4-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.2&CDS=1-963
OG0001396	YGL241W	augustus_masked-flattened_line_2-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.129&CDS=1-3087
OG0001397	YGL243W	augustus_masked-flattened_line_37-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.149&CDS=1-1104
OG0001398	YGL244W	augustus_masked-flattened_line_2-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.111&CDS=1-1569
OG0001399	YGL245W	augustus_masked-flattened_line_2-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.112&CDS=1-2151
OG0001400	YGL246C	augustus_masked-flattened_line_27-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.10&CDS=1-1173
OG0001401	YGL248W	augustus_masked-flattened_line_10-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.25&CDS=1-1152
OG0001402	YGL251C	augustus_masked-flattened_line_6-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.63&CDS=1-3840
OG0001403	YGL252C	augustus_masked-flattened_line_22-processed-gene-2.191-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.191&CDS=1-1818
OG0001404	YGL255W	augustus_masked-flattened_line_25-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.143&CDS=1-1143
OG0001405	YGR001C	augustus_masked-flattened_line_12-processed-gene-4.182-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.182&CDS=1-696
OG0001406	YGR002C	snap_masked-flattened_line_41-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.16&CDS=1-1569
OG0001407	YGR007W	augustus_masked-flattened_line_16-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.83&CDS=1-1056
OG0001408	YGR012W	genemark-flattened_line_55-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.36&CDS=1-1140
OG0001409	YGR014W	snap_masked-flattened_line_6-processed-gene-3.98-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.98&CDS=1-3477
OG0001410	YGR020C	augustus_masked-flattened_line_14-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.88&CDS=1-351
OG0001411	YGR021W	augustus_masked-flattened_line_14-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.65&CDS=1-795
OG0001412	YGR024C	augustus_masked-flattened_line_4-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.27&CDS=1-885
OG0001413	YGR026W	augustus_masked-flattened_line_51-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.121&CDS=1-870
OG0001414	YGR028W	augustus_masked-flattened_line_10-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.63&CDS=1-987
OG0001415	YGR029W	augustus_masked-flattened_line_0-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.69&CDS=1-585
OG0001416	YGR031W	augustus_masked-flattened_line_4-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.1&CDS=1-975
OG0001417	YGR033C	augustus_masked-flattened_line_6-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.9&CDS=1-705
OG0001418	YGR036C	augustus_masked-flattened_line_22-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.60&CDS=1-690
OG0001419	YGR037C	augustus_masked-flattened_line_20-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.115&CDS=1-258
OG0001420	YGR046W	maker-flattened_line_22-augustus-gene-2.84-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-2.84&CDS=1-2244
OG0001421	YGR047C	genemark-flattened_line_2-processed-gene-4.100-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.100&CDS=1-5379
OG0001422	YGR048W	augustus_masked-flattened_line_2-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.127&CDS=1-978
OG0001423	YGR053C	augustus_masked-flattened_line_35-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.112&CDS=1-855
OG0001424	YGR054W	augustus_masked-flattened_line_6-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.46&CDS=1-1854
OG0001425	YGR057C	augustus_masked-flattened_line_4-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.62&CDS=1-726
OG0001426	YGR061C	augustus_masked-flattened_line_23-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.239&CDS=1-4017
OG0001427	YGR062C	augustus_masked-flattened_line_49-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.152&CDS=1-1008
OG0001428	YGR063C	augustus_masked-flattened_line_49-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.127&CDS=1-351
OG0001429	YGR074W	augustus_masked-flattened_line_0-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.145&CDS=1-324
OG0001430	YGR075C	augustus_masked-flattened_line_0-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.119&CDS=1-654
OG0001431	YGR076C	augustus_masked-flattened_line_0-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.122&CDS=1-492
OG0001432	YGR077C	snap_masked-flattened_line_6-processed-gene-3.110-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.110&CDS=1-1896
OG0001433	YGR078C	augustus_masked-flattened_line_6-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.56&CDS=1-594
OG0001434	YGR080W	snap_masked-flattened_line_41-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.2&CDS=1-1281
OG0001435	YGR081C	augustus_masked-flattened_line_2-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.32&CDS=1-471
OG0001436	YGR082W	augustus_masked-flattened_line_2-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.11&CDS=1-510
OG0001437	YGR083C	augustus_masked-flattened_line_4-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.169&CDS=1-1395
OG0001438	YGR084C	snap_masked-flattened_line_49-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.1&CDS=1-867
OG0001439	YGR090W	augustus_masked-flattened_line_10-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.32&CDS=1-3510
OG0001440	YGR091W	snap_masked-flattened_line_18-processed-gene-2.150-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.150&CDS=1-921
OG0001441	YGR094W	augustus_masked-flattened_line_18-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.108&CDS=1-3123
OG0001442	YGR095C	augustus_masked-flattened_line_18-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.55&CDS=1-645
OG0001443	YGR096W	augustus_masked-flattened_line_18-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.54&CDS=1-945
OG0001444	YGR098C	augustus_masked-flattened_line_2-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.131&CDS=1-5070
OG0001445	YGR099W	augustus_masked-flattened_line_22-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.41&CDS=1-2889
OG0001446	YGR100W	augustus_masked-flattened_line_18-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.119&CDS=1-2970
OG0001447	YGR102C	augustus_masked-flattened_line_23-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.223&CDS=1-453
OG0001448	YGR103W	augustus_masked-flattened_line_23-processed-gene-1.268-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.268&CDS=1-1758
OG0001449	YGR104C	augustus_masked-flattened_line_10-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.20&CDS=1-723
OG0001450	YGR105W	augustus_masked-flattened_line_39-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.63&CDS=1-213
OG0001451	YGR110W	augustus_masked-flattened_line_4-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.18&CDS=1-1344
OG0001452	YGR111W	augustus_masked-flattened_line_16-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.107&CDS=1-1107
OG0001453	YGR112W	augustus_masked-flattened_line_22-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.140&CDS=1-1086
OG0001454	YGR113W	augustus_masked-flattened_line_22-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.141&CDS=1-840
OG0001455	YGR116W	augustus_masked-flattened_line_23-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.106&CDS=1-4395
