	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
OG0001481	YGR202C	genemark-flattened_line_167-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_167-processed-gene-0.9&CDS=1-1218
OG0001482	YGR203W	genemark-flattened_line_21-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.48&CDS=1-495
OG0001483	YGR205W	genemark-flattened_line_37-processed-gene-0.196-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.196&CDS=1-861
OG0001484	YGR207C	genemark-flattened_line_13-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.42&CDS=1-786
OG0001485	YGR208W	genemark-flattened_line_21-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.90&CDS=1-915
OG0001486	YGR210C	genemark-flattened_line_5-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.137&CDS=1-1185
OG0001487	YGR211W	genemark-flattened_line_61-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.156&CDS=1-1410
OG0001488	YGR215W	genemark-flattened_line_11-processed-gene-1.161-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.161&CDS=1-303
OG0001489	YGR216C	genemark-flattened_line_29-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.105&CDS=1-2199
OG0001490	YGR217W	genemark-flattened_line_107-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_107-processed-gene-0.105&CDS=1-5868
OG0001491	YGR218W	genemark-flattened_line_77-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.32&CDS=1-3261
OG0001492	YGR220C	genemark-flattened_line_153-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.54&CDS=1-972
OG0001493	YGR223C	snap_masked-flattened_line_45-processed-gene-0.272-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.272&CDS=1-1134
OG0001494	YGR225W	genemark-flattened_line_174-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_174-processed-gene-0.62&CDS=1-1776
OG0001495	YGR227W	genemark-flattened_line_57-processed-gene-0.168-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.168&CDS=1-1329
OG0001496	YGR229C	genemark-flattened_line_7-processed-gene-2.16-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.16&CDS=1-1815
OG0001497	YGR231C	genemark-flattened_line_0-processed-gene-2.175-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.175&CDS=1-918
OG0001498	YGR232W	genemark-flattened_line_2-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.57&CDS=1-714
OG0001499	YGR233C	maker-flattened_line_91-snap-gene-0.135-mRNA-1_1&gene=maker-flattened_line_91-snap-gene-0.135&CDS=1-3432
OG0001500	YGR234W	snap_masked-flattened_line_59-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.62&CDS=1-1251
OG0001501	YGR235C	genemark-flattened_line_117-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.25&CDS=1-729
OG0001502	YGR244C	snap_masked-flattened_line_97-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.80&CDS=1-1434
OG0001503	YGR245C	snap_masked-flattened_line_153-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.94&CDS=1-2349
OG0001504	YGR246C	genemark-flattened_line_182-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.44&CDS=1-1527
OG0001505	YGR247W	genemark-flattened_line_31-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.78&CDS=1-597
OG0001506	YGR253C	genemark-flattened_line_198-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.44&CDS=1-750
OG0001507	YGR254W	genemark-flattened_line_29-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.75&CDS=1-1305
OG0001508	YGR255C	maker-flattened_line_2-augustus-gene-2.200-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.200&CDS=1-1494
OG0001509	YGR257C	genemark-flattened_line_9-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.32&CDS=1-1158
OG0001510	YGR258C	maker-flattened_line_93-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_93-snap-gene-0.72&CDS=1-2460
OG0001511	YGR261C	genemark-flattened_line_43-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.210&CDS=1-2607
OG0001512	YGR262C	genemark-flattened_line_153-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.31&CDS=1-819
OG0001513	YGR264C	genemark-flattened_line_29-processed-gene-1.62-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.62&CDS=1-1989
OG0001514	YGR266W	genemark-flattened_line_171-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_171-processed-gene-0.53&CDS=1-2331
OG0001515	YGR267C	genemark-flattened_line_103-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.70&CDS=1-984
OG0001516	YGR268C	genemark-flattened_line_103-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.56&CDS=1-561
OG0001517	YGR270W	genemark-flattened_line_83-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.37&CDS=1-3987
OG0001518	YGR271W	augustus_masked-flattened_line_35-processed-gene-0.293-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.293&CDS=1-5943
OG0001519	YGR274C	genemark-flattened_line_13-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.55&CDS=1-2541
OG0001520	YGR276C	genemark-flattened_line_91-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_91-processed-gene-0.42&CDS=1-1995
OG0001521	YGR277C	genemark-flattened_line_13-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.76&CDS=1-1077
OG0001522	YGR278W	genemark-flattened_line_57-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.175&CDS=1-2352
OG0001523	YGR280C	maker-flattened_line_241-augustus-gene-0.20-mRNA-1_1&gene=maker-flattened_line_241-augustus-gene-0.20&CDS=1-867
OG0001524	YGR281W	maker-flattened_line_73-augustus-gene-0.32-mRNA-1_1&gene=maker-flattened_line_73-augustus-gene-0.32&CDS=1-3843
OG0001525	YGR282C	augustus_masked-flattened_line_33-processed-gene-0.323-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.323&CDS=1-3174
OG0001526	YGR284C	genemark-flattened_line_31-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.69&CDS=1-915
OG0001527	YGR285C	snap_masked-flattened_line_49-processed-gene-0.202-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.202&CDS=1-1341
OG0001528	YGR286C	augustus_masked-flattened_line_226-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_226-processed-gene-0.35&CDS=1-1227
OG0001529	YHL002W	maker-flattened_line_19-snap-gene-0.51-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-0.51&CDS=1-1557
OG0001530	YHL004W	snap_masked-flattened_line_143-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.14&CDS=1-1332
OG0001531	YHL007C	genemark-flattened_line_19-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.97&CDS=1-2544
OG0001532	YHL008C	genemark-flattened_line_83-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.15&CDS=1-1104
OG0001533	YHL010C	augustus_masked-flattened_line_29-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.18&CDS=1-1854
OG0001534	YHL013C	maker-flattened_line_23-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-0.7&CDS=1-2943
OG0001535	YHL015W	genemark-flattened_line_0-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.69&CDS=1-354
OG0001536	YHL016C	genemark-flattened_line_37-processed-gene-0.235-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.235&CDS=1-2097
OG0001537	YHL020C	snap_masked-flattened_line_111-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.48&CDS=1-1305
OG0001538	YHL021C	augustus_masked-flattened_line_234-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_234-processed-gene-0.10&CDS=1-1329
OG0001539	YHL022C	maker-flattened_line_57-augustus-gene-0.126-mRNA-1_1&gene=maker-flattened_line_57-augustus-gene-0.126&CDS=1-1059
OG0001540	YHL023C	genemark-flattened_line_5-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.145&CDS=1-3090
OG0001541	YHL024W	genemark-flattened_line_155-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_155-processed-gene-0.67&CDS=1-1959
OG0001542	YHL027W	genemark-flattened_line_99-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.107&CDS=1-2145
OG0001543	YHL028W	genemark-flattened_line_47-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.104&CDS=1-1317
OG0001544	YHL030W	genemark-flattened_line_133-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.137&CDS=1-4848
OG0001545	YHL031C	genemark-flattened_line_71-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.38&CDS=1-672
OG0001546	YHL032C	genemark-flattened_line_192-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_192-processed-gene-0.58&CDS=1-1644
OG0001547	YHR001W-A	genemark-flattened_line_37-processed-gene-0.192-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.192&CDS=1-219
OG0001548	YHR002W	genemark-flattened_line_45-processed-gene-0.180-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.180&CDS=1-1152
OG0001549	YHR004C	genemark-flattened_line_67-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.14&CDS=1-1485
OG0001550	YHR005C	augustus_masked-flattened_line_13-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-1.201&CDS=1-1071
OG0001551	YHR005C-A	maker-flattened_line_0-augustus-gene-1.170-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.170&CDS=1-249
OG0001552	YHR007C	genemark-flattened_line_23-processed-gene-1.172-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.172&CDS=1-1587
OG0001553	YHR008C	genemark-flattened_line_153-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.43&CDS=1-678
OG0001554	YHR009C	genemark-flattened_line_2-processed-gene-2.163-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.163&CDS=1-1488
OG0001555	YHR011W	genemark-flattened_line_27-processed-gene-1.58-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.58&CDS=1-1485
OG0001556	YHR012W	genemark-flattened_line_63-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.52&CDS=1-561
OG0001557	YHR013C	genemark-flattened_line_63-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.19&CDS=1-579
OG0001558	YHR016C	genemark-flattened_line_73-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_73-processed-gene-0.152&CDS=1-1359
OG0001559	YHR018C	augustus_masked-flattened_line_9-processed-gene-1.288-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.288&CDS=1-2751
OG0001560	YHR019C	genemark-flattened_line_11-processed-gene-1.211-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.211&CDS=1-1689
OG0001561	YHR020W	maker-flattened_line_431-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_431-augustus-gene-0.1&CDS=1-1554
OG0001562	YHR023W	maker-flattened_line_19-snap-gene-0.42-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-0.42&CDS=1-3753
OG0001563	YHR024C	genemark-flattened_line_45-processed-gene-0.197-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.197&CDS=1-1413
OG0001564	YHR025W	genemark-flattened_line_202-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_202-processed-gene-0.18&CDS=1-960
OG0001565	YHR026W	maker-flattened_line_380-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_380-augustus-gene-0.6&CDS=1-534
OG0001566	YHR027C	genemark-flattened_line_121-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_121-processed-gene-0.56&CDS=1-2718
OG0001567	YHR028C	genemark-flattened_line_61-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.163&CDS=1-3039
OG0001568	YHR029C	snap_masked-flattened_line_79-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.12&CDS=1-921
OG0001569	YHR030C	genemark-flattened_line_103-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.86&CDS=1-1323
OG0001570	YHR037W	genemark-flattened_line_174-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_174-processed-gene-0.78&CDS=1-1635
OG0001571	YHR039C	genemark-flattened_line_29-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.102&CDS=1-1887
OG0001572	YHR039C-A	genemark-flattened_line_29-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.103&CDS=1-348
OG0001573	YHR041C	genemark-flattened_line_359-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_359-processed-gene-0.7&CDS=1-684
OG0001574	YHR042W	genemark-flattened_line_21-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.47&CDS=1-2082
OG0001575	YHR045W	genemark-flattened_line_151-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_151-processed-gene-0.39&CDS=1-1611
OG0001576	YHR048W	genemark-flattened_line_105-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.118&CDS=1-1593
OG0001577	YHR051W	maker-flattened_line_119-snap-gene-0.120-mRNA-1_1&gene=maker-flattened_line_119-snap-gene-0.120&CDS=1-375
OG0001578	YHR058C	genemark-flattened_line_87-processed-gene-0.170-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.170&CDS=1-705
OG0001579	YHR062C	genemark-flattened_line_81-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.25&CDS=1-813
OG0001580	YHR063C	augustus_masked-flattened_line_5-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.8&CDS=1-1047
OG0001581	YHR064C	genemark-flattened_line_31-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.78&CDS=1-1692
OG0001582	YHR065C	genemark-flattened_line_65-processed-gene-0.181-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.181&CDS=1-2241
OG0001583	YHR068W	genemark-flattened_line_59-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.15&CDS=1-1134
OG0001584	YHR069C	genemark-flattened_line_67-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.6&CDS=1-1146
OG0001585	YHR070W	genemark-flattened_line_67-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.21&CDS=1-1377
OG0001586	YHR072W	maker-flattened_line_13-augustus-gene-1.302-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-1.302&CDS=1-2202
OG0001587	YHR072W-A	genemark-flattened_line_13-processed-gene-1.26-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.26&CDS=1-192
OG0001588	YHR073W	maker-flattened_line_103-snap-gene-0.175-mRNA-1_1&gene=maker-flattened_line_103-snap-gene-0.175&CDS=1-2523
OG0001589	YHR074W	genemark-flattened_line_65-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.143&CDS=1-2106
OG0001590	YHR075C	genemark-flattened_line_69-processed-gene-0.139-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.139&CDS=1-1212
OG0001591	YHR076W	genemark-flattened_line_174-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_174-processed-gene-0.79&CDS=1-1356
OG0001592	YHR077C	genemark-flattened_line_149-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_149-processed-gene-0.72&CDS=1-3381
OG0001593	YHR078W	genemark-flattened_line_121-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_121-processed-gene-0.51&CDS=1-1458
OG0001594	YHR079C	genemark-flattened_line_25-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.28&CDS=1-3357
OG0001595	YHR079C-A	snap_masked-flattened_line_178-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_178-processed-gene-0.11&CDS=1-915
OG0001596	YHR084W	genemark-flattened_line_25-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.7&CDS=1-2391
OG0001597	YHR085W	genemark-flattened_line_85-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_85-processed-gene-0.59&CDS=1-993
OG0001598	YHR086W	maker-flattened_line_95-augustus-gene-0.99-mRNA-1_1&gene=maker-flattened_line_95-augustus-gene-0.99&CDS=1-1428
OG0001599	YHR087W	genemark-flattened_line_45-processed-gene-0.200-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.200&CDS=1-342
OG0001600	YHR088W	genemark-flattened_line_9-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.88&CDS=1-927
OG0001601	YHR089C	genemark-flattened_line_2-processed-gene-2.132-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.132&CDS=1-636
OG0001602	YHR090C	genemark-flattened_line_17-processed-gene-1.255-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.255&CDS=1-795
OG0001603	YHR098C	genemark-flattened_line_171-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_171-processed-gene-0.50&CDS=1-2679
OG0001604	YHR099W	genemark-flattened_line_111-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.81&CDS=1-11397
OG0001605	YHR100C	genemark-flattened_line_216-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.19&CDS=1-609
OG0001606	YHR102W	genemark-flattened_line_216-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.25&CDS=1-2766
OG0001607	YHR104W	genemark-flattened_line_0-processed-gene-3.60-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.60&CDS=1-960
OG0001608	YHR107C	genemark-flattened_line_151-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_151-processed-gene-0.48&CDS=1-1128
OG0001609	YHR111W	augustus_masked-flattened_line_198-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_198-processed-gene-0.13&CDS=1-1263
OG0001610	YHR112C	genemark-flattened_line_105-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.122&CDS=1-1164
OG0001611	YHR113W	genemark-flattened_line_214-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.52&CDS=1-1473
OG0001612	YHR114W	genemark-flattened_line_5-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.163&CDS=1-2079
OG0001613	YHR116W	genemark-flattened_line_53-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.114&CDS=1-375
OG0001614	YHR119W	maker-flattened_line_75-augustus-gene-0.40-mRNA-1_1&gene=maker-flattened_line_75-augustus-gene-0.40&CDS=1-3600
OG0001615	YHR120W	genemark-flattened_line_73-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_73-processed-gene-0.146&CDS=1-3231
OG0001616	YHR121W	genemark-flattened_line_29-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.49&CDS=1-615
OG0001617	YHR122W	genemark-flattened_line_7-processed-gene-2.37-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.37&CDS=1-711
OG0001618	YHR124W	genemark-flattened_line_39-processed-gene-0.196-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.196&CDS=1-1050
OG0001619	YHR128W	genemark-flattened_line_65-processed-gene-0.188-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.188&CDS=1-675
OG0001620	YHR134W	genemark-flattened_line_45-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.149&CDS=1-990
OG0001621	YHR138C	genemark-flattened_line_51-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.151&CDS=1-222
OG0001622	YHR142W	genemark-flattened_line_49-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.71&CDS=1-1011
OG0001623	YHR144C	augustus_masked-flattened_line_33-processed-gene-0.292-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.292&CDS=1-1035
OG0001624	YHR147C	genemark-flattened_line_129-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.44&CDS=1-642
OG0001625	YHR148W	genemark-flattened_line_47-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.119&CDS=1-549
OG0001626	YHR151C	maker-flattened_line_27-snap-gene-1.126-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-1.126&CDS=1-1743
OG0001627	YHR154W	genemark-flattened_line_71-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.35&CDS=1-2709
OG0001628	YHR164C	maker-flattened_line_2-augustus-gene-2.187-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.187&CDS=1-4089
OG0001629	YHR165C	genemark-flattened_line_167-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_167-processed-gene-0.8&CDS=1-7170
OG0001630	YHR166C	genemark-flattened_line_9-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.43&CDS=1-1575
OG0001631	YHR168W	augustus_masked-flattened_line_184-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.66&CDS=1-1518
OG0001632	YHR169W	genemark-flattened_line_125-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.134&CDS=1-1311
OG0001633	YHR170W	genemark-flattened_line_141-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.103&CDS=1-1728
OG0001634	YHR171W	augustus_masked-flattened_line_15-processed-gene-1.267-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.267&CDS=1-4740
OG0001635	YHR172W	genemark-flattened_line_198-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.51&CDS=1-2526
OG0001636	YHR175W	genemark-flattened_line_61-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.145&CDS=1-489
OG0001637	YHR176W	genemark-flattened_line_149-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_149-processed-gene-0.53&CDS=1-1560
OG0001638	YHR181W	genemark-flattened_line_43-processed-gene-0.229-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.229&CDS=1-699
OG0001639	YHR182C-A	snap_masked-flattened_line_69-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.153&CDS=1-1026
OG0001640	YHR183W	genemark-flattened_line_69-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.123&CDS=1-1515
OG0001641	YHR186C	genemark-flattened_line_97-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.31&CDS=1-4212
OG0001642	YHR187W	genemark-flattened_line_2-processed-gene-2.113-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.113&CDS=1-870
OG0001643	YHR188C	genemark-flattened_line_19-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.116&CDS=1-1974
OG0001644	YHR190W	genemark-flattened_line_17-processed-gene-1.226-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.226&CDS=1-1416
OG0001645	YHR191C	genemark-flattened_line_2-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.50&CDS=1-468
OG0001646	YHR193C	snap_masked-flattened_line_153-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.91&CDS=1-645
OG0001647	YHR194W	augustus_masked-flattened_line_27-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.197&CDS=1-1836
OG0001648	YHR200W	genemark-flattened_line_91-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_91-processed-gene-0.14&CDS=1-933
OG0001649	YHR202W	genemark-flattened_line_169-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_169-processed-gene-0.27&CDS=1-1866
OG0001650	YHR204W	genemark-flattened_line_101-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.95&CDS=1-2391
OG0001651	YHR205W	genemark-flattened_line_65-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.145&CDS=1-2556
OG0001652	YHR206W	genemark-flattened_line_37-processed-gene-0.216-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.216&CDS=1-1398
OG0001653	YHR207C	genemark-flattened_line_13-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.83&CDS=1-1377
OG0001654	YHR208W	genemark-flattened_line_87-processed-gene-0.160-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.160&CDS=1-1245
OG0001655	YIL001W	maker-flattened_line_53-snap-gene-0.78-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.78&CDS=1-1770
OG0001656	YIL003W	genemark-flattened_line_2-processed-gene-1.58-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.58&CDS=1-849
OG0001657	YIL004C	genemark-flattened_line_71-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.56&CDS=1-447
OG0001658	YIL007C	snap_masked-flattened_line_131-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.126&CDS=1-636
OG0001659	YIL008W	augustus_masked-flattened_line_29-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.36&CDS=1-336
OG0001660	YIL010W	genemark-flattened_line_2-processed-gene-2.170-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.170&CDS=1-810
