	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0001519	YER164W	augustus_masked-NW_001834662.1-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.136&CDS=1-4521
OG0001520	YER165W	augustus_masked-NW_001834683.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-1.61&CDS=1-1740
OG0001521	YER167W	snap_masked-NW_001834683.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NW_001834683.1-processed-gene-1.120&CDS=1-1755
OG0001522	YER168C	augustus_masked-NW_001834555.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834555.1-processed-gene-0.11&CDS=1-1647
OG0001523	YER171W	maker-NW_001834683.1-augustus-gene-1.103-mRNA-1_1&gene=maker-NW_001834683.1-augustus-gene-1.103&CDS=1-3000
OG0001524	YER172C	augustus_masked-NW_001834555.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834555.1-processed-gene-0.13&CDS=1-6525
OG0001525	YER173W	augustus_masked-NW_001834592.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834592.1-processed-gene-0.20&CDS=1-1986
OG0001526	YER175C	augustus_masked-NW_001834683.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-1.85&CDS=1-888
OG0001527	YER176W	augustus_masked-NW_001834592.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834592.1-processed-gene-0.21&CDS=1-3345
OG0001528	YER178W	genemark-NW_001834653.1-processed-gene-0.93-mRNA-1_1&gene=genemark-NW_001834653.1-processed-gene-0.93&CDS=1-1224
OG0001529	YER179W	augustus_masked-NW_001834653.1-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.130&CDS=1-1002
OG0001530	YER180C	augustus_masked-NW_001834586.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NW_001834586.1-processed-gene-0.18&CDS=1-894
OG0001531	YER180C-A	snap_masked-NW_001834653.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.25&CDS=1-222
OG0001532	YER182W	augustus_masked-NW_001834624.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834624.1-processed-gene-0.54&CDS=1-726
OG0001533	YER183C	augustus_masked-NW_001834523.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834523.1-processed-gene-0.4&CDS=1-654
OG0001534	YFL001W	augustus_masked-NW_001834669.1-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.138&CDS=1-1338
OG0001535	YFL002C	augustus_masked-NW_001834669.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.160&CDS=1-1821
OG0001536	YFL003C	augustus_masked-NW_001834669.1-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.156&CDS=1-2601
OG0001537	YFL004W	augustus_masked-NW_001834669.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.132&CDS=1-2487
OG0001538	YFL005W	augustus_masked-NW_001834607.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.28&CDS=1-642
OG0001539	YFL008W	augustus_masked-NW_001834607.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.30&CDS=1-3663
OG0001540	YFL010C	augustus_masked-NW_001834607.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.20&CDS=1-699
OG0001541	YFL013C	augustus_masked-NW_001834669.1-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.155&CDS=1-1923
OG0001542	YFL016C	augustus_masked-NW_001834607.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.21&CDS=1-1485
OG0001543	YFL017C	augustus_masked-NW_001834607.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.22&CDS=1-489
OG0001544	YFL017W-A	augustus_masked-NW_001834607.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.33&CDS=1-228
OG0001545	YFL018C	augustus_masked-NW_001834607.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.23&CDS=1-1482
OG0001546	YFL022C	augustus_masked-NW_001834607.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.24&CDS=1-1491
OG0001547	YFL023W	augustus_masked-NW_001834669.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.126&CDS=1-2733
OG0001548	YFL024C	augustus_masked-NW_001834607.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001834607.1-processed-gene-0.25&CDS=1-2478
OG0001549	YFL025C	augustus_masked-NW_001834669.1-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.152&CDS=1-3018
OG0001550	YFL027C	snap_masked-NW_001834607.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NW_001834607.1-processed-gene-0.46&CDS=1-1488
OG0001551	YFL028C	augustus_masked-NW_001834664.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.72&CDS=1-840
OG0001552	YFL029C	snap_masked-NW_001834664.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.13&CDS=1-1062
OG0001553	YFL030W	augustus_masked-NW_001834664.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.101&CDS=1-1110
OG0001554	YFL031W	augustus_masked-NW_001834664.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.102&CDS=1-1080
OG0001555	YFL033C	maker-NW_001834664.1-augustus-gene-0.58-mRNA-1_1&gene=maker-NW_001834664.1-augustus-gene-0.58&CDS=1-4392
OG0001556	YFL034C-B	augustus_masked-NW_001834664.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.79&CDS=1-954
OG0001557	YFL034W	augustus_masked-NW_001834664.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.104&CDS=1-3282
OG0001558	YFL036W	maker-NW_001834664.1-augustus-gene-0.60-mRNA-1_1&gene=maker-NW_001834664.1-augustus-gene-0.60&CDS=1-3819
OG0001559	YFL037W	augustus_masked-NW_001834664.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.106&CDS=1-1353
OG0001560	YFL038C	augustus_masked-NW_001834688.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.64&CDS=1-621
OG0001561	YFL039C	snap_masked-NW_001834669.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NW_001834669.1-processed-gene-0.39&CDS=1-1140
OG0001562	YFL040W	augustus_masked-NW_001834688.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.44&CDS=1-1491
OG0001563	YFL041W	genemark-NW_001834669.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_001834669.1-processed-gene-0.67&CDS=1-1866
OG0001564	YFL044C	augustus_masked-NW_001834688.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.60&CDS=1-924
OG0001565	YFL045C	augustus_masked-NW_001834688.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.58&CDS=1-762
OG0001566	YFL046W	augustus_masked-NW_001834688.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.41&CDS=1-615
OG0001567	YFL047W	augustus_masked-NW_001834688.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.39&CDS=1-2187
OG0001568	YFL048C	augustus_masked-NW_001834688.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.54&CDS=1-1281
OG0001569	YFL049W	augustus_masked-NW_001834688.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-0.38&CDS=1-1722
OG0001570	YFR001W	genemark-NW_001834669.1-processed-gene-0.86-mRNA-1_1&gene=genemark-NW_001834669.1-processed-gene-0.86&CDS=1-606
OG0001571	YFR002W	augustus_masked-NW_001834558.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834558.1-processed-gene-0.15&CDS=1-2565
OG0001572	YFR005C	augustus_masked-NW_001834656.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NW_001834656.1-processed-gene-0.150&CDS=1-1353
OG0001573	YFR007W	augustus_masked-NW_001834615.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834615.1-processed-gene-0.68&CDS=1-1077
OG0001574	YFR008W	snap_masked-NW_001834615.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NW_001834615.1-processed-gene-0.20&CDS=1-672
OG0001575	YFR009W	augustus_masked-NW_001834675.1-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.212&CDS=1-2256
OG0001576	YFR010W	snap_masked-NW_001834670.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NW_001834670.1-processed-gene-0.23&CDS=1-1503
OG0001577	YFR011C	augustus_masked-NW_001834577.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834577.1-processed-gene-0.27&CDS=1-492
OG0001578	YFR013W	augustus_masked-NW_001834597.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834597.1-processed-gene-0.24&CDS=1-2460
OG0001579	YFR017C	snap_masked-NW_001834657.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001834657.1-processed-gene-0.7&CDS=1-720
OG0001580	YFR018C	snap_masked-NW_001834657.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NW_001834657.1-processed-gene-0.5&CDS=1-945
OG0001581	YFR019W	augustus_masked-NW_001834657.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.81&CDS=1-6780
OG0001582	YFR020W	snap_masked-NW_001834683.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NW_001834683.1-processed-gene-0.34&CDS=1-603
OG0001583	YFR021W	genemark-NW_001834623.1-processed-gene-0.39-mRNA-1_1&gene=genemark-NW_001834623.1-processed-gene-0.39&CDS=1-1746
OG0001584	YFR025C	augustus_masked-NW_001834694.1-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.125&CDS=1-1005
OG0001585	YFR027W	augustus_masked-NW_001834623.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834623.1-processed-gene-0.15&CDS=1-798
OG0001586	YFR028C	augustus_masked-NW_001834623.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834623.1-processed-gene-0.24&CDS=1-1542
OG0001587	YFR030W	augustus_masked-NW_001834598.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834598.1-processed-gene-0.8&CDS=1-1620
OG0001588	YFR031C	augustus_masked-NW_001834610.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.31&CDS=1-3513
OG0001589	YFR032C	augustus_masked-NW_001834610.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.29&CDS=1-999
OG0001590	YFR032C-A	augustus_masked-NW_001834610.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.28&CDS=1-519
OG0001591	YFR034C	augustus_masked-NW_001834610.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.27&CDS=1-1761
OG0001592	YFR037C	augustus_masked-NW_001834610.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.23&CDS=1-1776
OG0001593	YFR038W	augustus_masked-NW_001834610.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NW_001834610.1-processed-gene-0.36&CDS=1-2547
OG0001594	YFR041C	augustus_masked-NW_001834609.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834609.1-processed-gene-0.39&CDS=1-861
OG0001595	YFR042W	genemark-NW_001834609.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NW_001834609.1-processed-gene-0.2&CDS=1-624
OG0001596	YFR043C	augustus_masked-NW_001834609.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_001834609.1-processed-gene-0.40&CDS=1-750
OG0001597	YFR044C	augustus_masked-NW_001834609.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NW_001834609.1-processed-gene-0.43&CDS=1-1458
OG0001598	YFR045W	augustus_masked-NW_001834609.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834609.1-processed-gene-0.30&CDS=1-1008
OG0001599	YFR047C	augustus_masked-NW_001834572.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834572.1-processed-gene-0.32&CDS=1-885
OG0001600	YFR048W	augustus_masked-NW_001834630.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834630.1-processed-gene-0.27&CDS=1-1809
OG0001601	YFR049W	genemark-NW_001834572.1-processed-gene-0.3-mRNA-1_1&gene=genemark-NW_001834572.1-processed-gene-0.3&CDS=1-378
OG0001602	YFR050C	genemark-NW_001834572.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_001834572.1-processed-gene-0.10&CDS=1-795
OG0001603	YFR052W	augustus_masked-NW_001834630.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001834630.1-processed-gene-0.25&CDS=1-819
OG0001604	YGL001C	augustus_masked-NW_001834662.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.126&CDS=1-1050
OG0001605	YGL002W	augustus_masked-NW_001834671.1-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.156&CDS=1-657
OG0001606	YGL003C	augustus_masked-NW_001834671.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.132&CDS=1-1767
OG0001607	YGL004C	augustus_masked-NW_001834662.1-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.127&CDS=1-1182
OG0001608	YGL005C	augustus_masked-NW_001834671.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.133&CDS=1-840
OG0001609	YGL006W	augustus_masked-NW_001834671.1-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.158&CDS=1-3402
OG0001610	YGL008C	augustus_masked-NW_001834662.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.128&CDS=1-2721
OG0001611	YGL009C	augustus_masked-NW_001834662.1-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.153&CDS=1-2319
OG0001612	YGL010W	augustus_masked-NW_001834671.1-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.137&CDS=1-486
OG0001613	YGL011C	augustus_masked-NW_001834671.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.160&CDS=1-768
OG0001614	YGL012W	augustus_masked-NW_001834671.1-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.135&CDS=1-1458
OG0001615	YGL014W	augustus_masked-NW_001834671.1-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.134&CDS=1-2217
OG0001616	YGL016W	snap_masked-NW_001834683.1-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NW_001834683.1-processed-gene-1.127&CDS=1-3210
OG0001617	YGL017W	augustus_masked-NW_001834683.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-1.67&CDS=1-1524
OG0001618	YGL018C	augustus_masked-NW_001834662.1-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.130&CDS=1-576
OG0001619	YGL019W	augustus_masked-NW_001834662.1-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.154&CDS=1-834
OG0001620	YGL020C	augustus_masked-NW_001834662.1-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.131&CDS=1-675
OG0001621	YGL022W	augustus_masked-NW_001834662.1-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.155&CDS=1-2217
OG0001622	YGL023C	augustus_masked-NW_001834662.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.133&CDS=1-2307
OG0001623	YGL025C	augustus_masked-NW_001834662.1-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.134&CDS=1-2208
OG0001624	YGL026C	augustus_masked-NW_001834662.1-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NW_001834662.1-processed-gene-0.135&CDS=1-2121
OG0001625	YGL027C	augustus_masked-NW_001834641.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.31&CDS=1-2259
OG0001626	YGL028C	augustus_masked-NW_001834641.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.32&CDS=1-1587
OG0001627	YGL029W	augustus_masked-NW_001834646.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.1&CDS=1-363
OG0001628	YGL030W	augustus_masked-NW_001834641.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.44&CDS=1-330
OG0001629	YGL032C	augustus_masked-NW_001834628.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834628.1-processed-gene-0.57&CDS=1-225
OG0001630	YGL033W	snap_masked-NW_001834683.1-processed-gene-1.152-mRNA-1_1&gene=snap_masked-NW_001834683.1-processed-gene-1.152&CDS=1-618
OG0001631	YGL036W	snap_masked-NW_001834641.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NW_001834641.1-processed-gene-0.81&CDS=1-2544
OG0001632	YGL037C	snap_masked-NW_001834659.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NW_001834659.1-processed-gene-0.18&CDS=1-669
OG0001633	YGL038C	augustus_masked-NW_001834641.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.36&CDS=1-1380
OG0001634	YGL040C	augustus_masked-NW_001834519.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834519.1-processed-gene-0.8&CDS=1-1032
OG0001635	YGL043W	augustus_masked-NW_001834641.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.48&CDS=1-1446
OG0001636	YGL044C	augustus_masked-NW_001834641.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.38&CDS=1-831
OG0001637	YGL045W	augustus_masked-NW_001834641.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.50&CDS=1-1785
OG0001638	YGL047W	augustus_masked-NW_001834641.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.54&CDS=1-606
OG0001639	YGL048C	augustus_masked-NW_001834659.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834659.1-processed-gene-0.74&CDS=1-1209
OG0001640	YGL050W	augustus_masked-NW_001834641.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.55&CDS=1-831
OG0001641	YGL054C	augustus_masked-NW_001834627.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834627.1-processed-gene-0.19&CDS=1-411
OG0001642	YGL055W	augustus_masked-NW_001834627.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834627.1-processed-gene-0.8&CDS=1-1452
OG0001643	YGL058W	genemark-NW_001834602.1-processed-gene-0.50-mRNA-1_1&gene=genemark-NW_001834602.1-processed-gene-0.50&CDS=1-501
OG0001644	YGL059W	genemark-NW_001834602.1-processed-gene-0.49-mRNA-1_1&gene=genemark-NW_001834602.1-processed-gene-0.49&CDS=1-1479
OG0001645	YGL061C	augustus_masked-NW_001834602.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834602.1-processed-gene-0.11&CDS=1-618
OG0001646	YGL064C	augustus_masked-NW_001834693.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.56&CDS=1-1617
OG0001647	YGL065C	augustus_masked-NW_001834693.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.59&CDS=1-1524
OG0001648	YGL066W	augustus_masked-NW_001834693.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.73&CDS=1-1659
OG0001649	YGL067W	augustus_masked-NW_001834693.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.75&CDS=1-1239
OG0001650	YGL068W	augustus_masked-NW_001834693.1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.76&CDS=1-561
OG0001651	YGL070C	augustus_masked-NW_001834673.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.113&CDS=1-366
OG0001652	YGL071W	snap_masked-NW_001834673.1-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NW_001834673.1-processed-gene-0.150&CDS=1-2097
OG0001653	YGL073W	augustus_masked-NW_001834673.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.79&CDS=1-2151
OG0001654	YGL077C	augustus_masked-NW_001834673.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.110&CDS=1-1758
OG0001655	YGL078C	augustus_masked-NW_001834673.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.109&CDS=1-1590
OG0001656	YGL079W	augustus_masked-NW_001834693.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.77&CDS=1-795
OG0001657	YGL080W	augustus_masked-NW_001834673.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.77&CDS=1-390
OG0001658	YGL081W	snap_masked-NW_001834673.1-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NW_001834673.1-processed-gene-0.144&CDS=1-1230
OG0001659	YGL082W	augustus_masked-NW_001834693.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.78&CDS=1-1089
OG0001660	YGL083W	augustus_masked-NW_001834693.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.80&CDS=1-2466
OG0001661	YGL084C	augustus_masked-NW_001834693.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.64&CDS=1-1818
OG0001662	YGL085W	augustus_masked-NW_001834693.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.81&CDS=1-834
OG0001663	YGL086W	augustus_masked-NW_001834693.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.82&CDS=1-1971
OG0001664	YGL087C	augustus_masked-NW_001834693.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.65&CDS=1-414
OG0001665	YGL090W	augustus_masked-NW_001834693.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-1.85&CDS=1-1344
OG0001666	YGL091C	augustus_masked-NW_001834693.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.110&CDS=1-996
OG0001667	YGL092W	augustus_masked-NW_001834673.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.71&CDS=1-3930
OG0001668	YGL093W	snap_masked-NW_001834693.1-processed-gene-2.8-mRNA-1_1&gene=snap_masked-NW_001834693.1-processed-gene-2.8&CDS=1-2541
OG0001669	YGL094C	augustus_masked-NW_001834673.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.106&CDS=1-3504
OG0001670	YGL095C	augustus_masked-NW_001834693.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.115&CDS=1-1782
OG0001671	YGL097W	augustus_masked-NW_001834693.1-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.137&CDS=1-1437
OG0001672	YGL098W	augustus_masked-NW_001834692.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.85&CDS=1-780
OG0001673	YGL099W	augustus_masked-NW_001834693.1-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.138&CDS=1-1935
OG0001674	YGL100W	genemark-NW_001834670.1-processed-gene-0.121-mRNA-1_1&gene=genemark-NW_001834670.1-processed-gene-0.121&CDS=1-1116
OG0001675	YGL101W	augustus_masked-NW_001834693.1-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.141&CDS=1-636
OG0001676	YGL103W	augustus_masked-NW_001834693.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.142&CDS=1-447
OG0001677	YGL105W	augustus_masked-NW_001834693.1-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.143&CDS=1-1110
OG0001678	YGL106W	augustus_masked-NW_001834693.1-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.144&CDS=1-429
OG0001679	YGL108C	snap_masked-NW_001834693.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NW_001834693.1-processed-gene-2.19&CDS=1-387
OG0001680	YGL110C	augustus_masked-NW_001834693.1-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.123&CDS=1-1848
OG0001681	YGL111W	augustus_masked-NW_001834670.1-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.183&CDS=1-1335
OG0001682	YGL112C	augustus_masked-NW_001834693.1-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.125&CDS=1-1527
OG0001683	YGL113W	augustus_masked-NW_001834693.1-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.146&CDS=1-1980
OG0001684	YGL114W	augustus_masked-NW_001834693.1-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.147&CDS=1-2199
