	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
OG0001566	YER161C	augustus_masked-flattened_line_7-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.91&CDS=1-1023
OG0001567	YER162C	augustus_masked-flattened_line_7-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.88&CDS=1-3318
OG0001568	YER164W	augustus_masked-flattened_line_7-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.90&CDS=1-4500
OG0001569	YER165W	augustus_masked-flattened_line_7-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.89&CDS=1-1704
OG0001570	YER166W	augustus_masked-flattened_line_7-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.32&CDS=1-4782
OG0001571	YER167W	snap_masked-flattened_line_17-processed-gene-3.138-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.138&CDS=1-2199
OG0001572	YER168C	snap_masked-flattened_line_7-processed-gene-2.85-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.85&CDS=1-1575
OG0001573	YER171W	maker-flattened_line_17-snap-gene-3.78-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-3.78&CDS=1-3111
OG0001574	YER172C	genemark-flattened_line_7-processed-gene-2.49-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.49&CDS=1-10218
OG0001575	YER173W	augustus_masked-flattened_line_7-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.31&CDS=1-2052
OG0001576	YER175C	snap_masked-flattened_line_17-processed-gene-3.95-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.95&CDS=1-948
OG0001577	YER176W	augustus_masked-flattened_line_7-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.30&CDS=1-3399
OG0001578	YER177W	augustus_masked-flattened_line_7-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.29&CDS=1-765
OG0001579	YER178W	augustus_masked-flattened_line_17-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.52&CDS=1-1221
OG0001580	YER179W	augustus_masked-flattened_line_17-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.51&CDS=1-993
OG0001581	YER180C	augustus_masked-flattened_line_7-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.15&CDS=1-831
OG0001582	YER180C-A	augustus_masked-flattened_line_17-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.13&CDS=1-219
OG0001583	YER182W	augustus_masked-flattened_line_65-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.36&CDS=1-738
OG0001584	YER183C	augustus_masked-flattened_line_9-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.5&CDS=1-654
OG0001585	YER184C	snap_masked-flattened_line_9-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.49&CDS=1-2103
OG0001586	YER187W	snap_masked-flattened_line_45-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-1.41&CDS=1-1008
OG0001587	YFL001W	augustus_masked-flattened_line_25-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.33&CDS=1-1302
OG0001588	YFL002C	augustus_masked-flattened_line_9-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.40&CDS=1-1815
OG0001589	YFL003C	augustus_masked-flattened_line_35-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.148&CDS=1-2619
OG0001590	YFL005W	genemark-flattened_line_25-processed-gene-2.154-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-2.154&CDS=1-642
OG0001591	YFL007W	augustus_masked-flattened_line_35-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.183&CDS=1-6483
OG0001592	YFL009W	augustus_masked-flattened_line_35-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.184&CDS=1-2499
OG0001593	YFL010C	augustus_masked-flattened_line_35-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.149&CDS=1-618
OG0001594	YFL013C	augustus_masked-flattened_line_25-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.43&CDS=1-1773
OG0001595	YFL014W	augustus_masked-flattened_line_25-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.78&CDS=1-330
OG0001596	YFL016C	maker-flattened_line_35-augustus-gene-1.210-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-1.210&CDS=1-1971
OG0001597	YFL017W-A	augustus_masked-flattened_line_35-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.186&CDS=1-228
OG0001598	YFL018C	augustus_masked-flattened_line_35-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.151&CDS=1-1482
OG0001599	YFL022C	augustus_masked-flattened_line_35-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.152&CDS=1-1491
OG0001600	YFL023W	augustus_masked-flattened_line_25-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.79&CDS=1-2388
OG0001601	YFL024C	augustus_masked-flattened_line_35-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.153&CDS=1-2499
OG0001602	YFL025C	augustus_masked-flattened_line_25-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.45&CDS=1-2994
OG0001603	YFL026W	augustus_masked-flattened_line_25-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.80&CDS=1-1140
OG0001604	YFL027C	augustus_masked-flattened_line_35-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.154&CDS=1-1458
OG0001605	YFL028C	augustus_masked-flattened_line_35-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.155&CDS=1-807
OG0001606	YFL029C	augustus_masked-flattened_line_35-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.157&CDS=1-1083
OG0001607	YFL030W	augustus_masked-flattened_line_35-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.192&CDS=1-1170
OG0001608	YFL031W	augustus_masked-flattened_line_35-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.193&CDS=1-954
OG0001609	YFL033C	augustus_masked-flattened_line_35-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.159&CDS=1-4635
OG0001610	YFL034C-B	snap_masked-flattened_line_35-processed-gene-1.24-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.24&CDS=1-1002
OG0001611	YFL034W	augustus_masked-flattened_line_35-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.195&CDS=1-3219
OG0001612	YFL036W	augustus_masked-flattened_line_35-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.196&CDS=1-4005
OG0001613	YFL037W	augustus_masked-flattened_line_35-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.197&CDS=1-1353
OG0001614	YFL038C	augustus_masked-flattened_line_35-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.163&CDS=1-621
OG0001615	YFL039C	augustus_masked-flattened_line_35-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.164&CDS=1-1125
OG0001616	YFL041W	augustus_masked-flattened_line_25-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.84&CDS=1-1848
OG0001617	YFL044C	augustus_masked-flattened_line_35-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.167&CDS=1-927
OG0001618	YFL045C	augustus_masked-flattened_line_35-processed-gene-1.169-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.169&CDS=1-762
OG0001619	YFL046W	augustus_masked-flattened_line_35-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.202&CDS=1-636
OG0001620	YFL047W	augustus_masked-flattened_line_35-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.204&CDS=1-2169
OG0001621	YFL048C	augustus_masked-flattened_line_35-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.172&CDS=1-1275
OG0001622	YFL049W	augustus_masked-flattened_line_35-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.205&CDS=1-1701
OG0001623	YFR001W	augustus_masked-flattened_line_25-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.34&CDS=1-609
OG0001624	YFR002W	augustus_masked-flattened_line_9-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.23&CDS=1-2568
OG0001625	YFR003C	augustus_masked-flattened_line_9-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.41&CDS=1-471
OG0001626	YFR005C	augustus_masked-flattened_line_25-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.72&CDS=1-1458
OG0001627	YFR006W	augustus_masked-flattened_line_25-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.39&CDS=1-1491
OG0001628	YFR007W	augustus_masked-flattened_line_51-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.11&CDS=1-1053
OG0001629	YFR009W	augustus_masked-flattened_line_17-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.35&CDS=1-2256
OG0001630	YFR010W	snap_masked-flattened_line_61-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.75&CDS=1-1506
OG0001631	YFR011C	augustus_masked-flattened_line_9-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.51&CDS=1-483
OG0001632	YFR013W	augustus_masked-flattened_line_9-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.54&CDS=1-2559
OG0001633	YFR019W	maker-flattened_line_17-snap-gene-3.79-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-3.79&CDS=1-6366
OG0001634	YFR021W	augustus_masked-flattened_line_9-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.22&CDS=1-1731
OG0001635	YFR024C-A	augustus_masked-flattened_line_17-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.30&CDS=1-1185
OG0001636	YFR025C	augustus_masked-flattened_line_17-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.27&CDS=1-1029
OG0001637	YFR027W	augustus_masked-flattened_line_9-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.52&CDS=1-807
OG0001638	YFR028C	augustus_masked-flattened_line_9-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.18&CDS=1-1527
OG0001639	YFR030W	augustus_masked-flattened_line_1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.109&CDS=1-3102
OG0001640	YFR031C	augustus_masked-flattened_line_47-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.47&CDS=1-3510
OG0001641	YFR032C	augustus_masked-flattened_line_47-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.49&CDS=1-1065
OG0001642	YFR032C-A	maker-flattened_line_47-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_47-snap-gene-0.86&CDS=1-609
OG0001643	YFR034C	augustus_masked-flattened_line_47-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.51&CDS=1-1521
OG0001644	YFR036W	augustus_masked-flattened_line_1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.111&CDS=1-369
OG0001645	YFR037C	augustus_masked-flattened_line_7-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.103&CDS=1-1719
OG0001646	YFR038W	augustus_masked-flattened_line_7-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.119&CDS=1-2577
OG0001647	YFR039C	snap_masked-flattened_line_27-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.91&CDS=1-1725
OG0001648	YFR040W	augustus_masked-flattened_line_27-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.118&CDS=1-2739
OG0001649	YFR041C	augustus_masked-flattened_line_27-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.140&CDS=1-879
OG0001650	YFR043C	snap_masked-flattened_line_27-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.93&CDS=1-777
OG0001651	YFR044C	augustus_masked-flattened_line_43-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.105&CDS=1-1440
OG0001652	YFR045W	augustus_masked-flattened_line_43-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.93&CDS=1-1035
OG0001653	YFR048W	augustus_masked-flattened_line_15-processed-gene-3.185-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.185&CDS=1-1866
OG0001654	YFR052W	augustus_masked-flattened_line_15-processed-gene-3.187-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.187&CDS=1-819
OG0001655	YGL001C	augustus_masked-flattened_line_37-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.98&CDS=1-1053
OG0001656	YGL002W	augustus_masked-flattened_line_45-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.14&CDS=1-657
OG0001657	YGL003C	augustus_masked-flattened_line_45-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.35&CDS=1-1914
OG0001658	YGL004C	augustus_masked-flattened_line_37-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.99&CDS=1-1308
OG0001659	YGL005C	augustus_masked-flattened_line_45-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.34&CDS=1-843
OG0001660	YGL006W	augustus_masked-flattened_line_45-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.12&CDS=1-3459
OG0001661	YGL008C	augustus_masked-flattened_line_33-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.54&CDS=1-2718
OG0001662	YGL009C	augustus_masked-flattened_line_33-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.21&CDS=1-2343
OG0001663	YGL010W	augustus_masked-flattened_line_45-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.17&CDS=1-501
OG0001664	YGL011C	augustus_masked-flattened_line_45-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.40&CDS=1-771
OG0001665	YGL012W	augustus_masked-flattened_line_45-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.15&CDS=1-1419
OG0001666	YGL014W	augustus_masked-flattened_line_45-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.32&CDS=1-2385
OG0001667	YGL016W	augustus_masked-flattened_line_45-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.21&CDS=1-7206
OG0001668	YGL018C	augustus_masked-flattened_line_33-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.52&CDS=1-585
OG0001669	YGL019W	augustus_masked-flattened_line_33-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.20&CDS=1-816
OG0001670	YGL020C	augustus_masked-flattened_line_33-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.51&CDS=1-714
OG0001671	YGL022W	augustus_masked-flattened_line_33-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.19&CDS=1-2181
OG0001672	YGL023C	augustus_masked-flattened_line_33-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.49&CDS=1-2001
OG0001673	YGL025C	augustus_masked-flattened_line_33-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.48&CDS=1-1656
OG0001674	YGL026C	augustus_masked-flattened_line_33-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.47&CDS=1-2112
OG0001675	YGL027C	augustus_masked-flattened_line_33-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.46&CDS=1-2430
OG0001676	YGL028C	augustus_masked-flattened_line_33-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.45&CDS=1-1359
OG0001677	YGL029W	augustus_masked-flattened_line_45-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.18&CDS=1-369
OG0001678	YGL030W	snap_masked-flattened_line_33-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.95&CDS=1-327
OG0001679	YGL033W	snap_masked-flattened_line_45-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.126&CDS=1-633
OG0001680	YGL035C	augustus_masked-flattened_line_33-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.42&CDS=1-1557
OG0001681	YGL036W	augustus_masked-flattened_line_33-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.15&CDS=1-2625
OG0001682	YGL037C	augustus_masked-flattened_line_45-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.22&CDS=1-642
OG0001683	YGL038C	augustus_masked-flattened_line_33-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.41&CDS=1-1479
OG0001684	YGL040C	augustus_masked-flattened_line_3-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.24&CDS=1-1041
OG0001685	YGL041W-A	snap_masked-flattened_line_33-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.91&CDS=1-447
OG0001686	YGL043W	snap_masked-flattened_line_33-processed-gene-1.90-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.90&CDS=1-906
OG0001687	YGL044C	augustus_masked-flattened_line_33-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.39&CDS=1-840
OG0001688	YGL045W	augustus_masked-flattened_line_33-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.11&CDS=1-1737
OG0001689	YGL047W	snap_masked-flattened_line_33-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.84&CDS=1-186
OG0001690	YGL048C	augustus_masked-flattened_line_45-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.83&CDS=1-1209
OG0001691	YGL049C	augustus_masked-flattened_line_33-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.37&CDS=1-2532
OG0001692	YGL050W	augustus_masked-flattened_line_33-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.8&CDS=1-834
OG0001693	YGL054C	augustus_masked-flattened_line_7-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.115&CDS=1-414
OG0001694	YGL055W	augustus_masked-flattened_line_7-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.98&CDS=1-1479
OG0001695	YGL057C	snap_masked-flattened_line_11-processed-gene-2.103-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.103&CDS=1-774
OG0001696	YGL058W	augustus_masked-flattened_line_11-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.5&CDS=1-507
OG0001697	YGL059W	augustus_masked-flattened_line_11-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.4&CDS=1-1485
OG0001698	YGL061C	augustus_masked-flattened_line_11-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.7&CDS=1-651
OG0001699	YGL064C	augustus_masked-flattened_line_11-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.97&CDS=1-1698
OG0001700	YGL065C	augustus_masked-flattened_line_11-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.100&CDS=1-1527
OG0001701	YGL066W	augustus_masked-flattened_line_11-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.115&CDS=1-1794
OG0001702	YGL067W	augustus_masked-flattened_line_11-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.117&CDS=1-1161
OG0001703	YGL068W	augustus_masked-flattened_line_11-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.118&CDS=1-549
OG0001704	YGL070C	augustus_masked-flattened_line_27-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.103&CDS=1-366
OG0001705	YGL071W	augustus_masked-flattened_line_27-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.102&CDS=1-2037
OG0001706	YGL073W	augustus_masked-flattened_line_27-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.100&CDS=1-2127
OG0001707	YGL075C	snap_masked-flattened_line_27-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.121&CDS=1-1350
OG0001708	YGL077C	augustus_masked-flattened_line_27-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.42&CDS=1-1749
OG0001709	YGL078C	augustus_masked-flattened_line_27-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.145&CDS=1-1578
OG0001710	YGL079W	augustus_masked-flattened_line_11-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.119&CDS=1-657
OG0001711	YGL080W	augustus_masked-flattened_line_27-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.122&CDS=1-420
OG0001712	YGL081W	snap_masked-flattened_line_27-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.72&CDS=1-1143
OG0001713	YGL083W	augustus_masked-flattened_line_11-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.7&CDS=1-2361
OG0001714	YGL084C	augustus_masked-flattened_line_11-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.5&CDS=1-1773
OG0001715	YGL085W	augustus_masked-flattened_line_11-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.8&CDS=1-2751
OG0001716	YGL087C	augustus_masked-flattened_line_11-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.9&CDS=1-414
OG0001717	YGL088W	maker-flattened_line_43-snap-gene-0.74-mRNA-1_1&gene=maker-flattened_line_43-snap-gene-0.74&CDS=1-210
OG0001718	YGL090W	augustus_masked-flattened_line_11-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.32&CDS=1-1149
OG0001719	YGL091C	augustus_masked-flattened_line_11-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.12&CDS=1-999
OG0001720	YGL092W	augustus_masked-flattened_line_43-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.91&CDS=1-3852
OG0001721	YGL093W	augustus_masked-flattened_line_11-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.33&CDS=1-2538
OG0001722	YGL094C	augustus_masked-flattened_line_43-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.89&CDS=1-3444
OG0001723	YGL095C	augustus_masked-flattened_line_11-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.13&CDS=1-1806
OG0001724	YGL097W	augustus_masked-flattened_line_11-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.37&CDS=1-1437
OG0001725	YGL098W	augustus_masked-flattened_line_77-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_77-processed-gene-0.66&CDS=1-801
OG0001726	YGL099W	augustus_masked-flattened_line_11-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.38&CDS=1-1938
OG0001727	YGL100W	maker-flattened_line_77-augustus-gene-0.72-mRNA-1_1&gene=maker-flattened_line_77-augustus-gene-0.72&CDS=1-1452
OG0001728	YGL101W	augustus_masked-flattened_line_11-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.41&CDS=1-645
OG0001729	YGL103W	augustus_masked-flattened_line_11-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.42&CDS=1-447
OG0001730	YGL105W	augustus_masked-flattened_line_11-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.43&CDS=1-1134
OG0001731	YGL106W	augustus_masked-flattened_line_11-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.44&CDS=1-432
OG0001732	YGL108C	augustus_masked-flattened_line_11-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.19&CDS=1-372
OG0001733	YGL110C	augustus_masked-flattened_line_11-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.20&CDS=1-1899
OG0001734	YGL111W	augustus_masked-flattened_line_43-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.104&CDS=1-2751
OG0001735	YGL112C	augustus_masked-flattened_line_11-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.22&CDS=1-1521
