	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
OG0001971	YJL179W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.111-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.111&CDS=1-363
OG0001972	YJL180C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.132-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.132&CDS=1-1035
OG0001973	YJL187C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.49&CDS=1-3600
OG0001974	YJL190C	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.84&CDS=1-390
OG0001975	YJL194W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.43&CDS=1-1407
OG0001976	YJL197W	maker-NODE_17_length_347944_cov_21.2808_ID_33-snap-gene-2.143-mRNA-1_1&gene=maker-NODE_17_length_347944_cov_21.2808_ID_33-snap-gene-2.143&CDS=1-3228
OG0001977	YJL200C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.50&CDS=1-2364
OG0001978	YJL201W	snap_masked-NODE_32_length_50595_cov_18.8577_ID_63-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_32_length_50595_cov_18.8577_ID_63-processed-gene-0.32&CDS=1-1851
OG0001979	YJL203W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.92&CDS=1-1107
OG0001980	YJL204C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.85&CDS=1-2601
OG0001981	YJL207C	snap_masked-NODE_33_length_48095_cov_21.1696_ID_65-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_33_length_48095_cov_21.1696_ID_65-processed-gene-0.7&CDS=1-6063
OG0001982	YJL208C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-2.34&CDS=1-954
OG0001983	YJL212C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.128-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.128&CDS=1-2283
OG0001984	YJR001W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.33&CDS=1-1698
OG0001985	YJR002W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.122&CDS=1-1827
OG0001986	YJR003C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.81&CDS=1-1236
OG0001987	YJR005W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.61&CDS=1-2109
OG0001988	YJR006W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.150&CDS=1-1386
OG0001989	YJR007W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.46&CDS=1-906
OG0001990	YJR008W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.62&CDS=1-942
OG0001991	YJR010W	snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.123&CDS=1-1530
OG0001992	YJR013W	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.32&CDS=1-1260
OG0001993	YJR014W	augustus_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.80&CDS=1-585
OG0001994	YJR016C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.103&CDS=1-1749
OG0001995	YJR017C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.192-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.192&CDS=1-525
OG0001996	YJR024C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.74&CDS=1-777
OG0001997	YJR025C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.46-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.46&CDS=1-510
OG0001998	YJR032W	snap_masked-NODE_27_length_120446_cov_34.1613_ID_53-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_27_length_120446_cov_34.1613_ID_53-processed-gene-0.66&CDS=1-1143
OG0001999	YJR033C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.1&CDS=1-3873
OG0002000	YJR034W	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-0.48&CDS=1-348
OG0002001	YJR035W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.74&CDS=1-3348
OG0002002	YJR036C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.87&CDS=1-2472
OG0002003	YJR040W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.82&CDS=1-2259
OG0002004	YJR041C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.85&CDS=1-3273
OG0002005	YJR042W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.86&CDS=1-2265
OG0002006	YJR044C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.64-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.64&CDS=1-420
OG0002007	YJR052W	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-3.16&CDS=1-1731
OG0002008	YJR055W	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.58&CDS=1-441
OG0002009	YJR056C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.41&CDS=1-720
OG0002010	YJR057W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.55&CDS=1-621
OG0002011	YJR058C	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.39&CDS=1-435
OG0002012	YJR060W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.124&CDS=1-738
OG0002013	YJR062C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.73-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.73&CDS=1-1029
OG0002014	YJR063W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.77&CDS=1-369
OG0002015	YJR064W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.78-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.78&CDS=1-1650
OG0002016	YJR065C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.79-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.79&CDS=1-1269
OG0002017	YJR068W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-0.65&CDS=1-1023
OG0002018	YJR069C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.98&CDS=1-585
OG0002019	YJR070C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.95-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.95&CDS=1-969
OG0002020	YJR072C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-0.61&CDS=1-1116
OG0002021	YJR073C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.129-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.129&CDS=1-642
OG0002022	YJR074W	augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.31&CDS=1-519
OG0002023	YJR075W	augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.55&CDS=1-1188
OG0002024	YJR076C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.55&CDS=1-1242
OG0002025	YJR077C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.67&CDS=1-921
OG0002026	YJR082C	snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.115&CDS=1-498
OG0002027	YJR084W	augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.95&CDS=1-1296
OG0002028	YJR090C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.44&CDS=1-2499
OG0002029	YJR092W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.87&CDS=1-4686
OG0002030	YJR093C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.88&CDS=1-714
OG0002031	YJR095W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.54&CDS=1-930
OG0002032	YJR096W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.140-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.140&CDS=1-852
OG0002033	YJR097W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.101-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.101&CDS=1-531
OG0002034	YJR098C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.54&CDS=1-2202
OG0002035	YJR099W	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.80&CDS=1-699
OG0002036	YJR100C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.55&CDS=1-1035
OG0002037	YJR101W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.71&CDS=1-771
OG0002038	YJR102C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.46&CDS=1-582
OG0002039	YJR104C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.7&CDS=1-462
OG0002040	YJR105W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.3&CDS=1-1044
OG0002041	YJR109C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.66&CDS=1-3432
OG0002042	YJR110W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.57-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.57&CDS=1-2043
OG0002043	YJR111C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.59&CDS=1-1008
OG0002044	YJR112W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.68&CDS=1-594
OG0002045	YJR112W-A	snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.132&CDS=1-345
OG0002046	YJR113C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.64&CDS=1-753
OG0002047	YJR116W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.0&CDS=1-840
OG0002048	YJR118C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.20&CDS=1-501
OG0002049	YJR119C	maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-7.41-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-7.41&CDS=1-2316
OG0002050	YJR121W	maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-7.42-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-7.42&CDS=1-1509
OG0002051	YJR122W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.152-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.152&CDS=1-1329
OG0002052	YJR123W	snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.105&CDS=1-672
OG0002053	YJR124C	snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.106&CDS=1-1302
OG0002054	YJR126C	maker-NODE_23_length_171378_cov_22.7045_ID_45-snap-gene-0.84-mRNA-1_1&gene=maker-NODE_23_length_171378_cov_22.7045_ID_45-snap-gene-0.84&CDS=1-2508
OG0002055	YJR131W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.70&CDS=1-1743
OG0002056	YJR135W-A	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.65-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.65&CDS=1-270
OG0002057	YJR137C	augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.63&CDS=1-5601
OG0002058	YJR138W	augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.131&CDS=1-4536
OG0002059	YJR139C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.68&CDS=1-1080
OG0002060	YJR140C	maker-NODE_3_length_909521_cov_21.0721_ID_5-augustus-gene-4.91-mRNA-1_1&gene=maker-NODE_3_length_909521_cov_21.0721_ID_5-augustus-gene-4.91&CDS=1-6270
OG0002061	YJR141W	augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.67&CDS=1-1047
OG0002062	YJR142W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.40&CDS=1-912
OG0002063	YJR143C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.54&CDS=1-2229
OG0002064	YJR144W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.66&CDS=1-735
OG0002065	YKL001C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.9&CDS=1-594
OG0002066	YKL002W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.23&CDS=1-669
OG0002067	YKL003C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.22&CDS=1-366
OG0002068	YKL004W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.79&CDS=1-1284
OG0002069	YKL009W	snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.79&CDS=1-705
OG0002070	YKL010C	augustus_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.91&CDS=1-5487
OG0002071	YKL013C	augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.91&CDS=1-2265
OG0002072	YKL014C	augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.26&CDS=1-5565
OG0002073	YKL015W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.65&CDS=1-3078
OG0002074	YKL016C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.72&CDS=1-525
OG0002075	YKL017C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.67&CDS=1-2253
OG0002076	YKL018W	genemark-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.37-mRNA-1_1&gene=genemark-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.37&CDS=1-1035
OG0002077	YKL019W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.58&CDS=1-900
OG0002078	YKL021C	augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.6&CDS=1-1296
OG0002079	YKL022C	augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.19&CDS=1-1971
OG0002080	YKL024C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.191-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.191&CDS=1-783
OG0002081	YKL025C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.89&CDS=1-1905
OG0002082	YKL027W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.31&CDS=1-1305
OG0002083	YKL028W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.50&CDS=1-1053
OG0002084	YKL029C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.18-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.18&CDS=1-1905
OG0002085	YKL033W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.41&CDS=1-3390
OG0002086	YKL033W-A	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.17&CDS=1-720
OG0002087	YKL034W	snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.106&CDS=1-2334
OG0002088	YKL035W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.49&CDS=1-1521
OG0002089	YKL040C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.79-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.79&CDS=1-729
OG0002090	YKL041W	augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.8&CDS=1-654
OG0002091	YKL043W	augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.1&CDS=1-1356
OG0002092	YKL045W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.22&CDS=1-1527
OG0002093	YKL046C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.93&CDS=1-1335
