	Saccharomyces_cerevisiae	yHMPu5000035665_Middelhovenomyces_tepae
OG0001460	YGL140C	maker-NODE_18_length_247728_cov_23.5958_ID_2634-augustus-gene-1.215-mRNA-1_1&gene=maker-NODE_18_length_247728_cov_23.5958_ID_2634-augustus-gene-1.215&CDS=1-3219
OG0001461	YGL141W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.34&CDS=1-3078
OG0001462	YGL142C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.186-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.186&CDS=1-1458
OG0001463	YGL143C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.159-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.159&CDS=1-1188
OG0001464	YGL148W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.141-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.141&CDS=1-1131
OG0001465	YGL150C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.86&CDS=1-4086
OG0001466	YGL151W	snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.12&CDS=1-2739
OG0001467	YGL153W	genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.132&CDS=1-927
OG0001468	YGL154C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.107&CDS=1-765
OG0001469	YGL155W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.123-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.123&CDS=1-1251
OG0001470	YGL156W	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.135&CDS=1-3279
OG0001471	YGL159W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.87-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.87&CDS=1-972
OG0001472	YGL160W	augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.129&CDS=1-1623
OG0001473	YGL161C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-1.43&CDS=1-903
OG0001474	YGL163C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-7.23-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-7.23&CDS=1-2433
OG0001475	YGL164C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.50-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.50&CDS=1-1572
OG0001476	YGL166W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.47-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.47&CDS=1-1974
OG0001477	YGL167C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.110&CDS=1-2766
OG0001478	YGL169W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.91-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.91&CDS=1-1173
OG0001479	YGL171W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.87-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.87&CDS=1-1770
OG0001480	YGL172W	augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.133&CDS=1-1524
OG0001481	YGL173C	genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.12&CDS=1-4461
OG0001482	YGL174W	genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.37&CDS=1-837
OG0001483	YGL175C	snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.43&CDS=1-1743
OG0001484	YGL179C	snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-5.139-mRNA-1_1&gene=snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-5.139&CDS=1-2892
OG0001485	YGL180W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.51-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.51&CDS=1-2310
OG0001486	YGL184C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.72-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.72&CDS=1-1266
OG0001487	YGL186C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-1.157-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-1.157&CDS=1-2763
OG0001488	YGL187C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-8.53-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-8.53&CDS=1-528
OG0001489	YGL190C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.126-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.126&CDS=1-1428
OG0001490	YGL191W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.141&CDS=1-444
OG0001491	YGL192W	augustus_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.83&CDS=1-3939
OG0001492	YGL194C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.85-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.85&CDS=1-1275
OG0001493	YGL195W	maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-6.208-mRNA-1_1&gene=maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-6.208&CDS=1-7881
OG0001494	YGL198W	maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-5.56-mRNA-1_1&gene=maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-5.56&CDS=1-759
OG0001495	YGL200C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-12.25-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-12.25&CDS=1-600
OG0001496	YGL201C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.92&CDS=1-2742
OG0001497	YGL202W	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.77-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.77&CDS=1-1470
OG0001498	YGL203C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.70-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.70&CDS=1-1845
OG0001499	YGL206C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.68-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.68&CDS=1-5004
OG0001500	YGL207W	maker-NODE_10_length_765085_cov_24.1526_ID_2370-snap-gene-6.129-mRNA-1_1&gene=maker-NODE_10_length_765085_cov_24.1526_ID_2370-snap-gene-6.129&CDS=1-3000
OG0001501	YGL211W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.115&CDS=1-1062
OG0001502	YGL213C	maker-NODE_6_length_1060276_cov_25.4502_ID_2229-augustus-gene-1.69-mRNA-1_1&gene=maker-NODE_6_length_1060276_cov_25.4502_ID_2229-augustus-gene-1.69&CDS=1-930
OG0001503	YGL216W	maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-6.211-mRNA-1_1&gene=maker-NODE_10_length_765085_cov_24.1526_ID_2370-augustus-gene-6.211&CDS=1-2271
OG0001504	YGL220W	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-7.9-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-7.9&CDS=1-258
OG0001505	YGL221C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.37-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.37&CDS=1-852
OG0001506	YGL224C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.68-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.68&CDS=1-723
OG0001507	YGL225W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.140-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.140&CDS=1-1068
OG0001508	YGL231C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.237-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.237&CDS=1-495
OG0001509	YGL232W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.275-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.275&CDS=1-780
OG0001510	YGL233W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.115-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.115&CDS=1-2427
OG0001511	YGL234W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.55-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.55&CDS=1-2337
OG0001512	YGL236C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.98-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.98&CDS=1-2007
OG0001513	YGL237C	augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.87&CDS=1-495
OG0001514	YGL238W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.78-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.78&CDS=1-2925
OG0001515	YGL240W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.77-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.77&CDS=1-666
OG0001516	YGL241W	augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.108&CDS=1-2817
OG0001517	YGL242C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.71-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.71&CDS=1-504
OG0001518	YGL243W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.54-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.54&CDS=1-1248
OG0001519	YGL244W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.72-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.72&CDS=1-1605
OG0001520	YGL245W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.74-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.74&CDS=1-2169
OG0001521	YGL248W	augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.127&CDS=1-1110
OG0001522	YGL250W	augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.54&CDS=1-1632
OG0001523	YGL252C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.125-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.125&CDS=1-1716
OG0001524	YGL254W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-5.63-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-5.63&CDS=1-1323
OG0001525	YGL255W	genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.128&CDS=1-1098
OG0001526	YGL256W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.14&CDS=1-1473
OG0001527	YGR001C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.85-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.85&CDS=1-678
OG0001528	YGR002C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-9.92-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-9.92&CDS=1-1638
OG0001529	YGR005C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.138-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.138&CDS=1-1266
OG0001530	YGR006W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.115-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.115&CDS=1-1038
OG0001531	YGR007W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.117-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.117&CDS=1-1212
OG0001532	YGR009C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.91-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.91&CDS=1-1299
OG0001533	YGR012W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.67-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.67&CDS=1-1245
OG0001534	YGR013W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.68-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.68&CDS=1-1917
OG0001535	YGR014W	maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-4.48-mRNA-1_1&gene=maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-4.48&CDS=1-2592
OG0001536	YGR017W	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.11&CDS=1-729
OG0001537	YGR019W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.60-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.60&CDS=1-1476
OG0001538	YGR020C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.80-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.80&CDS=1-366
OG0001539	YGR021W	maker-NODE_5_length_1193255_cov_22.3319_ID_1222-augustus-gene-8.129-mRNA-1_1&gene=maker-NODE_5_length_1193255_cov_22.3319_ID_1222-augustus-gene-8.129&CDS=1-816
OG0001540	YGR024C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.51&CDS=1-777
OG0001541	YGR028W	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.222-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.222&CDS=1-1119
OG0001542	YGR029W	augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.131&CDS=1-648
OG0001543	YGR031W	maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-1.100-mRNA-1_1&gene=maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-1.100&CDS=1-957
OG0001544	YGR033C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.73-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.73&CDS=1-726
OG0001545	YGR036C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.89-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.89&CDS=1-660
OG0001546	YGR037C	augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.143&CDS=1-1185
OG0001547	YGR044C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.75-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.75&CDS=1-1686
OG0001548	YGR046W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.114-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.114&CDS=1-1464
OG0001549	YGR047C	augustus_masked-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.45&CDS=1-2835
OG0001550	YGR048W	genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.164-mRNA-1_1&gene=genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.164&CDS=1-1074
OG0001551	YGR053C	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-5.24&CDS=1-837
OG0001552	YGR054W	maker-NODE_3_length_1219547_cov_23.6558_ID_2013-snap-gene-5.41-mRNA-1_1&gene=maker-NODE_3_length_1219547_cov_23.6558_ID_2013-snap-gene-5.41&CDS=1-3255
OG0001553	YGR055W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-0.57&CDS=1-1653
OG0001554	YGR057C	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.144&CDS=1-762
OG0001555	YGR058W	augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.22&CDS=1-915
OG0001556	YGR061C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.18-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.18&CDS=1-3924
OG0001557	YGR062C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.138-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.138&CDS=1-909
OG0001558	YGR063C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.139-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.139&CDS=1-330
OG0001559	YGR074W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.110-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.110&CDS=1-351
OG0001560	YGR076C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.81-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.81&CDS=1-603
OG0001561	YGR078C	maker-NODE_8_length_986125_cov_23.6789_ID_1757-augustus-gene-5.111-mRNA-1_1&gene=maker-NODE_8_length_986125_cov_23.6789_ID_1757-augustus-gene-5.111&CDS=1-549
OG0001562	YGR080W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.186-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.186&CDS=1-1020
OG0001563	YGR081C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.97-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.97&CDS=1-513
OG0001564	YGR082W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.79&CDS=1-489
OG0001565	YGR083C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.51-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.51&CDS=1-1350
OG0001566	YGR086C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.60&CDS=1-945
OG0001567	YGR090W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.49-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.49&CDS=1-3420
OG0001568	YGR091W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.114&CDS=1-1632
OG0001569	YGR093W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.149-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.149&CDS=1-1614
OG0001570	YGR094W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.10&CDS=1-3117
OG0001571	YGR095C	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.31&CDS=1-666
OG0001572	YGR096W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.12&CDS=1-1062
OG0001573	YGR098C	augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.98&CDS=1-5073
OG0001574	YGR099W	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.93&CDS=1-2760
OG0001575	YGR100W	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.198-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.198&CDS=1-2808
OG0001576	YGR101W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.123-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.123&CDS=1-1119
OG0001577	YGR103W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.125-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.125&CDS=1-1755
OG0001578	YGR104C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.149-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.149&CDS=1-753
OG0001579	YGR105W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.150-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-6.150&CDS=1-243
OG0001580	YGR111W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.11&CDS=1-1131
OG0001581	YGR112W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.118-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.118&CDS=1-903
OG0001582	YGR113W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.140-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.140&CDS=1-516
OG0001583	YGR116W	augustus_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.29&CDS=1-4137
