	Priceomyces_haplophilus	Saccharomyces_cerevisiae
OG0001465	-processed-gene-8.56-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.56&CDS=1-1383	YOL072W
OG0001466	-processed-gene-8.88-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.88&CDS=1-2160	YLR047C
OG0001467	-processed-gene-8.90-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.90&CDS=1-516	YMR071C
OG0001468	-augustus-gene-8.102-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-augustus-gene-8.102&CDS=1-2379	YGR210C
OG0001469	-processed-gene-8.62-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.62&CDS=1-2997	YKL165C
OG0001470	-processed-gene-8.63-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.63&CDS=1-1548	YKL211C
OG0001471	-processed-gene-8.91-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.91&CDS=1-2400	YKL213C
OG0001472	-processed-gene-8.65-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.65&CDS=1-1830	YKL212W
OG0001473	-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.146&CDS=1-1719	YNR055C
OG0001474	-processed-gene-8.70-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.70&CDS=1-915	YJR077C
OG0001475	-processed-gene-8.72-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.72&CDS=1-669	YJL148W
OG0001476	-processed-gene-8.74-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.74&CDS=1-777	YER010C
OG0001477	-processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.76&CDS=1-1305	YPL203W
OG0001478	-processed-gene-8.93-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.93&CDS=1-1614	YEL007W
OG0001479	-processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.78&CDS=1-1821	YBR203W
OG0001480	-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.134&CDS=1-1167	YER009W
OG0001481	-processed-gene-8.94-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.94&CDS=1-471	YDR482C
OG0001482	-processed-gene-8.42-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.42&CDS=1-1152	YDR005C
OG0001483	-processed-gene-8.96-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.96&CDS=1-1530	YDR004W
OG0001484	-processed-gene-8.97-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.97&CDS=1-861	YBR011C
OG0001485	-processed-gene-8.98-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.98&CDS=1-1032	YHL022C
OG0001486	-snap-gene-8.160-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-8.160&CDS=1-516	YPR028W
OG0001487	-snap-gene-8.161-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-8.161&CDS=1-1251	YKL082C
OG0001488	-processed-gene-8.85-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.85&CDS=1-1113	YKL080W
OG0001489	-processed-gene-9.3-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.3&CDS=1-2853	YIL075C
OG0001490	-processed-gene-9.4-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.4&CDS=1-1395	YER081W
OG0001491	-processed-gene-9.6-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.6&CDS=1-1611	YER014W
OG0001492	-processed-gene-9.28-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.28&CDS=1-366	YIR009W
OG0001493	-processed-gene-9.7-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.7&CDS=1-3642	YAR042W
OG0001494	-processed-gene-9.8-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.8&CDS=1-1611	YPR169W
OG0001495	-snap-gene-9.94-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-9.94&CDS=1-4200	YJR110W
OG0001496	-processed-gene-9.11-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.11&CDS=1-1017	YJR111C
OG0001497	-processed-gene-9.29-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.29&CDS=1-255	YPR170W-B
OG0001498	-processed-gene-9.12-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.12&CDS=1-435	YPR168W
OG0001499	-processed-gene-9.13-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.13&CDS=1-6897	YFR031C
OG0001500	-processed-gene-9.15-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.15&CDS=1-735	YER100W
OG0001501	-processed-gene-9.16-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.16&CDS=1-1959	YBL061C
OG0001502	-processed-gene-9.17-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.17&CDS=1-720	YNL208W
OG0001503	-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.81&CDS=1-2004	YNL025C
OG0001504	-processed-gene-9.19-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.19&CDS=1-1059	YIL083C
OG0001505	-processed-gene-9.34-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.34&CDS=1-1455	YNL026W
OG0001506	-processed-gene-9.36-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.36&CDS=1-1239	YML005W
OG0001507	-processed-gene-9.20-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.20&CDS=1-1290	YNL016W
OG0001508	-augustus-gene-9.48-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-augustus-gene-9.48&CDS=1-3069	YDL122W
OG0001509	-processed-gene-9.37-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.37&CDS=1-1494	YIL097W
OG0001510	-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.88&CDS=1-1890	YBR287W
OG0001511	-processed-gene-9.42-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.42&CDS=1-729	YJL115W
OG0001512	-processed-gene-9.43-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.43&CDS=1-3486	YER093C
OG0001513	-processed-gene-9.26-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.26&CDS=1-849	YNL075W
OG0001514	-processed-gene-9.44-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.44&CDS=1-2967	YKR050W
OG0001515	-augustus-gene-9.50-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-augustus-gene-9.50&CDS=1-2370	YJL127C
OG0001516	-snap-gene-10.71-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-10.71&CDS=1-981	YIL084C
OG0001517	-processed-gene-10.81-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.81&CDS=1-423	YIL087C
OG0001518	-processed-gene-10.168-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.168&CDS=1-822	YNL032W
OG0001519	-processed-gene-10.7-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.7&CDS=1-210	YNL024C-A
OG0001520	-processed-gene-10.85-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.85&CDS=1-2145	YIL091C
OG0001521	-processed-gene-10.82-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.82&CDS=1-1431	YIL090W
OG0001522	-processed-gene-10.128-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.128&CDS=1-1149	YFL026W
OG0001523	-processed-gene-10.130-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.130&CDS=1-1584	YIL142W
OG0001524	-processed-gene-10.87-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.87&CDS=1-1641	YNL083W
OG0001525	-processed-gene-10.88-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.88&CDS=1-2790	YNL082W
OG0001526	-processed-gene-10.93-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.93&CDS=1-918	YDL230W
OG0001527	-processed-gene-10.94-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.94&CDS=1-1104	YNL210W
OG0001528	-snap-gene-10.76-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-10.76&CDS=1-585	YDL228C
OG0001529	-processed-gene-10.132-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.132&CDS=1-1278	YNL207W
OG0001530	-processed-gene-10.133-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.133&CDS=1-2412	YNL118C
OG0001531	-processed-gene-10.97-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.97&CDS=1-933	YLR393W
OG0001532	-processed-gene-10.98-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.98&CDS=1-354	YHL015W
OG0001533	-processed-gene-10.99-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.99&CDS=1-1761	YOR090C
OG0001534	-processed-gene-10.101-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.101&CDS=1-2346	YLR397C
OG0001535	-processed-gene-10.135-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.135&CDS=1-945	YDL065C
OG0001536	-processed-gene-10.102-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.102&CDS=1-474	YDL064W
OG0001537	-processed-gene-10.136-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.136&CDS=1-1365	YJL155C
OG0001538	-processed-gene-10.103-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.103&CDS=1-2403	YJL156C
OG0001539	-processed-gene-10.140-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.140&CDS=1-1827	YDL063C
OG0001540	-snap-gene-10.77-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-10.77&CDS=1-270	YLR390W
OG0001541	-processed-gene-10.28-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.28&CDS=1-3708	YDL060W
OG0001542	-processed-gene-10.107-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.107&CDS=1-2757	YLR386W
OG0001543	-processed-gene-10.110-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.110&CDS=1-933	YNL080C
OG0001544	-snap-gene-10.75-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-10.75&CDS=1-363	YNL081C
OG0001545	-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.35&CDS=1-393	YCR028C-A
OG0001546	-processed-gene-10.143-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.143&CDS=1-1221	YDR415C
OG0001547	-processed-gene-10.113-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.113&CDS=1-4320	YBL079W
OG0001548	-processed-gene-10.144-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.144&CDS=1-750	YDR020C
OG0001549	-processed-gene-10.115-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.115&CDS=1-3330	YER110C
OG0001550	-processed-gene-10.39-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.39&CDS=1-1287	YKL178C
OG0001551	-processed-gene-10.145-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.145&CDS=1-1527	YBL080C
OG0001552	-processed-gene-10.117-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.117&CDS=1-414	YBL078C
OG0001553	-processed-gene-10.204-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.204&CDS=1-2034	YML127W
OG0001554	-processed-gene-10.152-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.152&CDS=1-1827	YHL040C
OG0001555	-processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.60&CDS=1-3525	YGR274C
OG0001556	-processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.44&CDS=1-1680	YGR276C
OG0001557	-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.110&CDS=1-3723	YNL163C
OG0001558	-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.93&CDS=1-1593	YDL160C
OG0001559	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.8&CDS=1-1017	YGL225W
OG0001560	-processed-gene-0.46-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.46&CDS=1-2934	YGL238W
OG0001561	-processed-gene-0.66-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.66&CDS=1-705	YGL237C
OG0001562	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.67&CDS=1-864	YLR003C
OG0001563	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.48&CDS=1-1992	YGL236C
OG0001564	-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.114&CDS=1-846	YFR027W
OG0001565	-processed-gene-0.50-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.50&CDS=1-897	YFR047C
OG0001566	-processed-gene-0.70-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.70&CDS=1-1101	YGL240W
OG0001567	-processed-gene-0.72-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.72&CDS=1-2175	YJL101C
OG0001568	-processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.73&CDS=1-2385	YGL234W
OG0001569	-processed-gene-0.74-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.74&CDS=1-1113	YMR024W
OG0001570	-processed-gene-0.75-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.75&CDS=1-1323	YDR414C
OG0001571	-processed-gene-0.76-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.76&CDS=1-771	YDR412W
OG0001572	-processed-gene-0.52-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.52&CDS=1-585	YHR081W
OG0001573	-processed-gene-0.77-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.77&CDS=1-3279	YHR079C
OG0001574	-snap-gene-0.127-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-snap-gene-0.127&CDS=1-372	YHR079C-A
OG0001575	-augustus-gene-0.85-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-augustus-gene-0.85&CDS=1-3477	YOR165W
OG0001576	-processed-gene-1.8-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.8&CDS=1-2568	YPR003C
OG0001577	-processed-gene-1.9-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.9&CDS=1-1206	YEL056W
OG0001578	-processed-gene-1.10-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.10&CDS=1-678	YDR071C
OG0001579	-processed-gene-1.11-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.11&CDS=1-951	YHR083W
OG0001580	-augustus-gene-1.1-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-augustus-gene-1.1&CDS=1-2811	YER136W
OG0001581	-processed-gene-1.36-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.36&CDS=1-1260	YER143W
OG0001582	-augustus-gene-1.3-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-augustus-gene-1.3&CDS=1-2358	YLR006C
OG0001583	-processed-gene-1.134-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.134&CDS=1-1041	YDR068W
OG0001584	-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.69&CDS=1-3294	YDR062W
OG0001585	-processed-gene-1.18-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.18&CDS=1-585	YDR067C
OG0001586	-processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.40&CDS=1-1500	YBR056W
OG0001587	-processed-gene-1.19-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.19&CDS=1-3534	YDR291W
OG0001588	-snap-gene-1.60-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-snap-gene-1.60&CDS=1-1155	YPR054W
OG0001589	-processed-gene-1.20-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.20&CDS=1-888	YJR007W
OG0001590	-processed-gene-1.46-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.46&CDS=1-1449	YKL221W
OG0001591	-processed-gene-1.118-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.118&CDS=1-3255	YJL102W
OG0001592	-augustus-gene-1.6-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-augustus-gene-1.6&CDS=1-3528	YKL015W
OG0001593	-processed-gene-1.49-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.49&CDS=1-2223	YKL017C
OG0001594	-processed-gene-1.146-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.146&CDS=1-5436	YKL014C
OG0001595	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.51&CDS=1-468	YPL059W
OG0001596	-processed-gene-1.25-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.25&CDS=1-675	YLR376C
OG0001597	-processed-gene-1.53-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.53&CDS=1-525	YKL016C
OG0001598	-processed-gene-1.26-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.26&CDS=1-2997	YBL037W
OG0001599	-processed-gene-1.54-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.54&CDS=1-1107	YKL018W
OG0001600	-processed-gene-1.30-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.30&CDS=1-2661	YBR086C
OG0001601	-processed-gene-1.55-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.55&CDS=1-747	YBL036C
OG0001602	-processed-gene-1.31-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.31&CDS=1-888	YDL051W
OG0001603	-processed-gene-1.32-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.32&CDS=1-4017	YBL035C
OG0001604	-processed-gene-1.33-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.33&CDS=1-1143	YDR331W
OG0001605	-processed-gene-1.34-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.34&CDS=1-492	YDR328C
OG0001606	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.56&CDS=1-1419	YDR330W
OG0001607	-processed-gene-2.55-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.55&CDS=1-1710	YHR084W
OG0001608	-processed-gene-2.57-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.57&CDS=1-4350	YBL034C
OG0001609	-processed-gene-2.4-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.4&CDS=1-432	YER112W
OG0001610	-processed-gene-2.88-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.88&CDS=1-1185	YBL086C
OG0001611	-processed-gene-2.89-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.89&CDS=1-684	YHR122W
OG0001612	-processed-gene-2.90-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.90&CDS=1-336	YNL135C
OG0001613	-processed-gene-2.63-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.63&CDS=1-1824	YHR117W
OG0001614	-processed-gene-2.64-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.64&CDS=1-1161	YNL128W
OG0001615	-processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.91&CDS=1-585	YHR121W
OG0001616	-processed-gene-2.65-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.65&CDS=1-2694	YNL127W
OG0001617	-processed-gene-2.66-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.66&CDS=1-444	YNL131W
OG0001618	-processed-gene-2.92-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.92&CDS=1-1188	YHR123W
OG0001619	-processed-gene-2.93-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.93&CDS=1-2124	YMR186W
OG0001620	-processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.39&CDS=1-3906	YMR201C
OG0001621	-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.122&CDS=1-591	YPL239W
OG0001622	-processed-gene-2.68-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.68&CDS=1-828	YPL237W
OG0001623	-processed-gene-2.97-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.97&CDS=1-1089	YPL236C
OG0001624	-processed-gene-2.70-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.70&CDS=1-786	YPL246C
OG0001625	-processed-gene-2.98-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.98&CDS=1-1185	YMR203W
OG0001626	-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.129&CDS=1-1407	YPL235W
OG0001627	-processed-gene-2.99-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.99&CDS=1-489	YPL234C
OG0001628	-processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.76&CDS=1-666	YPL233W
OG0001629	-processed-gene-2.77-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.77&CDS=1-4656	YPL242C
OG0001630	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.44&CDS=1-3873	YNR008W
OG0001631	-processed-gene-2.102-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.102&CDS=1-906	YNR007C
OG0001632	-processed-gene-2.80-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.80&CDS=1-651	YMR202W
OG0001633	-processed-gene-2.82-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.82&CDS=1-729	YMR200W
