	Neurospora_crassa	Saccharomyces_cerevisiae
OG0001011	XP_956507.1	YDL097C
OG0001012	XP_956512.2	YJL124C
OG0001013	XP_956516.3	YIL106W
OG0001014	XP_956517.1	YDR298C
OG0001015	XP_956522.2	YAR035W
OG0001016	XP_956523.3	YGL120C
OG0001017	XP_956525.1	YPR182W
OG0001018	XP_956536.3	YER171W
OG0001019	XP_956548.2	YBR245C
OG0001020	XP_956549.1	YMR146C
OG0001021	XP_956553.1	YGR202C
OG0001022	XP_956556.1	YER072W
OG0001023	XP_956558.2	YOR023C
OG0001024	XP_956564.1	YGR286C
OG0001025	XP_956565.3	YJR064W
OG0001026	XP_956567.1	YJL034W
OG0001027	XP_956570.1	YMR114C
OG0001028	XP_956571.3	YOR116C
OG0001029	XP_956574.1	YPR011C
OG0001030	XP_956577.2	YDR129C
OG0001031	XP_956580.1	YOR085W
OG0001032	XP_956583.1	YEL020W-A
OG0001033	XP_956587.2	YLR429W
OG0001034	XP_956590.1	YGR098C
OG0001035	XP_956595.2	YPL178W
OG0001036	XP_956598.1	YBL084C
OG0001037	XP_956601.1	YIL043C
OG0001038	XP_956605.1	YPR168W
OG0001039	XP_956615.2	YLR005W
OG0001040	XP_956627.2	YJL014W
OG0001041	XP_956652.1	YGL006W
OG0001042	XP_956659.1	YBR201W
OG0001043	XP_956660.1	YMR009W
OG0001044	XP_956664.1	YIL019W
OG0001045	XP_956668.3	YIL130W
OG0001046	XP_956671.2	YGR006W
OG0001047	XP_956676.2	YOR067C
OG0001048	XP_956680.3	YKL047W
OG0001049	XP_956681.1	YDL052C
OG0001050	XP_956682.1	YOR254C
OG0001051	XP_956685.1	YBR289W
OG0001052	XP_956687.2	YMR075W
OG0001053	XP_956688.3	YMR076C
OG0001054	XP_956691.1	YEL015W
OG0001055	XP_956692.2	YML061C
OG0001056	XP_956694.3	YLR138W
OG0001057	XP_956695.1	YNL131W
OG0001058	XP_956698.1	YDL006W
OG0001059	XP_956699.1	YKL002W
OG0001060	XP_956700.1	YBR179C
OG0001061	XP_956704.2	YOR212W
OG0001062	XP_956708.3	YPL129W
OG0001063	XP_956709.3	YDR421W
OG0001064	XP_956711.1	YCR053W
OG0001065	XP_956712.1	YBR276C
OG0001066	XP_956722.1	YDL047W
OG0001067	XP_956726.1	YBL037W
OG0001068	XP_956727.2	YFR021W
OG0001069	XP_956741.1	YHR132C
OG0001070	XP_956745.1	YGR083C
OG0001071	XP_956747.2	YEL013W
OG0001072	XP_956750.2	YDR322W
OG0001073	XP_956756.1	YER017C
OG0001074	XP_956757.3	YNL275W
OG0001075	XP_956758.3	YEL064C
OG0001076	XP_956761.2	YPR165W
OG0001077	XP_956762.2	YPL173W
OG0001078	XP_956766.1	YDR062W
OG0001079	XP_956772.2	YDR456W
OG0001080	XP_956774.1	YCL032W
OG0001081	XP_956780.2	YDL215C
OG0001082	XP_956782.2	YLR231C
OG0001083	XP_956783.3	YBL092W
OG0001084	XP_956785.3	YOL033W
OG0001085	XP_956788.1	YAL020C
OG0001086	XP_956791.1	YDR168W
OG0001087	XP_956795.1	YLR022C
OG0001088	XP_956796.1	YMR297W
OG0001089	XP_956816.3	YDR254W
OG0001090	XP_956817.3	YBL055C
OG0001091	XP_956818.1	YER070W
OG0001092	XP_956825.1	YDR017C
OG0001093	XP_956827.1	YFL002C
OG0001094	XP_956828.2	YOR311C
OG0001095	XP_956834.1	YBR080C
OG0001096	XP_956841.1	YDR337W
OG0001097	XP_956842.1	YLR447C
OG0001098	XP_956843.1	YOR310C
OG0001099	XP_956848.2	YNL153C
OG0001100	XP_956852.1	YDR016C
OG0001101	XP_956856.1	YKL149C
OG0001102	XP_956862.1	YER073W
OG0001103	XP_956863.2	YPL128C
OG0001104	XP_956872.1	YCL009C
OG0001105	XP_956873.3	YJL088W
OG0001106	XP_956880.2	YBL050W
OG0001107	XP_956881.1	YPL012W
OG0001108	XP_956886.1	YGL008C
OG0001109	XP_956898.1	YNR001C
OG0001110	XP_956901.3	YNL251C
OG0001111	XP_956902.3	YDR228C
OG0001112	XP_956908.1	YFR002W
OG0001113	XP_956911.1	YML014W
OG0001114	XP_956915.1	YHR065C
OG0001115	XP_956918.1	YJR072C
OG0001116	XP_956919.1	YHR143W-A
OG0001117	XP_956923.3	YJR140C
OG0001118	XP_956930.1	YIR022W
OG0001119	XP_956934.1	YGR246C
OG0001120	XP_956946.3	YLR045C
OG0001121	XP_956947.1	YJL106W
OG0001122	XP_956950.3	YBL057C
OG0001123	XP_956951.1	YER082C
OG0001124	XP_956952.1	YDL060W
OG0001125	XP_956955.1	YNL213C
OG0001126	XP_956961.1	YPR047W
OG0001127	XP_956963.2	YLR348C
OG0001128	XP_956964.1	YIL021W
OG0001129	XP_956965.1	YOR232W
OG0001130	XP_956966.2	YIL099W
OG0001131	XP_956973.3	YOL077C
OG0001132	XP_956974.3	YNL021W
OG0001133	XP_956994.1	YNL294C
OG0001134	XP_957008.3	YMR012W
OG0001135	XP_957014.1	YMR059W
OG0001136	XP_957016.2	YKL175W
OG0001137	XP_957017.1	YJL208C
OG0001138	XP_957028.3	YDR448W
OG0001139	XP_957029.1	YBR018C
OG0001140	XP_957030.2	YER044C
OG0001141	XP_957031.1	YBR159W
OG0001142	XP_957048.1	YDR415C
OG0001143	XP_957050.1	YEL052W
OG0001144	XP_957054.1	YDR365C
OG0001145	XP_957069.2	YLR286C
OG0001146	XP_957081.1	YFL022C
OG0001147	XP_957106.3	YOR151C
OG0001148	XP_957115.2	YER090W
OG0001149	XP_957121.1	YDL164C
OG0001150	XP_957122.1	YER178W
OG0001151	XP_957124.1	YGR270W
OG0001152	XP_957125.1	YNL248C
OG0001153	XP_957128.2	YIL126W
OG0001154	XP_957131.1	YBR231C
OG0001155	XP_957133.1	YHR005C
OG0001156	XP_957135.1	YCL057C-A
OG0001157	XP_957137.1	YLR215C
OG0001158	XP_957138.1	YDR482C
OG0001159	XP_957148.1	YLL031C
OG0001160	XP_957152.1	YER091C
OG0001161	XP_957161.3	YOL001W
OG0001162	XP_957164.2	YIL004C
OG0001163	XP_957170.1	YPL110C
OG0001164	XP_957174.1	YKL188C
OG0001165	XP_957176.3	YLR299W
OG0001166	XP_957179.2	YJR065C
OG0001167	XP_957181.3	YPL222W
OG0001168	XP_957182.1	YDL124W
OG0001169	XP_957184.2	YGR215W
OG0001170	XP_957190.3	YOR090C
OG0001171	XP_957191.3	YMR196W
OG0001172	XP_957194.2	YDR004W
OG0001173	XP_957195.1	YOR207C
OG0001174	XP_957199.1	YMR121C
OG0001175	XP_957202.1	YKL040C
OG0001176	XP_957203.1	YJR055W
OG0001177	XP_957206.1	YNL038W
OG0001178	XP_957212.1	YDL236W
OG0001179	XP_957214.2	YHL027W
OG0001180	XP_957216.1	YGR271C-A
OG0001181	XP_957219.1	YOL145C
OG0001182	XP_957225.1	YCL052C
OG0001183	XP_957228.1	YLL026W
OG0001184	XP_957229.2	YPL211W
OG0001185	XP_957231.3	YNR020C
OG0001186	XP_957232.2	YPL209C
OG0001187	XP_957236.2	YLL029W
OG0001188	XP_957238.2	YDR041W
OG0001189	XP_957239.1	YLR051C
OG0001190	XP_957241.2	YGL233W
OG0001191	XP_957243.2	YOR154W
OG0001192	XP_957246.2	YHR113W
OG0001193	XP_957252.3	YPR041W
OG0001194	XP_957255.1	YDR196C
OG0001195	XP_957258.2	YMR259C
OG0001196	XP_957271.2	YDL004W
OG0001197	XP_957273.3	YIL049W
OG0001198	XP_957275.3	YAL036C
OG0001199	XP_957281.3	YLR203C
OG0001200	XP_957283.2	YOR126C
OG0001201	XP_957290.3	YHR088W
OG0001202	XP_957291.2	YBR121C
OG0001203	XP_957292.1	YNL298W
OG0001204	XP_957296.1	YBR143C
OG0001205	XP_957300.2	YJR105W
OG0001206	XP_957303.1	YCR063W
OG0001207	XP_957305.1	YNL113W
OG0001208	XP_957309.1	YHR169W
OG0001209	XP_957315.1	YJR122W
OG0001210	XP_957319.1	YOR243C
OG0001211	XP_957323.2	YOR369C
OG0001212	XP_957327.3	YCR068W
OG0001213	XP_957329.1	YIL143C
OG0001214	XP_957332.1	YDL178W
OG0001215	XP_957337.1	YBR279W
OG0001216	XP_957338.1	YCL001W
OG0001217	XP_957340.1	YKR050W
OG0001218	XP_957348.1	YHR019C
OG0001219	XP_957350.1	YPL184C
OG0001220	XP_957354.2	YAL034W-A
OG0001221	XP_957355.1	YKL056C
OG0001222	XP_957356.3	YDR297W
OG0001223	XP_957359.3	YLR106C
OG0001224	XP_957360.1	YGL068W
OG0001225	XP_957362.2	YER023W
OG0001226	XP_957363.1	YPL001W
OG0001227	XP_957378.2	YFR044C
OG0001228	XP_957381.1	YBR248C
OG0001229	XP_957390.1	YER003C
OG0001230	XP_957391.1	YOR340C
OG0001231	XP_957395.1	YIR030C
OG0001232	XP_957396.1	YDL029W
OG0001233	XP_957399.1	YCL010C
OG0001234	XP_957406.3	YJR129C
OG0001235	XP_957413.1	YBL033C
OG0001236	XP_957455.1	YLR103C
OG0001237	XP_957456.1	YDR373W
OG0001238	XP_957457.1	YOR317W
OG0001239	XP_957458.2	YLR137W
OG0001240	XP_957462.1	YGL009C
OG0001241	XP_957464.1	YGR020C
OG0001242	XP_957465.1	YDL046W
OG0001243	XP_957477.1	YFL053W
OG0001244	XP_957481.1	YDR238C
OG0001245	XP_957483.3	YBR105C
OG0001246	XP_957484.1	YOL124C
OG0001247	XP_957486.1	YCR051W
OG0001248	XP_957487.1	YJL087C
OG0001249	XP_957488.1	YDR354W
OG0001250	XP_957491.2	YOR117W
OG0001251	XP_957503.3	YFL029C
OG0001252	XP_957504.2	YCR030C
OG0001253	XP_957505.3	YGL086W
OG0001254	XP_957506.1	YGR046W
OG0001255	XP_957507.1	YBR286W
OG0001256	XP_957512.1	YFL055W
OG0001257	XP_957516.1	YJL033W
OG0001258	XP_957519.1	YBR019C
OG0001259	XP_957520.2	YBR046C
OG0001260	XP_957527.1	YHR016C
OG0001261	XP_957528.1	YKL006C-A
OG0001262	XP_957529.1	YIL044C
OG0001263	XP_957530.2	YCL033C
OG0001264	XP_957531.3	YML127W
OG0001265	XP_957537.2	YJR102C
OG0001266	XP_957538.3	YIL144W
OG0001267	XP_957540.1	YGL153W
OG0001268	XP_957544.2	YDR423C
OG0001269	XP_957546.1	YLR435W
OG0001270	XP_957547.1	YER004W
OG0001271	XP_957548.2	YKR062W
OG0001272	XP_957549.3	YNL111C
OG0001273	XP_957550.2	YKL007W
OG0001274	XP_957561.1	YML126C
OG0001275	XP_957564.1	YOR084W
OG0001276	XP_957565.3	YDR175C
OG0001277	XP_957574.1	YJR139C
OG0001278	XP_957575.1	YDL201W
OG0001279	XP_957576.3	YML104C
OG0001280	XP_957583.1	YMR092C
OG0001281	XP_957586.3	YER125W
OG0001282	XP_957589.2	YDR089W
OG0001283	XP_957591.3	YJR002W
OG0001284	XP_957594.3	YKR031C
OG0001285	XP_957595.1	YGL244W
OG0001286	XP_957596.1	YOR125C
OG0001287	XP_957600.1	YGR145W
OG0001288	XP_957602.1	YLR017W
OG0001289	XP_957603.1	YCR054C
OG0001290	XP_957605.1	YAL048C
OG0001291	XP_957607.1	YEL019C
OG0001292	XP_957609.1	YDR236C
OG0001293	XP_957610.1	YBR236C
OG0001294	XP_957611.1	YPR108W
OG0001295	XP_957612.2	YDR111C
OG0001296	XP_957617.2	YGR002C
OG0001297	XP_957622.2	YKR082W
OG0001298	XP_957624.3	YHR069C
OG0001299	XP_957630.3	YNR006W
OG0001300	XP_957635.1	YDR037W
OG0001301	XP_957650.2	YBL008W
OG0001302	XP_957655.1	YBR061C
OG0001303	XP_957656.1	YBR142W
OG0001304	XP_957662.2	YKR092C
OG0001305	XP_957665.1	YEL009C
OG0001306	XP_957666.1	YFR009W
OG0001307	XP_957669.2	YFL037W
OG0001308	XP_957678.2	YLR208W
OG0001309	XP_957680.2	YJL093C
OG0001310	XP_957683.3	YHR147C
OG0001311	XP_957684.2	YOL064C
OG0001312	XP_957688.3	YER068W
OG0001313	XP_957692.1	YFR030W
OG0001314	XP_957693.2	YGL256W
OG0001315	XP_957696.1	YLR150W
OG0001316	XP_957698.1	YOR271C
OG0001317	XP_957701.3	YLL019C
OG0001318	XP_957703.2	YKR079C
OG0001319	XP_957708.3	YGL248W
OG0001320	XP_957713.1	YGL212W
OG0001321	XP_957714.3	YER016W
OG0001322	XP_957731.1	YMR318C
OG0001323	XP_957732.2	YBL039C
OG0001324	XP_957735.1	YAL046C
OG0001325	XP_957740.1	YJL168C
OG0001326	XP_957744.2	YJL039C
OG0001327	XP_957745.3	YBL088C
OG0001328	XP_957747.2	YOR330C
OG0001329	XP_957748.1	YOR367W
OG0001330	XP_957764.2	YGL067W
OG0001331	XP_957772.1	YDL153C
OG0001332	XP_957773.3	YBR265W
OG0001333	XP_957774.1	YPL199C
OG0001334	XP_957779.1	YNL022C
OG0001335	XP_957781.1	YGR047C
OG0001336	XP_957786.1	YFR032C-A
OG0001337	XP_957787.1	YPR128C
OG0001338	XP_957795.2	YOL078W
OG0001339	XP_957805.1	YDR280W
OG0001340	XP_957807.1	YJL109C
OG0001341	XP_957808.1	YLR002C
OG0001342	XP_957811.1	YHR084W
OG0001343	XP_957816.1	YKL033W
OG0001344	XP_957819.2	YPR094W
OG0001345	XP_957823.1	YAL026C
OG0001346	XP_957827.2	YAL022C
OG0001347	XP_957828.3	YGL219C
OG0001348	XP_957830.1	YNL107W
OG0001349	XP_957831.1	YLR290C
OG0001350	XP_957863.3	YGR262C
OG0001351	XP_957869.1	YCR088W
OG0001352	XP_957876.3	YPL072W
OG0001353	XP_957879.3	YJL074C
OG0001354	XP_957881.1	YDL145C
OG0001355	XP_957882.1	YFR052W
OG0001356	XP_957887.3	YNL256W
OG0001357	XP_957892.2	YER078C
OG0001358	XP_957893.3	YDR052C
OG0001359	XP_957904.1	YMR027W
OG0001360	XP_957907.1	YGL011C
OG0001361	XP_957916.2	YPR049C
OG0001362	XP_957920.2	YHR009C
OG0001363	XP_957939.2	YGR234W
OG0001364	XP_957941.1	YOR074C
OG0001365	XP_957953.2	YEL012W
OG0001366	XP_957955.2	YBR176W
OG0001367	XP_957956.3	YBR217W
OG0001368	XP_957961.3	YKL114C
OG0001369	XP_957973.3	YOR216C
OG0001370	XP_957975.3	YHR072W-A
OG0001371	XP_957976.3	YOR056C
OG0001372	XP_957979.1	YMR296C
OG0001373	XP_957980.1	YLR342W
OG0001374	XP_957993.1	YFR050C
OG0001375	XP_957994.3	YKL104C
OG0001376	XP_958006.1	YIL096C
OG0001377	XP_958008.3	YDR124W
OG0001378	XP_958012.2	YDR362C
OG0001379	XP_958013.2	YOL002C
OG0001380	XP_958018.1	YPL226W
OG0001381	XP_958022.2	YER042W
OG0001382	XP_958025.1	YDR527W
OG0001383	XP_958032.1	YGR189C
OG0001384	XP_958036.1	YIL075C
OG0001385	XP_958039.1	YPR073C
OG0001386	XP_958040.2	YHR030C
OG0001387	XP_958041.1	YMR093W
OG0001388	XP_958047.1	YLR200W
OG0001389	XP_958048.1	YPR173C
OG0001390	XP_958049.2	YLR197W
OG0001391	XP_958053.1	YER002W
OG0001392	XP_958075.3	YCR024C
OG0001393	XP_958077.1	YHR098C
OG0001394	XP_958084.1	YDR470C
OG0001395	XP_958085.1	YPL252C
OG0001396	XP_958086.1	YPR143W
OG0001397	XP_958122.2	YLR289W
OG0001398	XP_958133.1	YGL018C
OG0001399	XP_958142.2	YJL001W
OG0001400	XP_958143.1	YPR037C
OG0001401	XP_958146.1	YDR135C
OG0001402	XP_958182.3	YHR120W
OG0001403	XP_958184.1	YDR165W
OG0001404	XP_958190.1	YNL237W
OG0001405	XP_958192.1	YBR042C
OG0001406	XP_958193.1	YPL188W
OG0001407	XP_958194.1	YDL120W
OG0001408	XP_958196.1	YNR038W
OG0001409	XP_958197.1	YPL175W
OG0001410	XP_958218.3	YBR109C
OG0001411	XP_958270.2	YPR140W
OG0001412	XP_958273.1	YGL066W
OG0001413	XP_958274.1	YPL031C
OG0001414	XP_958280.1	YJR016C
OG0001415	XP_958281.1	YPR139C
OG0001416	XP_958282.2	YPR141C
OG0001417	XP_958285.1	YMR039C
OG0001418	XP_958288.3	YPR175W
OG0001419	XP_958294.1	YNL279W
OG0001420	XP_958302.1	YDR334W
OG0001421	XP_958308.1	YHL016C
OG0001422	XP_958315.3	YAL019W
OG0001423	XP_958316.1	YGR105W
OG0001424	XP_958320.3	YNL241C
OG0001425	XP_958321.3	YLR071C
OG0001426	XP_958354.1	YBL015W
OG0001427	XP_958364.1	YIL030C
OG0001428	XP_958376.2	YBR096W
OG0001429	XP_958407.1	YEL031W
OG0001430	XP_958408.1	YKL085W
OG0001431	XP_958413.2	YGL131C
OG0001432	XP_958415.1	YNL064C
OG0001433	XP_958418.3	YKR088C
OG0001434	XP_958429.1	YOR144C
OG0001435	XP_958432.3	YJL090C
OG0001436	XP_958443.1	YLR272C
OG0001437	XP_958448.1	YDL156W
OG0001438	XP_958477.3	YDL148C
OG0001439	XP_958483.1	YPL236C
OG0001440	XP_958484.1	YCL029C
OG0001441	XP_958487.1	YDL212W
OG0001442	XP_958488.1	YGL156W
OG0001443	XP_958502.1	YJL218W
OG0001444	XP_958505.2	YMR281W
OG0001445	XP_958507.2	YLR438C-A
OG0001446	XP_958509.1	YOR322C
OG0001447	XP_958511.2	YLR032W
OG0001448	XP_958516.1	YMR131C
OG0001449	XP_958524.1	YLL002W
OG0001450	XP_958525.1	YLR312W-A
OG0001451	XP_958526.1	YDR257C
OG0001452	XP_958530.1	YIL166C
OG0001453	XP_958548.3	YGR185C
OG0001454	XP_958550.1	YGL112C
OG0001455	XP_958552.1	YMR268C
OG0001456	XP_958567.2	YLR086W
OG0001457	XP_958573.1	YMR197C
OG0001458	XP_958574.1	YBR004C
OG0001459	XP_958587.1	YMR061W
OG0001460	XP_958588.1	YJL115W
OG0001461	XP_958589.1	YGR090W
OG0001462	XP_958590.1	YPR189W
OG0001463	XP_958594.1	YPL225W
OG0001464	XP_958595.2	YKL209C
OG0001465	XP_958603.1	YDL001W
OG0001466	XP_958605.1	YNL252C
OG0001467	XP_958610.1	YJL157C
OG0001468	XP_958612.1	YJL008C
OG0001469	XP_958617.3	YER087W
OG0001470	XP_958619.2	YDR060W
OG0001471	XP_958620.2	YBL095W
OG0001472	XP_958621.1	YKL001C
OG0001473	XP_958622.2	YKL080W
OG0001474	XP_958632.1	YBR095C
OG0001475	XP_958635.3	YOL096C
OG0001476	XP_958636.1	YDR487C
OG0001477	XP_958638.1	YBL011W
OG0001478	XP_958639.1	YBR151W
OG0001479	XP_958647.1	YFL017W-A
OG0001480	XP_958665.3	YDR477W
OG0001481	XP_958678.1	YMR307W
OG0001482	XP_958689.1	YER036C
OG0001483	XP_958694.1	YJR057W
OG0001484	XP_958695.3	YGR267C
OG0001485	XP_958696.1	YML015C
OG0001486	XP_958709.1	YBR029C
OG0001487	XP_958724.1	YNL313C
OG0001488	XP_958756.1	YFL047W
OG0001489	XP_958758.1	YNL081C
OG0001490	XP_958761.1	YCR059C
OG0001491	XP_958762.1	YMR010W
OG0001492	XP_958764.1	YPL023C
OG0001493	XP_958766.2	YFR005C
OG0001494	XP_958771.1	YNL273W
OG0001495	XP_958786.1	YGR135W
OG0001496	XP_958788.1	YOL135C
OG0001497	XP_958799.1	YLR100W
OG0001498	XP_958803.1	YLL039C
OG0001499	XP_958807.2	YDL090C
OG0001500	XP_958811.1	YDL055C
OG0001501	XP_958813.3	YHL032C
OG0001502	XP_958817.1	YPL088W
OG0001503	XP_958826.3	YLR060W
OG0001504	XP_958831.1	YDR116C
OG0001505	XP_958832.1	YGL245W
OG0001506	XP_958833.1	YOR161C
OG0001507	XP_958834.2	YOR274W
OG0001508	XP_958835.1	YLR378C
OG0001509	XP_958836.1	YDR234W
OG0001510	XP_958840.2	YDR005C
OG0001511	XP_958844.2	YIL140W
OG0001512	XP_958847.1	YER046W
OG0001513	XP_958853.1	YHR073W
OG0001514	XP_958854.1	YGR116W
OG0001515	XP_958856.2	YOR131C
OG0001516	XP_958858.1	YIL147C
OG0001517	XP_958860.2	YOR259C
OG0001518	XP_958871.1	YFL033C
OG0001519	XP_958874.3	YMR137C
OG0001520	XP_958876.1	YDR176W
OG0001521	XP_958877.1	YGR096W
OG0001522	XP_958879.1	YJR101W
OG0001523	XP_958891.1	YBR039W
OG0001524	XP_958893.2	YLR396C
OG0001525	XP_958902.2	YAL013W
OG0001526	XP_958903.1	YOL041C
OG0001527	XP_958911.2	YER007W
OG0001528	XP_958914.1	YDR488C
OG0001529	XP_958915.1	YDR322C-A
OG0001530	XP_958926.1	YJL155C
OG0001531	XP_958938.3	YJL127C
OG0001532	XP_958939.1	YJL111W
OG0001533	XP_958947.1	YOL022C
OG0001534	XP_958948.1	YDR188W
OG0001535	XP_958950.1	YNL212W
OG0001536	XP_958954.1	YBR126C
OG0001537	XP_958960.1	YKL135C
OG0001538	XP_958972.1	YBL080C
OG0001539	XP_959001.2	YKL196C
OG0001540	XP_959002.3	YDR313C
OG0001541	XP_959008.1	YMR145C
OG0001542	XP_959009.2	YMR211W
OG0001543	XP_959011.2	YKR002W
OG0001544	XP_959013.1	YJL097W
OG0001545	XP_959017.1	YBR164C
OG0001546	XP_959018.2	YJL189W
OG0001547	XP_959020.1	YDR079W
OG0001548	XP_959021.1	YJL207C
OG0001549	XP_959028.1	YIL097W
OG0001550	XP_959029.1	YNR052C
OG0001551	XP_959032.1	YPR016C
OG0001552	XP_959043.1	YOL122C
OG0001553	XP_959044.2	YBR295W
OG0001554	XP_959048.3	YOR380W
OG0001555	XP_959055.2	YEL037C
OG0001556	XP_959056.1	YNL039W
OG0001557	XP_959060.1	YKL009W
OG0001558	XP_959061.1	YIL061C
OG0001559	XP_959062.1	YPR100W
OG0001560	XP_959063.1	YDR050C
OG0001561	XP_959071.1	YNL001W
OG0001562	XP_959112.1	YKR023W
OG0001563	XP_959135.1	YPL009C
OG0001564	XP_959136.1	YPR113W
OG0001565	XP_959141.2	YKR099W
OG0001566	XP_959147.1	YPR133C
OG0001567	XP_959148.1	YGL247W
OG0001568	XP_959152.1	YLR055C
OG0001569	XP_959160.2	YOR103C
OG0001570	XP_959161.2	YDR517W
OG0001571	XP_959163.2	YDR141C
OG0001572	XP_959164.3	YGL124C
OG0001573	XP_959167.1	YCL043C
OG0001574	XP_959171.1	YPL263C
OG0001575	XP_959172.2	YKL157W
OG0001576	XP_959176.1	YOL013C
OG0001577	XP_959179.1	YCL017C
OG0001578	XP_959180.2	YDR388W
OG0001579	XP_959187.1	YGR147C
OG0001580	XP_959189.1	YKL045W
OG0001581	XP_959190.1	YOR239W
OG0001582	XP_959195.2	YPL195W
OG0001583	XP_959196.1	YIL067C
OG0001584	XP_959222.1	YJR074W
OG0001585	XP_959223.2	YDL125C
OG0001586	XP_959225.1	YGR113W
OG0001587	XP_959229.2	YKR017C
OG0001588	XP_959230.3	YLR016C
OG0001589	XP_959239.1	YHL015W
OG0001590	XP_959240.1	YGL110C
OG0001591	XP_959261.2	YPR033C
OG0001592	XP_959268.2	YDR364C
OG0001593	XP_959270.1	YLR244C
OG0001594	XP_959271.3	YBL098W
OG0001595	XP_959275.1	YAL011W
OG0001596	XP_959276.3	YML010W
OG0001597	XP_959285.3	YDR341C
OG0001598	XP_959306.1	YGR155W
OG0001599	XP_959307.3	YKL154W
OG0001600	XP_959391.1	YLR078C
OG0001601	XP_959392.2	YOR143C
OG0001602	XP_959393.1	YKL195W
OG0001603	XP_959418.1	YOR251C
OG0001604	XP_959438.1	YNL223W
OG0001605	XP_959439.3	YNL224C
OG0001606	XP_959442.1	YBL003C
OG0001607	XP_959443.1	YDR148C
OG0001608	XP_959445.3	YKL087C
OG0001609	XP_959454.1	YPL262W
OG0001610	XP_959459.2	YNL172W
OG0001611	XP_959460.1	YDR080W
OG0001612	XP_959469.1	YBL060W
OG0001613	XP_959470.2	YGL163C
OG0001614	XP_959471.1	YOR336W
OG0001615	XP_959486.3	YOL146W
OG0001616	XP_959496.1	YLL035W
OG0001617	XP_959504.2	YPL150W
OG0001618	XP_959506.3	YML030W
OG0001619	XP_959507.2	YOR118W
OG0001620	XP_959514.1	YJR008W
OG0001621	XP_959521.1	YHR079C
OG0001622	XP_959522.1	YDR266C
OG0001623	XP_959526.2	YIL142W
OG0001624	XP_959527.1	YOR361C
OG0001625	XP_959534.2	YLR336C
OG0001626	XP_959535.2	YFL018C
OG0001627	XP_959541.3	YHR206W
OG0001628	XP_959548.1	YIL070C
OG0001629	XP_959550.1	YOR252W
OG0001630	XP_959552.1	YKL082C
OG0001631	XP_959553.1	YDR372C
OG0001632	XP_959594.1	YJL145W
OG0001633	XP_959596.1	YDR211W
OG0001634	XP_959597.3	YIL108W
OG0001635	XP_959598.1	YNR008W
OG0001636	XP_959599.2	YPR051W
OG0001637	XP_959600.2	YDL146W
OG0001638	XP_959601.1	YMR188C
OG0001639	XP_959603.2	YNL041C
OG0001640	XP_959604.1	YDL149W
OG0001641	XP_959619.1	YGR277C
OG0001642	XP_959621.1	YBL064C
OG0001643	XP_959622.3	YBR041W
OG0001644	XP_959623.1	YDR434W
OG0001645	XP_959625.1	YAL003W
OG0001646	XP_959628.1	YPL183W-A
OG0001647	XP_959629.1	YPL247C
OG0001648	XP_959630.1	YHR116W
OG0001649	XP_959636.1	YDR145W
OG0001650	XP_959637.1	YER021W
OG0001651	XP_959638.3	YMR218C
OG0001652	XP_959639.1	YPR118W
OG0001653	XP_959641.1	YGL155W
OG0001654	XP_959643.1	YOL090W
OG0001655	XP_959644.1	YOL093W
OG0001656	XP_959645.1	YIR008C
OG0001657	XP_959646.1	YIR007W
OG0001658	XP_959650.1	YIR026C
OG0001659	XP_959653.1	YNL206C
OG0001660	XP_959654.1	YHR018C
OG0001661	XP_959678.3	YDR097C
OG0001662	XP_959682.1	YNL062C
OG0001663	XP_959683.1	YLR370C
OG0001664	XP_959690.1	YOR246C
OG0001665	XP_959705.1	YGL232W
OG0001666	XP_959707.3	YDR335W
OG0001667	XP_959711.1	YNL049C
OG0001668	XP_959714.2	YPL196W
OG0001669	XP_959715.1	YOR278W
OG0001670	XP_959716.1	YGR029W
OG0001671	XP_959720.2	YOR197W
OG0001672	XP_959722.2	YLR383W
OG0001673	XP_959725.2	YMR234W
OG0001674	XP_959727.1	YJR078W
OG0001675	XP_959728.1	YCL008C
OG0001676	XP_959732.2	YJL126W
OG0001677	XP_959742.1	YDR207C
OG0001678	XP_959746.1	YOR352W
OG0001679	XP_959751.3	YMR217W
OG0001680	XP_959778.1	YMR308C
OG0001681	XP_959785.1	YLR074C
OG0001682	XP_959787.1	YLR304C
OG0001683	XP_959788.3	YMR265C
OG0001684	XP_959789.2	YLR088W
OG0001685	XP_959790.3	YJR153W
OG0001686	XP_959792.1	YPL246C
OG0001687	XP_959793.2	YGR001C
OG0001688	XP_959795.1	YDR427W
OG0001689	XP_959796.2	YMR223W
OG0001690	XP_959799.1	YCR061W
OG0001691	XP_959802.2	YER026C
OG0001692	XP_959810.1	YGL123W
OG0001693	XP_959814.1	YMR073C
OG0001694	XP_959815.1	YIR004W
OG0001695	XP_959820.1	YJR013W
OG0001696	XP_959829.1	YDL045W-A
OG0001697	XP_959830.3	YAL041W
OG0001698	XP_959834.1	YDL144C
OG0001699	XP_959841.3	YNR074C
OG0001700	XP_959850.3	YEL023C
OG0001701	XP_959867.2	YOR275C
OG0001702	XP_959875.2	YAL067C
OG0001703	XP_959881.1	YCR071C
OG0001704	XP_959882.1	YPL016W
OG0001705	XP_959885.1	YDR449C
OG0001706	XP_959886.2	YCR017C
OG0001707	XP_959900.1	YOR001W
OG0001708	XP_959901.3	YDL230W
