	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
OG0001687	augustus_masked-abe-_s25-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.133&CDS=1-708	YDR196C
OG0001688	augustus_masked-abe-_s25-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.115&CDS=1-1044	YHR063C
OG0001689	augustus_masked-abe-_s25-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.134&CDS=1-1254	YDR198C
OG0001690	snap_masked-abe-_s25-processed-gene-3.69-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-3.69&CDS=1-1863	YLR234W
OG0001691	augustus_masked-abe-_s25-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.117&CDS=1-945	YLR242C
OG0001692	augustus_masked-abe-_s25-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.136&CDS=1-327	YDR382W
OG0001693	augustus_masked-abe-_s25-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.119&CDS=1-426	YOL040C
OG0001694	augustus_masked-abe-_s25-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.120&CDS=1-840	YOR130C
OG0001695	snap_masked-abe-_s25-processed-gene-3.90-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-3.90&CDS=1-930	YDL237W
OG0001696	augustus_masked-abe-_s25-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.139&CDS=1-609	YLR312W-A
OG0001697	augustus_masked-abe-_s25-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.121&CDS=1-1638	YGL171W
OG0001698	augustus_masked-abe-_s25-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.140&CDS=1-372	YPR020W
OG0001699	augustus_masked-abe-_s25-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.141&CDS=1-1395	YDR105C
OG0001700	augustus_masked-abe-_s25-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.122&CDS=1-1221	YPL101W
OG0001701	augustus_masked-abe-_s25-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.123&CDS=1-2658	YPR019W
OG0001702	augustus_masked-abe-_s25-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.143&CDS=1-1938	YDR108W
OG0001703	augustus_masked-abe-_s25-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-3.124&CDS=1-3993	YLR084C
OG0001704	augustus_masked-abe-_s25-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.0&CDS=1-1962	YKL012W
OG0001705	augustus_masked-abe-_s25-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.4&CDS=1-603	YKL013C
OG0001706	augustus_masked-abe-_s25-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.24&CDS=1-2913	YIR023W
OG0001707	augustus_masked-abe-_s25-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.25&CDS=1-1026	YDR126W
OG0001708	genemark-abe-_s25-processed-gene-4.132-mRNA-1_1&gene=genemark-abe-_s25-processed-gene-4.132&CDS=1-270	YLR099W-A
OG0001709	snap_masked-abe-_s25-processed-gene-4.54-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-4.54&CDS=1-1743	YDR120C
OG0001710	maker-abe-_s25-augustus-gene-4.103-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-4.103&CDS=1-3795	YOR168W
OG0001711	augustus_masked-abe-_s25-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.10&CDS=1-1593	YGL244W
OG0001712	augustus_masked-abe-_s25-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.11&CDS=1-258	YGR037C
OG0001713	augustus_masked-abe-_s25-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.31&CDS=1-516	YLR050C
OG0001714	augustus_masked-abe-_s25-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.12&CDS=1-870	YLR059C
OG0001715	maker-abe-_s25-augustus-gene-4.99-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-4.99&CDS=1-5451	YPR160W
OG0001716	snap_masked-abe-_s25-processed-gene-4.64-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-4.64&CDS=1-4164	YBR115C
OG0001717	augustus_masked-abe-_s25-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.18&CDS=1-4224	YOR360C
OG0001718	augustus_masked-abe-_s25-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.36&CDS=1-597	YKL196C
OG0001719	augustus_masked-abe-_s25-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.37&CDS=1-759	YKL195W
OG0001720	snap_masked-abe-_s25-processed-gene-4.90-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-4.90&CDS=1-2157	YLR424W
OG0001721	augustus_masked-abe-_s25-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.20&CDS=1-1065	YLR418C
OG0001722	snap_masked-abe-_s25-processed-gene-4.94-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-4.94&CDS=1-1923	YHR194W
OG0001723	augustus_masked-abe-_s25-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.23&CDS=1-312	YDL081C
OG0001724	augustus_masked-abe-_s25-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.4&CDS=1-1350	YFL037W
OG0001725	augustus_masked-abe-_s25-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.3&CDS=1-1599	YLR026C
OG0001726	augustus_masked-abe-_s25-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.6&CDS=1-405	YDR462W
OG0001727	augustus_masked-abe-_s25-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.29&CDS=1-408	YJR082C
OG0001728	augustus_masked-abe-_s25-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.7&CDS=1-1317	YGR254W
OG0001729	augustus_masked-abe-_s25-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.30&CDS=1-1320	YLR231C
OG0001730	augustus_masked-abe-_s25-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.11&CDS=1-2070	YJL168C
OG0001731	augustus_masked-abe-_s25-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.12&CDS=1-993	YNL097C
OG0001732	augustus_masked-abe-_s25-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.33&CDS=1-444	YOR103C
OG0001733	augustus_masked-abe-_s25-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.14&CDS=1-1260	YNL099C
OG0001734	augustus_masked-abe-_s25-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.15&CDS=1-483	YIR037W
OG0001735	augustus_masked-abe-_s25-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.17&CDS=1-1194	YLR355C
OG0001736	snap_masked-abe-_s25-processed-gene-5.93-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-5.93&CDS=1-762	YGR053C
OG0001737	maker-abe-_s25-snap-gene-5.51-mRNA-1_1&gene=maker-abe-_s25-snap-gene-5.51&CDS=1-1905	YBR287W
OG0001738	augustus_masked-abe-_s25-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.36&CDS=1-714	YJL115W
OG0001739	maker-abe-_s25-snap-gene-5.52-mRNA-1_1&gene=maker-abe-_s25-snap-gene-5.52&CDS=1-3585	YER093C
OG0001740	augustus_masked-abe-_s25-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.38&CDS=1-855	YNL075W
OG0001741	augustus_masked-abe-_s25-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.39&CDS=1-2925	YKR050W
OG0001742	maker-abe-_s25-augustus-gene-5.48-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-5.48&CDS=1-2436	YJL127C
OG0001743	maker-abe-_s25-augustus-gene-5.45-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-5.45&CDS=1-975	YIL084C
OG0001744	augustus_masked-abe-_s25-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.42&CDS=1-804	YNL032W
OG0001745	augustus_masked-abe-_s25-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.43&CDS=1-1062	YFL026W
OG0001746	snap_masked-abe-_s25-processed-gene-5.85-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-5.85&CDS=1-1914	YDL035C
OG0001747	genemark-abe-_s25-processed-gene-6.16-mRNA-1_1&gene=genemark-abe-_s25-processed-gene-6.16&CDS=1-2781	YOR125C
OG0001748	snap_masked-abe-_s25-processed-gene-6.200-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.200&CDS=1-1332	YOR025W
OG0001749	snap_masked-abe-_s25-processed-gene-6.201-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.201&CDS=1-1590	YDR479C
OG0001750	augustus_masked-abe-_s25-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.150&CDS=1-2502	YCL045C
OG0001751	augustus_masked-abe-_s25-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.110&CDS=1-234	YDR525W-A
OG0001752	augustus_masked-abe-_s25-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.152&CDS=1-1344	YDR527W
OG0001753	augustus_masked-abe-_s25-processed-gene-6.154-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.154&CDS=1-1014	YDR460W
OG0001754	snap_masked-abe-_s25-processed-gene-6.211-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.211&CDS=1-1599	YER168C
OG0001755	snap_masked-abe-_s25-processed-gene-6.212-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.212&CDS=1-4674	YDR127W
OG0001756	augustus_masked-abe-_s25-processed-gene-6.155-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.155&CDS=1-14862	YLR106C
OG0001757	augustus_masked-abe-_s25-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.118&CDS=1-1638	YLR107W
OG0001758	augustus_masked-abe-_s25-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.119&CDS=1-3624	YDR097C
OG0001759	augustus_masked-abe-_s25-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.120&CDS=1-483	YPR098C
OG0001760	maker-abe-_s25-augustus-gene-6.9-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-6.9&CDS=1-4002	YER169W
OG0001761	augustus_masked-abe-_s25-processed-gene-6.164-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.164&CDS=1-1464	YPR018W
OG0001762	augustus_masked-abe-_s25-processed-gene-6.165-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.165&CDS=1-1410	YOL027C
OG0001763	snap_masked-abe-_s25-processed-gene-6.224-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.224&CDS=1-2025	YBR255W
OG0001764	augustus_masked-abe-_s25-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.127&CDS=1-489	YBR254C
OG0001765	augustus_masked-abe-_s25-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.168&CDS=1-1815	YER080W
OG0001766	augustus_masked-abe-_s25-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.128&CDS=1-1863	YPL218W
OG0001767	augustus_masked-abe-_s25-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.129&CDS=1-1968	YGL099W
OG0001768	snap_masked-abe-_s25-processed-gene-6.272-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.272&CDS=1-2784	YOR058C
OG0001769	snap_masked-abe-_s25-processed-gene-6.274-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.274&CDS=1-1758	YDR294C
OG0001770	snap_masked-abe-_s25-processed-gene-6.275-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.275&CDS=1-2061	YDR295C
OG0001771	snap_masked-abe-_s25-processed-gene-6.276-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.276&CDS=1-1470	YKR019C
OG0001772	snap_masked-abe-_s25-processed-gene-6.277-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.277&CDS=1-1368	YOR056C
OG0001773	augustus_masked-abe-_s25-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.131&CDS=1-2109	YJL010C
OG0001774	augustus_masked-abe-_s25-processed-gene-6.172-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.172&CDS=1-1995	YPL104W
OG0001775	augustus_masked-abe-_s25-processed-gene-6.174-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.174&CDS=1-4863	YPL125W
OG0001776	augustus_masked-abe-_s25-processed-gene-6.175-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.175&CDS=1-1263	YOR209C
OG0001777	augustus_masked-abe-_s25-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.134&CDS=1-1494	YKL035W
OG0001778	augustus_masked-abe-_s25-processed-gene-6.178-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.178&CDS=1-444	YOR224C
OG0001779	augustus_masked-abe-_s25-processed-gene-6.179-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.179&CDS=1-276	YLR363W-A
OG0001780	maker-abe-_s25-augustus-gene-6.5-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-6.5&CDS=1-4794	YGR061C
OG0001781	augustus_masked-abe-_s25-processed-gene-6.180-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.180&CDS=1-321	YJR085C
OG0001782	augustus_masked-abe-_s25-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.141&CDS=1-1890	YGL155W
OG0001783	maker-abe-_s25-augustus-gene-6.6-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-6.6&CDS=1-2055	YDL119C
OG0001784	augustus_masked-abe-_s25-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.144&CDS=1-3255	YDL102W
OG0001785	augustus_masked-abe-_s25-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.145&CDS=1-936	YMR161W
OG0001786	augustus_masked-abe-_s25-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.147&CDS=1-1401	YOR197W
OG0001787	augustus_masked-abe-_s34-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.70&CDS=1-2709	YLL008W
OG0001788	augustus_masked-abe-_s34-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.71&CDS=1-1995	YLL007C
OG0001789	augustus_masked-abe-_s34-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.51&CDS=1-1365	YJR117W
OG0001790	augustus_masked-abe-_s34-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.72&CDS=1-705	YDL087C
OG0001791	augustus_masked-abe-_s34-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.74&CDS=1-2148	YGL245W
OG0001792	augustus_masked-abe-_s34-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.53&CDS=1-1848	YFR048W
OG0001793	genemark-abe-_s34-processed-gene-0.95-mRNA-1_1&gene=genemark-abe-_s34-processed-gene-0.95&CDS=1-885	YOR166C
OG0001794	maker-abe-_s34-augustus-gene-0.135-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-0.135&CDS=1-1638	YDR044W
OG0001795	augustus_masked-abe-_s34-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.76&CDS=1-1821	YNL308C
OG0001796	augustus_masked-abe-_s34-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.77&CDS=1-1011	YIL061C
OG0001797	augustus_masked-abe-_s34-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.78&CDS=1-861	YLR126C
OG0001798	augustus_masked-abe-_s34-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.60&CDS=1-960	YNL229C
OG0001799	augustus_masked-abe-_s34-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.80&CDS=1-3015	YPL009C
OG0001800	snap_masked-abe-_s34-processed-gene-0.12-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-0.12&CDS=1-1038	YPL015C
OG0001801	augustus_masked-abe-_s34-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.81&CDS=1-948	YLR063W
OG0001802	augustus_masked-abe-_s34-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.82&CDS=1-3744	YJL197W
OG0001803	maker-abe-_s34-augustus-gene-0.136-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-0.136&CDS=1-4587	YLR060W
OG0001804	augustus_masked-abe-_s34-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.63&CDS=1-612	YFL005W
OG0001805	augustus_masked-abe-_s34-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.84&CDS=1-597	YFL010C
OG0001806	augustus_masked-abe-_s34-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.85&CDS=1-1158	YMR243C
OG0001807	snap_masked-abe-_s34-processed-gene-0.42-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-0.42&CDS=1-1437	YKL175W
OG0001808	snap_masked-abe-_s34-processed-gene-0.43-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-0.43&CDS=1-1326	YKL077W
OG0001809	snap_masked-abe-_s34-processed-gene-0.44-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-0.44&CDS=1-1023	YMR060C
OG0001810	augustus_masked-abe-_s34-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.67&CDS=1-2214	YMR061W
OG0001811	augustus_masked-abe-_s34-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.88&CDS=1-1092	YMR228W
OG0001812	maker-abe-_s34-snap-gene-1.40-mRNA-1_1&gene=maker-abe-_s34-snap-gene-1.40&CDS=1-906	YGR058W
OG0001813	augustus_masked-abe-_s34-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.4&CDS=1-1683	YER086W
OG0001814	maker-abe-_s34-snap-gene-1.45-mRNA-1_1&gene=maker-abe-_s34-snap-gene-1.45&CDS=1-3114	YLR289W
OG0001815	augustus_masked-abe-_s34-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.21&CDS=1-3783	YLR277C
OG0001816	augustus_masked-abe-_s34-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.22&CDS=1-984	YGR144W
OG0001817	snap_masked-abe-_s34-processed-gene-1.82-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-1.82&CDS=1-1314	YOL124C
OG0001818	augustus_masked-abe-_s34-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.5&CDS=1-1416	YOL123W
OG0001819	augustus_masked-abe-_s34-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.24&CDS=1-2814	YDL031W
OG0001820	augustus_masked-abe-_s34-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.6&CDS=1-2157	YDR017C
OG0001821	snap_masked-abe-_s34-processed-gene-1.61-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-1.61&CDS=1-1434	YJL025W
OG0001822	augustus_masked-abe-_s34-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.28&CDS=1-810	YMR289W
OG0001823	augustus_masked-abe-_s34-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.29&CDS=1-861	YCL031C
OG0001824	genemark-abe-_s34-processed-gene-1.122-mRNA-1_1&gene=genemark-abe-_s34-processed-gene-1.122&CDS=1-990	YMR055C
OG0001825	augustus_masked-abe-_s34-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.30&CDS=1-1803	YKL074C
OG0001826	augustus_masked-abe-_s34-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.31&CDS=1-2682	YKL073W
OG0001827	augustus_masked-abe-_s34-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.10&CDS=1-654	YDR399W
OG0001828	snap_masked-abe-_s34-processed-gene-1.66-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-1.66&CDS=1-270	YER074W-A
OG0001829	augustus_masked-abe-_s34-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.33&CDS=1-453	YDR397C
OG0001830	augustus_masked-abe-_s34-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.12&CDS=1-1152	YPR186C
OG0001831	genemark-abe-_s34-processed-gene-1.155-mRNA-1_1&gene=genemark-abe-_s34-processed-gene-1.155&CDS=1-4809	YNL139C
OG0001832	augustus_masked-abe-_s34-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.13&CDS=1-6132	YPR184W
OG0001833	augustus_masked-abe-_s34-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.14&CDS=1-3186	YGR194C
OG0001834	augustus_masked-abe-_s34-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.15&CDS=1-2469	YIR034C
OG0001835	augustus_masked-abe-_s34-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.16&CDS=1-2040	YKL022C
OG0001836	augustus_masked-abe-_s34-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.17&CDS=1-1290	YGR223C
OG0001837	augustus_masked-abe-_s34-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.18&CDS=1-2277	YLL013C
OG0001838	augustus_masked-abe-_s34-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.69&CDS=1-1818	YER049W
OG0001839	augustus_masked-abe-_s34-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.53&CDS=1-1599	YER052C
OG0001840	augustus_masked-abe-_s34-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.70&CDS=1-972	YIL041W
OG0001841	augustus_masked-abe-_s34-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.74&CDS=1-2379	YML076C
OG0001842	augustus_masked-abe-_s34-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.56&CDS=1-8898	YJR131W
OG0001843	augustus_masked-abe-_s34-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.75&CDS=1-2238	YAR035W
OG0001844	augustus_masked-abe-_s34-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.76&CDS=1-1902	YLR299W
OG0001845	augustus_masked-abe-_s34-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.77&CDS=1-1569	YDR052C
OG0001846	augustus_masked-abe-_s34-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.78&CDS=1-708	YDR054C
OG0001847	maker-abe-_s34-snap-gene-2.44-mRNA-1_1&gene=maker-abe-_s34-snap-gene-2.44&CDS=1-2841	YFR016C
OG0001848	augustus_masked-abe-_s34-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.59&CDS=1-3573	YJL080C
OG0001849	augustus_masked-abe-_s34-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.60&CDS=1-1629	YGR055W
OG0001850	snap_masked-abe-_s34-processed-gene-2.15-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-2.15&CDS=1-426	YPR100W
OG0001851	maker-abe-_s34-snap-gene-2.45-mRNA-1_1&gene=maker-abe-_s34-snap-gene-2.45&CDS=1-2205	YLL057C
OG0001852	augustus_masked-abe-_s34-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.79&CDS=1-3966	YBL047C
OG0001853	augustus_masked-abe-_s34-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.65&CDS=1-585	YHR089C
OG0001854	augustus_masked-abe-_s34-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.80&CDS=1-1134	YDR336W
OG0001855	snap_masked-abe-_s34-processed-gene-2.23-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-2.23&CDS=1-5172	YKR031C
OG0001856	augustus_masked-abe-_s34-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.67&CDS=1-645	YHR181W
OG0001857	augustus_masked-abe-_s34-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.82&CDS=1-1176	YDL006W
OG0001858	augustus_masked-abe-_s34-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.45&CDS=1-894	YKL094W
OG0001859	augustus_masked-abe-_s34-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.46&CDS=1-2196	YDR081C
OG0001860	augustus_masked-abe-_s34-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.48&CDS=1-291	YDR079W
OG0001861	augustus_masked-abe-_s34-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.47&CDS=1-672	YDR084C
