	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
OG0002210	YJR075W	genemark-scaffold_6-processed-gene-0.116-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.116&CDS=1-1707
OG0002211	YJR076C	snap_masked-scaffold_6-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.17&CDS=1-1206
OG0002212	YJR077C	snap_masked-scaffold_6-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.11&CDS=1-918
OG0002213	YJR078W	snap_masked-scaffold_3-processed-gene-5.59-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.59&CDS=1-1470
OG0002214	YJR083C	snap_masked-scaffold_3-processed-gene-5.84-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.84&CDS=1-747
OG0002215	YJR084W	snap_masked-scaffold_3-processed-gene-5.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.63&CDS=1-1221
OG0002216	YJR085C	snap_masked-scaffold_3-processed-gene-5.85-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.85&CDS=1-315
OG0002217	YJR086W	snap_masked-scaffold_3-processed-gene-5.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.64&CDS=1-285
OG0002218	YJR088C	snap_masked-scaffold_3-processed-gene-5.87-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.87&CDS=1-864
OG0002219	YJR089W	augustus_masked-scaffold_3-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.23&CDS=1-2235
OG0002220	YJR090C	snap_masked-scaffold_3-processed-gene-5.88-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.88&CDS=1-3234
OG0002221	YJR091C	snap_masked-scaffold_3-processed-gene-5.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.89&CDS=1-3192
OG0002222	YJR092W	snap_masked-scaffold_3-processed-gene-5.68-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.68&CDS=1-4053
OG0002223	YJR093C	snap_masked-scaffold_3-processed-gene-5.90-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.90&CDS=1-831
OG0002224	YJR094C	augustus_masked-scaffold_3-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.41&CDS=1-759
OG0002225	YJR095W	augustus_masked-scaffold_3-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.0&CDS=1-1773
OG0002226	YJR097W	snap_masked-scaffold_3-processed-gene-10.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.89&CDS=1-477
OG0002227	YJR098C	snap_masked-scaffold_3-processed-gene-10.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.66&CDS=1-2151
OG0002228	YJR099W	snap_masked-scaffold_3-processed-gene-6.54-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.54&CDS=1-711
OG0002229	YJR100C	augustus_masked-scaffold_3-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.6&CDS=1-1005
OG0002230	YJR101W	snap_masked-scaffold_3-processed-gene-6.55-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.55&CDS=1-771
OG0002231	YJR102C	snap_masked-scaffold_3-processed-gene-6.60-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.60&CDS=1-567
OG0002232	YJR104C	snap_masked-scaffold_3-processed-gene-6.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.89&CDS=1-462
OG0002233	YJR105W	snap_masked-scaffold_8-processed-gene-1.70-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.70&CDS=1-1029
OG0002234	YJR106W	snap_masked-scaffold_8-processed-gene-1.71-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.71&CDS=1-1983
OG0002235	YJR110W	snap_masked-scaffold_3-processed-gene-6.95-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.95&CDS=1-2010
OG0002236	YJR111C	snap_masked-scaffold_3-processed-gene-6.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.67&CDS=1-831
OG0002237	YJR112W	snap_masked-scaffold_3-processed-gene-6.94-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.94&CDS=1-606
OG0002238	YJR112W-A	snap_masked-scaffold_3-processed-gene-6.93-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.93&CDS=1-201
OG0002239	YJR113C	snap_masked-scaffold_3-processed-gene-6.65-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.65&CDS=1-780
OG0002240	YJR116W	snap_masked-scaffold_8-processed-gene-1.93-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.93&CDS=1-825
OG0002241	YJR117W	snap_masked-scaffold_8-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.92&CDS=1-1374
OG0002242	YJR118C	snap_masked-scaffold_8-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.69&CDS=1-549
OG0002243	YJR119C	snap_masked-scaffold_8-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.68&CDS=1-2310
OG0002244	YJR121W	snap_masked-scaffold_8-processed-gene-1.88-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.88&CDS=1-1494
OG0002245	YJR122W	snap_masked-scaffold_8-processed-gene-1.87-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.87&CDS=1-1347
OG0002246	YJR123W	snap_masked-scaffold_8-processed-gene-1.86-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.86&CDS=1-675
OG0002247	YJR124C	snap_masked-scaffold_8-processed-gene-1.67-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.67&CDS=1-1314
OG0002248	YJR125C	snap_masked-scaffold_4-processed-gene-1.21-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.21&CDS=1-1125
OG0002249	YJR126C	snap_masked-scaffold_4-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.20&CDS=1-2361
OG0002250	YJR129C	snap_masked-scaffold_4-processed-gene-1.16-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.16&CDS=1-981
OG0002251	YJR131W	snap_masked-scaffold_4-processed-gene-1.37-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.37&CDS=1-1635
OG0002252	YJR132W	snap_masked-scaffold_4-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.11&CDS=1-3147
OG0002253	YJR134C	snap_masked-scaffold_4-processed-gene-1.7-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.7&CDS=1-1995
OG0002254	YJR135C	snap_masked-scaffold_4-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.6&CDS=1-696
OG0002255	YJR135W-A	snap_masked-scaffold_4-processed-gene-1.8-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.8&CDS=1-261
OG0002256	YJR136C	maker-scaffold_4-augustus-gene-1.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.0&CDS=1-2115
OG0002257	YJR137C	snap_masked-scaffold_4-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.3&CDS=1-4275
OG0002258	YJR138W	genemark-scaffold_4-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.34&CDS=1-5424
OG0002259	YJR139C	snap_masked-scaffold_4-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.83&CDS=1-1077
OG0002260	YJR140C	snap_masked-scaffold_4-processed-gene-0.82-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.82&CDS=1-4962
OG0002261	YJR141W	augustus_masked-scaffold_4-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.66&CDS=1-894
OG0002262	YJR142W	snap_masked-scaffold_4-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.102&CDS=1-1029
OG0002263	YJR143C	snap_masked-scaffold_4-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.80&CDS=1-2289
OG0002264	YJR144W	snap_masked-scaffold_4-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.101&CDS=1-756
OG0002265	YJR154W	snap_masked-scaffold_7-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.69&CDS=1-1029
OG0002266	YKL001C	snap_masked-scaffold_1-processed-gene-5.149-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.149&CDS=1-606
OG0002267	YKL002W	snap_masked-scaffold_1-processed-gene-5.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.126&CDS=1-693
OG0002268	YKL003C	snap_masked-scaffold_1-processed-gene-5.148-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.148&CDS=1-387
OG0002269	YKL004W	snap_masked-scaffold_1-processed-gene-5.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.125&CDS=1-1245
OG0002270	YKL005C	snap_masked-scaffold_1-processed-gene-5.147-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.147&CDS=1-1704
OG0002271	YKL007W	snap_masked-scaffold_1-processed-gene-5.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.123&CDS=1-789
OG0002272	YKL009W	snap_masked-scaffold_1-processed-gene-5.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.118&CDS=1-714
OG0002273	YKL010C	snap_masked-scaffold_1-processed-gene-5.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.120&CDS=1-4338
OG0002274	YKL011C	snap_masked-scaffold_2-processed-gene-12.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.30&CDS=1-1110
OG0002275	YKL012W	snap_masked-scaffold_2-processed-gene-12.86-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.86&CDS=1-1710
OG0002276	YKL013C	snap_masked-scaffold_2-processed-gene-12.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.32&CDS=1-513
OG0002277	YKL014C	augustus_masked-scaffold_2-processed-gene-12.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.129&CDS=1-5058
OG0002278	YKL015W	snap_masked-scaffold_2-processed-gene-12.88-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.88&CDS=1-2595
OG0002279	YKL016C	snap_masked-scaffold_2-processed-gene-12.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.35&CDS=1-522
OG0002280	YKL017C	snap_masked-scaffold_2-processed-gene-12.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.36&CDS=1-2001
OG0002281	YKL018C-A	snap_masked-scaffold_2-processed-gene-12.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.37&CDS=1-237
OG0002282	YKL018W	snap_masked-scaffold_2-processed-gene-12.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.89&CDS=1-981
OG0002283	YKL019W	snap_masked-scaffold_2-processed-gene-12.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.91&CDS=1-930
OG0002284	YKL021C	snap_masked-scaffold_2-processed-gene-12.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.40&CDS=1-1170
OG0002285	YKL022C	snap_masked-scaffold_2-processed-gene-12.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.41&CDS=1-2256
OG0002286	YKL024C	snap_masked-scaffold_2-processed-gene-12.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.42&CDS=1-909
OG0002287	YKL025C	genemark-scaffold_2-processed-gene-12.237-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.237&CDS=1-1995
OG0002288	YKL027W	snap_masked-scaffold_1-processed-gene-5.156-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.156&CDS=1-1317
OG0002289	YKL028W	snap_masked-scaffold_1-processed-gene-5.157-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.157&CDS=1-1344
OG0002290	YKL029C	genemark-scaffold_1-processed-gene-5.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.26&CDS=1-1950
OG0002291	YKL032C	snap_masked-scaffold_1-processed-gene-5.137-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.137&CDS=1-1314
OG0002292	YKL033W	maker-scaffold_1-augustus-gene-5.177-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.177&CDS=1-5184
OG0002293	YKL033W-A	snap_masked-scaffold_1-processed-gene-5.166-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.166&CDS=1-726
OG0002294	YKL034W	snap_masked-scaffold_2-processed-gene-11.142-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.142&CDS=1-2286
OG0002295	YKL035W	snap_masked-scaffold_2-processed-gene-11.143-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.143&CDS=1-1503
OG0002296	YKL038W	snap_masked-scaffold_2-processed-gene-11.144-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.144&CDS=1-2943
OG0002297	YKL039W	snap_masked-scaffold_2-processed-gene-11.146-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.146&CDS=1-1563
OG0002298	YKL040C	snap_masked-scaffold_2-processed-gene-11.123-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.123&CDS=1-756
OG0002299	YKL041W	snap_masked-scaffold_2-processed-gene-11.149-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.149&CDS=1-675
OG0002300	YKL042W	snap_masked-scaffold_2-processed-gene-11.152-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.152&CDS=1-942
OG0002301	YKL043W	snap_masked-scaffold_2-processed-gene-11.153-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.153&CDS=1-1692
OG0002302	YKL045W	snap_masked-scaffold_2-processed-gene-11.154-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.154&CDS=1-1500
OG0002303	YKL047W	augustus_masked-scaffold_2-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.103&CDS=1-1545
OG0002304	YKL048C	snap_masked-scaffold_2-processed-gene-12.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.55&CDS=1-1665
OG0002305	YKL049C	snap_masked-scaffold_2-processed-gene-12.52-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.52&CDS=1-621
OG0002306	YKL051W	snap_masked-scaffold_2-processed-gene-12.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.7&CDS=1-1044
OG0002307	YKL052C	augustus_masked-scaffold_2-processed-gene-12.142-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.142&CDS=1-642
OG0002308	YKL053C-A	snap_masked-scaffold_2-processed-gene-12.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.49&CDS=1-246
OG0002309	YKL054C	augustus_masked-scaffold_2-processed-gene-12.140-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.140&CDS=1-1926
OG0002310	YKL055C	snap_masked-scaffold_2-processed-gene-12.47-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.47&CDS=1-780
OG0002311	YKL056C	snap_masked-scaffold_2-processed-gene-12.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.6&CDS=1-501
OG0002312	YKL057C	snap_masked-scaffold_2-processed-gene-12.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.4&CDS=1-3087
OG0002313	YKL058W	snap_masked-scaffold_2-processed-gene-12.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.0&CDS=1-354
OG0002314	YKL059C	snap_masked-scaffold_2-processed-gene-12.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.3&CDS=1-1263
OG0002315	YKL060C	genemark-scaffold_2-processed-gene-11.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.30&CDS=1-1080
OG0002316	YKL061W	snap_masked-scaffold_2-processed-gene-11.132-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.132&CDS=1-351
OG0002317	YKL062W	snap_masked-scaffold_2-processed-gene-12.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.56&CDS=1-1311
OG0002318	YKL064W	snap_masked-scaffold_2-processed-gene-12.58-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.58&CDS=1-2736
OG0002319	YKL065C	genemark-scaffold_2-processed-gene-12.206-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.206&CDS=1-621
OG0002320	YKL067W	snap_masked-scaffold_2-processed-gene-12.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.62&CDS=1-456
OG0002321	YKL068W	snap_masked-scaffold_2-processed-gene-12.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.63&CDS=1-3495
OG0002322	YKL068W-A	snap_masked-scaffold_2-processed-gene-12.64-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.64&CDS=1-207
OG0002323	YKL069W	snap_masked-scaffold_2-processed-gene-12.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.66&CDS=1-531
OG0002324	YKL070W	snap_masked-scaffold_6-processed-gene-1.8-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.8&CDS=1-726
OG0002325	YKL073W	snap_masked-scaffold_2-processed-gene-12.68-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.68&CDS=1-2748
OG0002326	YKL074C	augustus_masked-scaffold_2-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.114&CDS=1-1515
OG0002327	YKL075C	snap_masked-scaffold_2-processed-gene-12.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.20&CDS=1-1299
OG0002328	YKL077W	snap_masked-scaffold_2-processed-gene-12.71-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.71&CDS=1-1167
OG0002329	YKL078W	snap_masked-scaffold_2-processed-gene-12.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.75&CDS=1-2028
OG0002330	YKL079W	augustus_masked-scaffold_2-processed-gene-12.167-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.167&CDS=1-1932
OG0002331	YKL080W	snap_masked-scaffold_2-processed-gene-12.77-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.77&CDS=1-1176
OG0002332	YKL082C	snap_masked-scaffold_2-processed-gene-12.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.26&CDS=1-1236
OG0002333	YKL085W	augustus_masked-scaffold_2-processed-gene-12.171-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.171&CDS=1-1341
OG0002334	YKL087C	snap_masked-scaffold_2-processed-gene-12.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.29&CDS=1-714
OG0002335	YKL088W	genemark-scaffold_2-processed-gene-12.273-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.273&CDS=1-1755
OG0002336	YKL089W	snap_masked-scaffold_1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.117&CDS=1-1773
OG0002337	YKL090W	snap_masked-scaffold_1-processed-gene-5.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.116&CDS=1-1386
OG0002338	YKL092C	snap_masked-scaffold_1-processed-gene-4.138-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.138&CDS=1-3081
OG0002339	YKL094W	maker-scaffold_1-augustus-gene-4.61-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.61&CDS=1-1626
OG0002340	YKL096W	snap_masked-scaffold_1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.135&CDS=1-888
OG0002341	YKL098W	snap_masked-scaffold_1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.134&CDS=1-939
OG0002342	YKL099C	snap_masked-scaffold_1-processed-gene-4.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.155&CDS=1-741
OG0002343	YKL100C	snap_masked-scaffold_1-processed-gene-4.154-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.154&CDS=1-1848
OG0002344	YKL101W	snap_masked-scaffold_1-processed-gene-4.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.133&CDS=1-2940
OG0002345	YKL103C	snap_masked-scaffold_1-processed-gene-4.152-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.152&CDS=1-1515
OG0002346	YKL104C	snap_masked-scaffold_1-processed-gene-4.151-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.151&CDS=1-2175
OG0002347	YKL106W	snap_masked-scaffold_1-processed-gene-4.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.132&CDS=1-1278
OG0002348	YKL107W	snap_masked-scaffold_8-processed-gene-7.154-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.154&CDS=1-879
OG0002349	YKL108W	snap_masked-scaffold_1-processed-gene-4.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.127&CDS=1-1080
OG0002350	YKL110C	genemark-scaffold_1-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.37&CDS=1-930
OG0002351	YKL113C	snap_masked-scaffold_1-processed-gene-4.145-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.145&CDS=1-1140
OG0002352	YKL114C	snap_masked-scaffold_1-processed-gene-4.144-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.144&CDS=1-1068
OG0002353	YKL116C	snap_masked-scaffold_1-processed-gene-4.143-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.143&CDS=1-1455
OG0002354	YKL117W	snap_masked-scaffold_1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.122&CDS=1-585
OG0002355	YKL119C	snap_masked-scaffold_1-processed-gene-4.140-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.140&CDS=1-639
OG0002356	YKL120W	maker-scaffold_1-augustus-gene-4.60-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.60&CDS=1-3498
OG0002357	YKL122C	snap_masked-scaffold_1-processed-gene-4.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.139&CDS=1-465
OG0002358	YKL124W	snap_masked-scaffold_1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.118&CDS=1-1665
OG0002359	YKL125W	maker-scaffold_1-augustus-gene-4.59-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.59&CDS=1-2802
OG0002360	YKL128C	augustus_masked-scaffold_1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.65&CDS=1-1182
OG0002361	YKL130C	snap_masked-scaffold_1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.112&CDS=1-711
OG0002362	YKL134C	snap_masked-scaffold_1-processed-gene-3.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.109&CDS=1-2361
OG0002363	YKL135C	snap_masked-scaffold_1-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.108&CDS=1-2115
OG0002364	YKL137W	snap_masked-scaffold_1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.83&CDS=1-321
OG0002365	YKL138C	snap_masked-scaffold_1-processed-gene-3.107-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.107&CDS=1-393
OG0002366	YKL138C-A	snap_masked-scaffold_1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.106&CDS=1-213
OG0002367	YKL139W	genemark-scaffold_1-processed-gene-3.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.26&CDS=1-1455
OG0002368	YKL140W	snap_masked-scaffold_1-processed-gene-3.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.80&CDS=1-1500
OG0002369	YKL143W	augustus_masked-scaffold_5-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.63&CDS=1-1932
OG0002370	YKL144C	snap_masked-scaffold_5-processed-gene-7.32-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.32&CDS=1-630
OG0002371	YKL145W	augustus_masked-scaffold_5-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.62&CDS=1-3186
OG0002372	YKL148C	snap_masked-scaffold_5-processed-gene-7.31-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.31&CDS=1-1920
OG0002373	YKL149C	snap_masked-scaffold_5-processed-gene-7.30-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.30&CDS=1-1089
OG0002374	YKL150W	snap_masked-scaffold_5-processed-gene-7.6-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.6&CDS=1-972
OG0002375	YKL151C	snap_masked-scaffold_5-processed-gene-7.29-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.29&CDS=1-978
OG0002376	YKL152C	snap_masked-scaffold_5-processed-gene-7.5-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.5&CDS=1-744
OG0002377	YKL154W	snap_masked-scaffold_5-processed-gene-6.133-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.133&CDS=1-774
OG0002378	YKL155C	augustus_masked-scaffold_5-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.102&CDS=1-2460
OG0002379	YKL159C	augustus_masked-scaffold_5-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.75&CDS=1-561
OG0002380	YKL160W	snap_masked-scaffold_5-processed-gene-6.147-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.147&CDS=1-411
OG0002381	YKL162C	snap_masked-scaffold_2-processed-gene-5.104-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.104&CDS=1-1224
OG0002382	YKL165C	maker-scaffold_3-augustus-gene-6.114-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.114&CDS=1-4398
OG0002383	YKL166C	snap_masked-scaffold_3-processed-gene-6.79-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.79&CDS=1-1233
OG0002384	YKL167C	snap_masked-scaffold_3-processed-gene-6.80-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.80&CDS=1-393
OG0002385	YKL170W	snap_masked-scaffold_3-processed-gene-6.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.102&CDS=1-414
OG0002386	YKL171W	maker-scaffold_3-snap-gene-6.178-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.178&CDS=1-2232
