	Saccharomyces_cerevisiae	yHMPu5000034627_Pichia_heedii
OG0001239	YFL017C	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.38&CDS=1-456
OG0001240	YFL017W-A	snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.255-mRNA-1_1&gene=snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.255&CDS=1-186
OG0001241	YFL018C	maker-NODE_8_length_208611_cov_12.842_ID_15-snap-gene-1.124-mRNA-1_1&gene=maker-NODE_8_length_208611_cov_12.842_ID_15-snap-gene-1.124&CDS=1-2289
OG0001242	YFL022C	snap_masked-NODE_124_length_10744_cov_23.3914_ID_247-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_124_length_10744_cov_23.3914_ID_247-processed-gene-0.12&CDS=1-1485
OG0001243	YFL023W	snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.130&CDS=1-2589
OG0001244	YFL024C	snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.195-mRNA-1_1&gene=snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.195&CDS=1-2718
OG0001245	YFL025C	augustus_masked-NODE_65_length_46928_cov_25.8584_ID_129-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_65_length_46928_cov_25.8584_ID_129-processed-gene-0.60&CDS=1-3279
OG0001246	YFL027C	augustus_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.31&CDS=1-1242
OG0001247	YFL028C	snap_masked-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.5&CDS=1-858
OG0001248	YFL029C	genemark-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.120&CDS=1-993
OG0001249	YFL030W	genemark-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.46&CDS=1-1161
OG0001250	YFL031W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.12&CDS=1-915
OG0001251	YFL033C	genemark-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.14&CDS=1-5805
OG0001252	YFL034C-B	snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.93&CDS=1-924
OG0001253	YFL034W	maker-NODE_15_length_166936_cov_13.3978_ID_29-snap-gene-0.210-mRNA-1_1&gene=maker-NODE_15_length_166936_cov_13.3978_ID_29-snap-gene-0.210&CDS=1-3462
OG0001254	YFL036W	snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.113&CDS=1-4047
OG0001255	YFL037W	genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.52-mRNA-1_1&gene=genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.52&CDS=1-3474
OG0001256	YFL038C	snap_masked-NODE_95_length_30872_cov_12.2068_ID_189-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_95_length_30872_cov_12.2068_ID_189-processed-gene-0.4&CDS=1-603
OG0001257	YFL045C	maker-NODE_16_length_165125_cov_20.5115_ID_31-augustus-gene-0.250-mRNA-1_1&gene=maker-NODE_16_length_165125_cov_20.5115_ID_31-augustus-gene-0.250&CDS=1-2073
OG0001258	YFL046W	snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.239-mRNA-1_1&gene=snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.239&CDS=1-597
OG0001259	YFL055W	snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.177&CDS=1-1614
OG0001260	YFR001W	snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.134&CDS=1-618
OG0001261	YFR002W	genemark-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.104&CDS=1-4872
OG0001262	YFR004W	snap_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.58&CDS=1-930
OG0001263	YFR005C	augustus_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.5&CDS=1-1338
OG0001264	YFR006W	genemark-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.36&CDS=1-1437
OG0001265	YFR007W	genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.150&CDS=1-867
OG0001266	YFR010W	genemark-NODE_180_length_2391_cov_14.2095_ID_359-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_180_length_2391_cov_14.2095_ID_359-processed-gene-0.0&CDS=1-1479
OG0001267	YFR011C	genemark-NODE_180_length_2391_cov_14.2095_ID_359-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_180_length_2391_cov_14.2095_ID_359-processed-gene-0.1&CDS=1-438
OG0001268	YFR015C	snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.11&CDS=1-2061
OG0001269	YFR016C	snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.71&CDS=1-2814
OG0001270	YFR019W	augustus_masked-NODE_53_length_71532_cov_21.3714_ID_105-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_53_length_71532_cov_21.3714_ID_105-processed-gene-0.46&CDS=1-6825
OG0001271	YFR021W	snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.6&CDS=1-3378
OG0001272	YFR024C-A	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.23&CDS=1-1206
OG0001273	YFR025C	augustus_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.139&CDS=1-1998
OG0001274	YFR027W	snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.135-mRNA-1_1&gene=snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.135&CDS=1-822
OG0001275	YFR028C	snap_masked-NODE_88_length_33683_cov_12.0396_ID_175-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_88_length_33683_cov_12.0396_ID_175-processed-gene-0.38&CDS=1-1707
OG0001276	YFR029W	snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.47&CDS=1-2352
OG0001277	YFR030W	snap_masked-NODE_139_length_6104_cov_13.2645_ID_277-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_139_length_6104_cov_13.2645_ID_277-processed-gene-0.2&CDS=1-3144
OG0001278	YFR031C	snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.118&CDS=1-3561
OG0001279	YFR032C-A	snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.175-mRNA-1_1&gene=snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.175&CDS=1-189
OG0001280	YFR033C	snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.37&CDS=1-435
OG0001281	YFR034C	snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.111&CDS=1-1923
OG0001282	YFR044C	maker-NODE_34_length_97442_cov_12.6926_ID_67-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_34_length_97442_cov_12.6926_ID_67-snap-gene-0.39&CDS=1-1494
OG0001283	YFR045W	snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.114&CDS=1-1041
OG0001284	YFR047C	snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.131&CDS=1-1017
OG0001285	YFR048W	maker-NODE_40_length_90330_cov_13.8745_ID_79-snap-gene-0.85-mRNA-1_1&gene=maker-NODE_40_length_90330_cov_13.8745_ID_79-snap-gene-0.85&CDS=1-2115
OG0001286	YFR050C	snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.207-mRNA-1_1&gene=snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.207&CDS=1-819
OG0001287	YFR051C	snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.215-mRNA-1_1&gene=snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.215&CDS=1-1626
OG0001288	YFR052W	snap_masked-NODE_108_length_23704_cov_12.086_ID_215-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_108_length_23704_cov_12.086_ID_215-processed-gene-0.4&CDS=1-813
OG0001289	YGL001C	snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.4&CDS=1-1056
OG0001290	YGL004C	augustus_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.83&CDS=1-1260
OG0001291	YGL006W	snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.32&CDS=1-3651
OG0001292	YGL008C	snap_masked-NODE_54_length_68134_cov_12.1233_ID_107-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_54_length_68134_cov_12.1233_ID_107-processed-gene-0.0&CDS=1-2724
OG0001293	YGL009C	snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.169&CDS=1-2301
OG0001294	YGL010W	genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.42&CDS=1-453
OG0001295	YGL011C	snap_masked-NODE_118_length_13976_cov_13.8125_ID_235-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_118_length_13976_cov_13.8125_ID_235-processed-gene-0.14&CDS=1-756
OG0001296	YGL012W	snap_masked-NODE_118_length_13976_cov_13.8125_ID_235-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_118_length_13976_cov_13.8125_ID_235-processed-gene-0.15&CDS=1-1362
OG0001297	YGL016W	genemark-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.128&CDS=1-3054
OG0001298	YGL018C	snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.8&CDS=1-576
OG0001299	YGL019W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.27&CDS=1-957
OG0001300	YGL020C	augustus_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.114&CDS=1-630
OG0001301	YGL022W	genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.25&CDS=1-2289
OG0001302	YGL023C	genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.51&CDS=1-1203
OG0001303	YGL026C	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.38&CDS=1-2379
OG0001304	YGL027C	maker-NODE_20_length_137300_cov_13.1447_ID_39-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_20_length_137300_cov_13.1447_ID_39-augustus-gene-0.2&CDS=1-2655
OG0001305	YGL028C	augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.89&CDS=1-1749
OG0001306	YGL030W	augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.117&CDS=1-285
OG0001307	YGL037C	snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-1.13&CDS=1-1116
OG0001308	YGL038C	snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.65&CDS=1-1188
OG0001309	YGL040C	genemark-NODE_142_length_5878_cov_13.3297_ID_283-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_142_length_5878_cov_13.3297_ID_283-processed-gene-0.5&CDS=1-1035
OG0001310	YGL043W	snap_masked-NODE_29_length_112959_cov_20.5112_ID_57-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_29_length_112959_cov_20.5112_ID_57-processed-gene-0.29&CDS=1-996
OG0001311	YGL047W	snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.128&CDS=1-495
OG0001312	YGL050W	genemark-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.152-mRNA-1_1&gene=genemark-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.152&CDS=1-852
OG0001313	YGL054C	snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.26&CDS=1-408
OG0001314	YGL055W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.43&CDS=1-1461
OG0001315	YGL058W	genemark-NODE_102_length_26420_cov_17.2761_ID_203-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_102_length_26420_cov_17.2761_ID_203-processed-gene-0.33&CDS=1-600
OG0001316	YGL059W	genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-0.50&CDS=1-1419
OG0001317	YGL064C	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.54&CDS=1-1503
OG0001318	YGL065C	genemark-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.24&CDS=1-1389
OG0001319	YGL066W	genemark-NODE_100_length_27278_cov_12.5265_ID_199-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_100_length_27278_cov_12.5265_ID_199-processed-gene-0.33&CDS=1-1560
OG0001320	YGL067W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.30&CDS=1-1248
OG0001321	YGL068W	genemark-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.36&CDS=1-546
OG0001322	YGL070C	snap_masked-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.11&CDS=1-345
OG0001323	YGL073W	snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.169-mRNA-1_1&gene=snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.169&CDS=1-2580
OG0001324	YGL078C	augustus_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.110&CDS=1-4437
OG0001325	YGL079W	snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.202-mRNA-1_1&gene=snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.202&CDS=1-636
OG0001326	YGL080W	snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.117&CDS=1-357
OG0001327	YGL083W	augustus_masked-NODE_67_length_46389_cov_14.8029_ID_133-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_67_length_46389_cov_14.8029_ID_133-processed-gene-0.27&CDS=1-3966
OG0001328	YGL084C	genemark-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.129&CDS=1-1764
OG0001329	YGL085W	genemark-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.103&CDS=1-681
OG0001330	YGL087C	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.197-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.197&CDS=1-414
OG0001331	YGL091C	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.26&CDS=1-993
OG0001332	YGL094C	maker-NODE_32_length_102476_cov_16.8784_ID_63-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_32_length_102476_cov_16.8784_ID_63-snap-gene-0.44&CDS=1-6399
OG0001333	YGL095C	augustus_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.5&CDS=1-1863
OG0001334	YGL097W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.20&CDS=1-1479
OG0001335	YGL098W	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.9&CDS=1-804
OG0001336	YGL099W	genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.18&CDS=1-2217
OG0001337	YGL100W	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.53&CDS=1-966
OG0001338	YGL103W	maker-NODE_21_length_132620_cov_14.5818_ID_41-snap-gene-0.200-mRNA-1_1&gene=maker-NODE_21_length_132620_cov_14.5818_ID_41-snap-gene-0.200&CDS=1-411
OG0001339	YGL106W	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.26&CDS=1-423
OG0001340	YGL110C	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.55&CDS=1-2016
OG0001341	YGL111W	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.21&CDS=1-1362
OG0001342	YGL112C	augustus_masked-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.63&CDS=1-3327
OG0001343	YGL114W	snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.143&CDS=1-2349
OG0001344	YGL115W	snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.144&CDS=1-981
OG0001345	YGL119W	snap_masked-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.42&CDS=1-1728
OG0001346	YGL122C	snap_masked-NODE_138_length_6489_cov_13.4761_ID_275-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_138_length_6489_cov_13.4761_ID_275-processed-gene-0.1&CDS=1-1509
OG0001347	YGL123W	snap_masked-NODE_138_length_6489_cov_13.4761_ID_275-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_138_length_6489_cov_13.4761_ID_275-processed-gene-0.2&CDS=1-726
OG0001348	YGL124C	augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.13&CDS=1-1743
OG0001349	YGL125W	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.18&CDS=1-1842
OG0001350	YGL126W	snap_masked-NODE_155_length_4018_cov_17.5977_ID_309-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_155_length_4018_cov_17.5977_ID_309-processed-gene-0.3&CDS=1-666
OG0001351	YGL127C	snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.167-mRNA-1_1&gene=snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.167&CDS=1-636
OG0001352	YGL129C	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.55&CDS=1-1386
OG0001353	YGL130W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.27&CDS=1-1452
OG0001354	YGL131C	maker-NODE_5_length_227933_cov_12.9711_ID_9-snap-gene-1.141-mRNA-1_1&gene=maker-NODE_5_length_227933_cov_12.9711_ID_9-snap-gene-1.141&CDS=1-5436
OG0001355	YGL136C	snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.163-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.163&CDS=1-1008
OG0001356	YGL137W	augustus_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.74&CDS=1-2643
OG0001357	YGL141W	augustus_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.49&CDS=1-3303
OG0001358	YGL142C	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.51&CDS=1-1599
OG0001359	YGL143C	maker-NODE_43_length_85832_cov_13.1704_ID_85-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_43_length_85832_cov_13.1704_ID_85-snap-gene-0.41&CDS=1-1368
OG0001360	YGL148W	maker-NODE_18_length_141908_cov_21.1969_ID_35-snap-gene-0.71-mRNA-1_1&gene=maker-NODE_18_length_141908_cov_21.1969_ID_35-snap-gene-0.71&CDS=1-3210
OG0001361	YGL150C	maker-NODE_119_length_13882_cov_12.6826_ID_237-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_119_length_13882_cov_12.6826_ID_237-snap-gene-0.0&CDS=1-3921
OG0001362	YGL153W	genemark-NODE_119_length_13882_cov_12.6826_ID_237-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_119_length_13882_cov_12.6826_ID_237-processed-gene-0.8&CDS=1-1029
OG0001363	YGL154C	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.6&CDS=1-924
