	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0001148	genemark-scaffold_16-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.71&CDS=1-627	YJR014W
OG0001149	genemark-scaffold_16-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.34&CDS=1-5916	YJL005W
OG0001150	genemark-scaffold_16-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.72&CDS=1-561	YJL004C
OG0001151	augustus_masked-scaffold_16-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.151&CDS=1-1761	YHR194W
OG0001152	snap_masked-scaffold_16-processed-gene-0.194-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.194&CDS=1-1308	YER061C
OG0001153	genemark-scaffold_16-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.36&CDS=1-2067	YHR196W
OG0001154	genemark-scaffold_16-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.37&CDS=1-633	YJR133W
OG0001155	genemark-scaffold_16-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.76&CDS=1-2409	YLL013C
OG0001156	augustus_masked-scaffold_16-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.117&CDS=1-636	YJR022W
OG0001157	genemark-scaffold_16-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.77&CDS=1-777	YGR207C
OG0001158	genemark-scaffold_16-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.40&CDS=1-894	YGR208W
OG0001159	genemark-scaffold_163-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_163-processed-gene-0.8&CDS=1-3762	YLR398C
OG0001160	genemark-scaffold_164-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_164-processed-gene-0.12&CDS=1-576	YMR269W
OG0001161	genemark-scaffold_164-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_164-processed-gene-0.10&CDS=1-1464	YMR268C
OG0001162	genemark-scaffold_164-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_164-processed-gene-0.11&CDS=1-1605	YML086C
OG0001163	genemark-scaffold_165-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_165-processed-gene-0.1&CDS=1-4329	YGL027C
OG0001164	genemark-scaffold_166-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_166-processed-gene-0.2&CDS=1-4890	YER166W
OG0001165	maker-scaffold_167-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_167-snap-gene-0.2&CDS=1-2874	YGL179C
OG0001166	genemark-scaffold_168-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_168-processed-gene-0.3&CDS=1-432	YDR064W
OG0001167	genemark-scaffold_17-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.76&CDS=1-2964	YHR098C
OG0001168	genemark-scaffold_17-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.105&CDS=1-1089	YDR347W
OG0001169	genemark-scaffold_17-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.78&CDS=1-3435	YDR052C
OG0001170	genemark-scaffold_17-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.79&CDS=1-3090	YNR067C
OG0001171	genemark-scaffold_17-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.107&CDS=1-624	YHR100C
OG0001172	genemark-scaffold_17-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.81&CDS=1-1953	YDR266C
OG0001173	genemark-scaffold_17-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.108&CDS=1-747	YDR265W
OG0001174	genemark-scaffold_17-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.83&CDS=1-1098	YDR460W
OG0001175	snap_masked-scaffold_17-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.19&CDS=1-1950	YDR452W
OG0001176	genemark-scaffold_17-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.110&CDS=1-588	YML028W
OG0001177	genemark-scaffold_17-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.112&CDS=1-510	YML030W
OG0001178	genemark-scaffold_17-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.113&CDS=1-567	YDR454C
OG0001179	genemark-scaffold_17-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.86&CDS=1-1950	YDR456W
OG0001180	maker-scaffold_17-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.4&CDS=1-2181	YML031W
OG0001181	genemark-scaffold_17-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.87&CDS=1-1461	YML032C
OG0001182	genemark-scaffold_17-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.90&CDS=1-2472	YML035C
OG0001183	genemark-scaffold_17-processed-gene-0.118-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.118&CDS=1-645	YDR459C
OG0001184	genemark-scaffold_17-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.91&CDS=1-1008	YML021C
OG0001185	snap_masked-scaffold_17-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.27&CDS=1-2364	YDR440W
OG0001186	genemark-scaffold_17-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.119&CDS=1-630	YML022W
OG0001187	genemark-scaffold_17-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.120&CDS=1-1866	YER041W
OG0001188	genemark-scaffold_17-processed-gene-0.122-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.122&CDS=1-1347	YER043C
OG0001189	genemark-scaffold_17-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.94&CDS=1-948	YDR435C
OG0001190	snap_masked-scaffold_17-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.29&CDS=1-2505	YDR443C
OG0001191	genemark-scaffold_17-processed-gene-0.125-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.125&CDS=1-570	YER042W
OG0001192	genemark-scaffold_17-processed-gene-0.127-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.127&CDS=1-1104	YGL225W
OG0001193	genemark-scaffold_17-processed-gene-0.128-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.128&CDS=1-1239	YGL243W
OG0001194	genemark-scaffold_17-processed-gene-0.129-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.129&CDS=1-1461	YGL253W
OG0001195	genemark-scaffold_17-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.97&CDS=1-573	YER029C
OG0001196	genemark-scaffold_17-processed-gene-0.131-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.131&CDS=1-1578	YGL234W
OG0001197	genemark-scaffold_17-processed-gene-0.101-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.101&CDS=1-1413	YNR041C
OG0001198	genemark-scaffold_17-processed-gene-0.141-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.141&CDS=1-480	YCR087C-A
OG0001199	genemark-scaffold_17-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.103&CDS=1-1923	YCR088W
OG0001200	genemark-scaffold_17-processed-gene-0.142-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.142&CDS=1-591	YCR090C
OG0001201	genemark-scaffold_170-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_170-processed-gene-0.0&CDS=1-1248	YPR056W
OG0001202	genemark-scaffold_170-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_170-processed-gene-0.1&CDS=1-393	YPR060C
OG0001203	genemark-scaffold_170-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_170-processed-gene-0.2&CDS=1-399	YPR063C
OG0001204	genemark-scaffold_171-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_171-processed-gene-0.8&CDS=1-831	YFR050C
OG0001205	augustus_masked-scaffold_171-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_171-processed-gene-0.6&CDS=1-2676	YFR051C
OG0001206	genemark-scaffold_172-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_172-processed-gene-0.5&CDS=1-1440	YPL235W
OG0001207	genemark-scaffold_172-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_172-processed-gene-0.7&CDS=1-510	YPL234C
OG0001208	augustus_masked-scaffold_173-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_173-processed-gene-0.2&CDS=1-2967	YFL024C
OG0001209	genemark-scaffold_174-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_174-processed-gene-0.4&CDS=1-1194	YNR043W
OG0001210	genemark-scaffold_174-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_174-processed-gene-0.5&CDS=1-2124	YCR084C
OG0001211	genemark-scaffold_178-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_178-processed-gene-0.8&CDS=1-2199	YBL024W
OG0001212	augustus_masked-scaffold_178-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_178-processed-gene-0.4&CDS=1-1131	YBL023C
OG0001213	genemark-scaffold_18-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.2&CDS=1-900	YCL032W
OG0001214	genemark-scaffold_18-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.41&CDS=1-963	YCL031C
OG0001215	genemark-scaffold_18-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.42&CDS=1-489	YDR511W
OG0001216	genemark-scaffold_18-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.43&CDS=1-2397	YCL030C
OG0001217	genemark-scaffold_18-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.44&CDS=1-663	YCL029C
OG0001218	genemark-scaffold_18-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.4&CDS=1-1560	YCL027W
OG0001219	augustus_masked-scaffold_18-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.80&CDS=1-285	YDR510W
OG0001220	snap_masked-scaffold_18-processed-gene-0.185-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.185&CDS=1-4101	YDR507C
OG0001221	genemark-scaffold_18-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.13&CDS=1-1464	YLR182W
OG0001222	genemark-scaffold_18-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.15&CDS=1-795	YLR186W
OG0001223	maker-scaffold_18-snap-gene-0.208-mRNA-1_1&gene=maker-scaffold_18-snap-gene-0.208&CDS=1-4950	YLR187W
OG0001224	genemark-scaffold_18-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.18&CDS=1-2247	YLR188W
OG0001225	genemark-scaffold_18-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.53&CDS=1-3678	YNL275W
OG0001226	genemark-scaffold_18-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.20&CDS=1-1161	YDR517W
OG0001227	genemark-scaffold_18-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.21&CDS=1-1614	YCL043C
OG0001228	genemark-scaffold_18-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.22&CDS=1-1371	YCL044C
OG0001229	genemark-scaffold_18-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.23&CDS=1-2289	YCL045C
OG0001230	genemark-scaffold_18-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.24&CDS=1-393	YDR519W
OG0001231	genemark-scaffold_18-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.25&CDS=1-756	YCL047C
OG0001232	genemark-scaffold_18-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.56&CDS=1-3270	YDR520C
OG0001233	augustus_masked-scaffold_18-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.124&CDS=1-1377	YDR522C
OG0001234	augustus_masked-scaffold_18-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.125&CDS=1-1827	YDR523C
OG0001235	augustus_masked-scaffold_18-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.95&CDS=1-1932	YDR527W
OG0001236	genemark-scaffold_18-processed-gene-0.59-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.59&CDS=1-1122	YDR531W
OG0001237	genemark-scaffold_18-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.30&CDS=1-378	YDR529C
OG0001238	genemark-scaffold_18-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.61&CDS=1-2550	YCL054W
OG0001239	genemark-scaffold_18-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.62&CDS=1-1026	YCL055W
OG0001240	augustus_masked-scaffold_18-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.101&CDS=1-249	YCL057C-A
OG0001241	genemark-scaffold_18-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.34&CDS=1-1119	YCL059C
OG0001242	genemark-scaffold_18-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.36&CDS=1-1245	YGR210C
OG0001243	genemark-scaffold_18-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.38&CDS=1-888	YOR238W
OG0001244	genemark-scaffold_181-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_181-processed-gene-0.2&CDS=1-1359	YLR107W
OG0001245	maker-scaffold_182-snap-gene-0.5-mRNA-1_1&gene=maker-scaffold_182-snap-gene-0.5&CDS=1-3909	YGL251C
OG0001246	genemark-scaffold_184-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_184-processed-gene-0.2&CDS=1-372	YLR200W
OG0001247	genemark-scaffold_184-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_184-processed-gene-0.3&CDS=1-1176	YDL168W
OG0001248	genemark-scaffold_184-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_184-processed-gene-0.4&CDS=1-1929	YDL167C
OG0001249	genemark-scaffold_185-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_185-processed-gene-0.3&CDS=1-1017	YLR354C
OG0001250	genemark-scaffold_186-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_186-processed-gene-0.3&CDS=1-1470	YGL172W
OG0001251	genemark-scaffold_187-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_187-processed-gene-0.11&CDS=1-588	YGR078C
OG0001252	augustus_masked-scaffold_19-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.71&CDS=1-987	YGL185C
OG0001253	genemark-scaffold_19-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.1&CDS=1-549	YGL187C
OG0001254	genemark-scaffold_19-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.3&CDS=1-1848	YGL190C
OG0001255	genemark-scaffold_19-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.41&CDS=1-396	YGL191W
OG0001256	genemark-scaffold_19-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.42&CDS=1-1602	YGL192W
OG0001257	genemark-scaffold_19-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.4&CDS=1-1434	YGL194C
OG0001258	genemark-scaffold_19-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.44&CDS=1-8124	YGL195W
OG0001259	augustus_masked-scaffold_19-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.117&CDS=1-861	YGL198W
OG0001260	genemark-scaffold_19-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.6&CDS=1-957	YER133W
OG0001261	genemark-scaffold_19-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.7&CDS=1-606	YGL200C
OG0001262	genemark-scaffold_19-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.8&CDS=1-1140	YPR075C
OG0001263	genemark-scaffold_19-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.9&CDS=1-2049	YPR074C
OG0001264	genemark-scaffold_19-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.10&CDS=1-486	YPR073C
OG0001265	maker-scaffold_19-snap-gene-0.206-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.206&CDS=1-1830	YPR072W
OG0001266	genemark-scaffold_19-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.11&CDS=1-4083	YBR115C
OG0001267	genemark-scaffold_19-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.12&CDS=1-2496	YBR114W
OG0001268	genemark-scaffold_19-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.13&CDS=1-1218	YER048C
OG0001269	genemark-scaffold_19-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.14&CDS=1-1527	YIL039W
OG0001270	snap_masked-scaffold_19-processed-gene-0.153-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.153&CDS=1-894	YDR393W
OG0001271	genemark-scaffold_19-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.19&CDS=1-1308	YDR394W
OG0001272	genemark-scaffold_19-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.51&CDS=1-1599	YOR149C
OG0001273	genemark-scaffold_19-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.20&CDS=1-3054	YDR395W
OG0001274	genemark-scaffold_19-processed-gene-0.52-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.52&CDS=1-504	YDR397C
OG0001275	genemark-scaffold_19-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.21&CDS=1-2040	YDR398W
OG0001276	genemark-scaffold_19-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.22&CDS=1-666	YDR399W
OG0001277	genemark-scaffold_19-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.23&CDS=1-1335	YDR400W
OG0001278	genemark-scaffold_19-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.24&CDS=1-2058	YDR403W
OG0001279	genemark-scaffold_19-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.53&CDS=1-513	YDR404C
OG0001280	genemark-scaffold_19-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.25&CDS=1-549	YOR150W
OG0001281	augustus_masked-scaffold_19-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.126&CDS=1-3852	YOR151C
OG0001282	genemark-scaffold_19-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.26&CDS=1-942	YDR405W
OG0001283	genemark-scaffold_19-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.27&CDS=1-1725	YLR417W
OG0001284	genemark-scaffold_19-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.28&CDS=1-1545	YOR161C
OG0001285	genemark-scaffold_19-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.55&CDS=1-3063	YOR160W
OG0001286	snap_masked-scaffold_19-processed-gene-0.163-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.163&CDS=1-273	YOR159C
OG0001287	genemark-scaffold_19-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.56&CDS=1-999	YOR158W
OG0001288	genemark-scaffold_19-processed-gene-0.57-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.57&CDS=1-3474	YDR407C
OG0001289	genemark-scaffold_19-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.30&CDS=1-768	YOR157C
OG0001290	genemark-scaffold_19-processed-gene-0.58-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.58&CDS=1-801	YDR408C
OG0001291	maker-scaffold_19-snap-gene-0.208-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.208&CDS=1-1344	YNR029C
OG0001292	genemark-scaffold_19-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.60&CDS=1-723	YDR410C
OG0001293	genemark-scaffold_19-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.62&CDS=1-1038	YDR411C
OG0001294	genemark-scaffold_19-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.32&CDS=1-768	YDR412W
OG0001295	genemark-scaffold_19-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.63&CDS=1-909	YDR414C
OG0001296	genemark-scaffold_19-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.33&CDS=1-2340	YAL011W
OG0001297	genemark-scaffold_19-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.64&CDS=1-1224	YAL010C
OG0001298	genemark-scaffold_19-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.39&CDS=1-1446	YGL012W
OG0001299	genemark-scaffold_19-processed-gene-0.66-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.66&CDS=1-819	YGL011C
OG0001300	maker-scaffold_191-snap-gene-0.10-mRNA-1_1&gene=maker-scaffold_191-snap-gene-0.10&CDS=1-1497	YDR081C
OG0001301	genemark-scaffold_193-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_193-processed-gene-0.2&CDS=1-1824	YMR278W
OG0001302	augustus_masked-scaffold_195-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_195-processed-gene-0.6&CDS=1-1311	YGL112C
OG0001303	genemark-scaffold_195-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_195-processed-gene-0.4&CDS=1-2565	YGL113W
OG0001304	genemark-scaffold_196-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_196-processed-gene-0.4&CDS=1-900	YOR007C
OG0001305	genemark-scaffold_196-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_196-processed-gene-0.5&CDS=1-1038	YOR006C
OG0001306	augustus_masked-scaffold_196-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_196-processed-gene-0.2&CDS=1-447	YML001W
OG0001307	genemark-scaffold_197-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_197-processed-gene-0.2&CDS=1-1710	YEL060C
OG0001308	augustus_masked-scaffold_198-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_198-processed-gene-0.5&CDS=1-3417	YIL048W
OG0001309	genemark-scaffold_199-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_199-processed-gene-0.5&CDS=1-1533	YGL186C
OG0001310	augustus_masked-scaffold_2-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.44&CDS=1-1098	YDR058C
OG0001311	augustus_masked-scaffold_2-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.46&CDS=1-1911	YOR205C
OG0001312	augustus_masked-scaffold_2-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.65&CDS=1-2778	YLR138W
OG0001313	augustus_masked-scaffold_2-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.47&CDS=1-528	YNL255C
OG0001314	snap_masked-scaffold_2-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.28&CDS=1-2322	YNL256W
OG0001315	augustus_masked-scaffold_2-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.67&CDS=1-843	YNL252C
OG0001316	augustus_masked-scaffold_2-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.68&CDS=1-1920	YNL251C
OG0001317	augustus_masked-scaffold_2-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.48&CDS=1-4083	YNL250W
OG0001318	snap_masked-scaffold_2-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.31&CDS=1-1257	YNL248C
OG0001319	snap_masked-scaffold_2-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.8&CDS=1-468	YJR097W
OG0001320	snap_masked-scaffold_2-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.9&CDS=1-2298	YNL247W
OG0001321	augustus_masked-scaffold_2-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.70&CDS=1-519	YNL245C
OG0001322	augustus_masked-scaffold_2-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.71&CDS=1-327	YNL244C
OG0001323	snap_masked-scaffold_2-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.12&CDS=1-3171	YNL243W
OG0001324	augustus_masked-scaffold_2-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.74&CDS=1-1005	YJL208C
OG0001325	snap_masked-scaffold_2-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.38&CDS=1-5700	YJL207C
OG0001326	snap_masked-scaffold_2-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.39&CDS=1-2364	YJL200C
OG0001327	snap_masked-scaffold_2-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.40&CDS=1-2124	YJL201W
OG0001328	snap_masked-scaffold_2-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.18&CDS=1-2622	YJL204C
OG0001329	augustus_masked-scaffold_2-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.79&CDS=1-2052	YJL206C
OG0001330	snap_masked-scaffold_2-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.22&CDS=1-3567	YJL197W
OG0001331	augustus_masked-scaffold_2-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.80&CDS=1-1059	YCR036W
