	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0001486	YGL192W	augustus_masked-scaffold_3-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.1&CDS=1-1578
OG0001487	YGL195W	augustus_masked-scaffold_3-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.17&CDS=1-8070
OG0001488	YGL196W	maker-scaffold_8-augustus-gene-3.97-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-3.97&CDS=1-4716
OG0001489	YGL198W	augustus_masked-scaffold_5-processed-gene-15.169-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.169&CDS=1-972
OG0001490	YGL200C	augustus_masked-scaffold_2-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.64&CDS=1-591
OG0001491	YGL201C	augustus_masked-scaffold_2-processed-gene-16.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.81&CDS=1-2805
OG0001492	YGL202W	augustus_masked-scaffold_3-processed-gene-19.149-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.149&CDS=1-1482
OG0001493	YGL203C	augustus_masked-scaffold_8-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.66&CDS=1-2100
OG0001494	YGL206C	augustus_masked-scaffold_7-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.77&CDS=1-5016
OG0001495	YGL207W	augustus_masked-scaffold_1-processed-gene-24.117-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.117&CDS=1-3039
OG0001496	YGL211W	augustus_masked-scaffold_6-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.126&CDS=1-1140
OG0001497	YGL213C	augustus_masked-scaffold_7-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.133&CDS=1-1143
OG0001498	YGL215W	augustus_masked-scaffold_2-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.31&CDS=1-1116
OG0001499	YGL216W	augustus_masked-scaffold_5-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.41&CDS=1-2619
OG0001500	YGL220W	augustus_masked-scaffold_2-processed-gene-19.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.60&CDS=1-261
OG0001501	YGL221C	maker-scaffold_1-augustus-gene-20.38-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.38&CDS=1-825
OG0001502	YGL227W	augustus_masked-scaffold_6-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.18&CDS=1-2607
OG0001503	YGL231C	augustus_masked-scaffold_8-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.38&CDS=1-495
OG0001504	YGL232W	augustus_masked-scaffold_8-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.18&CDS=1-894
OG0001505	YGL233W	augustus_masked-scaffold_1-processed-gene-19.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.14&CDS=1-2541
OG0001506	YGL234W	augustus_masked-scaffold_1-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.87&CDS=1-2391
OG0001507	YGL236C	augustus_masked-scaffold_1-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.71&CDS=1-2013
OG0001508	YGL237C	augustus_masked-scaffold_1-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.79&CDS=1-600
OG0001509	YGL238W	augustus_masked-scaffold_1-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.69&CDS=1-2916
OG0001510	YGL240W	augustus_masked-scaffold_1-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.84&CDS=1-996
OG0001511	YGL242C	augustus_masked-scaffold_8-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.61&CDS=1-555
OG0001512	YGL243W	augustus_masked-scaffold_8-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.21&CDS=1-1146
OG0001513	YGL244W	augustus_masked-scaffold_8-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.146&CDS=1-1647
OG0001514	YGL245W	augustus_masked-scaffold_8-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.129&CDS=1-2175
OG0001515	YGL246C	augustus_masked-scaffold_6-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.140&CDS=1-1173
OG0001516	YGL247W	augustus_masked-scaffold_5-processed-gene-13.33-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.33&CDS=1-798
OG0001517	YGL248W	augustus_masked-scaffold_4-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.8&CDS=1-1176
OG0001518	YGL250W	augustus_masked-scaffold_3-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.8&CDS=1-1251
OG0001519	YGR001C	augustus_masked-scaffold_1-processed-gene-21.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.93&CDS=1-750
OG0001520	YGR002C	snap_masked-scaffold_2-processed-gene-19.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.41&CDS=1-1794
OG0001521	YGR003W	augustus_masked-scaffold_2-processed-gene-19.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.80&CDS=1-2586
OG0001522	YGR005C	augustus_masked-scaffold_3-processed-gene-19.143-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.143&CDS=1-1167
OG0001523	YGR006W	augustus_masked-scaffold_3-processed-gene-19.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.98&CDS=1-894
OG0001524	YGR007W	maker-scaffold_3-augustus-gene-19.180-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-19.180&CDS=1-1137
OG0001525	YGR009C	augustus_masked-scaffold_7-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.58&CDS=1-1293
OG0001526	YGR012W	augustus_masked-scaffold_7-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.102&CDS=1-1173
OG0001527	YGR013W	augustus_masked-scaffold_3-processed-gene-12.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.28&CDS=1-1599
OG0001528	YGR014W	augustus_masked-scaffold_3-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.10&CDS=1-3354
OG0001529	YGR017W	augustus_masked-scaffold_8-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.101&CDS=1-933
OG0001530	YGR019W	augustus_masked-scaffold_3-processed-gene-15.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.45&CDS=1-1413
OG0001531	YGR020C	augustus_masked-scaffold_3-processed-gene-15.43-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.43&CDS=1-375
OG0001532	YGR021W	augustus_masked-scaffold_3-processed-gene-15.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.22&CDS=1-831
OG0001533	YGR024C	augustus_masked-scaffold_8-processed-gene-5.149-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.149&CDS=1-801
OG0001534	YGR026W	augustus_masked-scaffold_2-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.40&CDS=1-819
OG0001535	YGR028W	snap_masked-scaffold_2-processed-gene-13.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.29&CDS=1-1068
OG0001536	YGR029W	maker-scaffold_2-augustus-gene-15.8-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.8&CDS=1-570
OG0001537	YGR031W	augustus_masked-scaffold_3-processed-gene-11.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.50&CDS=1-975
OG0001538	YGR032W	augustus_masked-scaffold_1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.29&CDS=1-5664
OG0001539	YGR033C	augustus_masked-scaffold_1-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.6&CDS=1-819
OG0001540	YGR036C	augustus_masked-scaffold_1-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.2&CDS=1-600
OG0001541	YGR037C	augustus_masked-scaffold_8-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.143&CDS=1-258
OG0001542	YGR042W	augustus_masked-scaffold_3-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.79&CDS=1-849
OG0001543	YGR044C	augustus_masked-scaffold_1-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.47&CDS=1-1584
OG0001544	YGR046W	augustus_masked-scaffold_4-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.25&CDS=1-1296
OG0001545	YGR047C	augustus_masked-scaffold_5-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.115&CDS=1-3312
OG0001546	YGR048W	augustus_masked-scaffold_3-processed-gene-16.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.49&CDS=1-1056
OG0001547	YGR052W	augustus_masked-scaffold_7-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.68&CDS=1-1377
OG0001548	YGR053C	augustus_masked-scaffold_7-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.88&CDS=1-927
OG0001549	YGR054W	augustus_masked-scaffold_1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.30&CDS=1-1872
OG0001550	YGR055W	augustus_masked-scaffold_4-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.86&CDS=1-1638
OG0001551	YGR057C	augustus_masked-scaffold_8-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.78&CDS=1-675
OG0001552	YGR058W	augustus_masked-scaffold_3-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.65&CDS=1-912
OG0001553	YGR060W	snap_masked-scaffold_6-processed-gene-3.10-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.10&CDS=1-984
OG0001554	YGR061C	augustus_masked-scaffold_2-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.7&CDS=1-4752
OG0001555	YGR062C	maker-scaffold_6-augustus-gene-9.95-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.95&CDS=1-2076
OG0001556	YGR063C	augustus_masked-scaffold_6-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.19&CDS=1-336
OG0001557	YGR068C	augustus_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.39&CDS=1-1908
OG0001558	YGR074W	augustus_masked-scaffold_2-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.13&CDS=1-369
OG0001559	YGR076C	augustus_masked-scaffold_2-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.40&CDS=1-468
OG0001560	YGR080W	augustus_masked-scaffold_3-processed-gene-9.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.23&CDS=1-1071
OG0001561	YGR082W	augustus_masked-scaffold_1-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.15&CDS=1-516
OG0001562	YGR083C	augustus_masked-scaffold_5-processed-gene-15.163-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.163&CDS=1-1539
OG0001563	YGR086C	augustus_masked-scaffold_3-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.21&CDS=1-930
OG0001564	YGR090W	augustus_masked-scaffold_3-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.19&CDS=1-3456
OG0001565	YGR091W	augustus_masked-scaffold_3-processed-gene-9.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.28&CDS=1-1611
OG0001566	YGR093W	augustus_masked-scaffold_1-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.5&CDS=1-1473
OG0001567	YGR094W	augustus_masked-scaffold_3-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.29&CDS=1-3192
OG0001568	YGR095C	augustus_masked-scaffold_3-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.50&CDS=1-657
OG0001569	YGR096W	maker-scaffold_3-augustus-gene-10.6-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.6&CDS=1-900
OG0001570	YGR098C	augustus_masked-scaffold_1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.94&CDS=1-5193
OG0001571	YGR099W	snap_masked-scaffold_8-processed-gene-7.217-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.217&CDS=1-2490
OG0001572	YGR100W	augustus_masked-scaffold_1-processed-gene-24.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.84&CDS=1-2778
OG0001573	YGR103W	augustus_masked-scaffold_3-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.11&CDS=1-1746
OG0001574	YGR104C	augustus_masked-scaffold_3-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.40&CDS=1-894
OG0001575	YGR105W	maker-scaffold_3-augustus-gene-2.106-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.106&CDS=1-234
OG0001576	YGR110W	augustus_masked-scaffold_7-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.54&CDS=1-1260
OG0001577	YGR111W	augustus_masked-scaffold_1-processed-gene-24.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.109&CDS=1-1233
OG0001578	YGR112W	augustus_masked-scaffold_6-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.113&CDS=1-1113
OG0001579	YGR116W	augustus_masked-scaffold_8-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.132&CDS=1-4410
OG0001580	YGR117C	augustus_masked-scaffold_6-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.77&CDS=1-1311
OG0001581	YGR119C	augustus_masked-scaffold_2-processed-gene-15.86-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.86&CDS=1-1674
OG0001582	YGR120C	augustus_masked-scaffold_2-processed-gene-15.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.88&CDS=1-747
OG0001583	YGR123C	augustus_masked-scaffold_5-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.34&CDS=1-1590
OG0001584	YGR125W	augustus_masked-scaffold_2-processed-gene-18.45-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.45&CDS=1-2979
OG0001585	YGR127W	maker-scaffold_2-augustus-gene-14.99-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-14.99&CDS=1-936
OG0001586	YGR128C	augustus_masked-scaffold_5-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.88&CDS=1-2184
OG0001587	YGR132C	augustus_masked-scaffold_5-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.70&CDS=1-846
OG0001588	YGR134W	augustus_masked-scaffold_1-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.6&CDS=1-2664
OG0001589	YGR135W	augustus_masked-scaffold_5-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.68&CDS=1-759
OG0001590	YGR144W	maker-scaffold_5-snap-gene-4.40-mRNA-1_1&gene=maker-scaffold_5-snap-gene-4.40&CDS=1-1620
OG0001591	YGR145W	augustus_masked-scaffold_8-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.29&CDS=1-3651
OG0001592	YGR147C	augustus_masked-scaffold_3-processed-gene-19.139-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.139&CDS=1-609
OG0001593	YGR149W	augustus_masked-scaffold_4-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.65&CDS=1-1371
OG0001594	YGR150C	augustus_masked-scaffold_7-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.114&CDS=1-2268
OG0001595	YGR152C	augustus_masked-scaffold_2-processed-gene-16.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.79&CDS=1-705
OG0001596	YGR155W	augustus_masked-scaffold_1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.6&CDS=1-1497
OG0001597	YGR157W	augustus_masked-scaffold_2-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.74&CDS=1-2613
OG0001598	YGR158C	augustus_masked-scaffold_2-processed-gene-15.59-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.59&CDS=1-816
OG0001599	YGR159C	augustus_masked-scaffold_1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.22&CDS=1-1242
OG0001600	YGR161C	augustus_masked-scaffold_2-processed-gene-20.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.20&CDS=1-900
OG0001601	YGR163W	augustus_masked-scaffold_2-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.45&CDS=1-1038
OG0001602	YGR165W	augustus_masked-scaffold_3-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.22&CDS=1-1557
OG0001603	YGR167W	augustus_masked-scaffold_1-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.55&CDS=1-663
OG0001604	YGR170W	snap_masked-scaffold_6-processed-gene-10.187-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.187&CDS=1-3225
OG0001605	YGR171C	augustus_masked-scaffold_6-processed-gene-10.3-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.3&CDS=1-1761
OG0001606	YGR172C	snap_masked-scaffold_6-processed-gene-10.191-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.191&CDS=1-798
OG0001607	YGR173W	augustus_masked-scaffold_6-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.9&CDS=1-1101
OG0001608	YGR174C	augustus_masked-scaffold_6-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.28&CDS=1-438
OG0001609	YGR178C	augustus_masked-scaffold_5-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.102&CDS=1-2616
OG0001610	YGR181W	augustus_masked-scaffold_1-processed-gene-17.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.61&CDS=1-297
OG0001611	YGR183C	snap_masked-scaffold_1-processed-gene-17.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.5&CDS=1-207
OG0001612	YGR185C	augustus_masked-scaffold_1-processed-gene-17.49-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.49&CDS=1-1236
OG0001613	YGR186W	augustus_masked-scaffold_1-processed-gene-17.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.77&CDS=1-1779
OG0001614	YGR187C	augustus_masked-scaffold_1-processed-gene-17.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.55&CDS=1-1086
OG0001615	YGR188C	augustus_masked-scaffold_1-processed-gene-17.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.86&CDS=1-2556
OG0001616	YGR189C	augustus_masked-scaffold_1-processed-gene-16.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.130&CDS=1-1395
OG0001617	YGR193C	augustus_masked-scaffold_4-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.61&CDS=1-1263
OG0001618	YGR194C	augustus_masked-scaffold_1-processed-gene-23.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.11&CDS=1-1827
OG0001619	YGR195W	augustus_masked-scaffold_1-processed-gene-17.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.58&CDS=1-726
OG0001620	YGR198W	augustus_masked-scaffold_6-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.141&CDS=1-2670
OG0001621	YGR200C	augustus_masked-scaffold_1-processed-gene-10.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.54&CDS=1-2421
OG0001622	YGR202C	augustus_masked-scaffold_6-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.131&CDS=1-1308
OG0001623	YGR203W	augustus_masked-scaffold_6-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.114&CDS=1-444
OG0001624	YGR207C	augustus_masked-scaffold_2-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.83&CDS=1-768
OG0001625	YGR208W	augustus_masked-scaffold_3-processed-gene-16.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.46&CDS=1-915
OG0001626	YGR210C	augustus_masked-scaffold_6-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.127&CDS=1-1239
OG0001627	YGR211W	augustus_masked-scaffold_1-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.131&CDS=1-1482
OG0001628	YGR216C	genemark-scaffold_5-processed-gene-6.41-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.41&CDS=1-2127
OG0001629	YGR217W	augustus_masked-scaffold_1-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.148&CDS=1-6213
OG0001630	YGR218W	augustus_masked-scaffold_2-processed-gene-19.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.57&CDS=1-3249
OG0001631	YGR220C	augustus_masked-scaffold_2-processed-gene-19.76-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.76&CDS=1-837
OG0001632	YGR223C	augustus_masked-scaffold_1-processed-gene-23.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.15&CDS=1-1203
OG0001633	YGR225W	maker-scaffold_5-augustus-gene-5.124-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.124&CDS=1-1608
OG0001634	YGR227W	augustus_masked-scaffold_5-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.18&CDS=1-1353
OG0001635	YGR229C	augustus_masked-scaffold_5-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.1&CDS=1-1449
OG0001636	YGR231C	augustus_masked-scaffold_5-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.17&CDS=1-912
OG0001637	YGR233C	augustus_masked-scaffold_2-processed-gene-19.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.73&CDS=1-3651
OG0001638	YGR234W	augustus_masked-scaffold_2-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.14&CDS=1-1182
OG0001639	YGR235C	augustus_masked-scaffold_1-processed-gene-15.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.31&CDS=1-741
OG0001640	YGR240C	maker-scaffold_6-augustus-gene-10.181-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.181&CDS=1-4173
OG0001641	YGR244C	augustus_masked-scaffold_2-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.36&CDS=1-1245
OG0001642	YGR245C	augustus_masked-scaffold_2-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.43&CDS=1-2154
OG0001643	YGR246C	augustus_masked-scaffold_2-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.44&CDS=1-1614
OG0001644	YGR252W	augustus_masked-scaffold_2-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.16&CDS=1-3015
OG0001645	YGR253C	augustus_masked-scaffold_2-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.35&CDS=1-765
OG0001646	YGR254W	augustus_masked-scaffold_6-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.49&CDS=1-1320
OG0001647	YGR257C	augustus_masked-scaffold_1-processed-gene-15.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.13&CDS=1-1176
OG0001648	YGR258C	augustus_masked-scaffold_1-processed-gene-18.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.137&CDS=1-3042
OG0001649	YGR260W	augustus_masked-scaffold_4-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.48&CDS=1-1524
OG0001650	YGR261C	augustus_masked-scaffold_1-processed-gene-18.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.136&CDS=1-2418
OG0001651	YGR262C	augustus_masked-scaffold_6-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.39&CDS=1-810
OG0001652	YGR264C	augustus_masked-scaffold_6-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.6&CDS=1-2253
OG0001653	YGR266W	augustus_masked-scaffold_6-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.15&CDS=1-2118
OG0001654	YGR267C	augustus_masked-scaffold_6-processed-gene-10.7-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.7&CDS=1-834
OG0001655	YGR268C	augustus_masked-scaffold_6-processed-gene-10.48-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.48&CDS=1-846
OG0001656	YGR270W	augustus_masked-scaffold_6-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.2&CDS=1-3912
OG0001657	YGR271C-A	augustus_masked-scaffold_6-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.47&CDS=1-705
OG0001658	YGR271W	augustus_masked-scaffold_6-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.8&CDS=1-5796
OG0001659	YGR274C	augustus_masked-scaffold_1-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.63&CDS=1-3342
