	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0001728	YGR264C	genemark-LQHL01001566.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001566.1-processed-gene-0.10&CDS=1-2241
OG0001729	YGR266W	genemark-LQHL01001856.1-processed-gene-0.124-mRNA-1_1&gene=genemark-LQHL01001856.1-processed-gene-0.124&CDS=1-2181
OG0001730	YGR268C	genemark-LQHL01001865.1-processed-gene-0.148-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.148&CDS=1-783
OG0001731	YGR270W	snap_masked-LQHL01001542.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LQHL01001542.1-processed-gene-0.19&CDS=1-4086
OG0001732	YGR271C-A	genemark-LQHL01001865.1-processed-gene-0.147-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.147&CDS=1-696
OG0001733	YGR271W	genemark-LQHL01001865.1-processed-gene-0.124-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.124&CDS=1-5799
OG0001734	YGR274C	augustus_masked-LQHL01001826.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LQHL01001826.1-processed-gene-0.17&CDS=1-3633
OG0001735	YGR276C	snap_masked-LQHL01001826.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LQHL01001826.1-processed-gene-0.54&CDS=1-1692
OG0001736	YGR277C	genemark-LQHL01001641.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001641.1-processed-gene-0.1&CDS=1-903
OG0001737	YGR280C	genemark-LQHL01001815.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQHL01001815.1-processed-gene-0.56&CDS=1-4914
OG0001738	YGR282C	augustus_masked-LQHL01001870.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-LQHL01001870.1-processed-gene-0.143&CDS=1-1458
OG0001739	YGR285C	maker-LQHL01001837.1-augustus-gene-0.116-mRNA-1_1&gene=maker-LQHL01001837.1-augustus-gene-0.116&CDS=1-2043
OG0001740	YGR286C	genemark-LQHL01001497.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001497.1-processed-gene-0.1&CDS=1-1194
OG0001741	YHL002W	genemark-LQHL01001739.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001739.1-processed-gene-0.16&CDS=1-1359
OG0001742	YHL004W	genemark-LQHL01001750.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001750.1-processed-gene-0.27&CDS=1-1392
OG0001743	YHL007C	genemark-LQHL01001744.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001744.1-processed-gene-0.29&CDS=1-4194
OG0001744	YHL008C	snap_masked-LQHL01001476.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001476.1-processed-gene-0.3&CDS=1-1587
OG0001745	YHL013C	genemark-LQHL01001869.1-processed-gene-0.79-mRNA-1_1&gene=genemark-LQHL01001869.1-processed-gene-0.79&CDS=1-909
OG0001746	YHL014C	genemark-LQHL01001759.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001759.1-processed-gene-0.2&CDS=1-1233
OG0001747	YHL015W	genemark-LQHL01001834.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.20&CDS=1-357
OG0001748	YHL016C	augustus_masked-LQHL01001789.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001789.1-processed-gene-0.23&CDS=1-2082
OG0001749	YHL018W	genemark-LQHL01001840.1-processed-gene-0.66-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.66&CDS=1-408
OG0001750	YHL019C	genemark-LQHL01001840.1-processed-gene-0.47-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.47&CDS=1-1671
OG0001751	YHL020C	genemark-LQHL01001859.1-processed-gene-0.111-mRNA-1_1&gene=genemark-LQHL01001859.1-processed-gene-0.111&CDS=1-1257
OG0001752	YHL022C	maker-LQHL01001677.1-augustus-gene-0.31-mRNA-1_1&gene=maker-LQHL01001677.1-augustus-gene-0.31&CDS=1-1044
OG0001753	YHL024W	genemark-LQHL01001637.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001637.1-processed-gene-0.26&CDS=1-1848
OG0001754	YHL027W	snap_masked-LQHL01001872.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LQHL01001872.1-processed-gene-0.75&CDS=1-2505
OG0001755	YHL029C	genemark-LQHL01001867.1-processed-gene-0.109-mRNA-1_1&gene=genemark-LQHL01001867.1-processed-gene-0.109&CDS=1-1962
OG0001756	YHL030W	genemark-LQHL01001867.1-processed-gene-0.108-mRNA-1_1&gene=genemark-LQHL01001867.1-processed-gene-0.108&CDS=1-5505
OG0001757	YHL031C	maker-LQHL01001833.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQHL01001833.1-snap-gene-0.3&CDS=1-855
OG0001758	YHL032C	genemark-LQHL01001866.1-processed-gene-0.126-mRNA-1_1&gene=genemark-LQHL01001866.1-processed-gene-0.126&CDS=1-1890
OG0001759	YHL036W	snap_masked-LQHL01001753.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LQHL01001753.1-processed-gene-0.45&CDS=1-1710
OG0001760	YHL040C	genemark-LQHL01001614.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001614.1-processed-gene-0.6&CDS=1-1875
OG0001761	YHR001W-A	snap_masked-LQHL01001416.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001416.1-processed-gene-0.2&CDS=1-234
OG0001762	YHR002W	genemark-LQHL01001840.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.33&CDS=1-1227
OG0001763	YHR004C	genemark-LQHL01001852.1-processed-gene-0.85-mRNA-1_1&gene=genemark-LQHL01001852.1-processed-gene-0.85&CDS=1-1287
OG0001764	YHR005C	snap_masked-LQHL01001865.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LQHL01001865.1-processed-gene-0.54&CDS=1-2562
OG0001765	YHR005C-A	genemark-LQHL01001752.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001752.1-processed-gene-0.33&CDS=1-336
OG0001766	YHR007C	genemark-LQHL01001858.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.69&CDS=1-1575
OG0001767	YHR008C	genemark-LQHL01001784.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001784.1-processed-gene-0.18&CDS=1-690
OG0001768	YHR009C	genemark-LQHL01001705.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001705.1-processed-gene-0.4&CDS=1-1473
OG0001769	YHR011W	genemark-LQHL01001533.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001533.1-processed-gene-0.8&CDS=1-1383
OG0001770	YHR012W	genemark-LQHL01001622.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001622.1-processed-gene-0.2&CDS=1-816
OG0001771	YHR013C	genemark-LQHL01001868.1-processed-gene-0.63-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.63&CDS=1-639
OG0001772	YHR018C	genemark-LQHL01001685.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001685.1-processed-gene-0.18&CDS=1-1392
OG0001773	YHR019C	genemark-LQHL01001659.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001659.1-processed-gene-0.22&CDS=1-1662
OG0001774	YHR020W	genemark-LQHL01001659.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001659.1-processed-gene-0.27&CDS=1-2064
OG0001775	YHR023W	maker-LQHL01001858.1-augustus-gene-0.126-mRNA-1_1&gene=maker-LQHL01001858.1-augustus-gene-0.126&CDS=1-5634
OG0001776	YHR024C	genemark-LQHL01001858.1-processed-gene-0.63-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.63&CDS=1-1521
OG0001777	YHR025W	genemark-LQHL01001858.1-processed-gene-0.68-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.68&CDS=1-1053
OG0001778	YHR026W	genemark-LQHL01001502.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001502.1-processed-gene-0.9&CDS=1-588
OG0001779	YHR027C	maker-LQHL01001502.1-snap-gene-0.15-mRNA-1_1&gene=maker-LQHL01001502.1-snap-gene-0.15&CDS=1-3087
OG0001780	YHR028C	augustus_masked-LQHL01001775.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001775.1-processed-gene-0.23&CDS=1-2952
OG0001781	YHR030C	genemark-LQHL01001612.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001612.1-processed-gene-0.4&CDS=1-1695
OG0001782	YHR032W	genemark-LQHL01001862.1-processed-gene-0.41-mRNA-1_1&gene=genemark-LQHL01001862.1-processed-gene-0.41&CDS=1-1758
OG0001783	YHR037W	genemark-LQHL01001865.1-processed-gene-0.127-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.127&CDS=1-1782
OG0001784	YHR038W	genemark-LQHL01001782.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001782.1-processed-gene-0.22&CDS=1-768
OG0001785	YHR039C	genemark-LQHL01001857.1-processed-gene-0.100-mRNA-1_1&gene=genemark-LQHL01001857.1-processed-gene-0.100&CDS=1-1848
OG0001786	YHR040W	genemark-LQHL01001617.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001617.1-processed-gene-0.12&CDS=1-1125
OG0001787	YHR041C	augustus_masked-LQHL01001383.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001383.1-processed-gene-0.4&CDS=1-711
OG0001788	YHR042W	genemark-LQHL01001660.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001660.1-processed-gene-0.17&CDS=1-2073
OG0001789	YHR045W	genemark-LQHL01001793.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001793.1-processed-gene-0.36&CDS=1-1431
OG0001790	YHR048W	genemark-LQHL01001360.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001360.1-processed-gene-0.2&CDS=1-1575
OG0001791	YHR051W	genemark-LQHL01001842.1-processed-gene-0.83-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.83&CDS=1-429
OG0001792	YHR052W	snap_masked-LQHL01001843.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQHL01001843.1-processed-gene-0.10&CDS=1-1077
OG0001793	YHR058C	genemark-LQHL01001454.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001454.1-processed-gene-0.19&CDS=1-906
OG0001794	YHR059W	genemark-LQHL01001813.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001813.1-processed-gene-0.31&CDS=1-486
OG0001795	YHR062C	genemark-LQHL01001796.1-processed-gene-0.44-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.44&CDS=1-927
OG0001796	YHR064C	genemark-LQHL01001700.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001700.1-processed-gene-0.34&CDS=1-1635
OG0001797	YHR065C	genemark-LQHL01001798.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001798.1-processed-gene-0.22&CDS=1-1455
OG0001798	YHR067W	genemark-LQHL01001574.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001574.1-processed-gene-0.5&CDS=1-927
OG0001799	YHR068W	genemark-LQHL01001873.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.35&CDS=1-1137
OG0001800	YHR069C	genemark-LQHL01001380.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001380.1-processed-gene-0.0&CDS=1-1080
OG0001801	YHR070W	genemark-LQHL01001380.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001380.1-processed-gene-0.1&CDS=1-1368
OG0001802	YHR071W	genemark-LQHL01001793.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001793.1-processed-gene-0.45&CDS=1-939
OG0001803	YHR072W	genemark-LQHL01001859.1-processed-gene-0.117-mRNA-1_1&gene=genemark-LQHL01001859.1-processed-gene-0.117&CDS=1-2184
OG0001804	YHR072W-A	snap_masked-LQHL01001834.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-LQHL01001834.1-processed-gene-0.99&CDS=1-177
OG0001805	YHR074W	genemark-LQHL01001842.1-processed-gene-0.92-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.92&CDS=1-2139
OG0001806	YHR075C	genemark-LQHL01001842.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.74&CDS=1-1134
OG0001807	YHR076W	snap_masked-LQHL01001695.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LQHL01001695.1-processed-gene-0.32&CDS=1-1107
OG0001808	YHR077C	genemark-LQHL01001842.1-processed-gene-0.94-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.94&CDS=1-3051
OG0001809	YHR078W	genemark-LQHL01001870.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQHL01001870.1-processed-gene-0.32&CDS=1-1857
OG0001810	YHR079C	genemark-LQHL01001858.1-processed-gene-0.59-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.59&CDS=1-3534
OG0001811	YHR081W	genemark-LQHL01001858.1-processed-gene-0.81-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.81&CDS=1-675
OG0001812	YHR082C	genemark-LQHL01001585.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001585.1-processed-gene-0.13&CDS=1-2814
OG0001813	YHR083W	genemark-LQHL01001872.1-processed-gene-0.184-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.184&CDS=1-888
OG0001814	YHR084W	genemark-LQHL01001585.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001585.1-processed-gene-0.12&CDS=1-1656
OG0001815	YHR085W	genemark-LQHL01001782.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001782.1-processed-gene-0.21&CDS=1-1071
OG0001816	YHR087W	genemark-LQHL01001857.1-processed-gene-0.98-mRNA-1_1&gene=genemark-LQHL01001857.1-processed-gene-0.98&CDS=1-339
OG0001817	YHR088W	genemark-LQHL01001574.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001574.1-processed-gene-0.9&CDS=1-894
OG0001818	YHR089C	genemark-LQHL01001728.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001728.1-processed-gene-0.17&CDS=1-636
OG0001819	YHR090C	genemark-LQHL01001842.1-processed-gene-0.100-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.100&CDS=1-900
OG0001820	YHR099W	snap_masked-LQHL01001608.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001608.1-processed-gene-0.3&CDS=1-11445
OG0001821	YHR100C	augustus_masked-LQHL01001608.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQHL01001608.1-processed-gene-0.9&CDS=1-1200
OG0001822	YHR102W	maker-LQHL01001712.1-augustus-gene-0.22-mRNA-1_1&gene=maker-LQHL01001712.1-augustus-gene-0.22&CDS=1-5445
OG0001823	YHR104W	genemark-LQHL01001816.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001816.1-processed-gene-0.1&CDS=1-954
OG0001824	YHR107C	snap_masked-LQHL01001829.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LQHL01001829.1-processed-gene-0.42&CDS=1-1188
OG0001825	YHR108W	genemark-LQHL01001796.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.27&CDS=1-1722
OG0001826	YHR109W	genemark-LQHL01001868.1-processed-gene-0.99-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.99&CDS=1-1809
OG0001827	YHR110W	genemark-LQHL01001852.1-processed-gene-0.107-mRNA-1_1&gene=genemark-LQHL01001852.1-processed-gene-0.107&CDS=1-654
OG0001828	YHR111W	genemark-LQHL01001852.1-processed-gene-0.106-mRNA-1_1&gene=genemark-LQHL01001852.1-processed-gene-0.106&CDS=1-1317
OG0001829	YHR112C	genemark-LQHL01001830.1-processed-gene-0.77-mRNA-1_1&gene=genemark-LQHL01001830.1-processed-gene-0.77&CDS=1-1167
OG0001830	YHR113W	genemark-LQHL01001705.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001705.1-processed-gene-0.5&CDS=1-1485
OG0001831	YHR114W	genemark-LQHL01001848.1-processed-gene-0.99-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.99&CDS=1-1881
OG0001832	YHR116W	genemark-LQHL01001770.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001770.1-processed-gene-0.18&CDS=1-411
OG0001833	YHR119W	genemark-LQHL01001814.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQHL01001814.1-processed-gene-0.74&CDS=1-3105
OG0001834	YHR120W	genemark-LQHL01001755.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001755.1-processed-gene-0.24&CDS=1-2823
OG0001835	YHR121W	genemark-LQHL01001613.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001613.1-processed-gene-0.17&CDS=1-789
OG0001836	YHR122W	snap_masked-LQHL01001736.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001736.1-processed-gene-0.3&CDS=1-591
OG0001837	YHR123W	genemark-LQHL01001613.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001613.1-processed-gene-0.16&CDS=1-1191
OG0001838	YHR128W	genemark-LQHL01001865.1-processed-gene-0.132-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.132&CDS=1-654
OG0001839	YHR132C	augustus_masked-LQHL01001709.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001709.1-processed-gene-0.4&CDS=1-1821
OG0001840	YHR135C	genemark-LQHL01001766.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001766.1-processed-gene-0.31&CDS=1-1530
OG0001841	YHR138C	snap_masked-LQHL01001837.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001837.1-processed-gene-0.1&CDS=1-219
OG0001842	YHR140W	genemark-LQHL01001714.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001714.1-processed-gene-0.13&CDS=1-705
OG0001843	YHR142W	genemark-LQHL01001517.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001517.1-processed-gene-0.3&CDS=1-927
OG0001844	YHR143W-A	snap_masked-LQHL01001845.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LQHL01001845.1-processed-gene-0.71&CDS=1-219
OG0001845	YHR144C	genemark-LQHL01001872.1-processed-gene-0.162-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.162&CDS=1-1059
OG0001846	YHR147C	genemark-LQHL01001519.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001519.1-processed-gene-0.18&CDS=1-672
OG0001847	YHR148W	genemark-LQHL01001519.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001519.1-processed-gene-0.13&CDS=1-549
OG0001848	YHR150W	genemark-LQHL01001806.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001806.1-processed-gene-0.26&CDS=1-1611
OG0001849	YHR154W	genemark-LQHL01001842.1-processed-gene-0.86-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.86&CDS=1-2535
OG0001850	YHR164C	snap_masked-LQHL01001761.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQHL01001761.1-processed-gene-0.7&CDS=1-4761
OG0001851	YHR165C	augustus_masked-LQHL01001635.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQHL01001635.1-processed-gene-0.13&CDS=1-7314
OG0001852	YHR166C	genemark-LQHL01001672.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001672.1-processed-gene-0.5&CDS=1-2034
OG0001853	YHR168W	genemark-LQHL01001811.1-processed-gene-0.51-mRNA-1_1&gene=genemark-LQHL01001811.1-processed-gene-0.51&CDS=1-1659
OG0001854	YHR169W	genemark-LQHL01001811.1-processed-gene-0.63-mRNA-1_1&gene=genemark-LQHL01001811.1-processed-gene-0.63&CDS=1-1311
OG0001855	YHR170W	genemark-LQHL01001754.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001754.1-processed-gene-0.13&CDS=1-1551
OG0001856	YHR171W	genemark-LQHL01001754.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001754.1-processed-gene-0.12&CDS=1-1935
OG0001857	YHR172W	augustus_masked-LQHL01001754.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LQHL01001754.1-processed-gene-0.30&CDS=1-2529
OG0001858	YHR175W	snap_masked-LQHL01001705.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LQHL01001705.1-processed-gene-0.36&CDS=1-441
OG0001859	YHR176W	genemark-LQHL01001821.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001821.1-processed-gene-0.14&CDS=1-1482
OG0001860	YHR178W	maker-LQHL01001787.1-augustus-gene-0.33-mRNA-1_1&gene=maker-LQHL01001787.1-augustus-gene-0.33&CDS=1-1956
OG0001861	YHR181W	genemark-LQHL01001728.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001728.1-processed-gene-0.14&CDS=1-648
OG0001862	YHR183W	genemark-LQHL01001386.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001386.1-processed-gene-0.5&CDS=1-1545
OG0001863	YHR186C	genemark-LQHL01001556.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001556.1-processed-gene-0.14&CDS=1-4317
OG0001864	YHR187W	maker-LQHL01001610.1-augustus-gene-0.15-mRNA-1_1&gene=maker-LQHL01001610.1-augustus-gene-0.15&CDS=1-834
OG0001865	YHR188C	genemark-LQHL01001610.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001610.1-processed-gene-0.10&CDS=1-1980
OG0001866	YHR189W	maker-LQHL01001623.1-augustus-gene-0.14-mRNA-1_1&gene=maker-LQHL01001623.1-augustus-gene-0.14&CDS=1-1758
OG0001867	YHR190W	genemark-LQHL01001468.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001468.1-processed-gene-0.11&CDS=1-1332
OG0001868	YHR191C	genemark-LQHL01001745.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQHL01001745.1-processed-gene-0.53&CDS=1-474
OG0001869	YHR193C	genemark-LQHL01001651.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001651.1-processed-gene-0.1&CDS=1-519
OG0001870	YHR194W	snap_masked-LQHL01001804.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001804.1-processed-gene-0.1&CDS=1-1530
OG0001871	YHR196W	snap_masked-LQHL01001779.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LQHL01001779.1-processed-gene-0.16&CDS=1-1596
OG0001872	YHR197W	genemark-LQHL01001653.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001653.1-processed-gene-0.3&CDS=1-2163
OG0001873	YHR200W	augustus_masked-LQHL01001509.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQHL01001509.1-processed-gene-0.12&CDS=1-2589
OG0001874	YHR204W	augustus_masked-LQHL01001584.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQHL01001584.1-processed-gene-0.19&CDS=1-2496
OG0001875	YHR205W	genemark-LQHL01001807.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001807.1-processed-gene-0.31&CDS=1-2415
OG0001876	YHR206W	maker-LQHL01001701.1-snap-gene-0.12-mRNA-1_1&gene=maker-LQHL01001701.1-snap-gene-0.12&CDS=1-2031
OG0001877	YHR207C	maker-LQHL01001466.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001466.1-snap-gene-0.0&CDS=1-2463
OG0001878	YIL001W	genemark-LQHL01001801.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001801.1-processed-gene-0.14&CDS=1-1830
OG0001879	YIL002C	genemark-LQHL01001620.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001620.1-processed-gene-0.9&CDS=1-3036
OG0001880	YIL003W	genemark-LQHL01001457.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001457.1-processed-gene-0.16&CDS=1-888
OG0001881	YIL005W	genemark-LQHL01001641.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001641.1-processed-gene-0.8&CDS=1-2232
OG0001882	YIL007C	genemark-LQHL01001844.1-processed-gene-0.77-mRNA-1_1&gene=genemark-LQHL01001844.1-processed-gene-0.77&CDS=1-705
OG0001883	YIL008W	genemark-LQHL01001844.1-processed-gene-0.95-mRNA-1_1&gene=genemark-LQHL01001844.1-processed-gene-0.95&CDS=1-303
OG0001884	YIL019W	snap_masked-LQHL01001727.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LQHL01001727.1-processed-gene-0.6&CDS=1-882
OG0001885	YIL020C	genemark-LQHL01001727.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001727.1-processed-gene-0.35&CDS=1-813
OG0001886	YIL021W	genemark-LQHL01001727.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001727.1-processed-gene-0.31&CDS=1-939
OG0001887	YIL022W	genemark-LQHL01001631.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001631.1-processed-gene-0.28&CDS=1-1299
OG0001888	YIL024C	genemark-LQHL01001575.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001575.1-processed-gene-0.26&CDS=1-1047
OG0001889	YIL026C	genemark-LQHL01001872.1-processed-gene-0.139-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.139&CDS=1-3294
OG0001890	YIL030C	maker-LQHL01001841.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQHL01001841.1-snap-gene-0.4&CDS=1-3504
OG0001891	YIL031W	genemark-LQHL01001726.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001726.1-processed-gene-0.1&CDS=1-3894
OG0001892	YIL033C	augustus_masked-LQHL01001729.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001729.1-processed-gene-0.4&CDS=1-1809
OG0001893	YIL034C	genemark-LQHL01001621.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001621.1-processed-gene-0.12&CDS=1-861
OG0001894	YIL035C	genemark-LQHL01001868.1-processed-gene-0.88-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.88&CDS=1-1014
OG0001895	YIL039W	genemark-LQHL01001650.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001650.1-processed-gene-0.19&CDS=1-1446
OG0001896	YIL041W	genemark-LQHL01001835.1-processed-gene-0.54-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.54&CDS=1-981
OG0001897	YIL043C	genemark-LQHL01001835.1-processed-gene-0.77-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.77&CDS=1-897
OG0001898	YIL044C	genemark-LQHL01001641.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001641.1-processed-gene-0.10&CDS=1-1170
