	Ashbya_aceri	Saccharomyces_cerevisiae
OG0001542	genemark-CP006022.1-processed-gene-13.189-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.189&CDS=1-762	YFL031W
OG0001543	augustus_masked-CP006022.1-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.22&CDS=1-7107	YLR060W
OG0001544	genemark-CP006022.1-processed-gene-13.190-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.190&CDS=1-2847	YFL034W
OG0001545	augustus_masked-CP006022.1-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.24&CDS=1-1701	YFL034C-B
OG0001546	genemark-CP006022.1-processed-gene-13.191-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.191&CDS=1-3795	YFL036W
OG0001547	augustus_masked-CP006022.1-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.70&CDS=1-1338	YFL037W
OG0001548	genemark-CP006022.1-processed-gene-13.140-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.140&CDS=1-1137	YER095W
OG0001549	snap_masked-CP006022.1-processed-gene-13.253-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.253&CDS=1-1893	YBL061C
OG0001550	genemark-CP006022.1-processed-gene-13.142-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.142&CDS=1-804	YLR192C
OG0001551	genemark-CP006022.1-processed-gene-13.194-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.194&CDS=1-1197	YLR191W
OG0001552	snap_masked-CP006022.1-processed-gene-13.310-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.310&CDS=1-1443	YLR190W
OG0001553	genemark-CP006022.1-processed-gene-13.196-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.196&CDS=1-1680	YER086W
OG0001554	genemark-CP006022.1-processed-gene-13.143-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.143&CDS=1-1686	YER087W
OG0001555	augustus_masked-CP006022.1-processed-gene-13.74-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.74&CDS=1-270	YER019C-A
OG0001556	genemark-CP006022.1-processed-gene-13.144-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.144&CDS=1-1731	YBL051C
OG0001557	genemark-CP006022.1-processed-gene-13.198-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.198&CDS=1-1395	YER088C
OG0001558	genemark-CP006022.1-processed-gene-13.146-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.146&CDS=1-1068	YBL055C
OG0001559	genemark-CP006022.1-processed-gene-13.199-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.199&CDS=1-1368	YBL056W
OG0001560	maker-CP006022.1-augustus-gene-13.99-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-13.99&CDS=1-2127	YER090W
OG0001561	genemark-CP006022.1-processed-gene-13.200-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.200&CDS=1-1164	YBL058W
OG0001562	genemark-CP006022.1-processed-gene-13.201-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.201&CDS=1-2304	YER091C
OG0001563	snap_masked-CP006022.1-processed-gene-13.262-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.262&CDS=1-336	YER092W
OG0001564	augustus_masked-CP006022.1-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.79&CDS=1-4293	YER093C
OG0001565	augustus_masked-CP006022.1-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.34&CDS=1-315	YBL059C-A
OG0001566	maker-CP006022.1-augustus-gene-13.105-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-13.105&CDS=1-615	YER094C
OG0001567	genemark-CP006022.1-processed-gene-13.205-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.205&CDS=1-2088	YBL060W
OG0001568	genemark-CP006022.1-processed-gene-13.151-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.151&CDS=1-795	YLR064W
OG0001569	genemark-CP006022.1-processed-gene-13.152-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.152&CDS=1-612	YFL038C
OG0001570	snap_masked-CP006022.1-processed-gene-13.320-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.320&CDS=1-408	YLR065C
OG0001571	augustus_masked-CP006022.1-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.38&CDS=1-615	YLR066W
OG0001572	snap_masked-CP006022.1-processed-gene-13.322-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.322&CDS=1-2691	YLR067C
OG0001573	genemark-CP006022.1-processed-gene-13.155-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.155&CDS=1-420	YLR068W
OG0001574	genemark-CP006022.1-processed-gene-13.211-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.211&CDS=1-579	YLR073C
OG0001575	genemark-CP006022.1-processed-gene-13.157-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.157&CDS=1-951	YFL044C
OG0001576	genemark-CP006022.1-processed-gene-13.212-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.212&CDS=1-480	YLR074C
OG0001577	genemark-CP006022.1-processed-gene-13.158-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.158&CDS=1-663	YLR075W
OG0001578	genemark-CP006022.1-processed-gene-13.159-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.159&CDS=1-759	YFL045C
OG0001579	genemark-CP006022.1-processed-gene-13.213-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.213&CDS=1-627	YFL046W
OG0001580	snap_masked-CP006022.1-processed-gene-13.273-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.273&CDS=1-1749	YLR077W
OG0001581	augustus_masked-CP006022.1-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-13.89&CDS=1-660	YLR078C
OG0001582	snap_masked-CP006022.1-processed-gene-13.274-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.274&CDS=1-630	YLR079W
OG0001583	genemark-CP006022.1-processed-gene-13.215-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.215&CDS=1-2187	YFL047W
OG0001584	snap_masked-CP006022.1-processed-gene-13.276-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.276&CDS=1-1275	YFL048C
OG0001585	snap_masked-CP006022.1-processed-gene-13.332-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.332&CDS=1-1317	YFL049W
OG0001586	genemark-CP006023.1-processed-gene-0.103-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.103&CDS=1-918	YJR077C
OG0001587	maker-CP006023.1-augustus-gene-0.8-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-0.8&CDS=1-591	YKL214C
OG0001588	genemark-CP006023.1-processed-gene-0.126-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.126&CDS=1-2142	YKL213C
OG0001589	genemark-CP006023.1-processed-gene-0.104-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.104&CDS=1-1866	YKL212W
OG0001590	genemark-CP006023.1-processed-gene-0.127-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.127&CDS=1-1437	YKL211C
OG0001591	snap_masked-CP006023.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-0.80&CDS=1-177	YML129C
OG0001592	genemark-CP006023.1-processed-gene-0.130-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.130&CDS=1-930	YOR100C
OG0001593	genemark-CP006023.1-processed-gene-0.107-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.107&CDS=1-801	YNL097C
OG0001594	genemark-CP006023.1-processed-gene-0.108-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.108&CDS=1-843	YOR101W
OG0001595	genemark-CP006023.1-processed-gene-0.131-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.131&CDS=1-399	YOR103C
OG0001596	genemark-CP006023.1-processed-gene-0.109-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.109&CDS=1-672	YNL099C
OG0001597	genemark-CP006023.1-processed-gene-0.110-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.110&CDS=1-612	YOR104W
OG0001598	genemark-CP006023.1-processed-gene-0.111-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.111&CDS=1-1653	YNL065W
OG0001599	genemark-CP006023.1-processed-gene-0.112-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.112&CDS=1-873	YNL063W
OG0001600	genemark-CP006023.1-processed-gene-0.133-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.133&CDS=1-1377	YNL062C
OG0001601	genemark-CP006023.1-processed-gene-0.113-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.113&CDS=1-1806	YNL061W
OG0001602	genemark-CP006023.1-processed-gene-0.134-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.134&CDS=1-2253	YNL059C
OG0001603	genemark-CP006023.1-processed-gene-0.114-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.114&CDS=1-672	YIL118W
OG0001604	augustus_masked-CP006023.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-0.41&CDS=1-708	YIL117C
OG0001605	maker-CP006023.1-augustus-gene-0.5-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-0.5&CDS=1-1803	YIL116W
OG0001606	augustus_masked-CP006023.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-0.42&CDS=1-4545	YIL115C
OG0001607	genemark-CP006023.1-processed-gene-0.137-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.137&CDS=1-843	YNL055C
OG0001608	genemark-CP006023.1-processed-gene-0.117-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.117&CDS=1-2526	YNL054W
OG0001609	genemark-CP006023.1-processed-gene-0.120-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.120&CDS=1-1116	YIL110W
OG0001610	augustus_masked-CP006023.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-0.28&CDS=1-1155	YNL051W
OG0001611	augustus_masked-CP006023.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-0.44&CDS=1-3291	YIL109C
OG0001612	genemark-CP006023.1-processed-gene-0.122-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.122&CDS=1-2058	YIL108W
OG0001613	genemark-CP006023.1-processed-gene-0.139-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.139&CDS=1-2277	YIL107C
OG0001614	maker-CP006023.1-augustus-gene-1.174-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-1.174&CDS=1-2532	YNL048W
OG0001615	maker-CP006023.1-augustus-gene-1.175-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-1.175&CDS=1-2418	YNL045W
OG0001616	augustus_masked-CP006023.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-1.123&CDS=1-1095	YNL042W
OG0001617	genemark-CP006023.1-processed-gene-1.68-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.68&CDS=1-1458	YIL104C
OG0001618	augustus_masked-CP006023.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-1.126&CDS=1-1281	YIL103W
OG0001619	genemark-CP006023.1-processed-gene-1.96-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.96&CDS=1-2418	YNL041C
OG0001620	genemark-CP006023.1-processed-gene-1.97-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.97&CDS=1-2007	YIL101C
OG0001621	genemark-CP006023.1-processed-gene-1.98-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.98&CDS=1-627	YNL036W
OG0001622	genemark-CP006023.1-processed-gene-1.70-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.70&CDS=1-1818	YIL099W
OG0001623	augustus_masked-CP006023.1-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-1.153&CDS=1-495	YIL098C
OG0001624	genemark-CP006023.1-processed-gene-1.71-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.71&CDS=1-1086	YNL037C
OG0001625	genemark-CP006023.1-processed-gene-1.72-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.72&CDS=1-1548	YIL097W
OG0001626	genemark-CP006023.1-processed-gene-1.100-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.100&CDS=1-954	YIL096C
OG0001627	genemark-CP006023.1-processed-gene-1.101-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.101&CDS=1-3255	YNL035C
OG0001628	genemark-CP006023.1-processed-gene-1.102-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.102&CDS=1-2106	YNL021W
OG0001629	genemark-CP006023.1-processed-gene-1.74-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.74&CDS=1-1446	YNL022C
OG0001630	genemark-CP006023.1-processed-gene-1.103-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.103&CDS=1-1101	YIL094C
OG0001631	augustus_masked-CP006023.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-1.132&CDS=1-1518	YNL024C
OG0001632	genemark-CP006023.1-processed-gene-1.104-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.104&CDS=1-774	YIL093C
OG0001633	snap_masked-CP006023.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-1.17&CDS=1-216	YNL024C-A
OG0001634	genemark-CP006023.1-processed-gene-1.105-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.105&CDS=1-2142	YIL091C
OG0001635	genemark-CP006023.1-processed-gene-1.77-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.77&CDS=1-1506	YIL090W
OG0001636	genemark-CP006023.1-processed-gene-1.78-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.78&CDS=1-996	YNL025C
OG0001637	genemark-CP006023.1-processed-gene-1.106-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.106&CDS=1-1404	YIL088C
OG0001638	genemark-CP006023.1-processed-gene-1.80-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.80&CDS=1-654	YNL032W
OG0001639	genemark-CP006023.1-processed-gene-1.108-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.108&CDS=1-981	YIL084C
OG0001640	genemark-CP006023.1-processed-gene-1.82-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.82&CDS=1-1239	YML005W
OG0001641	genemark-CP006023.1-processed-gene-1.83-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.83&CDS=1-1644	YNL027W
OG0001642	genemark-CP006023.1-processed-gene-1.109-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.109&CDS=1-978	YNL326C
OG0001643	genemark-CP006023.1-processed-gene-1.84-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.84&CDS=1-708	YOL142W
OG0001644	genemark-CP006023.1-processed-gene-1.110-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.110&CDS=1-2577	YNL325C
OG0001645	genemark-CP006023.1-processed-gene-1.85-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.85&CDS=1-2100	YOL141W
OG0001646	maker-CP006023.1-augustus-gene-1.176-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-1.176&CDS=1-2265	YOL140W
OG0001647	snap_masked-CP006023.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-1.54&CDS=1-420	YNL322C
OG0001648	genemark-CP006023.1-processed-gene-1.88-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.88&CDS=1-2562	YNL321W
OG0001649	genemark-CP006023.1-processed-gene-1.113-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.113&CDS=1-633	YOL139C
OG0001650	genemark-CP006023.1-processed-gene-1.89-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.89&CDS=1-858	YNL320W
OG0001651	genemark-CP006023.1-processed-gene-1.114-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.114&CDS=1-4086	YOL138C
OG0001652	genemark-CP006023.1-processed-gene-1.90-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.90&CDS=1-1431	YOL137W
OG0001653	genemark-CP006023.1-processed-gene-1.91-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.91&CDS=1-1347	YNL317W
OG0001654	genemark-CP006023.1-processed-gene-1.115-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.115&CDS=1-1185	YOL136C
OG0001655	genemark-CP006023.1-processed-gene-1.116-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.116&CDS=1-597	YOL135C
OG0001656	genemark-CP006023.1-processed-gene-1.92-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.92&CDS=1-342	YOL133W
OG0001657	genemark-CP006023.1-processed-gene-1.117-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.117&CDS=1-960	YNL316C
OG0001658	genemark-CP006023.1-processed-gene-1.118-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.118&CDS=1-951	YNL315C
OG0001659	augustus_masked-CP006023.1-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-1.148&CDS=1-792	YNL314W
OG0001660	genemark-CP006023.1-processed-gene-1.119-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.119&CDS=1-2715	YNL313C
OG0001661	genemark-CP006023.1-processed-gene-1.94-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.94&CDS=1-825	YNL312W
OG0001662	genemark-CP006023.1-processed-gene-1.95-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.95&CDS=1-1422	YOL132W
OG0001663	snap_masked-CP006023.1-processed-gene-2.8-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.8&CDS=1-1956	YNL311C
OG0001664	genemark-CP006023.1-processed-gene-2.71-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.71&CDS=1-498	YNL310C
OG0001665	snap_masked-CP006023.1-processed-gene-2.3-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.3&CDS=1-1062	YNL309W
OG0001666	genemark-CP006023.1-processed-gene-2.72-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.72&CDS=1-1626	YNL308C
OG0001667	genemark-CP006023.1-processed-gene-2.68-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.68&CDS=1-528	YOL129W
OG0001668	genemark-CP006023.1-processed-gene-2.73-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.73&CDS=1-1086	YNL307C
OG0001669	genemark-CP006023.1-processed-gene-2.69-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.69&CDS=1-981	YOL127W
OG0001670	genemark-CP006023.1-processed-gene-2.97-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.97&CDS=1-1110	YOL126C
OG0001671	snap_masked-CP006023.1-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.12&CDS=1-1224	YOL125W
OG0001672	genemark-CP006023.1-processed-gene-2.98-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.98&CDS=1-1308	YOL124C
OG0001673	genemark-CP006023.1-processed-gene-2.75-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.75&CDS=1-1587	YOL123W
OG0001674	genemark-CP006023.1-processed-gene-2.104-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.104&CDS=1-480	YLR109W
OG0001675	genemark-CP006023.1-processed-gene-2.76-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.76&CDS=1-1656	YOL117W
OG0001676	genemark-CP006023.1-processed-gene-2.77-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.77&CDS=1-1245	YOL116W
OG0001677	genemark-CP006023.1-processed-gene-2.78-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.78&CDS=1-924	YGR239C
OG0001678	genemark-CP006023.1-processed-gene-2.105-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.105&CDS=1-1089	YHR159W
OG0001679	genemark-CP006023.1-processed-gene-2.79-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.79&CDS=1-3636	YHR158C
OG0001680	snap_masked-CP006023.1-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.18&CDS=1-2178	YGR237C
OG0001681	genemark-CP006023.1-processed-gene-2.82-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.82&CDS=1-666	YGR235C
OG0001682	snap_masked-CP006023.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.46&CDS=1-2628	YHR154W
OG0001683	genemark-CP006023.1-processed-gene-2.108-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.108&CDS=1-435	YNL245C
OG0001684	genemark-CP006023.1-processed-gene-2.83-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.83&CDS=1-3306	YGR233C
OG0001685	genemark-CP006023.1-processed-gene-2.109-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.109&CDS=1-687	YGR232W
OG0001686	genemark-CP006023.1-processed-gene-2.84-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.84&CDS=1-921	YGR231C
OG0001687	augustus_masked-CP006023.1-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.162&CDS=1-549	YGR230W
OG0001688	genemark-CP006023.1-processed-gene-2.85-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.85&CDS=1-2010	YGR229C
OG0001689	genemark-CP006023.1-processed-gene-2.111-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.111&CDS=1-1527	YGR227W
OG0001690	genemark-CP006023.1-processed-gene-2.86-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.86&CDS=1-1242	YHR151C
OG0001691	snap_masked-CP006023.1-processed-gene-2.51-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-2.51&CDS=1-1647	YHR150W
OG0001692	genemark-CP006023.1-processed-gene-2.113-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.113&CDS=1-1863	YGR225W
OG0001693	augustus_masked-CP006023.1-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.144&CDS=1-1209	YGR223C
OG0001694	augustus_masked-CP006023.1-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.165&CDS=1-603	YGR222W
OG0001695	genemark-CP006023.1-processed-gene-2.115-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.115&CDS=1-549	YHR148W
OG0001696	genemark-CP006023.1-processed-gene-2.89-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.89&CDS=1-642	YHR147C
OG0001697	augustus_masked-CP006023.1-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.147&CDS=1-801	YGR220C
OG0001698	genemark-CP006023.1-processed-gene-2.116-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.116&CDS=1-3246	YGR218W
OG0001699	augustus_masked-CP006023.1-processed-gene-2.169-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.169&CDS=1-1425	YFR032C
OG0001700	maker-CP006023.1-augustus-gene-2.177-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-2.177&CDS=1-573	YFR032C-A
OG0001701	genemark-CP006023.1-processed-gene-2.119-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.119&CDS=1-1215	YFR034C
OG0001702	genemark-CP006023.1-processed-gene-2.120-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.120&CDS=1-942	YIL019W
OG0001703	genemark-CP006023.1-processed-gene-2.91-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.91&CDS=1-789	YIL020C
OG0001704	genemark-CP006023.1-processed-gene-2.121-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.121&CDS=1-933	YIL021W
OG0001705	genemark-CP006023.1-processed-gene-2.122-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.122&CDS=1-1254	YIL022W
OG0001706	augustus_masked-CP006023.1-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-2.150&CDS=1-480	YER050C
OG0001707	genemark-CP006023.1-processed-gene-2.123-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.123&CDS=1-1200	YIL042C
OG0001708	genemark-CP006023.1-processed-gene-2.94-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.94&CDS=1-999	YIL041W
OG0001709	maker-CP006023.1-augustus-gene-2.178-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-2.178&CDS=1-2121	YER049W
OG0001710	maker-CP006023.1-snap-gene-3.0-mRNA-1_1&gene=maker-CP006023.1-snap-gene-3.0&CDS=1-1680	YER048C
OG0001711	genemark-CP006023.1-processed-gene-3.115-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.115&CDS=1-1416	YIL039W
OG0001712	genemark-CP006023.1-processed-gene-3.117-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.117&CDS=1-2337	YIL038C
OG0001713	genemark-CP006023.1-processed-gene-3.119-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.119&CDS=1-1029	YER046W
OG0001714	genemark-CP006023.1-processed-gene-3.120-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.120&CDS=1-1206	YIL036W
OG0001715	genemark-CP006023.1-processed-gene-3.145-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.145&CDS=1-1116	YIL035C
OG0001716	genemark-CP006023.1-processed-gene-3.146-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.146&CDS=1-822	YIL034C
OG0001717	genemark-CP006023.1-processed-gene-3.122-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.122&CDS=1-441	YER044C
OG0001718	genemark-CP006023.1-processed-gene-3.147-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.147&CDS=1-1371	YIL033C
OG0001719	genemark-CP006023.1-processed-gene-3.148-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.148&CDS=1-2406	YFR038W
OG0001720	snap_masked-CP006023.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-3.69&CDS=1-1713	YFR037C
OG0001721	augustus_masked-CP006023.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-3.17&CDS=1-1281	YIL023C
OG0001722	snap_masked-CP006023.1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-3.72&CDS=1-777	YIL024C
OG0001723	snap_masked-CP006023.1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-3.73&CDS=1-3360	YIL026C
OG0001724	genemark-CP006023.1-processed-gene-3.128-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.128&CDS=1-411	YIL027C
OG0001725	maker-CP006023.1-augustus-gene-3.5-mRNA-1_1&gene=maker-CP006023.1-augustus-gene-3.5&CDS=1-3417	YIL030C
