	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0001523	snap_masked-APLS01000008.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.70&CDS=1-1263	YKL195W
OG0001524	snap_masked-APLS01000008.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.71&CDS=1-612	YKL196C
OG0001525	augustus_masked-APLS01000008.1-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-1.24&CDS=1-6099	YLR430W
OG0001526	snap_masked-APLS01000008.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.73&CDS=1-2091	YLR429W
OG0001527	snap_masked-APLS01000008.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.54&CDS=1-660	YKL190W
OG0001528	snap_masked-APLS01000008.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.74&CDS=1-1632	YKL191W
OG0001529	augustus_masked-APLS01000008.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-1.10&CDS=1-612	YLR435W
OG0001530	maker-APLS01000008.1-augustus-gene-1.38-mRNA-1_1&gene=maker-APLS01000008.1-augustus-gene-1.38&CDS=1-9333	YLR438W
OG0001531	genemark-APLS01000008.1-processed-gene-1.121-mRNA-1_1&gene=genemark-APLS01000008.1-processed-gene-1.121&CDS=1-4800	YMR302C
OG0001532	snap_masked-APLS01000008.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.56&CDS=1-1938	YGR246C
OG0001533	snap_masked-APLS01000008.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.82&CDS=1-735	YMR312W
OG0001534	snap_masked-APLS01000008.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.57&CDS=1-1308	YGR285C
OG0001535	snap_masked-APLS01000008.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.58&CDS=1-936	YGR284C
OG0001536	snap_masked-APLS01000008.1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.59&CDS=1-576	YMR311C
OG0001537	snap_masked-APLS01000008.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.60&CDS=1-702	YMR295C
OG0001538	augustus_masked-APLS01000008.1-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-1.17&CDS=1-645	YGR271C-A
OG0001539	snap_masked-APLS01000008.1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.83&CDS=1-5661	YGR271W
OG0001540	snap_masked-APLS01000008.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.62&CDS=1-432	YMR298W
OG0001541	maker-APLS01000008.1-snap-gene-1.43-mRNA-1_1&gene=maker-APLS01000008.1-snap-gene-1.43&CDS=1-1389	YGR274C
OG0001542	augustus_masked-APLS01000008.1-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-1.32&CDS=1-3096	YGR276C
OG0001543	snap_masked-APLS01000008.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.86&CDS=1-1524	YMR300C
OG0001544	snap_masked-APLS01000008.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-1.87&CDS=1-2106	YMR301C
OG0001545	snap_masked-APLS01000008.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.119&CDS=1-699	YMR314W
OG0001546	snap_masked-APLS01000008.1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.117&CDS=1-1728	YMR296C
OG0001547	snap_masked-APLS01000008.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.118&CDS=1-1512	YMR293C
OG0001548	genemark-APLS01000008.1-processed-gene-2.88-mRNA-1_1&gene=genemark-APLS01000008.1-processed-gene-2.88&CDS=1-420	YMR292W
OG0001549	snap_masked-APLS01000008.1-processed-gene-2.153-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.153&CDS=1-924	YGR231C
OG0001550	maker-APLS01000008.1-snap-gene-2.3-mRNA-1_1&gene=maker-APLS01000008.1-snap-gene-2.3&CDS=1-3717	YGR233C
OG0001551	augustus_masked-APLS01000008.1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.13&CDS=1-3198	YHR158C
OG0001552	augustus_masked-APLS01000008.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.38&CDS=1-2211	YGR237C
OG0001553	snap_masked-APLS01000008.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.129&CDS=1-2316	YGR240C
OG0001554	augustus_masked-APLS01000008.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.40&CDS=1-1260	YGR244C
OG0001555	snap_masked-APLS01000008.1-processed-gene-2.161-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.161&CDS=1-2325	YGR245C
OG0001556	snap_masked-APLS01000008.1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.132&CDS=1-1698	YMR297W
OG0001557	augustus_masked-APLS01000008.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.19&CDS=1-1311	YMR310C
OG0001558	snap_masked-APLS01000008.1-processed-gene-2.134-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.134&CDS=1-966	YGR282C
OG0001559	snap_masked-APLS01000008.1-processed-gene-2.135-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.135&CDS=1-2889	YLR409C
OG0001560	snap_masked-APLS01000008.1-processed-gene-2.163-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.163&CDS=1-4971	YHR164C
OG0001561	snap_masked-APLS01000008.1-processed-gene-2.136-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.136&CDS=1-1329	YKL077W
OG0001562	snap_masked-APLS01000008.1-processed-gene-2.164-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.164&CDS=1-2418	YKL075C
OG0001563	genemark-APLS01000008.1-processed-gene-2.101-mRNA-1_1&gene=genemark-APLS01000008.1-processed-gene-2.101&CDS=1-1962	YMR058W
OG0001564	snap_masked-APLS01000008.1-processed-gene-2.137-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.137&CDS=1-2058	YDL057W
OG0001565	maker-APLS01000008.1-snap-gene-2.0-mRNA-1_1&gene=maker-APLS01000008.1-snap-gene-2.0&CDS=1-3054	YDL056W
OG0001566	augustus_masked-APLS01000008.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.25&CDS=1-1095	YDL055C
OG0001567	maker-APLS01000008.1-augustus-gene-2.5-mRNA-1_1&gene=maker-APLS01000008.1-augustus-gene-2.5&CDS=1-3162	YLR383W
OG0001568	snap_masked-APLS01000008.1-processed-gene-2.168-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.168&CDS=1-6078	YDL058W
OG0001569	snap_masked-APLS01000008.1-processed-gene-2.169-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.169&CDS=1-4107	YLR384C
OG0001570	snap_masked-APLS01000008.1-processed-gene-2.143-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.143&CDS=1-3366	YLR386W
OG0001571	snap_masked-APLS01000008.1-processed-gene-2.170-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.170&CDS=1-1236	YLR387C
OG0001572	snap_masked-APLS01000008.1-processed-gene-2.171-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.171&CDS=1-2376	YDL060W
OG0001573	snap_masked-APLS01000008.1-processed-gene-2.145-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.145&CDS=1-1791	YDL063C
OG0001574	snap_masked-APLS01000008.1-processed-gene-2.172-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.172&CDS=1-477	YDL064W
OG0001575	snap_masked-APLS01000008.1-processed-gene-2.173-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.173&CDS=1-237	YHR001W-A
OG0001576	snap_masked-APLS01000008.1-processed-gene-2.146-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.146&CDS=1-1278	YKL074C
OG0001577	snap_masked-APLS01000008.1-processed-gene-2.175-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.175&CDS=1-954	YMR055C
OG0001578	augustus_masked-APLS01000008.1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.31&CDS=1-1326	YMR291W
OG0001579	augustus_masked-APLS01000008.1-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.55&CDS=1-819	YGR267C
OG0001580	augustus_masked-APLS01000008.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.56&CDS=1-1299	YBR083W
OG0001581	snap_masked-APLS01000008.1-processed-gene-2.149-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.149&CDS=1-1686	YMR013C
OG0001582	augustus_masked-APLS01000009.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.0&CDS=1-609	YPL177C
OG0001583	maker-APLS01000009.1-snap-gene-0.46-mRNA-1_1&gene=maker-APLS01000009.1-snap-gene-0.46&CDS=1-633	YPL178W
OG0001584	snap_masked-APLS01000009.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.66&CDS=1-852	YPL209C
OG0001585	snap_masked-APLS01000009.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.49&CDS=1-1518	YPL181W
OG0001586	snap_masked-APLS01000009.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.68&CDS=1-1884	YGL095C
OG0001587	snap_masked-APLS01000009.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.69&CDS=1-3123	YMR189W
OG0001588	snap_masked-APLS01000009.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.70&CDS=1-1002	YPL247C
OG0001589	snap_masked-APLS01000009.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.71&CDS=1-1062	YPL246C
OG0001590	snap_masked-APLS01000009.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.72&CDS=1-975	YIL164C
OG0001591	augustus_masked-APLS01000009.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.24&CDS=1-933	YPL244C
OG0001592	snap_masked-APLS01000009.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.76&CDS=1-3396	YOR188W
OG0001593	snap_masked-APLS01000009.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.77&CDS=1-1947	YLR299W
OG0001594	snap_masked-APLS01000009.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.78&CDS=1-1710	YML054C
OG0001595	augustus_masked-APLS01000009.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.30&CDS=1-1260	YOR187W
OG0001596	augustus_masked-APLS01000009.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.32&CDS=1-1425	YLR361C
OG0001597	snap_masked-APLS01000009.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.57&CDS=1-3084	YMR231W
OG0001598	augustus_masked-APLS01000009.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.10&CDS=1-2241	YMR232W
OG0001599	snap_masked-APLS01000009.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.59&CDS=1-606	YOR294W
OG0001600	snap_masked-APLS01000009.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.80&CDS=1-3171	YJL050W
OG0001601	augustus_masked-APLS01000009.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.13&CDS=1-1878	YMR234W
OG0001602	snap_masked-APLS01000009.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.81&CDS=1-822	YJL126W
OG0001603	snap_masked-APLS01000009.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.82&CDS=1-1446	YLR359W
OG0001604	snap_masked-APLS01000009.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.84&CDS=1-1839	YGR054W
OG0001605	augustus_masked-APLS01000009.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-0.39&CDS=1-2070	YGR052W
OG0001606	snap_masked-APLS01000009.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-0.63&CDS=1-792	YBR231C
OG0001607	maker-APLS01000009.1-augustus-gene-0.42-mRNA-1_1&gene=maker-APLS01000009.1-augustus-gene-0.42&CDS=1-3354	YGL114W
OG0001608	snap_masked-APLS01000009.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.1&CDS=1-3399	YGL006W
OG0001609	snap_masked-APLS01000009.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.4&CDS=1-1341	YBR236C
OG0001610	augustus_masked-APLS01000009.1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.68&CDS=1-4494	YBR235W
OG0001611	snap_masked-APLS01000009.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.5&CDS=1-1122	YBR234C
OG0001612	maker-APLS01000009.1-snap-gene-1.83-mRNA-1_1&gene=maker-APLS01000009.1-snap-gene-1.83&CDS=1-1920	YPL184C
OG0001613	snap_masked-APLS01000009.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.6&CDS=1-960	YGL091C
OG0001614	snap_masked-APLS01000009.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.27&CDS=1-3195	YGL092W
OG0001615	augustus_masked-APLS01000009.1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.71&CDS=1-1893	YGL093W
OG0001616	snap_masked-APLS01000009.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.7&CDS=1-282	YPL183W-A
OG0001617	augustus_masked-APLS01000009.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.72&CDS=1-3006	YPL183C
OG0001618	augustus_masked-APLS01000009.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.52&CDS=1-3717	YGL094C
OG0001619	augustus_masked-APLS01000009.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.73&CDS=1-2589	YPL180W
OG0001620	snap_masked-APLS01000009.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.31&CDS=1-1242	YPL188W
OG0001621	snap_masked-APLS01000009.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.32&CDS=1-408	YGL087C
OG0001622	augustus_masked-APLS01000009.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.53&CDS=1-1044	YGL085W
OG0001623	maker-APLS01000009.1-snap-gene-1.84-mRNA-1_1&gene=maker-APLS01000009.1-snap-gene-1.84&CDS=1-1722	YGL084C
OG0001624	snap_masked-APLS01000009.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.10&CDS=1-2163	YGL083W
OG0001625	snap_masked-APLS01000009.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.12&CDS=1-1839	YPL190C
OG0001626	maker-APLS01000009.1-augustus-gene-1.41-mRNA-1_1&gene=maker-APLS01000009.1-augustus-gene-1.41&CDS=1-3810	YGL077C
OG0001627	snap_masked-APLS01000009.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.15&CDS=1-2724	YPL195W
OG0001628	snap_masked-APLS01000009.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.16&CDS=1-2544	YPL194W
OG0001629	genemark-APLS01000009.1-processed-gene-1.121-mRNA-1_1&gene=genemark-APLS01000009.1-processed-gene-1.121&CDS=1-3414	YPL248C
OG0001630	snap_masked-APLS01000009.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-1.19&CDS=1-855	YFL028C
OG0001631	augustus_masked-APLS01000009.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.63&CDS=1-717	YLR268W
OG0001632	augustus_masked-APLS01000009.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-1.65&CDS=1-1197	YLR291C
OG0001633	maker-APLS01000009.1-snap-gene-1.82-mRNA-1_1&gene=maker-APLS01000009.1-snap-gene-1.82&CDS=1-1785	YOR181W
OG0001634	snap_masked-APLS01000009.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.0&CDS=1-1218	YOR184W
OG0001635	augustus_masked-APLS01000009.1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.67&CDS=1-1008	YFR007W
OG0001636	snap_masked-APLS01000009.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.5&CDS=1-3372	YGR044C
OG0001637	snap_masked-APLS01000009.1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.37&CDS=1-1200	YLR355C
OG0001638	augustus_masked-APLS01000009.1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.69&CDS=1-1350	YOR323C
OG0001639	snap_masked-APLS01000009.1-processed-gene-2.38-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.38&CDS=1-3903	YAL026C
OG0001640	snap_masked-APLS01000009.1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.39&CDS=1-927	YAL025C
OG0001641	snap_masked-APLS01000009.1-processed-gene-2.40-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.40&CDS=1-4092	YAL024C
OG0001642	snap_masked-APLS01000009.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.7&CDS=1-1959	YOR322C
OG0001643	genemark-APLS01000009.1-processed-gene-2.159-mRNA-1_1&gene=genemark-APLS01000009.1-processed-gene-2.159&CDS=1-2184	YAL023C
OG0001644	genemark-APLS01000009.1-processed-gene-2.160-mRNA-1_1&gene=genemark-APLS01000009.1-processed-gene-2.160&CDS=1-1377	YAL022C
OG0001645	snap_masked-APLS01000009.1-processed-gene-2.42-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.42&CDS=1-2229	YAL021C
OG0001646	snap_masked-APLS01000009.1-processed-gene-2.43-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.43&CDS=1-1080	YAL020C
OG0001647	snap_masked-APLS01000009.1-processed-gene-2.8-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.8&CDS=1-3048	YAL019W
OG0001648	snap_masked-APLS01000009.1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.9&CDS=1-2283	YOL051W
OG0001649	augustus_masked-APLS01000009.1-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.73&CDS=1-1485	YOL049W
OG0001650	snap_masked-APLS01000009.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.44&CDS=1-1056	YAL018C
OG0001651	snap_masked-APLS01000009.1-processed-gene-2.12-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.12&CDS=1-1989	YAL016W
OG0001652	snap_masked-APLS01000009.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.46&CDS=1-1305	YOL041C
OG0001653	snap_masked-APLS01000009.1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.14&CDS=1-1170	YAL013W
OG0001654	snap_masked-APLS01000009.1-processed-gene-2.47-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.47&CDS=1-429	YOL040C
OG0001655	snap_masked-APLS01000009.1-processed-gene-2.15-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.15&CDS=1-315	YOL039W
OG0001656	snap_masked-APLS01000009.1-processed-gene-2.16-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.16&CDS=1-1161	YAL012W
OG0001657	snap_masked-APLS01000009.1-processed-gene-2.17-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.17&CDS=1-1290	YOL031C
OG0001658	snap_masked-APLS01000009.1-processed-gene-2.48-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.48&CDS=1-681	YOL032W
OG0001659	snap_masked-APLS01000009.1-processed-gene-2.49-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.49&CDS=1-1593	YOL033W
OG0001660	snap_masked-APLS01000009.1-processed-gene-2.50-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.50&CDS=1-3372	YOL034W
OG0001661	genemark-APLS01000009.1-processed-gene-2.137-mRNA-1_1&gene=genemark-APLS01000009.1-processed-gene-2.137&CDS=1-822	YAL009W
OG0001662	augustus_masked-APLS01000009.1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.82&CDS=1-2334	YOR014W
OG0001663	snap_masked-APLS01000009.1-processed-gene-2.21-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.21&CDS=1-1089	YPR107C
OG0001664	augustus_masked-APLS01000009.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.85&CDS=1-894	YGR086C
OG0001665	augustus_masked-APLS01000009.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.86&CDS=1-2838	YPR105C
OG0001666	maker-APLS01000009.1-augustus-gene-2.60-mRNA-1_1&gene=maker-APLS01000009.1-augustus-gene-2.60&CDS=1-3492	YPR104C
OG0001667	augustus_masked-APLS01000009.1-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.113&CDS=1-861	YPR103W
OG0001668	snap_masked-APLS01000009.1-processed-gene-2.26-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.26&CDS=1-2019	YGR083C
OG0001669	snap_masked-APLS01000009.1-processed-gene-2.51-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.51&CDS=1-894	YML110C
OG0001670	snap_masked-APLS01000009.1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.52&CDS=1-1185	YMR272C
OG0001671	snap_masked-APLS01000009.1-processed-gene-2.53-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.53&CDS=1-345	YML108W
OG0001672	augustus_masked-APLS01000009.1-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.118&CDS=1-900	YMR274C
OG0001673	snap_masked-APLS01000009.1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.30&CDS=1-1455	YKR063C
OG0001674	augustus_masked-APLS01000009.1-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-APLS01000009.1-processed-gene-2.94&CDS=1-1704	YHL024W
OG0001675	snap_masked-APLS01000009.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.33&CDS=1-606	YJL148W
OG0001676	snap_masked-APLS01000009.1-processed-gene-2.36-mRNA-1_1&gene=snap_masked-APLS01000009.1-processed-gene-2.36&CDS=1-462	YJL143W
OG0001677	genemark-APLS01000010.1-processed-gene-0.2-mRNA-1_1&gene=genemark-APLS01000010.1-processed-gene-0.2&CDS=1-1038	YCR044C
OG0001678	snap_masked-APLS01000010.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.54&CDS=1-1614	YNL275W
OG0001679	augustus_masked-APLS01000010.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.123&CDS=1-2091	YLR188W
OG0001680	snap_masked-APLS01000010.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.79&CDS=1-795	YLR186W
OG0001681	augustus_masked-APLS01000010.1-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.127&CDS=1-1347	YLR182W
OG0001682	augustus_masked-APLS01000010.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.128&CDS=1-1149	YLR180W
OG0001683	augustus_masked-APLS01000010.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.133&CDS=1-354	YCL027W
OG0001684	snap_masked-APLS01000010.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.65&CDS=1-678	YCL029C
OG0001685	snap_masked-APLS01000010.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.66&CDS=1-2400	YCL030C
OG0001686	maker-APLS01000010.1-snap-gene-0.46-mRNA-1_1&gene=maker-APLS01000010.1-snap-gene-0.46&CDS=1-459	YDR511W
OG0001687	snap_masked-APLS01000010.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.68&CDS=1-1002	YCL031C
OG0001688	snap_masked-APLS01000010.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.92&CDS=1-951	YCL032W
OG0001689	snap_masked-APLS01000010.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.69&CDS=1-501	YCL033C
OG0001690	snap_masked-APLS01000010.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.94&CDS=1-1065	YCL034W
OG0001691	augustus_masked-APLS01000010.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.118&CDS=1-1824	YCL038C
