	Hyphopichia_burtonii	Saccharomyces_cerevisiae
OG0001654	augustus_masked-scaffold_2-processed-gene-18.210-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.210&CDS=1-4605	YPL217C
OG0001655	augustus_masked-scaffold_2-processed-gene-18.245-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.245&CDS=1-1002	YPL064C
OG0001656	genemark-scaffold_2-processed-gene-18.128-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.128&CDS=1-2481	YPR029C
OG0001657	maker-scaffold_2-augustus-gene-18.5-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.5&CDS=1-525	YPR028W
OG0001658	snap_masked-scaffold_2-processed-gene-18.78-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.78&CDS=1-1413	YKL082C
OG0001659	genemark-scaffold_2-processed-gene-18.129-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.129&CDS=1-1122	YKL080W
OG0001660	genemark-scaffold_2-processed-gene-18.132-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.132&CDS=1-813	YER026C
OG0001661	genemark-scaffold_2-processed-gene-18.133-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.133&CDS=1-1440	YPL063W
OG0001662	genemark-scaffold_2-processed-gene-18.135-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.135&CDS=1-2319	YOR017W
OG0001663	genemark-scaffold_2-processed-gene-18.137-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.137&CDS=1-1068	YOL136C
OG0001664	genemark-scaffold_2-processed-gene-18.173-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.173&CDS=1-1554	YNL317W
OG0001665	genemark-scaffold_2-processed-gene-18.138-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.138&CDS=1-534	YMR009W
OG0001666	genemark-scaffold_2-processed-gene-18.174-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.174&CDS=1-387	YEL003W
OG0001667	genemark-scaffold_2-processed-gene-18.175-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.175&CDS=1-1353	YEL002C
OG0001668	genemark-scaffold_2-processed-gene-18.140-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.140&CDS=1-303	YIL008W
OG0001669	augustus_masked-scaffold_2-processed-gene-18.253-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.253&CDS=1-1245	YLR411W
OG0001670	augustus_masked-scaffold_2-processed-gene-18.225-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.225&CDS=1-1473	YCR028C
OG0001671	augustus_masked-scaffold_2-processed-gene-18.226-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.226&CDS=1-2466	YPR167C
OG0001672	genemark-scaffold_2-processed-gene-18.178-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.178&CDS=1-3051	YOL090W
OG0001673	genemark-scaffold_2-processed-gene-18.145-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.145&CDS=1-930	YAR015W
OG0001674	augustus_masked-scaffold_2-processed-gene-18.256-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.256&CDS=1-1950	YAR018C
OG0001675	maker-scaffold_3-snap-gene-0.36-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.36&CDS=1-3045	YBR008C
OG0001676	genemark-scaffold_3-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.74&CDS=1-636	YKL070W
OG0001677	genemark-scaffold_3-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.91&CDS=1-3717	YLR001C
OG0001678	genemark-scaffold_3-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.76&CDS=1-906	YMR099C
OG0001679	genemark-scaffold_3-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.77&CDS=1-1587	YKL004W
OG0001680	genemark-scaffold_3-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.92&CDS=1-357	YKL003C
OG0001681	genemark-scaffold_3-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.78&CDS=1-600	YKL001C
OG0001682	snap_masked-scaffold_3-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.29&CDS=1-6492	YJL207C
OG0001683	genemark-scaffold_3-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.81&CDS=1-1059	YPR085C
OG0001684	genemark-scaffold_3-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.82&CDS=1-858	YOR065W
OG0001685	genemark-scaffold_3-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.84&CDS=1-1638	YPR161C
OG0001686	genemark-scaffold_3-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.98&CDS=1-276	YKL086W
OG0001687	genemark-scaffold_3-processed-gene-1.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.1&CDS=1-3504	YKR082W
OG0001688	genemark-scaffold_3-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.4&CDS=1-378	YKR083C
OG0001689	genemark-scaffold_3-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.5&CDS=1-1176	YOR074C
OG0001690	genemark-scaffold_3-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.6&CDS=1-678	YBL095W
OG0001691	genemark-scaffold_3-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.3&CDS=1-5466	YIL031W
OG0001692	genemark-scaffold_3-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.8&CDS=1-1422	YBL098W
OG0001693	genemark-scaffold_3-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.9&CDS=1-1281	YIL022W
OG0001694	genemark-scaffold_3-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.10&CDS=1-1446	YER122C
OG0001695	genemark-scaffold_3-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.15&CDS=1-2001	YIR027C
OG0001696	genemark-scaffold_3-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.36&CDS=1-2187	YHR072W
OG0001697	augustus_masked-scaffold_3-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.63&CDS=1-5271	YGR090W
OG0001698	genemark-scaffold_3-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.37&CDS=1-1509	YGR165W
OG0001699	genemark-scaffold_3-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.18&CDS=1-1962	YDL017W
OG0001700	genemark-scaffold_3-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.19&CDS=1-3048	YGR125W
OG0001701	genemark-scaffold_3-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.20&CDS=1-582	YDL046W
OG0001702	genemark-scaffold_3-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.22&CDS=1-2475	YAR014C
OG0001703	genemark-scaffold_3-processed-gene-1.23-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.23&CDS=1-2793	YBR017C
OG0001704	genemark-scaffold_3-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.26&CDS=1-3303	YPR122W
OG0001705	genemark-scaffold_3-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.31&CDS=1-558	YER042W
OG0001706	genemark-scaffold_3-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.32&CDS=1-1083	YBR087W
OG0001707	augustus_masked-scaffold_3-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.77&CDS=1-675	YKL041W
OG0001708	augustus_masked-scaffold_3-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.102&CDS=1-3009	YBL038W
OG0001709	maker-scaffold_3-augustus-gene-2.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.51&CDS=1-3219	YPR047W
OG0001710	genemark-scaffold_3-processed-gene-2.53-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.53&CDS=1-1785	YKR008W
OG0001711	genemark-scaffold_3-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.62&CDS=1-1569	YMR023C
OG0001712	maker-scaffold_3-snap-gene-2.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-2.0&CDS=1-1803	YOR311C
OG0001713	genemark-scaffold_3-processed-gene-2.64-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.64&CDS=1-2943	YHR120W
OG0001714	genemark-scaffold_3-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.85&CDS=1-1422	YGL247W
OG0001715	genemark-scaffold_3-processed-gene-2.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.87&CDS=1-927	YOR352W
OG0001716	genemark-scaffold_3-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.88&CDS=1-612	YJR073C
OG0001717	genemark-scaffold_3-processed-gene-2.69-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.69&CDS=1-885	YOL142W
OG0001718	genemark-scaffold_3-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.70&CDS=1-2031	YOL141W
OG0001719	genemark-scaffold_3-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.89&CDS=1-2166	YIL046W
OG0001720	augustus_masked-scaffold_3-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.111&CDS=1-1530	YGR211W
OG0001721	augustus_masked-scaffold_3-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.128&CDS=1-7272	YGR217W
OG0001722	genemark-scaffold_3-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.73&CDS=1-306	YGR215W
OG0001723	genemark-scaffold_3-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.75&CDS=1-3303	YPR026W
OG0001724	genemark-scaffold_3-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.92&CDS=1-3891	YDL195W
OG0001725	genemark-scaffold_3-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.77&CDS=1-2967	YGR134W
OG0001726	maker-scaffold_3-snap-gene-2.2-mRNA-1_1&gene=maker-scaffold_3-snap-gene-2.2&CDS=1-1434	YIL073C
OG0001727	augustus_masked-scaffold_3-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.119&CDS=1-276	YER058W
OG0001728	maker-scaffold_3-augustus-gene-2.52-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.52&CDS=1-2130	YER016W
OG0001729	genemark-scaffold_3-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.81&CDS=1-1821	YJR016C
OG0001730	genemark-scaffold_3-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.83&CDS=1-1374	YOL030W
OG0001731	augustus_masked-scaffold_3-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.54&CDS=1-2247	YER055C
OG0001732	genemark-scaffold_3-processed-gene-3.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.4&CDS=1-1020	YBR002C
OG0001733	genemark-scaffold_3-processed-gene-3.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.0&CDS=1-1275	YIR012W
OG0001734	augustus_masked-scaffold_3-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.53&CDS=1-1452	YIR008C
OG0001735	genemark-scaffold_3-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.5&CDS=1-2844	YIR007W
OG0001736	genemark-scaffold_3-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.30&CDS=1-717	YBR256C
OG0001737	augustus_masked-scaffold_3-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.57&CDS=1-2109	YPR166C
OG0001738	augustus_masked-scaffold_3-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.58&CDS=1-3099	YBL045C
OG0001739	genemark-scaffold_3-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.32&CDS=1-2616	YHR005C
OG0001740	genemark-scaffold_3-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.13&CDS=1-1572	YHR045W
OG0001741	genemark-scaffold_3-processed-gene-3.33-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.33&CDS=1-732	YHR071W
OG0001742	genemark-scaffold_3-processed-gene-3.34-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.34&CDS=1-2265	YKL025C
OG0001743	genemark-scaffold_3-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.14&CDS=1-765	YIR035C
OG0001744	genemark-scaffold_3-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.17&CDS=1-2613	YKL157W
OG0001745	genemark-scaffold_3-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.37&CDS=1-1635	YBL099W
OG0001746	genemark-scaffold_3-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.38&CDS=1-3489	YIL048W
OG0001747	genemark-scaffold_3-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.19&CDS=1-1956	YBR204C
OG0001748	genemark-scaffold_3-processed-gene-3.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.20&CDS=1-3078	YIL047C
OG0001749	genemark-scaffold_3-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.42&CDS=1-648	YER050C
OG0001750	genemark-scaffold_3-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.21&CDS=1-942	YDL047W
OG0001751	genemark-scaffold_3-processed-gene-3.44-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.44&CDS=1-2187	YPL043W
OG0001752	genemark-scaffold_3-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.22&CDS=1-1434	YDR254W
OG0001753	genemark-scaffold_3-processed-gene-3.45-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.45&CDS=1-2832	YPL045W
OG0001754	genemark-scaffold_3-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.23&CDS=1-300	YPL046C
OG0001755	augustus_masked-scaffold_3-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.68&CDS=1-4395	YPL030W
OG0001756	genemark-scaffold_3-processed-gene-3.46-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.46&CDS=1-3012	YER065C
OG0001757	genemark-scaffold_3-processed-gene-3.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.26&CDS=1-1152	YMR010W
OG0001758	genemark-scaffold_3-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.27&CDS=1-627	YPL067C
OG0001759	genemark-scaffold_3-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.4&CDS=1-1308	YLR314C
OG0001760	maker-scaffold_3-augustus-gene-4.137-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.137&CDS=1-765	YLR421C
OG0001761	genemark-scaffold_3-processed-gene-4.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.1&CDS=1-3837	YER129W
OG0001762	genemark-scaffold_3-processed-gene-4.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.27&CDS=1-2682	YGL180W
OG0001763	genemark-scaffold_3-processed-gene-4.6-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.6&CDS=1-9429	YLL040C
OG0001764	genemark-scaffold_3-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.28&CDS=1-1101	YBL013W
OG0001765	maker-scaffold_3-snap-gene-4.129-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.129&CDS=1-2328	YGL026C
OG0001766	genemark-scaffold_3-processed-gene-4.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.29&CDS=1-2610	YBL014C
OG0001767	genemark-scaffold_3-processed-gene-4.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.12&CDS=1-2517	YGL027C
OG0001768	maker-scaffold_3-augustus-gene-4.141-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.141&CDS=1-1845	YGL033W
OG0001769	genemark-scaffold_3-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.30&CDS=1-669	YMR134W
OG0001770	genemark-scaffold_3-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.18&CDS=1-624	YOR289W
OG0001771	genemark-scaffold_3-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.33&CDS=1-3312	YHR119W
OG0001772	augustus_masked-scaffold_3-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.59&CDS=1-3981	YNL123W
OG0001773	genemark-scaffold_3-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.36&CDS=1-2886	YCR017C
OG0001774	maker-scaffold_3-augustus-gene-4.143-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.143&CDS=1-1110	YBR039W
OG0001775	genemark-scaffold_3-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.37&CDS=1-2028	YER113C
OG0001776	genemark-scaffold_3-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.38&CDS=1-2292	YBL084C
OG0001777	genemark-scaffold_3-processed-gene-4.39-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.39&CDS=1-3234	YER114C
OG0001778	genemark-scaffold_3-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.40&CDS=1-462	YHR116W
OG0001779	genemark-scaffold_3-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.24&CDS=1-1356	YNL119W
OG0001780	genemark-scaffold_3-processed-gene-4.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.41&CDS=1-1050	YIR026C
OG0001781	genemark-scaffold_3-processed-gene-4.43-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.43&CDS=1-699	YOR258W
OG0001782	genemark-scaffold_3-processed-gene-4.44-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.44&CDS=1-402	YMR123W
OG0001783	genemark-scaffold_3-processed-gene-4.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.26&CDS=1-2004	YER068W
OG0001784	genemark-scaffold_3-processed-gene-5.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.89&CDS=1-2946	YPL040C
OG0001785	genemark-scaffold_3-processed-gene-5.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.90&CDS=1-1401	YNR001C
OG0001786	genemark-scaffold_3-processed-gene-5.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.91&CDS=1-2325	YBR163W
OG0001787	snap_masked-scaffold_3-processed-gene-5.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.26&CDS=1-1098	YPL011C
OG0001788	snap_masked-scaffold_3-processed-gene-5.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.27&CDS=1-585	YPL010W
OG0001789	genemark-scaffold_3-processed-gene-5.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.92&CDS=1-1197	YPL020C
OG0001790	augustus_masked-scaffold_3-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.72&CDS=1-2589	YMR302C
OG0001791	genemark-scaffold_3-processed-gene-5.115-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.115&CDS=1-1086	YGR028W
OG0001792	genemark-scaffold_3-processed-gene-5.93-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.93&CDS=1-2892	YLR336C
OG0001793	augustus_masked-scaffold_3-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.74&CDS=1-5403	YFL008W
OG0001794	augustus_masked-scaffold_3-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.75&CDS=1-5376	YGR024C
OG0001795	genemark-scaffold_3-processed-gene-5.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.95&CDS=1-3501	YPR010C
OG0001796	genemark-scaffold_3-processed-gene-5.119-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.119&CDS=1-684	YFR007W
OG0001797	maker-scaffold_3-augustus-gene-5.135-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.135&CDS=1-3162	YFR048W
OG0001798	genemark-scaffold_3-processed-gene-5.97-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.97&CDS=1-2175	YGL245W
OG0001799	augustus_masked-scaffold_3-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.59&CDS=1-870	YJR116W
OG0001800	genemark-scaffold_3-processed-gene-5.99-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.99&CDS=1-624	YFL038C
OG0001801	genemark-scaffold_3-processed-gene-5.100-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.100&CDS=1-1476	YER021W
OG0001802	genemark-scaffold_3-processed-gene-5.101-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.101&CDS=1-1812	YER022W
OG0001803	genemark-scaffold_3-processed-gene-5.121-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.121&CDS=1-498	YJR118C
OG0001804	genemark-scaffold_3-processed-gene-5.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.103&CDS=1-834	YMR149W
OG0001805	augustus_masked-scaffold_3-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.64&CDS=1-3717	YKL033W
OG0001806	genemark-scaffold_3-processed-gene-5.124-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.124&CDS=1-783	YBR278W
OG0001807	genemark-scaffold_3-processed-gene-5.125-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.125&CDS=1-510	YBR282W
OG0001808	genemark-scaffold_3-processed-gene-5.107-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.107&CDS=1-1224	YDR517W
OG0001809	genemark-scaffold_3-processed-gene-5.108-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.108&CDS=1-522	YDR512C
OG0001810	genemark-scaffold_3-processed-gene-5.127-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.127&CDS=1-657	YIL118W
OG0001811	genemark-scaffold_3-processed-gene-5.110-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.110&CDS=1-1710	YOR149C
OG0001812	genemark-scaffold_3-processed-gene-5.128-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.128&CDS=1-1254	YDR394W
OG0001813	genemark-scaffold_3-processed-gene-5.129-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.129&CDS=1-1686	YDR393W
OG0001814	genemark-scaffold_3-processed-gene-6.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.41&CDS=1-990	YJL145W
OG0001815	genemark-scaffold_3-processed-gene-6.45-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.45&CDS=1-2805	YOR005C
OG0001816	genemark-scaffold_3-processed-gene-6.43-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.43&CDS=1-1281	YJL026W
OG0001817	maker-scaffold_3-augustus-gene-6.1-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.1&CDS=1-5076	YKL215C
OG0001818	genemark-scaffold_3-processed-gene-6.47-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.47&CDS=1-3711	YML002W
OG0001819	genemark-scaffold_3-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.48&CDS=1-1107	YOR007C
OG0001820	snap_masked-scaffold_3-processed-gene-6.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.89&CDS=1-798	YHL022C
OG0001821	maker-scaffold_3-augustus-gene-6.3-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.3&CDS=1-2355	YBR011C
OG0001822	maker-scaffold_3-snap-gene-6.124-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.124&CDS=1-1281	YDR005C
OG0001823	genemark-scaffold_3-processed-gene-6.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.70&CDS=1-1593	YJR010W
OG0001824	genemark-scaffold_3-processed-gene-6.56-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.56&CDS=1-1557	YHR183W
OG0001825	genemark-scaffold_3-processed-gene-6.71-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.71&CDS=1-1650	YMR015C
OG0001826	genemark-scaffold_3-processed-gene-6.57-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.57&CDS=1-2139	YLR002C
OG0001827	genemark-scaffold_3-processed-gene-6.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.58&CDS=1-1737	YKL124W
OG0001828	genemark-scaffold_3-processed-gene-6.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.73&CDS=1-1257	YGR193C
OG0001829	genemark-scaffold_3-processed-gene-6.60-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.60&CDS=1-1896	YAL016W
OG0001830	maker-scaffold_3-snap-gene-6.127-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.127&CDS=1-714	YPR067W
OG0001831	genemark-scaffold_3-processed-gene-6.80-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.80&CDS=1-843	YJR096W
OG0001832	genemark-scaffold_3-processed-gene-6.63-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.63&CDS=1-1194	YHL014C
OG0001833	augustus_masked-scaffold_3-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.25&CDS=1-1737	YCL004W
OG0001834	genemark-scaffold_3-processed-gene-6.65-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.65&CDS=1-942	YCL010C
OG0001835	genemark-scaffold_3-processed-gene-6.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.67&CDS=1-483	YCL012C
OG0001836	genemark-scaffold_3-processed-gene-7.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.38&CDS=1-5016	YCL014W
OG0001837	augustus_masked-scaffold_3-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.1&CDS=1-4467	YCL017C
OG0001838	genemark-scaffold_3-processed-gene-7.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.41&CDS=1-831	YNL002C
