	Saccharomyces_cerevisiae	yHMPu5000034637_Ogataea_populiabae
OG0001505	YGR031W	augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.95&CDS=1-984
OG0001506	YGR033C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.52&CDS=1-699
OG0001507	YGR036C	snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.79-mRNA-1_1&gene=snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.79&CDS=1-669
OG0001508	YGR037C	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.15&CDS=1-258
OG0001509	YGR042W	snap_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-0.25&CDS=1-912
OG0001510	YGR044C	snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.297-mRNA-1_1&gene=snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.297&CDS=1-1320
OG0001511	YGR046W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.138&CDS=1-1623
OG0001512	YGR047C	genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.57-mRNA-1_1&gene=genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.57&CDS=1-3075
OG0001513	YGR048W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.106&CDS=1-1119
OG0001514	YGR053C	augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.137&CDS=1-891
OG0001515	YGR054W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.76&CDS=1-1851
OG0001516	YGR057C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.74&CDS=1-693
OG0001517	YGR060W	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.113&CDS=1-918
OG0001518	YGR061C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.20&CDS=1-4080
OG0001519	YGR062C	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.142&CDS=1-990
OG0001520	YGR063C	snap_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.31&CDS=1-351
OG0001521	YGR067C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.83&CDS=1-3033
OG0001522	YGR074W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.33&CDS=1-465
OG0001523	YGR076C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.11&CDS=1-498
OG0001524	YGR077C	augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.254-mRNA-1_1&gene=augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.254&CDS=1-2127
OG0001525	YGR078C	augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.255-mRNA-1_1&gene=augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.255&CDS=1-594
OG0001526	YGR080W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-5.113&CDS=1-969
OG0001527	YGR081C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-0.58&CDS=1-492
OG0001528	YGR082W	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-0.78&CDS=1-498
OG0001529	YGR083C	augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.99&CDS=1-1485
OG0001530	YGR086C	augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.104&CDS=1-933
OG0001531	YGR089W	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.19&CDS=1-2370
OG0001532	YGR090W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.88&CDS=1-3585
OG0001533	YGR091W	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.70&CDS=1-1491
OG0001534	YGR094W	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-3.51&CDS=1-3168
OG0001535	YGR095C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.28&CDS=1-666
OG0001536	YGR098C	snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.89&CDS=1-4746
OG0001537	YGR099W	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.221-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.221&CDS=1-2430
OG0001538	YGR100W	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.32&CDS=1-2796
OG0001539	YGR102C	augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.90&CDS=1-537
OG0001540	YGR103W	snap_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.52&CDS=1-1782
OG0001541	YGR105W	augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.94&CDS=1-228
OG0001542	YGR110W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.253-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.253&CDS=1-1287
OG0001543	YGR111W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-6.85&CDS=1-1137
OG0001544	YGR112W	augustus_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.106&CDS=1-1083
OG0001545	YGR113W	augustus_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.107&CDS=1-990
OG0001546	YGR125W	augustus_masked-NODE_37_length_30479_cov_17.269_ID_73-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_37_length_30479_cov_17.269_ID_73-processed-gene-0.8&CDS=1-3192
OG0001547	YGR127W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.32&CDS=1-924
OG0001548	YGR132C	maker-NODE_21_length_170036_cov_23.214_ID_41-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_21_length_170036_cov_23.214_ID_41-augustus-gene-0.4&CDS=1-849
OG0001549	YGR134W	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-5.135&CDS=1-6093
OG0001550	YGR135W	maker-NODE_21_length_170036_cov_23.214_ID_41-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_21_length_170036_cov_23.214_ID_41-augustus-gene-0.3&CDS=1-762
OG0001551	YGR144W	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.160-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.160&CDS=1-1044
OG0001552	YGR145W	augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.65&CDS=1-2052
OG0001553	YGR147C	augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.251&CDS=1-675
OG0001554	YGR149W	augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.117&CDS=1-1428
OG0001555	YGR150C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-1.111&CDS=1-2238
OG0001556	YGR152C	maker-NODE_11_length_357998_cov_19.4779_ID_21-snap-gene-2.1-mRNA-1_1&gene=maker-NODE_11_length_357998_cov_19.4779_ID_21-snap-gene-2.1&CDS=1-705
OG0001557	YGR158C	augustus_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.11&CDS=1-768
OG0001558	YGR159C	augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.99&CDS=1-1383
OG0001559	YGR161C	snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.47-mRNA-1_1&gene=snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.47&CDS=1-924
OG0001560	YGR163W	maker-NODE_10_length_408946_cov_13.6332_ID_19-augustus-gene-2.194-mRNA-1_1&gene=maker-NODE_10_length_408946_cov_13.6332_ID_19-augustus-gene-2.194&CDS=1-1041
OG0001561	YGR165W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.61&CDS=1-1008
OG0001562	YGR166W	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.118&CDS=1-1395
OG0001563	YGR167W	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-0.13&CDS=1-678
OG0001564	YGR170W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.200-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.200&CDS=1-3291
OG0001565	YGR171C	genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-1.115&CDS=1-1920
OG0001566	YGR172C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.233-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.233&CDS=1-753
OG0001567	YGR173W	augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-0.90&CDS=1-1113
OG0001568	YGR175C	augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.61&CDS=1-1467
OG0001569	YGR178C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.198-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.198&CDS=1-2580
OG0001570	YGR181W	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.113&CDS=1-303
OG0001571	YGR185C	maker-NODE_13_length_253365_cov_20.0969_ID_25-augustus-gene-1.164-mRNA-1_1&gene=maker-NODE_13_length_253365_cov_20.0969_ID_25-augustus-gene-1.164&CDS=1-1941
OG0001572	YGR187C	maker-NODE_18_length_187269_cov_19.0248_ID_35-snap-gene-0.94-mRNA-1_1&gene=maker-NODE_18_length_187269_cov_19.0248_ID_35-snap-gene-0.94&CDS=1-2988
OG0001573	YGR188C	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.139&CDS=1-2565
OG0001574	YGR193C	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.17&CDS=1-2100
OG0001575	YGR194C	maker-NODE_1_length_1154972_cov_14.4185_ID_1-augustus-gene-3.49-mRNA-1_1&gene=maker-NODE_1_length_1154972_cov_14.4185_ID_1-augustus-gene-3.49&CDS=1-2037
OG0001576	YGR195W	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.78&CDS=1-741
OG0001577	YGR198W	snap_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.222-mRNA-1_1&gene=snap_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.222&CDS=1-2448
OG0001578	YGR199W	snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.112-mRNA-1_1&gene=snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.112&CDS=1-2226
OG0001579	YGR200C	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.92&CDS=1-2388
OG0001580	YGR202C	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.153&CDS=1-1344
OG0001581	YGR203W	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.152&CDS=1-447
OG0001582	YGR205W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-10.148-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-10.148&CDS=1-873
OG0001583	YGR207C	maker-NODE_1_length_1154972_cov_14.4185_ID_1-augustus-gene-10.166-mRNA-1_1&gene=maker-NODE_1_length_1154972_cov_14.4185_ID_1-augustus-gene-10.166&CDS=1-3180
OG0001584	YGR208W	augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.49&CDS=1-948
OG0001585	YGR210C	augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.131&CDS=1-1254
OG0001586	YGR211W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.64&CDS=1-1497
OG0001587	YGR215W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.29&CDS=1-354
OG0001588	YGR217W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.90&CDS=1-6528
OG0001589	YGR218W	maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-6.93-mRNA-1_1&gene=maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-6.93&CDS=1-4398
OG0001590	YGR220C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.2&CDS=1-864
OG0001591	YGR223C	augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.104&CDS=1-1158
OG0001592	YGR225W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.30&CDS=1-3963
OG0001593	YGR227W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.31&CDS=1-1392
OG0001594	YGR231C	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.89&CDS=1-930
OG0001595	YGR232W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.63&CDS=1-762
OG0001596	YGR233C	snap_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.198-mRNA-1_1&gene=snap_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.198&CDS=1-3555
OG0001597	YGR235C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.139&CDS=1-747
OG0001598	YGR244C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.26&CDS=1-1242
OG0001599	YGR245C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.136&CDS=1-2262
OG0001600	YGR246C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.236-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.236&CDS=1-3102
OG0001601	YGR252W	maker-NODE_2_length_1008495_cov_14.5864_ID_3-snap-gene-9.116-mRNA-1_1&gene=maker-NODE_2_length_1008495_cov_14.5864_ID_3-snap-gene-9.116&CDS=1-2292
OG0001602	YGR253C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.19&CDS=1-771
OG0001603	YGR254W	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-5.97&CDS=1-1311
OG0001604	YGR255C	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-6.101&CDS=1-1386
OG0001605	YGR257C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.111&CDS=1-1158
OG0001606	YGR258C	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.111&CDS=1-3120
OG0001607	YGR261C	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.112&CDS=1-2550
OG0001608	YGR262C	maker-NODE_11_length_357998_cov_19.4779_ID_21-augustus-gene-1.4-mRNA-1_1&gene=maker-NODE_11_length_357998_cov_19.4779_ID_21-augustus-gene-1.4&CDS=1-1971
OG0001609	YGR264C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.165&CDS=1-2280
OG0001610	YGR266W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.195-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.195&CDS=1-2076
OG0001611	YGR267C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.127&CDS=1-963
OG0001612	YGR268C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.198-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.198&CDS=1-729
OG0001613	YGR270W	augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.44&CDS=1-3711
OG0001614	YGR271C-A	maker-NODE_13_length_253365_cov_20.0969_ID_25-augustus-gene-1.155-mRNA-1_1&gene=maker-NODE_13_length_253365_cov_20.0969_ID_25-augustus-gene-1.155&CDS=1-2442
OG0001615	YGR271W	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-0.19&CDS=1-5904
OG0001616	YGR274C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-9.84&CDS=1-3429
OG0001617	YGR277C	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.2&CDS=1-909
OG0001618	YGR278W	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.3&CDS=1-1785
OG0001619	YGR279C	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.84&CDS=1-1071
OG0001620	YGR280C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.32&CDS=1-903
OG0001621	YGR282C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.189-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.189&CDS=1-930
OG0001622	YGR284C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.223-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.223&CDS=1-981
OG0001623	YGR285C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.132&CDS=1-1281
OG0001624	YGR286C	snap_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-10.228-mRNA-1_1&gene=snap_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-10.228&CDS=1-1227
OG0001625	YHL002W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.65&CDS=1-1446
OG0001626	YHL004W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.89&CDS=1-1224
