	Nakaseomyces_castellii	Saccharomyces_cerevisiae
OG0003410	genemark-CACA0S33-processed-gene-6.51-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.51&CDS=1-702	YER139C
OG0003411	maker-CACA0S33-augustus-gene-6.1-mRNA-1_1&gene=maker-CACA0S33-augustus-gene-6.1&CDS=1-2520	YOR161C
OG0003412	genemark-CACA0S33-processed-gene-6.72-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.72&CDS=1-2892	YOR160W
OG0003413	snap_masked-CACA0S33-processed-gene-6.98-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-6.98&CDS=1-282	YOR159C
OG0003414	augustus_masked-CACA0S33-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.31&CDS=1-939	YOR158W
OG0003415	genemark-CACA0S33-processed-gene-6.54-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.54&CDS=1-822	YOR157C
OG0003416	genemark-CACA0S33-processed-gene-6.55-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.55&CDS=1-1392	YOR155C
OG0003417	augustus_masked-CACA0S33-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.15&CDS=1-810	YOR152C
OG0003418	genemark-CACA0S33-processed-gene-6.57-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.57&CDS=1-3666	YOR151C
OG0003419	genemark-CACA0S33-processed-gene-6.75-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.75&CDS=1-486	YOR150W
OG0003420	genemark-CACA0S33-processed-gene-6.76-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.76&CDS=1-1626	YDR403W
OG0003421	genemark-CACA0S33-processed-gene-6.58-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.58&CDS=1-1536	YOR149C
OG0003422	genemark-CACA0S33-processed-gene-6.59-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.59&CDS=1-564	YOR148C
OG0003423	genemark-CACA0S33-processed-gene-6.77-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.77&CDS=1-1851	YOR147W
OG0003424	genemark-CACA0S33-processed-gene-6.60-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.60&CDS=1-816	YOR145C
OG0003425	augustus_masked-CACA0S33-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.19&CDS=1-2391	YOR144C
OG0003426	genemark-CACA0S33-processed-gene-6.62-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.62&CDS=1-963	YOR143C
OG0003427	genemark-CACA0S33-processed-gene-6.63-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.63&CDS=1-1620	YHL036W
OG0003428	maker-CACA0S33-augustus-gene-6.3-mRNA-1_1&gene=maker-CACA0S33-augustus-gene-6.3&CDS=1-5847	YLL048C
OG0003429	augustus_masked-CACA0S33-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.38&CDS=1-1986	YHL032C
OG0003430	genemark-CACA0S33-processed-gene-6.82-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.82&CDS=1-675	YHL031C
OG0003431	genemark-CACA0S33-processed-gene-6.65-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.65&CDS=1-5514	YHL030W
OG0003432	genemark-CACA0S33-processed-gene-6.83-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.83&CDS=1-822	YLL038C
OG0003433	genemark-CACA0S33-processed-gene-6.84-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.84&CDS=1-1845	YHL029C
OG0003434	genemark-CACA0S33-processed-gene-6.66-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.66&CDS=1-1368	YHL027W
OG0003435	genemark-CACA0S33-processed-gene-6.85-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.85&CDS=1-804	YHL026C
OG0003436	augustus_masked-CACA0S33-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.26&CDS=1-1737	YLL028W
OG0003437	augustus_masked-CACA0S33-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.27&CDS=1-2346	YHL024W
OG0003438	genemark-CACA0S33-processed-gene-6.86-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.86&CDS=1-3027	YHL023C
OG0003439	genemark-CACA0S33-processed-gene-6.69-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.69&CDS=1-1650	YLR314C
OG0003440	genemark-CACA0S33-processed-gene-6.87-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.87&CDS=1-738	YLR312W-A
OG0003441	genemark-CACA0S33-processed-gene-7.2-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.2&CDS=1-4770	YLR310C
OG0003442	augustus_masked-CACA0S33-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.47&CDS=1-1083	YKR038C
OG0003443	snap_masked-CACA0S33-processed-gene-7.92-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.92&CDS=1-849	YKR037C
OG0003444	genemark-CACA0S33-processed-gene-7.22-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.22&CDS=1-609	YKR035W-A
OG0003445	genemark-CACA0S33-processed-gene-7.23-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.23&CDS=1-894	YKR034W
OG0003446	genemark-CACA0S33-processed-gene-7.6-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.6&CDS=1-5262	YKR031C
OG0003447	genemark-CACA0S33-processed-gene-7.8-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.8&CDS=1-342	YNL135C
OG0003448	snap_masked-CACA0S33-processed-gene-7.113-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.113&CDS=1-897	YNL136W
OG0003449	genemark-CACA0S33-processed-gene-7.9-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.9&CDS=1-1455	YNL137C
OG0003450	genemark-CACA0S33-processed-gene-7.10-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.10&CDS=1-951	YKR100C
OG0003451	genemark-CACA0S33-processed-gene-7.26-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.26&CDS=1-2343	YKR099W
OG0003452	snap_masked-CACA0S33-processed-gene-7.117-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.117&CDS=1-312	YKR095W-A
OG0003453	snap_masked-CACA0S33-processed-gene-7.119-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.119&CDS=1-375	YER072W
OG0003454	augustus_masked-CACA0S33-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.73&CDS=1-1965	YIL067C
OG0003455	genemark-CACA0S33-processed-gene-7.30-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.30&CDS=1-453	YIL065C
OG0003456	genemark-CACA0S33-processed-gene-7.11-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.11&CDS=1-687	YIL064W
OG0003457	genemark-CACA0S33-processed-gene-7.31-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.31&CDS=1-1104	YIL063C
OG0003458	genemark-CACA0S33-processed-gene-7.32-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.32&CDS=1-462	YIL062C
OG0003459	genemark-CACA0S33-processed-gene-7.33-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.33&CDS=1-852	YIL061C
OG0003460	genemark-CACA0S33-processed-gene-7.34-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.34&CDS=1-2559	YDR176W
OG0003461	augustus_masked-CACA0S33-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.55&CDS=1-921	YDR175C
OG0003462	genemark-CACA0S33-processed-gene-7.35-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.35&CDS=1-834	YDR174W
OG0003463	genemark-CACA0S33-processed-gene-7.13-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.13&CDS=1-1086	YDR173C
OG0003464	genemark-CACA0S33-processed-gene-7.36-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.36&CDS=1-2076	YDR172W
OG0003465	genemark-CACA0S33-processed-gene-7.37-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.37&CDS=1-1197	YDR171W
OG0003466	genemark-CACA0S33-processed-gene-7.14-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.14&CDS=1-5571	YDR170C
OG0003467	genemark-CACA0S33-processed-gene-7.16-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.16&CDS=1-1515	YDR169C
OG0003468	genemark-CACA0S33-processed-gene-7.38-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.38&CDS=1-1503	YDR168W
OG0003469	genemark-CACA0S33-processed-gene-7.39-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.39&CDS=1-639	YDR167W
OG0003470	genemark-CACA0S33-processed-gene-7.17-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.17&CDS=1-2952	YDR166C
OG0003471	genemark-CACA0S33-processed-gene-7.40-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.40&CDS=1-1242	YDR165W
OG0003472	genemark-CACA0S33-processed-gene-7.18-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.18&CDS=1-2136	YDR164C
OG0003473	snap_masked-CACA0S33-processed-gene-7.132-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.132&CDS=1-204	YDR210W
OG0003474	augustus_masked-CACA0S33-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.84&CDS=1-1965	YDR208W
OG0003475	genemark-CACA0S33-processed-gene-7.19-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.19&CDS=1-2508	YDR207C
OG0003476	snap_masked-CACA0S33-processed-gene-7.133-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.133&CDS=1-2619	YDR206W
OG0003477	genemark-CACA0S33-processed-gene-7.43-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-7.43&CDS=1-1329	YDR205W
OG0003478	augustus_masked-CACA0S33-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.87&CDS=1-939	YDR204W
OG0003479	snap_masked-CACA0S33-processed-gene-7.109-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-7.109&CDS=1-1068	YDR202C
OG0003480	snap_masked-CACA0S33-processed-gene-8.84-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-8.84&CDS=1-243	YFL017W-A
OG0003481	genemark-CACA0S33-processed-gene-8.44-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.44&CDS=1-465	YFL017C
OG0003482	genemark-CACA0S33-processed-gene-8.45-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.45&CDS=1-1524	YFL016C
OG0003483	genemark-CACA0S33-processed-gene-8.41-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.41&CDS=1-321	YFL014W
OG0003484	augustus_masked-CACA0S33-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.5&CDS=1-1665	YFL013C
OG0003485	augustus_masked-CACA0S33-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.6&CDS=1-486	YFL010C
OG0003486	genemark-CACA0S33-processed-gene-8.42-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.42&CDS=1-1830	YFL009W
OG0003487	augustus_masked-CACA0S33-processed-gene-8.2-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.2&CDS=1-1170	YKL042W
OG0003488	genemark-CACA0S33-processed-gene-8.68-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.68&CDS=1-621	YFR001W
OG0003489	genemark-CACA0S33-processed-gene-8.48-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.48&CDS=1-4746	YFL033C
OG0003490	genemark-CACA0S33-processed-gene-8.69-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.69&CDS=1-2919	YFL034W
OG0003491	genemark-CACA0S33-processed-gene-8.49-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.49&CDS=1-924	YFL034C-B
OG0003492	genemark-CACA0S33-processed-gene-8.70-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.70&CDS=1-4017	YFL036W
OG0003493	genemark-CACA0S33-processed-gene-8.71-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.71&CDS=1-1374	YFL037W
OG0003494	genemark-CACA0S33-processed-gene-8.50-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.50&CDS=1-621	YFL038C
OG0003495	augustus_masked-CACA0S33-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.28&CDS=1-1671	YFL040W
OG0003496	genemark-CACA0S33-processed-gene-8.52-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.52&CDS=1-1782	YFL042C
OG0003497	genemark-CACA0S33-processed-gene-8.53-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.53&CDS=1-663	YLR075W
OG0003498	genemark-CACA0S33-processed-gene-8.54-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.54&CDS=1-762	YFL045C
OG0003499	genemark-CACA0S33-processed-gene-8.74-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.74&CDS=1-633	YFL046W
OG0003500	genemark-CACA0S33-processed-gene-8.75-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.75&CDS=1-2220	YFL047W
OG0003501	genemark-CACA0S33-processed-gene-8.55-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.55&CDS=1-1296	YFL048C
OG0003502	augustus_masked-CACA0S33-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.32&CDS=1-1665	YFL049W
OG0003503	maker-CACA0S33-snap-gene-8.130-mRNA-1_1&gene=maker-CACA0S33-snap-gene-8.130&CDS=1-1845	YML131W
OG0003504	snap_masked-CACA0S33-processed-gene-8.103-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-8.103&CDS=1-558	YCR097W
OG0003505	augustus_masked-CACA0S33-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.34&CDS=1-867	YLR079W
OG0003506	genemark-CACA0S33-processed-gene-8.61-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.61&CDS=1-726	YLR078C
OG0003507	genemark-CACA0S33-processed-gene-8.78-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.78&CDS=1-1647	YLR077W
OG0003508	genemark-CACA0S33-processed-gene-8.62-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.62&CDS=1-441	YLR074C
OG0003509	genemark-CACA0S33-processed-gene-8.63-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.63&CDS=1-531	YLR073C
OG0003510	genemark-CACA0S33-processed-gene-8.79-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.79&CDS=1-2484	YLR072W
OG0003511	genemark-CACA0S33-processed-gene-8.64-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.64&CDS=1-3132	YLR071C
OG0003512	genemark-CACA0S33-processed-gene-8.65-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.65&CDS=1-2295	YLR069C
OG0003513	genemark-CACA0S33-processed-gene-8.80-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.80&CDS=1-438	YLR068W
OG0003514	augustus_masked-CACA0S33-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.22&CDS=1-2799	YLR067C
OG0003515	augustus_masked-CACA0S33-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.38&CDS=1-576	YLR066W
OG0003516	genemark-CACA0S33-processed-gene-8.82-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.82&CDS=1-1137	YPL001W
OG0003517	genemark-CACA0S33-processed-gene-8.67-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.67&CDS=1-726	YPL002C
OG0003518	genemark-CACA0S33-processed-gene-8.83-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-8.83&CDS=1-1257	YFL001W
OG0003519	genemark-CACA0S33-processed-gene-9.46-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.46&CDS=1-1857	YFL002C
OG0003520	snap_masked-CACA0S33-processed-gene-9.96-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.96&CDS=1-1827	YPL005W
OG0003521	genemark-CACA0S33-processed-gene-9.50-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.50&CDS=1-3543	YPL006W
OG0003522	snap_masked-CACA0S33-processed-gene-9.98-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.98&CDS=1-1764	YPL007C
OG0003523	genemark-CACA0S33-processed-gene-9.74-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.74&CDS=1-2559	YPL008W
OG0003524	genemark-CACA0S33-processed-gene-9.52-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.52&CDS=1-3201	YPL009C
OG0003525	genemark-CACA0S33-processed-gene-9.75-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.75&CDS=1-576	YPL010W
OG0003526	genemark-CACA0S33-processed-gene-9.53-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.53&CDS=1-1113	YPL011C
OG0003527	genemark-CACA0S33-processed-gene-9.76-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.76&CDS=1-3675	YPL012W
OG0003528	genemark-CACA0S33-processed-gene-9.54-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.54&CDS=1-369	YPL013C
OG0003529	snap_masked-CACA0S33-processed-gene-9.125-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.125&CDS=1-1041	YPL014W
OG0003530	genemark-CACA0S33-processed-gene-9.78-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.78&CDS=1-876	YER026C
OG0003531	genemark-CACA0S33-processed-gene-9.56-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.56&CDS=1-4932	YGL206C
OG0003532	genemark-CACA0S33-processed-gene-9.79-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.79&CDS=1-1200	YER027C
OG0003533	genemark-CACA0S33-processed-gene-9.80-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.80&CDS=1-435	YER029C
OG0003534	genemark-CACA0S33-processed-gene-9.57-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.57&CDS=1-375	YER030W
OG0003535	snap_masked-CACA0S33-processed-gene-9.105-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.105&CDS=1-1857	YER032W
OG0003536	genemark-CACA0S33-processed-gene-9.59-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.59&CDS=1-1788	YHR194W
OG0003537	snap_masked-CACA0S33-processed-gene-9.107-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.107&CDS=1-1167	YHR195W
OG0003538	snap_masked-CACA0S33-processed-gene-9.108-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.108&CDS=1-1716	YHR196W
OG0003539	genemark-CACA0S33-processed-gene-9.62-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.62&CDS=1-2277	YHR197W
OG0003540	snap_masked-CACA0S33-processed-gene-9.131-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.131&CDS=1-930	YHR199C
OG0003541	genemark-CACA0S33-processed-gene-9.63-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.63&CDS=1-816	YHR200W
OG0003542	snap_masked-CACA0S33-processed-gene-9.132-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.132&CDS=1-1116	YHR201C
OG0003543	genemark-CACA0S33-processed-gene-9.64-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.64&CDS=1-2343	YHR204W
OG0003544	genemark-CACA0S33-processed-gene-9.65-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.65&CDS=1-2370	YHR205W
OG0003545	genemark-CACA0S33-processed-gene-9.66-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.66&CDS=1-2214	YHR206W
OG0003546	genemark-CACA0S33-processed-gene-9.85-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.85&CDS=1-1665	YHR207C
OG0003547	genemark-CACA0S33-processed-gene-9.67-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.67&CDS=1-924	YER182W
OG0003548	snap_masked-CACA0S33-processed-gene-9.135-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.135&CDS=1-645	YER183C
OG0003549	augustus_masked-CACA0S33-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-9.22&CDS=1-1236	YIL160C
OG0003550	genemark-CACA0S33-processed-gene-9.70-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.70&CDS=1-1095	YMR318C
OG0003551	snap_masked-CACA0S33-processed-gene-9.136-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.136&CDS=1-3087	YOL145C
OG0003552	snap_masked-CACA0S33-processed-gene-9.120-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.120&CDS=1-1413	YOL144W
OG0003553	augustus_masked-CACA0S33-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-9.41&CDS=1-2727	YNL329C
OG0003554	snap_masked-CACA0S33-processed-gene-9.138-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.138&CDS=1-1005	YNL326C
OG0003555	genemark-CACA0S33-processed-gene-9.91-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.91&CDS=1-2565	YNL325C
OG0003556	genemark-CACA0S33-processed-gene-9.73-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.73&CDS=1-1236	YNL323W
OG0003557	genemark-CACA0S33-processed-gene-9.92-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.92&CDS=1-1020	YNL322C
OG0003558	genemark-CACA0S33-processed-gene-10.104-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.104&CDS=1-2718	YNL321W
OG0003559	genemark-CACA0S33-processed-gene-10.105-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.105&CDS=1-852	YNL320W
OG0003560	genemark-CACA0S33-processed-gene-10.106-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.106&CDS=1-1323	YNL317W
OG0003561	genemark-CACA0S33-processed-gene-10.109-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.109&CDS=1-1008	YNL316C
OG0003562	genemark-CACA0S33-processed-gene-10.110-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.110&CDS=1-1590	YNR030W
OG0003563	genemark-CACA0S33-processed-gene-10.107-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.107&CDS=1-1149	YNR029C
OG0003564	genemark-CACA0S33-processed-gene-10.112-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.112&CDS=1-399	YNR022C
OG0003565	snap_masked-CACA0S33-processed-gene-10.18-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.18&CDS=1-648	YNR020C
OG0003566	genemark-CACA0S33-processed-gene-10.133-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.133&CDS=1-1935	YNR019W
OG0003567	augustus_masked-CACA0S33-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.88&CDS=1-2991	YBR094W
OG0003568	maker-CACA0S33-snap-gene-10.6-mRNA-1_1&gene=maker-CACA0S33-snap-gene-10.6&CDS=1-3765	YPR049C
OG0003569	maker-CACA0S33-snap-gene-10.8-mRNA-1_1&gene=maker-CACA0S33-snap-gene-10.8&CDS=1-3240	YPR048W
OG0003570	snap_masked-CACA0S33-processed-gene-10.44-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.44&CDS=1-615	YPR046W
OG0003571	genemark-CACA0S33-processed-gene-10.115-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.115&CDS=1-1593	YDR299W
OG0003572	snap_masked-CACA0S33-processed-gene-10.45-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.45&CDS=1-1275	YDR148C
OG0003573	augustus_masked-CACA0S33-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.92&CDS=1-1332	YOR059C
OG0003574	snap_masked-CACA0S33-processed-gene-10.47-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.47&CDS=1-435	YOR060C
OG0003575	snap_masked-CACA0S33-processed-gene-10.23-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.23&CDS=1-1293	YIL055C
OG0003576	genemark-CACA0S33-processed-gene-10.121-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.121&CDS=1-1749	YDR177W
OG0003577	genemark-CACA0S33-processed-gene-10.122-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.122&CDS=1-4188	YCR081W
OG0003578	snap_masked-CACA0S33-processed-gene-10.27-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.27&CDS=1-525	YCR082W
OG0003579	genemark-CACA0S33-processed-gene-10.124-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.124&CDS=1-384	YCR083W
OG0003580	genemark-CACA0S33-processed-gene-10.125-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.125&CDS=1-588	YCR086W
OG0003581	genemark-CACA0S33-processed-gene-10.142-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.142&CDS=1-489	YCR087C-A
OG0003582	genemark-CACA0S33-processed-gene-10.143-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.143&CDS=1-561	YCR090C
OG0003583	genemark-CACA0S33-processed-gene-10.144-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.144&CDS=1-2934	YCR092C
OG0003584	genemark-CACA0S33-processed-gene-10.126-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.126&CDS=1-6300	YCR093W
OG0003585	genemark-CACA0S33-processed-gene-10.145-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.145&CDS=1-1143	YCR095C
OG0003586	augustus_masked-CACA0S33-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.101&CDS=1-1713	YDR227W
OG0003587	genemark-CACA0S36-processed-gene-0.53-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.53&CDS=1-1671	YCR098C
OG0003588	genemark-CACA0S36-processed-gene-0.34-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.34&CDS=1-2628	YPR194C
OG0003589	maker-CACA0S36-augustus-gene-0.93-mRNA-1_1&gene=maker-CACA0S36-augustus-gene-0.93&CDS=1-1764	YMR315W
OG0003590	genemark-CACA0S36-processed-gene-0.38-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.38&CDS=1-1734	YMR313C
OG0003591	genemark-CACA0S36-processed-gene-0.56-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.56&CDS=1-792	YMR312W
OG0003592	genemark-CACA0S36-processed-gene-0.39-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.39&CDS=1-666	YMR311C
