	Candida_dubliniensis	Saccharomyces_cerevisiae
OG0002039	genemark-NC_012863.1-processed-gene-1.21-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-1.21&CDS=1-915	YMR312W
OG0002040	augustus_masked-NC_012863.1-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-1.128&CDS=1-2025	YMR313C
OG0002041	snap_masked-NC_012863.1-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-2.35&CDS=1-14973	YLR106C
OG0002042	genemark-NC_012863.1-processed-gene-2.71-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.71&CDS=1-2934	YOR048C
OG0002043	genemark-NC_012863.1-processed-gene-2.86-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.86&CDS=1-1743	YBR132C
OG0002044	genemark-NC_012863.1-processed-gene-2.87-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.87&CDS=1-1005	YJR107W
OG0002045	augustus_masked-NC_012863.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-2.25&CDS=1-267	YKL053C-A
OG0002046	snap_masked-NC_012863.1-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-2.43&CDS=1-1728	YBR182C
OG0002047	genemark-NC_012863.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.96&CDS=1-1299	YJL203W
OG0002048	genemark-NC_012863.1-processed-gene-2.77-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.77&CDS=1-1524	YHR004C
OG0002049	genemark-NC_012863.1-processed-gene-3.49-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.49&CDS=1-918	YCL009C
OG0002050	genemark-NC_012863.1-processed-gene-3.52-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.52&CDS=1-1896	YBR200W
OG0002051	maker-NC_012863.1-augustus-gene-3.1-mRNA-1_1&gene=maker-NC_012863.1-augustus-gene-3.1&CDS=1-3159	YLR196W
OG0002052	genemark-NC_012863.1-processed-gene-3.56-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.56&CDS=1-1335	YLR097C
OG0002053	genemark-NC_012863.1-processed-gene-3.57-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.57&CDS=1-2583	YMR309C
OG0002054	genemark-NC_012863.1-processed-gene-3.58-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.58&CDS=1-1152	YGL211W
OG0002055	genemark-NC_012863.1-processed-gene-3.59-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.59&CDS=1-804	YMR226C
OG0002056	genemark-NC_012863.1-processed-gene-3.73-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.73&CDS=1-963	YGR060W
OG0002057	maker-NC_012863.1-snap-gene-3.95-mRNA-1_1&gene=maker-NC_012863.1-snap-gene-3.95&CDS=1-1299	YOR303W
OG0002058	genemark-NC_012863.1-processed-gene-3.76-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.76&CDS=1-1452	YKL059C
OG0002059	genemark-NC_012863.1-processed-gene-3.77-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.77&CDS=1-1098	YMR028W
OG0002060	genemark-NC_012863.1-processed-gene-3.61-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.61&CDS=1-387	YKL058W
OG0002061	genemark-NC_012863.1-processed-gene-3.78-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.78&CDS=1-1359	YMR027W
OG0002062	genemark-NC_012863.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.80&CDS=1-2226	YKL054C
OG0002063	genemark-NC_012863.1-processed-gene-3.81-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.81&CDS=1-2097	YBR094W
OG0002064	genemark-NC_012863.1-processed-gene-3.62-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.62&CDS=1-327	YBR091C
OG0002065	genemark-NC_012863.1-processed-gene-3.82-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.82&CDS=1-1077	YKL060C
OG0002066	genemark-NC_012863.1-processed-gene-3.63-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.63&CDS=1-570	YPR051W
OG0002067	genemark-NC_012863.1-processed-gene-3.64-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.64&CDS=1-777	YBR088C
OG0002068	genemark-NC_012863.1-processed-gene-3.83-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.83&CDS=1-948	YBR095C
OG0002069	snap_masked-NC_012863.1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-3.116&CDS=1-3513	YPR049C
OG0002070	genemark-NC_012863.1-processed-gene-3.89-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.89&CDS=1-1299	YMR220W
OG0002071	genemark-NC_012863.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.67&CDS=1-1323	YBR166C
OG0002072	genemark-NC_012863.1-processed-gene-3.90-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.90&CDS=1-555	YBR164C
OG0002073	genemark-NC_012863.1-processed-gene-3.91-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.91&CDS=1-996	YKL085W
OG0002074	genemark-NC_012863.1-processed-gene-3.68-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.68&CDS=1-1518	YBR123C
OG0002075	genemark-NC_012863.1-processed-gene-3.92-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.92&CDS=1-699	YPL107W
OG0002076	genemark-NC_012863.1-processed-gene-4.50-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.50&CDS=1-1803	YBR296C
OG0002077	genemark-NC_012863.1-processed-gene-4.51-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.51&CDS=1-873	YIL034C
OG0002078	genemark-NC_012863.1-processed-gene-4.54-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.54&CDS=1-675	YGR167W
OG0002079	snap_masked-NC_012863.1-processed-gene-4.8-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-4.8&CDS=1-234	YDR379C-A
OG0002080	genemark-NC_012863.1-processed-gene-4.56-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.56&CDS=1-1896	YML042W
OG0002081	genemark-NC_012863.1-processed-gene-4.58-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.58&CDS=1-1431	YMR020W
OG0002082	genemark-NC_012863.1-processed-gene-4.59-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.59&CDS=1-1086	YGR187C
OG0002083	genemark-NC_012863.1-processed-gene-4.73-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.73&CDS=1-1821	YGR186W
OG0002084	maker-NC_012863.1-augustus-gene-4.129-mRNA-1_1&gene=maker-NC_012863.1-augustus-gene-4.129&CDS=1-1890	YGR195W
OG0002085	genemark-NC_012863.1-processed-gene-4.63-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.63&CDS=1-924	YGR284C
OG0002086	genemark-NC_012863.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.64&CDS=1-753	YKL087C
OG0002087	snap_masked-NC_012863.1-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-4.34&CDS=1-273	YHR005C-A
OG0002088	genemark-NC_012863.1-processed-gene-4.77-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.77&CDS=1-2154	YPL109C
OG0002089	genemark-NC_012863.1-processed-gene-4.78-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.78&CDS=1-1647	YOR059C
OG0002090	genemark-NC_012863.1-processed-gene-4.85-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.85&CDS=1-924	YGR282C
OG0002091	genemark-NC_012863.1-processed-gene-4.86-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.86&CDS=1-1113	YMR310C
OG0002092	genemark-NC_012863.1-processed-gene-4.87-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.87&CDS=1-1386	YOR198C
OG0002093	genemark-NC_012863.1-processed-gene-4.66-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.66&CDS=1-852	YPL117C
OG0002094	genemark-NC_012863.1-processed-gene-4.67-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.67&CDS=1-1158	YOR196C
OG0002095	genemark-NC_012863.1-processed-gene-4.68-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.68&CDS=1-2139	YPL116W
OG0002096	genemark-NC_012863.1-processed-gene-4.69-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.69&CDS=1-3396	YPL115C
OG0002097	snap_masked-NC_012863.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-4.48&CDS=1-462	YJR104C
OG0002098	genemark-NC_012863.1-processed-gene-4.70-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.70&CDS=1-390	YNL015W
OG0002099	genemark-NC_012863.1-processed-gene-4.71-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.71&CDS=1-3492	YGL156W
OG0002100	genemark-NC_012863.1-processed-gene-5.70-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.70&CDS=1-528	YLR109W
OG0002101	genemark-NC_012863.1-processed-gene-5.71-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.71&CDS=1-777	YDR302W
OG0002102	genemark-NC_012863.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.68&CDS=1-4260	YDR301W
OG0002103	genemark-NC_012863.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.73&CDS=1-636	YBL040C
OG0002104	genemark-NC_012863.1-processed-gene-5.87-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.87&CDS=1-735	YBL041W
OG0002105	genemark-NC_012863.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.88&CDS=1-324	YGR181W
OG0002106	genemark-NC_012863.1-processed-gene-5.89-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.89&CDS=1-4140	YDR216W
OG0002107	genemark-NC_012863.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.92&CDS=1-1386	YDR207C
OG0002108	genemark-NC_012863.1-processed-gene-5.93-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.93&CDS=1-1812	YER169W
OG0002109	genemark-NC_012863.1-processed-gene-5.94-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.94&CDS=1-1557	YPL120W
OG0002110	genemark-NC_012863.1-processed-gene-5.78-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.78&CDS=1-1167	YLR105C
OG0002111	genemark-NC_012863.1-processed-gene-5.79-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.79&CDS=1-438	YER159C
OG0002112	genemark-NC_012863.1-processed-gene-5.80-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.80&CDS=1-2235	YDR109C
OG0002113	genemark-NC_012863.1-processed-gene-5.81-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.81&CDS=1-2478	YBR294W
OG0002114	genemark-NC_012863.1-processed-gene-5.82-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.82&CDS=1-1716	YPR018W
OG0002115	genemark-NC_012863.1-processed-gene-5.84-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.84&CDS=1-1803	YER173W
OG0002116	genemark-NC_012863.1-processed-gene-5.97-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-5.97&CDS=1-960	YKL051W
OG0002117	genemark-NC_012863.1-processed-gene-6.0-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.0&CDS=1-489	YJR055W
OG0002118	genemark-NC_012863.1-processed-gene-6.4-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.4&CDS=1-1083	YBR053C
OG0002119	genemark-NC_012863.1-processed-gene-6.5-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.5&CDS=1-1059	YLR215C
OG0002120	genemark-NC_012863.1-processed-gene-6.1-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.1&CDS=1-1632	YDL143W
OG0002121	genemark-NC_012863.1-processed-gene-6.6-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.6&CDS=1-1731	YDL153C
OG0002122	genemark-NC_012863.1-processed-gene-6.2-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.2&CDS=1-1383	YDL150W
OG0002123	genemark-NC_012863.1-processed-gene-6.3-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.3&CDS=1-2259	YDL154W
OG0002124	genemark-NC_012863.1-processed-gene-6.26-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.26&CDS=1-2295	YJL033W
OG0002125	genemark-NC_012863.1-processed-gene-6.27-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.27&CDS=1-711	YHR041C
OG0002126	genemark-NC_012863.1-processed-gene-6.7-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.7&CDS=1-2391	YGR200C
OG0002127	genemark-NC_012863.1-processed-gene-6.8-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.8&CDS=1-642	YMR311C
OG0002128	genemark-NC_012863.1-processed-gene-6.28-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.28&CDS=1-1281	YGR285C
OG0002129	genemark-NC_012863.1-processed-gene-6.29-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.29&CDS=1-771	YLR022C
OG0002130	snap_masked-NC_012863.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-6.71&CDS=1-189	YGR183C
OG0002131	snap_masked-NC_012863.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-6.72&CDS=1-1362	YGR189C
OG0002132	genemark-NC_012863.1-processed-gene-6.9-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.9&CDS=1-1539	YMR171C
OG0002133	genemark-NC_012863.1-processed-gene-6.11-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.11&CDS=1-1917	YCR088W
OG0002134	genemark-NC_012863.1-processed-gene-6.31-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.31&CDS=1-324	YLL014W
OG0002135	genemark-NC_012863.1-processed-gene-6.13-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.13&CDS=1-1221	YGR185C
OG0002136	genemark-NC_012863.1-processed-gene-6.14-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.14&CDS=1-2688	YOR211C
OG0002137	genemark-NC_012863.1-processed-gene-6.35-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.35&CDS=1-2514	YPL126W
OG0002138	snap_masked-NC_012863.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-6.55&CDS=1-216	YOR210W
OG0002139	genemark-NC_012863.1-processed-gene-6.17-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.17&CDS=1-804	YOR194C
OG0002140	genemark-NC_012863.1-processed-gene-6.19-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.19&CDS=1-5268	YMR162C
OG0002141	genemark-NC_012863.1-processed-gene-6.37-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.37&CDS=1-2697	YGR188C
OG0002142	genemark-NC_012863.1-processed-gene-6.20-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.20&CDS=1-1869	YHR188C
OG0002143	genemark-NC_012863.1-processed-gene-6.38-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.38&CDS=1-894	YHR187W
OG0002144	augustus_masked-NC_012863.1-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-6.104&CDS=1-3285	YMR288W
OG0002145	genemark-NC_012863.1-processed-gene-6.22-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.22&CDS=1-1020	YDR288W
OG0002146	genemark-NC_012863.1-processed-gene-6.23-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.23&CDS=1-2040	YHR042W
OG0002147	genemark-NC_012863.1-processed-gene-6.40-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.40&CDS=1-873	YHR067W
OG0002148	genemark-NC_012863.1-processed-gene-6.25-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.25&CDS=1-882	YHR088W
OG0002149	augustus_masked-NC_012863.1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-7.67&CDS=1-3735	YDR335W
OG0002150	augustus_masked-NC_012863.1-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-7.68&CDS=1-2649	YNL085W
OG0002151	genemark-NC_012863.1-processed-gene-7.5-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.5&CDS=1-1083	YDR315C
OG0002152	augustus_masked-NC_012863.1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-7.72&CDS=1-705	YDL212W
OG0002153	maker-NC_012863.1-snap-gene-7.97-mRNA-1_1&gene=maker-NC_012863.1-snap-gene-7.97&CDS=1-1095	YNL177C
OG0002154	genemark-NC_012863.1-processed-gene-7.8-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.8&CDS=1-789	YBL049W
OG0002155	genemark-NC_012863.1-processed-gene-7.20-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.20&CDS=1-2187	YNL186W
OG0002156	genemark-NC_012863.1-processed-gene-7.21-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.21&CDS=1-1794	YDL216C
OG0002157	genemark-NC_012863.1-processed-gene-7.22-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.22&CDS=1-1863	YHL024W
OG0002158	genemark-NC_012863.1-processed-gene-7.10-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.10&CDS=1-1911	YDR314C
OG0002159	genemark-NC_012863.1-processed-gene-7.26-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.26&CDS=1-2241	YLL005C
OG0002160	genemark-NC_012863.1-processed-gene-7.13-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.13&CDS=1-2520	YHR073W
OG0002161	genemark-NC_012863.1-processed-gene-7.29-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.29&CDS=1-2265	YGR261C
OG0002162	genemark-NC_012863.1-processed-gene-7.30-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.30&CDS=1-2976	YGR258C
OG0002163	genemark-NC_012863.1-processed-gene-8.4-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.4&CDS=1-1740	YBR293W
OG0002164	genemark-NC_012863.1-processed-gene-8.21-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.21&CDS=1-1341	YHR070W
OG0002165	genemark-NC_012863.1-processed-gene-8.5-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.5&CDS=1-906	YHR069C
OG0002166	genemark-NC_012863.1-processed-gene-8.22-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.22&CDS=1-1176	YGL143C
OG0002167	genemark-NC_012863.1-processed-gene-8.23-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.23&CDS=1-1323	YDR316W
OG0002168	genemark-NC_012863.1-processed-gene-8.8-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.8&CDS=1-1287	YDL097C
OG0002169	genemark-NC_012863.1-processed-gene-8.24-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.24&CDS=1-2451	YDL116W
OG0002170	genemark-NC_012863.1-processed-gene-8.9-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.9&CDS=1-2118	YDL113C
OG0002171	genemark-NC_012863.1-processed-gene-8.10-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.10&CDS=1-4233	YDL112W
OG0002172	genemark-NC_012863.1-processed-gene-8.26-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.26&CDS=1-912	YDL111C
OG0002173	genemark-NC_012863.1-processed-gene-8.27-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.27&CDS=1-1923	YDL089W
OG0002174	genemark-NC_012863.1-processed-gene-8.28-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.28&CDS=1-1716	YDL090C
OG0002175	genemark-NC_012863.1-processed-gene-8.14-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.14&CDS=1-1656	YDL091C
OG0002176	genemark-NC_012863.1-processed-gene-8.30-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.30&CDS=1-3531	YBR218C
OG0002177	genemark-NC_012863.1-processed-gene-8.18-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-8.18&CDS=1-954	YGL126W
OG0002178	genemark-NC_012863.1-processed-gene-9.0-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.0&CDS=1-2835	YIL140W
OG0002179	genemark-NC_012863.1-processed-gene-9.1-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.1&CDS=1-1137	YBR221C
OG0002180	genemark-NC_012863.1-processed-gene-9.5-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.5&CDS=1-597	YIL157C
OG0002181	genemark-NC_012863.1-processed-gene-9.2-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.2&CDS=1-2016	YDR311W
OG0002182	genemark-NC_012863.1-processed-gene-9.6-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.6&CDS=1-561	YAL059W
OG0002183	genemark-NC_012863.1-processed-gene-9.7-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.7&CDS=1-1716	YAL058W
OG0002184	genemark-NC_012863.1-processed-gene-9.32-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.32&CDS=1-438	YGL127C
OG0002185	genemark-NC_012863.1-processed-gene-9.13-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.13&CDS=1-1539	YLR004C
OG0002186	genemark-NC_012863.1-processed-gene-9.14-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.14&CDS=1-1722	YMR155W
OG0002187	genemark-NC_012863.1-processed-gene-9.34-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.34&CDS=1-2622	YBR179C
OG0002188	genemark-NC_012863.1-processed-gene-9.15-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.15&CDS=1-639	YIR032C
OG0002189	genemark-NC_012863.1-processed-gene-9.35-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.35&CDS=1-825	YFR043C
OG0002190	genemark-NC_012863.1-processed-gene-9.16-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.16&CDS=1-2679	YGL233W
OG0002191	genemark-NC_012863.1-processed-gene-9.17-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.17&CDS=1-828	YPL132W
OG0002192	genemark-NC_012863.1-processed-gene-9.38-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.38&CDS=1-531	YDL120W
OG0002193	genemark-NC_012863.1-processed-gene-9.39-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.39&CDS=1-2325	YNL054W
OG0002194	genemark-NC_012863.1-processed-gene-9.41-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.41&CDS=1-2067	YDR234W
OG0002195	genemark-NC_012863.1-processed-gene-9.24-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.24&CDS=1-609	YKL142W
OG0002196	genemark-NC_012863.1-processed-gene-9.25-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.25&CDS=1-798	YBR171W
OG0002197	genemark-NC_012863.1-processed-gene-10.36-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.36&CDS=1-2496	YGL180W
OG0002198	genemark-NC_012863.1-processed-gene-10.37-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.37&CDS=1-4206	YGL179C
OG0002199	snap_masked-NC_012863.1-processed-gene-10.3-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-10.3&CDS=1-711	YAL003W
OG0002200	genemark-NC_012863.1-processed-gene-10.56-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.56&CDS=1-750	YGR001C
OG0002201	snap_masked-NC_012863.1-processed-gene-10.4-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-10.4&CDS=1-4299	YAL001C
OG0002202	genemark-NC_012863.1-processed-gene-10.40-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.40&CDS=1-783	YGR280C
OG0002203	genemark-NC_012863.1-processed-gene-10.58-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.58&CDS=1-1014	YKR087C
OG0002204	genemark-NC_012863.1-processed-gene-10.41-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.41&CDS=1-843	YMR274C
OG0002205	genemark-NC_012863.1-processed-gene-10.43-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.43&CDS=1-1134	YMR272C
OG0002206	genemark-NC_012863.1-processed-gene-10.45-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.45&CDS=1-714	YOR077W
OG0002207	genemark-NC_012863.1-processed-gene-10.46-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.46&CDS=1-1620	YHR064C
OG0002208	genemark-NC_012863.1-processed-gene-10.47-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.47&CDS=1-1692	YOR070C
OG0002209	genemark-NC_012863.1-processed-gene-10.48-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.48&CDS=1-969	YKR080W
OG0002210	genemark-NC_012863.1-processed-gene-10.49-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.49&CDS=1-2205	YKR099W
OG0002211	genemark-NC_012863.1-processed-gene-10.50-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.50&CDS=1-1512	YMR135C
OG0002212	genemark-NC_012863.1-processed-gene-10.65-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.65&CDS=1-771	YMR134W
OG0002213	genemark-NC_012863.1-processed-gene-10.53-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.53&CDS=1-1062	YDR233C
OG0002214	genemark-NC_012863.1-processed-gene-10.67-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.67&CDS=1-945	YDL201W
OG0002215	genemark-NC_012863.1-processed-gene-10.68-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.68&CDS=1-771	YDL202W
OG0002216	genemark-NC_012863.1-processed-gene-10.54-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.54&CDS=1-1833	YMR239C
OG0002217	genemark-NC_012863.1-processed-gene-10.69-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-10.69&CDS=1-1539	YFL055W
OG0002218	genemark-NC_012863.1-processed-gene-11.43-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-11.43&CDS=1-2325	YCR077C
OG0002219	augustus_masked-NC_012863.1-processed-gene-11.1-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-11.1&CDS=1-318	YGL030W
