	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
OG0002003	YJL036W	augustus_masked-flattened_line_4-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.97&CDS=1-4116
OG0002004	YJL039C	augustus_masked-flattened_line_0-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.22&CDS=1-7575
OG0002005	YJL041W	augustus_masked-flattened_line_0-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.40&CDS=1-1782
OG0002006	YJL042W	snap_masked-flattened_line_0-processed-gene-8.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.145&CDS=1-3741
OG0002007	YJL044C	maker-flattened_line_0-snap-gene-8.102-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-8.102&CDS=1-1077
OG0002008	YJL046W	genemark-flattened_line_0-processed-gene-9.24-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.24&CDS=1-1395
OG0002009	YJL049W	genemark-flattened_line_20-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.70&CDS=1-1287
OG0002010	YJL050W	genemark-flattened_line_2-processed-gene-3.81-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.81&CDS=1-3195
OG0002011	YJL053W	snap_masked-flattened_line_58-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.116&CDS=1-873
OG0002012	YJL054W	genemark-flattened_line_34-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.101&CDS=1-1590
OG0002013	YJL055W	genemark-flattened_line_2-processed-gene-7.117-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.117&CDS=1-669
OG0002014	YJL057C	genemark-flattened_line_4-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.99&CDS=1-1599
OG0002015	YJL059W	genemark-flattened_line_62-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.114&CDS=1-1161
OG0002016	YJL060W	genemark-flattened_line_36-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.0&CDS=1-1335
OG0002017	YJL061W	snap_masked-flattened_line_36-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.115&CDS=1-2052
OG0002018	YJL062W	genemark-flattened_line_4-processed-gene-3.105-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.105&CDS=1-2391
OG0002019	YJL062W-A	genemark-flattened_line_4-processed-gene-3.139-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.139&CDS=1-258
OG0002020	YJL063C	genemark-flattened_line_26-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.17&CDS=1-642
OG0002021	YJL065C	genemark-flattened_line_4-processed-gene-4.105-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.105&CDS=1-798
OG0002022	YJL066C	genemark-flattened_line_38-processed-gene-0.182-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.182&CDS=1-735
OG0002023	YJL068C	maker-flattened_line_8-augustus-gene-4.1-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-4.1&CDS=1-1062
OG0002024	YJL069C	genemark-flattened_line_4-processed-gene-4.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.98&CDS=1-1599
OG0002025	YJL071W	genemark-flattened_line_0-processed-gene-9.49-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.49&CDS=1-1563
OG0002026	YJL072C	genemark-flattened_line_0-processed-gene-9.25-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.25&CDS=1-471
OG0002027	YJL074C	genemark-flattened_line_4-processed-gene-1.38-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.38&CDS=1-3600
OG0002028	YJL080C	genemark-flattened_line_14-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.88&CDS=1-3540
OG0002029	YJL081C	snap_masked-flattened_line_16-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.46&CDS=1-1485
OG0002030	YJL084C	genemark-flattened_line_66-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.81&CDS=1-3138
OG0002031	YJL085W	genemark-flattened_line_66-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.82&CDS=1-1827
OG0002032	YJL087C	genemark-flattened_line_66-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.86&CDS=1-2478
OG0002033	YJL088W	genemark-flattened_line_66-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.66&CDS=1-996
OG0002034	YJL089W	augustus_masked-flattened_line_50-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.208&CDS=1-1938
OG0002035	YJL090C	snap_masked-flattened_line_50-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.15&CDS=1-2097
OG0002036	YJL091C	genemark-flattened_line_20-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.47&CDS=1-1485
OG0002037	YJL092W	genemark-flattened_line_20-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.48&CDS=1-2532
OG0002038	YJL093C	genemark-flattened_line_20-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.49&CDS=1-1842
OG0002039	YJL094C	genemark-flattened_line_4-processed-gene-3.107-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.107&CDS=1-2190
OG0002040	YJL095W	augustus_masked-flattened_line_20-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.30&CDS=1-3486
OG0002041	YJL096W	genemark-flattened_line_20-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.72&CDS=1-525
OG0002042	YJL097W	genemark-flattened_line_20-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.50&CDS=1-699
OG0002043	YJL100W	genemark-flattened_line_0-processed-gene-7.109-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.109&CDS=1-2004
OG0002044	YJL101C	genemark-flattened_line_0-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.17&CDS=1-2031
OG0002045	YJL102W	genemark-flattened_line_30-processed-gene-1.289-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.289&CDS=1-2328
OG0002046	YJL104W	genemark-flattened_line_34-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.125&CDS=1-414
OG0002047	YJL106W	augustus_masked-flattened_line_34-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.198&CDS=1-2136
OG0002048	YJL108C	augustus_masked-flattened_line_34-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.231&CDS=1-2964
OG0002049	YJL111W	genemark-flattened_line_0-processed-gene-4.69-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.69&CDS=1-1650
OG0002050	YJL112W	genemark-flattened_line_0-processed-gene-4.54-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.54&CDS=1-1968
OG0002051	YJL115W	genemark-flattened_line_62-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.88&CDS=1-774
OG0002052	YJL117W	genemark-flattened_line_16-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.94&CDS=1-930
OG0002053	YJL121C	genemark-flattened_line_0-processed-gene-7.146-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.146&CDS=1-708
OG0002054	YJL122W	genemark-flattened_line_0-processed-gene-7.123-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.123&CDS=1-489
OG0002055	YJL123C	genemark-flattened_line_16-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.70&CDS=1-1302
OG0002056	YJL124C	genemark-flattened_line_16-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.77&CDS=1-507
OG0002057	YJL125C	genemark-flattened_line_16-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.53&CDS=1-1092
OG0002058	YJL126W	genemark-flattened_line_16-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.66&CDS=1-900
OG0002059	YJL127C	genemark-flattened_line_16-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.86&CDS=1-1803
OG0002060	YJL127C-B	snap_masked-flattened_line_8-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.17&CDS=1-204
OG0002061	YJL128C	genemark-flattened_line_16-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.63&CDS=1-1998
OG0002062	YJL130C	augustus_masked-flattened_line_16-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.104&CDS=1-6639
OG0002063	YJL131C	augustus_masked-flattened_line_8-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.111&CDS=1-1179
OG0002064	YJL132W	genemark-flattened_line_8-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.55&CDS=1-2268
OG0002065	YJL139C	genemark-flattened_line_24-processed-gene-2.174-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.174&CDS=1-1257
OG0002066	YJL140W	genemark-flattened_line_24-processed-gene-2.138-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.138&CDS=1-615
OG0002067	YJL141C	genemark-flattened_line_24-processed-gene-2.173-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.173&CDS=1-2190
OG0002068	YJL143W	genemark-flattened_line_24-processed-gene-2.172-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.172&CDS=1-471
OG0002069	YJL145W	genemark-flattened_line_22-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.65&CDS=1-876
OG0002070	YJL149W	genemark-flattened_line_16-processed-gene-1.65-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.65&CDS=1-1605
OG0002071	YJL153C	genemark-flattened_line_0-processed-gene-7.108-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.108&CDS=1-1614
OG0002072	YJL154C	genemark-flattened_line_18-processed-gene-3.35-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.35&CDS=1-2418
OG0002073	YJL155C	genemark-flattened_line_18-processed-gene-3.39-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.39&CDS=1-1356
OG0002074	YJL156C	genemark-flattened_line_18-processed-gene-3.40-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.40&CDS=1-2157
OG0002075	YJL157C	snap_masked-flattened_line_34-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.144&CDS=1-2601
OG0002076	YJL158C	genemark-flattened_line_26-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.48&CDS=1-876
OG0002077	YJL163C	genemark-flattened_line_22-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.62&CDS=1-1707
OG0002078	YJL166W	augustus_masked-flattened_line_58-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.82&CDS=1-285
OG0002079	YJL167W	genemark-flattened_line_58-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.19&CDS=1-1056
OG0002080	YJL168C	genemark-flattened_line_12-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.48&CDS=1-2433
OG0002081	YJL171C	snap_masked-flattened_line_12-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.143&CDS=1-1212
OG0002082	YJL176C	genemark-flattened_line_4-processed-gene-7.172-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.172&CDS=1-1692
OG0002083	YJL178C	genemark-flattened_line_4-processed-gene-7.170-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.170&CDS=1-609
OG0002084	YJL179W	genemark-flattened_line_4-processed-gene-7.125-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.125&CDS=1-357
OG0002085	YJL180C	genemark-flattened_line_4-processed-gene-7.169-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.169&CDS=1-909
OG0002086	YJL183W	genemark-flattened_line_4-processed-gene-7.167-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.167&CDS=1-1227
OG0002087	YJL184W	genemark-flattened_line_4-processed-gene-7.168-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.168&CDS=1-366
OG0002088	YJL187C	genemark-flattened_line_84-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.10&CDS=1-2511
OG0002089	YJL189W	genemark-flattened_line_84-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.3&CDS=1-165
OG0002090	YJL193W	maker-flattened_line_84-augustus-gene-0.30-mRNA-1_1&gene=maker-flattened_line_84-augustus-gene-0.30&CDS=1-2028
OG0002091	YJL194W	genemark-flattened_line_24-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.62&CDS=1-1947
OG0002092	YJL197W	genemark-flattened_line_0-processed-gene-3.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.98&CDS=1-3669
OG0002093	YJL200C	genemark-flattened_line_0-processed-gene-9.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.41&CDS=1-2379
OG0002094	YJL201W	genemark-flattened_line_0-processed-gene-9.18-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.18&CDS=1-1590
OG0002095	YJL204C	genemark-flattened_line_4-processed-gene-5.107-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.107&CDS=1-2313
OG0002096	YJL205C	genemark-flattened_line_12-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.106&CDS=1-174
OG0002097	YJL207C	genemark-flattened_line_12-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.131&CDS=1-5829
OG0002098	YJL208C	genemark-flattened_line_12-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.130&CDS=1-966
OG0002099	YJL210W	genemark-flattened_line_12-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.114&CDS=1-1125
OG0002100	YJL218W	genemark-flattened_line_100-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.2&CDS=1-573
OG0002101	YJR001W	genemark-flattened_line_38-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.161&CDS=1-1683
OG0002102	YJR002W	genemark-flattened_line_38-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.162&CDS=1-1770
OG0002103	YJR003C	augustus_masked-flattened_line_38-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.94&CDS=1-1590
OG0002104	YJR004C	augustus_masked-flattened_line_38-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.125&CDS=1-2103
OG0002105	YJR005W	genemark-flattened_line_40-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.118&CDS=1-2025
OG0002106	YJR006W	augustus_masked-flattened_line_4-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.92&CDS=1-1416
OG0002107	YJR007W	genemark-flattened_line_70-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.24&CDS=1-909
OG0002108	YJR008W	genemark-flattened_line_40-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.123&CDS=1-954
OG0002109	YJR010W	genemark-flattened_line_38-processed-gene-0.197-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.197&CDS=1-1527
OG0002110	YJR013W	genemark-flattened_line_34-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.55&CDS=1-1167
OG0002111	YJR014W	genemark-flattened_line_34-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.86&CDS=1-579
OG0002112	YJR016C	genemark-flattened_line_0-processed-gene-5.38-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.38&CDS=1-1764
OG0002113	YJR017C	maker-flattened_line_42-augustus-gene-0.201-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.201&CDS=1-504
OG0002114	YJR019C	genemark-flattened_line_42-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.43&CDS=1-984
OG0002115	YJR022W	genemark-flattened_line_18-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.138&CDS=1-294
OG0002116	YJR024C	genemark-flattened_line_18-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.113&CDS=1-762
OG0002117	YJR025C	genemark-flattened_line_50-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.92&CDS=1-510
OG0002118	YJR032W	augustus_masked-flattened_line_118-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.3&CDS=1-1032
OG0002119	YJR033C	genemark-flattened_line_74-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.62&CDS=1-3927
OG0002120	YJR034W	genemark-flattened_line_74-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.47&CDS=1-324
OG0002121	YJR035W	genemark-flattened_line_74-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.48&CDS=1-3075
OG0002122	YJR036C	genemark-flattened_line_12-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.125&CDS=1-2586
OG0002123	YJR040W	genemark-flattened_line_12-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.122&CDS=1-2370
OG0002124	YJR041C	snap_masked-flattened_line_12-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.30&CDS=1-3492
OG0002125	YJR042W	genemark-flattened_line_12-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.123&CDS=1-2361
OG0002126	YJR044C	genemark-flattened_line_20-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.54&CDS=1-393
OG0002127	YJR045C	genemark-flattened_line_20-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.53&CDS=1-1938
OG0002128	YJR050W	genemark-flattened_line_2-processed-gene-1.35-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.35&CDS=1-831
OG0002129	YJR052W	genemark-flattened_line_4-processed-gene-5.102-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.102&CDS=1-1788
OG0002130	YJR056C	snap_masked-flattened_line_4-processed-gene-3.19-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.19&CDS=1-630
OG0002131	YJR057W	genemark-flattened_line_12-processed-gene-1.148-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.148&CDS=1-615
OG0002132	YJR058C	genemark-flattened_line_12-processed-gene-1.128-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.128&CDS=1-432
OG0002133	YJR060W	genemark-flattened_line_4-processed-gene-5.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.98&CDS=1-711
OG0002134	YJR062C	genemark-flattened_line_4-processed-gene-5.119-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.119&CDS=1-1053
OG0002135	YJR063W	genemark-flattened_line_4-processed-gene-3.122-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.122&CDS=1-369
OG0002136	YJR064W	genemark-flattened_line_4-processed-gene-3.104-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.104&CDS=1-1644
OG0002137	YJR065C	snap_masked-flattened_line_4-processed-gene-3.32-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.32&CDS=1-1290
OG0002138	YJR068W	maker-flattened_line_4-augustus-gene-3.146-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.146&CDS=1-2073
OG0002139	YJR069C	genemark-flattened_line_72-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.81&CDS=1-585
OG0002140	YJR070C	genemark-flattened_line_4-processed-gene-3.103-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.103&CDS=1-942
OG0002141	YJR072C	maker-flattened_line_4-augustus-gene-3.142-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.142&CDS=1-1932
OG0002142	YJR073C	genemark-flattened_line_4-processed-gene-3.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.127&CDS=1-633
OG0002143	YJR074W	genemark-flattened_line_4-processed-gene-3.112-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.112&CDS=1-642
OG0002144	YJR076C	genemark-flattened_line_22-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.104&CDS=1-1188
OG0002145	YJR077C	genemark-flattened_line_22-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.109&CDS=1-903
OG0002146	YJR078W	genemark-flattened_line_22-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.76&CDS=1-1425
OG0002147	YJR080C	snap_masked-flattened_line_22-processed-gene-2.161-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.161&CDS=1-939
OG0002148	YJR082C	genemark-flattened_line_22-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.77&CDS=1-369
OG0002149	YJR084W	genemark-flattened_line_6-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.109&CDS=1-1263
OG0002150	YJR085C	genemark-flattened_line_6-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.82&CDS=1-321
OG0002151	YJR088C	genemark-flattened_line_6-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.80&CDS=1-888
OG0002152	YJR089W	snap_masked-flattened_line_30-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.10&CDS=1-2022
OG0002153	YJR090C	genemark-flattened_line_30-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.133&CDS=1-2076
OG0002154	YJR092W	genemark-flattened_line_30-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.110&CDS=1-4641
OG0002155	YJR093C	genemark-flattened_line_30-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.135&CDS=1-921
OG0002156	YJR095W	genemark-flattened_line_30-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.112&CDS=1-969
OG0002157	YJR096W	genemark-flattened_line_24-processed-gene-2.161-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.161&CDS=1-849
OG0002158	YJR097W	augustus_masked-flattened_line_8-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.69&CDS=1-504
OG0002159	YJR098C	genemark-flattened_line_8-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.13&CDS=1-1698
OG0002160	YJR099W	genemark-flattened_line_24-processed-gene-2.194-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.194&CDS=1-687
OG0002161	YJR100C	genemark-flattened_line_18-processed-gene-2.70-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.70&CDS=1-873
OG0002162	YJR101W	genemark-flattened_line_18-processed-gene-2.93-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.93&CDS=1-702
OG0002163	YJR102C	augustus_masked-flattened_line_18-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.43&CDS=1-480
OG0002164	YJR104C	genemark-flattened_line_72-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.92&CDS=1-459
OG0002165	YJR105W	genemark-flattened_line_10-processed-gene-2.80-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.80&CDS=1-1038
OG0002166	YJR107W	augustus_masked-flattened_line_46-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.135&CDS=1-984
OG0002167	YJR109C	genemark-flattened_line_46-processed-gene-0.167-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.167&CDS=1-3486
OG0002168	YJR110W	genemark-flattened_line_8-processed-gene-4.40-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.40&CDS=1-1899
OG0002169	YJR111C	snap_masked-flattened_line_8-processed-gene-4.231-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.231&CDS=1-828
OG0002170	YJR112W	snap_masked-flattened_line_46-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.58&CDS=1-585
OG0002171	YJR112W-A	genemark-flattened_line_8-processed-gene-4.72-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.72&CDS=1-516
OG0002172	YJR113C	genemark-flattened_line_8-processed-gene-4.73-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.73&CDS=1-732
OG0002173	YJR115W	augustus_masked-flattened_line_20-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.104&CDS=1-759
OG0002174	YJR116W	genemark-flattened_line_10-processed-gene-2.57-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.57&CDS=1-765
OG0002175	YJR117W	genemark-flattened_line_10-processed-gene-2.58-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.58&CDS=1-1341
OG0002176	YJR118C	genemark-flattened_line_10-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.105&CDS=1-519
OG0002177	YJR119C	maker-flattened_line_10-augustus-gene-1.154-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.154&CDS=1-3084
OG0002178	YJR121W	genemark-flattened_line_10-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.88&CDS=1-1512
OG0002179	YJR122W	genemark-flattened_line_64-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.121&CDS=1-1281
OG0002180	YJR123W	genemark-flattened_line_0-processed-gene-9.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.26&CDS=1-696
OG0002181	YJR124C	genemark-flattened_line_18-processed-gene-3.62-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.62&CDS=1-1227
OG0002182	YJR125C	genemark-flattened_line_2-processed-gene-5.11-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.11&CDS=1-1218
