	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0001701	augustus_masked-sim-_s264-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.74&CDS=1-882	YHR209W
OG0001702	augustus_masked-sim-_s264-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.75&CDS=1-1071	YDR297W
OG0001703	genemark-sim-_s264-processed-gene-0.94-mRNA-1_1&gene=genemark-sim-_s264-processed-gene-0.94&CDS=1-567	YKR068C
OG0001704	augustus_masked-sim-_s264-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.57&CDS=1-519	YOR052C
OG0001705	maker-sim-_s264-snap-gene-0.5-mRNA-1_1&gene=maker-sim-_s264-snap-gene-0.5&CDS=1-1398	YOR051C
OG0001706	augustus_masked-sim-_s264-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.58&CDS=1-750	YJL065C
OG0001707	augustus_masked-sim-_s264-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.77&CDS=1-3300	YKL033W
OG0001708	genemark-sim-_s264-processed-gene-0.120-mRNA-1_1&gene=genemark-sim-_s264-processed-gene-0.120&CDS=1-1704	YOR037W
OG0001709	augustus_masked-sim-_s264-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.60&CDS=1-564	YMR150C
OG0001710	genemark-sim-_s264-processed-gene-0.121-mRNA-1_1&gene=genemark-sim-_s264-processed-gene-0.121&CDS=1-768	YMR149W
OG0001711	augustus_masked-sim-_s264-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.61&CDS=1-498	YJR118C
OG0001712	augustus_masked-sim-_s264-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.80&CDS=1-1722	YER022W
OG0001713	augustus_masked-sim-_s264-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.81&CDS=1-1440	YER021W
OG0001714	augustus_masked-sim-_s264-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.82&CDS=1-618	YFL038C
OG0001715	augustus_masked-sim-_s264-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.83&CDS=1-873	YJR116W
OG0001716	augustus_masked-sim-_s264-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.63&CDS=1-4101	YJR105W
OG0001717	snap_masked-sim-_s264-processed-gene-0.46-mRNA-1_1&gene=snap_masked-sim-_s264-processed-gene-0.46&CDS=1-4119	YOL057W
OG0001718	augustus_masked-sim-_s264-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.65&CDS=1-2001	YCR088W
OG0001719	genemark-sim-_s264-processed-gene-0.106-mRNA-1_1&gene=genemark-sim-_s264-processed-gene-0.106&CDS=1-1272	YMR171C
OG0001720	augustus_masked-sim-_s264-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-sim-_s264-processed-gene-0.87&CDS=1-3081	YPR026W
OG0001721	genemark-sim-_s264-processed-gene-0.108-mRNA-1_1&gene=genemark-sim-_s264-processed-gene-0.108&CDS=1-726	YGR189C
OG0001722	maker-sim-_s264-augustus-gene-0.2-mRNA-1_1&gene=maker-sim-_s264-augustus-gene-0.2&CDS=1-921	YGR282C
OG0001723	snap_masked-sim-_s264-processed-gene-0.50-mRNA-1_1&gene=snap_masked-sim-_s264-processed-gene-0.50&CDS=1-1047	YMR310C
OG0001724	augustus_masked-sim-_s265-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s265-processed-gene-0.22&CDS=1-3141	YGR094W
OG0001725	augustus_masked-sim-_s265-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s265-processed-gene-0.34&CDS=1-3627	YEL031W
OG0001726	augustus_masked-sim-_s265-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s265-processed-gene-0.35&CDS=1-1644	YGR091W
OG0001727	augustus_masked-sim-_s265-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s265-processed-gene-0.27&CDS=1-726	YGR095C
OG0001728	maker-sim-_s265-augustus-gene-0.55-mRNA-1_1&gene=maker-sim-_s265-augustus-gene-0.55&CDS=1-4452	YJR035W
OG0001729	augustus_masked-sim-_s265-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s265-processed-gene-0.33&CDS=1-1533	YKL043W
OG0001730	maker-sim-_s268-snap-gene-0.7-mRNA-1_1&gene=maker-sim-_s268-snap-gene-0.7&CDS=1-1455	YAR003W
OG0001731	maker-sim-_s27-augustus-gene-0.11-mRNA-1_1&gene=maker-sim-_s27-augustus-gene-0.11&CDS=1-1563	YML056C
OG0001732	genemark-sim-_s27-processed-gene-0.3-mRNA-1_1&gene=genemark-sim-_s27-processed-gene-0.3&CDS=1-480	YOR367W
OG0001733	augustus_masked-sim-_s27-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s27-processed-gene-0.27&CDS=1-858	YAL025C
OG0001734	augustus_masked-sim-_s27-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s27-processed-gene-0.29&CDS=1-645	YLR293C
OG0001735	augustus_masked-sim-_s270-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s270-processed-gene-0.1&CDS=1-1305	YLR380W
OG0001736	augustus_masked-sim-_s271-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s271-processed-gene-0.0&CDS=1-1287	YGR193C
OG0001737	augustus_masked-sim-_s272-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.85&CDS=1-1488	YFL022C
OG0001738	augustus_masked-sim-_s272-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.86&CDS=1-1452	YFL018C
OG0001739	augustus_masked-sim-_s272-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.88&CDS=1-2463	YPL227C
OG0001740	augustus_masked-sim-_s272-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.89&CDS=1-1233	YLR174W
OG0001741	augustus_masked-sim-_s272-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.90&CDS=1-972	YCL055W
OG0001742	genemark-sim-_s272-processed-gene-0.23-mRNA-1_1&gene=genemark-sim-_s272-processed-gene-0.23&CDS=1-246	YCL057C-A
OG0001743	augustus_masked-sim-_s272-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.73&CDS=1-3354	YHL007C
OG0001744	augustus_masked-sim-_s272-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.92&CDS=1-1611	YOR329C
OG0001745	augustus_masked-sim-_s272-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.74&CDS=1-1017	YDL144C
OG0001746	augustus_masked-sim-_s272-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.75&CDS=1-1992	YEL065W
OG0001747	maker-sim-_s272-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s272-augustus-gene-0.1&CDS=1-1812	YCR024C
OG0001748	genemark-sim-_s272-processed-gene-0.6-mRNA-1_1&gene=genemark-sim-_s272-processed-gene-0.6&CDS=1-918	YFR025C
OG0001749	augustus_masked-sim-_s272-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.97&CDS=1-2061	YHR020W
OG0001750	maker-sim-_s272-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s272-augustus-gene-0.0&CDS=1-3012	YHR018C
OG0001751	augustus_masked-sim-_s272-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.79&CDS=1-2046	YGR145W
OG0001752	augustus_masked-sim-_s272-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.98&CDS=1-696	YGL037C
OG0001753	augustus_masked-sim-_s272-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.99&CDS=1-1089	YGL038C
OG0001754	augustus_masked-sim-_s272-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.100&CDS=1-1857	YOR204W
OG0001755	genemark-sim-_s272-processed-gene-0.34-mRNA-1_1&gene=genemark-sim-_s272-processed-gene-0.34&CDS=1-1656	YEL042W
OG0001756	augustus_masked-sim-_s272-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.81&CDS=1-2664	YDR223W
OG0001757	snap_masked-sim-_s272-processed-gene-0.49-mRNA-1_1&gene=snap_masked-sim-_s272-processed-gene-0.49&CDS=1-2094	YDR217C
OG0001758	augustus_masked-sim-_s272-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sim-_s272-processed-gene-0.103&CDS=1-1434	YLR142W
OG0001759	augustus_masked-sim-_s276-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.46&CDS=1-1263	YOR368W
OG0001760	augustus_masked-sim-_s276-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.47&CDS=1-1047	YLR447C
OG0001761	augustus_masked-sim-_s276-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.33&CDS=1-1290	YML071C
OG0001762	snap_masked-sim-_s276-processed-gene-0.82-mRNA-1_1&gene=snap_masked-sim-_s276-processed-gene-0.82&CDS=1-3252	YOR191W
OG0001763	augustus_masked-sim-_s276-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.49&CDS=1-675	YLR292C
OG0001764	augustus_masked-sim-_s276-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.35&CDS=1-1191	YIL116W
OG0001765	augustus_masked-sim-_s276-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.36&CDS=1-741	YMR188C
OG0001766	snap_masked-sim-_s276-processed-gene-0.68-mRNA-1_1&gene=snap_masked-sim-_s276-processed-gene-0.68&CDS=1-2046	YJL093C
OG0001767	snap_masked-sim-_s276-processed-gene-0.69-mRNA-1_1&gene=snap_masked-sim-_s276-processed-gene-0.69&CDS=1-1380	YAL022C
OG0001768	augustus_masked-sim-_s276-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.39&CDS=1-1866	YKL191W
OG0001769	augustus_masked-sim-_s276-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.40&CDS=1-1047	YLR426W
OG0001770	augustus_masked-sim-_s276-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.50&CDS=1-498	YML055W
OG0001771	augustus_masked-sim-_s276-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.51&CDS=1-1656	YLR427W
OG0001772	augustus_masked-sim-_s276-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.44&CDS=1-675	YJL218W
OG0001773	augustus_masked-sim-_s276-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sim-_s276-processed-gene-0.45&CDS=1-918	YGL198W
OG0001774	genemark-sim-_s276-processed-gene-0.22-mRNA-1_1&gene=genemark-sim-_s276-processed-gene-0.22&CDS=1-1383	YML115C
OG0001775	genemark-sim-_s276-processed-gene-0.23-mRNA-1_1&gene=genemark-sim-_s276-processed-gene-0.23&CDS=1-1827	YMR278W
OG0001776	maker-sim-_s276-augustus-gene-0.29-mRNA-1_1&gene=maker-sim-_s276-augustus-gene-0.29&CDS=1-1434	YLL036C
OG0001777	maker-sim-_s276-snap-gene-0.60-mRNA-1_1&gene=maker-sim-_s276-snap-gene-0.60&CDS=1-1140	YLR414C
OG0001778	maker-sim-_s277-augustus-gene-0.20-mRNA-1_1&gene=maker-sim-_s277-augustus-gene-0.20&CDS=1-1161	YNL185C
OG0001779	augustus_masked-sim-_s277-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s277-processed-gene-0.11&CDS=1-4581	YMR189W
OG0001780	snap_masked-sim-_s279-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_s279-processed-gene-0.5&CDS=1-1980	YFL027C
OG0001781	augustus_masked-sim-_s279-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s279-processed-gene-0.3&CDS=1-1920	YLR055C
OG0001782	augustus_masked-sim-_s281-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s281-processed-gene-0.14&CDS=1-1878	YHL032C
OG0001783	augustus_masked-sim-_s281-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s281-processed-gene-0.15&CDS=1-1431	YDL103C
OG0001784	maker-sim-_s281-augustus-gene-0.27-mRNA-1_1&gene=maker-sim-_s281-augustus-gene-0.27&CDS=1-4938	YJR092W
OG0001785	augustus_masked-sim-_s282-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.0&CDS=1-2691	YPR160W
OG0001786	augustus_masked-sim-_s282-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.1&CDS=1-1845	YGL203C
OG0001787	augustus_masked-sim-_s282-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.2&CDS=1-711	YML025C
OG0001788	augustus_masked-sim-_s282-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.4&CDS=1-2772	YBR114W
OG0001789	genemark-sim-_s282-processed-gene-0.102-mRNA-1_1&gene=genemark-sim-_s282-processed-gene-0.102&CDS=1-4161	YBR115C
OG0001790	augustus_masked-sim-_s282-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.6&CDS=1-1737	YOR360C
OG0001791	augustus_masked-sim-_s282-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.7&CDS=1-1599	YOR359W
OG0001792	augustus_masked-sim-_s282-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.30&CDS=1-597	YKL196C
OG0001793	augustus_masked-sim-_s282-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.32&CDS=1-3528	YLR424W
OG0001794	augustus_masked-sim-_s282-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.9&CDS=1-1071	YLR418C
OG0001795	augustus_masked-sim-_s282-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.33&CDS=1-1404	YKL194C
OG0001796	augustus_masked-sim-_s282-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.35&CDS=1-1836	YHR194W
OG0001797	augustus_masked-sim-_s282-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.12&CDS=1-1686	YNR055C
OG0001798	augustus_masked-sim-_s282-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.13&CDS=1-318	YDL081C
OG0001799	augustus_masked-sim-_s282-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.38&CDS=1-1350	YFL037W
OG0001800	augustus_masked-sim-_s282-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.17&CDS=1-939	YLR026C
OG0001801	augustus_masked-sim-_s282-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.18&CDS=1-672	YLR025W
OG0001802	augustus_masked-sim-_s282-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.19&CDS=1-408	YDR462W
OG0001803	augustus_masked-sim-_s282-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.40&CDS=1-408	YJR082C
OG0001804	augustus_masked-sim-_s282-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.20&CDS=1-1317	YGR254W
OG0001805	augustus_masked-sim-_s282-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.41&CDS=1-1341	YLR231C
OG0001806	augustus_masked-sim-_s282-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.42&CDS=1-1236	YOL016C
OG0001807	augustus_masked-sim-_s282-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.22&CDS=1-1464	YGR019W
OG0001808	maker-sim-_s282-snap-gene-0.47-mRNA-1_1&gene=maker-sim-_s282-snap-gene-0.47&CDS=1-2472	YJL168C
OG0001809	augustus_masked-sim-_s282-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.25&CDS=1-990	YNL097C
OG0001810	augustus_masked-sim-_s282-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.26&CDS=1-744	YOR101W
OG0001811	genemark-sim-_s282-processed-gene-0.145-mRNA-1_1&gene=genemark-sim-_s282-processed-gene-0.145&CDS=1-837	YOR103C
OG0001812	augustus_masked-sim-_s282-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.27&CDS=1-615	YNL099C
OG0001813	augustus_masked-sim-_s282-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.29&CDS=1-483	YIR037W
OG0001814	augustus_masked-sim-_s283-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.33&CDS=1-426	YPR100W
OG0001815	augustus_masked-sim-_s283-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.34&CDS=1-1155	YLL057C
OG0001816	augustus_masked-sim-_s283-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.48&CDS=1-3963	YBL047C
OG0001817	augustus_masked-sim-_s283-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.35&CDS=1-555	YHR089C
OG0001818	augustus_masked-sim-_s283-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.49&CDS=1-1128	YDR336W
OG0001819	genemark-sim-_s283-processed-gene-0.65-mRNA-1_1&gene=genemark-sim-_s283-processed-gene-0.65&CDS=1-5922	YKR031C
OG0001820	augustus_masked-sim-_s283-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.51&CDS=1-1239	YDL006W
OG0001821	augustus_masked-sim-_s283-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.41&CDS=1-900	YKL094W
OG0001822	augustus_masked-sim-_s283-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.42&CDS=1-2109	YDR081C
OG0001823	augustus_masked-sim-_s283-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.52&CDS=1-294	YDR079W
OG0001824	augustus_masked-sim-_s283-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.43&CDS=1-702	YDR084C
OG0001825	genemark-sim-_s283-processed-gene-0.82-mRNA-1_1&gene=genemark-sim-_s283-processed-gene-0.82&CDS=1-6969	YDL101C
OG0001826	augustus_masked-sim-_s283-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.44&CDS=1-1578	YJL014W
OG0001827	genemark-sim-_s283-processed-gene-0.72-mRNA-1_1&gene=genemark-sim-_s283-processed-gene-0.72&CDS=1-2904	YDL117W
OG0001828	genemark-sim-_s283-processed-gene-0.73-mRNA-1_1&gene=genemark-sim-_s283-processed-gene-0.73&CDS=1-948	YDL108W
OG0001829	augustus_masked-sim-_s283-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.46&CDS=1-2145	YJL012C
OG0001830	augustus_masked-sim-_s283-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.55&CDS=1-4788	YMR162C
OG0001831	augustus_masked-sim-_s283-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s283-processed-gene-0.57&CDS=1-1623	YJL013C
OG0001832	augustus_masked-sim-_s29-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s29-processed-gene-0.4&CDS=1-351	YJR034W
OG0001833	augustus_masked-sim-_s29-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s29-processed-gene-0.2&CDS=1-3627	YML049C
OG0001834	augustus_masked-sim-_s294-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.20&CDS=1-11010	YDR150W
OG0001835	augustus_masked-sim-_s294-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.14&CDS=1-828	YHR029C
OG0001836	augustus_masked-sim-_s294-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.15&CDS=1-912	YDL124W
OG0001837	snap_masked-sim-_s294-processed-gene-0.28-mRNA-1_1&gene=snap_masked-sim-_s294-processed-gene-0.28&CDS=1-2367	YGR199W
OG0001838	augustus_masked-sim-_s294-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.17&CDS=1-1122	YOR358W
OG0001839	genemark-sim-_s294-processed-gene-0.5-mRNA-1_1&gene=genemark-sim-_s294-processed-gene-0.5&CDS=1-627	YLR178C
OG0001840	augustus_masked-sim-_s294-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.22&CDS=1-429	YPR082C
OG0001841	genemark-sim-_s294-processed-gene-0.7-mRNA-1_1&gene=genemark-sim-_s294-processed-gene-0.7&CDS=1-1062	YLR420W
OG0001842	genemark-sim-_s294-processed-gene-0.8-mRNA-1_1&gene=genemark-sim-_s294-processed-gene-0.8&CDS=1-1569	YCR098C
OG0001843	augustus_masked-sim-_s296-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s296-processed-gene-0.10&CDS=1-1323	YGL194C
OG0001844	augustus_masked-sim-_s296-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s296-processed-gene-0.9&CDS=1-741	YGL011C
OG0001845	maker-sim-_s296-snap-gene-0.0-mRNA-1_1&gene=maker-sim-_s296-snap-gene-0.0&CDS=1-5574	YGL012W
OG0001846	augustus_masked-sim-_s296-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s296-processed-gene-0.12&CDS=1-2691	YGL008C
OG0001847	augustus_masked-sim-_s298-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.2&CDS=1-1626	YLR392C
OG0001848	augustus_masked-sim-_s298-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.24&CDS=1-615	YHR121W
OG0001849	maker-sim-_s298-augustus-gene-0.93-mRNA-1_1&gene=maker-sim-_s298-augustus-gene-0.93&CDS=1-2988	YNL127W
OG0001850	augustus_masked-sim-_s298-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.6&CDS=1-2262	YNL258C
OG0001851	augustus_masked-sim-_s298-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.26&CDS=1-219	YNL259C
OG0001852	augustus_masked-sim-_s298-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.27&CDS=1-858	YDR405W
OG0001853	augustus_masked-sim-_s298-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.8&CDS=1-3705	YOR151C
OG0001854	augustus_masked-sim-_s298-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.28&CDS=1-519	YOR150W
OG0001855	augustus_masked-sim-_s298-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.9&CDS=1-519	YDR404C
OG0001856	genemark-sim-_s298-processed-gene-0.128-mRNA-1_1&gene=genemark-sim-_s298-processed-gene-0.128&CDS=1-1812	YDR341C
OG0001857	genemark-sim-_s298-processed-gene-0.105-mRNA-1_1&gene=genemark-sim-_s298-processed-gene-0.105&CDS=1-558	YDR339C
OG0001858	genemark-sim-_s298-processed-gene-0.129-mRNA-1_1&gene=genemark-sim-_s298-processed-gene-0.129&CDS=1-576	YJR069C
OG0001859	genemark-sim-_s298-processed-gene-0.131-mRNA-1_1&gene=genemark-sim-_s298-processed-gene-0.131&CDS=1-909	YOR143C
OG0001860	augustus_masked-sim-_s298-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.32&CDS=1-495	YML030W
OG0001861	genemark-sim-_s298-processed-gene-0.133-mRNA-1_1&gene=genemark-sim-_s298-processed-gene-0.133&CDS=1-2250	YDR006C
OG0001862	augustus_masked-sim-_s298-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.16&CDS=1-1950	YOR140W
OG0001863	augustus_masked-sim-_s298-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.34&CDS=1-1338	YDR375C
OG0001864	augustus_masked-sim-_s298-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.17&CDS=1-6612	YCR011C
OG0001865	augustus_masked-sim-_s298-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.36&CDS=1-1128	YDR346C
OG0001866	augustus_masked-sim-_s298-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.18&CDS=1-4167	YOR141C
OG0001867	maker-sim-_s298-augustus-gene-0.92-mRNA-1_1&gene=maker-sim-_s298-augustus-gene-0.92&CDS=1-1476	YOR142W
OG0001868	augustus_masked-sim-_s298-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.20&CDS=1-618	YDR304C
OG0001869	augustus_masked-sim-_s298-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.37&CDS=1-813	YHR058C
OG0001870	snap_masked-sim-_s298-processed-gene-0.86-mRNA-1_1&gene=snap_masked-sim-_s298-processed-gene-0.86&CDS=1-531	YDR305C
OG0001871	augustus_masked-sim-_s298-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s298-processed-gene-0.21&CDS=1-2349	YBR080C
OG0001872	augustus_masked-sim-_s299-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s299-processed-gene-0.21&CDS=1-978	YBL033C
OG0001873	augustus_masked-sim-_s299-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s299-processed-gene-0.20&CDS=1-1281	YNL051W
OG0001874	genemark-sim-_s299-processed-gene-0.9-mRNA-1_1&gene=genemark-sim-_s299-processed-gene-0.9&CDS=1-2790	YNL049C
OG0001875	augustus_masked-sim-_s299-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s299-processed-gene-0.24&CDS=1-1506	YNL241C
OG0001876	maker-sim-_s30-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s30-augustus-gene-0.1&CDS=1-906	YGR096W
