	Saccharomyces_cerevisiae	yHMPu5000035243_Zygoascus_meyerae
OG0001067	YDR301W	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.80&CDS=1-4158
OG0001068	YDR305C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.124-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.124&CDS=1-531
OG0001069	YDR306C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.30&CDS=1-1353
OG0001070	YDR308C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.54&CDS=1-444
OG0001071	YDR311W	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.102&CDS=1-1710
OG0001072	YDR313C	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.56&CDS=1-534
OG0001073	YDR316W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.68&CDS=1-1050
OG0001074	YDR320C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.121&CDS=1-2316
OG0001075	YDR320C-A	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.55&CDS=1-219
OG0001076	YDR322W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-4.51-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-4.51&CDS=1-1065
OG0001077	YDR323C	maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.216-mRNA-1_1&gene=maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.216&CDS=1-1809
OG0001078	YDR324C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.4-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.4&CDS=1-2112
OG0001079	YDR325W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.3-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.3&CDS=1-2703
OG0001080	YDR328C	maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.66-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.66&CDS=1-474
OG0001081	YDR329C	maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.68-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.68&CDS=1-1371
OG0001082	YDR330W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.120-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.120&CDS=1-1497
OG0001083	YDR331W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.121-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.121&CDS=1-1161
OG0001084	YDR332W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.125-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.125&CDS=1-2037
OG0001085	YDR334W	maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-7.16-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-7.16&CDS=1-4590
OG0001086	YDR335W	maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.24-mRNA-1_1&gene=maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.24&CDS=1-3723
OG0001087	YDR337W	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.24&CDS=1-834
OG0001088	YDR339C	maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-6.109-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-6.109&CDS=1-564
OG0001089	YDR341C	augustus_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.86&CDS=1-2034
OG0001090	YDR346C	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.54&CDS=1-1149
OG0001091	YDR349C	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-9.35-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-9.35&CDS=1-1683
OG0001092	YDR353W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.67-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.67&CDS=1-957
OG0001093	YDR354W	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.300-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.300&CDS=1-1077
OG0001094	YDR359C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.196-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.196&CDS=1-3300
OG0001095	YDR361C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.195-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.195&CDS=1-891
OG0001096	YDR362C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.106&CDS=1-1857
OG0001097	YDR363W	augustus_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.11&CDS=1-1218
OG0001098	YDR363W-A	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.194-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.194&CDS=1-255
OG0001099	YDR364C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.296-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.296&CDS=1-1509
OG0001100	YDR365C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.129&CDS=1-1875
OG0001101	YDR367W	augustus_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-5.44&CDS=1-741
OG0001102	YDR371W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.111-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.111&CDS=1-1350
OG0001103	YDR372C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.19&CDS=1-1002
OG0001104	YDR373W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.35&CDS=1-570
OG0001105	YDR374C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.45&CDS=1-2103
OG0001106	YDR375C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.20&CDS=1-1377
OG0001107	YDR376W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.48&CDS=1-1455
OG0001108	YDR377W	snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-1.46&CDS=1-294
OG0001109	YDR378C	genemark-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.102&CDS=1-255
OG0001110	YDR379C-A	snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.45&CDS=1-237
OG0001111	YDR381W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.209-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.209&CDS=1-678
OG0001112	YDR386W	snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.116&CDS=1-1746
OG0001113	YDR388W	maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-4.9-mRNA-1_1&gene=maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-4.9&CDS=1-1461
OG0001114	YDR390C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.196-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.196&CDS=1-1812
OG0001115	YDR392W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.144-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.144&CDS=1-939
OG0001116	YDR393W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.149&CDS=1-849
OG0001117	YDR394W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.175-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.175&CDS=1-1260
OG0001118	YDR397C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.152-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.152&CDS=1-411
OG0001119	YDR398W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.177-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.177&CDS=1-2049
OG0001120	YDR400W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.143-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.143&CDS=1-996
OG0001121	YDR404C	maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-1.13-mRNA-1_1&gene=maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-1.13&CDS=1-516
OG0001122	YDR405W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.25&CDS=1-786
OG0001123	YDR407C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.239-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.239&CDS=1-3843
OG0001124	YDR408C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.194-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.194&CDS=1-633
OG0001125	YDR410C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.119-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.119&CDS=1-726
OG0001126	YDR411C	maker-NODE_11_length_435590_cov_18.4678_ID_1220-snap-gene-1.61-mRNA-1_1&gene=maker-NODE_11_length_435590_cov_18.4678_ID_1220-snap-gene-1.61&CDS=1-786
OG0001127	YDR412W	maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-1.142-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-1.142&CDS=1-690
OG0001128	YDR414C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.104&CDS=1-1182
OG0001129	YDR415C	maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-1.91-mRNA-1_1&gene=maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-1.91&CDS=1-3351
OG0001130	YDR416W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.54&CDS=1-2343
OG0001131	YDR419W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.119&CDS=1-1824
OG0001132	YDR421W	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-0.74&CDS=1-2040
OG0001133	YDR424C	maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-1.120-mRNA-1_1&gene=maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-1.120&CDS=1-288
OG0001134	YDR427W	maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.15&CDS=1-1152
OG0001135	YDR428C	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.78&CDS=1-894
OG0001136	YDR429C	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.79&CDS=1-822
OG0001137	YDR430C	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.33&CDS=1-3009
OG0001138	YDR432W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.32&CDS=1-948
OG0001139	YDR434W	maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-2.92-mRNA-1_1&gene=maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-2.92&CDS=1-1443
OG0001140	YDR435C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.28&CDS=1-1017
OG0001141	YDR440W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.236-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.236&CDS=1-1422
OG0001142	YDR448W	genemark-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.154-mRNA-1_1&gene=genemark-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.154&CDS=1-1389
OG0001143	YDR449C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.35&CDS=1-1143
OG0001144	YDR454C	maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-5.2-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-5.2&CDS=1-564
OG0001145	YDR456W	maker-NODE_13_length_418862_cov_18.7454_ID_1788-snap-gene-2.2-mRNA-1_1&gene=maker-NODE_13_length_418862_cov_18.7454_ID_1788-snap-gene-2.2&CDS=1-1803
OG0001146	YDR459C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.179-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.179&CDS=1-582
OG0001147	YDR460W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.97&CDS=1-1047
OG0001148	YDR462W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.99&CDS=1-510
OG0001149	YDR465C	maker-NODE_7_length_674142_cov_18.8803_ID_1132-augustus-gene-1.22-mRNA-1_1&gene=maker-NODE_7_length_674142_cov_18.8803_ID_1132-augustus-gene-1.22&CDS=1-2574
OG0001150	YDR468C	snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.101&CDS=1-663
OG0001151	YDR469W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.116&CDS=1-327
OG0001152	YDR470C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-2.90&CDS=1-1317
OG0001153	YDR472W	snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.190-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.190&CDS=1-726
OG0001154	YDR473C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.79&CDS=1-1590
OG0001155	YDR476C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.157-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-3.157&CDS=1-660
OG0001156	YDR479C	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.109&CDS=1-1545
OG0001157	YDR481C	augustus_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.54&CDS=1-1632
OG0001158	YDR482C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.115-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.115&CDS=1-957
OG0001159	YDR484W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.37&CDS=1-1722
OG0001160	YDR486C	maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-2.71-mRNA-1_1&gene=maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-2.71&CDS=1-642
OG0001161	YDR487C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.27&CDS=1-624
OG0001162	YDR489W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.56-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.56&CDS=1-693
OG0001163	YDR490C	maker-NODE_25_length_117720_cov_23.487_ID_2525-snap-gene-0.91-mRNA-1_1&gene=maker-NODE_25_length_117720_cov_23.487_ID_2525-snap-gene-0.91&CDS=1-2373
OG0001164	YDR493W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.66-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.66&CDS=1-372
OG0001165	YDR495C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.110&CDS=1-2925
OG0001166	YDR496C	snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.97&CDS=1-1962
OG0001167	YDR498C	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.53&CDS=1-1008
OG0001168	YDR510W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-1.106&CDS=1-288
OG0001169	YDR511W	genemark-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.77-mRNA-1_1&gene=genemark-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.77&CDS=1-420
OG0001170	YDR512C	augustus_masked-NODE_31_length_10134_cov_18.6489_ID_2858-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_31_length_10134_cov_18.6489_ID_2858-processed-gene-0.6&CDS=1-2310
OG0001171	YDR517W	snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.123&CDS=1-1104
OG0001172	YDR520C	genemark-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.185-mRNA-1_1&gene=genemark-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.185&CDS=1-1797
OG0001173	YDR527W	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.92&CDS=1-1233
OG0001174	YDR529C	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.116&CDS=1-393
OG0001175	YDR531W	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.114&CDS=1-1278
OG0001176	YDR536W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.55&CDS=1-1659
OG0001177	YEL001C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.32&CDS=1-681
OG0001178	YEL002C	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.38&CDS=1-1299
OG0001179	YEL003W	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.5&CDS=1-369
OG0001180	YEL004W	augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.141&CDS=1-1116
OG0001181	YEL009C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-5.25&CDS=1-819
OG0001182	YEL011W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.57-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.57&CDS=1-2058
OG0001183	YEL012W	maker-NODE_20_length_182353_cov_19.2443_ID_1960-augustus-gene-0.11-mRNA-1_1&gene=maker-NODE_20_length_182353_cov_19.2443_ID_1960-augustus-gene-0.11&CDS=1-549
OG0001184	YEL013W	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.120&CDS=1-1683
OG0001185	YEL015W	augustus_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.43&CDS=1-1704
OG0001186	YEL019C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.91-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.91&CDS=1-837
OG0001187	YEL020C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.46&CDS=1-1683
OG0001188	YEL020W-A	maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-6.21-mRNA-1_1&gene=maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-6.21&CDS=1-267
OG0001189	YEL021W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.94&CDS=1-789
