	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0001406	genemark-cer-_s223-processed-gene-0.68-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.68&CDS=1-516	YMR071C
OG0001407	genemark-cer-_s223-processed-gene-0.70-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.70&CDS=1-2181	YLR047C
OG0001408	genemark-cer-_s223-processed-gene-0.112-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.112&CDS=1-1353	YPL083C
OG0001409	genemark-cer-_s223-processed-gene-0.77-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.77&CDS=1-936	YOL093W
OG0001410	genemark-cer-_s223-processed-gene-0.114-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.114&CDS=1-1983	YKL179C
OG0001411	genemark-cer-_s223-processed-gene-0.115-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.115&CDS=1-567	YBR189W
OG0001412	augustus_masked-cer-_s223-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-cer-_s223-processed-gene-0.17&CDS=1-4116	YLR143W
OG0001413	genemark-cer-_s223-processed-gene-0.116-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.116&CDS=1-2763	YLR382C
OG0001414	genemark-cer-_s223-processed-gene-0.118-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.118&CDS=1-1155	YGL213C
OG0001415	genemark-cer-_s223-processed-gene-0.119-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.119&CDS=1-1494	YLR116W
OG0001416	augustus_masked-cer-_s223-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-cer-_s223-processed-gene-0.22&CDS=1-1146	YBR057C
OG0001417	genemark-cer-_s223-processed-gene-0.121-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.121&CDS=1-1638	YNL275W
OG0001418	augustus_masked-cer-_s223-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-cer-_s223-processed-gene-0.25&CDS=1-321	YGL030W
OG0001419	genemark-cer-_s223-processed-gene-0.90-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.90&CDS=1-1119	YKR038C
OG0001420	snap_masked-cer-_s226-processed-gene-0.28-mRNA-1_1&gene=snap_masked-cer-_s226-processed-gene-0.28&CDS=1-2064	YCL057W
OG0001421	genemark-cer-_s226-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s226-processed-gene-0.9&CDS=1-1962	YBR121C
OG0001422	genemark-cer-_s226-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s226-processed-gene-0.11&CDS=1-1860	YHR078W
OG0001423	genemark-cer-_s226-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s226-processed-gene-0.2&CDS=1-705	YDR296W
OG0001424	genemark-cer-_s226-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s226-processed-gene-0.4&CDS=1-1335	YKL145W
OG0001425	genemark-cer-_s226-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s226-processed-gene-0.12&CDS=1-588	YKL144C
OG0001426	snap_masked-cer-_s227-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s227-processed-gene-0.12&CDS=1-2253	YNL247W
OG0001427	genemark-cer-_s227-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s227-processed-gene-0.28&CDS=1-570	YLR066W
OG0001428	snap_masked-cer-_s227-processed-gene-0.21-mRNA-1_1&gene=snap_masked-cer-_s227-processed-gene-0.21&CDS=1-837	YGL161C
OG0001429	maker-cer-_s227-snap-gene-0.39-mRNA-1_1&gene=maker-cer-_s227-snap-gene-0.39&CDS=1-5850	YNL271C
OG0001430	genemark-cer-_s227-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s227-processed-gene-0.37&CDS=1-2226	YNL272C
OG0001431	augustus_masked-cer-_s231-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-cer-_s231-processed-gene-0.24&CDS=1-816	YIL106W
OG0001432	genemark-cer-_s231-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s231-processed-gene-0.44&CDS=1-900	YLL027W
OG0001433	augustus_masked-cer-_s231-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-cer-_s231-processed-gene-0.23&CDS=1-3012	YGL016W
OG0001434	genemark-cer-_s231-processed-gene-0.47-mRNA-1_1&gene=genemark-cer-_s231-processed-gene-0.47&CDS=1-1848	YAR007C
OG0001435	genemark-cer-_s231-processed-gene-0.48-mRNA-1_1&gene=genemark-cer-_s231-processed-gene-0.48&CDS=1-1203	YGL184C
OG0001436	genemark-cer-_s233-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s233-processed-gene-0.19&CDS=1-1782	YDR266C
OG0001437	genemark-cer-_s233-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s233-processed-gene-0.15&CDS=1-627	YHR100C
OG0001438	snap_masked-cer-_s235-processed-gene-0.20-mRNA-1_1&gene=snap_masked-cer-_s235-processed-gene-0.20&CDS=1-1458	YNL051W
OG0001439	genemark-cer-_s236-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s236-processed-gene-0.1&CDS=1-846	YGR158C
OG0001440	genemark-cer-_s236-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s236-processed-gene-0.8&CDS=1-2592	YGR157W
OG0001441	genemark-cer-_s237-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s237-processed-gene-0.16&CDS=1-1311	YHR009C
OG0001442	augustus_masked-cer-_s237-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-cer-_s237-processed-gene-0.10&CDS=1-501	YHR175W
OG0001443	genemark-cer-_s237-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s237-processed-gene-0.18&CDS=1-1356	YDR449C
OG0001444	genemark-cer-_s238-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.9&CDS=1-3138	YIR002C
OG0001445	genemark-cer-_s238-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.10&CDS=1-543	YER007C-A
OG0001446	snap_masked-cer-_s238-processed-gene-0.86-mRNA-1_1&gene=snap_masked-cer-_s238-processed-gene-0.86&CDS=1-1488	YER007W
OG0001447	genemark-cer-_s238-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.34&CDS=1-1533	YER006W
OG0001448	genemark-cer-_s238-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.36&CDS=1-1932	YER005W
OG0001449	genemark-cer-_s238-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.37&CDS=1-630	YAL003W
OG0001450	genemark-cer-_s238-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.38&CDS=1-714	YGR001C
OG0001451	genemark-cer-_s238-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.12&CDS=1-3660	YAL001C
OG0001452	genemark-cer-_s238-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.13&CDS=1-774	YGR280C
OG0001453	genemark-cer-_s238-processed-gene-0.40-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.40&CDS=1-1050	YGL001C
OG0001454	augustus_masked-cer-_s238-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-cer-_s238-processed-gene-0.151&CDS=1-2460	YAR002W
OG0001455	genemark-cer-_s238-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.42&CDS=1-1710	YGR002C
OG0001456	genemark-cer-_s238-processed-gene-0.43-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.43&CDS=1-1473	YEL052W
OG0001457	genemark-cer-_s238-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.44&CDS=1-2244	YPR185W
OG0001458	genemark-cer-_s238-processed-gene-0.45-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.45&CDS=1-4170	YPR189W
OG0001459	genemark-cer-_s238-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.16&CDS=1-1803	YPR190C
OG0001460	genemark-cer-_s238-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.19&CDS=1-1542	YNR052C
OG0001461	maker-cer-_s238-snap-gene-0.3-mRNA-1_1&gene=maker-cer-_s238-snap-gene-0.3&CDS=1-1653	YNR053C
OG0001462	genemark-cer-_s238-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.20&CDS=1-2808	YPR097W
OG0001463	genemark-cer-_s238-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.22&CDS=1-1842	YLR023C
OG0001464	genemark-cer-_s238-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.23&CDS=1-1677	YDR536W
OG0001465	genemark-cer-_s238-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.25&CDS=1-1251	YGR111W
OG0001466	genemark-cer-_s238-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.26&CDS=1-390	YNL153C
OG0001467	genemark-cer-_s238-processed-gene-0.49-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.49&CDS=1-1386	YGL130W
OG0001468	genemark-cer-_s238-processed-gene-0.50-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.50&CDS=1-4671	YGL131C
OG0001469	genemark-cer-_s238-processed-gene-0.51-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.51&CDS=1-690	YPL213W
OG0001470	genemark-cer-_s238-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.53&CDS=1-1521	YNL142W
OG0001471	genemark-cer-_s238-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.27&CDS=1-2571	YCR030C
OG0001472	augustus_masked-cer-_s238-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-cer-_s238-processed-gene-0.165&CDS=1-1689	YLL035W
OG0001473	genemark-cer-_s238-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.28&CDS=1-1461	YDR402C
OG0001474	genemark-cer-_s238-processed-gene-0.29-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.29&CDS=1-1431	YBR180W
OG0001475	genemark-cer-_s238-processed-gene-0.57-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.57&CDS=1-1656	YIL166C
OG0001476	genemark-cer-_s244-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s244-processed-gene-0.13&CDS=1-2337	YLR304C
OG0001477	maker-cer-_s244-augustus-gene-0.1-mRNA-1_1&gene=maker-cer-_s244-augustus-gene-0.1&CDS=1-1941	YPR069C
OG0001478	genemark-cer-_s244-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s244-processed-gene-0.15&CDS=1-2100	YMR186W
OG0001479	genemark-cer-_s245-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s245-processed-gene-0.20&CDS=1-1863	YML042W
OG0001480	snap_masked-cer-_s245-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s245-processed-gene-0.1&CDS=1-3618	YPR049C
OG0001481	snap_masked-cer-_s246-processed-gene-0.31-mRNA-1_1&gene=snap_masked-cer-_s246-processed-gene-0.31&CDS=1-6225	YJL005W
OG0001482	genemark-cer-_s246-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s246-processed-gene-0.15&CDS=1-1107	YPR035W
OG0001483	snap_masked-cer-_s246-processed-gene-0.35-mRNA-1_1&gene=snap_masked-cer-_s246-processed-gene-0.35&CDS=1-1548	YIL090W
OG0001484	genemark-cer-_s247-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s247-processed-gene-0.14&CDS=1-1719	YHR166C
OG0001485	genemark-cer-_s247-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s247-processed-gene-0.18&CDS=1-1692	YMR296C
OG0001486	augustus_masked-cer-_s249-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-cer-_s249-processed-gene-0.49&CDS=1-207	YDR377W
OG0001487	snap_masked-cer-_s249-processed-gene-0.32-mRNA-1_1&gene=snap_masked-cer-_s249-processed-gene-0.32&CDS=1-231	YDR378C
OG0001488	snap_masked-cer-_s249-processed-gene-0.21-mRNA-1_1&gene=snap_masked-cer-_s249-processed-gene-0.21&CDS=1-1023	YNL080C
OG0001489	genemark-cer-_s249-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s249-processed-gene-0.6&CDS=1-366	YNL081C
OG0001490	snap_masked-cer-_s249-processed-gene-0.34-mRNA-1_1&gene=snap_masked-cer-_s249-processed-gene-0.34&CDS=1-1539	YDR299W
OG0001491	genemark-cer-_s249-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s249-processed-gene-0.16&CDS=1-465	YLR074C
OG0001492	maker-cer-_s249-augustus-gene-0.3-mRNA-1_1&gene=maker-cer-_s249-augustus-gene-0.3&CDS=1-1482	YLR075W
OG0001493	genemark-cer-_s249-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s249-processed-gene-0.17&CDS=1-1905	YLR077W
OG0001494	genemark-cer-_s249-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s249-processed-gene-0.10&CDS=1-609	YFL046W
OG0001495	genemark-cer-_s25-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s25-processed-gene-0.4&CDS=1-1320	YKL184W
OG0001496	genemark-cer-_s25-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s25-processed-gene-0.5&CDS=1-2232	YNR006W
OG0001497	maker-cer-_s250-snap-gene-0.2-mRNA-1_1&gene=maker-cer-_s250-snap-gene-0.2&CDS=1-468	YOR357C
OG0001498	genemark-cer-_s254-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s254-processed-gene-0.4&CDS=1-2787	YNL049C
OG0001499	genemark-cer-_s257-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s257-processed-gene-0.21&CDS=1-546	YGR082W
OG0001500	snap_masked-cer-_s257-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s257-processed-gene-0.2&CDS=1-1071	YJR139C
OG0001501	augustus_masked-cer-_s257-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-cer-_s257-processed-gene-0.16&CDS=1-4602	YJR138W
OG0001502	maker-cer-_s257-augustus-gene-0.0-mRNA-1_1&gene=maker-cer-_s257-augustus-gene-0.0&CDS=1-4410	YAL024C
OG0001503	genemark-cer-_s257-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s257-processed-gene-0.24&CDS=1-2919	YPR104C
OG0001504	genemark-cer-_s263-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s263-processed-gene-0.12&CDS=1-2964	YMR280C
OG0001505	genemark-cer-_s265-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s265-processed-gene-0.9&CDS=1-1488	YHR113W
OG0001506	genemark-cer-_s265-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s265-processed-gene-0.10&CDS=1-1587	YBL103C
OG0001507	genemark-cer-_s265-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s265-processed-gene-0.13&CDS=1-1566	YOR119C
OG0001508	snap_masked-cer-_s265-processed-gene-0.26-mRNA-1_1&gene=snap_masked-cer-_s265-processed-gene-0.26&CDS=1-675	YDR367W
OG0001509	genemark-cer-_s265-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s265-processed-gene-0.4&CDS=1-2118	YOR118W
OG0001510	snap_masked-cer-_s265-processed-gene-0.28-mRNA-1_1&gene=snap_masked-cer-_s265-processed-gene-0.28&CDS=1-2064	YDR365C
OG0001511	genemark-cer-_s267-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s267-processed-gene-0.26&CDS=1-711	YGR095C
OG0001512	snap_masked-cer-_s267-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s267-processed-gene-0.1&CDS=1-1644	YGR091W
OG0001513	genemark-cer-_s267-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s267-processed-gene-0.23&CDS=1-3141	YGR094W
OG0001514	genemark-cer-_s27-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.38&CDS=1-912	YER055C
OG0001515	genemark-cer-_s27-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.39&CDS=1-1386	YDL147W
OG0001516	genemark-cer-_s27-processed-gene-0.59-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.59&CDS=1-1365	YOL030W
OG0001517	genemark-cer-_s27-processed-gene-0.40-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.40&CDS=1-1332	YPL259C
OG0001518	genemark-cer-_s27-processed-gene-0.63-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.63&CDS=1-777	YBR088C
OG0001519	genemark-cer-_s27-processed-gene-0.64-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.64&CDS=1-1176	YBR095C
OG0001520	genemark-cer-_s27-processed-gene-0.65-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.65&CDS=1-606	YPR051W
OG0001521	genemark-cer-_s27-processed-gene-0.41-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.41&CDS=1-1074	YKL060C
OG0001522	genemark-cer-_s27-processed-gene-0.66-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.66&CDS=1-324	YBR091C
OG0001523	genemark-cer-_s27-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.42&CDS=1-2118	YBR094W
OG0001524	augustus_masked-cer-_s27-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-cer-_s27-processed-gene-0.6&CDS=1-2163	YKL054C
OG0001525	genemark-cer-_s27-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.44&CDS=1-1362	YMR027W
OG0001526	genemark-cer-_s27-processed-gene-0.67-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.67&CDS=1-363	YKL058W
OG0001527	genemark-cer-_s27-processed-gene-0.46-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.46&CDS=1-1143	YMR028W
OG0001528	genemark-cer-_s27-processed-gene-0.47-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.47&CDS=1-1329	YKL059C
OG0001529	genemark-cer-_s27-processed-gene-0.69-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.69&CDS=1-810	YPR127W
OG0001530	augustus_masked-cer-_s27-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-cer-_s27-processed-gene-0.13&CDS=1-1272	YOR303W
OG0001531	genemark-cer-_s27-processed-gene-0.70-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.70&CDS=1-966	YLR354C
OG0001532	augustus_masked-cer-_s27-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-cer-_s27-processed-gene-0.18&CDS=1-642	YPR113W
OG0001533	genemark-cer-_s27-processed-gene-0.73-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.73&CDS=1-2511	YOR249C
OG0001534	genemark-cer-_s272-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s272-processed-gene-0.15&CDS=1-630	YDR486C
OG0001535	genemark-cer-_s272-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s272-processed-gene-0.20&CDS=1-3099	YNL132W
OG0001536	genemark-cer-_s273-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s273-processed-gene-0.14&CDS=1-1251	YLR455W
OG0001537	genemark-cer-_s273-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s273-processed-gene-0.15&CDS=1-468	YEL034W
OG0001538	genemark-cer-_s273-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s273-processed-gene-0.16&CDS=1-2811	YPR163C
OG0001539	snap_masked-cer-_s274-processed-gene-0.23-mRNA-1_1&gene=snap_masked-cer-_s274-processed-gene-0.23&CDS=1-2616	YER109C
OG0001540	genemark-cer-_s274-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s274-processed-gene-0.7&CDS=1-1494	YBL082C
OG0001541	genemark-cer-_s274-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s274-processed-gene-0.8&CDS=1-2415	YOL144W
OG0001542	genemark-cer-_s274-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s274-processed-gene-0.9&CDS=1-684	YOL147C
OG0001543	snap_masked-cer-_s274-processed-gene-0.24-mRNA-1_1&gene=snap_masked-cer-_s274-processed-gene-0.24&CDS=1-3249	YGL093W
OG0001544	genemark-cer-_s276-processed-gene-0.47-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.47&CDS=1-3513	YPR022C
OG0001545	genemark-cer-_s276-processed-gene-0.57-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.57&CDS=1-783	YER126C
OG0001546	genemark-cer-_s276-processed-gene-0.48-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.48&CDS=1-1038	YER127W
OG0001547	augustus_masked-cer-_s276-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-cer-_s276-processed-gene-0.36&CDS=1-1356	YGL175C
OG0001548	genemark-cer-_s276-processed-gene-0.49-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.49&CDS=1-1347	YGL172W
OG0001549	genemark-cer-_s276-processed-gene-0.50-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.50&CDS=1-846	YGL174W
OG0001550	genemark-cer-_s276-processed-gene-0.60-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.60&CDS=1-2151	YPR021C
OG0001551	genemark-cer-_s276-processed-gene-0.52-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.52&CDS=1-288	YLL018C-A
OG0001552	snap_masked-cer-_s276-processed-gene-0.17-mRNA-1_1&gene=snap_masked-cer-_s276-processed-gene-0.17&CDS=1-4419	YGL173C
OG0001553	genemark-cer-_s276-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.53&CDS=1-1896	YLL019C
OG0001554	genemark-cer-_s276-processed-gene-0.64-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.64&CDS=1-522	YBR217W
OG0001555	genemark-cer-_s276-processed-gene-0.65-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.65&CDS=1-1380	YBR215W
OG0001556	genemark-cer-_s276-processed-gene-0.66-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.66&CDS=1-1398	YGL059W
OG0001557	genemark-cer-_s28-processed-gene-0.61-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.61&CDS=1-1692	YOR348C
OG0001558	genemark-cer-_s28-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.53&CDS=1-6030	YJL109C
OG0001559	genemark-cer-_s28-processed-gene-0.62-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.62&CDS=1-450	YOR298C-A
OG0001560	genemark-cer-_s28-processed-gene-0.55-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.55&CDS=1-945	YDL015C
OG0001561	genemark-cer-_s28-processed-gene-0.63-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.63&CDS=1-381	YCL033C
OG0001562	genemark-cer-_s28-processed-gene-0.64-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.64&CDS=1-1011	YBR034C
OG0001563	genemark-cer-_s28-processed-gene-0.66-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.66&CDS=1-996	YPR147C
OG0001564	genemark-cer-_s28-processed-gene-0.67-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.67&CDS=1-906	YGR127W
OG0001565	genemark-cer-_s28-processed-gene-0.68-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.68&CDS=1-1440	YJL106W
OG0001566	genemark-cer-_s28-processed-gene-0.56-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.56&CDS=1-1512	YKR023W
OG0001567	genemark-cer-_s28-processed-gene-0.71-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.71&CDS=1-1815	YMR098C
OG0001568	genemark-cer-_s28-processed-gene-0.57-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.57&CDS=1-738	YKL099C
OG0001569	genemark-cer-_s28-processed-gene-0.72-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.72&CDS=1-864	YKL110C
OG0001570	snap_masked-cer-_s28-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s28-processed-gene-0.5&CDS=1-1101	YMR097C
OG0001571	genemark-cer-_s28-processed-gene-0.73-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.73&CDS=1-1938	YMR106C
OG0001572	genemark-cer-_s28-processed-gene-0.74-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.74&CDS=1-2091	YEL011W
OG0001573	genemark-cer-_s28-processed-gene-0.75-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.75&CDS=1-1827	YMR092C
OG0001574	genemark-cer-_s284-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s284-processed-gene-0.28&CDS=1-3054	YPL183C
OG0001575	genemark-cer-_s284-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s284-processed-gene-0.36&CDS=1-3240	YBL076C
OG0001576	genemark-cer-_s284-processed-gene-0.31-mRNA-1_1&gene=genemark-cer-_s284-processed-gene-0.31&CDS=1-4668	YCR042C
OG0001577	genemark-cer-_s284-processed-gene-0.33-mRNA-1_1&gene=genemark-cer-_s284-processed-gene-0.33&CDS=1-2541	YML097C
OG0001578	snap_masked-cer-_s287-processed-gene-0.33-mRNA-1_1&gene=snap_masked-cer-_s287-processed-gene-0.33&CDS=1-5511	YBR208C
OG0001579	genemark-cer-_s287-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s287-processed-gene-0.14&CDS=1-2139	YHL016C
OG0001580	snap_masked-cer-_s287-processed-gene-0.35-mRNA-1_1&gene=snap_masked-cer-_s287-processed-gene-0.35&CDS=1-2139	YLR417W
OG0001581	genemark-cer-_s287-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s287-processed-gene-0.5&CDS=1-1023	YKL189W
OG0001582	genemark-cer-_s287-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s287-processed-gene-0.17&CDS=1-2364	YHR204W
OG0001583	maker-cer-_s287-snap-gene-0.1-mRNA-1_1&gene=maker-cer-_s287-snap-gene-0.1&CDS=1-3519	YNL256W
OG0001584	augustus_masked-cer-_s287-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-cer-_s287-processed-gene-0.43&CDS=1-1569	YFR034C
OG0001585	genemark-cer-_s288-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s288-processed-gene-0.23&CDS=1-771	YIL070C
OG0001586	genemark-cer-_s288-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s288-processed-gene-0.25&CDS=1-1446	YDL155W
OG0001587	maker-cer-_s288-snap-gene-0.27-mRNA-1_1&gene=maker-cer-_s288-snap-gene-0.27&CDS=1-618	YOL143C
OG0001588	genemark-cer-_s290-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s290-processed-gene-0.0&CDS=1-993	YKR025W
OG0001589	genemark-cer-_s290-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s290-processed-gene-0.2&CDS=1-2601	YKR024C
