	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
OG0001256	YGL106W	snap_masked-flattened_line_167-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.0&CDS=1-438
OG0001257	YGL111W	snap_masked-flattened_line_12-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.44&CDS=1-1503
OG0001258	YGL112C	augustus_masked-flattened_line_60-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.91&CDS=1-1824
OG0001259	YGL113W	augustus_masked-flattened_line_60-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.65&CDS=1-2589
OG0001260	YGL114W	augustus_masked-flattened_line_94-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.85&CDS=1-2379
OG0001261	YGL115W	snap_masked-flattened_line_94-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.54&CDS=1-1011
OG0001262	YGL119W	snap_masked-flattened_line_52-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.120&CDS=1-1320
OG0001263	YGL120C	snap_masked-flattened_line_32-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.0&CDS=1-2385
OG0001264	YGL122C	snap_masked-flattened_line_32-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.4&CDS=1-1632
OG0001265	YGL123W	snap_masked-flattened_line_32-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.51&CDS=1-732
OG0001266	YGL125W	augustus_masked-flattened_line_52-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.96&CDS=1-2274
OG0001267	YGL127C	snap_masked-flattened_line_52-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.128&CDS=1-414
OG0001268	YGL130W	snap_masked-flattened_line_60-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.23&CDS=1-1281
OG0001269	YGL131C	snap_masked-flattened_line_60-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.48&CDS=1-3687
OG0001270	YGL133W	augustus_masked-flattened_line_78-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.91&CDS=1-3945
OG0001271	YGL136C	snap_masked-flattened_line_78-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.13&CDS=1-837
OG0001272	YGL137W	snap_masked-flattened_line_78-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.1&CDS=1-2607
OG0001273	YGL138C	genemark-flattened_line_78-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.48&CDS=1-1395
OG0001274	YGL140C	augustus_masked-flattened_line_14-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.24&CDS=1-2847
OG0001275	YGL142C	augustus_masked-flattened_line_40-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.144&CDS=1-1788
OG0001276	YGL143C	augustus_masked-flattened_line_40-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.145&CDS=1-1281
OG0001277	YGL148W	genemark-flattened_line_20-processed-gene-0.259-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.259&CDS=1-1122
OG0001278	YGL150C	augustus_masked-flattened_line_20-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.205&CDS=1-4377
OG0001279	YGL153W	augustus_masked-flattened_line_20-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.160&CDS=1-999
OG0001280	YGL155W	snap_masked-flattened_line_20-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.108&CDS=1-1803
OG0001281	YGL156W	augustus_masked-flattened_line_8-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.25&CDS=1-3195
OG0001282	YGL160W	snap_masked-flattened_line_114-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.67&CDS=1-1662
OG0001283	YGL163C	augustus_masked-flattened_line_98-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.71&CDS=1-2925
OG0001284	YGL164C	snap_masked-flattened_line_98-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.35&CDS=1-1200
OG0001285	YGL166W	snap_masked-flattened_line_98-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.56&CDS=1-2016
OG0001286	YGL167C	augustus_masked-flattened_line_0-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.59&CDS=1-2844
OG0001287	YGL169W	snap_masked-flattened_line_0-processed-gene-2.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.155&CDS=1-1257
OG0001288	YGL171W	augustus_masked-flattened_line_6-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.165&CDS=1-1671
OG0001289	YGL172W	snap_masked-flattened_line_92-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.89&CDS=1-1896
OG0001290	YGL173C	snap_masked-flattened_line_92-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.73&CDS=1-4146
OG0001291	YGL175C	snap_masked-flattened_line_2-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.13&CDS=1-1413
OG0001292	YGL178W	augustus_masked-flattened_line_10-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.67&CDS=1-2760
OG0001293	YGL179C	augustus_masked-flattened_line_2-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.54&CDS=1-2841
OG0001294	YGL180W	augustus_masked-flattened_line_2-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.55&CDS=1-2172
OG0001295	YGL181W	augustus_masked-flattened_line_2-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.67&CDS=1-1050
OG0001296	YGL184C	augustus_masked-flattened_line_8-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.37&CDS=1-1407
OG0001297	YGL185C	snap_masked-flattened_line_8-processed-gene-1.0-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.0&CDS=1-1269
OG0001298	YGL186C	augustus_masked-flattened_line_377-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_377-processed-gene-0.0&CDS=1-1533
OG0001299	YGL187C	augustus_masked-flattened_line_8-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.179&CDS=1-540
OG0001300	YGL190C	augustus_masked-flattened_line_8-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.181&CDS=1-1884
OG0001301	YGL191W	snap_masked-flattened_line_8-processed-gene-1.4-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.4&CDS=1-396
OG0001302	YGL192W	augustus_masked-flattened_line_8-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.183&CDS=1-1599
OG0001303	YGL195W	augustus_masked-flattened_line_8-processed-gene-1.225-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.225&CDS=1-8115
OG0001304	YGL198W	snap_masked-flattened_line_8-processed-gene-1.49-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.49&CDS=1-777
OG0001305	YGL200C	augustus_masked-flattened_line_8-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.187&CDS=1-606
OG0001306	YGL201C	snap_masked-flattened_line_82-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.95&CDS=1-2964
OG0001307	YGL203C	snap_masked-flattened_line_90-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.32&CDS=1-2136
OG0001308	YGL206C	snap_masked-flattened_line_128-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.54&CDS=1-4923
OG0001309	YGL207W	augustus_masked-flattened_line_128-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.22&CDS=1-3096
OG0001310	YGL211W	snap_masked-flattened_line_46-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.15&CDS=1-1134
OG0001311	YGL212W	augustus_masked-flattened_line_46-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.154&CDS=1-1116
OG0001312	YGL213C	augustus_masked-flattened_line_46-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.156&CDS=1-1215
OG0001313	YGL215W	augustus_masked-flattened_line_46-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.186&CDS=1-1041
OG0001314	YGL219C	snap_masked-flattened_line_46-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.6&CDS=1-1965
OG0001315	YGL220W	augustus_masked-flattened_line_46-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.182&CDS=1-267
OG0001316	YGL221C	augustus_masked-flattened_line_46-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.148&CDS=1-870
OG0001317	YGL228W	snap_masked-flattened_line_46-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.42&CDS=1-1371
OG0001318	YGL232W	maker-flattened_line_46-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.66&CDS=1-1404
OG0001319	YGL233W	augustus_masked-flattened_line_46-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.151&CDS=1-2781
OG0001320	YGL234W	augustus_masked-flattened_line_104-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.80&CDS=1-2388
OG0001321	YGL236C	augustus_masked-flattened_line_128-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.19&CDS=1-2052
OG0001322	YGL237C	snap_masked-flattened_line_128-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.53&CDS=1-321
OG0001323	YGL238W	maker-flattened_line_128-augustus-gene-0.26-mRNA-1_1&gene=maker-flattened_line_128-augustus-gene-0.26&CDS=1-4089
OG0001324	YGL241W	augustus_masked-flattened_line_128-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.20&CDS=1-2994
OG0001325	YGL242C	augustus_masked-flattened_line_128-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.11&CDS=1-522
OG0001326	YGL243W	snap_masked-flattened_line_104-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.17&CDS=1-1233
OG0001327	YGL244W	augustus_masked-flattened_line_181-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_181-processed-gene-0.10&CDS=1-1542
OG0001328	YGL245W	snap_masked-flattened_line_46-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.64&CDS=1-2139
OG0001329	YGL246C	snap_masked-flattened_line_46-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.40&CDS=1-1275
OG0001330	YGL248W	snap_masked-flattened_line_128-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.56&CDS=1-1098
OG0001331	YGL250W	augustus_masked-flattened_line_128-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.18&CDS=1-813
OG0001332	YGL252C	maker-flattened_line_128-augustus-gene-0.25-mRNA-1_1&gene=maker-flattened_line_128-augustus-gene-0.25&CDS=1-2889
OG0001333	YGL253W	snap_masked-flattened_line_104-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.16&CDS=1-1461
OG0001334	YGR001C	augustus_masked-flattened_line_80-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.56&CDS=1-762
OG0001335	YGR002C	snap_masked-flattened_line_371-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_371-processed-gene-0.1&CDS=1-1683
OG0001336	YGR005C	augustus_masked-flattened_line_8-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.212&CDS=1-1590
OG0001337	YGR007W	genemark-flattened_line_36-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.140&CDS=1-2130
OG0001338	YGR012W	augustus_masked-flattened_line_36-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.65&CDS=1-1215
OG0001339	YGR014W	augustus_masked-flattened_line_36-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.64&CDS=1-3693
OG0001340	YGR019W	snap_masked-flattened_line_36-processed-gene-0.187-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.187&CDS=1-1419
OG0001341	YGR020C	snap_masked-flattened_line_58-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.162&CDS=1-411
OG0001342	YGR024C	augustus_masked-flattened_line_0-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.22&CDS=1-714
OG0001343	YGR028W	snap_masked-flattened_line_22-processed-gene-0.237-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.237&CDS=1-1035
OG0001344	YGR029W	augustus_masked-flattened_line_0-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.62&CDS=1-549
OG0001345	YGR031W	snap_masked-flattened_line_0-processed-gene-1.2-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.2&CDS=1-1134
OG0001346	YGR033C	augustus_masked-flattened_line_106-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.55&CDS=1-723
OG0001347	YGR037C	snap_masked-flattened_line_0-processed-gene-2.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.131&CDS=1-258
OG0001348	YGR040W	augustus_masked-flattened_line_0-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.53&CDS=1-1176
OG0001349	YGR044C	snap_masked-flattened_line_12-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.23&CDS=1-3309
OG0001350	YGR047C	augustus_masked-flattened_line_14-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.25&CDS=1-3333
OG0001351	YGR048W	augustus_masked-flattened_line_14-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.50&CDS=1-1095
OG0001352	YGR052W	maker-flattened_line_94-snap-gene-0.60-mRNA-1_1&gene=maker-flattened_line_94-snap-gene-0.60&CDS=1-1860
OG0001353	YGR054W	snap_masked-flattened_line_94-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.51&CDS=1-1860
OG0001354	YGR058W	augustus_masked-flattened_line_84-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.28&CDS=1-1410
OG0001355	YGR060W	augustus_masked-flattened_line_84-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.26&CDS=1-930
OG0001356	YGR061C	augustus_masked-flattened_line_84-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.13&CDS=1-4035
OG0001357	YGR062C	augustus_masked-flattened_line_84-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.12&CDS=1-915
OG0001358	YGR063C	snap_masked-flattened_line_84-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.78&CDS=1-366
OG0001359	YGR065C	augustus_masked-flattened_line_38-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.149&CDS=1-1848
OG0001360	YGR074W	augustus_masked-flattened_line_435-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_435-processed-gene-0.4&CDS=1-396
OG0001361	YGR076C	augustus_masked-flattened_line_163-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.8&CDS=1-720
OG0001362	YGR078C	snap_masked-flattened_line_22-processed-gene-0.258-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.258&CDS=1-546
OG0001363	YGR082W	augustus_masked-flattened_line_50-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.150&CDS=1-540
OG0001364	YGR083C	snap_masked-flattened_line_12-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.73&CDS=1-2064
OG0001365	YGR090W	augustus_masked-flattened_line_90-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.60&CDS=1-3672
OG0001366	YGR093W	snap_masked-flattened_line_90-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.24&CDS=1-1044
OG0001367	YGR094W	genemark-flattened_line_90-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.83&CDS=1-3387
OG0001368	YGR095C	augustus_masked-flattened_line_90-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.38&CDS=1-717
OG0001369	YGR096W	augustus_masked-flattened_line_90-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.53&CDS=1-1038
OG0001370	YGR098C	maker-flattened_line_90-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.0&CDS=1-3969
OG0001371	YGR100W	augustus_masked-flattened_line_90-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.34&CDS=1-1515
OG0001372	YGR101W	snap_masked-flattened_line_90-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.14&CDS=1-870
OG0001373	YGR103W	snap_masked-flattened_line_90-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.13&CDS=1-1686
OG0001374	YGR105W	augustus_masked-flattened_line_213-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_213-processed-gene-0.11&CDS=1-228
OG0001375	YGR106C	genemark-flattened_line_213-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_213-processed-gene-0.8&CDS=1-303
OG0001376	YGR110W	snap_masked-flattened_line_56-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.101&CDS=1-1326
OG0001377	YGR112W	augustus_masked-flattened_line_66-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.130&CDS=1-1401
OG0001378	YGR116W	augustus_masked-flattened_line_66-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.129&CDS=1-4635
OG0001379	YGR119C	snap_masked-flattened_line_175-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.17&CDS=1-957
OG0001380	YGR123C	augustus_masked-flattened_line_118-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.20&CDS=1-1296
OG0001381	YGR125W	snap_masked-flattened_line_32-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.46&CDS=1-3204
OG0001382	YGR127W	augustus_masked-flattened_line_110-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.92&CDS=1-867
OG0001383	YGR128C	snap_masked-flattened_line_32-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.47&CDS=1-2142
OG0001384	YGR132C	snap_masked-flattened_line_158-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.30&CDS=1-834
OG0001385	YGR134W	augustus_masked-flattened_line_158-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.11&CDS=1-5022
OG0001386	YGR135W	snap_masked-flattened_line_158-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.34&CDS=1-840
OG0001387	YGR145W	augustus_masked-flattened_line_80-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.63&CDS=1-3819
OG0001388	YGR147C	genemark-flattened_line_80-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.86&CDS=1-639
OG0001389	YGR152C	augustus_masked-flattened_line_80-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.51&CDS=1-936
OG0001390	YGR155W	snap_masked-flattened_line_36-processed-gene-0.184-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.184&CDS=1-1533
OG0001391	YGR159C	augustus_masked-flattened_line_80-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.68&CDS=1-1206
OG0001392	YGR163W	maker-flattened_line_102-snap-gene-0.95-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.95&CDS=1-2220
OG0001393	YGR165W	snap_masked-flattened_line_38-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.19&CDS=1-1194
OG0001394	YGR166W	snap_masked-flattened_line_38-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.20&CDS=1-1557
OG0001395	YGR167W	snap_masked-flattened_line_38-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.21&CDS=1-678
OG0001396	YGR169C	augustus_masked-flattened_line_16-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.132&CDS=1-1302
OG0001397	YGR171C	augustus_masked-flattened_line_16-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.98&CDS=1-1689
OG0001398	YGR173W	augustus_masked-flattened_line_16-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.99&CDS=1-1140
OG0001399	YGR174C	augustus_masked-flattened_line_38-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.119&CDS=1-459
OG0001400	YGR175C	augustus_masked-flattened_line_38-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.82&CDS=1-1977
OG0001401	YGR178C	augustus_masked-flattened_line_38-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.96&CDS=1-1668
OG0001402	YGR181W	snap_masked-flattened_line_34-processed-gene-0.145-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.145&CDS=1-333
OG0001403	YGR183C	snap_masked-flattened_line_34-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.120&CDS=1-213
OG0001404	YGR184C	augustus_masked-flattened_line_34-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.46&CDS=1-6279
OG0001405	YGR185C	snap_masked-flattened_line_34-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.118&CDS=1-1209
OG0001406	YGR186W	snap_masked-flattened_line_34-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.144&CDS=1-2040
OG0001407	YGR187C	genemark-flattened_line_34-processed-gene-0.182-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.182&CDS=1-1026
OG0001408	YGR189C	augustus_masked-flattened_line_16-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.102&CDS=1-1323
OG0001409	YGR192C	augustus_masked-flattened_line_48-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.125&CDS=1-1005
OG0001410	YGR193C	genemark-flattened_line_445-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_445-processed-gene-0.0&CDS=1-912
OG0001411	YGR200C	snap_masked-flattened_line_142-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_142-processed-gene-0.29&CDS=1-2460
OG0001412	YGR202C	snap_masked-flattened_line_48-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.9&CDS=1-1350
OG0001413	YGR207C	snap_masked-flattened_line_88-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.53&CDS=1-780
OG0001414	YGR210C	maker-flattened_line_389-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_389-snap-gene-0.5&CDS=1-588
OG0001415	YGR211W	snap_masked-flattened_line_34-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.84&CDS=1-1692
OG0001416	YGR215W	snap_masked-flattened_line_34-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.86&CDS=1-366
OG0001417	YGR216C	augustus_masked-flattened_line_34-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.54&CDS=1-1896
OG0001418	YGR218W	augustus_masked-flattened_line_16-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.108&CDS=1-3279
OG0001419	YGR220C	augustus_masked-flattened_line_16-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.126&CDS=1-828
OG0001420	YGR225W	augustus_masked-flattened_line_34-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.55&CDS=1-2046
OG0001421	YGR227W	augustus_masked-flattened_line_130-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.14&CDS=1-1623
OG0001422	YGR229C	augustus_masked-flattened_line_130-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.5&CDS=1-1881
OG0001423	YGR231C	snap_masked-flattened_line_42-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.1&CDS=1-936
OG0001424	YGR232W	snap_masked-flattened_line_42-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.38&CDS=1-789
OG0001425	YGR233C	augustus_masked-flattened_line_42-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.127&CDS=1-3744
OG0001426	YGR244C	snap_masked-flattened_line_26-processed-gene-0.177-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.177&CDS=1-1254
