	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0002042	augustus_masked-CR382124-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-7.79&CDS=1-876	YDR054C
OG0002043	snap_masked-CR382124-processed-gene-7.149-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-7.149&CDS=1-2244	YOR178C
OG0002044	augustus_masked-CR382124-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-7.80&CDS=1-2238	YLR274W
OG0002045	snap_masked-CR382124-processed-gene-7.128-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-7.128&CDS=1-330	YLR275W
OG0002046	augustus_masked-CR382124-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-7.81&CDS=1-4611	YLR310C
OG0002047	augustus_masked-CR382124-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.100&CDS=1-3138	YER129W
OG0002048	augustus_masked-CR382124-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.101&CDS=1-1689	YJL008C
OG0002049	augustus_masked-CR382124-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.97&CDS=1-2409	YJL029C
OG0002050	augustus_masked-CR382124-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.102&CDS=1-588	YJL030W
OG0002051	snap_masked-CR382124-processed-gene-8.2-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.2&CDS=1-1005	YJL031C
OG0002052	augustus_masked-CR382124-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.123&CDS=1-969	YJL006C
OG0002053	augustus_masked-CR382124-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.124&CDS=1-2310	YJL033W
OG0002054	augustus_masked-CR382124-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.103&CDS=1-609	YLR016C
OG0002055	augustus_masked-CR382124-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.105&CDS=1-2418	YGR196C
OG0002056	augustus_masked-CR382124-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.127&CDS=1-735	YGR195W
OG0002057	maker-CR382124-snap-gene-8.144-mRNA-1_1&gene=maker-CR382124-snap-gene-8.144&CDS=1-1221	YJR013W
OG0002058	snap_masked-CR382124-processed-gene-8.8-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.8&CDS=1-405	YJR012C
OG0002059	snap_masked-CR382124-processed-gene-8.9-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.9&CDS=1-1545	YJR003C
OG0002060	augustus_masked-CR382124-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.108&CDS=1-1986	YLR002C
OG0002061	augustus_masked-CR382124-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.129&CDS=1-1824	YJR002W
OG0002062	augustus_masked-CR382124-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.130&CDS=1-1884	YJR001W
OG0002063	augustus_masked-CR382124-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.109&CDS=1-2628	YLR001C
OG0002064	augustus_masked-CR382124-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.131&CDS=1-2382	YMR165C
OG0002065	augustus_masked-CR382124-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.132&CDS=1-1092	YMR166C
OG0002066	augustus_masked-CR382124-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.110&CDS=1-1170	YDL104C
OG0002067	augustus_masked-CR382124-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.133&CDS=1-1155	YDL105W
OG0002068	augustus_masked-CR382124-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.111&CDS=1-2172	YMR167W
OG0002069	augustus_masked-CR382124-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.113&CDS=1-1464	YDL106C
OG0002070	snap_masked-CR382124-processed-gene-8.38-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.38&CDS=1-1356	YMR171C
OG0002071	augustus_masked-CR382124-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.137&CDS=1-2394	YML099C
OG0002072	augustus_masked-CR382124-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.117&CDS=1-477	YML098W
OG0002073	augustus_masked-CR382124-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.138&CDS=1-1683	YML130C
OG0002074	augustus_masked-CR382124-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.139&CDS=1-1311	YML097C
OG0002075	augustus_masked-CR382124-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.118&CDS=1-1545	YML096W
OG0002076	augustus_masked-CR382124-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.140&CDS=1-699	YML095C
OG0002077	augustus_masked-CR382124-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.119&CDS=1-492	YML094W
OG0002078	augustus_masked-CR382124-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.120&CDS=1-2577	YML093W
OG0002079	augustus_masked-CR382124-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.141&CDS=1-750	YML092C
OG0002080	snap_masked-CR382124-processed-gene-8.46-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.46&CDS=1-192	YML129C
OG0002081	augustus_masked-CR382124-processed-gene-8.142-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.142&CDS=1-1455	YML128C
OG0002082	augustus_masked-CR382124-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.122&CDS=1-1692	YML127W
OG0002083	augustus_masked-CR382124-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.143&CDS=1-3660	YML091C
OG0002084	augustus_masked-CR382124-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.3&CDS=1-1392	YML126C
OG0002085	augustus_masked-CR382124-processed-gene-9.1-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.1&CDS=1-1935	YPR161C
OG0002086	genemark-CR382124-processed-gene-9.45-mRNA-1_1&gene=genemark-CR382124-processed-gene-9.45&CDS=1-2145	YLR452C
OG0002087	augustus_masked-CR382124-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.4&CDS=1-1560	YER025W
OG0002088	augustus_masked-CR382124-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.21&CDS=1-2775	YLR451W
OG0002089	augustus_masked-CR382124-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.5&CDS=1-1353	YJR124C
OG0002090	augustus_masked-CR382124-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.22&CDS=1-2595	YER024W
OG0002091	augustus_masked-CR382124-processed-gene-9.23-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.23&CDS=1-681	YJR123W
OG0002092	augustus_masked-CR382124-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.24&CDS=1-1386	YJR122W
OG0002093	augustus_masked-CR382124-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.25&CDS=1-1515	YJR121W
OG0002094	augustus_masked-CR382124-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.26&CDS=1-855	YER023W
OG0002095	augustus_masked-CR382124-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.6&CDS=1-2550	YJR119C
OG0002096	augustus_masked-CR382124-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.7&CDS=1-525	YJR118C
OG0002097	augustus_masked-CR382124-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.27&CDS=1-2013	YER022W
OG0002098	augustus_masked-CR382124-processed-gene-9.28-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.28&CDS=1-1518	YER021W
OG0002099	augustus_masked-CR382124-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.29&CDS=1-1368	YJR117W
OG0002100	augustus_masked-CR382124-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.30&CDS=1-849	YJR116W
OG0002101	snap_masked-CR382124-processed-gene-9.94-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-9.94&CDS=1-1023	YJR105W
OG0002102	augustus_masked-CR382124-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.9&CDS=1-2922	YJR107W
OG0002103	augustus_masked-CR382124-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.31&CDS=1-1662	YER020W
OG0002104	augustus_masked-CR382124-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.10&CDS=1-810	YNL155W
OG0002105	augustus_masked-CR382124-processed-gene-9.13-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.13&CDS=1-1590	YHR137W
OG0002106	augustus_masked-CR382124-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.14&CDS=1-387	YNL153C
OG0002107	augustus_masked-CR382124-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.15&CDS=1-1479	YFL018C
OG0002108	augustus_masked-CR382124-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.34&CDS=1-1545	YMR013C
OG0002109	augustus_masked-CR382124-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.16&CDS=1-1431	YMR014W
OG0002110	augustus_masked-CR382124-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.35&CDS=1-1602	YMR015C
OG0002111	augustus_masked-CR382124-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.36&CDS=1-2037	YMR172W
OG0002112	augustus_masked-CR382124-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.18&CDS=1-1455	YGL253W
OG0002113	augustus_masked-CR382124-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.38&CDS=1-795	YFR052W
OG0002114	augustus_masked-CR382124-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.39&CDS=1-1608	YFR051C
OG0002115	snap_masked-CR382124-processed-gene-9.130-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-9.130&CDS=1-891	YGL250W
OG0002116	augustus_masked-CR382124-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.19&CDS=1-3261	YGL251C
OG0002117	augustus_masked-CR382124-processed-gene-9.20-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-9.20&CDS=1-1761	YGL252C
OG0002118	snap_masked-CR382124-processed-gene-10.107-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.107&CDS=1-795	YFR050C
OG0002119	snap_masked-CR382124-processed-gene-10.108-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.108&CDS=1-1104	YGL248W
OG0002120	augustus_masked-CR382124-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.58&CDS=1-399	YFR049W
OG0002121	augustus_masked-CR382124-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.59&CDS=1-1116	YPL049C
OG0002122	augustus_masked-CR382124-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.56&CDS=1-1533	YDR256C
OG0002123	snap_masked-CR382124-processed-gene-10.113-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.113&CDS=1-291	YPL047W
OG0002124	augustus_masked-CR382124-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.57&CDS=1-1188	YDR255C
OG0002125	genemark-CR382124-processed-gene-10.26-mRNA-1_1&gene=genemark-CR382124-processed-gene-10.26&CDS=1-285	YPL046C
OG0002126	augustus_masked-CR382124-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.60&CDS=1-2379	YPL045W
OG0002127	snap_masked-CR382124-processed-gene-10.135-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.135&CDS=1-1227	YDR254W
OG0002128	augustus_masked-CR382124-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.61&CDS=1-2055	YPL043W
OG0002129	snap_masked-CR382124-processed-gene-10.136-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.136&CDS=1-1779	YPL042C
OG0002130	snap_masked-CR382124-processed-gene-10.137-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.137&CDS=1-552	YPL041C
OG0002131	augustus_masked-CR382124-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.82&CDS=1-2970	YPL040C
OG0002132	augustus_masked-CR382124-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.62&CDS=1-954	YPL039W
OG0002133	augustus_masked-CR382124-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.63&CDS=1-867	YDR253C
OG0002134	augustus_masked-CR382124-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.83&CDS=1-474	YPL037C
OG0002135	augustus_masked-CR382124-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.84&CDS=1-2730	YPL032C
OG0002136	augustus_masked-CR382124-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.64&CDS=1-1110	YDR249C
OG0002137	maker-CR382124-snap-gene-10.104-mRNA-1_1&gene=maker-CR382124-snap-gene-10.104&CDS=1-2052	YPL031C
OG0002138	augustus_masked-CR382124-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.65&CDS=1-1611	YPL030W
OG0002139	augustus_masked-CR382124-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.66&CDS=1-2100	YPL029W
OG0002140	augustus_masked-CR382124-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.67&CDS=1-1194	YPL028W
OG0002141	augustus_masked-CR382124-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.68&CDS=1-543	YDR248C
OG0002142	augustus_masked-CR382124-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.87&CDS=1-570	YDR246W
OG0002143	augustus_masked-CR382124-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.69&CDS=1-693	YPL024W
OG0002144	augustus_masked-CR382124-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.88&CDS=1-1917	YPL023C
OG0002145	augustus_masked-CR382124-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.70&CDS=1-3168	YPL022W
OG0002146	augustus_masked-CR382124-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.89&CDS=1-3390	YPL016W
OG0002147	augustus_masked-CR382124-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.71&CDS=1-1539	YLR197W
OG0002148	snap_masked-CR382124-processed-gene-10.146-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-10.146&CDS=1-774	YLR199C
OG0002149	augustus_masked-CR382124-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.72&CDS=1-345	YLR200W
OG0002150	augustus_masked-CR382124-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.91&CDS=1-750	YLR201C
OG0002151	augustus_masked-CR382124-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.73&CDS=1-1152	YDL168W
OG0002152	maker-CR382124-snap-gene-10.105-mRNA-1_1&gene=maker-CR382124-snap-gene-10.105&CDS=1-1728	YDL167C
OG0002153	augustus_masked-CR382124-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.93&CDS=1-633	YDL166C
OG0002154	augustus_masked-CR382124-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.74&CDS=1-552	YDL165W
OG0002155	augustus_masked-CR382124-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.94&CDS=1-1254	YLR203C
OG0002156	augustus_masked-CR382124-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.95&CDS=1-936	YLR205C
OG0002157	augustus_masked-CR382124-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.96&CDS=1-2028	YDL164C
OG0002158	augustus_masked-CR382124-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.98&CDS=1-3105	YMR193W
OG0002159	augustus_masked-CR382124-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.101&CDS=1-2595	YPL248C
OG0002160	augustus_masked-CR382124-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.77&CDS=1-4101	YMR190C
OG0002161	augustus_masked-CR382124-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.102&CDS=1-1785	YAL067C
OG0002162	augustus_masked-CR382124-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.48&CDS=1-3084	YMR189W
OG0002163	augustus_masked-CR382124-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.49&CDS=1-1479	YPL247C
OG0002164	augustus_masked-CR382124-processed-gene-11.45-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.45&CDS=1-696	YMR188C
OG0002165	augustus_masked-CR382124-processed-gene-11.50-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.50&CDS=1-813	YPL246C
OG0002166	augustus_masked-CR382124-processed-gene-11.46-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.46&CDS=1-1302	YPL245W
OG0002167	augustus_masked-CR382124-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.51&CDS=1-1017	YPL244C
OG0002168	augustus_masked-CR382124-processed-gene-11.47-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.47&CDS=1-1752	YPL243W
OG0002169	snap_masked-CR382124-processed-gene-11.97-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-11.97&CDS=1-1176	YMR187C
OG0002170	augustus_masked-CR382124-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.71&CDS=1-4482	YPL242C
OG0002171	augustus_masked-CR382124-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.53&CDS=1-1191	YDR321W
OG0002172	augustus_masked-CR382124-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.55&CDS=1-2142	YHR074W
OG0002173	snap_masked-CR382124-processed-gene-11.121-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-11.121&CDS=1-1185	YHR075C
OG0002174	augustus_masked-CR382124-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.56&CDS=1-1089	YDR322W
OG0002175	augustus_masked-CR382124-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.74&CDS=1-288	YDR322C-A
OG0002176	augustus_masked-CR382124-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.57&CDS=1-999	YHR076W
OG0002177	augustus_masked-CR382124-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.75&CDS=1-4815	YHR077C
OG0002178	augustus_masked-CR382124-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.58&CDS=1-1566	YHR078W
OG0002179	augustus_masked-CR382124-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.76&CDS=1-2208	YDR324C
OG0002180	augustus_masked-CR382124-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.59&CDS=1-2979	YDR325W
OG0002181	augustus_masked-CR382124-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.77&CDS=1-3456	YHR079C
OG0002182	augustus_masked-CR382124-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.79&CDS=1-1209	YDR346C
OG0002183	augustus_masked-CR382124-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.62&CDS=1-1851	YIL014W
OG0002184	augustus_masked-CR382124-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.63&CDS=1-3972	YIR006C
OG0002185	augustus_masked-CR382124-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.80&CDS=1-498	YIR005W
OG0002186	augustus_masked-CR382124-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.64&CDS=1-705	YER010C
OG0002187	augustus_masked-CR382124-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.81&CDS=1-1299	YIR004W
OG0002188	augustus_masked-CR382124-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.83&CDS=1-375	YER009W
OG0002189	augustus_masked-CR382124-processed-gene-11.65-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.65&CDS=1-3708	YER008C
OG0002190	genemark-CR382124-processed-gene-11.20-mRNA-1_1&gene=genemark-CR382124-processed-gene-11.20&CDS=1-3450	YIR002C
OG0002191	snap_masked-CR382124-processed-gene-11.135-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-11.135&CDS=1-1494	YER007W
OG0002192	augustus_masked-CR382124-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.85&CDS=1-1590	YER006W
OG0002193	augustus_masked-CR382124-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.67&CDS=1-1071	YPR086W
OG0002194	augustus_masked-CR382124-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.86&CDS=1-1962	YER005W
OG0002195	augustus_masked-CR382124-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.87&CDS=1-672	YER004W
OG0002196	augustus_masked-CR382124-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.68&CDS=1-1284	YER003C
OG0002197	augustus_masked-CR382124-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.89&CDS=1-717	YER002W
OG0002198	augustus_masked-CR382124-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.69&CDS=1-1035	YIR001C
OG0002199	augustus_masked-CR382124-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.70&CDS=1-714	YEL001C
OG0002200	augustus_masked-CR382124-processed-gene-12.4-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.4&CDS=1-1536	YIL001W
OG0002201	augustus_masked-CR382124-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.1&CDS=1-2823	YIL002C
OG0002202	augustus_masked-CR382124-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.2&CDS=1-1296	YEL002C
OG0002203	augustus_masked-CR382124-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.6&CDS=1-333	YEL003W
OG0002204	augustus_masked-CR382124-processed-gene-12.7-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.7&CDS=1-849	YIL003W
OG0002205	augustus_masked-CR382124-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.8&CDS=1-441	YIL004C
OG0002206	augustus_masked-CR382124-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.31&CDS=1-2118	YIL005W
OG0002207	augustus_masked-CR382124-processed-gene-12.33-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.33&CDS=1-1506	YHR177W
OG0002208	snap_masked-CR382124-processed-gene-12.110-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-12.110&CDS=1-993	YEL009C
OG0002209	augustus_masked-CR382124-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.10&CDS=1-753	YIL007C
OG0002210	augustus_masked-CR382124-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.34&CDS=1-303	YIL008W
OG0002211	augustus_masked-CR382124-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.12&CDS=1-552	YIL009C-A
OG0002212	augustus_masked-CR382124-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.13&CDS=1-1329	YPL259C
OG0002213	augustus_masked-CR382124-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.35&CDS=1-615	YIL010W
OG0002214	augustus_masked-CR382124-processed-gene-12.36-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.36&CDS=1-1764	YPL260W
OG0002215	augustus_masked-CR382124-processed-gene-12.38-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.38&CDS=1-1410	YOL030W
OG0002216	augustus_masked-CR382124-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.15&CDS=1-528	YMR009W
OG0002217	augustus_masked-CR382124-processed-gene-12.16-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.16&CDS=1-1080	YMR010W
OG0002218	augustus_masked-CR382124-processed-gene-12.39-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.39&CDS=1-2112	YOR017W
OG0002219	augustus_masked-CR382124-processed-gene-12.17-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.17&CDS=1-1260	YHL021C
OG0002220	snap_masked-CR382124-processed-gene-12.119-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-12.119&CDS=1-1203	YHL022C
OG0002221	maker-CR382124-augustus-gene-12.54-mRNA-1_1&gene=maker-CR382124-augustus-gene-12.54&CDS=1-1857	YPR108W
OG0002222	augustus_masked-CR382124-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.20&CDS=1-1650	YGR088W
OG0002223	augustus_masked-CR382124-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.21&CDS=1-2640	YGR089W
OG0002224	augustus_masked-CR382124-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-12.22&CDS=1-3636	YGR090W
