	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0002110	genemark-LAQU0S06-processed-gene-1.76-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-1.76&CDS=1-3243	YLR278C
OG0002111	augustus_masked-LAQU0S06-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-1.119&CDS=1-4020	YLR277C
OG0002112	maker-LAQU0S06-augustus-gene-1.49-mRNA-1_1&gene=maker-LAQU0S06-augustus-gene-1.49&CDS=1-2544	YLR274W
OG0002113	augustus_masked-LAQU0S06-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-1.120&CDS=1-2661	YOR178C
OG0002114	genemark-LAQU0S06-processed-gene-1.82-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-1.82&CDS=1-3444	YLR272C
OG0002115	genemark-LAQU0S06-processed-gene-1.93-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-1.93&CDS=1-1134	YOR176W
OG0002116	genemark-LAQU0S06-processed-gene-1.83-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-1.83&CDS=1-1818	YOR175C
OG0002117	genemark-LAQU0S06-processed-gene-2.3-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.3&CDS=1-813	YOR174W
OG0002118	augustus_masked-LAQU0S06-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-2.53&CDS=1-966	YLR271W
OG0002119	snap_masked-LAQU0S06-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.94&CDS=1-990	YBR152W
OG0002120	genemark-LAQU0S06-processed-gene-2.2-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.2&CDS=1-765	YBR153W
OG0002121	genemark-LAQU0S06-processed-gene-2.7-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.7&CDS=1-645	YBR154C
OG0002122	snap_masked-LAQU0S06-processed-gene-2.101-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.101&CDS=1-2805	YOL087C
OG0002123	genemark-LAQU0S06-processed-gene-2.9-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.9&CDS=1-321	YOL086W-A
OG0002124	genemark-LAQU0S06-processed-gene-2.32-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.32&CDS=1-837	YBR146W
OG0002125	genemark-LAQU0S06-processed-gene-2.11-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.11&CDS=1-2892	YOL084W
OG0002126	genemark-LAQU0S06-processed-gene-2.13-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.13&CDS=1-1314	YBR143C
OG0002127	genemark-LAQU0S06-processed-gene-2.34-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.34&CDS=1-2409	YBR142W
OG0002128	snap_masked-LAQU0S06-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.107&CDS=1-996	YBR141C
OG0002129	genemark-LAQU0S06-processed-gene-2.35-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.35&CDS=1-831	YOL080C
OG0002130	genemark-LAQU0S06-processed-gene-2.15-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.15&CDS=1-3210	YOL078W
OG0002131	augustus_masked-LAQU0S06-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-2.62&CDS=1-207	YOL077W-A
OG0002132	genemark-LAQU0S06-processed-gene-2.37-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.37&CDS=1-882	YOL077C
OG0002133	snap_masked-LAQU0S06-processed-gene-2.111-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.111&CDS=1-2334	YOL076W
OG0002134	genemark-LAQU0S06-processed-gene-2.19-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.19&CDS=1-639	YDL010W
OG0002135	genemark-LAQU0S06-processed-gene-2.20-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.20&CDS=1-405	YDL008W
OG0002136	maker-LAQU0S06-augustus-gene-2.92-mRNA-1_1&gene=maker-LAQU0S06-augustus-gene-2.92&CDS=1-1152	YDR005C
OG0002137	snap_masked-LAQU0S06-processed-gene-2.133-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.133&CDS=1-1770	YBR007C
OG0002138	genemark-LAQU0S06-processed-gene-2.39-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.39&CDS=1-2598	YDR006C
OG0002139	genemark-LAQU0S06-processed-gene-2.25-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.25&CDS=1-663	YDR007W
OG0002140	genemark-LAQU0S06-processed-gene-2.41-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.41&CDS=1-858	YBR011C
OG0002141	genemark-LAQU0S06-processed-gene-2.26-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.26&CDS=1-1284	YBR004C
OG0002142	genemark-LAQU0S06-processed-gene-2.43-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.43&CDS=1-1410	YBR003W
OG0002143	genemark-LAQU0S06-processed-gene-2.27-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.27&CDS=1-852	YBR002C
OG0002144	genemark-LAQU0S06-processed-gene-2.44-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.44&CDS=1-609	YDR002W
OG0002145	augustus_masked-LAQU0S06-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-2.69&CDS=1-2229	YDR001C
OG0002146	augustus_masked-LAQU0S06-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-2.70&CDS=1-312	YBL001C
OG0002147	genemark-LAQU0S06-processed-gene-2.46-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.46&CDS=1-1224	YDL001W
OG0002148	genemark-LAQU0S06-processed-gene-2.30-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.30&CDS=1-609	YDL002C
OG0002149	augustus_masked-LAQU0S06-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-2.87&CDS=1-7491	YBL004W
OG0002150	snap_masked-LAQU0S06-processed-gene-2.143-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.143&CDS=1-1626	YDL003W
OG0002151	genemark-LAQU0S06-processed-gene-2.48-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.48&CDS=1-474	YDL004W
OG0002152	snap_masked-LAQU0S06-processed-gene-2.125-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-2.125&CDS=1-792	YDL005C
OG0002153	maker-LAQU0S06-augustus-gene-3.143-mRNA-1_1&gene=maker-LAQU0S06-augustus-gene-3.143&CDS=1-2052	YDL007W
OG0002154	augustus_masked-LAQU0S06-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.6&CDS=1-2130	YPR003C
OG0002155	genemark-LAQU0S06-processed-gene-3.54-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.54&CDS=1-1023	YPR004C
OG0002156	genemark-LAQU0S06-processed-gene-3.50-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.50&CDS=1-1041	YFR007W
OG0002157	augustus_masked-LAQU0S06-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.9&CDS=1-1827	YPR007C
OG0002158	augustus_masked-LAQU0S06-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.2&CDS=1-615	YFR008W
OG0002159	genemark-LAQU0S06-processed-gene-3.52-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.52&CDS=1-1194	YER145C
OG0002160	genemark-LAQU0S06-processed-gene-3.57-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.57&CDS=1-1836	YGL166W
OG0002161	augustus_masked-LAQU0S06-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.29&CDS=1-4071	YGL163C
OG0002162	augustus_masked-LAQU0S06-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.30&CDS=1-789	YGL161C
OG0002163	augustus_masked-LAQU0S06-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.13&CDS=1-1203	YGL169W
OG0002164	genemark-LAQU0S06-processed-gene-3.80-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.80&CDS=1-6435	YPR010C
OG0002165	genemark-LAQU0S06-processed-gene-3.81-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.81&CDS=1-711	YGR024C
OG0002166	genemark-LAQU0S06-processed-gene-3.64-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.64&CDS=1-1188	YLR355C
OG0002167	genemark-LAQU0S06-processed-gene-3.66-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.66&CDS=1-1344	YGR044C
OG0002168	genemark-LAQU0S06-processed-gene-3.68-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.68&CDS=1-999	YLR354C
OG0002169	genemark-LAQU0S06-processed-gene-3.82-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.82&CDS=1-861	YGR042W
OG0002170	genemark-LAQU0S06-processed-gene-3.70-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.70&CDS=1-891	YLR351C
OG0002171	genemark-LAQU0S06-processed-gene-3.87-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.87&CDS=1-603	YGR038W
OG0002172	augustus_masked-LAQU0S06-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.22&CDS=1-258	YGR037C
OG0002173	augustus_masked-LAQU0S06-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.23&CDS=1-2592	YLR347C
OG0002174	genemark-LAQU0S06-processed-gene-3.72-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.72&CDS=1-717	YGR036C
OG0002175	genemark-LAQU0S06-processed-gene-3.88-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.88&CDS=1-1647	YLR345W
OG0002176	genemark-LAQU0S06-processed-gene-3.73-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.73&CDS=1-732	YGR033C
OG0002177	genemark-LAQU0S06-processed-gene-3.91-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.91&CDS=1-1059	YGR031W
OG0002178	genemark-LAQU0S06-processed-gene-3.93-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.93&CDS=1-933	YLR340W
OG0002179	augustus_masked-LAQU0S06-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-3.26&CDS=1-462	YGR030C
OG0002180	genemark-LAQU0S06-processed-gene-3.76-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.76&CDS=1-2460	YLR337C
OG0002181	maker-LAQU0S06-augustus-gene-3.146-mRNA-1_1&gene=maker-LAQU0S06-augustus-gene-3.146&CDS=1-1593	YGR028W
OG0002182	maker-LAQU0S06-snap-gene-4.201-mRNA-1_1&gene=maker-LAQU0S06-snap-gene-4.201&CDS=1-3204	YLR336C
OG0002183	genemark-LAQU0S06-processed-gene-4.72-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.72&CDS=1-1923	YLR335W
OG0002184	genemark-LAQU0S06-processed-gene-4.73-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.73&CDS=1-792	YGR026W
OG0002185	genemark-LAQU0S06-processed-gene-4.75-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.75&CDS=1-4575	YLR247C
OG0002186	genemark-LAQU0S06-processed-gene-4.76-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.76&CDS=1-618	YLR356W
OG0002187	genemark-LAQU0S06-processed-gene-4.77-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.77&CDS=1-1329	YGR052W
OG0002188	snap_masked-LAQU0S06-processed-gene-4.36-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.36&CDS=1-660	YGR053C
OG0002189	genemark-LAQU0S06-processed-gene-4.78-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.78&CDS=1-1878	YGR054W
OG0002190	snap_masked-LAQU0S06-processed-gene-4.37-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.37&CDS=1-1044	YFL029C
OG0002191	genemark-LAQU0S06-processed-gene-4.106-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.106&CDS=1-1071	YLR056W
OG0002192	genemark-LAQU0S06-processed-gene-4.107-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.107&CDS=1-807	YFL028C
OG0002193	genemark-LAQU0S06-processed-gene-4.79-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.79&CDS=1-1791	YLR055C
OG0002194	snap_masked-LAQU0S06-processed-gene-4.40-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.40&CDS=1-1542	YFL027C
OG0002195	genemark-LAQU0S06-processed-gene-4.80-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.80&CDS=1-2325	YLR057W
OG0002196	genemark-LAQU0S06-processed-gene-4.113-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.113&CDS=1-1110	YFL030W
OG0002197	genemark-LAQU0S06-processed-gene-4.115-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.115&CDS=1-699	YFL031W
OG0002198	genemark-LAQU0S06-processed-gene-4.116-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.116&CDS=1-969	YLR059C
OG0002199	genemark-LAQU0S06-processed-gene-4.81-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.81&CDS=1-4569	YFL033C
OG0002200	genemark-LAQU0S06-processed-gene-4.82-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.82&CDS=1-1779	YLR060W
OG0002201	genemark-LAQU0S06-processed-gene-4.117-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.117&CDS=1-2841	YFL034W
OG0002202	genemark-LAQU0S06-processed-gene-4.84-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.84&CDS=1-1773	YFL034C-B
OG0002203	augustus_masked-LAQU0S06-processed-gene-4.181-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.181&CDS=1-3867	YFL036W
OG0002204	genemark-LAQU0S06-processed-gene-4.119-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.119&CDS=1-1347	YFL037W
OG0002205	genemark-LAQU0S06-processed-gene-4.85-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.85&CDS=1-612	YFL038C
OG0002206	snap_masked-LAQU0S06-processed-gene-4.51-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.51&CDS=1-519	YLR065C
OG0002207	genemark-LAQU0S06-processed-gene-4.121-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.121&CDS=1-975	YFL040W
OG0002208	genemark-LAQU0S06-processed-gene-4.87-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.87&CDS=1-597	YLR066W
OG0002209	genemark-LAQU0S06-processed-gene-4.122-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.122&CDS=1-2451	YLR067C
OG0002210	genemark-LAQU0S06-processed-gene-4.88-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.88&CDS=1-435	YLR068W
OG0002211	genemark-LAQU0S06-processed-gene-4.126-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.126&CDS=1-2985	YLR071C
OG0002212	augustus_masked-LAQU0S06-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.190&CDS=1-582	YLR073C
OG0002213	genemark-LAQU0S06-processed-gene-4.90-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.90&CDS=1-948	YFL044C
OG0002214	genemark-LAQU0S06-processed-gene-4.128-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.128&CDS=1-477	YLR074C
OG0002215	augustus_masked-LAQU0S06-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.157&CDS=1-660	YLR075W
OG0002216	genemark-LAQU0S06-processed-gene-4.92-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.92&CDS=1-765	YFL045C
OG0002217	augustus_masked-LAQU0S06-processed-gene-4.192-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.192&CDS=1-621	YFL046W
OG0002218	genemark-LAQU0S06-processed-gene-4.93-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.93&CDS=1-1767	YLR077W
OG0002219	augustus_masked-LAQU0S06-processed-gene-4.193-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.193&CDS=1-672	YLR078C
OG0002220	snap_masked-LAQU0S06-processed-gene-4.26-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.26&CDS=1-885	YLR079W
OG0002221	genemark-LAQU0S06-processed-gene-4.131-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.131&CDS=1-2115	YFL047W
OG0002222	genemark-LAQU0S06-processed-gene-4.96-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.96&CDS=1-1281	YFL048C
OG0002223	snap_masked-LAQU0S06-processed-gene-4.61-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.61&CDS=1-1554	YFL049W
OG0002224	genemark-LAQU0S06-processed-gene-4.133-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.133&CDS=1-1395	YHR018C
OG0002225	genemark-LAQU0S07-processed-gene-0.70-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.70&CDS=1-1374	YLR459W
OG0002226	genemark-LAQU0S07-processed-gene-0.43-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.43&CDS=1-2295	YPR181C
OG0002227	augustus_masked-LAQU0S07-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.22&CDS=1-960	YPR180W
OG0002228	genemark-LAQU0S07-processed-gene-0.44-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.44&CDS=1-1941	YPR179C
OG0002229	augustus_masked-LAQU0S07-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.23&CDS=1-1413	YPR178W
OG0002230	genemark-LAQU0S07-processed-gene-0.45-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.45&CDS=1-972	YPR176C
OG0002231	genemark-LAQU0S07-processed-gene-0.73-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.73&CDS=1-2085	YPR175W
OG0002232	genemark-LAQU0S07-processed-gene-0.46-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.46&CDS=1-903	YPR174C
OG0002233	genemark-LAQU0S07-processed-gene-0.47-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.47&CDS=1-1281	YPR173C
OG0002234	augustus_masked-LAQU0S07-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.25&CDS=1-1506	YLR455W
OG0002235	snap_masked-LAQU0S07-processed-gene-0.126-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.126&CDS=1-2244	YPR171W
OG0002236	maker-LAQU0S07-snap-gene-0.41-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-0.41&CDS=1-225	YPR170W-B
OG0002237	snap_masked-LAQU0S07-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.100&CDS=1-1818	YOL117W
OG0002238	genemark-LAQU0S07-processed-gene-0.51-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.51&CDS=1-882	YOL116W
OG0002239	genemark-LAQU0S07-processed-gene-0.52-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.52&CDS=1-1836	YOL115W
OG0002240	genemark-LAQU0S07-processed-gene-0.80-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.80&CDS=1-513	YOL114C
OG0002241	genemark-LAQU0S07-processed-gene-0.81-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.81&CDS=1-4842	YNL297C
OG0002242	snap_masked-LAQU0S07-processed-gene-0.105-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.105&CDS=1-1425	YNL295W
OG0002243	genemark-LAQU0S07-processed-gene-0.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.82&CDS=1-1590	YNL294C
OG0002244	genemark-LAQU0S07-processed-gene-0.55-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.55&CDS=1-1692	YNL293W
OG0002245	genemark-LAQU0S07-processed-gene-0.83-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.83&CDS=1-624	YOL111C
OG0002246	maker-LAQU0S07-augustus-gene-0.89-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-0.89&CDS=1-1947	YNL292W
OG0002247	genemark-LAQU0S07-processed-gene-0.84-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.84&CDS=1-1467	YNL291C
OG0002248	genemark-LAQU0S07-processed-gene-0.58-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.58&CDS=1-984	YNL290W
OG0002249	genemark-LAQU0S07-processed-gene-0.59-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.59&CDS=1-783	YNL289W
OG0002250	genemark-LAQU0S07-processed-gene-0.62-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.62&CDS=1-987	YNL288W
OG0002251	genemark-LAQU0S07-processed-gene-0.63-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.63&CDS=1-2799	YNL287W
OG0002252	snap_masked-LAQU0S07-processed-gene-0.114-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.114&CDS=1-891	YNL286W
OG0002253	genemark-LAQU0S07-processed-gene-0.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.86&CDS=1-993	YBR037C
OG0002254	snap_masked-LAQU0S07-processed-gene-0.116-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.116&CDS=1-1350	YDR219C
OG0002255	genemark-LAQU0S07-processed-gene-0.68-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.68&CDS=1-1149	YLR226W
OG0002256	snap_masked-LAQU0S07-processed-gene-0.138-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.138&CDS=1-1353	YLR227C
OG0002257	snap_masked-LAQU0S07-processed-gene-0.118-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.118&CDS=1-3453	YDR217C
OG0002258	genemark-LAQU0S07-processed-gene-1.48-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.48&CDS=1-3318	YDR216W
OG0002259	genemark-LAQU0S07-processed-gene-1.68-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.68&CDS=1-1812	YNL115C
OG0002260	genemark-LAQU0S07-processed-gene-1.69-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.69&CDS=1-1866	YHR114W
OG0002261	genemark-LAQU0S07-processed-gene-1.51-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.51&CDS=1-756	YOR115C
OG0002262	snap_masked-LAQU0S07-processed-gene-1.115-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.115&CDS=1-807	YOR114W
OG0002263	snap_masked-LAQU0S07-processed-gene-1.116-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.116&CDS=1-2307	YOR113W
OG0002264	genemark-LAQU0S07-processed-gene-1.72-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.72&CDS=1-1073	YMR139W
OG0002265	genemark-LAQU0S07-processed-gene-1.75-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.75&CDS=1-597	YMR138W
OG0002266	snap_masked-LAQU0S07-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.98&CDS=1-1785	YMR137C
OG0002267	genemark-LAQU0S07-processed-gene-1.54-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.54&CDS=1-1155	YMR135C
OG0002268	genemark-LAQU0S07-processed-gene-1.77-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.77&CDS=1-729	YMR134W
OG0002269	genemark-LAQU0S07-processed-gene-1.56-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.56&CDS=1-612	YMR132C
OG0002270	genemark-LAQU0S07-processed-gene-1.57-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.57&CDS=1-1566	YMR131C
OG0002271	snap_masked-LAQU0S07-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.102&CDS=1-2991	YLR039C
OG0002272	snap_masked-LAQU0S07-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.103&CDS=1-246	YLR038C
OG0002273	genemark-LAQU0S07-processed-gene-1.79-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.79&CDS=1-936	YMR130W
OG0002274	genemark-LAQU0S07-processed-gene-1.80-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.80&CDS=1-3807	YMR129W
OG0002275	genemark-LAQU0S07-processed-gene-1.81-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.81&CDS=1-5169	YMR128W
OG0002276	genemark-LAQU0S07-processed-gene-1.60-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.60&CDS=1-942	YMR127C
OG0002277	genemark-LAQU0S07-processed-gene-1.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.82&CDS=1-3447	YLR032W
OG0002278	genemark-LAQU0S07-processed-gene-1.61-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.61&CDS=1-1068	YMR126C
OG0002279	genemark-LAQU0S07-processed-gene-1.83-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.83&CDS=1-2583	YMR125W
OG0002280	snap_masked-LAQU0S07-processed-gene-1.131-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.131&CDS=1-2775	YMR124W
OG0002281	genemark-LAQU0S07-processed-gene-1.85-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.85&CDS=1-357	YMR123W
OG0002282	genemark-LAQU0S07-processed-gene-1.65-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.65&CDS=1-1773	YMR120C
OG0002283	genemark-LAQU0S07-processed-gene-1.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.86&CDS=1-1920	YMR119W
OG0002284	genemark-LAQU0S07-processed-gene-1.87-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.87&CDS=1-573	YGR016W
OG0002285	genemark-LAQU0S07-processed-gene-1.66-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.66&CDS=1-930	YGR015C
OG0002286	snap_masked-LAQU0S07-processed-gene-1.136-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.136&CDS=1-1680	YGR013W
OG0002287	genemark-LAQU0S07-processed-gene-1.90-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.90&CDS=1-1191	YGR012W
OG0002288	augustus_masked-LAQU0S07-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.7&CDS=1-258	YGR008C
