	Millerozyma_acaciae	Saccharomyces_cerevisiae
OG0001360	-processed-gene-7.92-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-7.92&CDS=1-900	YBR085W
OG0001361	-processed-gene-8.2-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.2&CDS=1-456	YDR092W
OG0001362	-processed-gene-8.23-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.23&CDS=1-2847	YMR080C
OG0001363	-processed-gene-8.4-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.4&CDS=1-3471	YKL092C
OG0001364	-processed-gene-8.5-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.5&CDS=1-900	YMR079W
OG0001365	-processed-gene-8.98-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.98&CDS=1-1392	YPR085C
OG0001366	-processed-gene-8.26-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.26&CDS=1-2916	YDR166C
OG0001367	-processed-gene-8.27-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.27&CDS=1-2118	YDR026C
OG0001368	-processed-gene-8.13-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.13&CDS=1-684	YKL002W
OG0001369	-processed-gene-8.28-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.28&CDS=1-597	YKL001C
OG0001370	-processed-gene-8.14-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.14&CDS=1-369	YKL003C
OG0001371	-processed-gene-8.29-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.29&CDS=1-1503	YKL004W
OG0001372	-processed-gene-8.15-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.15&CDS=1-906	YMR099C
OG0001373	-processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.31&CDS=1-3204	YLR071C
OG0001374	-processed-gene-8.32-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.32&CDS=1-1638	YKL116C
OG0001375	-processed-gene-8.33-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.33&CDS=1-1506	YOL070C
OG0001376	-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.56&CDS=1-2568	YDR257C
OG0001377	-processed-gene-8.36-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.36&CDS=1-873	YNL289W
OG0001378	-processed-gene-9.4-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.4&CDS=1-3915	YNL273W
OG0001379	-processed-gene-9.7-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.7&CDS=1-1500	YEL064C
OG0001380	-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.98&CDS=1-3462	YLR253W
OG0001381	-processed-gene-9.11-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.11&CDS=1-318	YLR147C
OG0001382	-processed-gene-9.28-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.28&CDS=1-1467	YPL091W
OG0001383	-processed-gene-9.15-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.15&CDS=1-840	YOL067C
OG0001384	-processed-gene-9.33-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.33&CDS=1-831	YDL045C
OG0001385	-processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.34&CDS=1-732	YDL043C
OG0001386	-processed-gene-9.16-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.16&CDS=1-2193	YLR182W
OG0001387	-processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.35&CDS=1-573	YDR373W
OG0001388	-processed-gene-9.17-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.17&CDS=1-426	YOL071W
OG0001389	-processed-gene-9.18-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.18&CDS=1-1182	YLR181C
OG0001390	-processed-gene-9.19-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.19&CDS=1-3141	YLR187W
OG0001391	-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.125&CDS=1-282	YDR510W
OG0001392	-processed-gene-9.20-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.20&CDS=1-1908	YNL279W
OG0001393	-processed-gene-9.41-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.41&CDS=1-2187	YDR499W
OG0001394	-processed-gene-9.22-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.22&CDS=1-747	YLR186W
OG0001395	-processed-gene-9.23-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.23&CDS=1-1116	YCL059C
OG0001396	-processed-gene-9.44-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.44&CDS=1-3621	YCL061C
OG0001397	-processed-gene-9.25-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.25&CDS=1-1146	YLR180W
OG0001398	-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.131&CDS=1-2445	YML123C
OG0001399	-processed-gene-9.26-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.26&CDS=1-1944	YNL272C
OG0001400	-processed-gene-10.48-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.48&CDS=1-3336	YLR067C
OG0001401	-processed-gene-10.93-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.93&CDS=1-561	YLR066W
OG0001402	-processed-gene-10.94-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.94&CDS=1-2292	YNL247W
OG0001403	-processed-gene-10.95-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.95&CDS=1-2313	YLR069C
OG0001404	-processed-gene-10.114-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.114&CDS=1-3522	YBR023C
OG0001405	-processed-gene-10.115-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.115&CDS=1-4764	YNL297C
OG0001406	-processed-gene-10.116-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.116&CDS=1-2550	YGR255C
OG0001407	-processed-gene-10.117-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.117&CDS=1-1038	YPR086W
OG0001408	-processed-gene-10.28-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.28&CDS=1-2088	YNL248C
OG0001409	-processed-gene-10.99-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.99&CDS=1-486	YJR097W
OG0001410	-processed-gene-10.120-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.120&CDS=1-2100	YJR098C
OG0001411	-processed-gene-10.101-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.101&CDS=1-1413	YMR091C
OG0001412	-processed-gene-10.32-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.32&CDS=1-1542	YKL140W
OG0001413	-processed-gene-10.123-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.123&CDS=1-1470	YOL069W
OG0001414	-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.75&CDS=1-1482	YOR125C
OG0001415	-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.61&CDS=1-5136	YDR477W
OG0001416	-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.77&CDS=1-2712	YCL045C
OG0001417	-processed-gene-10.19-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.19&CDS=1-240	YDR525W-A
OG0001418	-processed-gene-10.128-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.128&CDS=1-1401	YDR527W
OG0001419	-processed-gene-10.110-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.110&CDS=1-1155	YGL213C
OG0001420	-processed-gene-10.21-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.21&CDS=1-5187	YLR382C
OG0001421	-processed-gene-10.131-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.131&CDS=1-2331	YGR150C
OG0001422	-processed-gene-10.112-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.112&CDS=1-4776	YOR093C
OG0001423	-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.120&CDS=1-6000	YLR389C
OG0001424	-augustus-gene-11.0-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-11.0&CDS=1-2214	YDL238C
OG0001425	-processed-gene-11.21-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.21&CDS=1-3318	YLR383W
OG0001426	-processed-gene-11.22-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.22&CDS=1-1107	YER154W
OG0001427	-processed-gene-11.48-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.48&CDS=1-5331	YER155C
OG0001428	-processed-gene-11.76-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.76&CDS=1-183	YNL070W
OG0001429	-processed-gene-11.125-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.125&CDS=1-2007	YNL072W
OG0001430	-processed-gene-11.28-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.28&CDS=1-1434	YNL071W
OG0001431	-processed-gene-11.31-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.31&CDS=1-783	YNL110C
OG0001432	-processed-gene-11.32-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.32&CDS=1-363	YNL111C
OG0001433	-processed-gene-11.51-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.51&CDS=1-774	YBR261C
OG0001434	-processed-gene-11.33-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.33&CDS=1-528	YOL146W
OG0001435	-processed-gene-11.145-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.145&CDS=1-3261	YOL145C
OG0001436	-processed-gene-11.105-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.105&CDS=1-3465	YGL093W
OG0001437	-processed-gene-11.34-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.34&CDS=1-672	YOL147C
OG0001438	-augustus-gene-11.3-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-11.3&CDS=1-3159	YBL082C
OG0001439	-processed-gene-11.53-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.53&CDS=1-2286	YER109C
OG0001440	-processed-gene-11.55-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.55&CDS=1-1104	YER107C
OG0001441	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.39&CDS=1-2874	YJL084C
OG0001442	-processed-gene-11.58-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.58&CDS=1-1416	YJL046W
OG0001443	-processed-gene-11.41-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.41&CDS=1-867	YBR257W
OG0001444	-processed-gene-11.60-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.60&CDS=1-969	YNR003C
OG0001445	-processed-gene-11.43-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.43&CDS=1-1026	YJL088W
OG0001446	-processed-gene-11.96-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.96&CDS=1-3105	YPL183C
OG0001447	-processed-gene-11.61-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.61&CDS=1-3249	YBL076C
OG0001448	-snap-gene-12.89-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-snap-gene-12.89&CDS=1-6750	YCR042C
OG0001449	-processed-gene-12.46-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.46&CDS=1-339	YHR087W
OG0001450	-processed-gene-12.48-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.48&CDS=1-2172	YDR333C
OG0001451	-processed-gene-12.49-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.49&CDS=1-1848	YHR039C
OG0001452	-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.99&CDS=1-2889	YOR351C
OG0001453	-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.115&CDS=1-894	YLR271W
OG0001454	-processed-gene-12.52-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.52&CDS=1-987	YOR174W
OG0001455	-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.116&CDS=1-1164	YOR176W
OG0001456	-processed-gene-12.71-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.71&CDS=1-1800	YOR175C
OG0001457	-processed-gene-12.72-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.72&CDS=1-3495	YLR272C
OG0001458	-processed-gene-12.73-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.73&CDS=1-1431	YMR005W
OG0001459	-processed-gene-12.53-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.53&CDS=1-1116	YOL010W
OG0001460	-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.120&CDS=1-8796	YKL203C
OG0001461	-processed-gene-12.76-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.76&CDS=1-1656	YJR064W
OG0001462	-processed-gene-12.54-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.54&CDS=1-957	YJR070C
OG0001463	-processed-gene-12.77-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.77&CDS=1-369	YJR063W
OG0001464	-processed-gene-12.78-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.78&CDS=1-765	YKL206C
OG0001465	-processed-gene-12.80-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.80&CDS=1-510	YGL068W
OG0001466	-processed-gene-12.57-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.57&CDS=1-336	YGL070C
OG0001467	-processed-gene-12.83-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.83&CDS=1-726	YNL010W
OG0001468	-processed-gene-12.59-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.59&CDS=1-5358	YLR247C
OG0001469	-processed-gene-12.84-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.84&CDS=1-762	YNL312W
OG0001470	-processed-gene-12.106-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.106&CDS=1-1887	YDR349C
OG0001471	-processed-gene-12.85-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.85&CDS=1-1161	YML038C
OG0001472	-processed-gene-12.86-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.86&CDS=1-1302	YDR165W
OG0001473	-processed-gene-12.87-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.87&CDS=1-2202	YLR114C
OG0001474	-processed-gene-12.88-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.88&CDS=1-486	YDR155C
OG0001475	-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.67&CDS=1-1665	YLR141W
OG0001476	-processed-gene-13.117-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.117&CDS=1-705	YDR162C
OG0001477	-processed-gene-12.64-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.64&CDS=1-711	YDR152W
OG0001478	-augustus-gene-13.60-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-13.60&CDS=1-2799	YML034W
OG0001479	-processed-gene-13.141-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.141&CDS=1-4974	YLR222C
OG0001480	-processed-gene-13.120-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.120&CDS=1-1488	YLR142W
OG0001481	-processed-gene-13.93-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.93&CDS=1-2997	YDR217C
OG0001482	-processed-gene-13.145-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.145&CDS=1-2766	YLR223C
OG0001483	-processed-gene-13.148-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.148&CDS=1-1035	YLR165C
OG0001484	-processed-gene-13.127-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.127&CDS=1-1239	YIL160C
OG0001485	-processed-gene-13.128-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.128&CDS=1-1470	YHR030C
OG0001486	-processed-gene-13.129-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.129&CDS=1-2811	YFL024C
OG0001487	-processed-gene-13.152-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.152&CDS=1-1275	YIL153W
OG0001488	-processed-gene-13.132-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.132&CDS=1-1659	YKR097W
OG0001489	-processed-gene-13.106-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.106&CDS=1-4134	YOR048C
OG0001490	-processed-gene-13.159-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.159&CDS=1-1722	YAL067C
OG0001491	-processed-gene-13.160-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.160&CDS=1-2136	YKR095W-A
OG0001492	-processed-gene-0.98-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.98&CDS=1-1491	YOL119C
OG0001493	-processed-gene-0.121-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.121&CDS=1-1635	YNL189W
OG0001494	-snap-gene-0.135-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-snap-gene-0.135&CDS=1-3990	YHR132C
OG0001495	-processed-gene-0.34-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.34&CDS=1-651	YHR140W
OG0001496	-processed-gene-0.126-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.126&CDS=1-879	YHR134W
OG0001497	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.108&CDS=1-1539	YBR286W
OG0001498	-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.79&CDS=1-1533	YPL214C
OG0001499	-processed-gene-0.128-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.128&CDS=1-555	YAL033W
OG0001500	-processed-gene-0.129-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.129&CDS=1-2955	YGR047C
OG0001501	-processed-gene-0.109-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.109&CDS=1-4542	YOR336W
OG0001502	-processed-gene-0.131-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.131&CDS=1-969	YPL196W
OG0001503	-processed-gene-0.132-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.132&CDS=1-750	YIR030C
OG0001504	-processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.111&CDS=1-1620	YPL194W
OG0001505	-processed-gene-0.133-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.133&CDS=1-342	YGL080W
OG0001506	-snap-gene-1.39-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-snap-gene-1.39&CDS=1-3492	YOR014W
OG0001507	-processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.52&CDS=1-1563	YML056C
OG0001508	-processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.53&CDS=1-948	YAL025C
OG0001509	-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.6&CDS=1-1476	YOR049C
OG0001510	-processed-gene-1.56-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.56&CDS=1-642	YOR185C
OG0001511	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.78&CDS=1-363	YLR298C
OG0001512	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.57&CDS=1-321	YLR295C
OG0001513	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.80&CDS=1-549	YLR281C
OG0001514	-processed-gene-1.59-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.59&CDS=1-2193	YLR274W
OG0001515	-processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.60&CDS=1-2715	YLR277C
OG0001516	-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.13&CDS=1-4107	YLR289W
OG0001517	-processed-gene-1.81-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.81&CDS=1-1734	YER086W
OG0001518	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.65&CDS=1-1326	YDR229W
OG0001519	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.82&CDS=1-1230	YGR286C
OG0001520	-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.17&CDS=1-6804	YDR232W
OG0001521	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.83&CDS=1-909	YOR340C
OG0001522	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.71&CDS=1-1254	YAL034W-A
OG0001523	-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.19&CDS=1-1083	YNR015W
OG0001524	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.87&CDS=1-627	YNR017W
OG0001525	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.89&CDS=1-993	YCR060W
OG0001526	-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.124&CDS=1-906	YCR059C
OG0001527	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.71&CDS=1-2823	YCR057C
OG0001528	-processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.72&CDS=1-2478	YFR015C
OG0001529	-processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.76&CDS=1-1245	YBL086C
OG0001530	-processed-gene-2.103-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.103&CDS=1-627	YHR122W
OG0001531	-processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.104&CDS=1-336	YNL135C
