	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0001724	maker-scaffold_3-augustus-gene-6.75-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.75&CDS=1-936	YCR016W
OG0001725	genemark-scaffold_3-processed-gene-6.44-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.44&CDS=1-819	YCR015C
OG0001726	augustus_masked-scaffold_3-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.8&CDS=1-1965	YOR205C
OG0001727	augustus_masked-scaffold_3-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.13&CDS=1-2295	YER091C
OG0001728	maker-scaffold_3-augustus-gene-6.73-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-6.73&CDS=1-1107	YBL058W
OG0001729	snap_masked-scaffold_3-processed-gene-6.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.92&CDS=1-1542	YER090W
OG0001730	augustus_masked-scaffold_3-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.28&CDS=1-600	YBL057C
OG0001731	augustus_masked-scaffold_3-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.16&CDS=1-1242	YBL055C
OG0001732	augustus_masked-scaffold_3-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.47&CDS=1-2208	YBL051C
OG0001733	augustus_masked-scaffold_3-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.46&CDS=1-261	YER019C-A
OG0001734	augustus_masked-scaffold_3-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.48&CDS=1-1668	YER087W
OG0001735	augustus_masked-scaffold_3-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.50&CDS=1-648	YNL038W
OG0001736	augustus_masked-scaffold_3-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.51&CDS=1-1866	YNL039W
OG0001737	augustus_masked-scaffold_3-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.52&CDS=1-1188	YNL035C
OG0001738	augustus_masked-scaffold_3-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.68&CDS=1-1116	YIL094C
OG0001739	augustus_masked-scaffold_3-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.69&CDS=1-633	YOR232W
OG0001740	augustus_masked-scaffold_3-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.53&CDS=1-936	YDR337W
OG0001741	augustus_masked-scaffold_3-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.71&CDS=1-600	YJR112W
OG0001742	augustus_masked-scaffold_3-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.54&CDS=1-879	YBL050W
OG0001743	augustus_masked-scaffold_3-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.55&CDS=1-3024	YGR125W
OG0001744	augustus_masked-scaffold_3-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.56&CDS=1-588	YDL046W
OG0001745	augustus_masked-scaffold_3-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.75&CDS=1-2895	YCR017C
OG0001746	maker-scaffold_3-augustus-gene-7.44-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.44&CDS=1-1101	YBR039W
OG0001747	augustus_masked-scaffold_3-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.76&CDS=1-1992	YER113C
OG0001748	augustus_masked-scaffold_3-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.77&CDS=1-2166	YBL084C
OG0001749	augustus_masked-scaffold_3-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.79&CDS=1-399	YHR116W
OG0001750	augustus_masked-scaffold_3-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.60&CDS=1-1365	YNL119W
OG0001751	augustus_masked-scaffold_3-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.80&CDS=1-981	YIR026C
OG0001752	maker-scaffold_3-augustus-gene-7.45-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.45&CDS=1-1395	YNR001C
OG0001753	augustus_masked-scaffold_3-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.63&CDS=1-2982	YPL040C
OG0001754	augustus_masked-scaffold_3-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.81&CDS=1-1950	YER068W
OG0001755	augustus_masked-scaffold_3-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.65&CDS=1-1095	YOR258W
OG0001756	genemark-scaffold_3-processed-gene-7.127-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.127&CDS=1-1917	YBR163W
OG0001757	augustus_masked-scaffold_3-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.84&CDS=1-1113	YPL011C
OG0001758	augustus_masked-scaffold_3-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.85&CDS=1-579	YPL010W
OG0001759	augustus_masked-scaffold_3-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.66&CDS=1-1467	YPL020C
OG0001760	augustus_masked-scaffold_3-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.87&CDS=1-2625	YMR302C
OG0001761	augustus_masked-scaffold_3-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.88&CDS=1-1080	YGR028W
OG0001762	augustus_masked-scaffold_3-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.67&CDS=1-2913	YLR336C
OG0001763	augustus_masked-scaffold_3-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.96&CDS=1-3702	YFL008W
OG0001764	augustus_masked-scaffold_3-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.97&CDS=1-3906	YDR464W
OG0001765	augustus_masked-scaffold_3-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.98&CDS=1-969	YLR354C
OG0001766	augustus_masked-scaffold_3-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.99&CDS=1-522	YDR236C
OG0001767	augustus_masked-scaffold_3-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.116&CDS=1-1380	YDR235W
OG0001768	augustus_masked-scaffold_3-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.101&CDS=1-771	YLR285W
OG0001769	augustus_masked-scaffold_3-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.119&CDS=1-3423	YBL023C
OG0001770	augustus_masked-scaffold_3-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.120&CDS=1-1551	YMR115W
OG0001771	augustus_masked-scaffold_3-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.103&CDS=1-291	YDL157C
OG0001772	augustus_masked-scaffold_3-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.105&CDS=1-1659	YDL159W
OG0001773	augustus_masked-scaffold_3-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.123&CDS=1-2025	YOR273C
OG0001774	augustus_masked-scaffold_3-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.106&CDS=1-1086	YHR085W
OG0001775	augustus_masked-scaffold_3-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.107&CDS=1-717	YHR038W
OG0001776	augustus_masked-scaffold_3-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.125&CDS=1-2127	YGL124C
OG0001777	augustus_masked-scaffold_3-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.126&CDS=1-639	YLR268W
OG0001778	augustus_masked-scaffold_3-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.108&CDS=1-723	YJR056C
OG0001779	augustus_masked-scaffold_3-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.127&CDS=1-1416	YOR260W
OG0001780	augustus_masked-scaffold_3-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.109&CDS=1-1236	YOR259C
OG0001781	augustus_masked-scaffold_3-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.128&CDS=1-954	YPL173W
OG0001782	maker-scaffold_3-augustus-gene-8.45-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.45&CDS=1-528	YOR257W
OG0001783	genemark-scaffold_3-processed-gene-8.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.36&CDS=1-1443	YPL175W
OG0001784	genemark-scaffold_3-processed-gene-8.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.37&CDS=1-1812	YPL169C
OG0001785	augustus_masked-scaffold_3-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.131&CDS=1-462	YPL170W
OG0001786	augustus_masked-scaffold_3-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.111&CDS=1-516	YOR253W
OG0001787	augustus_masked-scaffold_3-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.132&CDS=1-1986	YOR254C
OG0001788	maker-scaffold_3-augustus-gene-8.46-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.46&CDS=1-2457	YMR120C
OG0001789	augustus_masked-scaffold_3-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.112&CDS=1-1968	YNL124W
OG0001790	genemark-scaffold_3-processed-gene-8.42-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.42&CDS=1-2670	YHR120W
OG0001791	genemark-scaffold_3-processed-gene-8.43-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.43&CDS=1-951	YNL136W
OG0001792	augustus_masked-scaffold_3-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.113&CDS=1-1380	YNL137C
OG0001793	augustus_masked-scaffold_3-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.114&CDS=1-906	YNL063W
OG0001794	augustus_masked-scaffold_3-processed-gene-9.95-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.95&CDS=1-1395	YNL062C
OG0001795	augustus_masked-scaffold_3-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.92&CDS=1-1833	YNL061W
OG0001796	augustus_masked-scaffold_3-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.96&CDS=1-2313	YNL059C
OG0001797	augustus_masked-scaffold_3-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.93&CDS=1-1563	YNL138W
OG0001798	augustus_masked-scaffold_3-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.94&CDS=1-1221	YNL064C
OG0001799	augustus_masked-scaffold_3-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.98&CDS=1-699	YNL129W
OG0001800	augustus_masked-scaffold_3-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.118&CDS=1-3141	YNL132W
OG0001801	augustus_masked-scaffold_3-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.99&CDS=1-1269	YBL026W
OG0001802	genemark-scaffold_3-processed-gene-9.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.73&CDS=1-513	YER137C
OG0001803	snap_masked-scaffold_3-processed-gene-9.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.26&CDS=1-1689	YBL020W
OG0001804	augustus_masked-scaffold_3-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.100&CDS=1-936	YBL021C
OG0001805	augustus_masked-scaffold_3-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.101&CDS=1-2130	YBL024W
OG0001806	augustus_masked-scaffold_3-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.121&CDS=1-597	YBL025W
OG0001807	augustus_masked-scaffold_3-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.103&CDS=1-3210	YBL022C
OG0001808	augustus_masked-scaffold_3-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.123&CDS=1-468	YDL208W
OG0001809	augustus_masked-scaffold_3-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.124&CDS=1-2841	YDR238C
OG0001810	augustus_masked-scaffold_3-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.127&CDS=1-2379	YBR198C
OG0001811	augustus_masked-scaffold_3-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.128&CDS=1-1023	YPL076W
OG0001812	augustus_masked-scaffold_3-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.107&CDS=1-1449	YGL253W
OG0001813	augustus_masked-scaffold_3-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.108&CDS=1-435	YOL026C
OG0001814	augustus_masked-scaffold_3-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.129&CDS=1-396	YIR015W
OG0001815	augustus_masked-scaffold_3-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.110&CDS=1-750	YOL038W
OG0001816	snap_masked-scaffold_3-processed-gene-9.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.37&CDS=1-1131	YKL113C
OG0001817	snap_masked-scaffold_3-processed-gene-9.38-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.38&CDS=1-1017	YCR002C
OG0001818	augustus_masked-scaffold_3-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.111&CDS=1-570	YCR003W
OG0001819	augustus_masked-scaffold_3-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.131&CDS=1-693	YBR035C
OG0001820	augustus_masked-scaffold_3-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.132&CDS=1-600	YDR032C
OG0001821	augustus_masked-scaffold_3-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.134&CDS=1-459	YLR170C
OG0001822	snap_masked-scaffold_3-processed-gene-9.22-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.22&CDS=1-2172	YDR017C
OG0001823	augustus_masked-scaffold_3-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.82&CDS=1-1890	YHL032C
OG0001824	augustus_masked-scaffold_3-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.88&CDS=1-1110	YPR035W
OG0001825	augustus_masked-scaffold_3-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.89&CDS=1-1437	YPR036W
OG0001826	augustus_masked-scaffold_3-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.104&CDS=1-918	YFR041C
OG0001827	augustus_masked-scaffold_3-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.92&CDS=1-756	YFR042W
OG0001828	augustus_masked-scaffold_3-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.93&CDS=1-276	YMR225C
OG0001829	augustus_masked-scaffold_3-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.106&CDS=1-1134	YOR388C
OG0001830	augustus_masked-scaffold_3-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.107&CDS=1-774	YLL041C
OG0001831	augustus_masked-scaffold_3-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.111&CDS=1-1164	YGL153W
OG0001832	augustus_masked-scaffold_3-processed-gene-10.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.112&CDS=1-1023	YDL119C
OG0001833	genemark-scaffold_3-processed-gene-10.32-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.32&CDS=1-1149	YGL155W
OG0001834	snap_masked-scaffold_3-processed-gene-10.77-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.77&CDS=1-3834	YGL150C
OG0001835	genemark-scaffold_3-processed-gene-10.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.19&CDS=1-321	YJR085C
OG0001836	maker-scaffold_3-augustus-gene-10.42-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.42&CDS=1-4749	YGR061C
OG0001837	augustus_masked-scaffold_3-processed-gene-11.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.0&CDS=1-444	YOR224C
OG0001838	maker-scaffold_3-augustus-gene-11.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.51&CDS=1-1503	YKL035W
OG0001839	snap_masked-scaffold_3-processed-gene-11.103-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.103&CDS=1-288	YOR265W
OG0001840	maker-scaffold_3-augustus-gene-11.53-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.53&CDS=1-1473	YDR403W
OG0001841	genemark-scaffold_3-processed-gene-11.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.58&CDS=1-1374	YDR402C
OG0001842	snap_masked-scaffold_3-processed-gene-11.105-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.105&CDS=1-1452	YBR180W
OG0001843	augustus_masked-scaffold_3-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.7&CDS=1-1632	YCL038C
OG0001844	augustus_masked-scaffold_3-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.8&CDS=1-510	YJR025C
OG0001845	augustus_masked-scaffold_3-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.9&CDS=1-852	YOR223W
OG0001846	augustus_masked-scaffold_3-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.10&CDS=1-858	YOR222W
OG0001847	augustus_masked-scaffold_3-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.12&CDS=1-2109	YOR206W
OG0001848	augustus_masked-scaffold_3-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.29&CDS=1-1785	YPL133C
OG0001849	augustus_masked-scaffold_3-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.31&CDS=1-3468	YOR207C
OG0001850	augustus_masked-scaffold_3-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.13&CDS=1-1542	YPL122C
OG0001851	augustus_masked-scaffold_3-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.34&CDS=1-1641	YHR168W
OG0001852	augustus_masked-scaffold_3-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.14&CDS=1-1317	YHR169W
OG0001853	augustus_masked-scaffold_3-processed-gene-11.15-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.15&CDS=1-1905	YGR246C
OG0001854	augustus_masked-scaffold_3-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.16&CDS=1-2238	YGR245C
OG0001855	augustus_masked-scaffold_3-processed-gene-11.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.36&CDS=1-795	YDR174W
OG0001856	augustus_masked-scaffold_3-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.17&CDS=1-993	YOR221C
OG0001857	augustus_masked-scaffold_3-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.19&CDS=1-543	YOR286W
OG0001858	augustus_masked-scaffold_3-processed-gene-11.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.37&CDS=1-747	YOR287C
OG0001859	augustus_masked-scaffold_3-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.20&CDS=1-1242	YGR244C
OG0001860	augustus_masked-scaffold_3-processed-gene-11.21-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.21&CDS=1-759	YGR253C
OG0001861	augustus_masked-scaffold_3-processed-gene-11.38-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.38&CDS=1-2535	YHR172W
OG0001862	augustus_masked-scaffold_3-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.39&CDS=1-1896	YHR171W
OG0001863	augustus_masked-scaffold_3-processed-gene-11.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.40&CDS=1-1545	YHR170W
OG0001864	augustus_masked-scaffold_3-processed-gene-11.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.22&CDS=1-1353	YGR252W
OG0001865	snap_masked-scaffold_3-processed-gene-11.123-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.123&CDS=1-816	YGR247W
OG0001866	genemark-scaffold_3-processed-gene-11.80-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.80&CDS=1-3324	YER176W
OG0001867	genemark-scaffold_3-processed-gene-11.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.81&CDS=1-1557	YOR002W
OG0001868	augustus_masked-scaffold_3-processed-gene-12.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.3&CDS=1-2019	YNL258C
OG0001869	augustus_masked-scaffold_3-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.8&CDS=1-456	YNL260C
OG0001870	augustus_masked-scaffold_3-processed-gene-12.5-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.5&CDS=1-1155	YHR156C
OG0001871	maker-scaffold_3-augustus-gene-12.129-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.129&CDS=1-8097	YNL262W
OG0001872	augustus_masked-scaffold_3-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.23&CDS=1-957	YNL263C
OG0001873	augustus_masked-scaffold_3-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.9&CDS=1-1422	YBR126C
OG0001874	augustus_masked-scaffold_3-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.25&CDS=1-1029	YBR125C
OG0001875	augustus_masked-scaffold_3-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.26&CDS=1-1233	YPR084W
OG0001876	augustus_masked-scaffold_3-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.12&CDS=1-1524	YBR127C
OG0001877	augustus_masked-scaffold_3-processed-gene-12.27-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.27&CDS=1-2361	YJL200C
OG0001878	augustus_masked-scaffold_3-processed-gene-12.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.28&CDS=1-393	YLR104W
OG0001879	augustus_masked-scaffold_3-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.29&CDS=1-1296	YER019W
OG0001880	augustus_masked-scaffold_3-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.31&CDS=1-2088	YOR087W
OG0001881	genemark-scaffold_3-processed-gene-12.116-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.116&CDS=1-1242	YGR042W
OG0001882	augustus_masked-scaffold_3-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.34&CDS=1-870	YDR237W
OG0001883	augustus_masked-scaffold_3-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.15&CDS=1-1566	YDL207W
OG0001884	augustus_masked-scaffold_3-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.35&CDS=1-3972	YMR076C
OG0001885	augustus_masked-scaffold_3-processed-gene-12.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.17&CDS=1-342	YHR087W
OG0001886	augustus_masked-scaffold_3-processed-gene-12.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.18&CDS=1-2061	YDR333C
OG0001887	augustus_masked-scaffold_3-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.19&CDS=1-1839	YHR039C
OG0001888	augustus_masked-scaffold_3-processed-gene-12.38-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.38&CDS=1-339	YHR039C-A
OG0001889	augustus_masked-scaffold_3-processed-gene-12.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.39&CDS=1-4857	YDR334W
OG0001890	augustus_masked-scaffold_3-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.20&CDS=1-1404	YHR086W
OG0001891	augustus_masked-scaffold_3-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.42&CDS=1-930	YLR271W
OG0001892	augustus_masked-scaffold_3-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.21&CDS=1-921	YOR174W
OG0001893	augustus_masked-scaffold_3-processed-gene-12.43-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.43&CDS=1-1128	YOR176W
OG0001894	augustus_masked-scaffold_3-processed-gene-12.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.44&CDS=1-1812	YOR175C
OG0001895	augustus_masked-scaffold_3-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.1&CDS=1-3453	YLR272C
OG0001896	augustus_masked-scaffold_3-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.2&CDS=1-1461	YMR005W
OG0001897	augustus_masked-scaffold_3-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.0&CDS=1-1116	YOL010W
OG0001898	augustus_masked-scaffold_3-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.3&CDS=1-7440	YKL203C
