	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0001879	augustus_masked-Arad1C-processed-gene-21.71-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.71&CDS=1-714	YOR232W
OG0001880	augustus_masked-Arad1C-processed-gene-21.96-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.96&CDS=1-1350	YPR047W
OG0001881	augustus_masked-Arad1C-processed-gene-21.72-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.72&CDS=1-717	YBL038W
OG0001882	augustus_masked-Arad1C-processed-gene-21.97-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.97&CDS=1-1041	YBR087W
OG0001883	augustus_masked-Arad1C-processed-gene-21.98-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.98&CDS=1-822	YFR041C
OG0001884	augustus_masked-Arad1C-processed-gene-21.74-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.74&CDS=1-2664	YOR233W
OG0001885	maker-Arad1C-augustus-gene-21.60-mRNA-1_1&gene=maker-Arad1C-augustus-gene-21.60&CDS=1-288	YBR091C
OG0001886	augustus_masked-Arad1C-processed-gene-21.76-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.76&CDS=1-1293	YGL059W
OG0001887	augustus_masked-Arad1C-processed-gene-21.103-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.103&CDS=1-1437	YFR044C
OG0001888	augustus_masked-Arad1C-processed-gene-21.79-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.79&CDS=1-1224	YBR215W
OG0001889	augustus_masked-Arad1C-processed-gene-21.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.80&CDS=1-543	YOR285W
OG0001890	augustus_masked-Arad1C-processed-gene-21.105-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.105&CDS=1-732	YOR287C
OG0001891	maker-Arad1C-augustus-gene-21.61-mRNA-1_1&gene=maker-Arad1C-augustus-gene-21.61&CDS=1-294	YMR225C
OG0001892	maker-Arad1C-augustus-gene-21.58-mRNA-1_1&gene=maker-Arad1C-augustus-gene-21.58&CDS=1-384	YBR217W
OG0001893	maker-Arad1C-snap-gene-21.183-mRNA-1_1&gene=maker-Arad1C-snap-gene-21.183&CDS=1-1614	YOR288C
OG0001894	augustus_masked-Arad1C-processed-gene-21.83-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.83&CDS=1-1353	YER020W
OG0001895	augustus_masked-Arad1C-processed-gene-21.108-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.108&CDS=1-5568	YDR170C
OG0001896	augustus_masked-Arad1C-processed-gene-21.109-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.109&CDS=1-783	YLL041C
OG0001897	augustus_masked-Arad1C-processed-gene-21.110-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.110&CDS=1-468	YIR009W
OG0001898	augustus_masked-Arad1C-processed-gene-21.86-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.86&CDS=1-663	YHL031C
OG0001899	augustus_masked-Arad1C-processed-gene-21.111-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.111&CDS=1-2277	YER014W
OG0001900	augustus_masked-Arad1C-processed-gene-21.88-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.88&CDS=1-1485	YKL162C
OG0001901	augustus_masked-Arad1C-processed-gene-21.89-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.89&CDS=1-264	YKR095W-A
OG0001902	augustus_masked-Arad1C-processed-gene-21.91-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.91&CDS=1-999	YFR045W
OG0001903	augustus_masked-Arad1C-processed-gene-21.115-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.115&CDS=1-2340	YGL234W
OG0001904	augustus_masked-Arad1C-processed-gene-21.116-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.116&CDS=1-1599	YDL160C
OG0001905	augustus_masked-Arad1C-processed-gene-21.92-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.92&CDS=1-1131	YDL159W
OG0001906	augustus_masked-Arad1C-processed-gene-21.94-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.94&CDS=1-1524	YDL156W
OG0001907	augustus_masked-Arad1C-processed-gene-22.71-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.71&CDS=1-1197	YMR113W
OG0001908	augustus_masked-Arad1C-processed-gene-22.75-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.75&CDS=1-1416	YHR190W
OG0001909	augustus_masked-Arad1C-processed-gene-22.73-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.73&CDS=1-966	YML121W
OG0001910	augustus_masked-Arad1C-processed-gene-22.76-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.76&CDS=1-645	YGR147C
OG0001911	snap_masked-Arad1C-processed-gene-22.35-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-22.35&CDS=1-1005	YMR114C
OG0001912	augustus_masked-Arad1C-processed-gene-22.79-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.79&CDS=1-1290	YMR115W
OG0001913	augustus_masked-Arad1C-processed-gene-22.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.80&CDS=1-2232	YKL134C
OG0001914	maker-Arad1C-augustus-gene-22.135-mRNA-1_1&gene=maker-Arad1C-augustus-gene-22.135&CDS=1-957	YMR116C
OG0001915	maker-Arad1C-augustus-gene-22.136-mRNA-1_1&gene=maker-Arad1C-augustus-gene-22.136&CDS=1-441	YMR112C
OG0001916	augustus_masked-Arad1C-processed-gene-22.108-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.108&CDS=1-1104	YPR035W
OG0001917	augustus_masked-Arad1C-processed-gene-22.109-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.109&CDS=1-1554	YHL032C
OG0001918	genemark-Arad1C-processed-gene-22.153-mRNA-1_1&gene=genemark-Arad1C-processed-gene-22.153&CDS=1-399	YGL080W
OG0001919	augustus_masked-Arad1C-processed-gene-22.112-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.112&CDS=1-2667	YPL195W
OG0001920	maker-Arad1C-augustus-gene-22.137-mRNA-1_1&gene=maker-Arad1C-augustus-gene-22.137&CDS=1-2439	YPL196W
OG0001921	augustus_masked-Arad1C-processed-gene-22.115-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.115&CDS=1-1614	YGL078C
OG0001922	augustus_masked-Arad1C-processed-gene-22.87-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.87&CDS=1-1641	YML130C
OG0001923	augustus_masked-Arad1C-processed-gene-22.116-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.116&CDS=1-435	YML098W
OG0001924	augustus_masked-Arad1C-processed-gene-22.88-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.88&CDS=1-2448	YML099C
OG0001925	augustus_masked-Arad1C-processed-gene-22.117-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.117&CDS=1-1032	YMR315W
OG0001926	augustus_masked-Arad1C-processed-gene-22.120-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.120&CDS=1-1917	YKL025C
OG0001927	genemark-Arad1C-processed-gene-22.164-mRNA-1_1&gene=genemark-Arad1C-processed-gene-22.164&CDS=1-744	YIR035C
OG0001928	augustus_masked-Arad1C-processed-gene-22.93-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.93&CDS=1-924	YKL024C
OG0001929	augustus_masked-Arad1C-processed-gene-22.122-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.122&CDS=1-552	YJR017C
OG0001930	augustus_masked-Arad1C-processed-gene-22.123-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.123&CDS=1-1737	YPL243W
OG0001931	genemark-Arad1C-processed-gene-22.197-mRNA-1_1&gene=genemark-Arad1C-processed-gene-22.197&CDS=1-3429	YNL329C
OG0001932	augustus_masked-Arad1C-processed-gene-22.97-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.97&CDS=1-474	YLR050C
OG0001933	augustus_masked-Arad1C-processed-gene-22.127-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.127&CDS=1-1074	YNL326C
OG0001934	maker-Arad1C-augustus-gene-22.139-mRNA-1_1&gene=maker-Arad1C-augustus-gene-22.139&CDS=1-261	YGR037C
OG0001935	augustus_masked-Arad1C-processed-gene-22.129-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.129&CDS=1-600	YFL005W
OG0001936	augustus_masked-Arad1C-processed-gene-22.99-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.99&CDS=1-1770	YLR060W
OG0001937	snap_masked-Arad1C-processed-gene-22.62-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-22.62&CDS=1-1053	YPL244C
OG0001938	augustus_masked-Arad1C-processed-gene-22.100-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.100&CDS=1-1356	YNL330C
OG0001939	augustus_masked-Arad1C-processed-gene-22.131-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.131&CDS=1-1083	YPL188W
OG0001940	augustus_masked-Arad1C-processed-gene-23.13-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.13&CDS=1-3123	YFL034W
OG0001941	augustus_masked-Arad1C-processed-gene-23.10-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.10&CDS=1-3684	YMR129W
OG0001942	augustus_masked-Arad1C-processed-gene-23.12-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.12&CDS=1-933	YLR063W
OG0001943	augustus_masked-Arad1C-processed-gene-23.40-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.40&CDS=1-1536	YLR033W
OG0001944	augustus_masked-Arad1C-processed-gene-23.15-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.15&CDS=1-1365	YLR005W
OG0001945	augustus_masked-Arad1C-processed-gene-23.41-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.41&CDS=1-3825	YMR128W
OG0001946	augustus_masked-Arad1C-processed-gene-23.16-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.16&CDS=1-915	YMR127C
OG0001947	augustus_masked-Arad1C-processed-gene-23.42-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.42&CDS=1-2259	YMR061W
OG0001948	augustus_masked-Arad1C-processed-gene-23.17-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.17&CDS=1-873	YMR060C
OG0001949	genemark-Arad1C-processed-gene-23.148-mRNA-1_1&gene=genemark-Arad1C-processed-gene-23.148&CDS=1-327	YMR059W
OG0001950	genemark-Arad1C-processed-gene-23.149-mRNA-1_1&gene=genemark-Arad1C-processed-gene-23.149&CDS=1-183	YLL009C
OG0001951	augustus_masked-Arad1C-processed-gene-23.18-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.18&CDS=1-798	YPL162C
OG0001952	maker-Arad1C-augustus-gene-23.5-mRNA-1_1&gene=maker-Arad1C-augustus-gene-23.5&CDS=1-1350	YLL011W
OG0001953	augustus_masked-Arad1C-processed-gene-23.43-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.43&CDS=1-1146	YLR019W
OG0001954	augustus_masked-Arad1C-processed-gene-23.21-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.21&CDS=1-1497	YER052C
OG0001955	augustus_masked-Arad1C-processed-gene-23.44-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.44&CDS=1-831	YIL043C
OG0001956	augustus_masked-Arad1C-processed-gene-23.45-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.45&CDS=1-954	YLR017W
OG0001957	augustus_masked-Arad1C-processed-gene-23.46-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.46&CDS=1-1362	YLR212C
OG0001958	augustus_masked-Arad1C-processed-gene-23.24-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.24&CDS=1-969	YHR104W
OG0001959	augustus_masked-Arad1C-processed-gene-23.25-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.25&CDS=1-861	YLR351C
OG0001960	augustus_masked-Arad1C-processed-gene-23.26-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.26&CDS=1-6129	YJL005W
OG0001961	augustus_masked-Arad1C-processed-gene-23.29-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.29&CDS=1-798	YEL009C
OG0001962	maker-Arad1C-augustus-gene-23.7-mRNA-1_1&gene=maker-Arad1C-augustus-gene-23.7&CDS=1-1653	YNL112W
OG0001963	augustus_masked-Arad1C-processed-gene-23.50-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.50&CDS=1-2199	YOR112W
OG0001964	maker-Arad1C-augustus-gene-23.8-mRNA-1_1&gene=maker-Arad1C-augustus-gene-23.8&CDS=1-408	YNL113W
OG0001965	augustus_masked-Arad1C-processed-gene-23.52-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.52&CDS=1-1134	YHL028W
OG0001966	augustus_masked-Arad1C-processed-gene-23.53-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.53&CDS=1-1284	YIL023C
OG0001967	augustus_masked-Arad1C-processed-gene-23.54-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.54&CDS=1-2157	YLR274W
OG0001968	augustus_masked-Arad1C-processed-gene-23.33-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.33&CDS=1-1713	YOR027W
OG0001969	augustus_masked-Arad1C-processed-gene-23.55-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.55&CDS=1-2298	YFR038W
OG0001970	augustus_masked-Arad1C-processed-gene-23.35-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.35&CDS=1-1611	YFR037C
OG0001971	augustus_masked-Arad1C-processed-gene-23.37-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.37&CDS=1-1548	YCR053W
OG0001972	augustus_masked-Arad1C-processed-gene-23.56-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-23.56&CDS=1-2127	YLR277C
OG0001973	augustus_masked-Arad1C-processed-gene-24.84-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.84&CDS=1-630	YJL097W
OG0001974	augustus_masked-Arad1C-processed-gene-24.85-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.85&CDS=1-2463	YKR028W
OG0001975	augustus_masked-Arad1C-processed-gene-24.64-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.64&CDS=1-1347	YER043C
OG0001976	augustus_masked-Arad1C-processed-gene-24.65-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.65&CDS=1-2190	YGL227W
OG0001977	augustus_masked-Arad1C-processed-gene-24.67-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.67&CDS=1-876	YOR004W
OG0001978	augustus_masked-Arad1C-processed-gene-24.89-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.89&CDS=1-1866	YGL203C
OG0001979	snap_masked-Arad1C-processed-gene-24.146-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-24.146&CDS=1-2793	YIL140W
OG0001980	snap_masked-Arad1C-processed-gene-24.147-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-24.147&CDS=1-660	YFL026W
OG0001981	augustus_masked-Arad1C-processed-gene-24.69-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.69&CDS=1-2610	YPR160W
OG0001982	maker-Arad1C-augustus-gene-24.4-mRNA-1_1&gene=maker-Arad1C-augustus-gene-24.4&CDS=1-2454	YIL142W
OG0001983	snap_masked-Arad1C-processed-gene-24.126-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-24.126&CDS=1-3735	YER068W
OG0001984	augustus_masked-Arad1C-processed-gene-24.93-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.93&CDS=1-1212	YNL084C
OG0001985	snap_masked-Arad1C-processed-gene-24.128-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-24.128&CDS=1-1872	YDL185W
OG0001986	augustus_masked-Arad1C-processed-gene-24.75-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.75&CDS=1-1098	YDL134C
OG0001987	augustus_masked-Arad1C-processed-gene-24.76-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.76&CDS=1-543	YGR082W
OG0001988	augustus_masked-Arad1C-processed-gene-24.77-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.77&CDS=1-597	YDL135C
OG0001989	augustus_masked-Arad1C-processed-gene-24.97-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.97&CDS=1-1197	YDL189W
OG0001990	augustus_masked-Arad1C-processed-gene-24.78-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.78&CDS=1-3180	YDL190C
OG0001991	augustus_masked-Arad1C-processed-gene-24.79-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.79&CDS=1-1062	YDR075W
OG0001992	augustus_masked-Arad1C-processed-gene-24.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.80&CDS=1-921	YDR005C
OG0001993	augustus_masked-Arad1C-processed-gene-24.100-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.100&CDS=1-2433	YBL023C
OG0001994	augustus_masked-Arad1C-processed-gene-24.101-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.101&CDS=1-1131	YDR004W
OG0001995	augustus_masked-Arad1C-processed-gene-24.103-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.103&CDS=1-3333	YBL022C
OG0001996	maker-Arad1C-snap-gene-24.109-mRNA-1_1&gene=maker-Arad1C-snap-gene-24.109&CDS=1-9360	YLL040C
OG0001997	augustus_masked-Arad1C-processed-gene-24.104-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.104&CDS=1-1062	YBL013W
OG0001998	augustus_masked-Arad1C-processed-gene-25.1-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.1&CDS=1-2184	YJR042W
OG0001999	augustus_masked-Arad1C-processed-gene-25.7-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.7&CDS=1-375	YEL026W
OG0002000	augustus_masked-Arad1C-processed-gene-25.3-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.3&CDS=1-480	YEL027W
OG0002001	genemark-Arad1C-processed-gene-25.120-mRNA-1_1&gene=genemark-Arad1C-processed-gene-25.120&CDS=1-1281	YCR079W
OG0002002	maker-Arad1C-augustus-gene-25.169-mRNA-1_1&gene=maker-Arad1C-augustus-gene-25.169&CDS=1-267	YNR037C
OG0002003	augustus_masked-Arad1C-processed-gene-25.9-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.9&CDS=1-1869	YNR038W
OG0002004	augustus_masked-Arad1C-processed-gene-25.33-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.33&CDS=1-2334	YCR077C
OG0002005	augustus_masked-Arad1C-processed-gene-25.11-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.11&CDS=1-1890	YOL164W
OG0002006	augustus_masked-Arad1C-processed-gene-25.12-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.12&CDS=1-984	YNR035C
OG0002007	augustus_masked-Arad1C-processed-gene-25.13-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.13&CDS=1-531	YNR036C
OG0002008	genemark-Arad1C-processed-gene-25.126-mRNA-1_1&gene=genemark-Arad1C-processed-gene-25.126&CDS=1-807	YEL024W
OG0002009	augustus_masked-Arad1C-processed-gene-25.35-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.35&CDS=1-420	YBR282W
OG0002010	augustus_masked-Arad1C-processed-gene-25.16-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.16&CDS=1-2073	YNR033W
OG0002011	augustus_masked-Arad1C-processed-gene-25.36-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.36&CDS=1-972	YNR032W
OG0002012	augustus_masked-Arad1C-processed-gene-25.37-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.37&CDS=1-1191	YOR043W
OG0002013	augustus_masked-Arad1C-processed-gene-25.19-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.19&CDS=1-7095	YKL203C
OG0002014	augustus_masked-Arad1C-processed-gene-25.20-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.20&CDS=1-663	YER010C
OG0002015	augustus_masked-Arad1C-processed-gene-25.42-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.42&CDS=1-1152	YJR072C
OG0002016	augustus_masked-Arad1C-processed-gene-25.22-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.22&CDS=1-699	YKL206C
OG0002017	augustus_masked-Arad1C-processed-gene-25.43-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.43&CDS=1-2670	YDR166C
OG0002018	maker-Arad1C-augustus-gene-25.172-mRNA-1_1&gene=maker-Arad1C-augustus-gene-25.172&CDS=1-336	YLR147C
OG0002019	augustus_masked-Arad1C-processed-gene-25.23-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.23&CDS=1-2736	YLR148W
OG0002020	augustus_masked-Arad1C-processed-gene-25.24-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.24&CDS=1-1824	YLR118C
OG0002021	augustus_masked-Arad1C-processed-gene-25.25-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.25&CDS=1-1071	YPL083C
OG0002022	augustus_masked-Arad1C-processed-gene-25.47-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.47&CDS=1-2763	YPL084W
OG0002023	augustus_masked-Arad1C-processed-gene-25.26-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.26&CDS=1-1146	YDR255C
OG0002024	augustus_masked-Arad1C-processed-gene-25.48-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.48&CDS=1-288	YPL046C
OG0002025	augustus_masked-Arad1C-processed-gene-25.27-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.27&CDS=1-2493	YPL045W
OG0002026	augustus_masked-Arad1C-processed-gene-25.49-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.49&CDS=1-1155	YDR254W
OG0002027	augustus_masked-Arad1C-processed-gene-25.28-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.28&CDS=1-1968	YPL043W
OG0002028	augustus_masked-Arad1C-processed-gene-25.50-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.50&CDS=1-1482	YPL030W
OG0002029	augustus_masked-Arad1C-processed-gene-25.52-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.52&CDS=1-1464	YER006W
OG0002030	augustus_masked-Arad1C-processed-gene-25.30-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.30&CDS=1-1017	YPR086W
OG0002031	augustus_masked-Arad1C-processed-gene-26.47-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.47&CDS=1-4446	YER008C
OG0002032	augustus_masked-Arad1C-processed-gene-26.46-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.46&CDS=1-2061	YER005W
OG0002033	snap_masked-Arad1C-processed-gene-26.7-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-26.7&CDS=1-819	YNL155W
OG0002034	augustus_masked-Arad1C-processed-gene-26.49-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.49&CDS=1-2850	YNL298W
OG0002035	augustus_masked-Arad1C-processed-gene-26.50-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.50&CDS=1-2505	YIR002C
OG0002036	augustus_masked-Arad1C-processed-gene-26.51-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.51&CDS=1-1260	YGL184C
OG0002037	augustus_masked-Arad1C-processed-gene-26.69-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.69&CDS=1-1512	YER122C
OG0002038	augustus_masked-Arad1C-processed-gene-26.52-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.52&CDS=1-690	YGR033C
OG0002039	augustus_masked-Arad1C-processed-gene-26.71-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.71&CDS=1-2823	YGR014W
OG0002040	augustus_masked-Arad1C-processed-gene-26.53-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.53&CDS=1-1416	YEL052W
OG0002041	augustus_masked-Arad1C-processed-gene-26.72-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.72&CDS=1-831	YEL051W
OG0002042	augustus_masked-Arad1C-processed-gene-26.54-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.54&CDS=1-2280	YDR416W
OG0002043	augustus_masked-Arad1C-processed-gene-26.74-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.74&CDS=1-1185	YGR012W
OG0002044	augustus_masked-Arad1C-processed-gene-26.75-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.75&CDS=1-1137	YEL050C
OG0002045	augustus_masked-Arad1C-processed-gene-26.56-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.56&CDS=1-636	YDR298C
OG0002046	augustus_masked-Arad1C-processed-gene-26.57-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.57&CDS=1-3465	YDR104C
OG0002047	maker-Arad1C-snap-gene-26.3-mRNA-1_1&gene=maker-Arad1C-snap-gene-26.3&CDS=1-2367	YDL132W
OG0002048	augustus_masked-Arad1C-processed-gene-26.77-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.77&CDS=1-972	YDL133W
OG0002049	augustus_masked-Arad1C-processed-gene-26.58-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.58&CDS=1-798	YDL183C
OG0002050	snap_masked-Arad1C-processed-gene-26.19-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-26.19&CDS=1-3429	YHR079C
OG0002051	augustus_masked-Arad1C-processed-gene-26.60-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.60&CDS=1-669	YDR412W
OG0002052	snap_masked-Arad1C-processed-gene-26.38-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-26.38&CDS=1-1068	YDR414C
OG0002053	maker-Arad1C-augustus-gene-26.126-mRNA-1_1&gene=maker-Arad1C-augustus-gene-26.126&CDS=1-1764	YDR419W
OG0002054	augustus_masked-Arad1C-processed-gene-26.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.80&CDS=1-3810	YOR296W
OG0002055	augustus_masked-Arad1C-processed-gene-26.62-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.62&CDS=1-930	YDR265W
OG0002056	snap_masked-Arad1C-processed-gene-26.40-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-26.40&CDS=1-1959	YDR266C
OG0002057	maker-Arad1C-augustus-gene-26.127-mRNA-1_1&gene=maker-Arad1C-augustus-gene-26.127&CDS=1-567	YHR100C
OG0002058	augustus_masked-Arad1C-processed-gene-26.82-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.82&CDS=1-603	YMR233W
