	Saccharomyces_cerevisiae	yHMPu5000034885_Ogataea_zsoltii
OG0001516	YGR076C	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.9&CDS=1-495
OG0001517	YGR077C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.14&CDS=1-2064
OG0001518	YGR078C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.13&CDS=1-579
OG0001519	YGR080W	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.122&CDS=1-966
OG0001520	YGR081C	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.52&CDS=1-507
OG0001521	YGR082W	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.27&CDS=1-495
OG0001522	YGR083C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.26&CDS=1-1458
OG0001523	YGR086C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.27&CDS=1-933
OG0001524	YGR089W	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.27&CDS=1-2289
OG0001525	YGR090W	snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.124&CDS=1-3531
OG0001526	YGR091W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.321-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.321&CDS=1-1446
OG0001527	YGR094W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.265-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.265&CDS=1-3219
OG0001528	YGR095C	augustus_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.213&CDS=1-663
OG0001529	YGR096W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.322-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.322&CDS=1-864
OG0001530	YGR098C	genemark-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.229-mRNA-1_1&gene=genemark-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.229&CDS=1-4749
OG0001531	YGR099W	genemark-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.115-mRNA-1_1&gene=genemark-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.115&CDS=1-2391
OG0001532	YGR100W	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.255-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.255&CDS=1-2706
OG0001533	YGR102C	augustus_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.33&CDS=1-516
OG0001534	YGR103W	snap_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.81&CDS=1-1797
OG0001535	YGR104C	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.60&CDS=1-738
OG0001536	YGR105W	snap_masked-NODE_53_length_40581_cov_30.4966_ID_105-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_53_length_40581_cov_30.4966_ID_105-processed-gene-0.0&CDS=1-222
OG0001537	YGR110W	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.280-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.280&CDS=1-1233
OG0001538	YGR111W	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.192-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.192&CDS=1-1098
OG0001539	YGR112W	maker-NODE_6_length_396474_cov_30.9587_ID_11-snap-gene-1.5-mRNA-1_1&gene=maker-NODE_6_length_396474_cov_30.9587_ID_11-snap-gene-1.5&CDS=1-3771
OG0001540	YGR113W	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-1.149&CDS=1-831
OG0001541	YGR116W	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.41&CDS=1-4323
OG0001542	YGR119C	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.130&CDS=1-1434
OG0001543	YGR123C	snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.250-mRNA-1_1&gene=snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.250&CDS=1-1527
OG0001544	YGR125W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.135-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.135&CDS=1-3120
OG0001545	YGR128C	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.137&CDS=1-2391
OG0001546	YGR132C	maker-NODE_5_length_464012_cov_40.2151_ID_9-snap-gene-3.262-mRNA-1_1&gene=maker-NODE_5_length_464012_cov_40.2151_ID_9-snap-gene-3.262&CDS=1-843
OG0001547	YGR134W	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.206-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.206&CDS=1-3771
OG0001548	YGR135W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.4-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.4&CDS=1-753
OG0001549	YGR144W	snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-0.139&CDS=1-972
OG0001550	YGR145W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.19&CDS=1-2049
OG0001551	YGR147C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.65&CDS=1-639
OG0001552	YGR149W	snap_masked-NODE_53_length_40581_cov_30.4966_ID_105-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_53_length_40581_cov_30.4966_ID_105-processed-gene-0.13&CDS=1-1416
OG0001553	YGR150C	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-2.11&CDS=1-2097
OG0001554	YGR152C	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.60&CDS=1-705
OG0001555	YGR158C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.281-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.281&CDS=1-765
OG0001556	YGR159C	snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-0.32&CDS=1-1416
OG0001557	YGR161C	augustus_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.156&CDS=1-864
OG0001558	YGR163W	augustus_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.149&CDS=1-1602
OG0001559	YGR165W	snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.268-mRNA-1_1&gene=snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.268&CDS=1-1053
OG0001560	YGR166W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.50&CDS=1-1374
OG0001561	YGR167W	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.6&CDS=1-642
OG0001562	YGR170W	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.213-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.213&CDS=1-3159
OG0001563	YGR171C	maker-NODE_7_length_357092_cov_29.7097_ID_13-augustus-gene-2.234-mRNA-1_1&gene=maker-NODE_7_length_357092_cov_29.7097_ID_13-augustus-gene-2.234&CDS=1-1911
OG0001564	YGR172C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.258-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.258&CDS=1-732
OG0001565	YGR173W	snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.1&CDS=1-1116
OG0001566	YGR174C	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.27&CDS=1-435
OG0001567	YGR175C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.141-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.141&CDS=1-1473
OG0001568	YGR178C	snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.96&CDS=1-2304
OG0001569	YGR184C	maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.162-mRNA-1_1&gene=maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.162&CDS=1-5772
OG0001570	YGR185C	augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.97&CDS=1-4296
OG0001571	YGR187C	maker-NODE_5_length_464012_cov_40.2151_ID_9-snap-gene-3.264-mRNA-1_1&gene=maker-NODE_5_length_464012_cov_40.2151_ID_9-snap-gene-3.264&CDS=1-2760
OG0001572	YGR188C	snap_masked-NODE_41_length_95792_cov_31.6591_ID_81-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_41_length_95792_cov_31.6591_ID_81-processed-gene-0.131&CDS=1-2601
OG0001573	YGR193C	maker-NODE_14_length_272433_cov_31.4939_ID_27-snap-gene-0.155-mRNA-1_1&gene=maker-NODE_14_length_272433_cov_31.4939_ID_27-snap-gene-0.155&CDS=1-1161
OG0001574	YGR194C	maker-NODE_22_length_197219_cov_30.0249_ID_43-snap-gene-0.14-mRNA-1_1&gene=maker-NODE_22_length_197219_cov_30.0249_ID_43-snap-gene-0.14&CDS=1-2031
OG0001575	YGR195W	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.2&CDS=1-741
OG0001576	YGR200C	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-3.162-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-3.162&CDS=1-2310
OG0001577	YGR202C	maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.160-mRNA-1_1&gene=maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.160&CDS=1-1968
OG0001578	YGR205W	snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.94&CDS=1-873
OG0001579	YGR207C	snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.95&CDS=1-768
OG0001580	YGR208W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.237-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.237&CDS=1-903
OG0001581	YGR210C	snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.199-mRNA-1_1&gene=snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.199&CDS=1-1248
OG0001582	YGR211W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.33&CDS=1-1473
OG0001583	YGR212W	snap_masked-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.142&CDS=1-1326
OG0001584	YGR215W	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.30&CDS=1-354
OG0001585	YGR216C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.65&CDS=1-1818
OG0001586	YGR217W	maker-NODE_9_length_332902_cov_30.3286_ID_17-augustus-gene-0.136-mRNA-1_1&gene=maker-NODE_9_length_332902_cov_30.3286_ID_17-augustus-gene-0.136&CDS=1-7248
OG0001587	YGR218W	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.45&CDS=1-3222
OG0001588	YGR223C	snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.237-mRNA-1_1&gene=snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.237&CDS=1-1155
OG0001589	YGR225W	maker-NODE_19_length_231802_cov_29.4664_ID_37-snap-gene-1.1-mRNA-1_1&gene=maker-NODE_19_length_231802_cov_29.4664_ID_37-snap-gene-1.1&CDS=1-4065
OG0001590	YGR227W	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.33&CDS=1-1401
OG0001591	YGR231C	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.15&CDS=1-924
OG0001592	YGR233C	augustus_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.42&CDS=1-4455
OG0001593	YGR244C	snap_masked-NODE_39_length_98688_cov_30.9912_ID_77-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_39_length_98688_cov_30.9912_ID_77-processed-gene-0.42&CDS=1-1236
OG0001594	YGR245C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.143-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.143&CDS=1-2253
OG0001595	YGR246C	maker-NODE_14_length_272433_cov_31.4939_ID_27-snap-gene-1.301-mRNA-1_1&gene=maker-NODE_14_length_272433_cov_31.4939_ID_27-snap-gene-1.301&CDS=1-3366
OG0001596	YGR252W	maker-NODE_9_length_332902_cov_30.3286_ID_17-augustus-gene-2.190-mRNA-1_1&gene=maker-NODE_9_length_332902_cov_30.3286_ID_17-augustus-gene-2.190&CDS=1-2775
OG0001597	YGR253C	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.35&CDS=1-774
OG0001598	YGR254W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-1.150-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-1.150&CDS=1-1311
OG0001599	YGR255C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.36&CDS=1-1395
OG0001600	YGR257C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.131&CDS=1-1152
OG0001601	YGR258C	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.53&CDS=1-3204
OG0001602	YGR261C	maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.168-mRNA-1_1&gene=maker-NODE_5_length_464012_cov_40.2151_ID_9-augustus-gene-3.168&CDS=1-2802
OG0001603	YGR264C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.105&CDS=1-2268
OG0001604	YGR266W	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.209-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.209&CDS=1-2085
OG0001605	YGR267C	snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.43&CDS=1-852
OG0001606	YGR268C	augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.20&CDS=1-681
OG0001607	YGR270W	snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-2.143-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-2.143&CDS=1-3741
OG0001608	YGR271C-A	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.18&CDS=1-696
OG0001609	YGR271W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.10-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.10&CDS=1-5865
OG0001610	YGR274C	augustus_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.114&CDS=1-3336
OG0001611	YGR276C	snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.80&CDS=1-1926
OG0001612	YGR277C	augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.85&CDS=1-855
OG0001613	YGR278W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.52&CDS=1-1707
OG0001614	YGR279C	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.309-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.309&CDS=1-1107
OG0001615	YGR280C	snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.25&CDS=1-900
OG0001616	YGR282C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.127&CDS=1-930
OG0001617	YGR284C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.99&CDS=1-972
OG0001618	YGR285C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.147&CDS=1-1281
OG0001619	YGR286C	snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.1&CDS=1-648
OG0001620	YHL002W	snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.39&CDS=1-1407
OG0001621	YHL004W	snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.94&CDS=1-1230
OG0001622	YHL007C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.255-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.255&CDS=1-3072
OG0001623	YHL008C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.119-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.119&CDS=1-1635
OG0001624	YHL009C	snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-1.49&CDS=1-990
OG0001625	YHL010C	snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.2&CDS=1-1872
OG0001626	YHL013C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.84&CDS=1-897
OG0001627	YHL015W	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.18&CDS=1-345
OG0001628	YHL016C	snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.21&CDS=1-2139
OG0001629	YHL018W	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.48&CDS=1-342
OG0001630	YHL023C	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.20&CDS=1-2433
OG0001631	YHL024W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.28&CDS=1-2175
OG0001632	YHL027W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.28&CDS=1-1695
OG0001633	YHL028W	maker-NODE_1_length_742912_cov_33.9653_ID_1-snap-gene-5.169-mRNA-1_1&gene=maker-NODE_1_length_742912_cov_33.9653_ID_1-snap-gene-5.169&CDS=1-1167
OG0001634	YHL029C	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.53&CDS=1-2016
OG0001635	YHL030W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.54&CDS=1-5472
OG0001636	YHL031C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.2&CDS=1-684
OG0001637	YHL032C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.146-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.146&CDS=1-1881
OG0001638	YHL036W	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.150-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-3.150&CDS=1-1722
OG0001639	YHL039W	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-0.2&CDS=1-1608
