	Saccharomyces_cerevisiae	yHMPu5000035271_Wickerhamomyces_bovis
OG0001263	YDR462W	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.305-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.305&CDS=1-477
OG0001264	YDR464W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.100&CDS=1-4110
OG0001265	YDR465C	genemark-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.106-mRNA-1_1&gene=genemark-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.106&CDS=1-1341
OG0001266	YDR468C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.352-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.352&CDS=1-663
OG0001267	YDR469W	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.289-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.289&CDS=1-360
OG0001268	YDR470C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.353-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.353&CDS=1-1464
OG0001269	YDR472W	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.359-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.359&CDS=1-684
OG0001270	YDR473C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.293-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.293&CDS=1-1425
OG0001271	YDR476C	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.96&CDS=1-627
OG0001272	YDR477W	augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.38&CDS=1-1716
OG0001273	YDR479C	augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.72&CDS=1-1581
OG0001274	YDR481C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.41&CDS=1-1584
OG0001275	YDR482C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.281-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.281&CDS=1-399
OG0001276	YDR484W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-2.103&CDS=1-1719
OG0001277	YDR485C	augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.63&CDS=1-2082
OG0001278	YDR486C	maker-NODE_10_length_320851_cov_22.4291_ID_1790-augustus-gene-2.240-mRNA-1_1&gene=maker-NODE_10_length_320851_cov_22.4291_ID_1790-augustus-gene-2.240&CDS=1-633
OG0001279	YDR487C	augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.79&CDS=1-615
OG0001280	YDR489W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.272-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.272&CDS=1-684
OG0001281	YDR493W	maker-NODE_23_length_144444_cov_22.2236_ID_2713-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_23_length_144444_cov_22.2236_ID_2713-augustus-gene-0.1&CDS=1-354
OG0001282	YDR495C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.118&CDS=1-2643
OG0001283	YDR496C	maker-NODE_29_length_119534_cov_22.7707_ID_4088-augustus-gene-0.121-mRNA-1_1&gene=maker-NODE_29_length_119534_cov_22.7707_ID_4088-augustus-gene-0.121&CDS=1-5010
OG0001284	YDR499W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.25&CDS=1-2187
OG0001285	YDR502C	augustus_masked-NODE_60_length_34784_cov_26.1171_ID_5067-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_60_length_34784_cov_26.1171_ID_5067-processed-gene-0.34&CDS=1-1146
OG0001286	YDR510W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.23&CDS=1-309
OG0001287	YDR511W	maker-NODE_6_length_370431_cov_22.3029_ID_1760-augustus-gene-1.2-mRNA-1_1&gene=maker-NODE_6_length_370431_cov_22.3029_ID_1760-augustus-gene-1.2&CDS=1-378
OG0001288	YDR512C	snap_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.92&CDS=1-255
OG0001289	YDR517W	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.160-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.160&CDS=1-1101
OG0001290	YDR519W	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.283-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.283&CDS=1-447
OG0001291	YDR520C	genemark-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.218-mRNA-1_1&gene=genemark-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.218&CDS=1-2118
OG0001292	YDR524C	snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.90&CDS=1-2910
OG0001293	YDR525W-A	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.51&CDS=1-225
OG0001294	YDR527W	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.49&CDS=1-1392
OG0001295	YDR529C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.10&CDS=1-384
OG0001296	YDR538W	augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.182&CDS=1-726
OG0001297	YDR539W	augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.219&CDS=1-1539
OG0001298	YEL001C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.93&CDS=1-738
OG0001299	YEL002C	augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.87&CDS=1-1293
OG0001300	YEL003W	maker-NODE_28_length_120461_cov_24.0822_ID_2951-augustus-gene-0.206-mRNA-1_1&gene=maker-NODE_28_length_120461_cov_24.0822_ID_2951-augustus-gene-0.206&CDS=1-330
OG0001301	YEL007W	augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.124&CDS=1-1947
OG0001302	YEL009C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.83&CDS=1-915
OG0001303	YEL011W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.112&CDS=1-2079
OG0001304	YEL012W	maker-NODE_1_length_1020045_cov_22.3535_ID_1707-augustus-gene-3.3-mRNA-1_1&gene=maker-NODE_1_length_1020045_cov_22.3535_ID_1707-augustus-gene-3.3&CDS=1-576
OG0001305	YEL013W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.81&CDS=1-1674
OG0001306	YEL015W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.82&CDS=1-1569
OG0001307	YEL019C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.8&CDS=1-780
OG0001308	YEL020C	maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-4.0-mRNA-1_1&gene=maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-4.0&CDS=1-1689
OG0001309	YEL020W-A	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-3.90&CDS=1-267
OG0001310	YEL021W	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.12&CDS=1-801
OG0001311	YEL022W	augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.90&CDS=1-4275
OG0001312	YEL023C	maker-NODE_17_length_233845_cov_24.4945_ID_2323-augustus-gene-1.157-mRNA-1_1&gene=maker-NODE_17_length_233845_cov_24.4945_ID_2323-augustus-gene-1.157&CDS=1-1869
OG0001313	YEL024W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.9&CDS=1-633
OG0001314	YEL026W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.5&CDS=1-378
OG0001315	YEL027W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.7&CDS=1-480
OG0001316	YEL031W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.85&CDS=1-3621
OG0001317	YEL032W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.52&CDS=1-2628
OG0001318	YEL037C	maker-NODE_25_length_132993_cov_22.9202_ID_2981-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_25_length_132993_cov_22.9202_ID_2981-augustus-gene-0.1&CDS=1-1095
OG0001319	YEL038W	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.125&CDS=1-723
OG0001320	YEL042W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.79&CDS=1-1854
OG0001321	YEL043W	augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.237&CDS=1-3045
OG0001322	YEL044W	augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.203&CDS=1-423
OG0001323	YEL048C	snap_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.160-mRNA-1_1&gene=snap_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.160&CDS=1-495
OG0001324	YEL050C	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.36&CDS=1-1143
OG0001325	YEL051W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.21&CDS=1-912
OG0001326	YEL052W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.20&CDS=1-1428
OG0001327	YEL053C	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.17&CDS=1-2196
OG0001328	YEL055C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.55&CDS=1-3006
OG0001329	YEL056W	augustus_masked-NODE_35_length_81782_cov_21.913_ID_3530-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_35_length_81782_cov_21.913_ID_3530-processed-gene-0.41&CDS=1-1221
OG0001330	YEL058W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.74&CDS=1-1626
OG0001331	YEL060C	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.100&CDS=1-1608
OG0001332	YEL062W	augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-0.54&CDS=1-1662
OG0001333	YEL064C	augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.117&CDS=1-1458
OG0001334	YEL065W	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.36&CDS=1-1806
OG0001335	YER002W	augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.95&CDS=1-654
OG0001336	YER003C	augustus_masked-NODE_98_length_4036_cov_25.5558_ID_6363-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_98_length_4036_cov_25.5558_ID_6363-processed-gene-0.4&CDS=1-1287
OG0001337	YER004W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.88&CDS=1-681
OG0001338	YER005W	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.37&CDS=1-1953
OG0001339	YER006W	augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.91&CDS=1-1527
OG0001340	YER007C-A	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.30&CDS=1-543
OG0001341	YER007W	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.41&CDS=1-1335
OG0001342	YER008C	augustus_masked-NODE_53_length_42358_cov_22.3602_ID_4751-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_53_length_42358_cov_22.3602_ID_4751-processed-gene-0.58&CDS=1-4149
OG0001343	YER009W	genemark-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.60&CDS=1-375
OG0001344	YER010C	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.28&CDS=1-690
OG0001345	YER012W	maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-5.155-mRNA-1_1&gene=maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-5.155&CDS=1-588
OG0001346	YER014W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.50&CDS=1-1506
OG0001347	YER016W	augustus_masked-NODE_37_length_80505_cov_22.0282_ID_8073-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_37_length_80505_cov_22.0282_ID_8073-processed-gene-0.52&CDS=1-894
OG0001348	YER019W	augustus_masked-NODE_36_length_81764_cov_29.3334_ID_3666-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_36_length_81764_cov_29.3334_ID_3666-processed-gene-0.54&CDS=1-1287
OG0001349	YER020W	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-1.65&CDS=1-1605
OG0001350	YER021W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-4.57&CDS=1-1413
OG0001351	YER022W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-3.74&CDS=1-1746
OG0001352	YER023W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-4.54&CDS=1-879
OG0001353	YER025W	augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.207&CDS=1-1569
OG0001354	YER026C	augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.88&CDS=1-852
OG0001355	YER027C	augustus_masked-NODE_70_length_21041_cov_22.2912_ID_12006-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_70_length_21041_cov_22.2912_ID_12006-processed-gene-0.2&CDS=1-1089
OG0001356	YER029C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.154&CDS=1-474
OG0001357	YER030W	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.117&CDS=1-501
OG0001358	YER032W	snap_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.18&CDS=1-2604
OG0001359	YER034W	snap_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.16&CDS=1-516
OG0001360	YER036C	augustus_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.31&CDS=1-1782
OG0001361	YER041W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.91&CDS=1-3168
OG0001362	YER042W	maker-NODE_62_length_32543_cov_22.9945_ID_5139-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_62_length_32543_cov_22.9945_ID_5139-augustus-gene-0.0&CDS=1-534
OG0001363	YER043C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.142&CDS=1-1350
OG0001364	YER044C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.130&CDS=1-426
OG0001365	YER046W	genemark-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.12-mRNA-1_1&gene=genemark-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.12&CDS=1-381
OG0001366	YER048C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.6&CDS=1-1221
OG0001367	YER048W-A	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.12&CDS=1-282
OG0001368	YER049W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.29&CDS=1-1797
OG0001369	YER050C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.84&CDS=1-489
OG0001370	YER051W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.109&CDS=1-1251
OG0001371	YER052C	augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.25&CDS=1-1563
OG0001372	YER053C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.82&CDS=1-960
OG0001373	YER055C	maker-NODE_7_length_343272_cov_25.1726_ID_2572-augustus-gene-1.56-mRNA-1_1&gene=maker-NODE_7_length_343272_cov_25.1726_ID_2572-augustus-gene-1.56&CDS=1-891
OG0001374	YER061C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.201-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.201&CDS=1-1281
OG0001375	YER063W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.107&CDS=1-579
OG0001376	YER068W	maker-NODE_13_length_278934_cov_23.8117_ID_1820-augustus-gene-1.210-mRNA-1_1&gene=maker-NODE_13_length_278934_cov_23.8117_ID_1820-augustus-gene-1.210&CDS=1-1824
OG0001377	YER069W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.26&CDS=1-2736
OG0001378	YER072W	augustus_masked-NODE_58_length_36560_cov_23.6377_ID_5540-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_58_length_36560_cov_23.6377_ID_5540-processed-gene-0.61&CDS=1-369
OG0001379	YER074W-A	maker-NODE_58_length_36560_cov_23.6377_ID_5540-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_58_length_36560_cov_23.6377_ID_5540-augustus-gene-0.0&CDS=1-246
OG0001380	YER077C	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.40&CDS=1-1842
OG0001381	YER078C	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.79&CDS=1-1506
OG0001382	YER079W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.61&CDS=1-807
OG0001383	YER080W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.62&CDS=1-1899
