	Candida_boidinii_JCM9604	Saccharomyces_cerevisiae
OG0001720	-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.71&CDS=1-777	YGR152C
OG0001721	-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.60&CDS=1-3045	YOR335C
OG0001722	-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.62&CDS=1-654	YAL033W
OG0001723	-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.72&CDS=1-906	YDR050C
OG0001724	-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.73&CDS=1-1107	YDR051C
OG0001725	-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.74&CDS=1-1464	YGL055W
OG0001726	-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.63&CDS=1-3114	YPR003C
OG0001727	-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.64&CDS=1-2088	YHR042W
OG0001728	-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.65&CDS=1-888	YHR088W
OG0001729	-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.75&CDS=1-438	YIL098C
OG0001730	-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.67&CDS=1-1944	YDR004W
OG0001731	-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.77&CDS=1-5229	YDR283C
OG0001732	-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-6.78&CDS=1-4032	YER093C
OG0001733	-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.32&CDS=1-11466	YHR099W
OG0001734	-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.49&CDS=1-609	YHR100C
OG0001735	-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.33&CDS=1-2160	YDR266C
OG0001736	-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.51&CDS=1-2082	YDR419W
OG0001737	-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.34&CDS=1-1275	YDR414C
OG0001738	-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.52&CDS=1-777	YDR412W
OG0001739	-processed-gene-7.22-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.22&CDS=1-546	YDR328C
OG0001740	-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.54&CDS=1-1614	YDR329C
OG0001741	-processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.88&CDS=1-669	YHR081W
OG0001742	-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.35&CDS=1-1188	YMR060C
OG0001743	-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.56&CDS=1-435	YMR059W
OG0001744	-processed-gene-7.67-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.67&CDS=1-1275	YMR126C
OG0001745	-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.37&CDS=1-1395	YKL077W
OG0001746	-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.38&CDS=1-4062	YLR032W
OG0001747	-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.57&CDS=1-1236	YMR127C
OG0001748	-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.39&CDS=1-3825	YMR128W
OG0001749	-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.40&CDS=1-1566	YLR033W
OG0001750	-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.58&CDS=1-1647	YDR057W
OG0001751	-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.59&CDS=1-816	YMR226C
OG0001752	-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.45&CDS=1-1128	YNL274C
OG0001753	-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.46&CDS=1-1536	YKL211C
OG0001754	-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.62&CDS=1-1476	YHR183W
OG0001755	-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.20&CDS=1-4542	YLR189C
OG0001756	-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.21&CDS=1-2223	YER019W
OG0001757	-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.32&CDS=1-1380	YGR111W
OG0001758	-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.23&CDS=1-1092	YFR045W
OG0001759	-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.34&CDS=1-303	YDL157C
OG0001760	-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.25&CDS=1-2364	YDL159W
OG0001761	-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.35&CDS=1-1326	YMR113W
OG0001762	-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.27&CDS=1-1482	YGL240W
OG0001763	-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.28&CDS=1-2919	YGL238W
OG0001764	-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.36&CDS=1-528	YGL237C
OG0001765	-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.37&CDS=1-2235	YOR206W
OG0001766	-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.38&CDS=1-3489	YOR207C
OG0001767	-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.31&CDS=1-1551	YPL122C
OG0001768	-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.39&CDS=1-2016	YOR254C
OG0001769	-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.26&CDS=1-4470	YPL248C
OG0001770	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.27&CDS=1-3036	YDR430C
OG0001771	-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.29&CDS=1-666	YFL010C
OG0001772	-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.30&CDS=1-570	YDR373W
OG0001773	-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.40&CDS=1-639	YOR125C
OG0001774	-processed-gene-9.15-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.15&CDS=1-2049	YDR374C
OG0001775	-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.43&CDS=1-1380	YDR517W
OG0001776	-processed-gene-9.60-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.60&CDS=1-1185	YGL169W
OG0001777	-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.44&CDS=1-1593	YCL043C
OG0001778	-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.33&CDS=1-2049	YCL039W
OG0001779	-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.45&CDS=1-2013	YCL038C
OG0001780	-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.34&CDS=1-648	YER012W
OG0001781	-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.35&CDS=1-3519	YBR218C
OG0001782	-augustus-gene-9.52-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-augustus-gene-9.52&CDS=1-507	YGL127C
OG0001783	-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.49&CDS=1-1908	YBR220C
OG0001784	-processed-gene-9.9-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.9&CDS=1-1059	YIL061C
OG0001785	-processed-gene-9.66-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.66&CDS=1-429	YML108W
OG0001786	-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.38&CDS=1-1245	YCR012W
OG0001787	-processed-gene-9.51-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-9.51&CDS=1-552	YLR298C
OG0001788	-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.65&CDS=1-357	YLR295C
OG0001789	-processed-gene-10.39-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.39&CDS=1-1968	YKR008W
OG0001790	-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.69&CDS=1-786	YOR157C
OG0001791	-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.78&CDS=1-705	YDR408C
OG0001792	-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.79&CDS=1-1110	YOR136W
OG0001793	-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.70&CDS=1-1659	YDR376W
OG0001794	-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.80&CDS=1-300	YDR377W
OG0001795	-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.72&CDS=1-1650	YEL063C
OG0001796	-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.83&CDS=1-279	YDR510W
OG0001797	-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.74&CDS=1-768	YLR186W
OG0001798	-snap-gene-10.1-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-snap-gene-10.1&CDS=1-1713	YNL279W
OG0001799	-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.53&CDS=1-1122	YCL059C
OG0001800	-processed-gene-11.54-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.54&CDS=1-4362	YCL061C
OG0001801	-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.55&CDS=1-240	YCL057C-A
OG0001802	-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.58&CDS=1-513	YMR022W
OG0001803	-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.59&CDS=1-4122	YMR012W
OG0001804	-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.69&CDS=1-318	YDL081C
OG0001805	-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.70&CDS=1-717	YGR271C-A
OG0001806	-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.71&CDS=1-4266	YGR270W
OG0001807	-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.72&CDS=1-1296	YGR244C
OG0001808	-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.62&CDS=1-1095	YHR063C
OG0001809	-processed-gene-12.18-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.18&CDS=1-2100	YIL101C
OG0001810	-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.30&CDS=1-2304	YGL022W
OG0001811	-processed-gene-12.47-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.47&CDS=1-1347	YMR091C
OG0001812	-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.20&CDS=1-1398	YOL052C
OG0001813	-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.32&CDS=1-1269	YIL153W
OG0001814	-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.23&CDS=1-5217	YJL039C
OG0001815	-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.25&CDS=1-1275	YIL160C
OG0001816	-processed-gene-12.28-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-12.28&CDS=1-1683	YKR097W
OG0001817	-processed-gene-13.29-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.29&CDS=1-4251	YIL147C
OG0001818	-processed-gene-13.73-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.73&CDS=1-1737	YIL150C
OG0001819	-processed-gene-13.46-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.46&CDS=1-3033	YOR048C
OG0001820	-processed-gene-13.52-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.52&CDS=1-810	YEL021W
OG0001821	-augustus-gene-13.56-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-augustus-gene-13.56&CDS=1-264	YEL020W-A
OG0001822	-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.42&CDS=1-1140	YIL044C
OG0001823	-processed-gene-13.55-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-13.55&CDS=1-2043	YPR074C
OG0001824	-processed-gene-14.59-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.59&CDS=1-2541	YLR396C
OG0001825	-processed-gene-14.7-mRNA-1_1&gene=genemark-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.7&CDS=1-183	YDL067C
OG0001826	-processed-gene-14.57-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.57&CDS=1-228	YLR395C
OG0001827	-processed-gene-14.60-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.60&CDS=1-1764	YLR394W
OG0001828	-processed-gene-14.61-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.61&CDS=1-3036	YGL216W
OG0001829	-processed-gene-14.63-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.63&CDS=1-975	YNL315C
OG0001830	-augustus-gene-14.54-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-augustus-gene-14.54&CDS=1-966	YNL316C
OG0001831	-processed-gene-14.85-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.85&CDS=1-345	YOL133W
OG0001832	-processed-gene-14.65-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.65&CDS=1-786	YOL135C
OG0001833	-processed-gene-14.66-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.66&CDS=1-603	YNL310C
OG0001834	-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.87&CDS=1-2964	YNL313C
OG0001835	-processed-gene-14.88-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.88&CDS=1-1035	YOL073C
OG0001836	-processed-gene-14.89-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.89&CDS=1-3045	YGL201C
OG0001837	-processed-gene-14.68-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.68&CDS=1-1842	YNL308C
OG0001838	-processed-gene-14.90-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.90&CDS=1-648	YGR078C
OG0001839	-processed-gene-14.91-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.91&CDS=1-1362	YOL124C
OG0001840	-processed-gene-14.70-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.70&CDS=1-1665	YOL123W
OG0001841	-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.71&CDS=1-3027	YDL031W
OG0001842	-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.92&CDS=1-528	YGL068W
OG0001843	-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.73&CDS=1-339	YGL070C
OG0001844	-processed-gene-14.96-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.96&CDS=1-2106	YMR063W
OG0001845	-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.75&CDS=1-798	YIL093C
OG0001846	-processed-gene-14.97-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.97&CDS=1-942	YNL024C
OG0001847	-processed-gene-14.76-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.76&CDS=1-2955	YNL023C
OG0001848	-processed-gene-14.99-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.99&CDS=1-1089	YEL004W
OG0001849	-augustus-gene-14.56-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-augustus-gene-14.56&CDS=1-819	YEL051W
OG0001850	-processed-gene-14.129-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.129&CDS=1-2883	YDR416W
OG0001851	-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.102&CDS=1-1647	YEL052W
OG0001852	-processed-gene-14.80-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.80&CDS=1-2331	YDR324C
OG0001853	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.18&CDS=1-2400	YGL234W
OG0001854	-snap-gene-0.31-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-snap-gene-0.31&CDS=1-1986	YBR260C
OG0001855	-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.4&CDS=1-684	YJR102C
OG0001856	-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.5&CDS=1-1728	YBL039C
OG0001857	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.22&CDS=1-1098	YOR311C
OG0001858	-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.6&CDS=1-1731	YBR274W
OG0001859	-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.7&CDS=1-2076	YMR224C
OG0001860	-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.8&CDS=1-2010	YOL115W
OG0001861	-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.9&CDS=1-3726	YAL001C
OG0001862	-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.10&CDS=1-2607	YDL017W
OG0001863	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.23&CDS=1-1191	YML048W
OG0001864	-processed-gene-0.54-mRNA-1_1&gene=genemark-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.54&CDS=1-324	YGL030W
OG0001865	-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.12&CDS=1-1608	YGL028C
OG0001866	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.13&CDS=1-1335	YBR029C
OG0001867	-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.27&CDS=1-1089	YKR030W
OG0001868	-processed-gene-0.88-mRNA-1_1&gene=snap_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.88&CDS=1-5379	YJL109C
OG0001869	-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.2&CDS=1-1527	YHR137W
OG0001870	-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.1&CDS=1-2637	YPL227C
OG0001871	-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.4&CDS=1-4335	YPR189W
OG0001872	-processed-gene-1.61-mRNA-1_1&gene=genemark-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.61&CDS=1-423	YPR188C
OG0001873	-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.12&CDS=1-459	YPR187W
OG0001874	-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.6&CDS=1-1494	YPR186C
OG0001875	-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.8&CDS=1-2562	YOR322C
OG0001876	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.16&CDS=1-828	YLR192C
OG0001877	-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.9&CDS=1-1173	YMR281W
OG0001878	-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.18&CDS=1-1053	YGL159W
OG0001879	-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.11&CDS=1-1956	YPL093W
OG0001880	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.20&CDS=1-2157	YPL054W
OG0001881	-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.21&CDS=1-1185	YPL050C
OG0001882	-augustus-gene-1.24-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-augustus-gene-1.24&CDS=1-1230	YPL048W
OG0001883	-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-2.32&CDS=1-2145	YPL104W
OG0001884	-snap-gene-2.29-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-snap-gene-2.29&CDS=1-2679	YFL024C
OG0001885	-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-2.46&CDS=1-1200	YDR427W
OG0001886	-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-2.35&CDS=1-2604	YOR001W
