	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
OG0001788	augustus_masked-bow-b_s41-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s41-processed-gene-0.36&CDS=1-2496	YMR068W
OG0001789	augustus_masked-bow-b_s41-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s41-processed-gene-0.37&CDS=1-3303	YCR092C
OG0001790	augustus_masked-bow-b_s41-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s41-processed-gene-0.39&CDS=1-762	YEL009C
OG0001791	augustus_masked-bow-b_s411-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.51&CDS=1-2523	YPR112C
OG0001792	augustus_masked-bow-b_s411-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.52&CDS=1-3879	YNL250W
OG0001793	snap_masked-bow-b_s411-processed-gene-0.84-mRNA-1_1&gene=snap_masked-bow-b_s411-processed-gene-0.84&CDS=1-2550	YOR113W
OG0001794	augustus_masked-bow-b_s411-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.55&CDS=1-372	YNL113W
OG0001795	maker-bow-b_s411-augustus-gene-0.0-mRNA-1_1&gene=maker-bow-b_s411-augustus-gene-0.0&CDS=1-1662	YNL112W
OG0001796	augustus_masked-bow-b_s411-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.39&CDS=1-825	YGR158C
OG0001797	augustus_masked-bow-b_s411-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.59&CDS=1-2643	YGR157W
OG0001798	augustus_masked-bow-b_s411-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.40&CDS=1-5451	YNL297C
OG0001799	augustus_masked-bow-b_s411-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.41&CDS=1-3399	YBR023C
OG0001800	augustus_masked-bow-b_s411-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.44&CDS=1-2358	YLR069C
OG0001801	augustus_masked-bow-b_s411-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.45&CDS=1-2394	YNL247W
OG0001802	augustus_masked-bow-b_s411-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s411-processed-gene-0.47&CDS=1-570	YLR066W
OG0001803	snap_masked-bow-b_s411-processed-gene-0.92-mRNA-1_1&gene=snap_masked-bow-b_s411-processed-gene-0.92&CDS=1-3543	YLR067C
OG0001804	genemark-bow-b_s411-processed-gene-0.19-mRNA-1_1&gene=genemark-bow-b_s411-processed-gene-0.19&CDS=1-1785	YJR152W
OG0001805	snap_masked-bow-b_s411-processed-gene-0.93-mRNA-1_1&gene=snap_masked-bow-b_s411-processed-gene-0.93&CDS=1-738	YGL161C
OG0001806	maker-bow-b_s415-snap-gene-0.34-mRNA-1_1&gene=maker-bow-b_s415-snap-gene-0.34&CDS=1-1188	YHL028W
OG0001807	augustus_masked-bow-b_s415-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s415-processed-gene-0.25&CDS=1-1713	YHL027W
OG0001808	augustus_masked-bow-b_s415-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bow-b_s415-processed-gene-0.30&CDS=1-1203	YDL033C
OG0001809	augustus_masked-bow-b_s415-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s415-processed-gene-0.31&CDS=1-1755	YFR037C
OG0001810	augustus_masked-bow-b_s415-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s415-processed-gene-0.26&CDS=1-3378	YIL026C
OG0001811	augustus_masked-bow-b_s416-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.124&CDS=1-1545	YBL014C
OG0001812	augustus_masked-bow-b_s416-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.102&CDS=1-2937	YDL095W
OG0001813	augustus_masked-bow-b_s416-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.103&CDS=1-3522	YIL030C
OG0001814	augustus_masked-bow-b_s416-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.125&CDS=1-474	YML098W
OG0001815	augustus_masked-bow-b_s416-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.126&CDS=1-639	YGL047W
OG0001816	augustus_masked-bow-b_s416-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.105&CDS=1-1362	YML080W
OG0001817	augustus_masked-bow-b_s416-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.106&CDS=1-5688	YDR141C
OG0001818	genemark-bow-b_s416-processed-gene-0.85-mRNA-1_1&gene=genemark-bow-b_s416-processed-gene-0.85&CDS=1-987	YNR054C
OG0001819	augustus_masked-bow-b_s416-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.128&CDS=1-357	YFL014W
OG0001820	augustus_masked-bow-b_s416-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.108&CDS=1-2448	YLL034C
OG0001821	augustus_masked-bow-b_s416-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.109&CDS=1-954	YGR031W
OG0001822	augustus_masked-bow-b_s416-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.129&CDS=1-900	YLR351C
OG0001823	augustus_masked-bow-b_s416-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.111&CDS=1-1845	YPL222W
OG0001824	augustus_masked-bow-b_s416-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.132&CDS=1-873	YER118C
OG0001825	maker-bow-b_s416-augustus-gene-0.53-mRNA-1_1&gene=maker-bow-b_s416-augustus-gene-0.53&CDS=1-780	YER120W
OG0001826	augustus_masked-bow-b_s416-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.135&CDS=1-1275	YBL091C
OG0001827	augustus_masked-bow-b_s416-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.113&CDS=1-1791	YNL048W
OG0001828	augustus_masked-bow-b_s416-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.114&CDS=1-2703	YGL137W
OG0001829	augustus_masked-bow-b_s416-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.138&CDS=1-1491	YKR072C
OG0001830	augustus_masked-bow-b_s416-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.117&CDS=1-2205	YPL050C
OG0001831	genemark-bow-b_s416-processed-gene-0.73-mRNA-1_1&gene=genemark-bow-b_s416-processed-gene-0.73&CDS=1-1908	YPL093W
OG0001832	augustus_masked-bow-b_s416-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.119&CDS=1-312	YGL080W
OG0001833	maker-bow-b_s416-augustus-gene-0.52-mRNA-1_1&gene=maker-bow-b_s416-augustus-gene-0.52&CDS=1-1524	YPL196W
OG0001834	augustus_masked-bow-b_s416-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.140&CDS=1-1818	YGL125W
OG0001835	augustus_masked-bow-b_s416-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.141&CDS=1-4281	YOR336W
OG0001836	augustus_masked-bow-b_s416-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.121&CDS=1-3456	YGR047C
OG0001837	augustus_masked-bow-b_s416-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-bow-b_s416-processed-gene-0.123&CDS=1-1524	YMR283C
OG0001838	augustus_masked-bow-b_s420-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.88&CDS=1-306	YBR135W
OG0001839	genemark-bow-b_s420-processed-gene-0.0-mRNA-1_1&gene=genemark-bow-b_s420-processed-gene-0.0&CDS=1-1467	YBR133C
OG0001840	genemark-bow-b_s420-processed-gene-0.33-mRNA-1_1&gene=genemark-bow-b_s420-processed-gene-0.33&CDS=1-819	YNL245C
OG0001841	snap_masked-bow-b_s420-processed-gene-0.146-mRNA-1_1&gene=snap_masked-bow-b_s420-processed-gene-0.146&CDS=1-312	YNL244C
OG0001842	augustus_masked-bow-b_s420-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.59&CDS=1-1359	YBR029C
OG0001843	augustus_masked-bow-b_s420-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.60&CDS=1-1668	YGL028C
OG0001844	augustus_masked-bow-b_s420-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.62&CDS=1-1179	YKL172W
OG0001845	augustus_masked-bow-b_s420-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.63&CDS=1-1050	YJL167W
OG0001846	augustus_masked-bow-b_s420-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.93&CDS=1-282	YJL166W
OG0001847	augustus_masked-bow-b_s420-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.64&CDS=1-2286	YJL176C
OG0001848	augustus_masked-bow-b_s420-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.95&CDS=1-2880	YKL173W
OG0001849	augustus_masked-bow-b_s420-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.66&CDS=1-525	YKL016C
OG0001850	genemark-bow-b_s420-processed-gene-0.40-mRNA-1_1&gene=genemark-bow-b_s420-processed-gene-0.40&CDS=1-2619	YMR258C
OG0001851	snap_masked-bow-b_s420-processed-gene-0.153-mRNA-1_1&gene=snap_masked-bow-b_s420-processed-gene-0.153&CDS=1-177	YMR256C
OG0001852	augustus_masked-bow-b_s420-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.97&CDS=1-1191	YOL054W
OG0001853	augustus_masked-bow-b_s420-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.67&CDS=1-1344	YIL063C
OG0001854	augustus_masked-bow-b_s420-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.98&CDS=1-735	YIL064W
OG0001855	augustus_masked-bow-b_s420-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.69&CDS=1-1269	YBR195C
OG0001856	augustus_masked-bow-b_s420-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.99&CDS=1-693	YPL078C
OG0001857	augustus_masked-bow-b_s420-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.70&CDS=1-843	YKR060W
OG0001858	maker-bow-b_s420-augustus-gene-0.170-mRNA-1_1&gene=maker-bow-b_s420-augustus-gene-0.170&CDS=1-2349	YJL143W
OG0001859	augustus_masked-bow-b_s420-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.73&CDS=1-1989	YJL141C
OG0001860	augustus_masked-bow-b_s420-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.74&CDS=1-573	YJL140W
OG0001861	augustus_masked-bow-b_s420-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.75&CDS=1-2937	YBL037W
OG0001862	augustus_masked-bow-b_s420-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.102&CDS=1-1062	YKL018W
OG0001863	maker-bow-b_s420-augustus-gene-0.171-mRNA-1_1&gene=maker-bow-b_s420-augustus-gene-0.171&CDS=1-2970	YJL020C
OG0001864	augustus_masked-bow-b_s420-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.78&CDS=1-2538	YBR086C
OG0001865	augustus_masked-bow-b_s420-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.103&CDS=1-741	YBL036C
OG0001866	augustus_masked-bow-b_s420-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.79&CDS=1-861	YDL051W
OG0001867	genemark-bow-b_s420-processed-gene-0.23-mRNA-1_1&gene=genemark-bow-b_s420-processed-gene-0.23&CDS=1-2055	YBL035C
OG0001868	genemark-bow-b_s420-processed-gene-0.24-mRNA-1_1&gene=genemark-bow-b_s420-processed-gene-0.24&CDS=1-2016	YDR332W
OG0001869	augustus_masked-bow-b_s420-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.81&CDS=1-1134	YDR331W
OG0001870	augustus_masked-bow-b_s420-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.82&CDS=1-4500	YBL034C
OG0001871	augustus_masked-bow-b_s420-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.104&CDS=1-1518	YHR084W
OG0001872	maker-bow-b_s420-augustus-gene-0.172-mRNA-1_1&gene=maker-bow-b_s420-augustus-gene-0.172&CDS=1-1908	YKL125W
OG0001873	augustus_masked-bow-b_s420-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.106&CDS=1-2205	YHR197W
OG0001874	maker-bow-b_s420-augustus-gene-0.173-mRNA-1_1&gene=maker-bow-b_s420-augustus-gene-0.173&CDS=1-2439	YOR270C
OG0001875	augustus_masked-bow-b_s420-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.85&CDS=1-3996	YLR384C
OG0001876	augustus_masked-bow-b_s420-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.109&CDS=1-606	YDL059C
OG0001877	augustus_masked-bow-b_s420-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bow-b_s420-processed-gene-0.86&CDS=1-2229	YDL058W
OG0001878	augustus_masked-bow-b_s43-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.13&CDS=1-3054	YKL210W
OG0001879	augustus_masked-bow-b_s43-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.0&CDS=1-2100	YIL005W
OG0001880	augustus_masked-bow-b_s43-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.1&CDS=1-1320	YER003C
OG0001881	snap_masked-bow-b_s43-processed-gene-0.71-mRNA-1_1&gene=snap_masked-bow-b_s43-processed-gene-0.71&CDS=1-495	YIR001C
OG0001882	augustus_masked-bow-b_s43-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.2&CDS=1-627	YER002W
OG0001883	augustus_masked-bow-b_s43-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.15&CDS=1-924	YIL003W
OG0001884	genemark-bow-b_s43-processed-gene-0.38-mRNA-1_1&gene=genemark-bow-b_s43-processed-gene-0.38&CDS=1-444	YIL004C
OG0001885	augustus_masked-bow-b_s43-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.17&CDS=1-1380	YCL034W
OG0001886	augustus_masked-bow-b_s43-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.4&CDS=1-2109	YDR172W
OG0001887	augustus_masked-bow-b_s43-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.18&CDS=1-1200	YDR173C
OG0001888	augustus_masked-bow-b_s43-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.8&CDS=1-813	YPL065W
OG0001889	augustus_masked-bow-b_s43-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.22&CDS=1-828	YFR052W
OG0001890	augustus_masked-bow-b_s43-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.24&CDS=1-594	YER063W
OG0001891	genemark-bow-b_s43-processed-gene-0.62-mRNA-1_1&gene=genemark-bow-b_s43-processed-gene-0.62&CDS=1-2337	YBR202W
OG0001892	augustus_masked-bow-b_s43-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.26&CDS=1-1458	YDR169C
OG0001893	augustus_masked-bow-b_s43-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.27&CDS=1-750	YLR150W
OG0001894	augustus_masked-bow-b_s43-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.28&CDS=1-5847	YDR170C
OG0001895	augustus_masked-bow-b_s43-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.29&CDS=1-5628	YPL231W
OG0001896	genemark-bow-b_s43-processed-gene-0.66-mRNA-1_1&gene=genemark-bow-b_s43-processed-gene-0.66&CDS=1-273	YBR162W-A
OG0001897	genemark-bow-b_s43-processed-gene-0.67-mRNA-1_1&gene=genemark-bow-b_s43-processed-gene-0.67&CDS=1-2445	YLL001W
OG0001898	maker-bow-b_s431-augustus-gene-0.0-mRNA-1_1&gene=maker-bow-b_s431-augustus-gene-0.0&CDS=1-4203	YPL125W
OG0001899	augustus_masked-bow-b_s431-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.104&CDS=1-681	YPL132W
OG0001900	augustus_masked-bow-b_s431-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.105&CDS=1-1146	YJL031C
OG0001901	augustus_masked-bow-b_s431-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.126&CDS=1-1350	YBR199W
OG0001902	augustus_masked-bow-b_s431-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.107&CDS=1-1989	YPL104W
OG0001903	augustus_masked-bow-b_s431-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.127&CDS=1-2127	YJL010C
OG0001904	genemark-bow-b_s431-processed-gene-0.61-mRNA-1_1&gene=genemark-bow-b_s431-processed-gene-0.61&CDS=1-1407	YOR056C
OG0001905	maker-bow-b_s431-augustus-gene-0.1-mRNA-1_1&gene=maker-bow-b_s431-augustus-gene-0.1&CDS=1-3477	YDR294C
OG0001906	augustus_masked-bow-b_s431-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.111&CDS=1-2943	YOR058C
OG0001907	augustus_masked-bow-b_s431-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.129&CDS=1-2520	YGL099W
OG0001908	augustus_masked-bow-b_s431-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.130&CDS=1-1365	YHR176W
OG0001909	augustus_masked-bow-b_s431-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.113&CDS=1-1815	YER080W
OG0001910	augustus_masked-bow-b_s431-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.131&CDS=1-492	YBR254C
OG0001911	snap_masked-bow-b_s431-processed-gene-0.45-mRNA-1_1&gene=snap_masked-bow-b_s431-processed-gene-0.45&CDS=1-2031	YBR255W
OG0001912	augustus_masked-bow-b_s431-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.116&CDS=1-1389	YOL027C
OG0001913	augustus_masked-bow-b_s431-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.117&CDS=1-1530	YPR018W
OG0001914	maker-bow-b_s431-snap-gene-0.6-mRNA-1_1&gene=maker-bow-b_s431-snap-gene-0.6&CDS=1-4629	YER169W
OG0001915	augustus_masked-bow-b_s431-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.119&CDS=1-3510	YDR216W
OG0001916	augustus_masked-bow-b_s431-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.137&CDS=1-483	YPR098C
OG0001917	augustus_masked-bow-b_s431-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-0.138&CDS=1-3594	YDR097C
OG0001918	genemark-bow-b_s431-processed-gene-0.98-mRNA-1_1&gene=genemark-bow-b_s431-processed-gene-0.98&CDS=1-1596	YLR107W
OG0001919	augustus_masked-bow-b_s431-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.89&CDS=1-14886	YLR106C
OG0001920	augustus_masked-bow-b_s431-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.118&CDS=1-4692	YDR127W
OG0001921	snap_masked-bow-b_s431-processed-gene-1.43-mRNA-1_1&gene=snap_masked-bow-b_s431-processed-gene-1.43&CDS=1-1611	YER168C
OG0001922	snap_masked-bow-b_s431-processed-gene-1.44-mRNA-1_1&gene=snap_masked-bow-b_s431-processed-gene-1.44&CDS=1-2859	YDR524C
OG0001923	augustus_masked-bow-b_s431-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.90&CDS=1-1002	YDR460W
OG0001924	augustus_masked-bow-b_s431-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.91&CDS=1-543	YML036W
OG0001925	augustus_masked-bow-b_s431-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.123&CDS=1-1155	YDR523C
OG0001926	augustus_masked-bow-b_s431-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.92&CDS=1-1332	YDR527W
OG0001927	augustus_masked-bow-b_s431-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.124&CDS=1-237	YDR525W-A
OG0001928	augustus_masked-bow-b_s431-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.94&CDS=1-2544	YCL045C
OG0001929	augustus_masked-bow-b_s431-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.126&CDS=1-1623	YDR479C
OG0001930	augustus_masked-bow-b_s431-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.127&CDS=1-1362	YOR025W
OG0001931	maker-bow-b_s431-augustus-gene-1.2-mRNA-1_1&gene=maker-bow-b_s431-augustus-gene-1.2&CDS=1-2457	YDR477W
OG0001932	augustus_masked-bow-b_s431-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.95&CDS=1-2823	YOR125C
OG0001933	augustus_masked-bow-b_s431-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.130&CDS=1-1929	YDL035C
OG0001934	augustus_masked-bow-b_s431-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.131&CDS=1-1740	YBR132C
OG0001935	augustus_masked-bow-b_s431-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.96&CDS=1-1074	YFL026W
OG0001936	augustus_masked-bow-b_s431-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.97&CDS=1-834	YNL032W
OG0001937	augustus_masked-bow-b_s431-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.133&CDS=1-426	YIL087C
OG0001938	maker-bow-b_s431-augustus-gene-1.3-mRNA-1_1&gene=maker-bow-b_s431-augustus-gene-1.3&CDS=1-981	YIL084C
OG0001939	maker-bow-b_s431-snap-gene-1.4-mRNA-1_1&gene=maker-bow-b_s431-snap-gene-1.4&CDS=1-2391	YJL127C
OG0001940	augustus_masked-bow-b_s431-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.137&CDS=1-6588	YJL130C
OG0001941	augustus_masked-bow-b_s431-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.101&CDS=1-2940	YKR050W
OG0001942	augustus_masked-bow-b_s431-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.102&CDS=1-855	YNL075W
OG0001943	augustus_masked-bow-b_s431-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.103&CDS=1-3876	YER093C
OG0001944	augustus_masked-bow-b_s431-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.104&CDS=1-783	YJL115W
OG0001945	maker-bow-b_s431-augustus-gene-1.1-mRNA-1_1&gene=maker-bow-b_s431-augustus-gene-1.1&CDS=1-1899	YBR287W
OG0001946	augustus_masked-bow-b_s431-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.106&CDS=1-675	YBL064C
OG0001947	augustus_masked-bow-b_s431-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.107&CDS=1-867	YGR053C
OG0001948	augustus_masked-bow-b_s431-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.141&CDS=1-2412	YFL042C
OG0001949	augustus_masked-bow-b_s431-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.143&CDS=1-1197	YLR355C
OG0001950	augustus_masked-bow-b_s431-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.144&CDS=1-1473	YGR052W
OG0001951	augustus_masked-bow-b_s431-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.145&CDS=1-483	YIR037W
OG0001952	augustus_masked-bow-b_s431-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.147&CDS=1-615	YNL099C
OG0001953	augustus_masked-bow-b_s431-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.108&CDS=1-492	YOR103C
OG0001954	augustus_masked-bow-b_s431-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.148&CDS=1-744	YOR101W
OG0001955	augustus_masked-bow-b_s431-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.149&CDS=1-990	YNL097C
OG0001956	genemark-bow-b_s431-processed-gene-1.229-mRNA-1_1&gene=genemark-bow-b_s431-processed-gene-1.229&CDS=1-2361	YJL168C
OG0001957	augustus_masked-bow-b_s431-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.110&CDS=1-1233	YOL016C
OG0001958	augustus_masked-bow-b_s431-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.111&CDS=1-1341	YLR231C
