	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0002394	augustus_masked-CU928170-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.66&CDS=1-2103	YJL187C
OG0002395	augustus_masked-CU928170-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.51&CDS=1-2562	YCR030C
OG0002396	augustus_masked-CU928170-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.52&CDS=1-384	YCR028C-A
OG0002397	maker-CU928170-snap-gene-3.115-mRNA-1_1&gene=maker-CU928170-snap-gene-3.115&CDS=1-1914	YCR028C
OG0002398	augustus_masked-CU928170-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.54&CDS=1-1242	YJL183W
OG0002399	snap_masked-CU928170-processed-gene-3.94-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-3.94&CDS=1-2508	YJR030C
OG0002400	augustus_masked-CU928170-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.68&CDS=1-951	YJL180C
OG0002401	augustus_masked-CU928170-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.56&CDS=1-333	YJL179W
OG0002402	augustus_masked-CU928170-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.69&CDS=1-864	YJL178C
OG0002403	augustus_masked-CU928170-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.70&CDS=1-4449	YJL176C
OG0002404	augustus_masked-CU928170-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.58&CDS=1-924	YJL174W
OG0002405	augustus_masked-CU928170-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.60&CDS=1-348	YJL173C
OG0002406	augustus_masked-CU928170-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.61&CDS=1-1407	YKL178C
OG0002407	augustus_masked-CU928170-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.62&CDS=1-1182	YJL171C
OG0002408	augustus_masked-CU928170-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.64&CDS=1-2058	YJL168C
OG0002409	augustus_masked-CU928170-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.82&CDS=1-2004	YKL176C
OG0002410	augustus_masked-CU928170-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.65&CDS=1-1293	YKL175W
OG0002411	augustus_masked-CU928170-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.83&CDS=1-1647	YKL174C
OG0002412	maker-CU928170-augustus-gene-4.54-mRNA-1_1&gene=maker-CU928170-augustus-gene-4.54&CDS=1-2814	YKL173W
OG0002413	augustus_masked-CU928170-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.67&CDS=1-1218	YKL172W
OG0002414	maker-CU928170-augustus-gene-4.55-mRNA-1_1&gene=maker-CU928170-augustus-gene-4.55&CDS=1-1296	YJL167W
OG0002415	snap_masked-CU928170-processed-gene-4.14-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-4.14&CDS=1-2538	YKL171W
OG0002416	augustus_masked-CU928170-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.69&CDS=1-414	YKL170W
OG0002417	augustus_masked-CU928170-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.86&CDS=1-1143	YKL166C
OG0002418	augustus_masked-CU928170-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.87&CDS=1-1842	YJL163C
OG0002419	maker-CU928170-augustus-gene-4.56-mRNA-1_1&gene=maker-CU928170-augustus-gene-4.56&CDS=1-4500	YKL165C
OG0002420	augustus_masked-CU928170-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.70&CDS=1-516	YJL161W
OG0002421	augustus_masked-CU928170-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.91&CDS=1-738	YJL158C
OG0002422	augustus_masked-CU928170-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.92&CDS=1-2961	YJL157C
OG0002423	augustus_masked-CU928170-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.93&CDS=1-2037	YJL156C
OG0002424	maker-CU928170-augustus-gene-4.57-mRNA-1_1&gene=maker-CU928170-augustus-gene-4.57&CDS=1-1341	YJL155C
OG0002425	augustus_masked-CU928170-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.95&CDS=1-2571	YJL154C
OG0002426	augustus_masked-CU928170-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.72&CDS=1-1041	YKR066C
OG0002427	augustus_masked-CU928170-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.73&CDS=1-585	YKR065C
OG0002428	genemark-CU928170-processed-gene-4.144-mRNA-1_1&gene=genemark-CU928170-processed-gene-4.144&CDS=1-2181	YKR064W
OG0002429	augustus_masked-CU928170-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.75&CDS=1-1374	YKR063C
OG0002430	augustus_masked-CU928170-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.76&CDS=1-513	YJL148W
OG0002431	augustus_masked-CU928170-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.98&CDS=1-813	YKR062W
OG0002432	augustus_masked-CU928170-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.99&CDS=1-1095	YJL147C
OG0002433	augustus_masked-CU928170-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.77&CDS=1-1125	YJL146W
OG0002434	augustus_masked-CU928170-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.78&CDS=1-855	YJL145W
OG0002435	augustus_masked-CU928170-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.100&CDS=1-1140	YGR286C
OG0002436	augustus_masked-CU928170-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.80&CDS=1-474	YJL143W
OG0002437	augustus_masked-CU928170-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.101&CDS=1-1938	YJL141C
OG0002438	augustus_masked-CU928170-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.81&CDS=1-591	YJL140W
OG0002439	augustus_masked-CU928170-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.47&CDS=1-1269	YKR061W
OG0002440	augustus_masked-CU928170-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.48&CDS=1-810	YKR060W
OG0002441	augustus_masked-CU928170-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.52&CDS=1-2343	YKR056W
OG0002442	snap_masked-CU928170-processed-gene-5.90-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-5.90&CDS=1-12324	YKR054C
OG0002443	augustus_masked-CU928170-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.73&CDS=1-1239	YKR051W
OG0002444	augustus_masked-CU928170-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.54&CDS=1-2190	YJL132W
OG0002445	genemark-CU928170-processed-gene-5.30-mRNA-1_1&gene=genemark-CU928170-processed-gene-5.30&CDS=1-5124	YJL128C
OG0002446	augustus_masked-CU928170-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.56&CDS=1-900	YJL126W
OG0002447	augustus_masked-CU928170-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.77&CDS=1-1200	YJL125C
OG0002448	augustus_masked-CU928170-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.78&CDS=1-480	YJL124C
OG0002449	augustus_masked-CU928170-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.57&CDS=1-384	YKR049C
OG0002450	genemark-CU928170-processed-gene-5.34-mRNA-1_1&gene=genemark-CU928170-processed-gene-5.34&CDS=1-1386	YJL123C
OG0002451	augustus_masked-CU928170-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.58&CDS=1-483	YJL122W
OG0002452	augustus_masked-CU928170-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.80&CDS=1-708	YJL121C
OG0002453	augustus_masked-CU928170-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.59&CDS=1-1296	YKR048C
OG0002454	augustus_masked-CU928170-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.60&CDS=1-960	YKR046C
OG0002455	augustus_masked-CU928170-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.81&CDS=1-699	YOR289W
OG0002456	augustus_masked-CU928170-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.61&CDS=1-573	YKR045C
OG0002457	augustus_masked-CU928170-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.62&CDS=1-903	YJL117W
OG0002458	augustus_masked-CU928170-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.82&CDS=1-1242	YKR044W
OG0002459	augustus_masked-CU928170-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.63&CDS=1-813	YKR043C
OG0002460	augustus_masked-CU928170-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.64&CDS=1-1005	YLR224W
OG0002461	augustus_masked-CU928170-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.66&CDS=1-888	YJL115W
OG0002462	augustus_masked-CU928170-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.84&CDS=1-822	YKR041W
OG0002463	augustus_masked-CU928170-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.67&CDS=1-2511	YDL028C
OG0002464	augustus_masked-CU928170-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.85&CDS=1-1173	YDL029W
OG0002465	augustus_masked-CU928170-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.86&CDS=1-606	YDL027C
OG0002466	augustus_masked-CU928170-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.87&CDS=1-1317	YOL062C
OG0002467	augustus_masked-CU928170-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.68&CDS=1-1395	YOL061W
OG0002468	maker-CU928170-augustus-gene-5.143-mRNA-1_1&gene=maker-CU928170-augustus-gene-5.143&CDS=1-3825	YOL060C
OG0002469	augustus_masked-CU928170-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.69&CDS=1-1170	YDL022W
OG0002470	augustus_masked-CU928170-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.70&CDS=1-1254	YOL058W
OG0002471	augustus_masked-CU928170-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.71&CDS=1-2076	YOL057W
OG0002472	snap_masked-CU928170-processed-gene-5.137-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-5.137&CDS=1-1437	YDL020C
OG0002473	augustus_masked-CU928170-processed-gene-6.47-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.47&CDS=1-1950	YML088W
OG0002474	augustus_masked-CU928170-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.48&CDS=1-924	YML125C
OG0002475	augustus_masked-CU928170-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.49&CDS=1-1581	YML086C
OG0002476	augustus_masked-CU928170-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.50&CDS=1-1341	YML085C
OG0002477	augustus_masked-CU928170-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.69&CDS=1-1710	YML123C
OG0002478	augustus_masked-CU928170-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.70&CDS=1-1323	YHR190W
OG0002479	augustus_masked-CU928170-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.71&CDS=1-579	YHR189W
OG0002480	augustus_masked-CU928170-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.51&CDS=1-897	YML121W
OG0002481	augustus_masked-CU928170-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.72&CDS=1-1548	YML120C
OG0002482	maker-CU928170-augustus-gene-6.90-mRNA-1_1&gene=maker-CU928170-augustus-gene-6.90&CDS=1-420	YJR044C
OG0002483	snap_masked-CU928170-processed-gene-6.104-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.104&CDS=1-1473	YHR065C
OG0002484	augustus_masked-CU928170-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.74&CDS=1-1863	YDR311W
OG0002485	augustus_masked-CU928170-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.55&CDS=1-2700	YHR064C
OG0002486	snap_masked-CU928170-processed-gene-6.107-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.107&CDS=1-2787	YDR310C
OG0002487	augustus_masked-CU928170-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.57&CDS=1-879	YHR062C
OG0002488	augustus_masked-CU928170-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.58&CDS=1-1755	YDR309C
OG0002489	augustus_masked-CU928170-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.75&CDS=1-534	YHR060W
OG0002490	augustus_masked-CU928170-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.59&CDS=1-444	YDR308C
OG0002491	snap_masked-CU928170-processed-gene-6.130-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.130&CDS=1-1971	YDR307W
OG0002492	augustus_masked-CU928170-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.61&CDS=1-1761	YDR306C
OG0002493	augustus_masked-CU928170-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.77&CDS=1-384	YHR059W
OG0002494	augustus_masked-CU928170-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.62&CDS=1-834	YJR093C
OG0002495	snap_masked-CU928170-processed-gene-6.132-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.132&CDS=1-4014	YJR092W
OG0002496	genemark-CU928170-processed-gene-6.20-mRNA-1_1&gene=genemark-CU928170-processed-gene-6.20&CDS=1-3384	YJR091C
OG0002497	genemark-CU928170-processed-gene-6.21-mRNA-1_1&gene=genemark-CU928170-processed-gene-6.21&CDS=1-3303	YJR090C
OG0002498	snap_masked-CU928170-processed-gene-6.133-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.133&CDS=1-2463	YJR089W
OG0002499	augustus_masked-CU928170-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.80&CDS=1-1197	YPR041W
OG0002500	augustus_masked-CU928170-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.64&CDS=1-852	YJR088C
OG0002501	augustus_masked-CU928170-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.81&CDS=1-1026	YPR040W
OG0002502	augustus_masked-CU928170-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.65&CDS=1-603	YPR037C
OG0002503	augustus_masked-CU928170-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.82&CDS=1-282	YJR086W
OG0002504	augustus_masked-CU928170-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.66&CDS=1-315	YJR085C
OG0002505	snap_masked-CU928170-processed-gene-6.137-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.137&CDS=1-1257	YJR084W
OG0002506	snap_masked-CU928170-processed-gene-6.121-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-6.121&CDS=1-819	YJR083C
OG0002507	augustus_masked-CU928170-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.84&CDS=1-1395	YPR036W
OG0002508	augustus_masked-CU928170-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.85&CDS=1-1107	YPR035W
OG0002509	augustus_masked-CU928170-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.86&CDS=1-1026	YDR214W
OG0002510	maker-CU928170-snap-gene-6.95-mRNA-1_1&gene=maker-CU928170-snap-gene-6.95&CDS=1-2238	YDR213W
OG0002511	augustus_masked-CU928170-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.88&CDS=1-1677	YDR212W
OG0002512	augustus_masked-CU928170-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.89&CDS=1-825	YDR090C
OG0002513	augustus_masked-CU928170-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.110&CDS=1-573	YLR229C
OG0002514	augustus_masked-CU928170-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.111&CDS=1-2178	YDR211W
OG0002515	augustus_masked-CU928170-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.112&CDS=1-2016	YDR208W
OG0002516	augustus_masked-CU928170-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.113&CDS=1-1386	YLR231C
OG0002517	augustus_masked-CU928170-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.114&CDS=1-1905	YDR207C
OG0002518	augustus_masked-CU928170-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.137&CDS=1-2388	YDR206W
OG0002519	augustus_masked-CU928170-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.115&CDS=1-1881	YLR234W
OG0002520	augustus_masked-CU928170-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.138&CDS=1-2082	YDR205W
OG0002521	augustus_masked-CU928170-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.139&CDS=1-981	YDR204W
OG0002522	augustus_masked-CU928170-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.117&CDS=1-1014	YDR202C
OG0002523	genemark-CU928170-processed-gene-7.89-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.89&CDS=1-471	YDR201W
OG0002524	genemark-CU928170-processed-gene-7.66-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.66&CDS=1-1296	YLR238W
OG0002525	augustus_masked-CU928170-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.141&CDS=1-969	YLR239C
OG0002526	augustus_masked-CU928170-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.119&CDS=1-1392	YDR198C
OG0002527	augustus_masked-CU928170-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.142&CDS=1-1092	YDR197W
OG0002528	augustus_masked-CU928170-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.120&CDS=1-708	YDR196C
OG0002529	augustus_masked-CU928170-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.143&CDS=1-1530	YDR195W
OG0002530	augustus_masked-CU928170-processed-gene-7.121-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.121&CDS=1-4539	YLR240W
OG0002531	genemark-CU928170-processed-gene-7.71-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.71&CDS=1-2352	YLR241W
OG0002532	augustus_masked-CU928170-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.123&CDS=1-1596	YDR192C
OG0002533	genemark-CU928170-processed-gene-7.73-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.73&CDS=1-813	YLR243W
OG0002534	augustus_masked-CU928170-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.144&CDS=1-1173	YDR191W
OG0002535	augustus_masked-CU928170-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.125&CDS=1-1377	YDR190C
OG0002536	augustus_masked-CU928170-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.145&CDS=1-4566	YDR188W
OG0002537	snap_masked-CU928170-processed-gene-7.44-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-7.44&CDS=1-441	YLR245C
OG0002538	augustus_masked-CU928170-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.126&CDS=1-2145	YDR186C
OG0002539	genemark-CU928170-processed-gene-7.76-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.76&CDS=1-1074	YLR246W
OG0002540	augustus_masked-CU928170-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.127&CDS=1-693	YLR168C
OG0002541	augustus_masked-CU928170-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.128&CDS=1-903	YDR184C
OG0002542	augustus_masked-CU928170-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.147&CDS=1-633	YDR183W
OG0002543	augustus_masked-CU928170-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.129&CDS=1-2448	YLR166C
OG0002544	genemark-CU928170-processed-gene-7.99-mRNA-1_1&gene=genemark-CU928170-processed-gene-7.99&CDS=1-1431	YDR182W
OG0002545	augustus_masked-CU928170-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.130&CDS=1-1119	YDR181C
OG0002546	augustus_masked-CU928170-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.149&CDS=1-4392	YDR180W
OG0002547	augustus_masked-CU928170-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.131&CDS=1-702	YLR165C
OG0002548	augustus_masked-CU928170-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.132&CDS=1-510	YDR179C
OG0002549	augustus_masked-CU928170-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.133&CDS=1-1374	YLR163C
OG0002550	augustus_masked-CU928170-processed-gene-7.151-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.151&CDS=1-1968	YDR176W
OG0002551	augustus_masked-CU928170-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.134&CDS=1-903	YDR175C
OG0002552	augustus_masked-CU928170-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.152&CDS=1-750	YDR174W
OG0002553	augustus_masked-CU928170-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.135&CDS=1-1083	YLR130C
OG0002554	augustus_masked-CU928170-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.136&CDS=1-1002	YDR173C
OG0002555	augustus_masked-CU928170-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.154&CDS=1-2157	YDR172W
OG0002556	augustus_masked-CU928170-processed-gene-7.155-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-7.155&CDS=1-996	YDR171W
OG0002557	genemark-CU928170-processed-gene-8.94-mRNA-1_1&gene=genemark-CU928170-processed-gene-8.94&CDS=1-5388	YDR170C
OG0002558	genemark-CU928170-processed-gene-8.95-mRNA-1_1&gene=genemark-CU928170-processed-gene-8.95&CDS=1-1128	YGL148W
OG0002559	augustus_masked-CU928170-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.52&CDS=1-2664	YDL117W
OG0002560	augustus_masked-CU928170-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.53&CDS=1-2157	YDL116W
OG0002561	snap_masked-CU928170-processed-gene-8.31-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.31&CDS=1-972	YDL115C
OG0002562	snap_masked-CU928170-processed-gene-8.32-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.32&CDS=1-1848	YDL113C
OG0002563	augustus_masked-CU928170-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.54&CDS=1-4188	YDL112W
OG0002564	augustus_masked-CU928170-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.76&CDS=1-789	YDL111C
OG0002565	snap_masked-CU928170-processed-gene-8.34-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.34&CDS=1-762	YGL146C
OG0002566	augustus_masked-CU928170-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.77&CDS=1-459	YDL110C
OG0002567	snap_masked-CU928170-processed-gene-8.11-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.11&CDS=1-2025	YGL145W
OG0002568	genemark-CU928170-processed-gene-8.124-mRNA-1_1&gene=genemark-CU928170-processed-gene-8.124&CDS=1-1932	YGL144C
OG0002569	augustus_masked-CU928170-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.79&CDS=1-1200	YGL143C
OG0002570	augustus_masked-CU928170-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.56&CDS=1-924	YDL108W
OG0002571	augustus_masked-CU928170-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.57&CDS=1-1128	YDL107W
OG0002572	augustus_masked-CU928170-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.81&CDS=1-1791	YGL142C
OG0002573	augustus_masked-CU928170-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.58&CDS=1-2727	YGL141W
OG0002574	augustus_masked-CU928170-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.59&CDS=1-1515	YMR171C
OG0002575	augustus_masked-CU928170-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.82&CDS=1-1452	YDL106C
OG0002576	augustus_masked-CU928170-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.84&CDS=1-2187	YMR167W
OG0002577	augustus_masked-CU928170-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.61&CDS=1-1149	YDL105W
