	Saccharomyces_cerevisiae	yHMPu5000035040_Ambrosiozyma_maleeae
OG0001797	YIL042C	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.21&CDS=1-1254
OG0001798	YIL043C	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.104&CDS=1-885
OG0001799	YIL044C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.97&CDS=1-1071
OG0001800	YIL046W	augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.116&CDS=1-1974
OG0001801	YIL047C	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-1.147&CDS=1-3483
OG0001802	YIL048W	maker-NODE_15_length_290363_cov_40.5998_ID_29-snap-gene-1.176-mRNA-1_1&gene=maker-NODE_15_length_290363_cov_40.5998_ID_29-snap-gene-1.176&CDS=1-4353
OG0001803	YIL061C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.115&CDS=1-828
OG0001804	YIL063C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.43&CDS=1-1257
OG0001805	YIL064W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.46&CDS=1-786
OG0001806	YIL065C	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.24&CDS=1-462
OG0001807	YIL067C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.58&CDS=1-2082
OG0001808	YIL068C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.2&CDS=1-2262
OG0001809	YIL070C	maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-13.142-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-13.142&CDS=1-1068
OG0001810	YIL072W	snap_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.26-mRNA-1_1&gene=snap_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.26&CDS=1-1635
OG0001811	YIL075C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.140&CDS=1-2889
OG0001812	YIL083C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.95&CDS=1-1068
OG0001813	YIL084C	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.103&CDS=1-999
OG0001814	YIL090W	augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.188&CDS=1-1572
OG0001815	YIL091C	augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.157&CDS=1-2262
OG0001816	YIL093C	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.69&CDS=1-831
OG0001817	YIL094C	augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.184-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.184&CDS=1-1119
OG0001818	YIL096C	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.23&CDS=1-993
OG0001819	YIL098C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.107&CDS=1-414
OG0001820	YIL099W	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-0.60&CDS=1-1737
OG0001821	YIL101C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.109&CDS=1-1719
OG0001822	YIL102C-A	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.247-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.247&CDS=1-249
OG0001823	YIL103W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.102&CDS=1-1278
OG0001824	YIL104C	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.137&CDS=1-1533
OG0001825	YIL106W	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.120&CDS=1-780
OG0001826	YIL108W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-1.44&CDS=1-2010
OG0001827	YIL110W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.3&CDS=1-1098
OG0001828	YIL112W	maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-9.131-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-9.131&CDS=1-3063
OG0001829	YIL113W	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.87&CDS=1-1203
OG0001830	YIL116W	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.124&CDS=1-1197
OG0001831	YIL124W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.89&CDS=1-924
OG0001832	YIL125W	snap_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.27&CDS=1-3009
OG0001833	YIL127C	snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.65&CDS=1-675
OG0001834	YIL128W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.113&CDS=1-3174
OG0001835	YIL129C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.92&CDS=1-7836
OG0001836	YIL130W	genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.85-mRNA-1_1&gene=genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.85&CDS=1-3237
OG0001837	YIL133C	snap_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.28&CDS=1-600
OG0001838	YIL134W	snap_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.158-mRNA-1_1&gene=snap_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.158&CDS=1-1002
OG0001839	YIL140W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.23&CDS=1-2286
OG0001840	YIL142W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.120&CDS=1-1578
OG0001841	YIL143C	maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-11.126-mRNA-1_1&gene=maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-11.126&CDS=1-3387
OG0001842	YIL144W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-11.56&CDS=1-2172
OG0001843	YIL145C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.22&CDS=1-966
OG0001844	YIL147C	snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.62&CDS=1-3732
OG0001845	YIL150C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.35&CDS=1-1752
OG0001846	YIL153W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.72&CDS=1-1095
OG0001847	YIL154C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.36&CDS=1-1479
OG0001848	YIL155C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.46&CDS=1-2007
OG0001849	YIL156W-B	augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.29&CDS=1-216
OG0001850	YIL157C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.82&CDS=1-609
OG0001851	YIL160C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.86&CDS=1-1272
OG0001852	YIL166C	augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.167&CDS=1-1686
OG0001853	YIR002C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.120&CDS=1-3675
OG0001854	YIR004W	maker-NODE_10_length_550745_cov_39.138_ID_19-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_10_length_550745_cov_39.138_ID_19-augustus-gene-0.4&CDS=1-2091
OG0001855	YIR005W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.123&CDS=1-822
OG0001856	YIR006C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.6&CDS=1-4803
OG0001857	YIR007W	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.27&CDS=1-2523
OG0001858	YIR008C	augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.6&CDS=1-1320
OG0001859	YIR009W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.21&CDS=1-390
OG0001860	YIR011C	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.48&CDS=1-1083
OG0001861	YIR012W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.84&CDS=1-1239
OG0001862	YIR015W	augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.130&CDS=1-468
OG0001863	YIR022W	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.70&CDS=1-456
OG0001864	YIR023W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.27&CDS=1-3114
OG0001865	YIR026C	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.14&CDS=1-1077
OG0001866	YIR027C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.68&CDS=1-1653
OG0001867	YIR029W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.91&CDS=1-2019
OG0001868	YIR030C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.93&CDS=1-723
OG0001869	YIR032C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.103&CDS=1-636
OG0001870	YIR034C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.11&CDS=1-1116
OG0001871	YIR037W	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.85&CDS=1-483
OG0001872	YJL001W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-3.47&CDS=1-648
OG0001873	YJL002C	genemark-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.112-mRNA-1_1&gene=genemark-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.112&CDS=1-1605
OG0001874	YJL003W	maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-3.126-mRNA-1_1&gene=maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-3.126&CDS=1-846
OG0001875	YJL004C	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.113&CDS=1-597
OG0001876	YJL005W	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.27&CDS=1-6000
OG0001877	YJL008C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.133&CDS=1-1665
OG0001878	YJL010C	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.54&CDS=1-2025
OG0001879	YJL011C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.218-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.218&CDS=1-594
OG0001880	YJL012C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.115&CDS=1-2103
OG0001881	YJL014W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.81&CDS=1-1584
OG0001882	YJL020C	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.77&CDS=1-3219
OG0001883	YJL024C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-2.76&CDS=1-588
OG0001884	YJL025W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-1.21&CDS=1-1497
OG0001885	YJL026W	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.92&CDS=1-1215
OG0001886	YJL029C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.113&CDS=1-2601
OG0001887	YJL031C	augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-1.92&CDS=1-1137
OG0001888	YJL033W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.29&CDS=1-2364
OG0001889	YJL035C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.52-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.52&CDS=1-720
OG0001890	YJL036W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.72&CDS=1-1854
OG0001891	YJL039C	genemark-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.59&CDS=1-7053
OG0001892	YJL041W	augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.191&CDS=1-2238
OG0001893	YJL046W	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.59&CDS=1-1638
OG0001894	YJL049W	snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.170-mRNA-1_1&gene=snap_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.170&CDS=1-1368
OG0001895	YJL050W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.103&CDS=1-3237
OG0001896	YJL053W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.93&CDS=1-954
OG0001897	YJL054W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.20&CDS=1-1416
OG0001898	YJL055W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.102&CDS=1-675
OG0001899	YJL057C	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-1.17&CDS=1-2244
OG0001900	YJL059W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.108&CDS=1-1230
OG0001901	YJL060W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.116&CDS=1-1272
OG0001902	YJL062W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.101&CDS=1-2589
OG0001903	YJL062W-A	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.96&CDS=1-273
OG0001904	YJL063C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-1.55&CDS=1-642
OG0001905	YJL065C	augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-0.56&CDS=1-726
OG0001906	YJL066C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.170&CDS=1-903
OG0001907	YJL069C	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.117&CDS=1-1767
OG0001908	YJL071W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.61&CDS=1-1812
OG0001909	YJL072C	augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.89&CDS=1-714
OG0001910	YJL074C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.95&CDS=1-4755
OG0001911	YJL080C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.24&CDS=1-3183
OG0001912	YJL085W	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.25-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.25&CDS=1-1848
OG0001913	YJL087C	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-4.28&CDS=1-2436
OG0001914	YJL088W	snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-0.40&CDS=1-1002
OG0001915	YJL091C	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.26&CDS=1-1932
OG0001916	YJL092W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.78&CDS=1-2580
OG0001917	YJL093C	genemark-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-1.30&CDS=1-2856
OG0001918	YJL094C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.53&CDS=1-2406
