	Naumovozyma_castellii	Saccharomyces_cerevisiae
OG0001501	augustus_masked-HE576753-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.152&CDS=1-2673	YOR211C
OG0001502	augustus_masked-HE576753-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.173&CDS=1-210	YOR210W
OG0001503	snap_masked-HE576753-processed-gene-2.38-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-2.38&CDS=1-3450	YOR207C
OG0001504	augustus_masked-HE576753-processed-gene-2.174-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.174&CDS=1-2106	YOR206W
OG0001505	augustus_masked-HE576753-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.154&CDS=1-1503	YOR205C
OG0001506	augustus_masked-HE576753-processed-gene-2.176-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.176&CDS=1-675	YOR202W
OG0001507	augustus_masked-HE576753-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.111&CDS=1-1254	YOR201C
OG0001508	augustus_masked-HE576753-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.112&CDS=1-1470	YOR198C
OG0001509	augustus_masked-HE576753-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.114&CDS=1-1287	YOR197W
OG0001510	augustus_masked-HE576753-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.113&CDS=1-1173	YOR196C
OG0001511	genemark-HE576753-processed-gene-3.4-mRNA-1_1&gene=genemark-HE576753-processed-gene-3.4&CDS=1-2364	YOR195W
OG0001512	genemark-HE576753-processed-gene-3.6-mRNA-1_1&gene=genemark-HE576753-processed-gene-3.6&CDS=1-732	YBR165W
OG0001513	augustus_masked-HE576753-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.140&CDS=1-1335	YBR166C
OG0001514	augustus_masked-HE576753-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.141&CDS=1-396	YBR167C
OG0001515	augustus_masked-HE576753-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.117&CDS=1-1143	YBR168W
OG0001516	augustus_masked-HE576753-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.118&CDS=1-654	YBR171W
OG0001517	augustus_masked-HE576753-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.144&CDS=1-459	YBR173C
OG0001518	genemark-HE576753-processed-gene-3.9-mRNA-1_1&gene=genemark-HE576753-processed-gene-3.9&CDS=1-1863	YBR176W
OG0001519	genemark-HE576753-processed-gene-3.10-mRNA-1_1&gene=genemark-HE576753-processed-gene-3.10&CDS=1-1389	YPL101W
OG0001520	augustus_masked-HE576753-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.145&CDS=1-345	YPL098C
OG0001521	augustus_masked-HE576753-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.121&CDS=1-1377	YPL097W
OG0001522	augustus_masked-HE576753-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.147&CDS=1-1362	YBR177C
OG0001523	genemark-HE576753-processed-gene-3.39-mRNA-1_1&gene=genemark-HE576753-processed-gene-3.39&CDS=1-2511	YBR179C
OG0001524	augustus_masked-HE576753-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.122&CDS=1-1938	YPL093W
OG0001525	augustus_masked-HE576753-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.123&CDS=1-1590	YBR180W
OG0001526	augustus_masked-HE576753-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.124&CDS=1-963	YBR183W
OG0001527	augustus_masked-HE576753-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.151&CDS=1-1683	YPL086C
OG0001528	augustus_masked-HE576753-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.152&CDS=1-852	YBR185C
OG0001529	augustus_masked-HE576753-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.126&CDS=1-2604	YPL084W
OG0001530	augustus_masked-HE576753-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.153&CDS=1-1410	YPL083C
OG0001531	augustus_masked-HE576753-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.127&CDS=1-894	YBR187W
OG0001532	augustus_masked-HE576753-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.130&CDS=1-1122	YBR192W
OG0001533	augustus_masked-HE576753-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.155&CDS=1-654	YBR193C
OG0001534	augustus_masked-HE576753-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.131&CDS=1-345	YBR194W
OG0001535	augustus_masked-HE576753-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.156&CDS=1-1242	YBR195C
OG0001536	augustus_masked-HE576753-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.157&CDS=1-1656	YBR196C
OG0001537	augustus_masked-HE576753-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.159&CDS=1-2466	YBR198C
OG0001538	augustus_masked-HE576753-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.132&CDS=1-1314	YBR199W
OG0001539	augustus_masked-HE576753-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.133&CDS=1-1662	YBR200W
OG0001540	augustus_masked-HE576753-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.134&CDS=1-624	YBR201W
OG0001541	augustus_masked-HE576753-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.135&CDS=1-2565	YBR202W
OG0001542	augustus_masked-HE576753-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.136&CDS=1-2670	YBR203W
OG0001543	augustus_masked-HE576753-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.160&CDS=1-1089	YBR204C
OG0001544	augustus_masked-HE576753-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.137&CDS=1-1251	YBR205W
OG0001545	augustus_masked-HE576753-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.161&CDS=1-5502	YBR208C
OG0001546	augustus_masked-HE576753-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.162&CDS=1-1593	YBR163W
OG0001547	snap_masked-HE576753-processed-gene-3.108-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-3.108&CDS=1-195	YBR162W-A
OG0001548	augustus_masked-HE576753-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.139&CDS=1-1413	YBR162C
OG0001549	maker-HE576753-snap-gene-4.49-mRNA-1_1&gene=maker-HE576753-snap-gene-4.49&CDS=1-1920	YBR160W
OG0001550	snap_masked-HE576753-processed-gene-4.55-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.55&CDS=1-1461	YBR158W
OG0001551	snap_masked-HE576753-processed-gene-4.50-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.50&CDS=1-888	YBR157C
OG0001552	snap_masked-HE576753-processed-gene-4.56-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.56&CDS=1-2115	YBR156C
OG0001553	augustus_masked-HE576753-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.23&CDS=1-1140	YBR155W
OG0001554	augustus_masked-HE576753-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.24&CDS=1-1422	YDR483W
OG0001555	augustus_masked-HE576753-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.5&CDS=1-417	YDR482C
OG0001556	augustus_masked-HE576753-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.6&CDS=1-1623	YDR481C
OG0001557	snap_masked-HE576753-processed-gene-4.79-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.79&CDS=1-1176	YDR480W
OG0001558	augustus_masked-HE576753-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.7&CDS=1-1518	YDR256C
OG0001559	augustus_masked-HE576753-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.8&CDS=1-1806	YDR255C
OG0001560	augustus_masked-HE576753-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.9&CDS=1-552	YDR248C
OG0001561	augustus_masked-HE576753-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.31&CDS=1-708	YDR246W
OG0001562	augustus_masked-HE576753-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.32&CDS=1-1167	YDR245W
OG0001563	augustus_masked-HE576753-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.33&CDS=1-1734	YDR244W
OG0001564	augustus_masked-HE576753-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.10&CDS=1-1770	YDR243C
OG0001565	augustus_masked-HE576753-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.34&CDS=1-1677	YDR242W
OG0001566	augustus_masked-HE576753-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.11&CDS=1-450	YDL208W
OG0001567	augustus_masked-HE576753-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.12&CDS=1-3729	YDR240C
OG0001568	augustus_masked-HE576753-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.13&CDS=1-2916	YDR238C
OG0001569	augustus_masked-HE576753-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.35&CDS=1-891	YDR237W
OG0001570	augustus_masked-HE576753-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.14&CDS=1-567	YDR236C
OG0001571	augustus_masked-HE576753-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.36&CDS=1-1623	YDR235W
OG0001572	augustus_masked-HE576753-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.37&CDS=1-2073	YDR234W
OG0001573	augustus_masked-HE576753-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.15&CDS=1-909	YDR233C
OG0001574	augustus_masked-HE576753-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.38&CDS=1-1584	YDR232W
OG0001575	augustus_masked-HE576753-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.16&CDS=1-555	YDR231C
OG0001576	augustus_masked-HE576753-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.39&CDS=1-1332	YDR229W
OG0001577	augustus_masked-HE576753-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.17&CDS=1-1815	YDR228C
OG0001578	snap_masked-HE576753-processed-gene-4.95-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.95&CDS=1-4971	YDR227W
OG0001579	augustus_masked-HE576753-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.42&CDS=1-663	YDR226W
OG0001580	augustus_masked-HE576753-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.47&CDS=1-2067	YDR221W
OG0001581	augustus_masked-HE576753-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.20&CDS=1-1146	YDR219C
OG0001582	snap_masked-HE576753-processed-gene-4.74-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.74&CDS=1-1191	YDR218C
OG0001583	snap_masked-HE576753-processed-gene-4.75-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-4.75&CDS=1-3705	YDR217C
OG0001584	augustus_masked-HE576753-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.1&CDS=1-3456	YDR216W
OG0001585	augustus_masked-HE576753-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.3&CDS=1-1677	YDR212W
OG0001586	augustus_masked-HE576753-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.4&CDS=1-573	YLR229C
OG0001587	augustus_masked-HE576753-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.5&CDS=1-2181	YDR211W
OG0001588	augustus_masked-HE576753-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.25&CDS=1-2340	YDR208W
OG0001589	augustus_masked-HE576753-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.6&CDS=1-1878	YDR207C
OG0001590	augustus_masked-HE576753-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.26&CDS=1-2610	YDR206W
OG0001591	augustus_masked-HE576753-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.27&CDS=1-2136	YDR205W
OG0001592	augustus_masked-HE576753-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.28&CDS=1-1002	YDR204W
OG0001593	augustus_masked-HE576753-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.29&CDS=1-462	YDR201W
OG0001594	augustus_masked-HE576753-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.7&CDS=1-2862	YDR198C
OG0001595	augustus_masked-HE576753-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.30&CDS=1-1143	YDR197W
OG0001596	augustus_masked-HE576753-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.8&CDS=1-720	YDR196C
OG0001597	maker-HE576753-snap-gene-5.100-mRNA-1_1&gene=maker-HE576753-snap-gene-5.100&CDS=1-1656	YDR195W
OG0001598	genemark-HE576753-processed-gene-5.113-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.113&CDS=1-2007	YDR194C
OG0001599	augustus_masked-HE576753-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.10&CDS=1-1770	YDR192C
OG0001600	augustus_masked-HE576753-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.32&CDS=1-1086	YDR191W
OG0001601	augustus_masked-HE576753-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.11&CDS=1-2559	YDR186C
OG0001602	augustus_masked-HE576753-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.12&CDS=1-1107	YDR184C
OG0001603	genemark-HE576753-processed-gene-5.136-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.136&CDS=1-1980	YDR182W
OG0001604	genemark-HE576753-processed-gene-5.117-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.117&CDS=1-1590	YDR181C
OG0001605	augustus_masked-HE576753-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.34&CDS=1-4494	YDR180W
OG0001606	augustus_masked-HE576753-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.35&CDS=1-1389	YDR179W-A
OG0001607	augustus_masked-HE576753-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.14&CDS=1-501	YDR179C
OG0001608	genemark-HE576753-processed-gene-5.139-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.139&CDS=1-549	YDR178W
OG0001609	genemark-HE576753-processed-gene-5.140-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.140&CDS=1-642	YDR177W
OG0001610	genemark-HE576753-processed-gene-5.141-mRNA-1_1&gene=genemark-HE576753-processed-gene-5.141&CDS=1-2244	YDR176W
OG0001611	augustus_masked-HE576753-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.15&CDS=1-924	YDR175C
OG0001612	augustus_masked-HE576753-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.37&CDS=1-750	YDR174W
OG0001613	augustus_masked-HE576753-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.16&CDS=1-1056	YDR173C
OG0001614	augustus_masked-HE576753-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.38&CDS=1-2046	YDR172W
OG0001615	augustus_masked-HE576753-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.39&CDS=1-1311	YDR171W
OG0001616	augustus_masked-HE576753-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.17&CDS=1-5769	YDR170C
OG0001617	augustus_masked-HE576753-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.19&CDS=1-1809	YLR152C
OG0001618	augustus_masked-HE576753-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.40&CDS=1-798	YLR150W
OG0001619	augustus_masked-HE576753-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.42&CDS=1-2175	YDR168W
OG0001620	augustus_masked-HE576753-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.21&CDS=1-2727	YDR166C
OG0001621	augustus_masked-HE576753-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.43&CDS=1-1353	YDR165W
OG0001622	augustus_masked-HE576753-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.22&CDS=1-2073	YDR164C
OG0001623	augustus_masked-HE576753-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.44&CDS=1-570	YDR163W
OG0001624	augustus_masked-HE576753-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-5.23&CDS=1-699	YDR162C
OG0001625	augustus_masked-HE576753-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.97&CDS=1-7257	YDR160W
OG0001626	augustus_masked-HE576753-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.98&CDS=1-1098	YDR158W
OG0001627	augustus_masked-HE576753-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.99&CDS=1-417	YDR156W
OG0001628	augustus_masked-HE576753-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.95&CDS=1-489	YDR155C
OG0001629	snap_masked-HE576753-processed-gene-6.68-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-6.68&CDS=1-1518	YDR131C
OG0001630	genemark-HE576753-processed-gene-6.22-mRNA-1_1&gene=genemark-HE576753-processed-gene-6.22&CDS=1-1515	YDR132C
OG0001631	augustus_masked-HE576753-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.117&CDS=1-4536	YDR135C
OG0001632	augustus_masked-HE576753-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.100&CDS=1-1926	YDR137W
OG0001633	augustus_masked-HE576753-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.101&CDS=1-2208	YDR138W
OG0001634	augustus_masked-HE576753-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.102&CDS=1-663	YDR140W
OG0001635	augustus_masked-HE576753-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.119&CDS=1-5049	YDR141C
OG0001636	augustus_masked-HE576753-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.120&CDS=1-1125	YDR142C
OG0001637	augustus_masked-HE576753-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.121&CDS=1-1758	YLR120C
OG0001638	augustus_masked-HE576753-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.103&CDS=1-1557	YDR145W
OG0001639	augustus_masked-HE576753-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.123&CDS=1-1905	YDR146C
OG0001640	augustus_masked-HE576753-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.124&CDS=1-1326	YDR148C
OG0001641	augustus_masked-HE576753-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.105&CDS=1-7341	YDR150W
OG0001642	augustus_masked-HE576753-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.125&CDS=1-1062	YDR151C
OG0001643	augustus_masked-HE576753-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.106&CDS=1-834	YDR152W
OG0001644	augustus_masked-HE576753-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.126&CDS=1-1248	YDR153C
OG0001645	augustus_masked-HE576753-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.107&CDS=1-699	YDR130C
OG0001646	maker-HE576753-augustus-gene-6.44-mRNA-1_1&gene=maker-HE576753-augustus-gene-6.44&CDS=1-4440	YDR128W
OG0001647	augustus_masked-HE576753-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.108&CDS=1-1290	YDR125C
OG0001648	augustus_masked-HE576753-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.129&CDS=1-1011	YDR124W
OG0001649	augustus_masked-HE576753-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.109&CDS=1-900	YDR123C
OG0001650	augustus_masked-HE576753-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.131&CDS=1-612	YDR121W
OG0001651	augustus_masked-HE576753-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.110&CDS=1-1638	YDR120C
OG0001652	augustus_masked-HE576753-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.132&CDS=1-3447	YDR118W
OG0001653	augustus_masked-HE576753-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.111&CDS=1-1695	YDR117C
OG0001654	augustus_masked-HE576753-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.112&CDS=1-909	YDR116C
OG0001655	genemark-HE576753-processed-gene-6.40-mRNA-1_1&gene=genemark-HE576753-processed-gene-6.40&CDS=1-345	YDR115W
OG0001656	augustus_masked-HE576753-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.113&CDS=1-975	YDR113C
OG0001657	augustus_masked-HE576753-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.133&CDS=1-1764	YDR110W
OG0001658	augustus_masked-HE576753-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-6.134&CDS=1-1749	YLR088W
OG0001659	augustus_masked-HE576753-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.44&CDS=1-1788	YDR109C
OG0001660	augustus_masked-HE576753-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.48&CDS=1-2118	YDR108W
OG0001661	augustus_masked-HE576753-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.49&CDS=1-837	YDR106W
OG0001662	augustus_masked-HE576753-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.46&CDS=1-1446	YDR105C
OG0001663	augustus_masked-HE576753-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.47&CDS=1-3624	YDR104C
OG0001664	augustus_masked-HE576753-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.68&CDS=1-2730	YDR103W
OG0001665	augustus_masked-HE576753-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.50&CDS=1-1731	YDR101C
OG0001666	genemark-HE576753-processed-gene-7.26-mRNA-1_1&gene=genemark-HE576753-processed-gene-7.26&CDS=1-429	YDR100W
OG0001667	augustus_masked-HE576753-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.52&CDS=1-3552	YDR097C
OG0001668	genemark-HE576753-processed-gene-7.29-mRNA-1_1&gene=genemark-HE576753-processed-gene-7.29&CDS=1-459	YDR092W
OG0001669	augustus_masked-HE576753-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.53&CDS=1-1824	YDR091C
OG0001670	augustus_masked-HE576753-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.54&CDS=1-963	YDR090C
OG0001671	augustus_masked-HE576753-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.73&CDS=1-2511	YDR089W
OG0001672	augustus_masked-HE576753-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.55&CDS=1-1053	YDR088C
OG0001673	augustus_masked-HE576753-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.56&CDS=1-864	YDR087C
OG0001674	augustus_masked-HE576753-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.57&CDS=1-216	YDR086C
OG0001675	snap_masked-HE576753-processed-gene-7.99-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-7.99&CDS=1-1272	YDR085C
OG0001676	genemark-HE576753-processed-gene-7.14-mRNA-1_1&gene=genemark-HE576753-processed-gene-7.14&CDS=1-603	YDR084C
OG0001677	genemark-HE576753-processed-gene-7.32-mRNA-1_1&gene=genemark-HE576753-processed-gene-7.32&CDS=1-1176	YDR083W
OG0001678	snap_masked-HE576753-processed-gene-7.122-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-7.122&CDS=1-1509	YDR082W
OG0001679	augustus_masked-HE576753-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.59&CDS=1-2427	YDR081C
OG0001680	augustus_masked-HE576753-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.75&CDS=1-2850	YDR080W
OG0001681	snap_masked-HE576753-processed-gene-7.102-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-7.102&CDS=1-216	YDR079C-A
OG0001682	augustus_masked-HE576753-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.76&CDS=1-360	YDR079W
OG0001683	augustus_masked-HE576753-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.60&CDS=1-969	YOL096C
OG0001684	augustus_masked-HE576753-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.61&CDS=1-795	YDR078C
