	Saccharomyces_cerevisiae	yHMPu5000034903_Ogataea_naganishii
OG0001449	YGL067W	genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-10.112-mRNA-1_1&gene=genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-10.112&CDS=1-1305
OG0001450	YGL068W	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.140&CDS=1-537
OG0001451	YGL070C	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.109&CDS=1-336
OG0001452	YGL073W	augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.182-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.182&CDS=1-2070
OG0001453	YGL077C	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.6&CDS=1-1623
OG0001454	YGL078C	augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.199-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.199&CDS=1-1602
OG0001455	YGL080W	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.88&CDS=1-351
OG0001456	YGL083W	augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.211-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.211&CDS=1-4257
OG0001457	YGL084C	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.132&CDS=1-1821
OG0001458	YGL085W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.111&CDS=1-714
OG0001459	YGL086W	snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.89&CDS=1-2106
OG0001460	YGL087C	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.108&CDS=1-414
OG0001461	YGL091C	augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.38&CDS=1-1011
OG0001462	YGL092W	augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-1.7&CDS=1-4110
OG0001463	YGL094C	maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-4.124-mRNA-1_1&gene=maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-4.124&CDS=1-3516
OG0001464	YGL095C	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.129&CDS=1-1815
OG0001465	YGL097W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.110&CDS=1-1521
OG0001466	YGL098W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.45-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.45&CDS=1-804
OG0001467	YGL099W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.12-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.12&CDS=1-2181
OG0001468	YGL100W	snap_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.60&CDS=1-1119
OG0001469	YGL103W	maker-NODE_18_length_201343_cov_74.0127_ID_35-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_18_length_201343_cov_74.0127_ID_35-augustus-gene-0.6&CDS=1-441
OG0001470	YGL106W	augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.26&CDS=1-423
OG0001471	YGL110C	augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.31&CDS=1-2055
OG0001472	YGL111W	augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.112&CDS=1-1203
OG0001473	YGL112C	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.133&CDS=1-1698
OG0001474	YGL114W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.120&CDS=1-2325
OG0001475	YGL115W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.119&CDS=1-1005
OG0001476	YGL119W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.132&CDS=1-1803
OG0001477	YGL122C	maker-NODE_2_length_972366_cov_74.5479_ID_3-augustus-gene-8.2-mRNA-1_1&gene=maker-NODE_2_length_972366_cov_74.5479_ID_3-augustus-gene-8.2&CDS=1-4539
OG0001478	YGL123W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.163-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.163&CDS=1-780
OG0001479	YGL124C	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.154-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.154&CDS=1-2067
OG0001480	YGL125W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.33&CDS=1-1821
OG0001481	YGL126W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-5.140&CDS=1-957
OG0001482	YGL127C	maker-NODE_2_length_972366_cov_74.5479_ID_3-augustus-gene-5.102-mRNA-1_1&gene=maker-NODE_2_length_972366_cov_74.5479_ID_3-augustus-gene-5.102&CDS=1-618
OG0001483	YGL129C	snap_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.56&CDS=1-1395
OG0001484	YGL130W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.24&CDS=1-1548
OG0001485	YGL131C	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-1.15&CDS=1-4377
OG0001486	YGL136C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.41-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.41&CDS=1-1065
OG0001487	YGL137W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.9&CDS=1-2529
OG0001488	YGL141W	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.96&CDS=1-3213
OG0001489	YGL142C	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-3.69&CDS=1-1572
OG0001490	YGL143C	snap_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.37&CDS=1-1215
OG0001491	YGL145W	snap_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.157-mRNA-1_1&gene=snap_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.157&CDS=1-2169
OG0001492	YGL148W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.153&CDS=1-1125
OG0001493	YGL150C	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.191-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.191&CDS=1-4233
OG0001494	YGL153W	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.230-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.230&CDS=1-1086
OG0001495	YGL154C	snap_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.147&CDS=1-1002
OG0001496	YGL155W	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.190&CDS=1-1164
OG0001497	YGL156W	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.189-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.189&CDS=1-3423
OG0001498	YGL159W	genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-2.50-mRNA-1_1&gene=genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-2.50&CDS=1-1041
OG0001499	YGL160W	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.38&CDS=1-1599
OG0001500	YGL161C	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.28&CDS=1-675
OG0001501	YGL163C	augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-0.22&CDS=1-2715
OG0001502	YGL164C	genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-1.22&CDS=1-1233
OG0001503	YGL167C	genemark-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.121-mRNA-1_1&gene=genemark-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.121&CDS=1-2781
OG0001504	YGL169W	genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.47&CDS=1-1113
OG0001505	YGL171W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.128&CDS=1-1671
OG0001506	YGL172W	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.116&CDS=1-1785
OG0001507	YGL173C	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.97&CDS=1-4176
OG0001508	YGL174W	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.117&CDS=1-624
OG0001509	YGL178W	augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.14&CDS=1-1473
OG0001510	YGL179C	maker-NODE_24_length_91208_cov_71.2268_ID_47-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_24_length_91208_cov_71.2268_ID_47-snap-gene-0.2&CDS=1-4323
OG0001511	YGL180W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.128&CDS=1-2451
OG0001512	YGL181W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.153&CDS=1-1254
OG0001513	YGL184C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.256-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.256&CDS=1-1152
OG0001514	YGL185C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.257-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.257&CDS=1-1113
OG0001515	YGL187C	maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-5.297-mRNA-1_1&gene=maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-5.297&CDS=1-471
OG0001516	YGL190C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.221-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.221&CDS=1-1401
OG0001517	YGL191W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.259-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.259&CDS=1-402
OG0001518	YGL192W	maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-5.298-mRNA-1_1&gene=maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-5.298&CDS=1-1599
OG0001519	YGL195W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.61&CDS=1-8031
OG0001520	YGL196W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.173&CDS=1-1311
OG0001521	YGL198W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-9.21&CDS=1-1164
OG0001522	YGL200C	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-4.125&CDS=1-612
OG0001523	YGL201C	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.202-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.202&CDS=1-2871
OG0001524	YGL202W	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.79&CDS=1-1422
OG0001525	YGL203C	augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_19_length_201287_cov_70.2906_ID_37-processed-gene-1.14&CDS=1-2106
OG0001526	YGL205W	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.41&CDS=1-2103
OG0001527	YGL206C	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.40&CDS=1-4998
OG0001528	YGL207W	augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.78&CDS=1-3030
OG0001529	YGL211W	augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.154&CDS=1-1185
OG0001530	YGL212W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.145&CDS=1-1023
OG0001531	YGL213C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.126&CDS=1-1164
OG0001532	YGL215W	genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.117-mRNA-1_1&gene=genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.117&CDS=1-948
OG0001533	YGL216W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.105&CDS=1-2520
OG0001534	YGL220W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.127&CDS=1-273
OG0001535	YGL221C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.146&CDS=1-855
OG0001536	YGL225W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.117&CDS=1-1035
OG0001537	YGL227W	snap_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.202-mRNA-1_1&gene=snap_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.202&CDS=1-1893
OG0001538	YGL231C	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.41&CDS=1-513
OG0001539	YGL232W	augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.109&CDS=1-954
OG0001540	YGL233W	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.88&CDS=1-2529
OG0001541	YGL234W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-0.7&CDS=1-2376
OG0001542	YGL236C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.127&CDS=1-2121
OG0001543	YGL237C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.146&CDS=1-831
OG0001544	YGL238W	maker-NODE_11_length_432301_cov_74.1502_ID_21-augustus-gene-2.154-mRNA-1_1&gene=maker-NODE_11_length_432301_cov_74.1502_ID_21-augustus-gene-2.154&CDS=1-4179
OG0001545	YGL241W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.161-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.161&CDS=1-3150
OG0001546	YGL242C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-1.53&CDS=1-516
OG0001547	YGL244W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.129&CDS=1-1692
OG0001548	YGL245W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.128&CDS=1-2169
OG0001549	YGL246C	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.159-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.159&CDS=1-1167
OG0001550	YGL247W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.127&CDS=1-1425
OG0001551	YGL248W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.34&CDS=1-1272
OG0001552	YGL252C	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.76&CDS=1-1863
OG0001553	YGR001C	snap_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-15.116&CDS=1-2046
OG0001554	YGR002C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.148&CDS=1-1692
OG0001555	YGR005C	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.76&CDS=1-1251
OG0001556	YGR006W	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-1.55&CDS=1-555
OG0001557	YGR007W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-0.130&CDS=1-1161
OG0001558	YGR012W	augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.68&CDS=1-1185
OG0001559	YGR014W	augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.8&CDS=1-3006
OG0001560	YGR017W	augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.54&CDS=1-954
OG0001561	YGR020C	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.23&CDS=1-366
OG0001562	YGR021W	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.7&CDS=1-804
OG0001563	YGR024C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-3.59&CDS=1-807
OG0001564	YGR026W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.192-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.192&CDS=1-825
OG0001565	YGR028W	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-3.54&CDS=1-1080
OG0001566	YGR031W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-3.5&CDS=1-957
OG0001567	YGR033C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.75&CDS=1-750
OG0001568	YGR036C	snap_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.4&CDS=1-660
OG0001569	YGR037C	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.225-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.225&CDS=1-258
OG0001570	YGR042W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.78&CDS=1-897
